Accession No.	Gene Symbol	Exon.ID	logFC	t	P.Value	adj.P.Val	B	Transcript.ID	gene_assignment
NM_002036	DARC	2362515	0.667456434	3.364649113	0.003910406	0.911648439	-2.734829544	2362511	NM_002036 // DARC // Duffy blood group, chemokine receptor // 1q21-q22 // 2532 /// NM_001122951 // DARC // Duffy blood group, chemokine receptor // 1q21-q22 // 2532 /// ENST00000368122 // DARC // Duffy blood group, chemokine receptor // 1q21-q22 // 2532 /// ENST00000359381 // DARC // Duffy blood group, chemokine receptor // 1q21-q22 // 2532 /// ENST00000368121 // DARC // Duffy blood group, chemokine receptor // 1q21-q22 // 2532 /// AK291593 // DARC // Duffy blood group, chemokine receptor // 1q21-q22 // 2532
NM_153340	ATXN7L2	2350749	0.210318278	3.364041674	0.003915434	0.911648439	-2.735383143	2350741	NM_153340 // ATXN7L2 // ataxin 7-like 2 // 1p13.3 // 127002 /// ENST00000369870 // ATXN7L2 // ataxin 7-like 2 // 1p13.3 // 127002 /// ENST00000369869 // ATXN7L2 // ataxin 7-like 2 // 1p13.3 // 127002 /// AK090460 // ATXN7L2 // ataxin 7-like 2 // 1p13.3 // 127002
NM_020182	PMEPA1	3911225	0.24543671	3.364001862	0.003915764	0.911648439	-2.735419428	3911217	NM_020182 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// NM_199169 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// NM_199170 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// NM_199171 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// ENST00000341744 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// ENST00000395819 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// ENST00000395816 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// ENST00000265626 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// ENST00000395821 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// ENST00000395814 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// AF305616 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937 /// ENST00000347215 // PMEPA1 // prostate transmembrane protein, androgen induced 1 // 20q13.31-q13.33 // 56937
NM_016132	MYEF2	3622936	0.407493802	3.361708505	0.003934807	0.911648439	-2.737509783	3622934	NM_016132 // MYEF2 // myelin expression factor 2 // 15q21.1 // 50804 /// ENST00000324324 // MYEF2 // myelin expression factor 2 // 15q21.1 // 50804 /// BC152420 // MYEF2 // myelin expression factor 2 // 15q21.1 // 50804 /// ENST00000267836 // MYEF2 // myelin expression factor 2 // 15q21.1 // 50804 /// ENST00000396590 // MYEF2 // myelin expression factor 2 // 15q21.1 // 50804
NM_012224	NEK1	2793267	-0.421176227	-3.361695681	0.003934914	0.911648439	-2.737521473	2793221	NM_012224 // NEK1 // NIMA (never in mitosis gene a)-related kinase 1 // 4q33 // 4750 /// ENST00000336047 // NEK1 // NIMA (never in mitosis gene a)-related kinase 1 // 4q33 // 4750 /// BC114491 // NEK1 // NIMA (never in mitosis gene a)-related kinase 1 // 4q33 // 4750 /// ENST00000379072 // NEK1 // NIMA (never in mitosis gene a)-related kinase 1 // 4q33 // 4750 /// ENST00000308881 // NEK1 // NIMA (never in mitosis gene a)-related kinase 1 // 4q33 // 4750
BC007210	CTA-216E10.6	3947021	-0.216132042	-3.361596072	0.003935743	0.911648439	-2.737612274	3947011	BC007210 // CTA-216E10.6 // hypothetical FLJ23584 // 22q13.2 // 79640 /// BC035403 // CTA-216E10.6 // hypothetical FLJ23584 // 22q13.2 // 79640
NM_002040	GABPA	3916606	-0.192147162	-3.360732528	0.003942939	0.911648439	-2.738399495	3916576	NM_002040 // GABPA // GA binding protein transcription factor, alpha subunit 60kDa // 21q21-q22.1|21q21.3 // 2551 /// ENST00000354828 // GABPA // GA binding protein transcription factor, alpha subunit 60kDa // 21q21-q22.1|21q21.3 // 2551 /// ENST00000400075 // GABPA // GA binding protein transcription factor, alpha subunit 60kDa // 21q21-q22.1|21q21.3 // 2551 /// BX647755 // GABPA // GA binding protein transcription factor, alpha subunit 60kDa // 21q21-q22.1|21q21.3 // 2551
NM_003726	SKAP1	3761181	-0.314429037	-3.360723084	0.003943018	0.911648439	-2.738408105	3761164	NM_003726 // SKAP1 // src kinase associated phosphoprotein 1 // 17q21.32 // 8631 /// NM_001075099 // SKAP1 // src kinase associated phosphoprotein 1 // 17q21.32 // 8631 /// ENST00000336915 // SKAP1 // src kinase associated phosphoprotein 1 // 17q21.32 // 8631 /// ENST00000393398 // SKAP1 // src kinase associated phosphoprotein 1 // 17q21.32 // 8631 /// AK290818 // SKAP1 // src kinase associated phosphoprotein 1 // 17q21.32 // 8631
NM_194278	C14orf43	3571554	-0.357412677	-3.360309554	0.003946469	0.911648439	-2.738785107	3571553	NM_194278 // C14orf43 // chromosome 14 open reading frame 43 // 14q24.3 // 91748 /// NM_001043318 // C14orf43 // chromosome 14 open reading frame 43 // 14q24.3 // 91748 /// ENST00000286523 // C14orf43 // chromosome 14 open reading frame 43 // 14q24.3 // 91748 /// ENST00000394071 // C14orf43 // chromosome 14 open reading frame 43 // 14q24.3 // 91748 /// BC009202 // C14orf43 // chromosome 14 open reading frame 43 // 14q24.3 // 91748
NM_032583	ABCC11	3690479	0.27625395	3.359976183	0.003949253	0.911648439	-2.739089039	3690470	NM_032583 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 // 16q12.1 // 85320 /// NM_033151 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 // 16q12.1 // 85320 /// NM_145186 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 // 16q12.1 // 85320 /// ENST00000356608 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 // 16q12.1 // 85320 /// ENST00000394748 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 // 16q12.1 // 85320 /// ENST00000394747 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 // 16q12.1 // 85320 /// ENST00000353782 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 // 16q12.1 // 85320 /// AY040219 // ABCC11 // ATP-binding cassette, sub-family C (CFTR/MRP), member 11 // 16q12.1 // 85320
NM_152756	RICTOR	2854264	0.208581024	3.359315821	0.003954773	0.911648439	-2.739691116	2854241	NM_152756 // RICTOR // rapamycin-insensitive companion of mTOR // 5p13.1 // 253260 /// ENST00000357387 // RICTOR // rapamycin-insensitive companion of mTOR // 5p13.1 // 253260 /// AY515854 // RICTOR // rapamycin-insensitive companion of mTOR // 5p13.1 // 253260 /// ENST00000296782 // RICTOR // rapamycin-insensitive companion of mTOR // 5p13.1 // 253260
NM_003937	KYNU	2508557	-0.397809389	-3.358529267	0.003961359	0.911648439	-2.740408289	2508520	NM_003937 // KYNU // kynureninase (L-kynurenine hydrolase) // 2q22.2 // 8942 /// NM_001032998 // KYNU // kynureninase (L-kynurenine hydrolase) // 2q22.2 // 8942 /// ENST00000264170 // KYNU // kynureninase (L-kynurenine hydrolase) // 2q22.2 // 8942 /// ENST00000375773 // KYNU // kynureninase (L-kynurenine hydrolase) // 2q22.2 // 8942 /// ENST00000392874 // KYNU // kynureninase (L-kynurenine hydrolase) // 2q22.2 // 8942 /// U57721 // KYNU // kynureninase (L-kynurenine hydrolase) // 2q22.2 // 8942
NM_032587	CARD6	2807695	0.266932371	3.35804203	0.003965443	0.911648439	-2.740852573	2807686	NM_032587 // CARD6 // caspase recruitment domain family, member 6 // 5p13.1 // 84674 /// ENST00000254691 // CARD6 // caspase recruitment domain family, member 6 // 5p13.1 // 84674 /// AF356193 // CARD6 // caspase recruitment domain family, member 6 // 5p13.1 // 84674 /// ENST00000381677 // CARD6 // caspase recruitment domain family, member 6 // 5p13.1 // 84674
NM_004540	NCAM2	3916008	-0.380939486	-3.357956227	0.003966163	0.911648439	-2.740930813	3915936	NM_004540 // NCAM2 // neural cell adhesion molecule 2 // 21q21.1 // 4685 /// ENST00000400546 // NCAM2 // neural cell adhesion molecule 2 // 21q21.1 // 4685 /// BC052946 // NCAM2 // neural cell adhesion molecule 2 // 21q21.1 // 4685
NM_015967	PTPN22	2428798	-0.429075778	-3.3565577	0.003977913	0.911648439	-2.742206162	2428796	NM_015967 // PTPN22 // protein tyrosine phosphatase, non-receptor type 22 (lymphoid) // 1p13.3-p13.1 // 26191 /// NM_012411 // PTPN22 // protein tyrosine phosphatase, non-receptor type 22 (lymphoid) // 1p13.3-p13.1 // 26191 /// ENST00000359785 // PTPN22 // protein tyrosine phosphatase, non-receptor type 22 (lymphoid) // 1p13.3-p13.1 // 26191 /// ENST00000354605 // PTPN22 // protein tyrosine phosphatase, non-receptor type 22 (lymphoid) // 1p13.3-p13.1 // 26191 /// AF001846 // PTPN22 // protein tyrosine phosphatase, non-receptor type 22 (lymphoid) // 1p13.3-p13.1 // 26191 /// ENST00000307489 // PTPN22 // protein tyrosine phosphatase, non-receptor type 22 (lymphoid) // 1p13.3-p13.1 // 26191
NM_022064	RNF123	2622247	0.189234972	3.35654233	0.003978043	0.911648439	-2.74222018	2622239	NM_022064 // RNF123 // ring finger protein 123 // 3p24.3 // 63891 /// ENST00000327697 // RNF123 // ring finger protein 123 // 3p24.3 // 63891 /// ENST00000389066 // RNF123 // ring finger protein 123 // 3p24.3 // 63891 /// AL832138 // RNF123 // ring finger protein 123 // 3p24.3 // 63891
NM_153377	LRIG3	3459123	-0.44321082	-3.356066451	0.003982049	0.911648439	-2.74265418	3459120	NM_153377 // LRIG3 // leucine-rich repeats and immunoglobulin-like domains 3 // 12q14.1 // 121227 /// ENST00000320743 // LRIG3 // leucine-rich repeats and immunoglobulin-like domains 3 // 12q14.1 // 121227 /// AK292857 // LRIG3 // leucine-rich repeats and immunoglobulin-like domains 3 // 12q14.1 // 121227 /// ENST00000379141 // LRIG3 // leucine-rich repeats and immunoglobulin-like domains 3 // 12q14.1 // 121227
NM_016173	HEMK1	2622894	0.229682719	3.355538032	0.003986502	0.911648439	-2.743136118	2622859	NM_016173 // HEMK1 // HemK methyltransferase family member 1 // 3p21.3 // 51409 /// ENST00000232854 // HEMK1 // HemK methyltransferase family member 1 // 3p21.3 // 51409 /// BX537562 // HEMK1 // HemK methyltransferase family member 1 // 3p21.3 // 51409
NM_014503	UTP20	3428477	-0.402463429	-3.354850374	0.003992305	0.911648439	-2.74376332	3428447	NM_014503 // UTP20 // UTP20, small subunit (SSU) processome component, homolog (yeast) // 12q23 // 27340 /// ENST00000261637 // UTP20 // UTP20, small subunit (SSU) processome component, homolog (yeast) // 12q23 // 27340 /// AF072718 // UTP20 // UTP20, small subunit (SSU) processome component, homolog (yeast) // 12q23 // 27340
NM_004412	TRDMT1	3279876	0.39742542	3.353757959	0.00400154	0.911648439	-2.744759771	3279857	NM_004412 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// NM_176083 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// NM_176081 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// ENST00000354631 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// ENST00000377799 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// ENST00000351358 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// BX537961 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// ENST00000377766 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// ENST00000358282 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// ENST00000313936 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// ENST00000343612 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787 /// ENST00000396687 // TRDMT1 // tRNA aspartic acid methyltransferase 1 // 10p15.1 // 1787
NM_000290	PGAM2	3048369	0.234868725	3.35269446	0.004010551	0.911648439	-2.745729935	3048363	NM_000290 // PGAM2 // phosphoglycerate mutase 2 (muscle) // 7p13-p12 // 5224 /// ENST00000297283 // PGAM2 // phosphoglycerate mutase 2 (muscle) // 7p13-p12 // 5224 /// BC001904 // PGAM2 // phosphoglycerate mutase 2 (muscle) // 7p13-p12 // 5224
NM_174977	SEC14L4	3957393	0.260832232	3.352635142	0.004011054	0.911648439	-2.74578405	3957374	NM_174977 // SEC14L4 // SEC14-like 4 (S. cerevisiae) // 22q12.2 // 284904 /// ENST00000255858 // SEC14L4 // SEC14-like 4 (S. cerevisiae) // 22q12.2 // 284904 /// AK093418 // SEC14L4 // SEC14-like 4 (S. cerevisiae) // 22q12.2 // 284904
NM_138367	ZNF251	3158381	-0.218433294	-3.352344132	0.004013524	0.911648439	-2.746049537	3158377	NM_138367 // ZNF251 // zinc finger protein 251 // 8q24.3 // 90987 /// NM_031309 // SCRT1 // scratch homolog 1, zinc finger protein (Drosophila) // 8q24.3 // 83482 /// ENST00000292562 // ZNF251 // zinc finger protein 251 // 8q24.3 // 90987 /// ENST00000332135 // SCRT1 // scratch homolog 1, zinc finger protein (Drosophila) // 8q24.3 // 83482 /// AY014996 // SCRT1 // scratch homolog 1, zinc finger protein (Drosophila) // 8q24.3 // 83482 /// AB196634 // C8ORFK29 // hypothetical LOC340393 // 8q24.3 // 340393 /// AK091638 // ZNF251 // zinc finger protein 251 // 8q24.3 // 90987
NM_198510	ITIH5L	4009791	-0.24431289	-3.352275044	0.00401411	0.911648439	-2.746112567	4009751	NM_198510 // ITIH5L // inter-alpha (globulin) inhibitor H5-like // Xp11.21 // 347365 /// ENST00000218436 // ITIH5L // inter-alpha (globulin) inhibitor H5-like // Xp11.21 // 347365 /// AY358170 // ITIH5L // inter-alpha (globulin) inhibitor H5-like // Xp11.21 // 347365
NM_178469	LCN8	3230436	-0.317332396	-3.352237732	0.004014427	0.911648439	-2.746146607	3230414	NM_178469 // LCN8 // lipocalin 8 // 9q34.3 // 138307 /// ENST00000371688 // LCN8 // lipocalin 8 // 9q34.3 // 138307 /// ENST00000392896 // LCN8 // lipocalin 8 // 9q34.3 // 138307 /// ENST00000357788 // LCN8 // lipocalin 8 // 9q34.3 // 138307 /// ENST00000371689 // LCN8 // lipocalin 8 // 9q34.3 // 138307 /// AK090647 // LCN8 // lipocalin 8 // 9q34.3 // 138307
NM_019016	KRT24	3756423	0.248237378	3.352015396	0.004016315	0.911648439	-2.746349449	3756416	NM_019016 // KRT24 // keratin 24 // 17q11.2 // 192666 /// ENST00000264651 // KRT24 // keratin 24 // 17q11.2 // 192666 /// BC111968 // KRT24 // keratin 24 // 17q11.2 // 192666
BC032333	KIAA1704	3488032	0.415676542	3.350768566	0.004026921	0.911648439	-2.747487033	3488022	BC032333 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// BC039586 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// AK292493 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// AF145122 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// AF245045 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// AJ420573 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// ENST00000361481 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// ENST00000361121 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// ENST00000379151 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// ENST00000357537 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425 /// AB051491 // KIAA1704 // KIAA1704 // 13q13-q14 // 55425
NM_001042	SLC2A4	3708406	0.477675176	3.350397572	0.004030082	0.911648439	-2.747825544	3708399	NM_001042 // SLC2A4 // solute carrier family 2 (facilitated glucose transporter), member 4 // 17p13 // 6517 /// ENST00000317370 // SLC2A4 // solute carrier family 2 (facilitated glucose transporter), member 4 // 17p13 // 6517 /// BC034387 // SLC2A4 // solute carrier family 2 (facilitated glucose transporter), member 4 // 17p13 // 6517
NM_017641	KIF21A	3450800	0.386059268	3.350381264	0.004030221	0.911648439	-2.747840424	3450775	NM_017641 // KIF21A // kinesin family member 21A // 12q12 // 55605 /// ENST00000361961 // KIF21A // kinesin family member 21A // 12q12 // 55605 /// AB290166 // KIF21A // kinesin family member 21A // 12q12 // 55605 /// ENST00000361418 // KIF21A // kinesin family member 21A // 12q12 // 55605 /// ENST00000395670 // KIF21A // kinesin family member 21A // 12q12 // 55605 /// ENST00000341813 // KIF21A // kinesin family member 21A // 12q12 // 55605
NM_017577	GRAMD1C	2636631	-0.411407267	-3.350179334	0.004031942	0.911648439	-2.748024679	2636626	NM_017577 // GRAMD1C // GRAM domain containing 1C // 3q13.31 // 54762 /// NM_015343 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399 /// ENST00000358160 // GRAMD1C // GRAM domain containing 1C // 3q13.31 // 54762 /// ENST00000380825 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399 /// ENST00000318988 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399 /// BC035040 // GRAMD1C // GRAM domain containing 1C // 3q13.31 // 54762 /// BC009295 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399 /// AJ011916 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399
NM_003837	FBP2	3215567	-0.422815462	-3.349358337	0.004038949	0.911648439	-2.748773844	3215560	NM_003837 // FBP2 // fructose-1,6-bisphosphatase 2 // 9q22.3 // 8789 /// ENST00000375337 // FBP2 // fructose-1,6-bisphosphatase 2 // 9q22.3 // 8789 /// BC113632 // FBP2 // fructose-1,6-bisphosphatase 2 // 9q22.3 // 8789
NM_014877	HELZ	3768048	0.213904402	3.349084851	0.004041286	0.911648439	-2.749023413	3768015	NM_014877 // HELZ // helicase with zinc finger // 17q24.2 // 9931 /// ENST00000358691 // HELZ // helicase with zinc finger // 17q24.2 // 9931 /// BC130582 // HELZ // helicase with zinc finger // 17q24.2 // 9931
NM_005480	TROAP	3413898	-0.679689453	-3.348945138	0.00404248	0.911648439	-2.749150911	3413875	NM_005480 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// NM_001100620 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// ENST00000257909 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// ENST00000380327 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// U04810 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024
NM_182505	C9orf85	3174441	0.625541625	3.348936332	0.004042556	0.911648439	-2.749158947	3174429	NM_182505 // C9orf85 // chromosome 9 open reading frame 85 // 9q21.13 // 138241 /// ENST00000334731 // C9orf85 // chromosome 9 open reading frame 85 // 9q21.13 // 138241 /// BC028019 // C9orf85 // chromosome 9 open reading frame 85 // 9q21.13 // 138241 /// ENST00000356065 // C9orf85 // chromosome 9 open reading frame 85 // 9q21.13 // 138241
NM_017840	MRPL16	3374859	-0.204976955	-3.348266484	0.004048287	0.911648439	-2.749770248	3374856	NM_017840 // MRPL16 // mitochondrial ribosomal protein L16 // 11q12-q13.1 // 54948 /// ENST00000300151 // MRPL16 // mitochondrial ribosomal protein L16 // 11q12-q13.1 // 54948 /// AF183428 // MRPL16 // mitochondrial ribosomal protein L16 // 11q12-q13.1 // 54948
NM_015361	R3HDM1	2507481	0.181603447	3.348246351	0.004048459	0.911648439	-2.749788622	2507380	NM_015361 // R3HDM1 // R3H domain containing 1 // 2q21.3 // 23518 /// ENST00000264160 // R3HDM1 // R3H domain containing 1 // 2q21.3 // 23518 /// BC041093 // R3HDM1 // R3H domain containing 1 // 2q21.3 // 23518 /// ENST00000329971 // R3HDM1 // R3H domain containing 1 // 2q21.3 // 23518
NM_001604	PAX6	3368089	0.292302192	3.347352331	0.004056121	0.911648439	-2.750604558	3368054	NM_001604 // PAX6 // paired box 6 // 11p13 // 5080 /// NM_000280 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000241001 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000379123 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000379109 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000379115 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000379129 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000379111 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000379107 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000379132 // PAX6 // paired box 6 // 11p13 // 5080 /// ENST00000346294 // PAX6 // paired box 6 // 11p13 // 5080 /// AB209177 // PAX6 // paired box 6 // 11p13 // 5080
NM_032175	UTP15	2815462	0.192698848	3.347169436	0.00405769	0.911648439	-2.750771486	2815455	NM_032175 // UTP15 // UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae) // 5q13.2 // 84135 /// ENST00000296792 // UTP15 // UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae) // 5q13.2 // 84135 /// CR457295 // UTP15 // UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae) // 5q13.2 // 84135 /// AL831972 // UTP15 // UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae) // 5q13.2 // 84135
NM_031459	SESN2	2327409	0.446888884	3.346822849	0.004060665	0.911648439	-2.751087824	2327391	NM_031459 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// ENST00000253063 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// AY123223 // SESN2 // sestrin 2 // 1p35.3 // 83667
NM_144974	CCDC122	3512059	0.327681421	3.346414798	0.004064171	0.911648439	-2.751460273	3512050	NM_144974 // CCDC122 // coiled-coil domain containing 122 // 13q14.11 // 160857 /// ENST00000379193 // CCDC122 // coiled-coil domain containing 122 // 13q14.11 // 160857 /// ENST00000281508 // CCDC122 // coiled-coil domain containing 122 // 13q14.11 // 160857 /// AK056408 // CCDC122 // coiled-coil domain containing 122 // 13q14.11 // 160857
NM_018369	DEPDC1B	2858632	0.559848241	3.346146339	0.004066479	0.911648439	-2.751705315	2858592	NM_018369 // DEPDC1B // DEP domain containing 1B // 5q12.1 // 55789 /// ENST00000265036 // DEPDC1B // DEP domain containing 1B // 5q12.1 // 55789 /// AF303178 // DEPDC1B // DEP domain containing 1B // 5q12.1 // 55789
NM_176824	BBS7	2784159	0.207605878	3.345289418	0.004073855	0.911648439	-2.75248753	2784131	NM_176824 // BBS7 // Bardet-Biedl syndrome 7 // 4q27 // 55212 /// NM_018190 // BBS7 // Bardet-Biedl syndrome 7 // 4q27 // 55212 /// ENST00000264499 // BBS7 // Bardet-Biedl syndrome 7 // 4q27 // 55212 /// AF521644 // BBS7 // Bardet-Biedl syndrome 7 // 4q27 // 55212
NM_001001419	SMAD5	2830039	0.225478595	3.34495195	0.004076764	0.911648439	-2.752795594	2830010	NM_001001419 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// NM_005903 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// NM_001001420 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// ENST00000231589 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// ENST00000398807 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// BC009682 // SMAD5 // SMAD family member 5 // 5q31 // 4090
NM_018657	MYNN	2651678	0.289061241	3.344196218	0.004083284	0.911648439	-2.753485507	2651671	NM_018657 // MYNN // myoneurin // 3q26.2 // 55892 /// ENST00000349841 // MYNN // myoneurin // 3q26.2 // 55892 /// ENST00000356716 // MYNN // myoneurin // 3q26.2 // 55892 /// ENST00000392733 // MYNN // myoneurin // 3q26.2 // 55892 /// ENST00000392731 // MYNN // myoneurin // 3q26.2 // 55892 /// AK092022 // MYNN // myoneurin // 3q26.2 // 55892
NM_014871	PAN2	3457713	-0.470442893	-3.343081209	0.004092924	0.911648439	-2.754503488	3457696	NM_014871 // PAN2 // PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae) // 12q13.2-q13.3 // 9924 /// ENST00000257931 // PAN2 // PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae) // 12q13.2-q13.3 // 9924 /// ENST00000379495 // PAN2 // PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae) // 12q13.2-q13.3 // 9924 /// BX648106 // PAN2 // PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae) // 12q13.2-q13.3 // 9924
NM_003922	HERC1	3628759	-0.432226406	-3.342443306	0.004098449	0.911648439	-2.755085924	3628650	NM_003922 // HERC1 // hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1 // 15q22 // 8925 /// ENST00000261887 // HERC1 // hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1 // 15q22 // 8925 /// U50078 // HERC1 // hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1 // 15q22 // 8925
NM_198186	ASTN2	3222583	0.206322793	3.341716136	0.004104756	0.911648439	-2.755749903	3222534	NM_198186 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// NM_198187 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// NM_014010 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// NM_198188 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// ENST00000313400 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// ENST00000361209 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// ENST00000361477 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// ENST00000341734 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// BC146756 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// ENST00000373996 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// ENST00000288520 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// ENST00000373986 // ASTN2 // astrotactin 2 // 9q33.1 // 23245
NM_002955	RREB1	2893657	0.200836853	3.341316113	0.00410823	0.911648439	-2.756115182	2893562	NM_002955 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// NM_001003699 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// NM_001003698 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// ENST00000379938 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// ENST00000334984 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// ENST00000379933 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// ENST00000349384 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// ENST00000274670 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// ENST00000397521 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239 /// BX647723 // RREB1 // ras responsive element binding protein 1 // 6p25 // 6239
