P-value	FDR	Fold-change (Slug/Neo Control)	Probe set	Gene symbol	Description
0.0005303	0.0010327	3.11	226875_at	DOCK11	dedicator of cytokinesis 11
0.0001249	0.0003721	3.107	206243_at	TIMP4	TIMP metallopeptidase inhibitor 4
8.57E-05	0.0003017	3.107	228724_at	NA	NA
3.10E-05	0.0001676	3.1	227713_at	KATNAL1	katanin p60 subunit A-like 1
0.0001845	0.0004847	3.07	229948_at	NA	NA
0.0004648	0.0009308	3.067	205381_at	LRRC17	leucine rich repeat containing 17
6.30E-06	7.96E-05	3.06	205583_s_at	ALG13	asparagine-linked glycosylation 13 homolog (S. cerevisiae)
0.000492	0.0009784	3.051	213158_at	NA	NA
0.0003206	0.0007174	3.045	232174_at	NA	NA
0.0001926	0.0004994	3.042	237116_at	LOC646903	hypothetical LOC646903
0.0002163	0.0005446	3.041	215206_at	NA	NA
0.0007379	0.0013262	3.035	209156_s_at	COL6A2	collagen, type VI, alpha 2
0.0007052	0.0012812	3.029	236129_at	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)
0.0003029	0.0006911	3.024	206170_at	ADRB2	adrenergic, beta-2-, receptor, surface
8.06E-05	0.0002911	3.012	228783_at	BVES	blood vessel epicardial substance
0.000328	0.0007261	3.002	212298_at	NRP1	neuropilin 1
4.29E-05	0.0001945	3	225782_at	MSRB3	methionine sulfoxide reductase B3
0.0001588	0.0004347	2.996	218723_s_at	C13orf15	chromosome 13 open reading frame 15
1.53E-05	0.0001177	2.994	241353_s_at	LOC100129105	similar to hCG1821214
0.0002209	0.000553	2.993	219410_at	TMEM45A	transmembrane protein 45A
2.50E-06	6.21E-05	2.992	219170_at	FSD1	fibronectin type III and SPRY domain containing 1
0.0003508	0.0007634	2.985	1553708_at	MGC16075	hypothetical protein MGC16075
1.70E-06	5.65E-05	2.984	204872_at	TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)
0.000227	0.000564	2.978	231726_at	PCDHB14	protocadherin beta 14
0.00025	0.0006074	2.976	213428_s_at	COL6A1	collagen, type VI, alpha 1
0.0004105	0.0008523	2.974	223082_at	SH3KBP1	SH3-domain kinase binding protein 1
0.0001389	0.0003996	2.972	205637_s_at	SH3GL3	SH3-domain GRB2-like 3
4.41E-05	0.000196	2.966	227272_at	C15orf52	chromosome 15 open reading frame 52
0.0002518	0.0006096	2.954	225185_at	MRAS	muscle RAS oncogene homolog
2.58E-05	0.0001527	2.946	224002_s_at	FKBP7	FK506 binding protein 7
0.0003276	0.0007261	2.946	221870_at	EHD2	EH-domain containing 2
0.0006227	0.0011597	2.94	231766_s_at	COL12A1	collagen, type XII, alpha 1
0.0001579	0.0004327	2.94	202796_at	SYNPO	synaptopodin
9.73E-05	0.0003215	2.933	223960_s_at	C16orf5	chromosome 16 open reading frame 5
0.0001609	0.0004378	2.928	230706_s_at	CAMK2N2	calcium/calmodulin-dependent protein kinase II inhibitor 2
0.0001599	0.0004361	2.922	212190_at	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2
6.10E-06	7.93E-05	2.918	226771_at	ATP8B2	ATPase, class I, type 8B, member 2
0.0005734	0.0010904	2.916	228843_at	NA	NA
0.000287	0.0006649	2.913	235171_at	NA	NA
0.0005142	0.0010127	2.913	226311_at	NA	NA
7.26E-05	0.0002709	2.911	210102_at	VWA5A	von Willebrand factor A domain containing 5A
0.0003256	0.0007239	2.909	204774_at	EVI2A	ecotropic viral integration site 2A
0.0001289	0.0003813	2.908	45297_at	EHD2	EH-domain containing 2
1.30E-06	5.65E-05	2.907	202664_at	WIPF1	WAS/WASL interacting protein family, member 1
0.0001712	0.0004565	2.899	219578_s_at	CPEB1	cytoplasmic polyadenylation element binding protein 1
0.0001205	0.0003667	2.886	200632_s_at	NDRG1	N-myc downstream regulated 1
0.000133	0.000389	2.885	228573_at	NA	NA
0.0009223	0.0015733	2.877	209604_s_at	GATA3	GATA binding protein 3
0.0002884	0.0006661	2.877	202422_s_at	ACSL4	acyl-CoA synthetase long-chain family member 4
4.40E-06	6.91E-05	2.862	218651_s_at	LARP6	La ribonucleoprotein domain family, member 6
7.82E-05	0.0002843	2.86	218376_s_at	MICAL1	microtubule associated monoxygenase, calponin and LIM domain containing 1
4.40E-06	6.91E-05	2.845	201995_at	EXT1	exostoses (multiple) 1
1.55E-05	0.000118	2.845	201482_at	QSOX1	quiescin Q6 sulfhydryl oxidase 1
3.10E-05	0.0001676	2.841	226018_at	C7orf41	chromosome 7 open reading frame 41
0.0003583	0.000773	2.838	225045_at	CCDC88A	coiled-coil domain containing 88A
1.29E-05	0.0001084	2.834	224967_at	UGCG	UDP-glucose ceramide glucosyltransferase
0.0003569	0.000773	2.83	212154_at	SDC2	syndecan 2
6.88E-05	0.0002609	2.83	221276_s_at	SYNC	syncoilin, intermediate filament protein
3.30E-06	6.60E-05	2.829	225988_at	HERC4	hect domain and RLD 4
5.17E-05	0.0002193	2.828	227290_at	NA	NA
0.000152	0.0004253	2.825	226876_at	FAM101B	family with sequence similarity 101, member B
0.0009268	0.0015779	2.818	224833_at	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
0.0002521	0.0006096	2.815	239153_at	HOTAIR	hox transcript antisense RNA (non-protein coding)
9.97E-05	0.0003262	2.81	212414_s_at	6-Sep	septin 6
5.63E-05	0.000231	2.809	209883_at	GLT25D2	glycosyltransferase 25 domain containing 2
0.0004256	0.0008732	2.794	225102_at	MGLL	monoglyceride lipase
0.0006108	0.0011432	2.793	201311_s_at	SH3BGRL	SH3 domain binding glutamic acid-rich protein like
3.61E-05	0.0001786	2.783	224352_s_at	CFL2	cofilin 2 (muscle)
2.22E-05	0.000141	2.781	226152_at	TTC7B	tetratricopeptide repeat domain 7B
7.48E-05	0.0002763	2.777	225575_at	LIFR	leukemia inhibitory factor receptor alpha
0.0001371	0.0003974	2.774	226462_at	STXBP6	syntaxin binding protein 6 (amisyn)
2.55E-05	0.0001517	2.771	219279_at	DOCK10	dedicator of cytokinesis 10
0.0006505	0.0011987	2.771	215069_at	NMT2	N-myristoyltransferase 2
1.37E-05	0.000111	2.771	238575_at	OSBPL6	oxysterol binding protein-like 6
0.0002492	0.0006074	2.769	219747_at	C4orf31	chromosome 4 open reading frame 31
0.000659	0.0012134	2.767	241435_at	NA	NA
0.0002566	0.0006159	2.765	1552972_at	NA	NA
0.0003076	0.0006973	2.765	242100_at	CHSY3	chondroitin sulfate synthase 3
0.0006432	0.0011881	2.763	242876_at	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
0.0001644	0.0004409	2.76	212736_at	C16orf45	chromosome 16 open reading frame 45
0.0002693	0.0006343	2.757	227839_at	MBD5	methyl-CpG binding domain protein 5
0.0008023	0.0014117	2.755	203921_at	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
1.01E-05	9.64E-05	2.753	212651_at	RHOBTB1	Rho-related BTB domain containing 1
4.09E-05	0.0001895	2.747	219785_s_at	FBXO31	F-box protein 31
0.0008678	0.0015012	2.744	228128_x_at	PAPPA	pregnancy-associated plasma protein A, pappalysin 1
0.0001039	0.0003332	2.741	223315_at	NTN4	netrin 4
8.80E-06	9.21E-05	2.741	224558_s_at	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
1.15E-05	0.0001021	2.741	213268_at	CAMTA1	calmodulin binding transcription activator 1
0.0002741	0.0006422	2.736	223393_s_at	TSHZ3	teashirt zinc finger homeobox 3
0.0001161	0.0003595	2.735	209633_at	PPP2R3A	protein phosphatase 2 (formerly 2A), regulatory subunit B@#$%&@#$%&, alpha
1.59E-05	0.000119	2.73	213029_at	NFIB	nuclear factor I/B
0.0004045	0.0008445	2.719	204602_at	DKK1	dickkopf homolog 1 (Xenopus laevis)
0.0002551	0.0006136	2.713	209708_at	MOXD1	monooxygenase, DBH-like 1
1.89E-05	0.0001291	2.708	225401_at	C1orf85	chromosome 1 open reading frame 85
6.64E-05	0.0002566	2.699	204337_at	RGS4	regulator of G-protein signaling 4
6.08E-05	0.0002416	2.699	206706_at	NTF3	neurotrophin 3
4.30E-06	6.90E-05	2.69	203650_at	PROCR	protein C receptor, endothelial (EPCR)
0.0009615	0.0016211	2.68	229435_at	GLIS3	GLIS family zinc finger 3
0.0005281	0.001031	2.679	222453_at	CYBRD1	cytochrome b reductase 1
1.63E-05	0.00012	2.678	233085_s_at	OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A
0.0007062	0.0012815	2.676	204823_at	NAV3	neuron navigator 3
0.0003045	0.0006919	2.672	220987_s_at	NUAK2	NUAK family, SNF1-like kinase, 2
4.19E-05	0.0001929	2.67	204359_at	FLRT2	fibronectin leucine rich transmembrane protein 2
5.20E-05	0.0002202	2.665	233337_s_at	SEZ6L2	seizure related 6 homolog (mouse)-like 2
0.0006752	0.0012361	2.664	203435_s_at	MME	membrane metallo-endopeptidase
0.0002924	0.0006739	2.662	56256_at	SIDT2	SID1 transmembrane family, member 2
7.20E-06	8.26E-05	2.66	203097_s_at	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2
5.21E-05	0.0002202	2.658	214164_x_at	CA12	carbonic anhydrase XII
0.0003347	0.0007358	2.657	218309_at	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1
0.0003588	0.0007734	2.654	205880_at	PRKD1	protein kinase D1
0.000702	0.0012769	2.651	237183_at	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)
0.0009284	0.0015795	2.637	211026_s_at	MGLL	monoglyceride lipase
4.17E-05	0.0001924	2.635	219501_at	ENOX1	ecto-NOX disulfide-thiol exchanger 1
0.000185	0.0004847	2.633	205832_at	CPA4	carboxypeptidase A4
6.80E-05	0.0002597	2.633	212813_at	JAM3	junctional adhesion molecule 3
0.0003696	0.0007918	2.632	223769_x_at	HYI	hydroxypyruvate isomerase homolog (E. coli)
5.90E-06	7.80E-05	2.627	227396_at	PTPRJ	protein tyrosine phosphatase, receptor type, J
0.0009455	0.0016058	2.62	224940_s_at	PAPPA	pregnancy-associated plasma protein A, pappalysin 1
0.0006375	0.0011799	2.619	243041_s_at	RBMS3	RNA binding motif, single stranded interacting protein
2.68E-05	0.0001554	2.615	201849_at	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
0.0002581	0.0006182	2.609	205498_at	GHR	growth hormone receptor
1.87E-05	0.0001289	2.6	222872_x_at	OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A
0.0002651	0.0006296	2.6	209632_at	PPP2R3A	protein phosphatase 2 (formerly 2A), regulatory subunit B@#$%&@#$%&, alpha
0.0003459	0.0007542	2.594	202552_s_at	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
0.0001848	0.0004847	2.591	221760_at	MAN1A1	mannosidase, alpha, class 1A, member 1
5.10E-06	7.25E-05	2.58	207233_s_at	MITF	microphthalmia-associated transcription factor
5.10E-05	0.0002176	2.578	201105_at	LGALS1	lectin, galactoside-binding, soluble, 1
0.0003563	0.000773	2.572	228890_at	ATOH8	atonal homolog 8 (Drosophila)
0.0001635	0.0004398	2.572	239202_at	NA	NA
0.0002873	0.0006649	2.57	209894_at	LEPR	leptin receptor
0.0007971	0.0014058	2.569	227966_s_at	CCDC74B	coiled-coil domain containing 74B
2.24E-05	0.0001414	2.568	228234_at	TICAM2	toll-like receptor adaptor molecule 2
1.54E-05	0.000118	2.565	216869_at	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa
0.0001599	0.0004361	2.563	209651_at	TGFB1I1	transforming growth factor beta 1 induced transcript 1
3.55E-05	0.0001776	2.551	225871_at	STEAP2	six transmembrane epithelial antigen of the prostate 2
5.62E-05	0.000231	2.55	203282_at	GBE1	glucan (1,4-alpha-), branching enzyme 1
0.0003026	0.0006911	2.534	1558693_s_at	C1orf85	chromosome 1 open reading frame 85
0.0002066	0.0005243	2.532	237310_at	NA	NA
1.30E-05	0.0001089	2.528	209210_s_at	FERMT2	fermitin family homolog 2 (Drosophila)
0.0001751	0.0004647	2.524	205479_s_at	PLAU	plasminogen activator, urokinase
0.0002211	0.000553	2.519	218330_s_at	NAV2	neuron navigator 2
0.0001167	0.00036	2.511	229784_at	MGC16121	hypothetical protein MGC16121
2.78E-05	0.0001591	2.505	212646_at	RFTN1	raftlin, lipid raft linker 1
0.0001884	0.0004925	2.503	204099_at	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
0.000101	0.0003288	2.501	223805_at	OSBPL6	oxysterol binding protein-like 6
1.68E-05	0.0001217	2.493	200808_s_at	ZYX	zyxin
2.12E-05	0.0001377	2.491	213035_at	ANKRD28	ankyrin repeat domain 28
0.0001972	0.000506	2.484	225442_at	DDR2	discoidin domain receptor tyrosine kinase 2
9.30E-06	9.40E-05	2.483	212012_at	PXDN	peroxidasin homolog (Drosophila)
8.49E-05	0.0003004	2.476	203882_at	IRF9	interferon regulatory factor 9
6.00E-06	7.89E-05	2.475	209365_s_at	ECM1	extracellular matrix protein 1
3.80E-06	6.75E-05	2.472	226609_at	DCBLD1	discoidin, CUB and LCCL domain containing 1
4.07E-05	0.0001895	2.467	227533_at	NA	NA
7.30E-06	8.32E-05	2.465	209289_at	NFIB	nuclear factor I/B
1.46E-05	0.0001146	2.465	209351_at	KRT14	keratin 14
4.70E-06	7.04E-05	2.464	225798_at	JAZF1	JAZF zinc finger 1
7.40E-06	8.32E-05	2.46	203438_at	STC2	stanniocalcin 2
1.34E-05	0.000111	2.457	228708_at	RAB27B	RAB27B, member RAS oncogene family
0.0003879	0.0008195	2.456	243366_s_at	NA	NA
1.09E-05	9.98E-05	2.455	215706_x_at	ZYX	zyxin
0.0003241	0.000722	2.452	214633_at	SOX3	SRY (sex determining region Y)-box 3
0.0001226	0.0003687	2.444	235308_at	ZBTB20	zinc finger and BTB domain containing 20
2.26E-05	0.0001414	2.435	203408_s_at	SATB1	SATB homeobox 1
6.14E-05	0.0002423	2.434	226773_at	NA	NA
3.23E-05	0.0001702	2.434	211538_s_at	HSPA2	heat shock 70kDa protein 2
0.0007933	0.0014024	2.432	227166_at	DNAJC18	DnaJ (Hsp40) homolog, subfamily C, member 18
0.0006161	0.0011503	2.43	232752_at	NA	NA
0.0001538	0.0004291	2.429	238934_at	NA	NA
1.08E-05	9.98E-05	2.425	223170_at	TMEM98	transmembrane protein 98
0.0003975	0.0008337	2.423	230240_at	NA	NA
2.99E-05	0.0001665	2.422	209290_s_at	NFIB	nuclear factor I/B
0.000265	0.0006296	2.421	228555_at	CAMK2D	calcium/calmodulin-dependent protein kinase II delta
6.40E-06	8.04E-05	2.42	205330_at	MN1	meningioma (disrupted in balanced translocation) 1
4.80E-06	7.05E-05	2.419	242775_at	NA	NA
5.96E-05	0.0002381	2.419	209522_s_at	CRAT	carnitine acetyltransferase
5.90E-05	0.0002369	2.416	225710_at	GNB4	guanine nucleotide binding protein (G protein), beta polypeptide 4
0.0001623	0.0004398	2.408	225897_at	MARCKS	myristoylated alanine-rich protein kinase C substrate
0.0001084	0.0003428	2.407	219882_at	TTLL7	tubulin tyrosine ligase-like family, member 7
0.0001433	0.000407	2.407	213800_at	CFH	complement factor H
0.0003782	0.0008052	2.407	217892_s_at	LIMA1	LIM domain and actin binding 1
2.20E-06	5.78E-05	2.407	209732_at	CLEC2B	C-type lectin domain family 2, member B
0.0004195	0.000867	2.405	1569150_x_at	PDLIM7	PDZ and LIM domain 7 (enigma)
0.0008805	0.0015159	2.403	209030_s_at	CADM1	cell adhesion molecule 1
0.0001956	0.0005043	2.397	227771_at	LIFR	leukemia inhibitory factor receptor alpha
5.44E-05	0.0002265	2.396	238917_s_at	DENND5B	DENN/MADD domain containing 5B
8.53E-05	0.0003009	2.392	203184_at	FBN2	fibrillin 2
0.0005346	0.0010384	2.391	219346_at	LRFN3	leucine rich repeat and fibronectin type III domain containing 3
2.06E-05	0.0001354	2.387	210143_at	ANXA10	annexin A10
6.79E-05	0.0002597	2.387	1553997_a_at	ASPHD1	aspartate beta-hydroxylase domain containing 1
0.0001547	0.0004297	2.384	213103_at	STARD13	StAR-related lipid transfer (START) domain containing 13
0.0004617	0.0009271	2.382	224819_at	TCEAL8	transcription elongation factor A (SII)-like 8
0.0006015	0.0011333	2.381	204881_s_at	UGCG	UDP-glucose ceramide glucosyltransferase
0.0003161	0.0007097	2.378	210510_s_at	NRP1	neuropilin 1
2.90E-06	6.30E-05	2.378	227115_at	NA	NA
1.00E-06	5.51E-05	2.375	221036_s_at	APH1B	anterior pharynx defective 1 homolog B (C. elegans)
0.000173	0.0004607	2.375	208510_s_at	PPARG	peroxisome proliferator-activated receptor gamma
3.15E-05	0.0001684	2.37	212345_s_at	CREB3L2	cAMP responsive element binding protein 3-like 2
4.20E-06	6.83E-05	2.368	213093_at	PRKCA	protein kinase C, alpha
9.00E-07	5.36E-05	2.366	226989_at	RGMB	RGM domain family, member B
0.0007224	0.0013046	2.364	215790_at	AJAP1	adherens junctions associated protein 1
0.0004316	0.0008831	2.357	226058_at	B3GNT9	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9
7.70E-05	0.0002822	2.353	213227_at	PGRMC2	progesterone receptor membrane component 2
0.0001823	0.0004815	2.351	213418_at	HSPA6	heat shock 70kDa protein 6 (HSP70B@#$%&)
0.0001962	0.0005049	2.345	231406_at	ORAI2	ORAI calcium release-activated calcium modulator 2
0.0003557	0.0007726	2.343	209119_x_at	NR2F2	nuclear receptor subfamily 2, group F, member 2
0.0001444	0.0004084	2.332	213906_at	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
0.0003477	0.0007574	2.332	213122_at	TSPYL5	TSPY-like 5
0.0002411	0.0005928	2.331	212013_at	PXDN	peroxidasin homolog (Drosophila)
2.85E-05	0.0001619	2.33	236029_at	FAT3	FAT tumor suppressor homolog 3 (Drosophila)
8.64E-05	0.0003024	2.328	235911_at	LOC440995	hypothetical gene supported by BC034933; BC068085
0.0001228	0.0003687	2.326	227370_at	FAM171B	family with sequence similarity 171, member B
9.11E-05	0.0003106	2.321	228046_at	ZNF827	zinc finger protein 827
6.03E-05	0.0002405	2.319	217989_at	HSD17B11	hydroxysteroid (17-beta) dehydrogenase 11
0.0006337	0.0011754	2.313	206460_at	AJAP1	adherens junctions associated protein 1
0.0004079	0.0008484	2.312	202073_at	OPTN	optineurin
0.0003128	0.0007037	2.309	215613_at	ADAM12	ADAM metallopeptidase domain 12
1.92E-05	0.0001292	2.307	205120_s_at	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
2.19E-05	0.0001399	2.307	230463_at	NA	NA
0.0002593	0.0006197	2.306	224911_s_at	DCBLD2	discoidin, CUB and LCCL domain containing 2
0.0006183	0.0011534	2.304	222288_at	NA	NA
0.0002559	0.0006149	2.304	231725_at	PCDHB2	protocadherin beta 2
2.82E-05	0.0001606	2.302	205383_s_at	ZBTB20	zinc finger and BTB domain containing 20
0.0003117	0.0007028	2.296	204966_at	BAI2	brain-specific angiogenesis inhibitor 2
9.02E-05	0.0003095	2.295	220326_s_at	FLJ10357	hypothetical protein FLJ10357
5.57E-05	0.0002302	2.291	212774_at	ZNF238	zinc finger protein 238
0.0001963	0.0005049	2.291	204303_s_at	KIAA0427	KIAA0427
0.0007306	0.0013162	2.282	204421_s_at	FGF2	fibroblast growth factor 2 (basic)
0.0004531	0.0009131	2.281	203136_at	RABAC1	Rab acceptor 1 (prenylated)
5.46E-05	0.0002265	2.28	203390_s_at	KIF3C	kinesin family member 3C
8.30E-06	8.89E-05	2.279	212829_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
7.40E-06	8.32E-05	2.279	201389_at	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
0.000101	0.0003288	2.278	229521_at	FLJ36031	hypothetical protein FLJ36031
5.00E-06	7.16E-05	2.277	221059_s_at	CHST6	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6
0.0001447	0.0004084	2.274	1561064_a_at	NA	NA
0.0001355	0.0003948	2.27	220559_at	EN1	engrailed homeobox 1
8.61E-05	0.0003022	2.268	230099_at	NA	NA
1.91E-05	0.0001292	2.266	227489_at	SMURF2	SMAD specific E3 ubiquitin protein ligase 2
2.54E-05	0.0001515	2.264	212120_at	RHOQ	ras homolog gene family, member Q
0.0005605	0.0010733	2.263	221024_s_at	SLC2A10	solute carrier family 2 (facilitated glucose transporter), member 10
0.0005379	0.0010423	2.259	213644_at	CCDC46	coiled-coil domain containing 46
5.90E-06	7.80E-05	2.257	224583_at	COTL1	coactosin-like 1 (Dictyostelium)
0.00018	0.000476	2.253	218627_at	DRAM	damage-regulated autophagy modulator
5.40E-06	7.54E-05	2.252	227326_at	MXRA7	matrix-remodelling associated 7
0.0007809	0.001387	2.252	221953_s_at	MT1P3	metallothionein 1 pseudogene 3
9.30E-06	9.40E-05	2.248	210987_x_at	TPM1	tropomyosin 1 (alpha)
0.000436	0.0008897	2.247	225163_at	FRMD4A	FERM domain containing 4A
2.20E-06	5.78E-05	2.247	228739_at	LOC100131506	hypothetical LOC100131506
0.0001492	0.0004185	2.245	202551_s_at	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
8.08E-05	0.0002914	2.239	201162_at	IGFBP7	insulin-like growth factor binding protein 7
0.0002012	0.000514	2.236	203813_s_at	SLIT3	slit homolog 3 (Drosophila)
0.0005447	0.0010526	2.235	209340_at	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1
6.85E-05	0.0002607	2.226	204589_at	NUAK1	NUAK family, SNF1-like kinase, 1
0.0004431	0.0009018	2.226	1569149_at	PDLIM7	PDZ and LIM domain 7 (enigma)
2.71E-05	0.0001559	2.224	53991_at	DENND2A	DENN/MADD domain containing 2A
0.0005526	0.0010633	2.224	1555471_a_at	FMN2	formin 2
0.000325	0.0007233	2.217	227261_at	KLF12	Kruppel-like factor 12
0.0001128	0.0003547	2.217	207719_x_at	CEP170	centrosomal protein 170kDa
0.0003965	0.0008324	2.216	205407_at	RECK	reversion-inducing-cysteine-rich protein with kazal motifs
0.0001446	0.0004084	2.21	239638_at	NA	NA
0.0003865	0.0008182	2.208	243864_at	CCDC80	coiled-coil domain containing 80
0.0003688	0.0007911	2.207	241058_at	NA	NA
0.0004088	0.0008495	2.206	226694_at	AKAP2	A kinase (PRKA) anchor protein 2
0.0001422	0.0004054	2.204	36553_at	ASMTL	acetylserotonin O-methyltransferase-like
0.0004528	0.0009131	2.202	237301_at	NA	NA
1.33E-05	0.0001106	2.202	226197_at	NA	NA
3.65E-05	0.000179	2.201	232067_at	C6orf168	chromosome 6 open reading frame 168
0.0001903	0.0004963	2.2	203874_s_at	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1
0.0004505	0.0009103	2.199	224229_s_at	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
0.0004005	0.0008387	2.199	243606_at	NA	NA
1.80E-05	0.0001264	2.198	226507_at	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1
0.0002658	0.0006302	2.196	212561_at	DENND5A	DENN/MADD domain containing 5A
2.62E-05	0.0001531	2.194	235343_at	VASH2	vasohibin 2
9.14E-05	0.0003106	2.186	227224_at	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
0.0005152	0.0010129	2.185	205596_s_at	SMURF2	SMAD specific E3 ubiquitin protein ligase 2
0.0001429	0.0004064	2.185	202440_s_at	ST5	suppression of tumorigenicity 5
0.000297	0.0006817	2.184	213241_at	PLXNC1	plexin C1
1.74E-05	0.0001233	2.181	210135_s_at	SHOX2	short stature homeobox 2
0.0002474	0.0006047	2.179	204604_at	PFTK1	PFTAIRE protein kinase 1
4.37E-05	0.000196	2.178	218656_s_at	LHFP	lipoma HMGIC fusion partner
1.63E-05	0.00012	2.176	226546_at	NA	NA
2.27E-05	0.0001414	2.171	219895_at	FAM70A	family with sequence similarity 70, member A
0.0001226	0.0003687	2.169	205741_s_at	DTNA	dystrobrevin, alpha
0.0002722	0.0006391	2.168	203370_s_at	PDLIM7	PDZ and LIM domain 7 (enigma)
0.0004518	0.0009121	2.167	235061_at	PPM1K	protein phosphatase 1K (PP2C domain containing)
0.0005238	0.0010272	2.166	222900_at	NA	NA
0.0003396	0.0007426	2.166	238532_at	DPF3	D4, zinc and double PHD fingers, family 3
3.60E-06	6.75E-05	2.163	235205_at	LOC100128259	hypothetical protein LOC100128259
0.0004627	0.0009283	2.162	226853_at	BMP2K	BMP2 inducible kinase
1.19E-05	0.0001035	2.16	210139_s_at	PMP22	peripheral myelin protein 22
0.0001827	0.0004817	2.16	227088_at	PDE5A	phosphodiesterase 5A, cGMP-specific
0.0007303	0.0013162	2.16	225817_at	CGNL1	cingulin-like 1
0.0003927	0.0008259	2.156	201701_s_at	PGRMC2	progesterone receptor membrane component 2
0.0008437	0.0014696	2.152	221261_x_at	MAGED4B	melanoma antigen family D, 4B
9.00E-06	9.33E-05	2.15	217889_s_at	CYBRD1	cytochrome b reductase 1
8.74E-05	0.0003045	2.145	213484_at	NA	NA
0.0005973	0.0011264	2.143	227226_at	MRAP2	melanocortin 2 receptor accessory protein 2
6.25E-05	0.0002462	2.141	241484_x_at	NA	NA
0.0002363	0.0005833	2.139	226955_at	AFAP1L1	actin filament associated protein 1-like 1
1.53E-05	0.0001177	2.139	208370_s_at	RCAN1	regulator of calcineurin 1
6.20E-06	7.96E-05	2.139	224663_s_at	CFL2	cofilin 2 (muscle)
3.60E-05	0.0001785	2.139	224791_at	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
0.0005427	0.0010497	2.138	204368_at	SLCO2A1	solute carrier organic anion transporter family, member 2A1
0.0003078	0.0006973	2.135	239162_at	NA	NA
0.000584	0.0011077	2.134	210319_x_at	MSX2	msh homeobox 2
9.74E-05	0.0003215	2.129	201719_s_at	EPB41L2	erythrocyte membrane protein band 4.1-like 2
0.0005096	0.0010063	2.128	230722_at	BNC2	basonuclin 2
0.0005868	0.0011112	2.127	1555976_s_at	MYL12A	myosin, light chain 12A, regulatory, non-sarcomeric
0.0001952	0.0005038	2.123	213213_at	DIDO1	death inducer-obliterator 1
0.0007629	0.0013636	2.121	237452_at	NA	NA
0.0009117	0.0015593	2.119	239431_at	TICAM2	toll-like receptor adaptor molecule 2
0.0001011	0.0003288	2.118	227929_at	NA	NA
0.0003086	0.0006984	2.118	231411_at	LHFP	lipoma HMGIC fusion partner
0.0001641	0.0004407	2.117	225860_at	MT1P3	metallothionein 1 pseudogene 3
5.13E-05	0.000218	2.117	202074_s_at	OPTN	optineurin
7.00E-04	0.0012743	2.114	221435_x_at	HYI	hydroxypyruvate isomerase homolog (E. coli)
0.0001399	0.0004014	2.111	224927_at	KIAA1949	KIAA1949
4.29E-05	0.0001945	2.109	240312_at	LOC389895	hypothetical LOC389895
5.39E-05	0.0002248	2.1	230741_at	NA	NA
0.0001761	0.0004668	2.097	223041_at	CD99L2	CD99 molecule-like 2
9.85E-05	0.0003242	2.093	220136_s_at	CRYBA2	crystallin, beta A2
0.0005295	0.0010321	2.092	204891_s_at	LCK	lymphocyte-specific protein tyrosine kinase
0.0002176	0.0005473	2.087	218486_at	KLF11	Kruppel-like factor 11
0.0004168	0.0008622	2.082	202920_at	ANK2	ankyrin 2, neuronal
0.0002331	0.0005773	2.081	225784_s_at	ZC4H2	zinc finger, C4H2 domain containing
3.63E-05	0.0001789	2.08	202665_s_at	WIPF1	WAS/WASL interacting protein family, member 1
