ENTREZGENEID	DESCRIPTION	Symbol	logFOLDCHANGE	FOLDCHANGE	P.Value
6636	Small nuclear ribonucleoprotein polypeptide F	SNRPF	0.9	1.87	0.0169
10499	Nuclear receptor coactivator 2	NCOA2	0.9	1.87	0.00872
400	ADP-ribosylation factor-like 1	ARL1	0.9	1.87	0.0129
5434	Polymerase (RNA) II (DNA directed) polypeptide E, 25kDa	POLR2E	0.9	1.87	0.00362
51776	Sterile alpha motif and leucine zipper containing kinase AZK	ZAK	0.9	1.86	0.00021
5316	PBX/knotted 1 homeobox 1	PKNOX1	0.9	1.86	0.000926
2202	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	0.9	1.86	0.000664
393	Rho GTPase activating protein 4	ARHGAP4	0.89	1.86	0.00364
8890	Eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	EIF2B4	0.89	1.86	0.000466
4583	Mucin 2, oligomeric mucus/gel-forming	MUC2	0.89	1.86	0.0427
10581	Interferon induced transmembrane protein 2 (1-8D)	IFITM2	0.89	1.85	0.0102
1645	Aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	AKR1C1	0.89	1.85	0.000401
64231	Membrane-spanning 4-domains, subfamily A, member 6A	MS4A6A	0.89	1.85	0.00161
6747	Signal sequence receptor, gamma (translocon-associated protein gamma)	SSR3	0.89	1.85	0.0004
54849	Differentially expressed in FDCP 8 homolog (mouse)	DEF8	0.89	1.85	0.00286
54471	Smith-Magenis syndrome chromosome region, candidate 7-like	SMCR7L	0.89	1.85	0.0112
116150	Nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	NUS1	0.88	1.85	0.0212
201627	Family with sequence similarity 116, member A	FAM116A	0.88	1.85	0.0103
399	Ras homolog gene family, member H	RHOH	0.88	1.84	0.143
9976	C-type lectin domain family 2, member B	CLEC2B	0.88	1.84	0.0906
7857	Secretogranin II (chromogranin C)	SCG2	0.88	1.84	0.00565
116984	Centaurin, delta 1	CENTD1	0.88	1.84	0.00157
4907	5-nucleotidase, ecto (CD73)	NT5E	0.88	1.84	0.000291
83940	TatD DNase domain containing 1	TATDN1	0.88	1.84	0.00506
7851	Mal, T-cell differentiation protein-like	MALL	0.88	1.84	0.0228
8273	Solute carrier family 10 (sodium/bile acid cotransporter family), member 3	SLC10A3	0.88	1.84	0.00192
3992	Fatty acid desaturase 1	FADS1	0.88	1.84	0.00419
9468	Phosphate cytidylyltransferase 1, choline, beta	PCYT1B	0.88	1.84	0.00289
26033	Attractin-like 1	ATRNL1	0.88	1.84	0.000619
159013	Chromosome X open reading frame 38	CXorf38	0.88	1.84	0.00404
966	CD59 molecule, complement regulatory protein	CD59	0.88	1.84	0.0209
8874	Rho guanine nucleotide exchange factor (GEF) 7	ARHGEF7	0.88	1.84	0.0705
2020	Engrailed homeobox 2	EN2	0.87	1.83	0.0332
54441	Stromal antigen 3-like 1	STAG3L1	0.87	1.83	0.0253
381	ADP-ribosylation factor 5	ARF5	0.87	1.83	0.0151
2688	Growth hormone 1	GH1	0.87	1.83	0.000366
201595	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	STT3B	0.87	1.83	0.000573
4091	SMAD family member 6	SMAD6	0.87	1.83	0.001
222183	Hypothetical protein FLJ37078	FLJ37078	0.87	1.83	0.00224
28511	NFKB inhibitor interacting Ras-like 2	NKIRAS2	0.87	1.83	0.00541
2939	Glutathione S-transferase A2	GSTA2	0.87	1.83	0.0223
1442	Chorionic somatomammotropin hormone 1 (placental lactogen)	CSH1	0.87	1.83	0.0198
54014	Bromodomain and WD repeat domain containing 1	BRWD1	0.87	1.82	0.000713
9277	WD repeat domain 46	WDR46	0.86	1.82	0.00242
23060	In multiple clusters		0.86	1.82	0.0308
1973	Eukaryotic translation initiation factor 4A, isoform 1	EIF4A1	0.86	1.82	0.00471
780	Discoidin domain receptor tyrosine kinase 1	DDR1	0.86	1.82	0.000195
10457	Glycoprotein (transmembrane) nmb	GPNMB	0.86	1.82	0.00377
84886	Chromosome 1 open reading frame 198	C1orf198	0.86	1.82	0.00384
1942	Ephrin-A1	EFNA1	0.86	1.82	0.0392
5052	Peroxiredoxin 1	PRDX1	0.86	1.82	0.0282
56997	Chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	CABC1	0.86	1.82	0.00119
9202	Zinc finger, MYM-type 4	ZMYM4	0.86	1.81	0.0332
2289	FK506 binding protein 5	FKBP5	0.86	1.81	0.00272
6840	Supervillin	SVIL	0.85	1.81	0.0271
54509	In multiple clusters		0.85	1.81	0.0775
6124	In multiple clusters		0.85	1.81	0.00327
51150	Stromal cell derived factor 4	SDF4	0.85	1.81	0.00839
6059	ATP-binding cassette, sub-family E (OABP), member 1	ABCE1	0.85	1.8	0.00722
10123	In multiple clusters		0.85	1.8	0.000974
10949	Heterogeneous nuclear ribonucleoprotein A0	HNRNPA0	0.85	1.8	0.0175
6810	Syntaxin 4	STX4	0.85	1.8	0.00812
537	ATPase, H+ transporting, lysosomal accessory protein 1	ATP6AP1	0.85	1.8	0.0111
5054	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1	0.85	1.8	0.0017
23287	ATP/GTP binding protein 1	AGTPBP1	0.85	1.8	0.00169
4060	Lumican	LUM	0.85	1.8	0.0275
323	Amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	APBB2	0.85	1.8	0.0186
6218	Ribosomal protein S17	RPS17	0.85	1.8	0.00332
84717	Hepatoma-derived growth factor-related protein 2	HDGF2	0.85	1.8	0.00341
64427	Tetratricopeptide repeat domain 31	TTC31	0.85	1.8	0.0017
64598	Motile sperm domain containing 3	MOSPD3	0.84	1.8	0.004
23213	Sulfatase 1	SULF1	0.84	1.79	0.0174
400506	Similar to TSG118.1	LOC400506	0.84	1.79	0.00158
26092	Torsin A interacting protein 1	TOR1AIP1	0.84	1.79	0.0289
5176	Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	SERPINF1	0.84	1.79	0.0119
6948	Transcobalamin II; macrocytic anemia	TCN2	0.84	1.79	0.0126
84254	Calcium/calmodulin-dependent protein kinase kinase 1, alpha	CAMKK1	0.84	1.79	0.000172
51170	Hydroxysteroid (17-beta) dehydrogenase 11	HSD17B11	0.84	1.79	0.000399
7280	Tubulin, beta 2A	TUBB2A	0.84	1.79	0.00356
93185	Immunoglobulin superfamily, member 8	IGSF8	0.84	1.79	0.00267
29952	Dipeptidyl-peptidase 7	DPP7	0.84	1.79	0.000471
8237	Ubiquitin specific peptidase 11	USP11	0.84	1.79	0.00634
55075	Uveal autoantigen with coiled-coil domains and ankyrin repeats	UACA	0.84	1.79	0.0127
26234	F-box and leucine-rich repeat protein 5	FBXL5	0.84	1.79	0.0148
26259	In multiple clusters		0.84	1.79	0.0055
8725	Chromosome 19 open reading frame 2	C19orf2	0.84	1.79	0.0157
163126	EP300 interacting inhibitor of differentiation 2	EID2	0.84	1.79	0.0234
10036	Chromatin assembly factor 1, subunit A (p150)	CHAF1A	0.84	1.79	0.000513
400	ADP-ribosylation factor-like 1	ARL1	0.84	1.78	0.0178
79183	Chromosome 20 open reading frame 121	C20orf121	0.83	1.78	0.118
127281	Chromosome 1 open reading frame 93	C1orf93	0.83	1.78	0.000301
5226	Phosphogluconate dehydrogenase	PGD	0.83	1.78	0.00211
220	Aldehyde dehydrogenase 1 family, member A3	ALDH1A3	0.83	1.78	0.0495
29923	Hypoxia-inducible protein 2	HIG2	0.83	1.78	0.000995
11124	Fas (TNFRSF6) associated factor 1	FAF1	0.83	1.78	0.0252
3782	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	KCNN3	0.83	1.78	0.0174
29763	Protein kinase C and casein kinase substrate in neurons 3	PACSIN3	0.83	1.78	0.0164
22820	Coatomer protein complex, subunit gamma	COPG	0.83	1.78	0.00361
3638	Insulin induced gene 1	INSIG1	0.83	1.77	0.0317
54587	Matrix-remodelling associated 8	MXRA8	0.83	1.77	0.0216
2266	Fibrinogen gamma chain	FGG	0.83	1.77	0.0372
25873	Ribosomal protein L36	RPL36	0.83	1.77	0.000244
4692	Necdin homolog (mouse)	NDN	0.83	1.77	0.00888
57472	CCR4-NOT transcription complex, subunit 6	CNOT6	0.83	1.77	0.00121
5230	Phosphoglycerate kinase 1	PGK1	0.82	1.77	0.0772
5717	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	PSMD11	0.82	1.77	0.00542
191	S-adenosylhomocysteine hydrolase	AHCY	0.82	1.77	0.000227
7123	Exosome component 7	CLEC3B	0.82	1.77	0.00196
28988	Drebrin-like	DBNL	0.82	1.76	0.00318
4256	Matrix Gla protein	MGP	0.82	1.76	0.0251
10101	Nucleotide binding protein 2 (MinD homolog, E. coli)	NUBP2	0.82	1.76	0.00341
51290	ERGIC and golgi 2	ERGIC2	0.82	1.76	0.00469
998	Cell division cycle 42 (GTP binding protein, 25kDa)	CDC42	0.82	1.76	0.00682
126133	Aldehyde dehydrogenase 16 family, member A1	ALDH16A1	0.82	1.76	0.00305
1318	Solute carrier family 31 (copper transporters), member 2	SLC31A2	0.82	1.76	0.0074
5567	Protein kinase, cAMP-dependent, catalytic, beta	PRKACB	0.82	1.76	0.00559
3730	Kallmann syndrome 1 sequence	KAL1	0.82	1.76	0.0462
55654	Transmembrane protein 127	TMEM127	0.81	1.76	0.072
57045	Twisted gastrulation homolog 1 (Drosophila)	TWSG1	0.81	1.76	0.000385
1511	Cathepsin G	CTSG	0.81	1.76	0.00415
8636	Sjogren syndrome nuclear autoantigen 1	SSNA1	0.81	1.76	0.0512
5329	Plasminogen activator, urokinase receptor	PLAUR	0.81	1.76	0.0595
113146	AHNAK nucleoprotein 2	AHNAK2	0.81	1.76	0.00457
