Symbol	Name	ProbeId	Pup:Log2FC	Pup:adj_p-value
Tnfaip1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	A_52_P52036	Pup:1.18848838124224	Pup:2.82708053751121e-07
2010300C02Rik	RIKEN cDNA 2010300C02 gene	A_51_P333622	Pup:1.18805427957739	Pup:1.74864776693077e-05
Anapc7	anaphase promoting complex subunit 7	A_52_P384134	Pup:1.18423510055864	Pup:0.0317362873582523
5730508B09Rik	RIKEN cDNA 5730508B09 gene	A_52_P23308	Pup:1.18059579505915	Pup:0.000411896622637512
Rad51l1	RAD51-like 1 (S. cerevisiae)	A_51_P269792	Pup:1.17596137539455	Pup:0.000366280750162618
Fam134c	family with sequence similarity 134, member C	A_52_P128935	Pup:1.17469858550739	Pup:0.0294132168290236
Senp8	SUMO/sentrin specific peptidase 8	A_51_P423431	Pup:1.17171280942934	Pup:0.000135863039894641
Nrip1	nuclear receptor interacting protein 1	A_52_P413584	Pup:1.17065274846502	Pup:0.00435063811613617
6430573F11Rik	RIKEN cDNA 6430573F11 gene	A_51_P446825	Pup:1.16695293491621	Pup:0.0470629065135235
Tcfap2a	transcription factor AP-2, alpha	A_51_P443062	Pup:1.16552718981356	Pup:0.00106649710519997
Tmem37	transmembrane protein 37	A_51_P401987	Pup:1.16459276933547	Pup:0.000199155784774623
1700001C02Rik	RIKEN cDNA 1700001C02 gene	A_51_P109976	Pup:1.16064424957218	Pup:0.00104164776671054
St3gal6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	A_51_P281333	Pup:1.16014987504967	Pup:6.92842779560945e-05
Camkk1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	A_51_P208330	Pup:1.15943172079421	Pup:0.000400604472814088
Kbtbd3	kelch repeat and BTB (POZ) domain containing 3	A_52_P574081	Pup:1.15904582628807	Pup:0.00311122828218314
4930502E18Rik	RIKEN cDNA 4930502E18 gene	A_51_P227845	Pup:1.15829252547751	Pup:0.00313798250134631
6330403A02Rik	RIKEN cDNA 6330403A02 gene	A_52_P1051779	Pup:1.15331032927432	Pup:0.0156593281804415
Yif1a	Yip1 interacting factor homolog A (S. cerevisiae)	A_51_P175736	Pup:1.15188916201904	Pup:0.000466528732405137
Sval1	seminal vesicle antigen-like 1	A_51_P290387	Pup:1.14852028169047	Pup:2.13329378974132e-05
Gmds	GDP-mannose 4, 6-dehydratase	A_52_P463271	Pup:1.14770844330105	Pup:0.000339915315246018
Zfand2a	zinc finger, AN1-type domain 2A	A_51_P377826	Pup:1.14447410024565	Pup:0.000627081587906075
Rnaseh2c	ribonuclease H2, subunit C	A_51_P417469	Pup:1.14339814025058	Pup:1.18526948671517e-05
Cntn1	contactin 1	A_51_P520175	Pup:1.14261119060709	Pup:0.0206364974206427
C030027H14Rik	RIKEN cDNA C030027H14 gene	A_51_P395864	Pup:1.14230125059559	Pup:0.00160097903016
4930519L02Rik	RIKEN cDNA 4930519L02 gene	A_51_P381449	Pup:1.14086731858445	Pup:0.00485257609153884
Inpp4b	inositol polyphosphate-4-phosphatase, type II	A_52_P330289	Pup:1.14074656449766	Pup:0.0318043538527039
Lpcat3	lysophosphatidylcholine acyltransferase 3	A_51_P145415	Pup:1.13801138376043	Pup:4.00835456351189e-06
Zfp449	zinc finger protein 449	A_51_P263844	Pup:1.13717075407304	Pup:0.027005971095743
1810022C23Rik	RIKEN cDNA 1810022C23 gene	A_51_P114177	Pup:1.13616866964642	Pup:5.81494477362405e-08
Ranbp17	RAN binding protein 17	A_52_P399846	Pup:1.13498728238819	Pup:0.00404059502559712
Dspp	dentin sialophosphoprotein	A_51_P395991	Pup:1.13193844927648	Pup:0.00350191404133115
Kcnj15	potassium inwardly-rectifying channel, subfamily J, member 15	A_51_P159225	Pup:1.13017960084263	Pup:0.00917325448497324
Ptplad1	protein tyrosine phosphatase-like A domain containing 1	A_52_P641892	Pup:1.12915662436528	Pup:0.000483721502279333
Tusc2	tumor suppressor candidate 2	A_52_P123354	Pup:1.12835471413952	Pup:2.71333035034251e-06
Sec61a2	Sec61, alpha subunit 2 (S. cerevisiae)	A_52_P652164	Pup:1.12774713867022	Pup:7.45050812570661e-05
Slc16a13	solute carrier family 16 (monocarboxylic acid transporters), member 13	A_51_P373428	Pup:1.12727037112834	Pup:0.000138548896869977
9430081H08Rik	RIKEN cDNA 9430081H08 gene	A_52_P418807	Pup:1.12689151703718	Pup:0.00385967669302357
Ctla2b	cytotoxic T lymphocyte-associated protein 2 beta	A_51_P489522	Pup:1.12599451396056	Pup:1.77180501283488e-05
Cr1l	complement component (3b/4b) receptor 1-like	A_52_P399580	Pup:1.12357075536068	Pup:0.00582187024308236
Tmem173	transmembrane protein 173	A_51_P240801	Pup:1.12335548938271	Pup:0.000133288971475967
Ankrd22	ankyrin repeat domain 22	A_51_P195534	Pup:1.12222093272134	Pup:0.00143720533524132
Olfr576	olfactory receptor 576	A_52_P261365	Pup:1.1214487247547	Pup:0.00104634709854413
Ccdc126	coiled-coil domain containing 126	A_52_P163640	Pup:1.12067392441652	Pup:0.00612268451519843
Chrnb1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	A_51_P475342	Pup:1.1204985289464	Pup:0.00321724457753866
Col5a3	collagen, type V, alpha 3	A_51_P241995	Pup:1.12019432307594	Pup:0.00939063616635042
Bai2	brain-specific angiogenesis inhibitor 2	A_51_P284079	Pup:1.11238194443398	Pup:0.0013699927573216
Shc3	src homology 2 domain-containing transforming protein C3	A_51_P399223	Pup:1.11107245973287	Pup:0.000207849397980409
Shroom2	shroom family member 2	A_51_P311995	Pup:1.10952564321439	Pup:0.000155634906268158
Cln5	ceroid-lipofuscinosis, neuronal 5	A_51_P320888	Pup:1.10923158308132	Pup:0.00289365815649053
Abhd5	abhydrolase domain containing 5	A_51_P407165	Pup:1.10699939637844	Pup:0.00104164776671054
4930563D23Rik	RIKEN cDNA 4930563D23 gene	A_51_P415306	Pup:1.10586763202883	Pup:0.0145500813136678
Mtx3	metaxin 3	A_51_P479541	Pup:1.10478088121581	Pup:0.0419723136505251
Cep57l1	centrosomal protein 57-like 1	A_52_P398673	Pup:1.10328593771375	Pup:0.0467361817131129
Ndufs5	NADH dehydrogenase (ubiquinone) Fe-S protein 5	A_51_P214916	Pup:1.10156281382754	Pup:2.6894448583731e-05
Brp44l	brain protein 44-like	A_51_P444301	Pup:1.09816467420316	Pup:2.96530613498314e-06
Txndc11	thioredoxin domain containing 11	A_52_P150988	Pup:1.0972974867534	Pup:0.000457495219149613
3632451O06Rik	RIKEN cDNA 3632451O06 gene	A_51_P465147	Pup:1.09115328337815	Pup:0.00105438533284941
Spag1	sperm associated antigen 1	A_52_P547589	Pup:1.09000312744141	Pup:0.0118360148907958
Gm5077	predicted gene 5077	A_52_P39505	Pup:1.0876713463811	Pup:0.00490393615912968
5830405M20Rik	RIKEN cDNA 5830405M20 gene	A_51_P395686	Pup:1.08664798695114	Pup:0.00491869833956881
Dbpht2	DNA binding protein with his-thr domain	A_52_P656667	Pup:1.08569457353908	Pup:0.000830102189683302
Gpr158	G protein-coupled receptor 158	A_52_P133578	Pup:1.08553324692627	Pup:0.0153490843672402
Atp5s	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s	A_52_P195798	Pup:1.07882105983302	Pup:0.000275663306409552
Nbl1	neuroblastoma, suppression of tumorigenicity 1	A_51_P244492	Pup:1.07790672102721	Pup:0.00215638530513495
Gm71	predicted gene 71	A_52_P608755	Pup:1.07725333169828	Pup:0.000279914494932788
1500011H22Rik	RIKEN cDNA 1500011H22 gene	A_51_P252784	Pup:1.07723974623641	Pup:0.00022280996943323
Zadh2	zinc binding alcohol dehydrogenase, domain containing 2	A_51_P137388	Pup:1.07682755389526	Pup:0.000203214131806627
Pla2g2d	phospholipase A2, group IID	A_51_P232281	Pup:1.07375931483028	Pup:0.00131818951672936
Padi6	peptidyl arginine deiminase, type VI	A_51_P448094	Pup:1.07345760418629	Pup:4.27813089421524e-06
Fam116a	family with sequence similarity 116, member A	A_52_P186962	Pup:1.07133454953841	Pup:0.0043630767467696
Mpp5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	A_52_P402881	Pup:1.07105352595841	Pup:0.00766768893214586
Ntrk3	neurotrophic tyrosine kinase, receptor, type 3	A_52_P55706	Pup:1.07065306373568	Pup:0.0030006180886801
Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like	A_52_P82804	Pup:1.0705915455948	Pup:0.023130790651949
Pde10a	phosphodiesterase 10A	A_51_P419017	Pup:1.06918781293413	Pup:0.00509371219398948
Trp53-ps	transformation related protein 53, pseudogene	A_52_P133016	Pup:1.06906739135712	Pup:0.000745570568356353
Morn1	MORN repeat containing 1	A_52_P462764	Pup:1.06760367565968	Pup:0.000341780315421481
Engase	endo-beta-N-acetylglucosaminidase	A_52_P28775	Pup:1.06428601562472	Pup:0.00352705529524933
Nus1	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	A_51_P292030	Pup:1.06289179263202	Pup:0.00012053343543021
Lyrm5	LYR motif containing 5	A_52_P550805	Pup:1.06138094235435	Pup:6.88675581436569e-06
Gm13152	predicted gene 13152	A_52_P205508	Pup:1.06034421559721	Pup:0.00183422162734692
Srprb	signal recognition particle receptor, B subunit	A_52_P324986	Pup:1.05496041004556	Pup:0.00300837777490494
Olfr1019	olfactory receptor 1019	A_52_P439208	Pup:1.05397366159682	Pup:1.3604856734537e-05
Zfp69	zinc finger protein 69	A_52_P478550	Pup:1.05290555266202	Pup:0.0146628833014851
Zfp672	zinc finger protein 672	A_51_P155174	Pup:1.05180482351116	Pup:0.00100667905022844
Ppapdc3	phosphatidic acid phosphatase type 2 domain containing 3	A_51_P321374	Pup:1.05130494089129	Pup:2.508671957654e-05
Rab42-ps	RAB42, member RAS oncogene family, pseudogene	A_51_P248031	Pup:1.05086336474329	Pup:0.00202126358812592
Fgf13	fibroblast growth factor 13	A_52_P154877	Pup:1.04995964356584	Pup:0.00529557211766844
Zfp87	zinc finger protein 87	A_52_P188070	Pup:1.04528516927337	Pup:0.000411668036132436
Yipf6	Yip1 domain family, member 6	A_52_P432153	Pup:1.04441478003256	Pup:2.86918753788842e-05
Fam108a	family with sequence similarity 108, member A	A_51_P401717	Pup:1.04012793869261	Pup:2.18775503213153e-06
1700028P14Rik	RIKEN cDNA 1700028P14 gene	A_51_P341487	Pup:1.03445658141574	Pup:0.01273495527961
Ap3s1	adaptor-related protein complex 3, sigma 1 subunit	A_52_P617020	Pup:1.03321885857473	Pup:0.00345274287616249
0610011F06Rik	RIKEN cDNA 0610011F06 gene	A_51_P443618	Pup:1.03280295729528	Pup:0.000435729081852228
2810459M11Rik	RIKEN cDNA 2810459M11 gene	A_51_P310164	Pup:1.0319939492256	Pup:0.000920200188130784
Ccdc64b	coiled-coil domain containing 64B	A_51_P471362	Pup:1.03111677907559	Pup:0.0497136401304878
Acot1	acyl-CoA thioesterase 1	A_51_P451574	Pup:1.03055036768641	Pup:0.0231758599441443
H2-Ke6	H2-K region expressed gene 6	A_51_P344407	Pup:1.02811379090432	Pup:0.000126486820815911
2510002D24Rik	RIKEN cDNA 2510002D24 gene	A_52_P684130	Pup:1.02744533742695	Pup:0.00215187412387582
Rhobtb3	Rho-related BTB domain containing 3	A_52_P413280	Pup:1.02595719605431	Pup:0.0445083770791062
Otos	otospiralin	A_52_P473106	Pup:1.02548397651793	Pup:0.00709511698424008
Arv1	ARV1 homolog (yeast)	A_52_P571938	Pup:1.02524375283389	Pup:0.00103159794163483
Itpka	inositol 1,4,5-trisphosphate 3-kinase A	A_51_P273609	Pup:1.02515239038032	Pup:0.000584761088672862
2610301B20Rik	RIKEN cDNA 2610301B20 gene	A_51_P425768	Pup:1.02283452072789	Pup:6.89525688087516e-05
Ankrd39	ankyrin repeat domain 39	A_52_P156485	Pup:1.01936906199185	Pup:8.52956927862741e-05
Echdc1	enoyl Coenzyme A hydratase domain containing 1	A_51_P120448	Pup:1.01864786727083	Pup:1.7102828882534e-05
Prepl	prolyl endopeptidase-like	A_52_P447477	Pup:1.018134689889	Pup:0.0032100691409826
Cdc42ep3	CDC42 effector protein (Rho GTPase binding) 3	A_51_P267494	Pup:1.01497246502772	Pup:0.000281423554565025
1700084J12Rik	RIKEN cDNA 1700084J12 gene	A_52_P50417	Pup:1.01306096550122	Pup:0.0013626595784875
Trim62	tripartite motif-containing 62	A_51_P221677	Pup:1.01103471876577	Pup:0.00293053078095228
Dnajc16	DnaJ (Hsp40) homolog, subfamily C, member 16	A_52_P533083	Pup:1.01090417848131	Pup:0.00448222819495182
Il11ra1	interleukin 11 receptor, alpha chain 1	A_51_P353946	Pup:1.00997857944328	Pup:7.52281483895631e-05
Fam53c	family with sequence similarity 53, member C	A_51_P121432	Pup:1.0096321703686	Pup:0.000181520591660865
Nalcn	sodium leak channel, non-selective	A_51_P243036	Pup:1.00521980904582	Pup:0.0176265707903583
Zfp354b	zinc finger protein 354B	A_52_P359591	Pup:1.00411734038467	Pup:0.0419723136505251
Slc35b1	solute carrier family 35, member B1	A_51_P209319	Pup:1.00238132200885	Pup:0.000261741517397558
Fam125b	family with sequence similarity 125, member B	A_51_P364391	Pup:1.00201936703905	Pup:3.61882697737362e-05
Trip4	thyroid hormone receptor interactor 4	A_51_P322531	Pup:1.00048986877936	Pup:0.0232863088602311
Rpl18a	ribosomal protein L18A	A_51_P446229	Pup:1.00008334067012	Pup:0.00204310715719888
Kctd7	potassium channel tetramerisation domain containing 7	A_52_P553000	Pup:1.0000016634554	Pup:0.000488103845968286
