Probeset	Symbol	Probes	Mean Diff (P<=0.5)	FC>=2.0	Fold Change	t-Value	Adj. P Value	Best Probeset	Sens/Spec
207980_s_at	CITED2	25	+	-	1.64	9.47	5.29E-13	125201-HuGene_st	87.18 (79.7-92.6)
204034_at	ETHE1	23	+	-	1.75	9.1	3.46E-12	1008653-HuGene_st	86.58 (78.9-92.1)
224480_s_at	AGPAT9	1	+	-	1.57	8.54	1.31E-17	224480_s_at	84.62 (76.6-90.6)
206637_at	P2RY14	23	+	-	2	8.3	1.31E-10	528057-HuGene_st	83.93 (75.8-90)
212814_at	AHCYL2	1	+	-	1.76	7.99	1.35E-15	212814_at	83.11 (75-89.4)
228469_at	PPID	25	+	-	1.73	7.53	3.34E-09	204185_x_at	81.65 (73.2-88.2)
201324_at	EMP1	26	+	-	1.95	7.05	2.59E-08	201324_at	80.46 (71.9-87.3)
226818_at	MPEG1	20	+	-	1.86	6.84	4.58E-08	226818_at	79.49 (70.7-86.5)
203060_s_at	PAPSS2	26	+	-	1.97	6.77	6.43E-08	1040734-HuGene_st	79.09 (70.4-86.1)
212288_at	FNBP1	112	+	-	1.55	6.62	3.54E-08	728822-HuGene_st	78.78 (70.1-85.9)
217967_s_at	FAM129A	24	+	-	1.8	5.7	4.59E-06	148319-HuGene_st	76 (67-83.5)
226333_at	NA	1	+	-	1.16	5.79	6.94E-09	226333_at	75.97 (66.9-83.4)
202274_at	ACTG2	24	+	-	1.82	5.57	1.07E-05	667818-HuGene_st	75.81 (66.7-83.4)
227522_at	CMBL	25	+	-	1.58	5.58	1.09E-05	157156-HuGene_st	75.16 (66-82.8)
226302_at	ATP8B1	23	+	-	1.67	5.48	5.73E-06	1088077-HuGene_st	74.39 (65.3-82.1)
212192_at	KCTD12	24	+	-	1.86	5.24	1.96E-05	509699-HuGene_st	73.44 (64.2-81.3)
208792_s_at	CLU	26	+	-	1.42	4.89	1.61E-04	222043_at	73.1 (63.9-81)
208791_at	CLU	26	+	-	1.42	4.89	1.61E-04	222043_at	73.09 (63.9-81)
228885_at	MAMDC2	1	+	-	1.65	4.92	8.50E-07	228885_at	72.6 (63.3-80.6)
205935_at	FOXF1	23	+	-	1.28	4.57	4.46E-04	21663-HuGene_st	72.16 (62.9-80.2)
202388_at	RGS2	23	+	-	1.94	4.82	1.71E-04	331021-HuGene_st	71.95 (62.8-80)
224989_at	NA	1	+	-	1.75	4.59	4.52E-06	224989_at	71.28 (61.9-79.4)
224663_s_at	CFL2	25	+	-	1.75	4.39	9.84E-04	545956-HuGene_st	70.16 (60.9-78.4)
224352_s_at	CFL2	25	+	-	1.75	4.39	9.84E-04	545956-HuGene_st	70.15 (60.8-78.4)
214433_s_at	SELENBP1	25	+	-	1.7	4.33	9.08E-04	914892-HuGene_st	70.1 (60.8-78.3)
212859_x_at	MT1E	1	+	-	1.78	4.2	2.70E-05	212859_x_at	69.66 (60.2-77.9)
212097_at	CAV1	22	+	-	1.58	4.2	1.67E-03	793412-HuGene_st	69.52 (60.1-77.7)
211644_x_at	HLA-C	71	+	-	1.24	3.74	2.68E-02	754900-HuGene_st	67.8 (58.3-76.3)
214768_x_at	HLA-C	71	+	-	1.24	3.74	2.68E-02	754900-HuGene_st	67.79 (58.3-76.3)
211643_x_at	HLA-C	71	+	-	1.24	3.74	2.68E-02	754900-HuGene_st	67.78 (58.2-76.3)
226811_at	FAM46C	24	+	-	1.38	3.75	8.57E-03	197110-HuGene_st	67.67 (58.1-76.1)
214696_at	C17orf91	1	+	-	1.17	3.55	3.79E-04	214696_at	66.85 (57.4-75.4)
205554_s_at	DNASE1L3	24	+	-	1.52	3.55	8.41E-03	867148-HuGene_st	66.65 (57.2-75.2)
217109_at	MUC4	50	+	-	1.65	3.58	6.35E-03	1061780-HuGene_st	66.62 (57.1-75.2)
217110_s_at	MUC4	50	+	-	1.65	3.58	6.35E-03	1061780-HuGene_st	66.61 (57.1-75.2)
204895_x_at	MUC4	50	+	-	1.65	3.58	6.35E-03	1061780-HuGene_st	66.6 (57.1-75.2)
204897_at	PTGER4	24	+	-	1.41	3.41	2.38E-02	450915-HuGene_st	65.75 (56.2-74.4)
213746_s_at	FLNA	25	+	-	1.59	3.27	1.58E-02	296693-HuGene_st	65.48 (55.9-74.1)
203240_at	FCGBP	23	+	-	1.99	3.43	1.22E-02	22847-HuGene_st	65.26 (55.8-73.9)
210524_x_at	NA	1	+	-	1.4	3.17	1.54E-03	210524_x_at	65.15 (55.6-73.8)
204083_s_at	TPM2	25	+	-	1.53	3.08	2.60E-02	828216-HuGene_st	64.68 (55.1-73.4)
229659_s_at	PIGR	25	+	-	1.59	3.08	2.78E-02	173623-HuGene_st	64.21 (54.7-72.9)
227735_s_at	C10orf99	24	+	-	1.76	3	2.19E-02	748831-HuGene_st	64.19 (54.6-72.9)
214916_x_at	IL8	91	+	-	1.46	2.99	1.48E-02	227735_s_at	64.17 (54.6-72.9)
227736_at	C10orf99	24	+	-	1.76	3	2.19E-02	227735_s_at	64.16 (54.6-72.9)
200621_at	CSRP1	23	+	-	1.39	3	2.31E-02	453033-HuGene_st	64.13 (54.5-72.8)
209210_s_at	FERMT2	1	+	-	1.11	2.01	4.43E-02	209210_s_at	59.78 (50.2-68.8)
209374_s_at	IGHM	56	-	-	1.19	2.88	7.31E-02	212827_at	66.41 (56.8-75)
216491_x_at	IGHM	56	-	-	1.19	2.88	7.31E-02	212827_at	66.35 (56.9-75)
216510_x_at	ZCWPW2	64	-	-	1.36	2.85	9.11E-02	1042953-HuGene_st	63.58 (54-72.4)
217148_x_at	IGL@	45	-	-	1.26	2.8	1.55E-01	38807-HuGene_st	63.37 (53.8-72.2)
205267_at	POU2AF1	25	-	-	1.18	2.67	2.39E-01	205267_at	62.86 (53.3-71.7)
202768_at	FOSB	23	-	-	2.17	2.67	2.08E-01	739750-HuGene_st	62.51 (53-71.4)
217232_x_at	HBB	21	-	-	1.17	2.05	4.62E-01	102408-HuGene_st	60.19 (50.6-69.2)
211696_x_at	HBB	21	-	-	1.17	2.05	4.62E-01	102408-HuGene_st	60.19 (50.6-69.1)
209116_x_at	HBB	21	-	-	1.17	2.05	4.62E-01	102408-HuGene_st	60.17 (50.7-69.2)
215176_x_at	NTN2L	24	-	-	1.43	1.73	9.86E-01	679204-HuGene_st	58.23 (48.7-67.4)
216576_x_at	NTN2L	24	-	-	1.43	1.73	9.86E-01	679204-HuGene_st	58.23 (48.6-67.4)
210107_at	CLCA1	23	-	-	1.66	1.59	4.16E-01	372283-HuGene_st	57.65 (48.1-66.8)
212224_at	ALDH1A1	23	-	-	1.4	1.49	4.23E-01	420405-HuGene_st	57.02 (47.4-66.2)
228854_at	NA	1	-	-	1.05	1.3	1.93E-01	228854_at	56.38 (46.8-65.6)
217414_x_at	HBA1	27	-	-	1.11	1.04	9.98E-01	416795-HuGene_st	55.51 (45.9-64.8)
214414_x_at	HBA1	27	-	-	1.11	1.04	9.98E-01	416795-HuGene_st	55.5 (45.9-64.8)
209458_x_at	HBA1	27	-	-	1.11	1.04	9.98E-01	416795-HuGene_st	55.5 (45.9-64.8)
217378_x_at	NA	1	-	-	1.15	1.12	2.63E-01	416795-HuGene_st	55.49 (46-64.8)
211745_x_at	HBA2	23	-	-	1.11	1.05	9.98E-01	217378_x_at	55.49 (45.9-64.7)
204018_x_at	HBA1	27	-	-	1.11	1.04	9.98E-01	416795-HuGene_st	55.49 (45.9-64.7)
211699_x_at	HBA1	27	-	-	1.11	1.04	9.98E-01	416795-HuGene_st	55.48 (46-64.7)
228504_at	NA	1	-	-	1.04	1.08	2.79E-01	228504_at	55.3 (45.7-64.5)
214777_at	NA	1	-	-	1.2	1.06	2.90E-01	214777_at	55.18 (45.7-64.4)
224342_x_at	LOC96610	1	-	-	1.15	1.05	2.95E-01	224342_x_at	55.17 (45.6-64.5)
234764_x_at	IGLV1-44	9	-	-	1.15	1.07	9.78E-01	224342_x_at	55.14 (45.6-64.4)
216984_x_at	RPL14	4	-	-	1.12	0.86	3.93E-01	216984_x_at	54.11 (44.6-63.5)
211645_x_at	NA	1	-	-	1.13	0.8	4.23E-01	211645_x_at	53.94 (44.4-63.3)
217235_x_at	RPL14	4	-	-	1.11	0.81	4.22E-01	217235_x_at	53.89 (44.3-63.2)
216401_x_at	NA	1	-	-	1.09	0.7	4.86E-01	216401_x_at	53.44 (43.9-62.8)
216207_x_at	IGKV1D-13	1	-	-	1.1	0.65	5.18E-01	216207_x_at	53.17 (43.6-62.5)
227725_at	ST6GALNAC1	23	-	-	1.06	0.47	9.45E-01	227725_at	52.59 (43.1-62)
217258_x_at	IVD	22	-	-	1.04	0.42	6.78E-01	988503-HuGene_st	51.99 (42.4-61.3)
217179_x_at	LOC96610	1	-	-	1.04	0.29	7.73E-01	217179_x_at	51.42 (41.9-60.9)
228640_at	PCDH7	1	-	-	1	-0.12	9.07E-01	228640_at	50.57 (41.1-59.9)
