P_SET	TITLE	SYMBLE	UPFOLD
231579_s_at	tissue inhibitor of metalloproteinase 2	TIMP2	2.55
231726_at	protocadherin beta 14	PCDHB14	2.41
231766_s_at	collagen, type XII, alpha 1	COL12A1	2.63
231842_at	Homo sapiens mRNA; cDNA DKFZp586L0120 (from clone DKFZp586L0120)	Homo sapiens mRNA; cDNA DKFZp586L0120 (from clone DKFZp586L0120)	2.98
231852_at	hypothetical protein MGC35395	MGC35395	2.37
231879_at	collagen, type XII, alpha 1	COL12A1	2.24
231964_at	Homo sapiens mRNA; cDNA DKFZp564H1663 (from clone DKFZp564H1663)	Homo sapiens mRNA; cDNA DKFZp564H1663 (from clone DKFZp564H1663)	2.32
232060_at	Homo sapiens cDNA FLJ20769 fis, clone COL06674.	Homo sapiens cDNA FLJ20769 fis, clone COL06674.	2.2
233329_s_at	hypothetical protein LOC51315	LOC51315	2.07
233388_at	---, 233388_at, ---	---, 233388_at, ---	2.04
233587_s_at	Homo sapiens cDNA FLJ12790 fis, clone NT2RP2001985, weakly similar to Homo sapiens high-risk human papilloma viruses E6 oncoproteins targeted protein E6TP1 alpha mRNA.	Homo sapiens cDNA FLJ12790 fis, clone NT2RP2001985, weakly similar to Homo sapiens high-risk human papilloma viruses E6 oncoproteins targeted protein E6TP1 alpha mRNA.	2.78
233847_x_at	Homo sapiens uncharacterized gastric protein ZA31P mRNA, partial cds	Homo sapiens uncharacterized gastric protein ZA31P mRNA, partial cds	3.42
234432_at	Homo sapiens metastasis related protein (MB2) mRNA, partial cds	Homo sapiens metastasis related protein (MB2) mRNA, partial cds	3.84
234623_x_at	Homo sapiens metastasis related protein (MB2) mRNA, partial cds	Homo sapiens metastasis related protein (MB2) mRNA, partial cds	6.8
235000_at	Homo sapiens, clone IMAGE:5286019, mRNA	Homo sapiens, clone IMAGE:5286019, mRNA	2.18
235056_at	---, 235056_at, ESTs	---, 235056_at, ESTs	2.32
235103_at	Homo sapiens mRNA; cDNA DKFZp686H1529 (from clone DKFZp686H1529)	Homo sapiens mRNA; cDNA DKFZp686H1529 (from clone DKFZp686H1529)	2.6
235209_at	hypothetical protein FLJ40021	FLJ40021	4.43
235210_s_at	hypothetical protein FLJ40021	FLJ40021	4.95
235417_at	hypothetical protein FLJ25348	FLJ25348	3.08
235467_s_at	potassium voltage-gated channel, Shaw-related subfamily, member 4	KCNC4	2
235489_at	ras homolog gene family, member J	ARHJ	2.2
235766_x_at	ESTs, Moderately similar to  hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	ESTs, Moderately similar to  hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2.02
235821_at	Homo sapiens cDNA FLJ14388 fis, clone HEMBA1002716.	Homo sapiens cDNA FLJ14388 fis, clone HEMBA1002716.	2.18
235852_at	ESTs, Weakly similar to  hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	ESTs, Weakly similar to  hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2.48
235874_at	hypothetical protein MGC46520	MGC46520	3.51
235944_at	fibulin 6	FIBL-6	3.65
236255_at	KIAA1909 protein	KIAA1909	2.08
236277_at	---, 236277_at, ESTs	---, 236277_at, ESTs	5.23
236285_at	---, 236285_at, ESTs	---, 236285_at, ESTs	3.91
236297_at	---, 236297_at, ESTs	---, 236297_at, ESTs	2.11
237250_at	Homo sapiens full length insert cDNA clone YZ87G11	Homo sapiens full length insert cDNA clone YZ87G11	2.02
238516_at	Homo sapiens, clone IMAGE:5277612, mRNA	Homo sapiens, clone IMAGE:5277612, mRNA	2.19
238623_at	mitogen-activated protein kinase kinase kinase 4	MAP3K4	3.21
238692_at	hypothetical protein FLJ33957	FLJ33957	2.54
238699_s_at	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	CASK	2.21
238739_at	---, 238739_at, ESTs	---, 238739_at, ESTs	2.22
238943_at	hypothetical protein FLJ14810	FLJ14810	2.26
238999_at	---, 238999_at, ESTs	---, 238999_at, ESTs	2.4
239468_at	hypothetical protein MGC39616	MGC39616	2.86
240432_x_at	---, 240432_x_at, ESTs	---, 240432_x_at, ESTs	2.29
240873_x_at	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	2.21
241359_at	ESTs, Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	---, 241359_at, ESTs, Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2.02
241902_at	hypothetical protein MGC39616	MGC39616	3.06
241925_x_at	---, 241925_x_at, ESTs	---, 241925_x_at, ESTs	2.81
242107_x_at	---, 242107_x_at, ESTs	---, 242107_x_at, ESTs	2.07
242258_at	---, 242258_at, ESTs	---, 242258_at, ESTs	2.02
242481_at	---, 242481_at, ESTs	---, 242481_at, ESTs	2.02
242808_at	ESTs, Moderately similar to RL31_HUMAN 60S ribosomal protein L31 [H.sapiens]	ESTs, Moderately similar to RL31_HUMAN 60S ribosomal protein L31 [H.sapiens]	2.21
242940_x_at	distal-less homeo box 6	DLX6	2.34
243115_at	---, 243115_at, ---	---, 243115_at, ---	2.82
243152_at	COP9 homolog	COP9	2.26
243813_at	Homo sapiens cDNA FLJ31059 fis, clone HSYRA2000832.	Homo sapiens cDNA FLJ31059 fis, clone HSYRA2000832.	2.34
244215_at	---, 244215_at, ESTs	---, 244215_at, ESTs	2.53
