Probe Set	Accession	Gene Symbol	FC:(D vs L)	pfp	Increase	Decrease
205941_s_at	AI376003	COL10A1	"56,492"	"0,0029"	4	0
211719_x_at	BC005858	FN1	"56,992"	"0,0054"	4	0
213909_at	AU147799	LRRC15	"57,103"	"0,0017"	4	0
238681_at	R46180	GDPD1	"58,292"	"0,0025"	4	1
202311_s_at	AI743621	COL1A1	"60,447"	"0,002"	4	0
215646_s_at	R94644	CSPG2	"67,945"	0	5	0
37892_at	J04177	COL11A1	"7,783"	0	5	0
1555778_a_at	AY140646	POSTN	"98,216"	0	4	0
202404_s_at	NM_000089	COL1A2	"10,053"	0	5	0
"FC, fold change for the specified comparison by rank products analysis; pfp, percentage of false positivities in rank products analysis; Increase – Decrease, count of changes more than 4 (out of 5) was used for parwise comparisons between tumour and normal cells."						

Supplementary Table 3. Differentially expressed probe sets between ductal carcinoma (Tduc) and normal lobular (L) cells found by both rank products and pairwise analysis.						
						
Probe Set	Accession	Gene Symbol	FC:(Tduc/ normal lobular)	pfp	Increase	Decrease
209351_at	BC002690	KRT14	"-228,833"	0	0	4
205157_s_at	NM_000422	KRT17	"-176,991"	0	0	4
206378_at	NM_002411	SCGB2A2	"-121,507"	0	1	4
212730_at	AK026420	DMN	"-996,016"	0	0	5
201820_at	NM_000424	KRT5	"-886,525"	0	1	4
203296_s_at	NM_000702	ATP1A2	"-823,723"	0	0	4
202036_s_at	AF017987	SFRP1	"-747,943"	0	0	4
202037_s_at	NM_003012	SFRP1	"-712,251"	0	0	5
211737_x_at	BC005916	PTN	"-706,714"	0	0	4
1553602_at	NM_058173	LOC118430	"-705,716"	0	0	4
203951_at	NM_001299	CNN1	"-671,592"	0	0	5
223623_at	AF325503	ECRG4	"-657,895"	"0,0006"	0	4
229947_at	AI088609	PI15	"-650,195"	"0,0013"	0	4
206548_at	NM_024880	FLJ23556	"-634,115"	"0,001"	0	5
229201_at	AW044658	---	"-584,454"	"0,0044"	0	5
209466_x_at	M57399	PTN	"-577,701"	"0,0015"	0	5
209291_at	AW157094	ID4	"-513,875"	"0,0027"	0	5
204855_at	NM_002639	SERPINB5	"-513,347"	"0,0054"	0	4
204304_s_at	NM_006017	PROM1	"-497,512"	"0,0016"	1	4
223475_at	AF142573	CRISPLD1	"-497,018"	"0,0054"	0	4
226755_at	AI375939	---	"-494,805"	"0,0102"	0	4
1558828_s_at	AL703532	LOC401212	"-493,827"	"0,006"	0	4
201496_x_at	S67238	MYH11	"-489,476"	"0,0047"	1	4
226147_s_at	AA838075	PIGR	"-480,307"	"0,0129"	0	4
209170_s_at	AF016004	GPM6B	"-47,824"	"0,0055"	0	4
202291_s_at	NM_000900	MGP	"-460,193"	"0,0064"	0	4
214456_x_at	M23699	SAA1	"-454,752"	"0,0046"	0	4
204259_at	NM_002423	MMP7	"-451,671"	"0,0186"	0	4
202672_s_at	NM_001674	ATF3	"-448,833"	"0,0047"	0	5
205380_at	NM_002614	PDZK1	"-446,229"	"0,0143"	0	4
1556006_s_at	BQ025347	---	"-4,29"	"0,0087"	0	4
202274_at	NM_001615	ACTG2	"-423,729"	"0,0122"	0	4
204389_at	NM_000240	MAOA	"-418,936"	"0,0145"	0	4
205044_at	NM_014211	GABRP	"-415,455"	"0,0137"	1	4
243140_at	AI917901	ACTA2	"-402,414"	"0,0184"	0	4
205382_s_at	NM_001928	DF	"-396,511"	"0,0183"	0	5
220625_s_at	AF115403	ELF5	"-39,604"	"0,015"	0	4
209613_s_at	M21692	ADH1B	"-393,391"	"0,0052"	1	4
223600_s_at	AL136867	KIAA1683	"-369,822"	"0,0281"	0	4
228885_at	AI862120	MAMDC2	"-365,764"	"0,0279"	0	4
222862_s_at	BG169832	AK5	"-364,299"	"0,0233"	0	4
823_at	U84487	CX3CL1	"-362,188"	"0,043"	0	4
202768_at	NM_006732	FOSB	"-361,141"	"0,0353"	0	5
218087_s_at	NM_015385	SORBS1	"-359,971"	"0,0508"	0	4
220230_s_at	NM_016229	CYB5R2	"-356,633"	"0,0466"	0	5
221796_at	AA707199	NTRK2	"-351,741"	"0,0182"	1	4
213029_at	BG478428	NFIB	"-351,741"	"0,0274"	0	4
224823_at	AA526844	MYLK	"-351,617"	"0,038"	0	4
201510_at	AF017307	ELF3	"-348,311"	"0,0491"	0	4
209031_at	AL519710	IGSF4	"-338,639"	"0,0678"	0	4
209189_at	BC004490	FOS	"-33,761"	"0,0375"	0	4
205498_at	NM_000163	GHR	"-336,361"	"0,0794"	0	5
225724_at	AW136120	FLJ31306	"-335,909"	"0,0359"	0	4
233884_at	AL512747	HIVEP3	"-335,458"	"0,0793"	0	4
238481_at	AW512787	MGP	"-333,333"	"0,0232"	0	4
212741_at	AA923354	MAOA	"-330,469"	"0,0382"	0	4
205547_s_at	NM_003186	TAGLN	"-327,654"	"0,0465"	0	4
1554636_at	BC032569	---	"-326,371"	"0,0866"	0	5
214823_at	AF033199	ZNF204	"-324,359"	"0,0537"	0	4
205883_at	NM_006006	ZBTB16	"-316,156"	"0,0261"	0	4
214790_at	AK001406	SENP6	"-31,211"	"0,0907"	0	4
220425_x_at	NM_017578	ROPN1B	"-310,655"	"0,0491"	0	4
213238_at	AI478147	ATP10D	"-309,885"	"0,0412"	0	4
209283_at	AF007162	CRYAB	"-308,261"	"0,0599"	0	5
216614_at	AL049988	ITPR2	"-306,937"	"0,0674"	0	4
241017_at	AA779927	TBC1D8	"-306,091"	"0,0824"	0	4
201160_s_at	AL556190	CSDA	"-305,904"	"0,0532"	1	4
219857_at	NM_024889	C10orf81	"-30,553"	"0,0537"	1	4
232541_at	AK000106	EGFR	"-303,951"	"0,0966"	0	4
207961_x_at	NM_022870	MYH11	"-303,674"	"0,0615"	0	4
238584_at	W52934	IQCA	"-303,398"	"0,0344"	1	4
227239_at	AV734839	DRCTNNB1A	"-301,296"	"0,0794"	0	4
217627_at	BE515346	ZNF573	"-3,003"	"0,0937"	0	4
203065_s_at	NM_001753	CAV1	"-293,083"	"0,056"	0	4
209292_at	AL022726	ID4	"-29,163"	"0,0383"	0	5
217022_s_at	S55735	IGHA1 /// IGHA2 /// MGC27165	"-2,886"	"0,0603"	1	4
238625_at	AI452457	C1orf168	"-286,041"	"0,0819"	1	4
201012_at	NM_000700	ANXA1	"-284,576"	"0,0737"	0	5
227662_at	AA541622	SYNPO2	"-283,768"	"0,0674"	1	4
221234_s_at	NM_021813	BACH2	"-278,629"	"0,0431"	1	4
229623_at	BF508344	LOC441027	"-274,348"	"0,0998"	1	4
239258_at	BE551407	RHOQ	"-268,601"	"0,0948"	0	4
225895_at	AI634580	SYNPO2	"-26,617"	"0,0962"	1	4
208370_s_at	NM_004414	DSCR1	"-265,604"	"0,0899"	0	5
218197_s_at	NM_018002	OXR1	"-264,901"	"0,0982"	0	4
222113_s_at	AV710549	EPS15L1	"26,948"	"0,0801"	4	0
227245_at	AW511198	FLJ13089	"27,297"	"0,0955"	4	0
204825_at	NM_014791	MELK	"27,654"	"0,0813"	4	0
222250_s_at	AK001363	C1orf73	"27,871"	"0,1002"	4	0
224377_s_at	AF274957	RAB18	"28,636"	"0,0901"	5	0
222608_s_at	AK023208	ANLN	"28,652"	"0,0763"	4	0
220329_s_at	NM_017909	C6orf96	"28,849"	"0,086"	4	0
229479_at	AI739132	---	"28,972"	"0,0633"	4	0
208091_s_at	NM_030796	ECOP	"29,726"	"0,0915"	4	0
212344_at	AW043713	SULF1	"29,789"	"0,0816"	5	0
206710_s_at	NM_012307	EPB41L3	"29,915"	"0,0937"	4	0
222555_s_at	AI338045	MRPL44	"30,078"	"0,073"	4	0
213007_at	W74442	FLJ10719	"30,104"	"0,0803"	4	0
223746_at	BC005231	STK4	"30,133"	"0,0904"	4	1
205034_at	NM_004702	CCNE2	"30,135"	"0,0575"	4	0
212989_at	AI377497	TMEM23	"30,338"	"0,0767"	4	0
222754_at	BE552215	TRNT1	"30,363"	"0,0759"	4	0
204620_s_at	NM_004385	CSPG2	"30,416"	"0,0795"	4	0
239108_at	H16791	MLSTD1	"30,496"	"0,091"	4	0
211421_s_at	M31213	RET	"30,784"	"0,0153"	4	0
204051_s_at	AW089415	SFRP4	"31,089"	"0,0831"	4	1
212905_at	AI872408	CSTF2T	"31,102"	"0,0292"	4	1
242049_s_at	BE783098	NAG	"3,117"	"0,0805"	4	0
220338_at	NM_018037	RALGPS2	"3,189"	"0,0492"	4	0
238822_at	AI743753	MRPL3	"32,004"	"0,0406"	4	1
222471_s_at	AI743396	KCMF1	"32,026"	"0,0487"	4	0
226899_at	AK022859	UNC5B	"3,217"	"0,0483"	5	0
209080_x_at	AF118652	TXNL2	"32,585"	"0,0514"	5	0
224751_at	BE738276	---	"32,615"	"0,0569"	4	0
235653_s_at	BF685315	THAP6	"33,428"	"0,0782"	4	0
229218_at	AA628535	COL1A2	"33,687"	"0,0487"	5	0
203988_s_at	NM_004480	FUT8	"34,031"	"0,0492"	5	0
214764_at	AW029169	KIAA0507	"34,072"	"0,0554"	4	0
219673_at	NM_017696	C6orf61	"3,431"	"0,0468"	4	1
229450_at	AI075407	IFIT3	"34,488"	"0,048"	4	0
228032_s_at	AW071458	---	"34,537"	"0,0481"	4	0
222077_s_at	AU153848	RACGAP1	"34,643"	"0,0306"	4	0
221731_x_at	BF218922	CSPG2	"34,714"	"0,0415"	4	0
204320_at	NM_001854	COL11A1	"34,717"	"0,0195"	4	0
201344_at	BF196642	UBE2D2	"34,904"	"0,0413"	4	0
211776_s_at	BC006141	EPB41L3	"35,026"	"0,0371"	4	0
221729_at	AL575735	COL5A2	"35,107"	"0,0412"	4	1
219099_at	NM_020375	C12orf5	"35,339"	"0,048"	4	0
201695_s_at	NM_000270	NP	"35,608"	"0,0306"	4	0
218585_s_at	NM_016448	DTL	"35,863"	"0,0193"	4	0
201291_s_at	AU159942	TOP2A	"36,575"	"0,01"	4	0
210511_s_at	M13436	INHBA	"37,175"	"0,0179"	4	0
215646_s_at	R94644	CSPG2	"37,216"	"0,0169"	4	1
229068_at	BF197357	CCT5	"37,232"	"0,018"	4	1
228273_at	BG165011	PRR11	"37,356"	"0,0195"	4	0
235476_at	AW182459	TRIM59	"37,867"	"0,0197"	5	0
203715_at	NM_003193	TBCE	"38,525"	"0,016"	5	0
211379_x_at	AB050855	B3GALT3	"38,573"	"0,0163"	4	0
205941_s_at	AI376003	COL10A1	"38,727"	"0,007"	4	0
216766_at	AK025152	PRKCE	"39,817"	"0,0181"	4	0
209524_at	AK001280	HDGFRP3	"40,233"	"0,018"	4	0
203102_s_at	NM_002408	MGAT2	"40,953"	"0,0203"	4	0
211161_s_at	AF130082	COL3A1	"41,092"	"0,0196"	4	0
235318_at	AW955612	FBN1	"41,413"	"0,0157"	4	0
211764_s_at	BC005980	UBE2D1	"41,443"	"0,0197"	4	0
1556499_s_at	BE221212	COL1A1	"42,323"	"0,0163"	4	0
214590_s_at	AL545760	UBE2D1	"43,105"	"0,0157"	4	0
218039_at	NM_016359	NUSAP1	"44,104"	"0,0072"	5	0
214943_s_at	D38491	RBM34	"44,138"	"0,0149"	4	0
235113_at	AA742244	PPIL5	"44,141"	"0,0139"	4	0
212353_at	AI479175	SULF1	"45,601"	"0,002"	4	0
219918_s_at	NM_018123	ASPM	"45,827"	"0,0071"	4	0
218986_s_at	NM_017631	FLJ20035	"4,744"	"0,0103"	4	0
207165_at	NM_012485	HMMR	"48,035"	"0,0055"	4	0
212930_at	AW576457	ATP2B1	"49,577"	"0,0072"	4	0
217735_s_at	AW007368	EIF2AK1	"50,124"	"0,0053"	4	0
212354_at	BE500977	SULF1	"50,187"	"0,0063"	5	0
202310_s_at	K01228	COL1A1	"50,947"	"0,0036"	4	0
226682_at	AW006185	LOC283666	"51,265"	"0,0069"	4	0
225681_at	AA584310	CTHRC1	"51,547"	"0,0033"	4	0
212464_s_at	X02761	FN1	"52,104"	"0,006"	4	0
224496_s_at	BC006292	MGC10744	"52,348"	"0,005"	4	0
225706_at	AI761989	GLCCI1	"53,801"	"0,0031"	5	0
238681_at	R46180	GDPD1	"54,661"	"0,0018"	4	0
1563321_s_at	AF272384	MLLT10	"55,266"	"0,0025"	4	0
202311_s_at	AI743621	COL1A1	"56,126"	"0,0017"	5	0
1567458_s_at	AJ012502	RAC1	"56,203"	"0,002"	4	0
213909_at	AU147799	LRRC15	"61,642"	0	4	0
37892_at	J04177	COL11A1	"66,985"	0	5	0
202404_s_at	NM_000089	COL1A2	"6,763"	0	4	0
205509_at	NM_001871	CPB1	"125,197"	0	4	0
"FC, fold change for the specified comparison by rank products analysis; pfp, percentage of false positivities in rank products analysis; Increase – Decrease, count of changes more than 4 (out of 5) was used for parwise comparisons between tumour and normal cells."						
						

Supplementary Table 4. Differentially expressed probe sets between ductal (Tduc) and lobular carcinoma (Tlob) cells found by both rank products and pairwise analysis.						
						
Probe set	Accession	Gene Symbol	FC:(Tduc/Tlob)	pfp	Increase	Decrease
219768_at	NM_024626	VTCN1	"-78,064"	0	2	21
220770_s_at	NM_022090	LOC63920	"-53,135"	"0,021"	0	24
214657_s_at	AU134977	---	"-451,264"	"0,071"	0	21
203637_s_at	NM_000381	MID1	"-398,089"	"0,09"	0	20
219087_at	NM_017680	ASPN	"-385,208"	"0,0878"	0	23
204041_at	NM_000898	MAOB	"-354,233"	"0,0824"	4	20
212902_at	BE645231	SEC24A	"-348,068"	"0,0952"	2	19
208576_s_at	NM_003537	HIST1H3B	"33,482"	"0,0909"	19	1
225177_at	AA143793	RAB11FIP1	"3,483"	"0,0915"	21	2
229366_at	BG149765	CRBN	"35,567"	"0,0775"	20	0
230534_at	AW025362	MGC15634	"35,981"	"0,0783"	20	2
228069_at	AL138828	FAM54A	"37,975"	"0,0746"	20	0
226671_at	AI150000	---	"38,245"	"0,0988"	20	2
226115_at	AI138934	AHCTF1	"39,484"	"0,0923"	22	0
219073_s_at	NM_017784	OSBPL10	"39,724"	"0,0795"	21	1
211379_x_at	AB050855	B3GALT3	"40,264"	"0,0648"	20	0
1553979_at	BC020854	---	"41,034"	"0,0651"	19	0
225491_at	AL157452	SLC1A2	"41,113"	"0,0615"	20	0
241863_x_at	AA703326	TTC14	"43,824"	"0,0597"	20	1
223746_at	BC005231	STK4	"44,682"	"0,0597"	20	2
225706_at	AI761989	GLCCI1	"44,735"	"0,0659"	25	0
1569472_s_at	BC026260	TTC3	"44,945"	"0,0626"	23	0
218247_s_at	NM_016626	RKHD2	"4,595"	"0,0727"	19	0
218585_s_at	NM_016448	DTL	"46,388"	"0,0362"	19	1
204170_s_at	NM_001827	CKS2	"48,428"	"0,0425"	20	2
226067_at	AL355392	C20orf114	"4,914"	"0,0336"	19	0
1568838_at	AI015847	---	"49,579"	"0,0314"	20	1
215392_at	AU148154	MINPP1	"49,988"	"0,0376"	21	1
211776_s_at	BC006141	EPB41L3	"52,622"	"0,0361"	21	0
204351_at	NM_005980	S100P	"52,937"	"0,0275"	19	0
201131_s_at	NM_004360	CDH1	"59,657"	"0,005"	19	3
205509_at	NM_001871	CPB1	"110,715"	0	19	1
"FC, fold change for the specified comparison by rank products analysis; pfp, percentage of false positivities in rank products analysis; Increase – Decrease, count of changes more than 19 (out of 25 inter-patient comparisons - every ductal carcinoma against every lobular carcinoma) was used for comparisons of tumour cells in between."						
						

Supplementary Table 5. Differentially expressed probe sets between lobular carcinoma (Tlob) and normal ductal (D) cells found by both rank products and pairwise analysis.						
						
Probe Set	Accession	Gene Symbol	FC:(Tlob/ normal ductal)	pfp	Increase	Decrease
209351_at	BC002690	KRT14	"-239,808"	0	0	4
204455_at	NM_001723	DST	"-182,815"	0	0	5
229947_at	AI088609	PI15	"-150,376"	0	0	5
205157_s_at	NM_000422	KRT17	"-126,263"	0	0	4
214087_s_at	BF593509	MYBPC1	"-12,21"	0	1	4
201820_at	NM_000424	KRT5	"-121,065"	0	0	5
206325_at	NM_001756	SERPINA6	"-113,379"	0	0	4
212236_x_at	Z19574	KRT17	"-876,424"	"0,0006"	0	4
209301_at	M36532	CA2	"-868,056"	"0,0008"	0	4
205044_at	NM_014211	GABRP	"-859,107"	"0,0008"	0	4
220625_s_at	AF115403	ELF5	"-841,751"	"0,0006"	0	5
227742_at	AI638295	CLIC6	"-823,723"	"0,0009"	0	4
225817_at	AB051536	CGNL1	"-783,085"	"0,0028"	0	5
204734_at	NM_002275	KRT15	"-782,473"	"0,002"	0	4
212730_at	AK026420	DMN	"-749,625"	"0,0021"	1	4
205259_at	NM_000901	NR3C2	"-737,463"	"0,0022"	0	4
218824_at	NM_018215	FLJ10781	"-726,744"	"0,0056"	0	5
203951_at	NM_001299	CNN1	"-726,216"	"0,0021"	0	4
202037_s_at	NM_003012	SFRP1	"-725,689"	"0,0043"	1	4
201131_s_at	NM_004360	CDH1	"-721,501"	"0,0017"	0	5
222862_s_at	BG169832	AK5	"-678,887"	"0,0021"	0	5
236835_at	AI654093	FUT8	"-665,336"	"0,01"	0	4
205380_at	NM_002614	PDZK1	"-637,755"	"0,0055"	0	5
206509_at	NM_002652	PIP	"-632,911"	"0,002"	1	4
219850_s_at	NM_012153	EHF	"-631,313"	"0,0094"	0	5
222196_at	AK000470	LOC286434	"-63,012"	"0,01"	0	4
227314_at	N95414	ITGA2	"-619,195"	"0,0123"	0	4
203397_s_at	BF063271	GALNT3	"-603,865"	"0,0155"	0	5
209291_at	AW157094	ID4	"-603,865"	"0,0102"	0	4
234982_at	BF577193	ZNF650	"-584,112"	"0,0139"	0	5
205073_at	NM_000775	CYP2J2	"-58,072"	"0,0158"	0	5
230061_at	AW338625	TM4SF18	"-564,334"	"0,0172"	1	4
226594_at	AA528157	ENTPD5	"-561,798"	"0,0259"	0	4
204400_at	NM_005864	EFS	"-55,991"	"0,028"	0	4
202274_at	NM_001615	ACTG2	"-557,414"	"0,0151"	0	4
217744_s_at	NM_022121	PERP	"-551,268"	"0,0126"	0	5
227239_at	AV734839	DRCTNNB1A	"-550,358"	"0,0253"	1	4
224823_at	AA526844	MYLK	"-542,594"	"0,0188"	0	4
225368_at	BF218115	HIPK2	"-533,333"	"0,0325"	1	4
202131_s_at	NM_003831	RIOK3	"-533,049"	"0,0418"	0	4
212536_at	AB023173	ATP11B	"-52,687"	"0,0368"	0	4
230472_at	AI870306	IRX1	"-514,668"	"0,0181"	0	4
229699_at	AW237752	---	"-510,465"	"0,0257"	0	5
238750_at	AW083576	CCL28	"-506,842"	"0,026"	0	4
215300_s_at	AK022172	FMO5	"-504,541"	"0,0337"	0	4
219343_at	NM_017913	CDC37L1	-5	"0,0318"	0	5
213680_at	AI831452	KRT6B	"-499,251"	"0,0183"	0	4
203881_s_at	NM_004010	DMD	"-493,583"	"0,032"	0	4
1559739_at	AK025141	CHPT1	"-492,126"	"0,042"	0	4
227764_at	AA227842	MGC52057	"-487,567"	"0,0254"	0	5
222035_s_at	AI984479	PAPOLA	"-484,262"	"0,0417"	1	4
227702_at	AA557324	CYP4X1	"-481,928"	"0,018"	1	4
823_at	U84487	CX3CL1	"-480,769"	"0,0422"	0	4
203373_at	NM_003877	SOCS2	"-476,872"	"0,0513"	1	4
1557543_at	AL832672	NOTCH2	"-458,295"	"0,0481"	0	4
239250_at	BE966038	ZNF542	"-455,581"	"0,0455"	0	4
207938_at	NM_015886	PI15	"-451,264"	"0,0323"	0	5
224189_x_at	AF124438	EHF	"-446,229"	"0,0422"	0	5
203439_s_at	BC000658	STC2	"-445,236"	"0,0253"	1	4
209292_at	AL022726	ID4	"-445,038"	"0,0185"	1	4
221958_s_at	AA775681	C1orf139	"-444,444"	"0,0588"	0	4
225207_at	AV707102	PDK4	"-444,247"	"0,0464"	1	4
221872_at	AI669229	RARRES1	"-44,287"	"0,0171"	1	4
203438_at	AI435828	STC2	"-442,674"	"0,0276"	0	4
219115_s_at	NM_014432	IL20RA	"-426,985"	"0,0455"	0	5
202746_at	AL021786	ITM2A	"-426,076"	"0,0536"	0	4
217014_s_at	AC004522	AZGP1	"-424,628"	"0,0451"	0	5
221796_at	AA707199	NTRK2	"-424,628"	"0,0161"	1	4
205898_at	U20350	CX3CR1	"-424,268"	"0,0435"	0	4
220230_s_at	NM_016229	CYB5R2	"-423,012"	"0,051"	0	4
223099_s_at	BC004234	LONPL	"-42,123"	"0,0723"	0	4
224361_s_at	AF250309	IL17RB	"-419,815"	"0,0459"	1	4
225645_at	AI763378	EHF	"-418,585"	"0,0423"	0	5
1557240_a_at	BU689085	BBX	"-41,684"	"0,048"	1	4
225297_at	AV715391	CCDC5	"-41,632"	"0,0539"	0	5
209270_at	L25541	LAMB3	"-414,766"	"0,0467"	1	4
227253_at	AI922198	CP	"-414,079"	"0,0309"	1	4
1557239_at	BU689085	BBX	"-412,201"	"0,0433"	1	4
235182_at	AI816793	C20orf82	"-412,031"	"0,0551"	0	4
227017_at	BE644894	ERICH1	"-410,341"	"0,0745"	0	4
227312_at	AI694536	---	"-405,351"	"0,0455"	0	4
243140_at	AI917901	ACTA2	"-403,063"	"0,018"	1	4
222829_s_at	BE219979	IL20RA	"-398,406"	"0,0669"	0	4
212560_at	AV728268	C11orf32	"-397,931"	"0,0666"	0	5
235513_at	AW131450	---	"-396,511"	"0,0673"	0	4
208703_s_at	BG427393	APLP2	"-392,311"	"0,0962"	0	4
224873_s_at	AK024433	MRPS25	"-391,389"	"0,0784"	0	4
230763_at	AA905508	LOC128153	"-385,208"	"0,0824"	0	4
58916_at	AI672101	KCTD14	"-381,388"	"0,0823"	0	4
209309_at	D90427	AZGP1	"-380,228"	"0,0734"	0	5
219255_x_at	NM_018725	IL17RB	"-375,094"	"0,0677"	1	4
224156_x_at	AF208111	IL17RB	"-374,532"	"0,0705"	1	4
238481_at	AW512787	MGP	"-372,717"	"0,059"	1	4
206392_s_at	NM_002888	RARRES1	"-367,918"	"0,0631"	0	4
232361_s_at	AA565141	EHF	"-366,435"	"0,083"	0	5
230986_at	AI821447	KLF8	"-36,483"	"0,0789"	0	4
1560850_at	BC016831	---	"-361,925"	"0,0798"	0	4
204259_at	NM_002423	MMP7	"-360,881"	"0,0701"	1	4
202719_s_at	BC001451	TES	"-358,295"	"0,0904"	0	5
225386_s_at	AI559701	HNRPLL	"-357,526"	"0,0417"	0	4
205509_at	NM_001871	CPB1	"-357,398"	"0,048"	1	4
1556666_a_at	BU680030	TTC6	"-356,761"	"0,0215"	0	4
218963_s_at	NM_015515	KRT23	"-349,284"	"0,0792"	0	5
216918_s_at	AL096710	DST	"-349,284"	"0,0981"	0	5
204897_at	AA897516	PTGER4	"-349,162"	"0,0944"	1	4
237839_at	BF433975	ANK3	"-346,981"	"0,0979"	0	4
202504_at	NM_012101	TRIM29	"-345,304"	"0,0789"	0	4
207144_s_at	NM_004143	CITED1	"-344,828"	"0,0901"	1	4
206825_at	NM_000916	OXTR	"-336,927"	"0,067"	1	4
224240_s_at	AF266504	CCL28	"-334,784"	"0,0725"	0	5
225792_at	AA618420	HOOK1	"-326,584"	"0,0744"	0	4
212741_at	AA923354	MAOA	"-301,296"	"0,0902"	0	4
214456_x_at	M23699	SAA1	"-293,686"	"0,0993"	0	4
215446_s_at	L16895	LOX	"32,337"	"0,0997"	4	1
202988_s_at	NM_002922	RGS1	"33,251"	"0,089"	4	1
212353_at	AI479175	SULF1	"33,382"	"0,0896"	4	0
209795_at	L07555	CD69	"33,992"	"0,0989"	4	0
213869_x_at	AA218868	THY1	"35,095"	"0,0938"	5	0
213790_at	W46291	ADAM12	"35,356"	"0,0802"	4	1
232458_at	AU146808	---	"3,541"	"0,0867"	4	1
228141_at	AA173223	NUDT4	"35,543"	"0,0756"	4	0
1558747_at	AA336502	SMCHD1	"35,712"	"0,0723"	4	0
210511_s_at	M13436	INHBA	"35,953"	"0,0962"	4	1
212488_at	N30339	COL5A1	"36,056"	"0,0703"	4	0
204844_at	L12468	ENPEP	"36,736"	"0,0441"	4	0
204468_s_at	NM_005424	TIE1	"37,066"	"0,0413"	4	0
212764_at	AI806174	---	"37,517"	"0,0502"	4	0
225664_at	AA788946	COL12A1	"37,751"	"0,0901"	5	0
217028_at	AJ224869	CXCR4	"37,885"	"0,0961"	4	0
219158_s_at	NM_025085	NARG1	"38,403"	"0,0443"	4	1
206227_at	NM_003613	CILP	"38,874"	"0,0774"	4	0
1555971_s_at	AU154086	FBXO28	"39,212"	"0,0904"	5	0
200890_s_at	AW006345	SSR1	"39,423"	"0,0952"	4	0
218009_s_at	NM_003981	PRC1	"39,455"	"0,0855"	4	0
216050_at	AK024584	---	"39,605"	"0,0676"	4	0
213418_at	NM_002155	HSPA6	"4,058"	"0,0778"	5	0
202664_at	AW058622	WASPIP	"40,941"	"0,0764"	5	0
243496_at	AW367507	---	"40,999"	"0,062"	5	0
212468_at	AK023512	SPAG9	"41,003"	"0,0861"	4	1
226695_at	AA775472	PRRX1	"42,042"	"0,0508"	5	0
214453_s_at	NM_006417	IFI44	"42,169"	"0,078"	5	0
225583_at	AL573637	UXS1	"42,905"	"0,0481"	5	0
224827_at	AK022894	DC-UbP	"42,987"	"0,0708"	4	0
211651_s_at	M20206	LAMB1	"43,766"	"0,0257"	4	0
229723_at	BF591040	TAGAP	"43,856"	"0,0505"	5	0
201792_at	NM_001129	AEBP1	"44,789"	"0,0319"	4	0
224724_at	AL133001	SULF2	"44,928"	"0,0423"	5	0
204500_s_at	NM_015239	AGTPBP1	"45,273"	"0,0593"	4	0
224791_at	AW513835	DDEF1	"45,643"	"0,0223"	4	0
207117_at	NM_015852	H-plk	"46,229"	"0,0111"	4	0
209596_at	AF245505	MXRA5	"46,759"	"0,0397"	4	0
241709_s_at	AA599017	DOCK1	"47,087"	"0,0406"	4	0
220088_at	NM_001736	C5R1	"48,611"	"0,0188"	4	0
200665_s_at	NM_003118	SPARC	"49,385"	"0,0331"	4	0
227539_at	AW298099	GNA13	"49,461"	"0,0292"	4	0
219675_s_at	NM_025076	UXS1	"49,467"	"0,0289"	4	0
212473_s_at	BE965029	MICAL2	"49,712"	"0,021"	5	0
201261_x_at	BC002416	BGN	"49,788"	"0,0167"	4	0
219700_at	NM_020405	PLXDC1	"49,835"	"0,04"	4	1
1561760_s_at	AF085995	LOC441038	"51,342"	"0,0204"	4	1
210809_s_at	D13665	POSTN	"51,745"	"0,0206"	5	0
213241_at	AF035307	PLXNC1	"51,967"	"0,0113"	4	1
1556499_s_at	BE221212	COL1A1	"52,833"	"0,0172"	4	0
1556474_a_at	AK095698	FLJ38379	"53,124"	"0,0075"	4	0
226777_at	AA147933	ADAM12	"53,188"	"0,0204"	5	0
1555778_a_at	AY140646	POSTN	"54,705"	"0,0097"	5	0
218668_s_at	NM_021183	RAP2C	"55,643"	"0,0117"	4	0
204620_s_at	NM_004385	CSPG2	"58,082"	"0,0089"	5	0
37892_at	J04177	COL11A1	"58,644"	"0,0093"	4	0
226237_at	AL359062	COL8A1	"58,754"	"0,01"	4	0
204463_s_at	AU118882	EDNRA	"59,081"	"0,0037"	4	1
235318_at	AW955612	FBN1	"59,684"	"0,0095"	4	1
221731_x_at	BF218922	CSPG2	"61,199"	"0,0073"	5	0
203083_at	NM_003247	THBS2	"64,687"	"0,0079"	4	0
209541_at	AI972496	IGF1	"65,395"	"0,0041"	4	1
202403_s_at	AA788711	COL1A2	"70,173"	"0,0038"	4	0
226930_at	AI345957	FNDC1	"70,557"	"0,0037"	4	0
223122_s_at	AF311912	SFRP2	"71,332"	"0,0036"	4	1
213905_x_at	AA845258	BGN /// SDCCAG33	"72,009"	"0,0013"	5	0
213975_s_at	AV711904	LYZ /// LILRB1	"73,459"	"0,0016"	5	0
223121_s_at	AW003584	SFRP2	"73,872"	"0,0038"	4	0
201438_at	NM_004369	COL6A3	"7,737"	"0,0015"	5	0
205713_s_at	NM_000095	COMP	"81,414"	"0,0014"	4	0
