ID	SYMBOL	DESCRIPTION	UNIGENE (189)	IMAGE ID	GENBANK	Fold Change	localfdr(%)
HSI015C10	EEF1A1	WD repeats and SOF1 domain containing	Hs.439552	35064	CR746279	0.72	0.00
HSI069G03	SEH1L	SEH1-like (S. cerevisiae)	Hs.301048	726545	AA398109	0.72	0.00
HSI030H09	PMVK	Phosphomevalonate kinase	Hs.30954	46897	BX102917	0.72	0.00
HSI047H10	DGKH	Diacylglycerol kinase, eta	Hs.558670	258659	BX101107	0.72	0.00
HSI155E12	TXNDC6	Thioredoxin domain containing 6	Hs.585141	298681	BX101079	0.72	0.00
HSI012H07	SPTAN1	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	Hs.372331	29624	BX111658	0.72	0.00
HSI081D08	MGC15875	Hypothetical protein LOC85007, isoform 2	Hs.584995	810050	BX115530	0.72	0.65
HSI078C01	OIP5	Opa interacting protein 5	Hs.567421	785303	BX089853	0.72	0.00
HSI098F11	TULP4	Tubby like protein 4	Hs.486993	240067	BX098968	0.72	0.00
HSI084E12	FAM57B	Family with sequence similarity 57, member B	Hs.558560	1392508	BX089025	0.72	0.00
HSI026F09	CCDC68	Coiled-coil domain containing 68	Hs.120790	150788	BX096279	0.72	0.00
HSI040F09	ACOX2	Acyl-Coenzyme A oxidase 2, branched chain	Hs.444959	207992	BX105994	0.72	0.00
HSI063A09	EST	Transcribed locus	Hs.16732	1650072	AI031653	0.72	0.00
HSI075F01	STK11IP	Serine/threonine kinase 11 interacting protein	Hs.22410	757437	BX112702	0.72	0.00
HSI054A04	E2F8	E2F transcription factor 8	Hs.523526	297178	BX111743	0.72	0.00
HSI057C03	C10orf72	Chromosome 10 open reading frame 72	Hs.522928	1649524	BX119016	0.72	0.00
HSI079B04	GAS8	Growth arrest-specific 8	Hs.431792	788827	BX089214	0.72	0.00
HSI171A07	EST	Transcribed locus	Hs.179213	1543885	BX105190	0.72	0.00
HSI009A06	LRRC51	Leucine rich repeat containing 51	Hs.317243	128035	CR743538	0.72	0.00
HSI070D12	RACGAP1	Rac GTPase activating protein 1	Hs.505469	726783	BX091454	0.72	0.00
HSI075E12	HMGA1	High mobility group AT-hook 1	Hs.518805	756305	BX117278	0.73	0.00
HSI018D10	HM13	Histocompatibility (minor) 13	Hs.373741	130195	BX113738	0.73	0.00
HSI128F08	LOC440335	Hypothetical gene supported by BC022385; BC035868; BC048326	Hs.390599	149420	BX116633	0.73	0.06
HSI011A09	EST	Transcribed locus		1694199		0.73	0.00
HSI018B02	PSCD2	Pleckstrin homology, Sec7 and coiled-coil domains 2 (cytohesin-2)	Hs.8517	130552	R22505	0.73	0.00
HSI060B01	KLK11	Kallikrein 11	Hs.57771	342025	BX109836	0.73	0.57
HSI035E05	AURKAIP1	Aurora kinase A interacting protein 1	Hs.472535	172995	BX093247	0.73	0.00
HSI015E11	CHD8	Chromodomain helicase DNA binding protein 8	Hs.530698	40244	BX100654	0.73	0.00
HSI004C06	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	Hs.90443	108852	BX089200	0.73	0.00
HSI155A08	EST	Transcribed locus		295488		0.73	0.00
HSI171E07	EST	Transcribed locus	Hs.127406	1552093	BX100611	0.73	0.00
HSI107B03	CCDC37	Coiled-coil domain containing 37	Hs.458306	2453217	BX103657	0.73	0.00
HSI047E09	KIAA1909	KIAA1909 protein	Hs.535800	258918	N31625	0.73	0.00
HSI011G03	ADRM1	Adhesion regulating molecule 1	Hs.90107	28126	BX116625	0.73	0.00
HSI046B04	SAFB2	Scaffold attachment factor B2	Hs.465690	248048	N77965	0.73	0.00
HSI027C05	SRM	Spermidine synthase	Hs.76244	154037	BX116879	0.73	0.00
HSI073H03	CDC2	Cell division cycle 2, G1 to S and G2 to M	Hs.334562	742884	BX101218	0.73	0.00
HSI055A01	C6orf108	Chromosome 6 open reading frame 108	Hs.109752	298414	BX107743	0.73	0.00
HSI031D01	KIAA0555	Jak and microtubule interacting protein 2	Hs.184323	47580	BX118477	0.73	0.00
HSI177G05	LOC440079	Hypothetical LOC389634	Hs.434403	1756828	BX103450	0.73	0.34
HSI110H08	SVIL	Supervillin	Hs.499209	35465	R45548	0.73	0.00
HSI182D02	PDGFB	Platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	Hs.1976	67654	T49540	0.73	0.00
HSI005B12	RASIP1	Ras interacting protein 1	Hs.233955	115454	BX089325	0.73	0.00
HSI052F04	KIAA1287	KIAA1287	Hs.279646	291062	BX098692	0.73	0.04
HSI038H07	SNCA	Synuclein, alpha (non A4 component of amyloid precursor)	Hs.271771	202700	BX096525	0.73	0.00
HSI025F11	STC1	Stanniocalcin 1	Hs.25590	153589	BX092140	0.73	0.00
HSI053B12	CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	Hs.84113	293274	BX095212	0.73	0.00
HSI181F07	EST	Transcribed locus	Hs.569975	1743091	BX114065	0.73	0.49
HSI180E04	UBE2D3	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	Hs.518773	1850010	BX090147	0.73	0.00
HSI014A12	OGFOD1	2-oxoglutarate and iron-dependent oxygenase domain containing 1	Hs.231883	34187	BX117141	0.73	0.00
HSI174A09	EST	Transcribed locus	Hs.131034	1732905	BX105717	0.73	0.49
HSI011E05	TMEM48	Transmembrane protein 48	Hs.476525	27569	BX106712	0.73	0.00
HSI107D03	CCL18	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	Hs.143961	1883019	BX111172	0.73	0.00
HSI173E08	RBM4B	RNA binding motif protein 4B	Hs.567606	1568373	BX102037	0.73	0.00
HSI098A04	C21orf55	Chromosome 21 open reading frame 55	Hs.458308	110267	BX092464	0.73	0.00
HSI015C09	EIF4G1	Eukaryotic translation initiation factor 4 gamma, 1	Hs.433750	35382	BX113546	0.73	0.00
HSI015F08	NR4A2	Nuclear receptor subfamily 4, group A, member 2	Hs.165258	38452	BX111655	0.73	0.00
HSI043D04	LOC402539	Similar to Williams-Beuren syndrome critical region protein 19	Hs.447768	234344	BX105629	0.73	0.00
HSI032B11	DIXDC1	DIX domain containing 1	Hs.116796	49549	H15487	0.73	0.00
HSI027A10	NR1H2	Nuclear receptor subfamily 1, group H, member 2	Hs.432976	155466	BX101626	0.73	0.00
HSI031D06	SUPT7L	Suppressor of Ty 7 (S. cerevisiae)-like	Hs.6232	49017	BX099949	0.73	0.00
HSI046D09	PRO1853	Hypothetical protein PRO1853	Hs.433466	256975	BX099075	0.73	0.00
HSI026B04	DENND1C	DENN/MADD domain containing 1C	Hs.236449	1682616	BX100243	0.73	0.86
HSI182E02	MYLK	Myosin, light polypeptide kinase	Hs.477375	841308	AA487215	0.73	0.00
HSI051E06	SNRPN	Small nuclear ribonucleoprotein polypeptide N	Hs.564847	280736	BX090300	0.73	0.00
HSI073E05	CD96	CD96 antigen	Hs.142023	740927	BX110925	0.73	0.50
HSI095E01	ANKRD17	Ankyrin repeat domain 17	Hs.518804	2303491	BX110720	0.73	0.00
HSI182A03	AR	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	Hs.496240	1203148	AA659567	0.73	0.00
HSI064H05	MAK	Male germ cell-associated kinase	Hs.446125	381786	BX105286	0.73	0.00
HSI116C05	CD53	CD53 antigen	Hs.443057	122020	BX113477	0.73	0.00
HSI052C09	RFPL1	Ret finger protein-like 1	Hs.167750	289221	BX096264	0.73	0.00
HSI172F09	SNTG2	Syntrophin, gamma 2	Hs.148819	1565090	BX114814	0.73	0.00
HSI031H12	KIAA1737	KIAA1737	Hs.22452	48063	BX093355	0.73	0.11
HSI073F05	PDK1	Pyruvate dehydrogenase kinase, isozyme 1	Hs.470633	743576	BX116008	0.73	0.00
HSI180B07	EST	Transcribed locus	Hs.552136	1854319	BX119528	0.73	0.00
HSI014E11	SNAPC2	Small nuclear RNA activating complex, polypeptide 2, 45kDa	Hs.557654	36582	BX103456	0.73	0.00
HSI061H09	AKT1S1	AKT1 substrate 1 (proline-rich)	Hs.515542	344687	BX117926	0.73	0.00
HSI136B08	EST	Transcribed locus	Hs.163898	190247	BX096166	0.73	0.00
HSI028A03	PTBP2	Polypyrimidine tract binding protein 2	Hs.269895	1675531	BX112838	0.73	0.00
HSI051F07	POLE	Polymerase (DNA directed), epsilon	Hs.524871	281485	BX093066	0.73	0.00
HSI008C06	ANXA9	Annexin A9	Hs.430324	124967	BX112382	0.74	0.00
HSI044E04	NAG8	Nasopharyngeal carcinoma associated gene protein-8	Hs.534410	240938	BX102523	0.74	0.00
HSI075B10	LLGL2	Lethal giant larvae homolog 2 (Drosophila)	Hs.514477	756181	BX107913	0.74	0.00
HSI004G10	SYNC1	Syncoilin, intermediate filament 1	Hs.584980	112525	BX096271	0.74	0.00
HSI066A10	ZNF161	Zinc finger protein 161	Hs.463569	429919	BX109922	0.74	0.00
HSI037F09	SLC35A3	Solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3	Hs.567432	199225	BX099052	0.74	0.00
HSI034C03	UBE2G2	Ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	Hs.529420	167181	BX097295	0.74	0.00
HSI107H06	KLK13	Kallikrein 13	Hs.165296	1292190	BX088964	0.74	0.00
HSI035C01	ARSA	Arylsulfatase A	Hs.88251	183440	BX101125	0.74	0.00
HSI036G08	HGFAC	HGF activator	Hs.104	194803	BX109192	0.74	0.00
HSI003B01	FURIN	Furin (paired basic amino acid cleaving enzyme)	Hs.513153	24284	BX104830	0.74	0.00
HSI030G09	CTS9	Deleted in esophageal cancer 1	Hs.148841	46439	BX116042	0.74	0.00
HSI076F12	SGK3	Serum/glucocorticoid regulated kinase family, member 3	Hs.380877	758257	BX107304	0.74	0.36
HSI023A10	EST	Transcribed locus	Hs.560100	143624	CR738037	0.74	0.00
HSI175G07	WWOX	B-box and SPRY domain containing	Hs.461453	1735879	BX110044	0.74	0.00
HSI006D07	WDR19	WD repeat domain 19	Hs.438482	121875	BX107767	0.74	0.00
HSI107B12	EST	Transcribed locus	Hs.368530	1877346	BX101737	0.74	0.00
HSI172F10	KIAA1727	KIAA1727 protein	Hs.132629	1566608	BX103631	0.74	0.00
HSI034B02	RABAC1	Rab acceptor 1 (prenylated)	Hs.11417	172540	BX089459	0.74	0.00
HSI083G12	RBL2	Retinoblastoma-like 2 (p130)	Hs.513609	1234138	BX109371	0.74	0.00
HSI003G09	FOXO3A	Forkhead box O3A	Hs.220950	109142	BX106027	0.74	0.00
HSI044D01	COBL	Cordon-bleu homolog (mouse)	Hs.99141	239795	BX110891	0.74	0.00
HSI027C09	FIGF	C-fos induced growth factor (vascular endothelial growth factor D)	Hs.11392	160946	BX091353	0.74	0.00
HSI023G11	DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	Hs.444208	143821	CR743907	0.74	0.00
HSI058B09	JM11	JM11 protein	Hs.522643	309320	BX117212	0.74	0.00
HSI078B05	TLCD1	TLC domain containing 1	Hs.499952	782735	BX106421	0.74	0.00
HSI028D06	MGAT4A	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	Hs.177576	161988	AI668607	0.74	0.00
HSI034H01	SYT7	Synaptotagmin VII	Hs.502730	178844	BX118826	0.74	0.00
HSI029A09	FRY	Furry homolog (Drosophila)	Hs.507669	44515	BX095181	0.74	0.00
HSI054D05	ADCK4	AarF domain containing kinase 4	Hs.130712	296669	BX097178	0.74	0.00
HSI072H01	PCYT2	Phosphate cytidylyltransferase 2, ethanolamine	Hs.569843	739872	BX100108	0.74	0.00
HSI107A03	ADAMTSL5	ADAMTS-like 5	Hs.371674	2445300	BX115742	0.74	0.00
HSI081H08	PGS1	Phosphatidylglycerophosphate synthase 1	Hs.584838	814436	BX116868	0.74	0.00
HSI043H03	PERLD1	Per1-like domain containing 1	Hs.462971	240669	BX089950	0.74	0.00
HSI007C08	PHF20L1	PHD finger protein 20-like 1	Hs.304362	124191	R01276	0.74	0.00
HSI029B10	C20orf121	Chromosome 20 open reading frame 121	Hs.283869	43682	BX104874	0.74	0.00
HSI098F09	KLHDC5	Kelch domain containing 5	Hs.505104	249755	BX089332	0.74	0.00
HSI057G01	BSPRY	B-box and SPRY domain containing	Hs.494870	320815	BX106172	0.74	0.00
HSI001B05	OLFM1	Olfactomedin 1	Hs.522484	22172	BX097950	0.74	0.12
HSI081H11	BRCC3	BRCA1/BRCA2-containing complex, subunit 3	Hs.558537	824452	BX091652	0.74	0.00
HSI076A05	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	Hs.495985	756871	BX094700	0.74	0.00
HSI073F08	UNC119	Unc-119 homolog (C. elegans)	Hs.410455	742869	BX094166	0.74	0.00
HSI008F01	MRPS18B	Mitochondrial ribosomal protein S18B	Hs.274417	128595	BX104934	0.74	0.00
HSI014C10	LIG1	Ligase I, DNA, ATP-dependent	Hs.1770	35280	BX114448	0.74	0.03
HSI013E10	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	Hs.159161	32555	BX100880	0.74	0.00
HSI108D05	BRUNOL4	Bruno-like 4, RNA binding protein (Drosophila)	Hs.435976	383900	BX118932	0.74	0.00
HSI108F07	CASR	Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	Hs.435615	2385870	BX100952	0.74	0.00
HSI038G11	ZNF562	Zinc finger protein 562	Hs.531179	201301	R99573	0.74	0.00
HSI025C10	CEP135	Centrosomal protein 135kDa	Hs.518767	151984	BX089915	0.74	0.00
HSI179C10	FLJ36166	Hypothetical protein FLJ36166	Hs.148768	1842089	BX113171	0.74	0.00
HSI007A02	AGTR1	Angiotensin II receptor, type 1	Hs.477887	123933	BX106176	0.74	0.67
HSI064H07	PLCD4	Phospholipase C, delta 4	Hs.567627	376802	BX117518	0.74	0.00
HSI041C04	CLDN15	Claudin 15	Hs.38738	211976	BX092388	0.74	0.00
HSI046B05	MGC24381	Hypothetical protein MGC24381	Hs.134846	251784	H98014	0.74	0.00
HSI061H01	NMT2	N-myristoyltransferase 2	Hs.60339	346789	BX090316	0.74	0.00
HSI003H12	CCDC21	Coiled-coil domain containing 21	Hs.63795	110307	BX098317	0.74	0.00
HSI107D05	EST	Transcribed locus	Hs.213472	2456808	BX104869	0.75	0.00
HSI011C11	C16orf53	Chromosome 16 open reading frame 53	Hs.551559	27672	R12936	0.75	0.00
HSI028G05	TOM1	Target of myb1 (chicken)	Hs.474705	44568	BX091122	0.75	0.00
HSI049E06	STUB1	STIP1 homology and U-box containing protein 1	Hs.533771	273160	BX105031	0.75	0.00
HSI031D10	OTUD3	OTU domain containing 3	Hs.374987	49291	BX111708	0.75	0.00
HSI052B03	PCYOX1	Prenylcysteine oxidase 1	Hs.567502	289580	BX107419	0.75	0.00
HSI068B02	EST	Transcribed locus	Hs.9187	28598	BX096632	0.75	0.00
HSI049A11	DSU	Dilute suppressor	Hs.79741	269800	BX104499	0.75	0.00
HSI181C01	EST	Transcribed locus	Hs.540839	344988	W72909	0.75	0.95
HSI154H10	SLC20A1	Solute carrier family 20 (phosphate transporter), member 1	Hs.187946	292995	BX095060	0.75	0.00
HSI018G07	RAP1GA1	RAP1, GTPase activating protein 1	Hs.148178	42808	BX094488	0.75	0.00
HSI047C11	HECTD1	HECT domain containing 1	Hs.210850	260323	BX110252	0.75	0.00
HSI107C07	EST	Transcribed locus	Hs.569297	2455957	BX117718	0.75	0.00
HSI182B05	STK6	Serine/threonine kinase 6	Hs.250822	129865	R19158	0.75	0.00
HSI016C07	SF3B4	Splicing factor 3b, subunit 4, 49kDa	Hs.516160	38675	BX100483	0.75	0.00
HSI008B11	MVK	Mevalonate kinase (mevalonic aciduria)	Hs.130607	126474	BX107829	0.75	0.00
HSI005D03	ACY1	Aminoacylase 1	Hs.334707	120522	BX106174	0.75	0.00
HSI012C07	TMEM97	Transmembrane protein 97	Hs.199695	30538	BX118922	0.75	0.00
HSI031B07	PCDHA6	Protocadherin alpha subfamily C, 1	Hs.199343	49262	BX118148	0.75	0.94
HSI036C12	CCDC46	Coiled-coil domain containing 46	Hs.408676	1676073	BX108690	0.75	0.00
HSI155A11	DLGAP1	Discs, large (Drosophila) homolog-associated protein 1	Hs.19872	296164	BX095408	0.75	0.00
HSI082C01	SPTLC2	Serine palmitoyltransferase, long chain base subunit 2	Hs.435661	815749	BX111028	0.75	0.00
HSI053H09	MAX	MYC associated factor X	Hs.285354	1654936	AI022760	0.75	0.00
HSI062G02	SPTBN5	Spectrin, beta, non-erythrocytic 5	Hs.198161	358227	BX100198	0.75	0.00
HSI035H07	PIPOX	Pipecolic acid oxidase	Hs.462585	191572	BX091287	0.75	0.00
HSI009G12	PAFAH1B3	Platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa	Hs.466831	26467	BX092931	0.75	0.00
HSI025E05	FBS1	Fibrosin 1	Hs.247186	154682	BX094400	0.75	0.00
HSI181F01	FANCF	Fanconi anemia, complementation group F	Hs.523543	1540795	AA909054	0.75	0.00
HSI028E09	SLC35E1	Solute carrier family 35, member E1	Hs.134074	1674087	BX105710	0.75	0.00
HSI073A05	EST	Transcribed locus	Hs.571546	739933	BX099763	0.75	0.00
HSI043H05	TBC1D10B	TBC1 domain family, member 10B	Hs.513498	235923	BX092339	0.75	0.00
HSI081B07	BIRC5	Effector cell peptidase receptor 1	Hs.514527	796694	BX112989	0.75	0.00
HSI008H01	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	Hs.559215	129140	BX092337	0.75	0.00
HSI046B01	MGC14289	Similar to RIKEN cDNA 1200014N16 gene	Hs.512833	246276	BX099074	0.75	0.00
HSI006E10	SPSB1	SplA/ryanodine receptor domain and SOCS box containing 1	Hs.8261	121577	BX118363	0.75	0.37
HSI017H04	COG7	Component of oligomeric golgi complex 7	Hs.185807	41249	BX100665	0.75	0.00
HSI014F12	JUP	Junction plakoglobin	Hs.514174	35628	BX090907	0.75	0.88
HSI018F07	DKFZP761N09121	Hypothetical protein DKFZp761N09121	Hs.6421	42803	BX119139	0.75	0.00
HSI003C12	DPYSL5	Dihydropyrimidinase-like 5	Hs.299315	24701	BX099710	0.75	0.00
HSI030C05	NIPSNAP1	Nipsnap homolog 1 (C. elegans)	Hs.173878	45915	BX107162	0.75	0.00
HSI177C08	SULT1A1	Sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	Hs.567342	1753821	BX105257	0.75	0.00
HSI138C09	EST	Transcribed locus	Hs.374460	198528	BX110979	0.75	0.00
HSI107A05	MTMR8	Myotubularin related protein 8	Hs.442892	2452277	BX110698	0.75	0.00
HSI040C11	FLJ21749	Hypothetical protein FLJ21749	Hs.288761	209200	BX106686	0.75	0.00
HSI171B07	XKR6	XK, Kell blood group complex subunit-related family, member 6	Hs.125914	1523869	BX103375	0.75	0.00
HSI024D02	MTMR2	Myotubularin related protein 2	Hs.181326	147755	BX107577	0.75	0.71
HSI019H11	ALPP	Alkaline phosphatase, placental (Regan isozyme)	Hs.284255	131419	BX095665	0.75	0.00
HSI174H04	EST	Transcribed locus	Hs.65857	1733625	BX104296	0.75	0.00
HSI053C11	VPS13B	Vacuolar protein sorting 13B (yeast)	Hs.191540	294894	BX105506	0.75	0.00
HSI049C11	FMO4	Topoisomerase (DNA) I pseudogene 1	Hs.386502	272183	BX110484	0.75	0.00
HSI107A07	STXBP6	Syntaxin binding protein 6 (amisyn)	Hs.508958	2453407	BX091191	0.75	0.00
HSI071E09	SRC	V-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	Hs.195659	729902	AA399627	0.75	0.00
HSI038C11	DRCTNNB1A	Down-regulated by Ctnnb1, a	Hs.85603	200332	BX113494	0.75	0.00
HSI047D03	RBM24	RNA binding motif protein 24	Hs.519904	1663123	BX089225	0.75	0.00
HSI056E04	ZCCHC10	Zinc finger, CCHC domain containing 10	Hs.29700	308446	BX095107	0.75	0.32
HSI031C11	MAPK3	Mitogen-activated protein kinase 3	Hs.861	49161	BX108707	0.75	0.00
HSI041F11	PLA2G12A	Phospholipase A2, group XIIA	Hs.480519	212146	CR748779	0.75	0.00
HSI065C02	NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	Hs.464572	428542	BX089849	0.75	0.00
HSI006D08	NFATC3	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	Hs.341716	123249	BX106877	0.75	0.00
HSI024C08	HYAL2	Hyaluronoglucosaminidase 2	Hs.76873	148541	BX102068	0.75	0.21
HSI007E02	ZNF10	Zinc finger protein 10	Hs.507355	124578	BX112405	0.75	0.00
HSI050D09	EST	Transcribed locus	Hs.153290	1655485	BX110975	0.75	0.00
HSI055G04	RAB1B	RAB1B, member RAS oncogene family	Hs.300816	301716	BX107600	0.75	0.00
HSI179C02	EST	Transcribed locus	Hs.572145	1859106	BX096817	0.75	0.00
HSI051E07	ZHX2	Zinc fingers and homeoboxes 2	Hs.377090	280823	BX103655	0.75	0.00
HSI057B12	RNF167	Ring finger protein 167	Hs.7158	307964	BX101904	0.75	0.00
HSI066A02	NIPBL	Nipped-B homolog (Drosophila)	Hs.481927	432486	BX092252	0.75	0.00
HSI051G04	TSLP	Thymic stromal lymphopoietin	Hs.389874	280919	BX092127	0.75	0.00
HSI174A03	EST	Transcribed locus	Hs.571112	1714806	BX100594	0.75	0.00
HSI179E11	LOC55565	Hypothetical protein LOC55565	Hs.208353	1842834	AI221860	0.75	0.00
HSI025H03	G6PC3	Glucose 6 phosphatase, catalytic, 3	Hs.294005	150568	BX107365	0.75	0.00
HSI074H07	IGSF9	Immunoglobulin superfamily, member 9	Hs.492155	756471	BX092559	0.75	0.00
HSI038E03	PPT2	Palmitoyl-protein thioesterase 2	Hs.332138	202010	BX095477	0.75	0.00
HSI128C12	SLC26A2	Solute carrier family 26 (sulfate transporter), member 2	Hs.302738	146992	BX110194	0.76	0.00
HSI042B02	MGC13138	Hypothetical protein MGC13138	Hs.132227	219963	BX115527	0.76	0.00
HSI051D02	TGFB2	Transforming growth factor, beta 2	Hs.133379	281778	BX097288	0.76	0.00
HSI021H06	GPR56	G protein-coupled receptor 56	Hs.513633	138246	R56831	0.76	0.00
HSI065C06	ZNF576	Zinc finger protein 576	Hs.11110	417843	CR736720	0.76	0.00
HSI027F01	LRP5	Family with sequence similarity 101, member B	Hs.6347	157804	BX102265	0.76	0.00
HSI019G04	PEX26	Peroxisome biogenesis factor 26	Hs.517400	1692390	BX091746	0.76	0.00
HSI036H03	MRPL39	Mitochondrial ribosomal protein L39	Hs.420696	195425	BX097256	0.76	0.00
HSI008B10	SLC29A3	Solute carrier family 29 (nucleoside transporters), member 3	Hs.438419	126851	BX089135	0.76	0.00
HSI108E07	DICER1	Dicer1, Dcr-1 homolog (Drosophila)	Hs.87889	382643	BX095513	0.76	0.00
HSI051F02	RNUXA	RNA U, small nuclear RNA export adaptor (phosphorylation regulated)	Hs.555731	280571	BX117078	0.76	0.00
HSI081G07	PREI3	Preimplantation protein 3	Hs.205173	814471	BX095776	0.76	0.00
HSI055B12	RNASEH2A	Ribonuclease H2, large subunit	Hs.532851	299432	BX092561	0.76	0.00
HSI013C04	RNPS1	RNA binding protein S1, serine-rich domain	Hs.355643	34575	BX092643	0.76	0.00
HSI052E08	GAB2	GRB2-associated binding protein 2	Hs.429434	291418	BX097734	0.76	0.00
HSI109B02	C20orf18	Chromosome 20 open reading frame 18	Hs.247280	2406861	BX111698	0.76	0.00
HSI025H06	RGS12	Regulator of G-protein signalling 12	Hs.527061	1691431	BX106958	0.76	0.00
HSI077E03	CD320	CD320 antigen	Hs.558499	770879	BX115816	0.76	0.00
HSI016A08	OLFM2	Olfactomedin 2	Hs.169743	38433	R35832	0.76	0.00
HSI077G07	SMYD5	SMYD family member 5	Hs.516095	774488	BX097647	0.76	0.00
HSI016H01	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	Hs.558347	39884	BX112652	0.76	0.00
HSI098D07	GPR1	G protein-coupled receptor 1	Hs.184907	139304	BX094581	0.76	0.00
HSI054H06	GPR132	G protein-coupled receptor 132	Hs.532504	300619	BX100740	0.76	0.70
HSI182B01	E2F1	E2F transcription factor 1	Hs.96055	768260	AA424950	0.76	0.00
HSI108A07	LOXL2	Lysyl oxidase-like 2	Hs.116479	1376646	BX088934	0.76	0.00
HSI008G12	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	Hs.75678	128702	BX091438	0.76	0.00
HSI108G07	EST	Transcribed locus	Hs.573612	2371634	BX094809	0.76	0.00
HSI035E02	KIAA0773	KIAA0773 gene product	Hs.135343	179846	BX097607	0.76	0.00
HSI051D05	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	Hs.468239	280757	BX113772	0.76	0.00
HSI037C06	LYST	Lysosomal trafficking regulator	Hs.532411	194123	BX108784	0.76	0.00
HSI183A10	E2F1	E2F transcription factor 1	Hs.96055	768260	AA424950	0.76	0.00
HSI077B04	RAB4B	RAB4B, member RAS oncogene family	Hs.25367	767737	BX098204	0.76	0.00
HSI069H03	TFAP2C	Transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	Hs.473152	725680	BX108462	0.76	0.00
HSI033C07	HS3ST2	Heparan sulfate (glucosamine) 3-O-sulfotransferase 2	Hs.115830	49988	BX094096	0.76	0.83
HSI053C12	NUPL1	Nucleoporin like 1	Hs.507537	294900	BX115537	0.76	0.00
HSI094D02	ZNF451	Zinc finger protein 451	Hs.485628	2147740	BX089750	0.76	0.00
HSI078F06	CDK2AP2	CDK2-associated protein 2	Hs.523835	786018	BX098548	0.76	0.00
HSI074A07	FLJ14351	Hypothetical protein FLJ14351	Hs.472497	744943	BX089510	0.76	0.00
HSI062H04	NFIX	Nuclear factor I/X (CCAAT-binding transcription factor)	Hs.257970	347657	BX118242	0.76	0.00
HSI075H08	RSL1D1	Ribosomal L1 domain containing 1	Hs.401842	756835	BX111557	0.76	0.00
HSI135B04	EST	Transcribed locus	Hs.268803	175780	BX097486	0.76	0.00
HSI054B12	RP2	Retinitis pigmentosa 2 (X-linked recessive)	Hs.44766	296180	BX106200	0.76	0.68
HSI041A06	SLC22A7	Solute carrier family 22 (organic anion transporter), member 7	Hs.485438	211530	BX118061	0.76	0.86
HSI061B04	ZNF85	Zinc finger protein 85 (HPF4, HTF1)	Hs.37138	327351	BX095605	0.76	0.00
HSI091G06	ANKS3	Ankyrin repeat and sterile alpha motif domain containing 3	Hs.490371	1875133	AI272868	0.76	0.00
HSI031D05	SH3BP2	SH3-domain binding protein 2	Hs.167679	50122	BX109041	0.76	0.54
HSI110H02	EST	Transcribed locus	Hs.99472	44398	BX090066	0.76	0.00
HSI160G02	PRLR	Prolactin receptor	Hs.584792	727982	BX110569	0.76	0.00
HSI028C01	DKFZP564O0523	Hypothetical protein DKFZp564O0523	Hs.21590	156912	BX096028	0.76	0.00
HSI101H02	EST	Transcribed locus	Hs.573521	2000354	BX107505	0.76	0.00
HSI026A01	ITGAL	Integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	Hs.174103	154015	BX114703	0.76	0.91
HSI027F02	MAPK11	Mitogen-activated protein kinase 11	Hs.57732	156272	BX109815	0.76	0.00
HSI018F08	COQ9	Coenzyme Q9 homolog (yeast)	Hs.513632	41946	BX111834	0.76	0.00
HSI042F05	ZNF347	Zinc finger protein 347	Hs.467239	230202	BX102826	0.76	0.00
HSI024H08	ADAM15	ADAM metallopeptidase domain 15 (metargidin)	Hs.312098	149142	BX090550	0.76	0.00
