GID	yorf	NAME	GWEIGHT	155 A	67 A	17 A	218 A	117 A	146 A	148 A	149 A	145 A	203 B	203 A	148 B	152 A	152 B	201 A	202 A	227 A	263 A	90 A	21 A	262 B	30 A	30 B	175 A	125 A	61 A	70 A	141 A	123 A	262 A	151 A	123 B	223 B	217 B	217 A	202 B	263 B	228 B	216 A	216 B	228 A	125 B	90 B	201 B	218 B	145 B	175 B	227 B	67 B	P3 B	61 B	138 A	138 B	39 B	39 A	64 A	64 B	P3 A	155 B	223 A	141 B	146 B	21 B	117 B	17 B	70 B	149 B	151 B
GENE13X	HSI155D07	ATXN1		0.9023	1.032	1.363	1.06	1.046	1.033	0.9874	0.2542	0.3277	-0.6993	0.6052	0.3977	0.9498	0.8888	-0.2646	0.7729	-0.02696	-0.1716	0.507	2.098	2.1	0.6006	0.3673	-0.5688	-0.2216	-1.296	0.5078	0.5029	-1.584	-0.9012	-2.043	-0.3467	-1.864	-0.7607	0.08424	1.617	-3.358	-0.4084	0.9829	1.097	1.038	-1.205	-0.6737	-0.6955	-1.828	-1.395	-0.3439	0.07457	-0.1726	0.9185	0.03528	-1.578	-0.7923	-0.4926	-0.1144	0.2207	0.6387	0.2245	-0.3024	0.3493	0.2589	0.2212	-0.153	-0.4952	-0.7081	0.3992	-0.4387	-0.5587
GENE66X	HSI011B02	FKBP4		2	1.5	-0.2171	2.413	1.801	0.843	0.826	1.239	0.2837	0.151	1.026	0.1032	1.192	0.709	0.1284	1.439	0.547	0.05508	0.4874	0.9736	1.326	1.34	0.4521	-0.9825	0.4597	-1.684	0.4906	0.05378	-0.7302	-0.04849	-1.407	-1.395	-1.076	0.13	1.047	0.8045	-1.265	-0.4102	-0.4616	-0.8495	-0.4002	-0.7041	-0.2328	-0.598	-0.5949	-1.791	-1.488	-1.733	-0.1008	-1.054	-0.4881	-1.622	-1.019	0.2249	1.56	-0.3117	0.4197	-0.6923	0.878	0.8328	-0.03184	-0.1031	-1.502	0.03281	-0.8688	-0.8941	-0.6374	-0.3739
GENE389X	HSI055B12	RNASEH2A		0.7728	0.8299	-0.3719	0.9327	2.403	0.683	0.6818	-0.226	-0.6109	-0.4562	-0.1733	-0.3501	0.9292	-0.4282	0.9446	-0.2514	2.239	-0.1019	-0.06623	1.055	2.483	0.9291	-0.3377	1.254	-0.1783	-0.4461	0.04482	-0.2314	-0.7914	1.155	-1.567	-1.825	0.1523	0.505	0.2914	-0.6439	-1.918	-0.2949	1.658	1.487	0.5959	-1.558	-1.204	-0.7326	-0.5231	-0.3916	-1.548	0.198	-0.7227	-0.9506	0.5064	-1.036	-0.7661	0.6244	0.7858	0.7496	1.866	-0.8591	0.1237	-1.576	-0.2767	-0.9317	-0.586	0.5055	-0.7864	-1.008	-0.6176	-0.04066
GENE400X	HSI004C06	NDUFS8		0.5013	1.132	0.4709	0.4005	1.046	0.2727	1.202	0.3304	-0.6141	-1.164	-1.23	-0.4267	0.6939	0.1172	-1.466	1.216	0.7511	0.2932	0.8069	1.219	2.217	2.851	1.737	0.1421	-0.07703	-0.299	1.469	0.8207	-0.5957	1.334	-2.096	-0.9261	1.117	-0.555	0.8392	1.127	-0.3527	-0.009078	0.5539	-1.185	0.1965	-1.027	-0.834	-0.7734	-0.8708	0.2548	-1.185	0.8904	-0.3074	-1.53	0.3752	-0.3074	-1.055	-0.6364	0.5825	-0.4524	0.8574	-1.176	-0.5226	0.2188	-0.5967	-0.4253	-0.4708	-2.057	-0.6579	-0.02976	-1.022	-1.104
GENE90X	HSI056C08	GAMT		0.6541	2.54	1.761	1.468	1.574	1.668	2.104	1.281	0.8322	-0.9115	-0.7472	0.2775	0.0768	-0.1975	0.006602	0.438	-0.516	0.4119	-0.04002	1.962	1.241	0.6741	0.7444	0.7315	-0.0001493	-1.221	0.593	0.405	-0.01231	1.742	-0.107	0.2332	-0.4702	-0.964	-0.6924	-0.08241	-0.6213	0.8399	-0.05312	-0.9661	-0.002794	-1.733	-1.276	-0.6513	-1.294	-1.469	-1.39	0.1003	-0.5795	-0.183	-0.6682	-1.193	-2.147	-1.176	-1.18	-1.266	-1.016	-0.3057	0.0532	0.8944	0.5294	0.256	-0.1135	0.0224	-0.6447	-0.3937	-0.1109	0.2818
GENE347X	HSI048D12	CHCHD5		0.6088	1.461	1.169	-0.1081	1.925	0.8668	1.891	0.8523	0.3092	-1.38	-0.6959	-0.1857	0.7596	-0.2853	-0.4646	0.2259	-0.04676	0.4552	0.6533	1.829	1.801	1.539	1.208	1.571	-0.3035	-0.5543	1.839	0.2558	-0.247	1.639	-0.05706	0.2013	-0.08704	0.7739	1.589	0.06965	-1.738	-0.2177	0.4671	-1.969	-0.298	-1.484	0.4411	-1.095	-0.8136	-0.5241	-1.072	0.9459	-0.5658	-0.83	-0.9468	-0.72	-2.014	-1.135	-0.1903	-0.5667	-0.7217	-0.6873	-1.382	-0.6312	-0.4689	-0.09263	0.195	-0.4055	-0.9617	-0.7896	-0.2307	-0.576
GENE54X	HSI031E07	STARD10		1.202	1.13	1.298	0.6883	4.139	0.9829	1.639	0.9132	1.587	-0.5756	-0.0814	0.3156	0.8007	0.671	1.294	-0.2051	-0.9805	0.9668	0.4955	1.217	0.1076	1.622	0.4783	0.02015	-0.144	-0.01789	1.122	-0.6875	-0.4176	0.5485	-0.04568	-0.7001	-1.044	-1.215	0.357	-0.9357	-1.203	-0.6553	-0.00926	-0.272	-1.375	-1.369	-1.113	-0.4823	-1.789	-0.8376	-1.166	-0.2152	-0.9985	-0.5059	-0.6325	-1.213	-1.219	-1.119	-0.2598	0.2305	0.3219	-0.08094	-0.3654	-0.4777	0.1021	0.3449	-0.3446	1.458	-0.7072	-0.1495	-0.1544	-0.2877
GENE218X	HSI066B10	ARFIP2		0.7619	1.353	1.299	0.7715	0.6996	1.19	3.183	1.558	1.384	-0.5785	-0.8275	0.7158	1.065	-0.1616	-1.33	-1.181	-1.199	0.7033	0.4583	0.8199	0.9094	1.079	0.819	0.8307	-0.7708	0.5712	1.425	-0.4939	-1.383	0.5087	0.8474	-0.06117	0.1768	0.4405	0.4805	-1.081	-1.826	-0.1333	0.6691	-0.5368	-1.221	-0.4644	-0.362	-1.899	-0.795	-1.891	-0.6196	0.2943	-0.3351	-0.6134	-0.7515	-1.705	-1.501	-1.186	0.1778	0.7419	-0.01525	-0.01936	-0.1787	0.4401	-0.2388	0.161	0.2446	0.06929	-1.818	0.2949	-0.03231	0.0654
GENE401X	HSI004C12	NINJ1		0.7465	1.369	0.9844	1.483	0.8743	0.8661	2.047	1.206	0.07414	-1.558	-1.433	0.9001	0.1691	0.2498	-1.208	-1.197	-0.1308	0.4398	0.7864	2.908	1.552	1.25	0.5797	0.6389	0.1762	0.9576	0.3472	1.012	-0.4971	0.5025	0.1493	0.508	-0.2571	-0.816	-0.8905	-1.686	-2.476	-0.35	0.1749	-0.7366	-0.8649	-0.4503	-1.055	-1.529	-2.232	-1.311	-0.649	1.145	0.05723	-0.5852	0.7912	-0.5985	-0.5391	0.04828	1.193	-0.188	-0.03563	-0.3166	-0.3551	0.201	-0.4027	0.07536	-0.353	-0.9416	-0.7151	-0.05591	0.051	-0.0993
GENE42X	HSI064H07	PLCD4		0.8831	0.5654	2.041	0.4475	1.109	0.6126	1.164	0.4944	-0.1527	-1.931	-1.431	-0.4623	0.9393	-0.3167	-1.238	-1.089	-0.5918	-0.04772	0.6635	2.499	2.586	0.4847	0.1356	0.7396	-0.2476	-0.1722	0.5964	-0.5035	-0.08443	0.7279	-0.4088	-0.003435	-1.087	0.3861	1.215	-0.4514	-3.183	1.23	1.365	-0.684	-0.2877	-0.2962	-0.2656	-1.729	-0.5867	-1.076	-0.7732	1.92	0.1946	0.6997	0.2553	-0.8847	-0.7808	-0.7874	0.02307	-0.204	0.3984	0.9711	0.4044	-0.7622	-0.7816	-0.6026	-0.07509	-0.0613	0.08892	-0.3355	-0.6942	-0.7709
GENE412X	HSI085G12	KCNK15		0.6942	1.965	-1.111	0.5528	1.199	-1.332	2.523	1.771	2.871	-0.6652	0.6608	-0.4262	-0.6185	-0.5869	0.4115	1.39	0.3869	0.9939	0.1612	0.9434	0.6358	2.284	0.6143	1.103	0.7641	0.7339	1.328	0.3151	-0.2948	0.3698	0.4468	-0.7405	-1.11	0.4722	1.185	0.7984	-0.9098	-0.935	-1.074	-1.207	-1.372	-0.5731	-0.7011	-0.7155	-0.5949	-0.7568	-0.9024	-0.6766	-0.16	-0.5656	0.0008911	-0.8542	-0.688	-0.4314	-0.6575	-1.305	-0.4649	-0.3397	0.02573	-0.5275	-0.9696	-1.487	-1.041	0.4528	-0.4782	0.2942	-0.45	-0.6248
GENE46X	HSI124D07	RIMS4		0.918	2.661	-1.071	1.121	3.227	-1.229	1.886	1.041	2.107	-0.4055	-0.6077	-0.6647	-0.3665	-0.2627	1.976	1.079	0.1641	-0.1358	0.596	0.2099	0.494	1.643	0.4187	1.127	0.8568	1.325	0.8411	-0.6542	-0.3036	-0.7857	0.859	-0.8986	-0.8414	0.2593	0.3225	0.09088	-0.6754	-0.7815	-0.8922	-1.28	-1.435	-0.6647	-0.766	0.009892	-0.7732	-0.3518	-0.5364	-0.2361	0.3755	-0.5455	0.02412	-0.6824	-0.9663	-1.123	-0.7973	-0.703	-0.5187	-0.8042	0.288	-0.9187	-0.8964	-1.242	-0.6965	0.8927	-0.4936	-0.2698	0.3734	0.0882
GENE179X	HSI053B09	HSPB8		-1.936	1.315	1.254	1.178	0.8635	-1.276	1.109	0.9469	2.636	-0.46	0.306	-0.8081	0.7114	0.202	3.046	-1.442	0.3075	0.3289	1.246	-0.5535	-0.5485	1.56	0.7132	-1.126	0.7692	0.2179	-0.5888	-0.7265	0.03652	-1.465	-1.775	-0.5758	-0.3475	-1.866	1.042	-0.4776	-1.851	-0.5524	-0.09003	0.322	0.04046	1.006	0.3303	1.424	-0.7492	0.02387	0.09555	-0.4698	1.087	-0.6805	0.4166	-0.3418	0.456	-0.1849	-0.314	-0.0384	0.3865	-0.5078	-0.9115	0.8995	-1.092	-1.035	0.3301	0.1484	-0.1735	-0.5059	-0.6768	-0.6096
GENE48X	HSI176D01	EST		0.6536	0.7344	1.387	1.847	0.9311	0.2737	-0.3683	-0.6487	0.8974	0.2518	1.197	-0.5504	-0.136	1.171	0.7021	1.146	-0.5287	0.6432	-0.3328	1.127	0.2178	1.639	2.118	-1.206	0.5828	-0.3374	1.198	0.4931	0.6039	-1.799	1.484	-0.3942	-0.09976	0.8807	1.682	-0.7463	-1.988	-0.9653	-1.597	-2.38	-0.2735	-0.2647	-1.608	-0.2116	-1.431	-0.9737	-1.161	-0.5869	-0.832	-0.5624	-0.8613	-0.653	-0.9858	-0.4723	0.2857	-1.109	-0.4553	0.5217	-0.4561	1.913	-0.03124	0.05981	0.3658	0.1794	0.6327	-0.2262	-0.2569	-0.3308
GENE73X	HSI080F02	PREX1		1.187	2.246	0.2672	2.693	1.955	-0.5826	0.9306	0.4181	1.628	-0.9596	0.7512	0.08938	0.02853	0.1076	1.691	0.3527	0.7105	1.024	0.1124	0.4544	0.503	-0.4038	1.421	0.4398	1.278	0.4757	0.1713	-0.6331	0.719	1.319	1.642	-0.2383	0.5207	-1.076	0.2708	-1.694	-1.598	-0.1874	-1.359	-1.7	-1.089	-1.175	-1.883	-0.8083	-0.9737	-1.477	-0.2893	0.5536	-0.3354	-0.3323	-0.2764	-0.3034	-0.9661	0.0156	-1.034	-0.2357	0.08552	-0.362	0.5722	0.2269	-1.136	-1.191	-0.1146	-0.7454	-0.6452	-0.02049	-0.542	-0.4911
GENE69X	HSI032D02	ABCA3		0.06996	1.839	0.8282	2.584	1.597	1.767	1.541	0.5491	0.9792	-0.8776	-0.3874	-0.7432	-0.4018	-0.5786	0.6687	-0.6785	0.4678	0.9743	0.6268	0.9368	1.49	-0.7592	0.348	0.2636	0.8797	-0.2032	0.1267	-0.1958	0.1511	2.419	0.506	-0.3721	0.5436	-0.4085	1.103	-0.5974	-2.636	-0.4312	-1.157	-1.429	0.2616	-1.082	-0.6212	-0.3929	0.06766	-1.86	-1.57	-1.357	0.003057	-0.996	-0.194	-0.4869	-0.2978	-1.105	-0.5372	-1.155	-0.5714	-0.3924	-1.234	1.178	-0.6436	1.003	0.2222	0.416	-0.01105	-0.3533	0.1628	0.1432
GENE187X	HSI095H09	C6orf97		-0.04496	1.488	2.725	2.113	2.458	-0.06857	0.1771	-0.223	-0.7566	0.5241	0.6749	-0.6901	0.4864	0.2851	-0.3482	0.9757	0.7799	-0.4659	1.012	-0.7552	0.0893	0.488	0.4456	-0.429	-0.0007822	1.258	0.3155	1.109	-0.1028	1.644	-0.008548	-0.8637	0.008897	-0.5493	-0.2263	0.006445	-0.9229	-1.049	-1.11	-1.46	-1.054	-0.2162	1.65	-0.2988	-1.051	-0.9622	-1.354	-1.097	0.7145	-0.9027	0.1049	-0.9977	-0.879	-0.9666	-0.8784	-0.981	-0.9214	-0.8488	-0.899	0.3959	0.8538	-0.8261	1.621	2.415	-0.7705	0.269	-0.5203	-0.5891
GENE348X	HSI048F12	CCND1		0.6353	2.13	1.818	1.22	2.684	-0.5842	1.741	1.198	0.7047	-0.8564	0.2762	-0.001148	0.307	-0.5012	2.132	2.608	0.7557	0.08056	0.3536	0.5475	-0.4334	0.3666	-0.09135	-0.009717	0.3546	-0.2031	0.05423	1.612	0.4187	-0.6223	0.2664	0.1372	0.3926	-1.128	-0.6184	-0.6408	-1.223	-0.9237	-0.8184	-0.3195	-0.4478	-1.075	-0.2236	-0.6982	-0.8182	-1.339	-0.8385	-1.316	-1.072	-0.5682	-1.075	1.53	0.2275	-0.2491	0.6999	-1.337	-0.9617	-0.4609	-1.56	0.08895	0.7384	-1.275	-0.1996	0.5939	-0.4876	-1.236	-0.2094	-0.2492
GENE196X	HSI025A03	FGD3		0.03323	0.9006	-0.4399	0.2102	1.632	0.3366	1.51	1.076	0.4094	-1.167	-0.9136	0.5019	-0.7421	-1.117	1.318	-0.8103	0.6047	0.5543	2.186	1.371	-0.6505	-0.3792	0.1789	1.316	0.1237	2.04	1.707	0.3421	0.9893	-0.5541	2.862	0.5475	2.219	-0.5985	-0.6724	-1.259	-1.07	-0.6888	-0.8931	-1.299	-1.191	-1.062	0.5589	-0.07396	-0.7706	-1.358	-0.0836	-0.326	-0.4882	-0.5059	0.6155	-0.5418	-0.8219	-0.6657	-1.274	-0.4075	-0.3817	-0.2622	-0.6754	-0.7924	-1.166	0.5599	-1.366	-0.2719	0.537	-0.0626	0.2837	0.2813
GENE143X	HSI182E08	PLAT		2.308	2.209	1.79	1.723	1.415	1.946	0.6967	0.5232	1.193	-1.332	0.08843	-1.192	0.2822	-0.4536	0.6892	0.4061	0.4173	-0.3876	0.2948	0.5311	-1.099	-1.594	-1.598	0.6402	-0.644	0.9285	-0.124	1.478	0.3154	-1.615	0.7771	0.2779	0.4759	-2.042	-0.4922	-0.2561	-0.3239	0.4062	-0.3903	-0.5887	-0.3666	-0.7022	0.3091	-0.0816	-1.052	-0.6637	-0.5526	-0.2712	0.5074	-0.9842	0.9909	-1.107	-0.9812	-0.8493	-1.233	-0.9495	-1.056	-1.151	1.525	0.09759	0.7448	1.522	0.1352	-0.02853	-0.8535	-0.4136	-0.1145	-0.1009
GENE141X	HSI182A02	TFF3		0.6644	1.114	0.6329	0.1807	2.311	2.719	1.383	0.9876	1.46	-0.5464	0.3391	-0.9339	0.3691	-0.1814	-1.371	-0.3816	-0.6325	-0.9762	0.7596	0.2535	0.2235	-0.3748	0.568	0.8271	0.8556	-0.2906	1.632	0.06459	-0.02474	0.1954	0.2176	-0.79	-1.705	1.695	0.9901	-0.5542	-0.8866	-0.7913	0.3196	-1.177	0.2754	-0.08907	-0.5183	-1.768	0.3865	-0.7034	-0.8201	-2.012	-0.1316	-0.9462	-1.626	0.6472	-0.576	-1.111	0.5289	-0.1697	-0.3973	0.288	-0.1769	-0.06002	-1.802	1.47	0.3362	1.945	-0.7555	0.2913	-0.8195	-0.8324
GENE194X	HSI004C09	COX6C		-0.1977	0.5138	0.7014	0.9063	2.277	1.378	1.389	1.779	1.209	-0.8459	0.1111	-0.7639	-0.5382	-0.9545	-0.5573	1.019	0.4982	-1.075	0.8729	-1.041	-0.09869	1.635	0.4913	0.2447	-0.5123	-0.3365	0.05347	0.2411	-0.2882	0.4721	-0.4853	-1.083	-1.348	-0.3849	0.8268	2.36	0.9972	1.064	-1.13	-1.493	1.32	0.3403	0.3318	0.01063	-0.6207	-0.5401	-1.757	-1.616	-0.6604	-0.6918	0.4981	-0.01182	-0.6304	-1.475	-1.266	-1.049	-1.213	-0.5119	-0.8262	0.3027	-1.216	0.1032	1.803	1.692	-0.3999	-0.5669	0.3426	0.4009
GENE247X	HSI183G10	TFF3		1.595	1.644	0.2402	0.08631	1.996	1.444	1.301	1.078	0.6187	0.363	0.431	-0.174	0.9514	0.0528	0.02404	0.9218	0.1466	0.3432	0.5305	-0.3741	-1.075	-1.448	-0.2274	0.5192	0.5664	-0.1674	1.58	-0.4065	0.05452	0.2624	-1.479	-1.417	-1.449	0.09298	0.4824	1.643	0.1488	0.2485	0.03461	0.1542	1.182	-1.026	-0.3095	-0.6439	-0.133	-0.3749	-0.5274	0.278	0.2681	-0.8926	-0.7667	-0.6715	-2.148	-2.482	-2.529	-0.7881	-0.6966	-0.07298	0.5309	0.06139	-1.038	0.9146	0.4903	2.127	-1.287	0.6329	-0.7383	-0.6978
GENE344X	HSI182A05	TFF1		1.133	1.719	0.05759	0.8411	1.466	0.4151	1.451	1.42	1.869	1.13	1.103	0.402	1.47	0.8797	-0.1837	1.216	0.4607	1.132	0.2393	-0.2323	-0.028	1.114	0.65	0.5541	1.083	-0.1544	0.4937	0.1634	0.7625	0.8991	-0.8468	-1.386	-1.107	-0.5842	0.5712	1.652	-0.07603	-1.29	-0.9902	0.02036	-1.225	-0.718	-1.169	-0.7437	-0.4486	-0.0108	-1.34	-1.104	0.2927	-0.2007	-1.024	-1.289	-1.778	-1.749	-1.281	-1.343	-1.216	0.5355	0.5436	-0.5513	-1.157	0.2957	0.005491	1.018	-0.6783	-0.5318	-1.316	-1.308
GENE76X	HSI090B08	AFF3		0.6358	1.935	1.878	0.2603	1.256	1.086	3.144	2.178	1.911	0.04979	0.7272	0.3653	-0.2143	-0.4654	0.276	1.575	-0.5768	0.7198	-0.6162	-0.7968	-0.5827	0.4446	0.7514	-0.5877	0.3201	-0.2239	0.004655	0.6803	1.024	1.53	0.8657	0.2379	-0.4902	-1.285	-1.394	-0.193	-0.67	-0.9129	-1.459	-1.539	-0.5848	-0.8935	-0.6126	-0.6465	-1.635	-0.6091	-1.345	-0.7975	-0.4137	-0.6874	-0.738	-0.8849	-1.153	-0.8445	-0.5659	-0.6828	-0.9122	-0.5407	0.02677	0.9399	0.7033	-0.2002	1.091	0.1105	-0.5254	-0.449	0.4286	0.5726
GENE300X	HSI115C11	AFF3		1.045	0.9368	1.907	0.2298	1.293	0.5219	0.9256	1.238	0.9956	1.127	1.445	0.7886	-0.05265	-0.05021	1.22	2.051	-0.6724	0.7042	-0.3359	-1.252	-1.009	0.3051	0.7262	-0.7165	0.5203	-0.1442	0.08446	0.5862	0.287	0.1036	1.572	-0.2253	-0.9025	-1.543	-1.034	1.54	-1.06	-0.7312	-1.339	-1.874	-0.8079	-0.3661	-0.3429	0.4334	-1.583	-0.9585	-0.9905	-0.6898	0.6983	-0.7828	-0.6177	-1.468	-1.171	-1.091	-1.276	-1.234	-1.357	-0.3134	0.2766	0.6401	0.6655	0.1846	1.227	1.247	-1.09	-0.4493	0.9817	1.028
GENE280X	HSI093D05	RABEP1		0.4619	2.405	0.2564	1.103	0.9433	1.893	0.3292	0.8669	2.502	-1.034	-0.5941	-0.5566	0.01629	-0.3882	1.149	1.811	2.125	0.8704	-0.8084	-0.6961	0.2337	-0.2036	-0.6566	0.6201	0.2848	0.1061	0.3947	0.2972	1.419	1.174	1.79	-0.7587	0.2465	-2.207	-0.1042	0.6004	-0.2446	-0.847	-1.819	-1.638	0.38	0.2003	-0.9181	-0.1499	-1.072	-0.6775	-0.5317	-1.267	-0.9342	-0.453	-0.4381	-0.7632	-1.558	-0.5963	-0.5784	-0.7024	-0.2193	-0.9401	-1.002	1.416	-0.09174	-0.008107	-0.02126	-0.6648	-0.2571	0.5128	0.03425	-0.04161
GENE225X	HSI183D04	AR		0.7819	1.549	1.545	0.7031	0.5111	1.242	-0.6898	0.2666	0.1142	-0.1279	0.5343	-0.03352	1.857	0.9882	0.7337	1.115	0.6079	0.9561	-0.2327	-0.1287	-0.4312	0.9944	0.003405	0.2448	-0.03853	-0.1486	-0.4117	2.01	1.695	1.543	1.567	1.18	0.0494	-0.91	-0.6924	0.2691	-0.856	-1.182	-1.046	-0.9597	-0.5604	-0.8601	-0.3149	-0.4651	-1.505	-1.929	-0.4867	-1.248	-0.09953	-1.207	-0.3933	-2.119	-2.096	-1.699	-1.963	0.5253	-0.0259	-0.4533	-0.09601	0.443	1.203	0.5328	0.9673	-0.03695	-0.5052	-0.8768	0.05433	0.04163
GENE235X	HSI066A10	ZNF161		0.6361	0.6031	1.361	1.995	0.0328	1.087	1.042	1.464	1.345	0.9726	1.791	1.208	1.223	0.8864	1.941	2.238	-1.171	-1.018	-1.037	0.9056	-1.841	1.008	-0.426	-1.247	-0.1381	-0.5053	0.37	0.4113	0.5075	-0.2314	0.8594	0.1571	-1.422	-1.15	-0.03321	-0.8744	-0.5343	-1.309	-0.6767	-0.3783	-0.02009	-0.5045	-1.522	-0.134	-0.8435	-1.901	-0.611	-1.706	-1.282	-0.45	-1.16	0.0739	-0.9084	-0.2015	0.6506	0.7811	0.09103	-0.6206	-0.4102	1.169	0.1507	-0.1169	-0.2638	-0.5641	-0.7997	0.4892	0.37	0.1925
GENE78X	HSI005A02	HOOK1		1.487	1.656	0.3503	1.265	-0.288	1.781	0.6538	1.686	0.7416	-0.4913	0.7658	0.3395	1.567	0.8656	0.7012	0.9744	0.2299	0.1073	-0.7716	-1.088	-0.902	0.6396	-0.004573	0.08615	0.5776	-0.5384	0.03695	0.5799	1.399	0.4883	1.857	0.7825	-0.9792	-0.7215	-0.9384	-0.389	-1.378	-1.946	-1.318	-0.6816	-0.5499	-1.265	-1.237	-0.9555	-1.605	-2.18	-0.676	-2.577	-0.2958	-0.5457	-0.7355	0.9846	0.01332	-0.3289	-0.2062	-0.429	-0.8725	-0.6352	0.6319	0.891	0.6586	0.3192	0.2526	0.1886	0.2709	-0.5674	1.161	1.109
GENE277X	HSI080H11	SEMA3F		1.158	1.9	0.7775	0.8692	0.8467	-0.1733	0.907	1.019	0.5177	0.8006	1.567	0.02717	-0.06621	0.3153	0.0218	2.12	-0.3719	0.682	0.8517	0.4248	0.4459	1.058	1.26	0.4082	1.072	0.5095	1.393	0.5314	0.3874	0.7484	0.7848	0.3157	1.113	-1.055	-1.328	0.7592	-2.156	-1.387	-1.515	-1.154	-0.8568	-1.099	-1.51	-1.161	-1.75	-2.319	-0.5447	-1.153	-1.376	-0.1869	-0.9201	-1.021	-1.395	-0.7403	-0.4324	0.2088	-0.8421	0.2121	0.1927	0.3731	0.214	-0.4071	-0.1874	-0.873	-0.4047	-0.01676	0.8311	0.7812
GENE56X	HSI037G07	ZNF703		-0.1751	1.896	1.837	0.6799	-0.2672	0.02232	1.46	1.615	0.7054	0.3	1.339	-1.389	0.7142	1.259	1.046	2.855	0.1679	0.5806	-0.1446	1.841	-0.0468	1.39	0.3793	-0.3364	0.02557	-0.3191	1.191	-0.3605	-0.02437	0.6666	-1.231	-0.1856	-0.3138	-1.135	-0.6609	2.037	-0.6823	-0.6634	-1.449	-1.109	-1.125	-0.8794	-1.477	-0.5876	-0.8976	-2.241	-0.445	-0.4866	-0.7979	-0.6687	-0.7725	0.2597	0.2644	-1.044	-1.05	0.3583	0.1402	-0.4837	-0.5774	0.2294	-0.0009286	-0.2066	0.2862	-1.739	-0.09662	-0.3383	0.4792	0.3828
GENE354X	HSI096F06	C16orf50		-0.8861	1.637	0.7624	1.28	0.8697	0.4115	1.428	0.9531	1.427	-0.6405	2.744	-0.6536	-1.128	-0.4416	2.89	-0.3739	1.087	0.7352	-0.1598	0.7911	0.9407	-0.8026	-0.8563	-0.05295	-0.2903	0.3002	-1.052	1.491	0.6923	0.9772	1.653	-0.1471	0.0752	1.503	1.327	-1.128	-0.9151	-1.118	-1.456	-1.245	-1.139	-0.9026	-0.03436	-0.1856	0.03891	-0.6502	-0.6217	-0.9296	-0.2741	-0.05567	-0.5012	-0.9279	-0.8045	-1.329	-1.188	-0.8786	-1.294	0.1166	-0.5249	0.4451	0.3956	-0.1898	-0.5788	-0.2383	-0.539	-0.7773	0.4363	0.5021
GENE374X	HSI096C06	MAPT		-0.9304	1.72	1.057	1.248	0.7511	0.3393	1.268	0.7673	1.315	-0.3551	2.509	-1.002	-1.291	-0.552	2.69	-0.159	0.9662	0.6057	-0.002364	0.5924	1.285	-0.7882	-1.013	0.5642	-0.2745	0.2998	-1.145	1.436	0.6939	0.9474	1.471	-0.3222	0.1075	1.346	1.189	-0.9777	-0.7195	-1.085	-1.401	-1.249	-1.295	-1.099	-0.3215	0.1594	0.1915	-0.7463	-0.4947	-1.078	-0.02553	0.4724	-0.2774	-1.24	-1.341	-1.042	-0.8456	-1.024	-0.938	0.5162	-0.5672	0.556	0.3593	-0.02253	-0.725	-0.1512	-0.74	-1.441	0.6436	0.6157
GENE357X	HSI133F06	EST		0.3822	0.4995	1.977	1.092	1.033	0.3742	0.6122	0.2659	0.9196	0.2442	1.736	1.122	0.2453	-0.1344	1.174	2.848	1.547	2.062	-0.2396	0.6939	-0.2027	0.5143	-0.1337	-0.2823	0.09755	-0.1153	0.2928	0.5526	0.7914	0.4579	0.9942	-0.1247	-0.2566	-1.323	0.7682	0.69	-1.063	-0.9173	-0.7709	-0.8304	-1.344	-1.013	-0.3649	-0.74	-0.3578	-1.547	-0.2139	-1.562	0.06314	-0.2446	-0.9426	-1.944	-1.813	-1.833	-1.767	-1.712	-1.314	0.33	-0.3866	0.2017	0.1818	0.2895	0.3214	-0.1259	0.1306	-0.7321	0.4771	0.3682
GENE18X	HSI177H07	PCBP3		-0.2613	0.9284	2.765	0.7806	1.642	0.2216	0.187	0.2466	1.202	-0.4525	1.314	0.237	0.2549	-0.8925	0.8498	2.142	1.461	3.278	0.5504	0.5929	-0.1964	1.222	0.1096	-0.2578	0.2513	-0.005645	1.087	0.2652	1.009	1.15	0.9257	0.5581	0.04144	-1.194	-0.0309	0.5712	-1.178	-0.5939	-1.038	-1.189	-1.23	-0.9983	-0.5482	-0.632	-0.5313	-1.089	-0.5327	-1.236	-0.5635	-0.3031	-1.255	-1.28	-1.104	-1.437	-0.8014	-1.304	-1.334	-0.05431	-1.199	0.1154	-0.2505	-0.2417	-0.002646	0.1208	-0.1937	-0.4566	0.03913	-0.2509
GENE34X	HSI177G07	EST		-0.2275	1.017	2.342	0.9684	1.007	0.5695	0.6819	0.2549	1.394	-0.3094	1.65	0.4561	0.3357	-0.5615	0.5299	2.679	1.313	2.862	0.3103	0.843	-0.6479	0.9017	-0.1136	-0.2771	-0.1287	0.01917	0.6694	0.3167	0.8184	1.39	1.326	0.8019	-0.2443	-0.8545	0.5338	0.2109	-1.354	-0.5214	-0.8412	-1.085	-1.109	-0.7956	-0.6986	-0.8692	-0.2984	-1.585	-0.3447	-1.436	-0.504	-0.7046	-0.9698	-1.347	-1.206	-1.314	-1.348	-1.337	-1.438	-0.3349	-1.131	0.1554	0.008899	-0.08991	0.01326	0.1598	-0.3397	-0.4405	0.1032	0.1632
