P_SET	TITLE	SYMBOL	DOWNFOLD
212432_at	GrpE-like protein cochaperone	HMGE	2.02
213523_at	CCNE1, 213523_at, cyclin E1	CCNE1	2.02
52164_at	chromosome 11 open reading frame 24	C11orf24,	2.02
201036_s_at	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	HADHSC	2.01
201935_s_at	eukaryotic translation initiation factor 4 gamma, 3	EIF4G3	2.01
202110_at	cytochrome c oxidase subunit VIIb	COX7B	2.01
202435_s_at	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1,	2.01
203233_at	interleukin 4 receptor	IL4R	2.01
203302_at	deoxycytidine kinase	DCK	2.01
205449_at	protein predicted by clone 23627	HSU79266	2.01
209621_s_at	alpha-actinin-2-associated LIM protein	ALP	2.01
220445_s_at	taxol resistance associated gene 3	TRAG3,	2.01
61732_r_at	capillary morphogenesis protein 1	CMG1	2.01
202777_at	soc-2 suppressor of clear homolog (C. elegans)	SHOC2	2
205281_s_at	phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)	PIGA	2
205633_s_at	aminolevulinate, delta-, synthase 1	ALAS1	2
205822_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	HMGCS1	2
207121_s_at	mitogen-activated protein kinase 6	MAPK6,	2
209387_s_at	transmembrane 4 superfamily member 1	TM4SF1,	2
211341_at	POU domain, class 4, transcription factor 1	POU4F1	2
211569_s_at	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	HADHSC	2
213547_at	TBP-interacting protein	TIP120B	2
213787_s_at	emopamil binding protein (sterol isomerase)	EBP	2
218049_s_at	mitochondrial ribosomal protein L13	MRPL13	2
218465_at	hypothetical protein FLJ10525	FLJ10525	2
219068_x_at	hypothetical protein FLJ10709	hypothetical protein FLJ10709	2
219342_at	O-acetyltransferase	CAS1	2
219575_s_at	peptide deformylase-like protein	PDF	2
221844_x_at	hypothetical protein FLJ22059	FLJ22059	2
230061_at	hypothetical protein BC014339	LOC116441	13.44
222717_at	serum deprivation response (phosphatidylserine binding protein)	SDPR	7.7
223395_at	DKFZP586L2024 protein	NESHBP	6.59
237520_x_at	---, 237520_x_at, ESTs	---, 237520_x_at, ESTs	6.24
228489_at	hypothetical protein BC014339	LOC116441	4.53
230493_at	Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	ESTs, Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	4.42
222881_at	heparanase	HPSE	3.41
234932_s_at	CUB domain-containing protein 1	CDCP1	3.33
244757_at	Weakly similar to  PRO0478 protein [Homo sapiens] [H.sapiens]	Weakly similar to  PRO0478 protein [Homo sapiens] [H.sapiens]	3.2
234980_at	hypothetical protein FLJ31842	FLJ3184	3.01
226482_s_at	F11 receptor	F11R	2.92
237515_at	---, 237515_at, ESTs	---, 237515_at, ESTs	2.85
223484_at	normal mucosa of esophagus specific 1	NMES1	2.8
225612_s_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	B3GNT5	2.77
236075_s_at	Homo sapiens cDNA FLJ31443 fis, clone NT2NE2000808.	Homo sapiens cDNA FLJ31443 fis, clone NT2NE2000808.	2.71
228262_at	hypothetical protein FLJ14503	FLJ14503	2.65
230720_at	hypothetical protein MGC33993	MGC33993	2.61
228186_s_at	thrombospondin	FLJ14440	2.54
237920_at	Highly similar to  synaptonemal complex protein 2 [Homo sapiens] [H.sapiens]	ESTs, Highly similar to  synaptonemal complex protein 2 [Homo sapiens] [H.sapiens]	2.5
233002_at	HEAT-like repeat-containing protein	KIAA1622	2.48
239621_at	---, 239621_at, ESTs	---, 239621_at, ESTs	2.44
231565_at	hypothetical protein MGC35043	MGC35043	2.39
222780_s_at	brain and acute leukemia, cytoplasmic	BAALC	2.33
229566_at	Homo sapiens full length insert cDNA clone ZC45B12	Homo sapiens full length insert cDNA clone ZC45B12	2.32
241435_at	---, 241435_at, ESTs	---, 241435_at, ESTs	2.31
225728_at	Homo sapiens cDNA FLJ37284 fis, clone BRAMY2013590.	Homo sapiens cDNA FLJ37284 fis, clone BRAMY2013590.	2.3
224219_s_at	transient receptor potential cation channel, subfamily C, member 4	TRPC4	2.28
AFFX-r2-Hs18SrRNA-5_at	AFFX-r2-Hs18SrRNA-5_at, ---	AFFX-r2-Hs18SrRNA-5_at, ---	2.28
223122_s_at	secreted frizzled-related protein 2	SFRP2	2.21
241708_at	dedicator of cyto-kinesis 1	DOCK1	2.18
222587_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)		2.16
223315_at	netrin 4	NTN4	2.16
236335_at	Homo sapiens cDNA FLJ11013 fis, clone PLACE1003200.	Homo sapiens cDNA FLJ11013 fis, clone PLACE1003200.	2.16
232254_at	Homo sapiens cDNA: FLJ20913 fis, clone ADSE00630.	Homo sapiens cDNA: FLJ20913 fis, clone ADSE00630.	2.14
226810_at	Homo sapiens mRNA; cDNA DKFZp761M0111 (from clone DKFZp761M0111)	Homo sapiens mRNA; cDNA DKFZp761M0111 (from clone DKFZp761M0111)	2.11
235046_at	---, 235046_at, ESTs	---, 235046_at, ESTs	2.1
226610_at	nuclear protein p30	p30	2.09
226611_s_at	nuclear protein p30	p30	2.09
228417_at	myo-inositol 1-phosphate synthase A1	ISYNA1	2.09
237491_at	---, 237491_at, ESTs	---, 237491_at, ESTs	2.09
223121_s_at	secreted frizzled-related protein 2	SFRP2	2.08
235044_at	cysteine and tyrosine-rich 1	CYYR1	2.08
227198_at	Homo sapiens cDNA FLJ30555 fis, clone BRAWH2003818.	omo sapiens cDNA FLJ30555 fis, clone BRAWH2003818.	2.07
227867_at	ESTs, Weakly similar to  C05G5.5.p [Caenorhabditis elegans] [C.elegans]	ESTs, Weakly similar to  C05G5.5.p [Caenorhabditis elegans] [C.elegans]	2.07
230280_at	tripartite motif-containing 9	TRIM9	2.06
229665_at	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa	CSTF3	2.05
235964_x_at	SAM domain and HD domain 1	SAMHD1	2.05
236901_at	---, 236901_at, ESTs	---, 236901_at, ESTs	2.04
241653_x_at	---, 241653_x_at, ESTs	---, 241653_x_at, ESTs	2.03
229390_at	Homo sapiens full length insert cDNA clone ZA84A12	Homo sapiens full length insert cDNA clone ZA84A12	2.02
229377_at	growth hormone regulated TBC protein 1	GRTP1	2.01
235292_at	Homo sapiens cDNA FLJ32255 fis, clone PROST1000226.	Homo sapiens cDNA FLJ32255 fis, clone PROST1000226	2.01
