Rank	Fold difference of geom means (control/transfected cell lines)	Probe set	Gene symbol	Description
370	1.862	1416455_a_at	Cryab	crystallin, alpha B
371	1.862	1437495_at	Mbtps2	membrane-bound transcription factor protease, site 2
372	1.855	1428711_at	Mon1b	MON1 homolog b (yeast)
373	1.855	1428592_s_at	Usp38	ubiquitin specific protease 38
374	1.854	1457034_at	D14Abb1e	DNA segment, Chr 14, Abbott 1 expressed
375	1.853	1429617_at	Cyld	cylindromatosis (turban tumor syndrome)
376	1.853	1423884_at	Tex292	testis expressed gene 292
377	1.852	1452655_at	Zdhhc2	zinc finger, DHHC domain containing 2
378	1.852	1424568_at	Tspan2	tetraspan 2
379	1.852	1448319_at	LOC432549	similar to Aldo-keto reductase family 1, member B3 (aldose reductase)
380	1.851	1455523_at	Cstf2	cleavage stimulation factor, 3 pre-RNA subunit 2
381	1.849	1416610_a_at	Clcn3	chloride channel 3
382	1.847	1453035_at	Lnp	limb and neural patterns
383	1.847	1456566_x_at	Rbm14	RNA binding motif protein 14
384	1.844	1438786_a_at	2610021A01Rik	RIKEN cDNA 2610021A01 gene
385	1.843	1421851_at	Ddx26	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26
386	1.842	1424529_s_at	Cgref1	cell growth regulator with EF hand domain 1
387	1.84	1419058_at	Praf1	polymerase (RNA) I associated factor 1
388	1.838	1417766_at	1810044O22Rik	RIKEN cDNA 1810044O22 gene
389	1.837	1416499_a_at	Dctn6	dynactin 6
390	1.836	1451873_a_at	Smad5	MAD homolog 5 (Drosophila)
391	1.836	1452810_at	4921521J11Rik	RIKEN cDNA 4921521J11 gene
392	1.836	1452166_a_at	Krt1-10	keratin complex 1, acidic, gene 10
393	1.834	1416402_at	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10
394	1.834	1455137_at	Rapgef5	Rap guanine nucleotide exchange factor (GEF) 5
395	1.834	1416442_at	Ier2	immediate early response 2
396	1.833	1416932_at	Cog2	component of oligomeric golgi complex 2
397	1.833	1455651_at	Terf2	telomeric repeat binding factor 2
398	1.833	1424513_at	Atp6v0a2	ATPase, H+ transporting, lysosomal V0 subunit a isoform 2
399	1.831	1433872_at	2410042D21Rik	RIKEN cDNA 2410042D21 gene
400	1.831	1429728_at	4930429M06Rik	RIKEN cDNA 4930429M06Rik
401	1.829	1439272_at	A830039H10Rik	RIKEN cDNA A830039H10 gene
402	1.826	1438761_a_at	Odc1 /// LOC545783 /// LOC546355	ornithine decarboxylase, structural 1 /// similar to Ornithine decarboxylase (ODC) /// similar to Ornithine decarboxylase (ODC)
403	1.824	1424328_s_at	3200002M19Rik	RIKEN cDNA 3200002M19 gene
404	1.822	1423873_at	Lsm1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)
405	1.82	1435057_x_at	Praf1	polymerase (RNA) I associated factor 1
406	1.819	1448480_at	1110017C15Rik	RIKEN cDNA 1110017C15 gene
407	1.819	1458739_at	Ltbp1	Latent transforming growth factor beta binding protein 1
408	1.818	1449186_at	Bag4	BCL2-associated athanogene 4
409	1.818	1423039_a_at	Bzw1	basic leucine zipper and W2 domains 1
410	1.817	1460665_a_at	Cnot7	CCR4-NOT transcription complex, subunit 7
411	1.814	1448622_at	Lsm4	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)
412	1.813	1426784_at	Trim47	tripartite motif protein 47
413	1.813	1435797_at
414	1.811	1416552_at	Dppa5	developmental pluripotency associated 5
415	1.811	1453034_at	Zfp251	zinc finger protein 251
416	1.811	1454863_at	Ankrd11	ankyrin repeat domain 11
417	1.808	1456730_x_at	Actl6a	actin-like 6A
418	1.807	1454102_at	5031425E22Rik	RIKEN cDNA 5031425E22 gene
419	1.805	1429041_at	LOC436177	similar to Cadherin-11 precursor (Osteoblast-cadherin) (OB-cadherin) (OSF-4)
420	1.801	1424992_at	1810034M08Rik	RIKEN cDNA 1810034M08 gene
421	1.8	1442764_at	Suv420h1	suppressor of variegation 4-20 homolog 1 (Drosophila)
422	1.798	1455173_at	Gspt1	G1 to S phase transition 1
423	1.797	1451083_s_at	Aars	alanyl-tRNA synthetase
424	1.797	1458351_s_at	Klhl2	kelch-like 2, Mayven (Drosophila)
425	1.795	1415789_a_at	BC002236	cDNA sequence BC002236
426	1.793	1455029_at	Kif21a	kinesin family member 21A
427	1.792	1435534_a_at	Tomm20	translocase of outer mitochondrial membrane 20 homolog (yeast)
428	1.792	1453202_at	E330016A19Rik	RIKEN cDNA E330016A19 gene
429	1.79	1452232_at	Galnt7	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7
430	1.788	1436247_at	4632419I22Rik	RIKEN cDNA 4632419I22 gene
431	1.784	1420889_at	Hccs	holocytochrome c synthetase
432	1.784	1433670_at	Emp2	epithelial membrane protein 2
433	1.783	1417434_at	Gpd2	glycerol phosphate dehydrogenase 2, mitochondrial
434	1.782	1448106_at	1200016B17Rik	RIKEN cDNA 1200016B17 gene
435	1.781	1451566_at	BC005471	cDNA sequence BC005471
436	1.781	1419754_at	Myo5a	myosin Va
437	1.78	1417581_at	Dhodh	dihydroorotate dehydrogenase
438	1.78	1450643_s_at	Acsl1	acyl-CoA synthetase long-chain family member 1
439	1.78	1426870_at	Fbxo33	F-box only protein 33
440	1.778	1428702_at	Ddx28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
441	1.778	1428800_a_at	3000003F02Rik	RIKEN cDNA 3000003F02 gene
442	1.777	1431349_at	Hnrpab	heterogeneous nuclear ribonucleoprotein A/B
443	1.776	1425594_at	Lamc3	laminin gamma 3
444	1.776	1456597_at	C030036P15Rik	RIKEN cDNA C030036P15 gene
445	1.774	1452816_at	Mlf1ip	myeloid leukemia factor 1 interacting protein
446	1.774	1419024_at	Ptp4a1	protein tyrosine phosphatase 4a1
447	1.773	1437254_at	6230425F05Rik	RIKEN cDNA 6230425F05 gene
448	1.769	1434961_at	Asb1	ankyrin repeat and SOCS box-containing protein 1
449	1.769	1436942_at	A930035D04Rik	RIKEN cDNA A930035D04 gene
450	1.769	1431065_at	Eaf1	ELL associated factor 1
451	1.764	1435099_at	Utp14a	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)
452	1.764	1437069_at	Osbpl8	oxysterol binding protein-like 8
453	1.759	1417510_at	Vps4a	vacuolar protein sorting 4a (yeast)
454	1.753	1415784_at	Vps35	vacuolar protein sorting 35
455	1.751	1435891_x_at	2610021A01Rik	RIKEN cDNA 2610021A01 gene
456	1.749	1449972_s_at	Zfp97 /// BC018101	zinc finger protein 97 /// cDNA sequence BC018101
457	1.747	1433839_at	AI875199	expressed sequence AI875199
458	1.746	1448132_at	Slc19a1	solute carrier family 19 (sodium/hydrogen exchanger), member 1
459	1.746	1448473_at	Bub3	budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)
460	1.74	1424436_at	Gart	phosphoribosylglycinamide formyltransferase
461	1.739	1424205_at	Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
462	1.738	1452545_a_at	Itgb1	integrin beta 1 (fibronectin receptor beta)
463	1.738	1448368_at	Dctn6	dynactin 6
464	1.738	1424872_at	2310001H12Rik	RIKEN cDNA 2310001H12 gene
465	1.738	1434232_a_at
466	1.737	1424591_at	5830433M19Rik	RIKEN cDNA 5830433M19 gene
467	1.736	1424057_at	Gdap2	ganglioside-induced differentiation-associated-protein 2
468	1.736	1453745_at	2700038G22Rik	RIKEN cDNA 2700038G22 gene
469	1.735	1437983_at
470	1.733	1443165_at	Mrps31	mitochondrial ribosomal protein S31
471	1.732	1459842_x_at	Nubp2	nucleotide binding protein 2
472	1.731	1426918_at	Itgb1	integrin beta 1 (fibronectin receptor beta)
473	1.731	1442793_s_at	Tbrg4	transforming growth factor beta regulated gene 4
474	1.731	1460671_at	Gpx1	glutathione peroxidase 1
475	1.731	1435883_at	AW413431	expressed sequence AW413431
476	1.727	1436820_at	Kctd11	potassium channel tetramerisation domain containing 11
477	1.726	1428278_at	Zdhhc24	zinc finger, DHHC domain containing 24
478	1.726	1429375_at	Anapc10	anaphase promoting complex subunit 10
479	1.724	1433858_at	Lrrc28	leucine rich repeat containing 28
480	1.724	1436737_a_at	Sorbs1	sorbin and SH3 domain containing 1
481	1.723	1421834_at	Pip5k1a	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha
482	1.722	1415864_at	Bpgm	2,3-bisphosphoglycerate mutase
483	1.721	1432374_a_at	D5Wsu178e	DNA segment, Chr 5, Wayne State University 178, expressed
484	1.72	1429376_s_at	Anapc10	anaphase promoting complex subunit 10
485	1.719	1448069_at	Tm4sf1	transmembrane 4 superfamily member 1
486	1.719	1454750_a_at	BC057552	cDNA sequence BC057552
487	1.717	1433486_at	Clcn3	chloride channel 3
488	1.716	1415865_s_at	Bpgm	2,3-bisphosphoglycerate mutase
489	1.715	1425517_s_at	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
490	1.715	1439912_at	9430098F02Rik	RIKEN cDNA 9430098F02 gene
491	1.713	1435303_at	Taf4b	TAF4B RNA polymerase II, TATA box binding protein (TBP)-associated factor
492	1.71	1450380_at	Epdr2	ependymin related protein 2 (zebrafish)
493	1.706	1427003_at	Ppp2r5c	protein phosphatase 2, regulatory subunit B (B56), gamma isoform
494	1.704	1429618_at	Cyld	cylindromatosis (turban tumor syndrome)
495	1.702	1448521_at	Brd7	bromodomain containing 7
496	1.7	1418336_at	Afg3l1	AFG3(ATPase family gene 3)-like 1 (yeast)
497	1.7	1421815_at	Epdr2	ependymin related protein 2 (zebrafish)
498	1.698	1454663_at	Eif5	eukaryotic translation initiation factor 5
499	1.698	1431686_a_at	Gmfb	glia maturation factor, beta
500	1.698	1423337_at	Orc4l	origin recognition complex, subunit 4-like (S. cerevisiae)
501	1.697	1455599_at	AI850995	expressed sequence AI850995
502	1.696	1451652_a_at	5033428A16Rik	RIKEN cDNA 5033428A16 gene
503	1.695	1428471_at	Sorbs1	sorbin and SH3 domain containing 1
504	1.695	1426415_a_at	Trim25	tripartite motif protein 25
505	1.694	1419181_at	Zfp326	zinc finger protein 326
506	1.692	1429601_x_at	1110019K23Rik	RIKEN cDNA 1110019K23 gene
507	1.692	1438922_x_at	Slc25a5 /// LOC433326	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 /// similar to adenine nucleotide translocase
508	1.692	1430778_a_at	Nubp1	nucleotide binding protein 1
509	1.692	1421147_at	Terf2	telomeric repeat binding factor 2
510	1.691	1442289_at	4930553M18Rik	RIKEN cDNA 4930553M18 gene
511	1.69	1417566_at	Abhd5	abhydrolase domain containing 5
512	1.69	1429320_at	4921511I16Rik	RIKEN cDNA 4921511I16 gene
513	1.688	1452813_a_at	5033428A16Rik	RIKEN cDNA 5033428A16 gene
514	1.687	1416790_a_at	Tdg /// LOC434200 /// LOC545124	thymine DNA glycosylase /// similar to Thymine DNA glycosylase /// similar to Thymine DNA glycosylase
515	1.684	1423882_at	Rfwd3	ring finger and WD repeat domain 3
516	1.683	1439553_s_at	Nutf2	nuclear transport factor 2
517	1.683	1455978_a_at	Matn2	matrilin 2
518	1.68	1433555_at	Eaf1	ELL associated factor 1
519	1.68	1417060_at	Ppp1r11	protein phosphatase 1, regulatory (inhibitor) subunit 11
520	1.68	1454822_x_at	Apcdd1	adenomatosis polyposis coli down-regulated 1
521	1.679	1423080_at	Tomm20	translocase of outer mitochondrial membrane 20 homolog (yeast)
522	1.677	1423545_a_at	Zfp207	zinc finger protein 207
523	1.674	1450405_at	Mrpl19	mitochondrial ribosomal protein L19
524	1.674	1424244_at	BC016198	cDNA sequence BC016198
525	1.672	1447720_x_at	Prkaca	Protein kinase, cAMP dependent, catalytic, alpha
526	1.671	1423905_at	Pvr	poliovirus receptor
527	1.671	1432245_s_at	2210019E14Rik	RIKEN cDNA 2210019E14 gene
528	1.667	1421261_at	Lipg	lipase, endothelial
529	1.667	1434817_s_at	4930535B03Rik	RIKEN cDNA 4930535B03 gene
530	1.666	1436156_at	Ccar1	cell division cycle and apoptosis regulator 1
531	1.666	1428534_at	2310073E15Rik	RIKEN cDNA 2310073E15 gene
532	1.665	1426716_at	Tdrd7	tudor domain containing 7
533	1.664	1436558_at	4930553M18Rik	RIKEN cDNA 4930553M18 gene
534	1.664	1418731_at	Rnf12	ring finger protein 12
535	1.663	1453102_at	Flrt3	fibronectin leucine rich transmembrane protein 3
536	1.663	1429461_at	2810417D08Rik	RIKEN cDNA 2810417D08 gene
537	1.662	1428996_at	Gm1705	gene model 1705, (NCBI)
538	1.662	1418563_at	1200009K13Rik	RIKEN cDNA 1200009K13 gene
539	1.662	1455268_at	Zcsl2	zinc finger, CSL domain containing 2
540	1.66	1429484_at	1110002L01Rik	RIKEN cDNA 1110002L01 gene
541	1.659	1420380_at	Ccl2	chemokine (C-C motif) ligand 2
542	1.658	1444076_at	Zfp81	zinc finger protein 81
543	1.657	1451056_at	Psmd7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7
544	1.655	1438366_x_at	Clcn3	chloride channel 3
545	1.655	1415985_at	Sf3b3	splicing factor 3b, subunit 3
546	1.654	1457292_at	4930553M18Rik	RIKEN cDNA 4930553M18 gene
547	1.653	1454354_at	8030476L19Rik	RIKEN cDNA 8030476L19 gene
548	1.653	1422599_s_at	Zfp143	zinc finger protein 143
549	1.652	1418591_at	Dnaja4	DnaJ (Hsp40) homolog, subfamily A, member 4
550	1.647	1460624_at	6330564D18Rik	RIKEN cDNA 6330564D18 gene
551	1.646	1436426_at	5730509K17Rik	RIKEN cDNA 5730509K17 gene
552	1.646	1428874_at	1110019N10Rik	RIKEN cDNA 1110019N10 gene
553	1.644	1442989_at	AI875199	Expressed sequence AI875199
554	1.644	1454795_at	Cobll1	Cobl-like 1
555	1.643	1418963_at	2310047O13Rik	RIKEN cDNA 2310047O13 gene
556	1.641	1416241_at	Sec13l1	SEC13-like 1 (S. cerevisiae)
557	1.641	1425516_at	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
558	1.64	1448943_at	Nrp1	neuropilin 1
559	1.639	1429561_at	Brf2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like
560	1.639	1451018_at	Leprotl1	leptin receptor overlapping transcript-like 1
561	1.639	1429291_at	Psmd1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1
562	1.638	1423890_x_at	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide
563	1.636	1451262_a_at		JTV1 gene
564	1.636	1427269_at	Sfrs11	splicing factor, arginine/serine-rich 11
565	1.634	1451805_at	Phip	pleckstrin homology domain interacting protein
566	1.632	1437711_x_at	Odc1 /// LOC545783 /// LOC546355	ornithine decarboxylase, structural 1 /// similar to Ornithine decarboxylase (ODC) /// similar to Ornithine decarboxylase (ODC)
567	1.631	1435637_at	D8Wsu49e	DNA segment, Chr 8, Wayne State University 49, expressed
568	1.631	1435715_x_at	Tdg /// LOC434200 /// LOC545124	thymine DNA glycosylase /// similar to Thymine DNA glycosylase /// similar to Thymine DNA glycosylase
569	1.631	1437460_x_at	Rin1	Ras and Rab interactor 1
570	1.629	1448244_at	Lypla1	lysophospholipase 1
571	1.629	1424810_at	4930485D02Rik	RIKEN cDNA 4930485D02 gene
572	1.629	1448999_at	Trappc5	trafficking protein particle complex 5
573	1.629	1416376_at	1810014L12Rik	RIKEN cDNA 1810014L12 gene
574	1.623	1437422_at	Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
575	1.621	1418246_at	Rbm9	RNA binding motif protein 9
576	1.62	1417565_at	Abhd5	abhydrolase domain containing 5
577	1.619	1428930_at	6330540D07Rik	RIKEN cDNA 6330540D07 gene
578	1.618	1426609_at	2810028N01Rik	RIKEN cDNA 2810028N01 gene
579	1.618	1438015_at	BC068171	cDNA sequence BC068171
580	1.618	1420849_at	Crnkl1	Crn, crooked neck-like 1 (Drosophila)
581	1.618	1426874_at	BC022641	cDNA sequence BC022641
582	1.616	1416234_at	AA959742	expressed sequence AA959742
583	1.613	1416341_at	Polr2c	polymerase (RNA) II (DNA directed) polypeptide C
584	1.613	1425273_s_at	Emp2	epithelial membrane protein 2
585	1.612	1423552_at	Leprotl1	leptin receptor overlapping transcript-like 1
586	1.612	1454171_x_at	9530053H05Rik	RIKEN cDNA 9530053H05 gene
587	1.611	1420009_at	BC037006	cDNA sequence BC037006
588	1.61	1419205_x_at	Gpatc4	G patch domain containing 4
589	1.609	1419287_at		HSPC171 protein
590	1.607	1417024_at	Hars	histidyl-tRNA synthetase
591	1.607	1428154_s_at	Ppapdc1	phosphatidic acid phosphatase type 2 domain containing 1
592	1.606	1435025_at	4930415J21Rik	RIKEN cDNA 4930415J21 gene
593	1.606	1418274_at	Nutf2	nuclear transport factor 2
594	1.606	1427342_at	5330408N05Rik	RIKEN cDNA 5330408N05 gene
595	1.606	1433674_a_at	Rnu22	RNA, U22 small nucleolar
596	1.605	1426821_at	Cog8	component of oligomeric golgi complex 8
597	1.605	1460551_at	Ran	RAN, member RAS oncogene family
598	1.604	1419115_at	5430428G01Rik	RIKEN cDNA 5430428G01 gene
599	1.603	1433663_s_at	LOC433702	nuclear cap binding protein subunit 1, 80kDa
600	1.602	1431939_a_at	Mina	myc induced nuclear antigen
601	1.601	1434660_at	Alkbh	alkB, alkylation repair homolog (E. coli)
602	1.6	1455081_at	Txnl4b	thioredoxin-like 4B
603	1.599	1448836_s_at	AI838661	expressed sequence AI838661
604	1.596	1448462_at	Tdg	thymine DNA glycosylase
605	1.596	1429155_at	4933411K20Rik	RIKEN cDNA 4933411K20 gene
606	1.595	1424357_at	Tmem45b	transmembrane protein 45b
607	1.595	1420704_at	Csf2ra	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)
608	1.595	1420856_a_at	Lancl2	LanC (bacterial lantibiotic synthetase component C)-like 2
609	1.595	1421107_at	Stk4	serine/threonine kinase 4
610	1.593	1428339_at	Cpsf5	cleavage and polyadenylation specific factor 5
611	1.592	1455644_at	3100002B05Rik	RIKEN cDNA 3100002B05 gene
612	1.592	1417779_at	2310079N02Rik	RIKEN cDNA 2310079N02 gene
613	1.592	1452086_at	2610027O18Rik	RIKEN cDNA 2610027O18 gene
614	1.591	1452182_at	Galnt2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2
615	1.591	1415913_at	Rps13	ribosomal protein S13
616	1.591	1433660_at	D2Ertd435e	DNA segment, Chr 2, ERATO Doi 435, expressed
617	1.589	1423138_at	Wdr4	WD repeat domain 4
618	1.589	1434011_a_at	1110055N21Rik	RIKEN cDNA 1110055N21 gene
619	1.589	1429508_at	2310057M21Rik	RIKEN cDNA 2310057M21 gene
620	1.588	1422803_at	Fstl3	follistatin-like 3
621	1.588	1452362_at	Trim16	tripartite motif protein 16
622	1.587	1417406_at	Sertad1	SERTA domain containing 1
623	1.587	1417069_a_at	Gmfb	glia maturation factor, beta
624	1.586	1420857_at	Lancl2	LanC (bacterial lantibiotic synthetase component C)-like 2
625	1.585	1455259_a_at	D530033C11Rik	RIKEN cDNA D530033C11 gene
626	1.585	1460702_at	1810015M01Rik	RIKEN cDNA 1810015M01 gene
627	1.584	1416177_at	Rbmxrt	RNA binding motif protein, X chromosome retrogene
628	1.582	1433631_at	Eif5	eukaryotic translation initiation factor 5
629	1.582	1436208_at	Asb1	ankyrin repeat and SOCS box-containing protein 1
630	1.581	1452252_at	3830408P06Rik	RIKEN cDNA 3830408P06 gene
631	1.58	1451164_a_at	Mrps18b	mitochondrial ribosomal protein S18B
632	1.579	1433752_s_at	D030016E14Rik	RIKEN cDNA D030016E14 gene
633	1.579	1434845_at		Transcribed locus
634	1.578	1427771_x_at	Itgb1	integrin beta 1 (fibronectin receptor beta)
635	1.575	1421914_s_at	Mrpl19	mitochondrial ribosomal protein L19
636	1.575	1454957_at	1700021I09Rik	RIKEN cDNA 1700021I09 gene
637	1.574	1448580_at	Glg1	golgi apparatus protein 1
638	1.574	1459716_at	AI835735	expressed sequence AI835735
639	1.572	1423904_a_at	Pvr	poliovirus receptor
640	1.57	1456948_at	Ap4e1	adaptor-related protein complex AP-4, epsilon 1
641	1.569	1456844_at	Camk2d	calcium/calmodulin-dependent protein kinase II, delta
642	1.568	1460615_at	Nt5c2l1	5-nucleotidase, cytosolic II-like 1
643	1.567	1456390_at	Ppp2ca	protein phosphatase 2a, catalytic subunit, alpha isoform
644	1.566	1418637_at	Etv3	ets variant gene 3
645	1.565	1433856_at	AW555814	expressed sequence AW555814
646	1.565	1428663_at	5133401H06Rik	RIKEN cDNA 5133401H06 gene
647	1.564	1425982_a_at	Wrn	Werner syndrome homolog (human)
648	1.564	1451042_a_at	Mina	myc induced nuclear antigen
649	1.561	1419211_s_at	4933424B01Rik	RIKEN cDNA 4933424B01 gene
650	1.557	1428331_at	2210016F16Rik	RIKEN cDNA 2210016F16 gene
651	1.554	1443800_at	Nif3l1	Ngg1 interacting factor 3-like 1 (S. pombe)
652	1.554	1449847_a_at	Col4a3bp	procollagen, type IV, alpha 3 (Goodpasture antigen) binding protein
653	1.552	1454679_at	D8Ertd457e	DNA segment, Chr 8, ERATO Doi 457, expressed
654	1.552	1430614_at	4632415K11Rik	RIKEN cDNA 4632415K11 gene
655	1.551	1418700_at	Lias	lipoic acid synthetase
656	1.551	1426133_a_at	1500032H18Rik	RIKEN cDNA 1500032H18 gene
657	1.548	1435001_at	Plaa	phospholipase A2, activating protein
658	1.547	1419661_at	1600012F09Rik	RIKEN cDNA 1600012F09 gene
659	1.546	1435139_at	Narg1	NMDA receptor-regulated gene 1
660	1.545	1452430_s_at	Sfrs1	splicing factor, arginine/serine-rich 1 (ASF/SF2)
661	1.544	1429073_at	2210015D19Rik	RIKEN cDNA 2210015D19 gene
662	1.542	1451077_at	Rpl5 /// LOC545265 /// LOC545304 /// LOC545478 /// LOC545858	ribosomal protein L5 /// similar to 60S ribosomal protein L5 /// similar to 60S ribosomal protein L5 /// similar to 60S ribosomal protein L5 /// similar to 60S ribosomal protein L5
663	1.541	1455357_x_at	Tomm20	translocase of outer mitochondrial membrane 20 homolog (yeast)
664	1.54	1416448_at	Itpa	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)
665	1.539	1451738_at	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
666	1.539	1437207_at	Rnf170	ring finger protein 170
667	1.539	1452254_at	Mtmr9	myotubularin related protein 9
668	1.538	1437354_at
669	1.537	1436020_at	D8Ertd457e	DNA segment, Chr 8, ERATO Doi 457, expressed
670	1.535	1421089_a_at	2610028A01Rik	RIKEN cDNA 2610028A01 gene
671	1.535	1420890_at	Hccs	holocytochrome c synthetase
672	1.535	1449981_a_at	Nat2	N-acetyltransferase 2 (arylamine N-acetyltransferase)
673	1.533	1424151_at		JTV1 gene
674	1.533	1425561_at	Trnt1	tRNA nucleotidyl transferase, CCA-adding, 1
675	1.532	1455020_at	Snx25	sorting nexin 25
676	1.531	1429683_at	5830472M02Rik	RIKEN cDNA 5830472M02 gene
677	1.53	1421054_at	Xpo4	exportin 4
678	1.53	1415949_at	Cpe	carboxypeptidase E
679	1.528	1448819_at	Eif2s2	eukaryotic translation initiation factor 2, subunit 2 (beta)
680	1.527	1427255_s_at	Zfp445	zinc finger protein 445
681	1.526	1434949_at	Armc8	armadillo repeat containing 8
682	1.526	1436241_s_at	Hira	histone cell cycle regulation defective homolog A (S. cerevisiae)
683	1.526	1434113_a_at	Xpmc2h	XPMC2 prevents mitotic catastrophe 2 homolog (Xenopus laevis)
684	1.524	1425820_x_at	Gpatc4	G patch domain containing 4
685	1.524	1434956_at
686	1.522	1416019_at	Dr1	down-regulator of transcription 1
687	1.521	1415672_at	Golga7	golgi autoantigen, golgin subfamily a, 7
688	1.521	1423617_at	2610019N19Rik /// Cog8	RIKEN cDNA 2610019N19 gene /// component of oligomeric golgi complex 8
689	1.52	1429383_at	Csnk1g3	casein kinase 1, gamma 3
690	1.518	1428468_at	3110043O21Rik	RIKEN cDNA 3110043O21 gene
691	1.515	1460236_at	Klk10	kallikrein 10
692	1.513	1420139_s_at	Hrb2	HIV-1 Rev binding protein 2
693	1.512	1450163_a_at	Wrn	Werner syndrome homolog (human)
694	1.51	1433766_at	C330023M02Rik	RIKEN cDNA C330023M02 gene
695	1.509	1424207_at	Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
696	1.507	1428624_at	2810482I07Rik	RIKEN cDNA 2810482I07 gene
697	1.504	1418721_at	Cops7b	COP9 (constitutive photomorphogenic) homolog, subunit 7b (Arabidopsis thaliana)
698	1.504	1423241_a_at	Tfdp1	transcription factor Dp 1
699	1.5	1426920_x_at	Itgb1	integrin beta 1 (fibronectin receptor beta)
700	1.5	1451888_a_at	Odz4	odd Oz/ten-m homolog 4 (Drosophila)
701	1.499	1428565_at	1300004G08Rik /// LOC545242	RIKEN cDNA 1300004G08 gene /// similar to hypothetical protein LOC65259
702	1.499	1460631_at	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
703	1.499	1433482_a_at	Fubp1	far upstream element (FUSE) binding protein 1
704	1.498	1428294_at	Zfp259	zinc finger protein 259
705	1.497	1457059_at	B830013J05Rik	RIKEN cDNA B830013J05 gene
706	1.496	1442116_at	Gm1012	gene model 1012, (NCBI)
707	1.495	1454112_a_at	2410007P03Rik	RIKEN cDNA 2410007P03 gene
708	1.493	1417684_at	Thumpd3	THUMP domain containing 3
709	1.491	1454633_at	Etnk1	ethanolamine kinase 1
710	1.487	1426646_at	9130011J15Rik	RIKEN cDNA 9130011J15 gene
711	1.481	1436955_at	Tssc1	tumor suppressing subtransferable candidate 1
712	1.478	1426290_at	1500031M22Rik	RIKEN cDNA 1500031M22 gene
713	1.478	1424765_at	Eps15-rs	epidermal growth factor receptor pathway substrate 15, related sequence
714	1.477	1426995_a_at	Gfer	growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)
715	1.477	1453949_s_at	Lypla1	lysophospholipase 1
716	1.477	1441235_at	Nup133	nucleoporin 133
717	1.476	1455076_a_at	4933424B01Rik	RIKEN cDNA 4933424B01 gene
718	1.475	1438520_at	Slc25a36	solute carrier family 25, member 36
719	1.474	1437832_x_at	Wars	tryptophanyl-tRNA synthetase
720	1.473	1431423_a_at	Med8	mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)
721	1.473	1460716_a_at	Cbfb	core binding factor beta
722	1.472	1424117_at	BC056474	cDNA sequence BC056474
723	1.472	1428362_at	E130105L11Rik	RIKEN cDNA E130105L11 gene
724	1.469	1441793_at	Ppp1r11	Protein phosphatase 1, regulatory (inhibitor) subunit 11
725	1.463	1451638_s_at	Armc1	armadillo repeat containing 1
726	1.461	1429056_at	Narg1l	NMDA receptor regulated 1-like
727	1.45	1437080_s_at	Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11
728	1.449	1417873_at	Pwp1	PWP1 homolog (S. cerevisiae)
729	1.448	1424206_at	Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
730	1.447	1425404_a_at	2310014H19Rik	RIKEN cDNA 2310014H19 gene
731	1.446	1446957_s_at	BC004022	cDNA sequence BC004022
732	1.434	1433268_at	4930553M12Rik	RIKEN cDNA 4930553M12 gene
