ProbeID	CLID	NAME
AGI_HUM1_OLIGO_A_23_P143748	Hs.82563	KIAA0153 protein
AGI_HUM1_OLIGO_A_23_P257296	Hs.82961	trefoil factor 3 (intestinal)
AGI_HUM1_OLIGO_A_23_P1691	Hs.83169	matrix metalloproteinase 1 (interstitial collagenase)
AGI_HUM1_OLIGO_A_23_P89780	Hs.83450	laminin, alpha 3
AGI_HUM1_OLIGO_A_23_P202750	Hs.8360	PTD012 protein
AGI_HUM1_OLIGO_A_23_P15653	Hs.8375	TNF receptor-associated factor 4
AGI_HUM1_OLIGO_A_23_P71727	Hs.83758	CDC28 protein kinase regulatory subunit 2
AGI_HUM1_OLIGO_A_23_P48669	Hs.84113	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
AGI_HUM1_OLIGO_A_23_P66347	Hs.85266	integrin, beta 4
AGI_HUM1_OLIGO_A_23_P86917	Hs.86131	Fas (TNFRSF6)-associated via death domain
AGI_HUM1_OLIGO_A_23_P18684	Hs.86368	calmegin
AGI_HUM1_OLIGO_A_23_P163989	Hs.86859	growth factor receptor-bound protein 7
AGI_HUM1_OLIGO_A_23_P107644	Hs.86948	small nuclear ribonucleoprotein D1 polypeptide 16kDa
AGI_HUM1_OLIGO_A_23_P50096	Hs.87491	thymidylate synthetase
AGI_HUM1_OLIGO_A_23_P39814	Hs.89421	CBF1 interacting corepressor
AGI_HUM1_OLIGO_A_23_P109185	Hs.89584	insulinoma-associated 1
AGI_HUM1_OLIGO_A_23_P137856	Hs.89603	mucin 1, transmembrane
AGI_HUM1_OLIGO_A_23_P17392	Hs.90073	CSE1 chromosome segregation 1-like (yeast)
AGI_HUM1_OLIGO_A_23_P64129	Hs.90753	HIV-1 Tat interactive protein 2, 30kDa
AGI_HUM1_OLIGO_A_23_P207507	Hs.90786	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
AGI_HUM1_OLIGO_A_23_P159390	Hs.91417	topoisomerase (DNA) II binding protein
AGI_HUM1_OLIGO_A_23_P81121	Hs.91728	polymyositis/scleroderma autoantigen 1, 75kDa
AGI_HUM1_OLIGO_A_23_P407628	Hs.93231	MYST histone acetyltransferase (monocytic leukemia) 3
AGI_HUM1_OLIGO_A_23_P42800	Hs.93659	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)
AGI_HUM1_OLIGO_A_23_P73801	Hs.95243	transcription elongation factor A (SII)-like 1
AGI_HUM1_OLIGO_A_23_P10182	Hs.9795	acyl-Coenzyme A oxidase 2, branched chain
AGI_HUM1_OLIGO_A_23_P66682	Hs.98428	homeo box B6
AGI_HUM1_OLIGO_A_23_P71241	Hs.9950	Sec61 gamma
AGI_HUM1_OLIGO_A_23_P78888	Hs.99853	fibrillarin
AGI_HUM1_OLIGO_A_23_P118815	Hs.1578	baculoviral IAP repeat-containing 5 (survivin)
AGI_HUM1_OLIGO_A_23_P12572	Hs.9216	caspase 7, apoptosis-related cysteine protease
AGI_HUM1_OLIGO_A_23_P7732	Hs.128073	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)
AGI_HUM1_OLIGO_A_23_P153745	Hs.14623	interferon, gamma-inducible protein 30
AGI_HUM1_OLIGO_A_23_P19543	Hs.369358	SFRS protein kinase 1
AGI_HUM1_OLIGO_A_23_P213237	Hs.512793	hypothetical protein FLJ14431
AGI_HUM1_OLIGO_A_23_P158143	Hs.352962	HIV-1 Rev binding protein
AGI_HUM1_OLIGO_A_23_P104116	Hs.10283	RNA binding motif protein 8A
AGI_HUM1_OLIGO_A_23_P161399	Hs.118630	MAX interacting protein 1
AGI_HUM1_OLIGO_A_23_P56630	Hs.21486	signal transducer and activator of transcription 1, 91kDa
AGI_HUM1_OLIGO_A_23_P138985	Hs.95327	CD3D antigen, delta polypeptide (TiT3 complex)
AGI_HUM1_OLIGO_A_23_P45917	Hs.374378	CDC28 protein kinase regulatory subunit 1B
AGI_HUM1_OLIGO_A_23_P103328	Hs.27860	prostaglandin E receptor 3 (subtype EP3)
