Gene symbol	Gene name	Clone ID	Fold change	Gene Specific Factor
RAP1B	RAP1B, member of RAS oncogene family	321189	1,60	3x3.5Gy, 2hrs
RARB	Retinoic acid receptor, beta	755663	1,82	3x3.5Gy, 2hrs
RECK	Reversion-inducing-cysteine-rich protein with kazal motifs	133096	1,73	3x3.5Gy, 2hrs
RHOBTB3	Rho-related BTB domain containing 3	246377	0,57	3x3.5Gy, 2hrs
RIS1	Ras-induced senescence 1	502664	0,48	3x3.5Gy, 2hrs
RPL36	Ribosomal protein L36	66420	0,35	3x3.5Gy, 2hrs
RUNX1	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	773215	1,79	3x3.5Gy, 2hrs
RUNX1T1	Runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	450948	1,69	3x3.5Gy, 2hrs
SART2	Squamous cell carcinoma antigen recognized by T cells 2	487082	1,59	3x3.5Gy, 2hrs
SASH1	SAM and SH3 domain containing 1	264938	1,58	3x3.5Gy, 2hrs
SEC31L1	SEC31-like 1 (S. cerevisiae)	62112	1,53	3x3.5Gy, 2hrs
SEMA3A	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	24061	1,84	3x3.5Gy, 2hrs
SERPINH1	Serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	142788	1,64	3x3.5Gy, 2hrs
SHC3	SHC (Src homology 2 domain containing) transforming protein 3	357220	1,96	3x3.5Gy, 2hrs
SIRPA	Signal-regulatory protein alpha	731118	1,68	3x3.5Gy, 2hrs
SLC1A3	Solute carrier family 1 (glial high affinity glutamate transporter), member 3	813678	3,80	3x3.5Gy, 2hrs
SLC22A9	Solute carrier family 22 (organic anion/cation transporter), member 9	292362	1,62	3x3.5Gy, 2hrs
SLC27A1	Solute carrier family 27 (fatty acid transporter), member 1	283124	1,60	3x3.5Gy, 2hrs
SLC43A2	Solute carrier family 43, member 2	135654	1,66	3x3.5Gy, 2hrs
SLC6A1	Solute carrier family 6 (neurotransmitter transporter, GABA), member 1	206217	1,71	3x3.5Gy, 2hrs
SNAG1	Sorting nexin associated golgi protein 1	825356	1,67	3x3.5Gy, 2hrs
SNX27	Sorting nexin family member 27	258279	0,67	3x3.5Gy, 2hrs
SOD2	Superoxide dismutase 2, mitochondrial	840708	2,64	3x3.5Gy, 2hrs
SOD3	Superoxide dismutase 3, extracellular	795309	2,32	3x3.5Gy, 2hrs
SPRY4	Sprouty homolog 4 (Drosophila)	773157	0,39	3x3.5Gy, 2hrs
STARD5	START domain containing 5	68988	1,61	3x3.5Gy, 2hrs
STAT5B	Signal transducer and activator of transcription 5B	132857	1,99	3x3.5Gy, 2hrs
STAT6	Signal transducer and activator of transcription 6, interleukin-4 induced	85541	1,60	3x3.5Gy, 2hrs
STEAP	Six transmembrane epithelial antigen of the prostate 1	375682	1,94	3x3.5Gy, 2hrs
STEAP2	Six transmembrane epithelial antigen of the prostate 2	244796	2,18	3x3.5Gy, 2hrs
SWAP70	SWAP-70 protein	268700	2,16	3x3.5Gy, 2hrs
SYT11	Synaptotagmin XI	780937	1,73	3x3.5Gy, 2hrs
TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)	366848	1,61	3x3.5Gy, 2hrs
TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)	752652	1,58	3x3.5Gy, 2hrs
TCF8	Transcription factor 8 (represses interleukin 2 expression)	178463	1,77	3x3.5Gy, 2hrs
TES	Testis derived transcript (3 LIM domains)	72016	1,62	3x3.5Gy, 2hrs
TESK1	Testis-specific kinase 1	795827	1,57	3x3.5Gy, 2hrs
TM4SF10	Transmembrane protein 47	283398	2,73	3x3.5Gy, 2hrs
TM4SF10	Transmembrane protein 47	324307	1,85	3x3.5Gy, 2hrs
TMSB10	Thymosin, beta 10	840788	2,60	3x3.5Gy, 2hrs
TP53INP1	Tumor protein p53 inducible nuclear protein 1	814528	1,54	3x3.5Gy, 2hrs
TRPA1	Transient receptor potential cation channel, subfamily A, member 1	291394	1,84	3x3.5Gy, 2hrs
TYRO3	TYRO3 protein tyrosine kinase	143208	1,64	3x3.5Gy, 2hrs
UGCG	UDP-glucose ceramide glucosyltransferase	812196	1,75	3x3.5Gy, 2hrs
UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)	950568	1,52	3x3.5Gy, 2hrs
WISP2	WNT1 inducible signaling pathway protein 2	2042614	2,79	3x3.5Gy, 2hrs
XPNPEP2	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound	376080	1,73	3x3.5Gy, 2hrs
ZBTB10	Zinc finger and BTB domain containing 10	134719	1,60	3x3.5Gy, 2hrs
ZDHHC5	zinc finger, DHHC domain containing 5 or	785744	0,38	3x3.5Gy, 2hrs
MFGE8	milk fat globule-EGF factor 8 protein			3x3.5Gy, 2hrs
