Rank	Fold difference of geom means (Transfected/Control cell lines)	Probe set	Gene symbol	Description
396	0.453	1455962_at	Hhat	hedgehog acyltransferase
397	0.454	1420731_a_at	Csrp2	cysteine and glycine-rich protein 2
398	0.454	1448908_at	Ppap2b	phosphatidic acid phosphatase type 2B
399	0.454	1433942_at	Myo6	myosin VI
400	0.454	1433672_at	4732479N06Rik	RIKEN cDNA 4732479N06 gene
401	0.454	1425476_at	Col4a5	procollagen, type IV, alpha 5
402	0.454	1448710_at	Cxcr4	chemokine (C-X-C motif) receptor 4
403	0.455	1419595_a_at	Ggh	gamma-glutamyl hydrolase
404	0.455	1416584_at	Man2b2	mannosidase 2, alpha B2
405	0.455	1449047_at	1600020H07Rik	RIKEN cDNA 1600020H07 gene
406	0.456	1451126_at	Maf1	MAF1 homolog (S. cerevisiae)
407	0.456	1448905_at	Nme3	expressed in non-metastatic cells 3
408	0.456	1422473_at	Pde4b	phosphodiesterase 4B, cAMP specific
409	0.457	1435348_at	D930009K15Rik	RIKEN cDNA D930009K15 gene
410	0.457	1448951_at	Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b
411	0.457	1428342_at	Rcor3	REST corepressor 3
412	0.458	1418890_a_at	Rab3d	RAB3D, member RAS oncogene family
413	0.458	1452106_at	Npnt	nephronectin
414	0.459	1435763_at	Tbc1d16	TBC1 domain family, member 16
415	0.459	1419283_s_at	Tns1	tensin 1
416	0.459	1433593_at	Ypel5	yippee-like 5 (Drosophila)
417	0.46	1416831_at	Neu1	neuraminidase 1
418	0.46	1434301_at	D330050I23Rik	RIKEN cDNA D330050I23 gene
419	0.461	1420375_at	Kif3a	kinesin family member 3A
420	0.461	1452349_x_at	Ifi205 /// Mnda	interferon activated gene 205 /// myeloid cell nuclear differentiation antigen
421	0.461	1424503_at	Rab22a	RAB22A, member RAS oncogene family
422	0.462	1449147_at	Chst1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
423	0.464	1433668_at	Pnrc1	proline-rich nuclear receptor coactivator 1
424	0.464	1438678_at	1500011K16Rik	RIKEN cDNA 1500011K16 gene
425	0.464	1423549_at	Slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
426	0.465	1424414_at	Ogfrl1	opioid growth factor receptor-like 1
427	0.465	1436795_at	9630058J23Rik	RIKEN cDNA 9630058J23 gene
428	0.466	1450839_at	D0H4S114	DNA segment, human D4S114
429	0.466	1450378_at	Tapbp	TAP binding protein
430	0.467	1419365_at	Pex11a	peroxisomal biogenesis factor 11a
431	0.467	1432073_at	1700113I22Rik	RIKEN cDNA 1700113I22 gene
432	0.467	1424951_at	Baiap2l1	BAI1-associated protein 2-like 1
433	0.468	1460307_at	Akt3	thymoma viral proto-oncogene 3
434	0.468	1424412_at	Ogfrl1	opioid growth factor receptor-like 1
435	0.468	1435479_at
436	0.469	1428270_at	Glt8d1	glycosyltransferase 8 domain containing 1
437	0.469	1421402_at	Mta3	metastasis associated 3
438	0.469	1438315_x_at	Akr7a5	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)
439	0.469	1448383_at	Mmp14	matrix metalloproteinase 14 (membrane-inserted)
440	0.47	1417298_at	Ebpl	emopamil binding protein-like
441	0.47	1434223_at	1810007P19Rik	RIKEN cDNA 1810007P19 gene
442	0.471	1439107_a_at	Mll5	myeloid/lymphoid or mixed-lineage leukemia 5
443	0.471	1417133_at	Pmp22	peripheral myelin protein
444	0.471	1417101_at	Hspa2	heat shock protein 2
445	0.472	1451526_at	Arhgap12	Rho GTPase activating protein 12
446	0.473	1428619_at	2310005N03Rik	RIKEN cDNA 2310005N03 gene
447	0.473	1440984_at	5830435C13Rik	RIKEN cDNA 5830435C13 gene
448	0.473	1435589_at	AI842788	expressed sequence AI842788
449	0.473	1448330_at	Gstm1	glutathione S-transferase, mu 1
450	0.474	1418448_at	Rras	Harvey rat sarcoma oncogene, subgroup R
451	0.474	1417987_at	Btd	biotinidase
452	0.474	1435449_at	Bcl2l11	BCL2-like 11 (apoptosis facilitator)
453	0.475	1426992_at	Xpr1	xenotropic and polytropic retrovirus receptor 1
454	0.475	1428467_at	Tardbp	TAR DNA binding protein
455	0.475	1434133_s_at
456	0.475	1426383_at	Cry2	cryptochrome 2 (photolyase-like)
457	0.476	1453173_at	2310005E10Rik	RIKEN cDNA 2310005E10 gene
458	0.476	1428650_at	Tns1	tensin 1
459	0.476	1416798_a_at	Nme4	expressed in non-metastatic cells 4, protein
460	0.477	1434567_at	4732496O08Rik	RIKEN cDNA 4732496O08 gene
461	0.477	1422078_at	Akt3	thymoma viral proto-oncogene 3
462	0.477	1418573_a_at	Raly	hnRNP-associated with lethal yellow
463	0.478	1435879_at	Akt3	thymoma viral proto-oncogene 3
464	0.478	1416808_at	Nid1	nidogen 1
465	0.48	1452882_at	Pgrmc2	progesterone receptor membrane component 2
466	0.48	1448407_at	4632428N05Rik	RIKEN cDNA 4632428N05 gene
467	0.48	1451326_at	1810013B01Rik	RIKEN cDNA 1810013B01 gene
468	0.481	1416418_at	Gabarapl1	gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1
469	0.481	1432499_a_at	Ube4b	ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)
470	0.482	1415972_at	Marcks	myristoylated alanine rich protein kinase C substrate
471	0.482	1428852_at	Dock3	dedicator of cyto-kinesis 3
472	0.483	1460387_a_at	Ysg2	yolk sac gene 2
473	0.483	1418818_at	Aqp5	aquaporin 5
474	0.484	1428983_at	Scx	scleraxis
475	0.485	1453741_x_at	D1Ertd396e	DNA segment, Chr 1, ERATO Doi 396, expressed
476	0.485	1452251_at	Nbea	neurobeachin
477	0.486	1416344_at	Lamp2	lysosomal membrane glycoprotein 2
478	0.486	1428340_s_at	Atp13a2	ATPase type 13A2
479	0.487	1419053_at	Pex14	peroxisomal biogenesis factor 14
480	0.487	1450967_at	4933428I03Rik	RIKEN cDNA 4933428I03 gene
481	0.487	1433501_at	Ctso	cathepsin O
482	0.487	1425616_a_at	2410005K17Rik	RIKEN cDNA 2410005K17 gene
483	0.488	1431042_at	Paqr8	progestin and adipoQ receptor family member VIII
484	0.488	1417636_at	Slc6a9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9
485	0.488	1418895_at	Scap2	src family associated phosphoprotein 2
486	0.49	1418252_at	Padi2	peptidyl arginine deiminase, type II
487	0.49	1422731_at	Limd1	LIM domains containing 1
488	0.49	1456480_at	9330186A19Rik	RIKEN cDNA 9330186A19 gene
489	0.491	1419668_at	Sgcb	sarcoglycan, beta (dystrophin-associated glycoprotein)
490	0.491	1426855_at	D10Ertd610e	DNA segment, Chr 10, ERATO Doi 610, expressed
491	0.491	1421830_at	Ak3l1	adenylate kinase 3 alpha-like 1
492	0.492	1433558_at	Dab2ip	disabled homolog 2 (Drosophila) interacting protein
493	0.494	1433468_at	6430527G18Rik	RIKEN cDNA 6430527G18 gene
494	0.495	1432750_at	2810409C01Rik	RIKEN cDNA 2810409C01 gene
495	0.495	1450187_a_at	Galt	galactose-1-phosphate uridyl transferase
496	0.496	1424640_at	Arl10b	ADP-ribosylation factor-like 10B
497	0.497	1448131_at	Mfn2	mitofusin 2
498	0.497	1435498_at	Arfip2	ADP-ribosylation factor interacting protein 2
499	0.498	1437785_at	Adamts9	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9
500	0.498	1416195_at		putative phosphatase
501	0.498	1452137_at	Acbd3	acyl-Coenzyme A binding domain containing 3
502	0.498	1423889_at	MGC5739	RIKEN cDNA 1700121I08 gene
503	0.499	1434566_a_at	4732496O08Rik	RIKEN cDNA 4732496O08 gene
504	0.499	1460367_at	Hbp1	high mobility group box transcription factor 1
505	0.499	1417423_at	Grina	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)
506	0.499	1421142_s_at	Foxp1	forkhead box P1
507	0.5	1421898_a_at	Mr1	major histocompatibility complex, class I-related
508	0.5	1419582_at	Cyp2c55	cytochrome P450, family 2, subfamily c, polypeptide 55
509	0.5	1434643_at	Tbl1x	transducin (beta)-like 1 X-linked
510	0.5	1416846_a_at	Pdzrn3	PDZ domain containing RING finger 3
511	0.501	1460675_at	Igsf8	immunoglobulin superfamily, member 8
512	0.501	1448490_at	Adck4	aarF domain containing kinase 4
513	0.501	1417307_at	Dmd	dystrophin, muscular dystrophy
514	0.501	1433616_a_at	2310028O11Rik	RIKEN cDNA 2310028O11 gene
515	0.502	1417505_s_at	Il11ra1 /// Il11ra2	interleukin 11 receptor, alpha chain 1 /// interleukin 11 receptor, alpha chain 2
516	0.502	1451096_at	Ndufs2	NADH dehydrogenase (ubiquinone) Fe-S protein 2
517	0.502	1460241_a_at	St3gal5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
518	0.502	1421861_at	Clstn1	calsyntenin 1
519	0.502	1437122_at	Bcl2	B-cell leukemia/lymphoma 2
520	0.502	1454988_s_at	Rab22a	RAB22A, member RAS oncogene family
521	0.502	1431792_a_at	Stk11ip	serine/threonine kinase 11 interacting protein
522	0.503	1422478_a_at	Acas2	acetyl-Coenzyme A synthetase 2 (ADP forming)
523	0.505	1416419_s_at	Gabarapl1	gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1
524	0.505	1418942_at	Ccdc2	coiled-coil domain containing 2
525	0.505	1455721_at	Gspt2	G1 to S phase transition 2
526	0.506	1419927_s_at	Rabif	RAB interacting factor
527	0.506	1425636_at	Hhat	hedgehog acyltransferase
528	0.506	1435976_at
529	0.506	1416303_at	Litaf	LPS-induced TN factor
530	0.507	1423748_at	Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1
531	0.507	1435930_at	Zfp291	zinc finger protein 291
532	0.508	1434441_at		Mus musculus, clone IMAGE:4015738, mRNA
533	0.509	1416593_at	Glrx1	glutaredoxin 1 (thioltransferase)
534	0.509	1453312_at	Iqwd1	IQ motif and WD repeats 1
535	0.51	1418317_at	Lhx2	LIM homeobox protein 2
536	0.51	1435772_at	Kif21b	kinesin family member 21B
537	0.51	1448370_at	Ulk1	Unc-51 like kinase 1 (C. elegans)
538	0.512	1423962_at	Wdr26	WD repeat domain 26
539	0.512	1417455_at	Tgfb3	transforming growth factor, beta 3
540	0.512	1427604_a_at	Atp9a	ATPase, class II, type 9A
541	0.513	1416425_at	Pex19	peroxisome biogenesis factor 19
542	0.513	1424595_at	F11r	F11 receptor
543	0.513	1415727_at	Apoa1bp	apolipoprotein A-I binding protein
544	0.513	1416315_at	Abhd4	abhydrolase domain containing 4
545	0.513	1416416_x_at	Gstm1	glutathione S-transferase, mu 1
546	0.514	1438061_at	4930523C07Rik	RIKEN cDNA 4930523C07 gene
547	0.514	1425475_at	Col4a5	procollagen, type IV, alpha 5
548	0.515	1453071_s_at	Kdelc2	KDEL (Lys-Asp-Glu-Leu) containing 2
549	0.515	1423223_a_at	Prdx6	peroxiredoxin 6
550	0.515	1434427_a_at	Rnf157	ring finger protein 157
551	0.515	1434451_at	2900016G23Rik	RIKEN cDNA 2900016G23 gene
552	0.516	1416766_at	Mosc2	MOCO sulphurase C-terminal domain containing 2
553	0.517	1439965_at		Transcribed locus
554	0.517	1452271_at	Xpr1	xenotropic and polytropic retrovirus receptor 1
555	0.517	1428168_at	Mpzl1	myelin protein zero-like 1
556	0.517	1429024_at	1110018J23Rik	RIKEN cDNA 1110018J23 gene
557	0.517	1431126_a_at	0610011F06Rik	RIKEN cDNA 0610011F06 gene
558	0.518	1452124_at	Ank3 /// 2900054D09Rik	ankyrin 3, epithelial /// RIKEN cDNA 2900054D09 gene
559	0.518	1425196_a_at	Hint2	histidine triad nucleotide binding protein 2
560	0.518	1435676_at	BC027092	cDNA sequence BC027092
561	0.518	1455669_at	Wdr19	WD repeat domain 19
562	0.518	1460634_at	Ralgds	ral guanine nucleotide dissociation stimulator
563	0.518	1453159_at	Efhc1	EF-hand domain (C-terminal) containing 1
564	0.519	1431469_a_at	Cxxc5	CXXC finger 5
565	0.52	1437103_at	C330012H03Rik	RIKEN cDNA C330012H03 gene
566	0.52	1424213_at	1200002M06Rik	RIKEN cDNA 1200002M06 gene
567	0.52	1419298_at	Pon3	paraoxonase 3
568	0.52	1449363_at	Atf3	activating transcription factor 3
569	0.521	1417756_a_at	Lsp1	lymphocyte specific 1
570	0.521	1439649_at	Adc	arginine decarboxylase
571	0.522	1438416_at	Thrap5	thyroid hormone receptor associated protein 5
572	0.522	1436038_a_at	Dscr5	Down syndrome critical region homolog 5 (human)
573	0.522	1436818_a_at	Msi2h	Musashi homolog 2 (Drosophila)
574	0.522	1438415_s_at	Yipf2	Yip1 domain family, member 2
575	0.523	1424894_at	Rab13	RAB13, member RAS oncogene family
576	0.523	1436318_at	Tardbp	TAR DNA binding protein
577	0.523	1451357_at	E130307M08Rik	RIKEN cDNA E130307M08 gene
578	0.524	1417435_at	Large	like-glycosyltransferase
579	0.524	1455044_at	Tmem44	transmembrane protein 44
580	0.525	1449376_at	Nicn1	nicolin 1
581	0.525	1428769_at	Tatdn3	TatD DNase domain containing 3
582	0.526	1448332_at	Pex19	peroxisome biogenesis factor 19
583	0.526	1449841_at	Kif3a	kinesin family member 3A
584	0.526	1424616_s_at
585	0.527	1433518_at	Lcmt2	leucine carboxyl methyltransferase 2
586	0.528	1416373_at	Nfs1	nitrogen fixation gene 1 (S. cerevisiae)
587	0.528	1437398_a_at	Aldh9a1	aldehyde dehydrogenase 9, subfamily A1
588	0.528	1417557_at	Ubxd1	UBX domain containing 1
589	0.529	1420046_s_at	Maf1	MAF1 homolog (S. cerevisiae)
590	0.529	1441967_at	BC023835	cDNA sequence, BC023835
591	0.529	1437657_at	Zfp291	zinc finger protein 291
592	0.529	1438010_at	D4Ertd429e	DNA segment, Chr 4, ERATO Doi 429, expressed
593	0.529	1423038_at	Stx6	syntaxin 6
594	0.529	1423068_at	4930553F24Rik	RIKEN cDNA 493055F24Rik
595	0.529	1443832_s_at	Sdpr	serum deprivation response
596	0.53	1417272_at	9130005N14Rik	RIKEN cDNA 9130005N14 gene
597	0.53	1431694_a_at	Ctnnbip1	catenin beta interacting protein 1
598	0.53	1419712_at	Il3ra	interleukin 3 receptor, alpha chain
599	0.531	1451893_s_at	Magi1	membrane associated guanylate kinase, WW and PDZ domain containing 1
600	0.531	1456756_at	E430016P22Rik	RIKEN cDNA E430016P22 gene
601	0.532	1424614_at		FGF receptor activating protein 1
602	0.532	1429065_at	1200009F10Rik	RIKEN cDNA 1200009F10 gene
603	0.533	1423587_a_at	Exosc10	exosome component 10
604	0.534	1428516_a_at	Spata11	spermatogenesis associated 11
605	0.534	1440825_s_at	1700009P13Rik	RIKEN cDNA 1700009P13 gene
606	0.534	1438401_at	Ubn1	Ubinuclein 1
607	0.534	1460180_at	Hexb	hexosaminidase B
608	0.535	1453004_at	3110004L20Rik	RIKEN cDNA 3110004L20 gene
609	0.535	1426715_s_at	D11Ertd18e	DNA segment, Chr 11, ERATO Doi 18, expressed
610	0.535	1415874_at	Spry1	sprouty homolog 1 (Drosophila)
611	0.536	1455440_at	AI850629	Expressed sequence AI850629
612	0.536	1418217_at	Nme7	non-metastatic cells 7, protein expressed in
613	0.537	1424054_at	Btbd2	BTB (POZ) domain containing 2
614	0.538	1417227_at	Mccc1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)
615	0.538	1428117_x_at
616	0.539	1418318_at	Rnf128	ring finger protein 128
617	0.54	1432143_a_at	Hbp1	high mobility group box transcription factor 1
618	0.541	1439017_x_at	Adipor1	adiponectin receptor 1
619	0.541	1455604_at	LOC545325	hypothetical protein LOC545325
620	0.541	1419330_a_at	Gpa33	glycoprotein A33 (transmembrane)
621	0.542	1427430_at	AI848100	expressed sequence AI848100
622	0.542	1418000_a_at	Itm2b	integral membrane protein 2B
623	0.542	1424263_at	2810003C17Rik	RIKEN cDNA 2810003C17 gene
624	0.542	1437421_at	6330509M05Rik	RIKEN cDNA 6330509M05 gene
625	0.542	1418005_at	Sdhb	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)
626	0.543	1427385_s_at	Actn1	actinin, alpha 1
627	0.544	1433895_at	2310003P10Rik	RIKEN cDNA 2310003P10 gene
628	0.544	1435634_at	A030012M09Rik	RIKEN cDNA A030012M09 gene
629	0.544	1434177_at	Ece1	endothelin converting enzyme 1
630	0.545	1449410_a_at	Gas5	growth arrest specific 5
631	0.545	1437149_at	Slc6a6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6
632	0.545	1416778_at	Sdpr	serum deprivation response
633	0.545	1459274_at		Transcribed locus
634	0.546	1421018_at	1110018J18Rik	RIKEN cDNA 1110018J18 gene
635	0.546	1451782_a_at	Slc29a1	solute carrier family 29 (nucleoside transporters), member 1
636	0.546	1415904_at	Lpl	lipoprotein lipase
637	0.547	1423141_at	Lip1	lysosomal acid lipase 1
638	0.547	1425565_at	Rest	RE1-silencing transcription factor
639	0.548	1419156_at	Sox4	SRY-box containing gene 4
640	0.549	1416332_at	Cirbp	cold inducible RNA binding protein
641	0.549	1454021_a_at	Exosc10	exosome component 10
642	0.549	1424835_at	Gstm4	glutathione S-transferase, mu 4
643	0.55	1417472_at	Myh9	myosin, heavy polypeptide 9, non-muscle
644	0.55	1416942_at		type 1 tumor necrosis factor receptor shedding aminopeptidase regulator
645	0.552	1451311_a_at	Adipor1	adiponectin receptor 1
646	0.552	1415984_at	Acadm	acetyl-Coenzyme A dehydrogenase, medium chain
647	0.552	1452620_at	Pck2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)
648	0.552	1424852_at	Mef2c	myocyte enhancer factor 2C
649	0.552	1424745_at	2900006B13Rik	RIKEN cDNA 2900006B13 gene
650	0.553	1448559_at	Flot1	flotillin 1
651	0.553	1422938_at	Bcl2	B-cell leukemia/lymphoma 2
652	0.553	1416654_at	Slc31a2	solute carrier family 31, member 2
653	0.553	1454034_a_at	Usp21	ubiquitin specific protease 21
654	0.553	1444396_at	Trp53inp2	Tumor protein p53 inducible nuclear protein 2
655	0.553	1416779_at	Sdpr	serum deprivation response
656	0.553	1418671_at	Capn5	calpain 5
657	0.554	1427240_at	Dock6	dedicator of cytokinesis 6
658	0.554	1423966_at	Cd99l2	Cd99 antigen-like 2
659	0.554	1451891_a_at	Dysf	dysferlin
660	0.555	1456641_at	1190007F08Rik	RIKEN cDNA 1190007F08 gene
661	0.555	1433795_at	Tgfbr3	transforming growth factor, beta receptor III
662	0.555	1419286_s_at	Cdv1	carnitine deficiency-associated gene expressed in ventricle 1
663	0.555	1418474_at	1500005A01Rik	RIKEN cDNA 1500005A01 gene
664	0.556	1433812_at	Lix1l	Lix1-like
665	0.556	1428805_at	Slc35e3	solute carrier family 35, member E3
666	0.556	1431190_x_at	Fahd2a	fumarylacetoacetate hydrolase domain containing 2A
667	0.556	1449470_at	Dlx1	distal-less homeobox 1
668	0.556	1428647_at	2310056B04Rik	RIKEN cDNA 2310056B04 gene
669	0.557	1424646_at	Uckl1	uridine-cytidine kinase 1-like 1
670	0.557	1456586_x_at	Mvp	major vault protein
671	0.557	1428731_at	Usp54	ubiquitin specific protease 54
672	0.557	1431680_a_at	Ptprk	protein tyrosine phosphatase, receptor type, K
673	0.557	1449084_s_at	Sh3d19	SH3 domain protein D19
674	0.557	1448956_at	Stard10	START domain containing 10
675	0.557	1453365_at	Rabgap1l	RAB GTPase activating protein 1-like
676	0.558	1437572_at	Dcp1b	DCP1 decapping enzyme homolog b (S. cerevisiae)
677	0.558	1436596_at	H2afv	H2A histone family, member V
678	0.558	1449418_s_at	Fbxo36	F-box only protein 36
679	0.558	1452589_at	Ptk7	PTK7 protein tyrosine kinase 7
680	0.559	1419667_at	Sgcb	sarcoglycan, beta (dystrophin-associated glycoprotein)
681	0.559	1432494_a_at	1700019E19Rik	RIKEN cDNA 1700019E19 gene
682	0.559	1420630_at	8430419L09Rik	RIKEN cDNA 8430419L09 gene
683	0.56	1425684_at	2310005E10Rik	RIKEN cDNA 2310005E10 gene
684	0.562	1451196_at	Ypel5	yippee-like 5 (Drosophila)
685	0.562	1427927_at	AW049829	expressed sequence AW049829
686	0.562	1420387_at	Mpv17	Mpv17 transgene, kidney disease mutant
687	0.562	1448377_at	Slpi	secretory leukocyte protease inhibitor
688	0.563	1423489_at	Mmd	monocyte to macrophage differentiation-associated
689	0.563	1429896_at	5830408B19Rik	RIKEN cDNA 5830408B19 gene
690	0.564	1425607_at	Hlcs	holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)
691	0.564	1455038_at		Transcribed locus
692	0.565	1435478_at	Wdr26	WD repeat domain 26
693	0.565	1449554_at	Tle3	transducin-like enhancer of split 3, homolog of Drosophila E(spl)
694	0.565	1455761_at	2310009B15Rik /// LOC545365	RIKEN cDNA 2310009B15 gene /// similar to novel protein
695	0.565	1450769_s_at	Stard5	StAR-related lipid transfer (START) domain containing 5
696	0.566	1418749_at	BC003498	cDNA sequence BC00398
697	0.566	1448630_a_at	Sdhc	succinate dehydrogenase complex, subunit C, integral membrane protein
698	0.566	1425699_a_at	Abhd14a	abhydrolase domain containing 14A
699	0.566	1435549_at	Trpm4	transient receptor potential cation channel, subfamily M, member 4
700	0.567	1439160_at	4732496O08Rik	RIKEN cDNA 4732496O08 gene
701	0.567	1448067_at	AW011956	expressed sequence AW011956
702	0.567	1452667_at	Rab2b	RAB2B, member RAS oncogene family
703	0.568	1435473_at	Gm347	gene model 347, (NCBI)
704	0.568	1460436_at	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
705	0.568	1452370_s_at	B230208H17Rik	RIKEN cDNA B230208H17 gene
706	0.569	1456767_at	Lrfn3	leucine rich repeat and fibronectin type III domain containing 3
707	0.569	1431431_a_at	Nfs1	nitrogen fixation gene 1 (S. cerevisiae)
708	0.569	1440771_at	Zkscan1	zinc finger with KRAB and SCAN domains 1
709	0.569	1435475_at	Lman2l	lectin, mannose-binding 2-like
710	0.57	1416946_a_at	Acaa1 /// MGC29978	acetyl-Coenzyme A acyltransferase 1 /// 3-ketoacyl-CoA thiolase B
711	0.571	1448747_at	Fbxo32	F-box only protein 32
712	0.572	1429321_at	Rnf149	ring finger protein 149
713	0.572	1424615_at		FGF receptor activating protein 1
714	0.572	1422563_at	Crry	complement receptor related protein
715	0.572	1415973_at	Marcks	Myristoylated alanine rich protein kinase C substrate
716	0.572	1435679_at	Optn	optineurin
717	0.572	1426897_at	Rcc2	regulator of chromosome condensation 2
718	0.573	1438971_x_at	Ube2h	ubiquitin-conjugating enzyme E2H
719	0.574	1424695_at	2010011I20Rik	RIKEN cDNA 2010011I20 gene
720	0.574	1443881_at	Pofut1	Protein O-fucosyltransferase 1
721	0.575	1435596_at	A530088I07Rik	RIKEN cDNA A530088I07 gene
722	0.575	1452621_at	Pcbd2	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2
723	0.576	1418632_at	Ube2h	ubiquitin-conjugating enzyme E2H
724	0.576	1419291_x_at	Gas5	growth arrest specific 5
725	0.576	1435346_at	2310043N13Rik	RIKEN cDNA 2310043N13 gene
726	0.577	1421873_s_at	Rab24	RAB24, member RAS oncogene family
727	0.577	1451381_at	1810020D17Rik	RIKEN cDNA 1810020D17 gene
728	0.577	1436866_at	Efna5	ephrin A5
729	0.577	1417932_at	Il18	interleukin 18
730	0.578	1419456_at	Dcxr	dicarbonyl L-xylulose reductase
731	0.578	1416430_at	Cat	catalase
732	0.578	1415971_at	Marcks	myristoylated alanine rich protein kinase C substrate
733	0.579	1444503_at	Gbas	Glioblastoma amplified sequence
734	0.579	1434134_at	Wdr42a	WD repeat domain 42A
735	0.58	1452734_at	Rnaset2	ribonuclease T2
736	0.58	1428382_at	Smarcc2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2
737	0.581	1423745_at	1110031B06Rik	RIKEN cDNA 1110031B06 gene
738	0.581	1427236_a_at	Mll5	myeloid/lymphoid or mixed-lineage leukemia 5
739	0.581	1448427_at	Ndufa6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14)
740	0.581	1428829_at	6820401H01Rik	RIKEN cDNA 6820401H01 gene
741	0.582	1439496_at	4921524J06Rik	RIKEN cDNA 4921524J06 gene
742	0.583	1450449_a_at	2900002H16Rik	RIKEN cDNA 2900002H16 gene
743	0.583	1425968_s_at	Apeg1	aortic preferentially expressed gene 1
744	0.583	1435085_at
745	0.583	1424841_s_at	Rbks	ribokinase
746	0.583	1429116_at	Slc17a5	solute carrier family 17 (anion/sugar transporter), member 5
747	0.583	1423370_a_at	Csnk1g2	casein kinase 1, gamma 2
748	0.583	1423224_at	4432405B04Rik	RIKEN cDNA 4432405B04 gene
749	0.584	1437861_s_at
750	0.584	1424625_a_at	6030446I19Rik	RIKEN cDNA 6030446I19 gene
751	0.584	1417816_s_at	Tde1	tumor differentially expressed 1
752	0.584	1425615_a_at	Pck2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)
753	0.584	1434225_at		SWA-70 protein
754	0.584	1427951_s_at	1700009P13Rik	RIKEN cDNA 1700009P13 gene
755	0.585	1449000_at	D10Jhu81e	DNA segment, Chr 10, Johns Hopkins University 81 expressed
756	0.586	1455924_at	Rab6b	RAB6B, member RAS oncogene family
757	0.587	1460346_at	Arsa	arylsulfatase A
758	0.588	1455857_a_at	Rab2b	RAB2B, member RAS oncogene family
759	0.588	1460167_at	Aldh7a1	aldehyde dehydrogenase family 7, member A1
760	0.588	1417596_at	Eppb9	endothelial precursor protein B9
761	0.588	1425028_a_at	Tpm2	tropomyosin 2, beta
762	0.588	1437150_at	1700012H17Rik	RIKEN cDNA 1700012H17 gene
763	0.589	1425312_s_at	D11Ertd636e	DNA segment, Chr 11, ERATO Doi 636, expressed
764	0.589	1454978_at	Ttyh3	tweety homolog 3 (Drosophila)
765	0.59	1430125_s_at	Pqlc1	PQ loop repeat containing 1
766	0.59	1434021_at	C230096C10Rik	RIKEN cDNA C230096C10 gene
767	0.59	1448986_x_at	Dnase2a	deoxyribonuclease II alpha
768	0.591	1419924_at
769	0.591	1418116_at		interferon alpha responsive gene
770	0.591	1424654_at	Acp2	acid phosphatase 2, lysosomal
771	0.591	1426968_a_at	Rdh10	retinol dehydrogenase 10 (all-trans)
772	0.591	1453200_at	Rai1	retinoic acid induced 1
773	0.592	1447277_s_at	Pcyox1	prenylcysteine oxidase 1
774	0.592	1418996_a_at	4930469P12Rik	RIKEN cDNA 4930469P12 gene
775	0.592	1416774_at	Wee1	wee 1 homolog (S. pombe)
776	0.593	1451261_s_at	AW049765	expressed sequence AW049765
777	0.593	1427844_a_at	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta
778	0.593	1431611_a_at	Igsf4a	immunoglobulin superfamily, member 4A
779	0.593	1456056_a_at	D6Wsu116e	DNA segment, Chr 6, Wayne State University 116, expressed
780	0.594	1438176_x_at	1110031B06Rik	RIKEN cDNA 1110031B06 gene
781	0.594	1429559_at	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
782	0.595	1435401_at	9430097H08Rik	RIKEN cDNA 9430097H08 gene
783	0.595	1455030_at		16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630021C19 product:unknown EST, full insert sequence
784	0.595	1423543_at		SWA-70 protein
785	0.596	1415756_a_at	Snapap	SNAP-associated protein
786	0.596	1451479_a_at	Tmem53	transmembrane protein 53
787	0.596	1416304_at	Litaf	LPS-induced TN factor
788	0.597	1444242_at		Transcribed locus
789	0.598	1439539_at	Tram2	translocating chain-associating membrane protein 2
790	0.598	1430533_a_at	Ctnnb1	catenin (cadherin associated protein), beta 1, 88kDa
791	0.598	1419867_a_at	Ankhd1	ankyrin repeat and KH domain containing 1
