Affymetrix Gene ID	Entrez Gene Name	Full Gene Name	Contrast Analysis	2 Month A	2 Month B	6 Month A	6 Month B	12 Month A	12 Month B	21 Month A	21 Month B
1423332_at	Sdcbp	syndecan binding protein	-10.88	10.7	10.75	11.05	11.16	12.02	10.67	12.33	12.6
1420908_at	Cd2ap	CD2-associated protein	-10.86	6.18	6.07	7.54	6.32	5.4	6.68	7.3	7.19
1422431_at	Magee1	melanoma antigen, family E, 1	-10.83	5.03	4.98	4.95	4.87	4.93	5.04	5.94	7.09
1428286_at	2900097C17Rik	RIKEN cDNA 2900097C17 gene	-10.77	12.06	12.03	12.03	12.01	12.64	11.96	13.1	13.01
1451064_a_at	Psat1	phosphoserine aminotransferase 1	-10.76	9.08	9.07	9.58	9.56	10.45	9.11	10.35	10.58
1417817_a_at	2310058J06Rik	RIKEN cDNA 2310058J06 gene	-10.72	1.78	1.82	3.28	3.78	3.7	5.67	4.47	4.61
1452224_at	1110051N18Rik	RIKEN cDNA 1110051N18 gene	-10.71	8.19	8.28	8.41	8.48	9.14	8.72	9.67	10.23
1423042_at	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked	-10.71	12.64	12.72	13.58	13.12	13.52	12.92	13.8	13.7
1418070_at	Cdyl	chromodomain protein, Y chromosome-like	-10.69	4.64	4.91	4.68	4.98	5.87	5.33	6.12	5.99
1417308_at	Pkm2	pyruvate kinase, muscle	-10.67	8.61	8.68	8.9	8.74	10.76	9.06	10.14	10.37
1426398_at	6130401J04Rik	RIKEN cDNA 6130401J04 gene	-10.67	4.12	4.15	4.66	4.42	4.69	4.64	5.13	5.44
1426640_s_at	AW319517	expressed sequence AW319517	-10.65	7.23	7.25	8.44	8.51	10.71	7.93	10.04	10.68
1421834_at	Pip5k1a	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha	-10.64	3.66	3.57	3.51	3.54	4.18	3.36	5.01	4.85
1453181_x_at	Plscr1	phospholipid scramblase 1	-10.63	10.44	10.31	10.92	10.83	11.76	10.65	11.79	11.98
1423662_at	Atp6ap2	ATPase, H+ transporting, lysosomal accessory protein 2	-10.63	8.55	9.22	9.58	9.58	11.13	9.13	12.07	11.94
1416323_at	2410004N11Rik	RIKEN cDNA 2410004N11 gene	-10.6	6.62	6.65	6.3	6.48	8.54	5.59	8.01	8.01
1415821_at	Sdfr1	stromal cell derived factor receptor 1	-10.59	8.47	8.68	9.1	8.94	10.38	8.7	10.67	10.97
1417847_at	Ulk2	Unc-51 like kinase 2 (C. elegans)	-10.56	5.83	5.67	6.3	5.8	6.9	6.64	7.16	7
1422998_a_at	Glrx2	glutaredoxin 2 (thioltransferase)	-10.53	9.28	9.36	9.7	10.03	10.73	9.3	10.98	11.04
1424431_at	Galnact2	chondroitin sulfate GalNAcT-2	-10.5	8.15	8.48	8.35	8.08	9.27	8.96	9.52	9.5
1448987_at	Acadl	acetyl-Coenzyme A dehydrogenase, long-chain	-10.46	9.82	9.79	9.47	10.2	11.48	10.35	11.89	12.09
1435834_at	Gas2	growth arrest specific 2	-10.46	7.27	7.66	7.72	7.61	8.97	8.23	9.3	9.36
1448234_at	Dnajb6	DnaJ (Hsp40) homolog, subfamily B, member 6	-10.45	11.1	11.19	11.55	11.77	12.74	11.21	12.69	12.74
1420583_a_at	Rora	RAR-related orphan receptor alpha	-10.44	5.9	6.03	6.71	6.92	7.24	6.13	7.64	7.82
1451726_at	Mtmr6	myotubularin related protein 6	-10.42	3.89	3.97	4.01	4.01	6	2.68	5.9	5.64
1452607_at	2610030H06Rik	RIKEN cDNA 2610030H06 gene	-10.36	7.28	7.38	7.39	7.35	8.37	7.77	8.85	8.63
1416083_at	Zfp216	zinc finger protein 216	-10.34	12.41	12.41	13	12.85	13.45	12.46	13.72	13.58
1426368_at	Rin2	Ras and Rab interactor 2	-10.34	4.68	4.53	4.56	4.93	5.74	5.4	5.86	7.26
1423408_a_at	2500003M10Rik	RIKEN cDNA 2500003M10 gene	-10.32	9.99	9.77	10.26	10.4	11.61	9.58	11.65	11.63
1417091_at	Chuk	conserved helix-loop-helix ubiquitous kinase	-10.31	8.18	8.11	8.36	7.85	8.76	8.61	9.14	9.54
1437687_x_at	Fkbp9	FK506 binding protein 9	-10.31	10.55	11.19	10.84	10.93	12.14	11.48	11.7	11.74
1450422_a_at	Kdelc1	KDEL (Lys-Asp-Glu-Leu) containing 1	-10.31	5.19	5.22	5.87	5.95	7.17	4.66	6.35	6.29
1420612_s_at	Ptp4a2	protein tyrosine phosphatase 4a2	-10.3	5.76	6.15	6.93	7.06	8.11	5.55	8.71	8.36
1417852_x_at	Clca1	chloride channel calcium activated 1	-10.26	7.03	5.96	8.43	7.3	10.11	10.43	10.75	11.53
1421817_at	Gsr	glutathione reductase 1	-10.25	5.57	5.51	5.77	5.56	7.69	5.57	8.03	8.48
1424603_at	AI463102	EST AI463102	-10.25	3.53	3.26	3.67	3.53	5.23	3.67	5.13	5.16
1450970_at	Got1	glutamate oxaloacetate transaminase 1, soluble	-10.25	6.66	6.78	7.39	7.53	8.13	5.92	7.83	7.85
1425986_a_at	Tes3-ps	testis derived transcript 3, pseudogene	-10.24	3.27	3.17	3.2	2.98	4.51	3.48	4.97	4.69
1423323_at	Tacstd2	tumor-associated calcium signal transducer 2	-10.24	8.43	8.5	9.19	8.8	9.64	8.29	10	10.13
1433446_at	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	-10.22	4.03	4.11	4.69	4.69	5.07	4.54	6.01	6.24
1423571_at	Edg1	endothelial differentiation sphingolipid G-protein-coupled receptor 1	-10.21	4.45	4.67	4.6	4.85	7.33	4.38	7.07	7.43
1435732_x_at	Atp6v0c	ATPase, H+ transporting, V0 subunit C	-10.2	12.09	12.22	12.04	11.97	13.48	12.39	13.26	13.19
1437463_x_at	Tgfbi	transforming growth factor, beta induced	-10.19	9.77	9.93	10.28	9.67	10.72	10.65	10.61	11.53
1415926_at	Nup62	nucleoporin 62	-10.19	8.83	8.96	8.88	8.84	10.47	8.14	10.12	10.08
1416161_at	Rad21	RAD21 homolog (S. pombe)	-10.15	9.77	9.6	10.04	10.35	11.18	9.91	11.71	11.51
1423467_at	Ms4a4b	membrane-spanning 4-domains, subfamily A, member 4B	-10.15	5.52	5.2	4.92	5.43	5.04	5.2	7.67	7.32
1423615_at	Zfp364	zinc finger protein 364	-10.13	7.46	7.29	7.74	9.08	9	8.13	9.71	9.71
1421198_at	Itgav	integrin alpha V	-10.13	4.71	5.29	5.42	5.3	5.89	5.6	6.67	6.58
1422449_s_at	Rcn2	reticulocalbin 2	-10.12	9.82	10.3	11.23	10.76	11.32	10	11.73	11.58
1448218_s_at	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	-10.12	6.21	6.43	6.86	7.8	7.74	5.11	8.92	9.3
1419552_at	Echdc1	enoyl Coenzyme A hydratase domain containing 1	-10.1	7.34	7.28	7.32	7.29	8.41	7.25	8.52	8.38
1448196_at	NA	NA	-10.09	7.33	7.18	7.89	8.07	9.88	7.23	10.35	9.85
1450849_at	Hnrpu	heterogeneous nuclear ribonucleoprotein U	-10.07	5.62	5.78	7.42	6.8	8.78	5.98	8.52	8.48
1419365_at	Ap3s2	adaptor-related protein complex 3, sigma 2 subunit	-10.07	5.43	5.2	5.89	6.29	7.07	5.55	7.51	7.37
1438712_at	Cept1	choline/ethanolaminephosphotransferase 1	-10.06	6.55	6.65	7.1	6.59	7.91	7.42	7.91	8.11
1417962_s_at	Ghr	growth hormone receptor	-10.04	6.45	6.01	7.72	7.07	9.53	8.21	9.49	9.9
1448334_a_at	Ccni	cyclin I	-10.04	11.18	11.13	11.57	11.62	12.42	11.58	12.46	12.75
1452885_at	2610510E10Rik	RIKEN cDNA 2610510E10 gene	-10.04	5.47	5.69	8.11	6.94	7.74	5.73	8.91	8.69
1434312_at	Arf6	ADP-ribosylation factor 6	-10.03	8.52	8.99	9.12	8.62	8.78	8.82	10.06	9.93
1426275_a_at	Uxs1	UDP-glucuronate decarboxylase 1	-10.03	6.2	5.6	5.9	6.11	6.78	6.77	7.14	6.91
1452247_at	Fxr1h	fragile X mental retardation gene 1, autosomal homolog	-10.02	5.28	3.9	4.58	5.03	5.8	5.45	6.96	7.2
1425451_s_at	Chi3l4	chitinase 3-like 4	-9.99	5.42	5.15	5.21	5.05	5.52	5.58	6.52	7.1
1418464_at	Matn4	matrilin 4	-9.95	4.02	4.01	4.77	4.72	6.23	5.48	6	6.85
1425567_a_at	Anxa5	annexin A5	-9.94	10.35	10.49	10.81	11.05	11.58	9.73	11.74	11.87
1433724_at	BC033609	cDNA sequence BC033609	-9.93	6.57	6.79	7.4	7.05	8.31	7.47	8.54	8.74
1451501_a_at	Ghr	growth hormone receptor	-9.92	4.12	4.09	4.36	4.54	6.49	4.69	6.4	6.03
1448713_at	Stat4	signal transducer and activator of transcription 4	-9.91	8.41	8.58	9.25	9.48	11.15	8.49	10.45	10.3
1417908_s_at	Ube2l3	ubiquitin-conjugating enzyme E2L 3	-9.91	8.29	8.49	8.87	9.53	9.44	8.73	9.57	9.56
1451273_x_at	BC025546	cDNA sequence BC025546	-9.9	4.57	4.34	5.01	4.88	5.4	4.59	5.65	5.73
1424927_at	Glipr1	GLI pathogenesis-related 1 (glioma)	-9.89	11.31	10.88	11.46	11.6	12.24	11.87	12.83	12.66
1423040_at	Bzw1	basic leucine zipper and W2 domains 1	-9.88	7.95	7.64	8.35	8.19	9.54	8.29	9.68	9.71
1418436_at	Stx7	syntaxin 7	-9.83	9.46	9.48	9.15	9.93	9.87	9.69	10.42	10.52
1433899_x_at	Tgfb1i4	transforming growth factor beta 1 induced transcript 4	-9.83	9.25	9.21	9.6	9.54	10.28	9.69	10.41	10.24
1423247_at	Txndc4	thioredoxin domain containing 4 (endoplasmic reticulum)	-9.82	8.77	8.65	8.98	9.22	10.14	8.64	10.47	10.32
1451858_at	MrgA2	G protein-coupled receptor MrgA2	-9.81	4.58	4.45	3.92	4.15	4.31	4.48	5.75	5.57
1438094_x_at	2810409H07Rik	RIKEN cDNA 2810409H07 gene	-9.81	8.95	8.96	9.25	9.7	10.16	9.41	11.02	10.75
1428645_at	Gnai3	guanine nucleotide binding protein, alpha inhibiting 3	-9.79	10.37	10.66	10.91	10.84	11.87	10.67	12.03	12.11
1451005_at	Ubl1	ubiquitin-like 1	-9.79	10.84	10.7	11.44	11.27	12.71	10.66	13.05	12.71
1434968_a_at	Actr3	ARP3 actin-related protein 3 homolog (yeast)	-9.79	10.36	10.3	10.71	10.91	11.96	11.18	11.9	12.2
1451159_at	2310014B11Rik	RIKEN cDNA 2310014B11 gene	-9.78	7.37	7.25	7.08	7.34	8.34	7.68	8.42	8.58
1416686_at	Plod2	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	-9.78	6.22	6.19	6.04	6.14	6.67	7.2	7.71	7.52
1448171_at	Siah2	seven in absentia 2	-9.78	4.53	3.38	5.47	5.68	6.33	5.87	6.25	6.05
1460259_s_at	Clca2	chloride channel calcium activated 2	-9.77	5.84	4.63	7.68	6.46	9.41	8.86	10.14	10.64
1429339_a_at	2410021P16Rik	RIKEN cDNA 2410021P16 gene	-9.76	4.59	4.55	5.2	5.22	6.41	5.6	6.1	5.78
1420886_a_at	Xbp1	X-box binding protein 1	-9.75	8.53	8.39	9.35	9	9.88	8.45	9.94	10.05
1460260_s_at	Kpna1	karyopherin (importin) alpha 1	-9.74	8.06	7.95	7.41	7.89	9.35	8.15	9.36	9.19
1422134_at	Fosb	FBJ osteosarcoma oncogene B	-9.73	7.68	5.56	8.2	8.71	9.12	8.67	9.56	9.54
1455968_x_at	1110032D12Rik	RIKEN cDNA 1110032D12 gene	-9.73	12.93	13.1	13.18	13.27	14.18	13.39	14.16	14.29
1415672_at	Golga7	golgi autoantigen, golgin subfamily a, 7	-9.73	9.94	9.85	10.35	10.63	11.02	9.75	11.02	11.17
1419027_s_at	Gltp	glycolipid transfer protein	-9.69	9.48	9.52	9.3	9.87	11.42	10.15	11.2	10.97
1452373_at	1700081L11Rik	RIKEN cDNA 1700081L11 gene	-9.69	6.85	6.83	6.93	7.07	8.7	6.7	8.08	8.18
1419945_s_at	Rab2	RAB2, member RAS oncogene family	-9.69	7.97	7.83	8.03	8.42	10.37	8.83	9.83	10.15
1415794_a_at	Spin	spindlin	-9.68	9.61	9.62	9.6	10.21	12.06	9.85	11.43	11.45
1450882_s_at	Tm7sf1	transmembrane 7 superfamily member 1	-9.66	2.92	3.09	3.49	3.93	4.71	2.93	4.95	5.12
1436839_at	2010109K11Rik	RIKEN cDNA 2010109K11 gene	-9.65	9.11	9.07	10	9.46	10.18	9.94	10.45	10.26
1448380_at	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein	-9.65	4.65	4.64	4.46	5.1	8.12	4.69	8.26	7.98
1451195_a_at	Txndc1	thioredoxin domain containing 1	-9.63	9.79	9.81	10.28	9.71	10.87	10.11	11.72	11.71
1427112_at	2700049H19Rik	RIKEN cDNA 2700049H19 gene	-9.61	5.74	6.46	5.54	5.96	7.08	6.23	6.84	6.92
1455698_at	Tloc1	translocation protein 1	-9.6	6.86	7.11	6.88	7.12	8.1	7.33	8.54	8.44
1423442_a_at	Fbxw2	F-box and WD-40 domain protein 2	-9.59	5.57	5.61	6.31	6.57	7.81	5.72	7.42	7.64
1453317_a_at	Khdrbs3	KH domain containing, RNA binding, signal transduction associated 3	-9.59	3.88	3.64	4.32	4.32	4.63	4.63	5.16	4.76
1417736_at	Smc6l1	SMC6 structural maintenance of chromosomes 6-like 1 (yeast)	-9.59	5.5	5.43	8.81	8.02	7.92	6.28	8.72	8.98
1450945_at	Prkca	protein kinase C, alpha	-9.58	4.28	4.24	4.24	4.14	6.52	4.64	6.54	7.04
1452191_at	2510048K03Rik	RIKEN cDNA 2510048K03 gene	-9.57	6.07	5.66	6.29	6.33	7	6.91	7.43	7.11
1418637_at	Etv3	ets variant gene 3	-9.56	10.27	10.26	10.47	10.18	11.02	10.82	11.13	11.78
1420760_s_at	Ndr1	N-myc downstream regulated 1	-9.55	9.53	9.74	10.29	11.04	11.1	9.97	11.27	11.08
1448668_a_at	Irak1	interleukin-1 receptor-associated kinase 1	-9.55	8.02	8.44	9.55	9.11	10.04	8.44	10.04	10.13
1422953_at	Fpr-rs2	formyl peptide receptor, related sequence 2	-9.55	3.36	2.8	3.09	3.41	3.79	2.57	5.77	5.63
1424880_at	Trb1	tribbles homolog 1 (Drosophila)	-9.54	4.71	5.16	5.43	5.56	5.68	5.21	7.27	7.43
1416180_a_at	Rdx	radixin	-9.53	7.24	7.28	9.66	9.31	8.94	7.77	10.2	10.27
1423160_at	Spred1	sprouty protein with EVH-1 domain 1, related sequence	-9.53	7.99	7.7	8.58	8.68	8.89	9.38	9.83	10.19
1423393_at	Clic4	chloride intracellular channel 4 (mitochondrial)	-9.53	10.3	10.28	10.45	10.45	11.09	10.28	11.55	11.94
1417998_at	Tebp	telomerase binding protein, p23	-9.5	11	10.88	11.12	11.28	12.33	11.2	12.21	12.24
1433645_at	AW547365	expressed sequence AW547365	-9.5	7.31	7.2	7.61	7.04	8.49	8.34	8.31	8.37
1425514_at	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	-9.49	9.46	8.71	9.62	9.76	9.51	9.93	10.76	10.61
1428279_a_at	2810423G08Rik	RIKEN cDNA 2810423G08 gene	-9.46	5.55	5.88	5.34	6.03	7.79	6.28	8	7.91
1423481_at	Riok2	RIO kinase 2 (yeast)	-9.46	4.98	5.38	6.74	6.54	7.29	6.07	7.14	6.99
1424636_at	2610204L23Rik	RIKEN cDNA 2610204L23 gene	-9.44	6.47	6.4	6.81	7.79	8.21	6.16	9.06	9.39
1452519_a_at	Zfp36	zinc finger protein 36	-9.43	9.76	9.54	9.67	10.65	12.45	11.01	12.34	12.32
1425539_a_at	Rtn3	reticulon 3	-9.43	7.99	7.86	7.21	8.19	8.72	8.36	8.97	8.99
1423052_at	Arf4	ADP-ribosylation factor 4	-9.41	9.23	9.2	10.3	9.93	11.21	9.17	11.5	11.19
1424483_at	4022402H07Rik	RIKEN cDNA 4022402H07 gene	-9.39	6.95	7.07	7.22	7.2	7.89	7.29	8.08	8.24
1435626_a_at	Herpud1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	-9.39	6.64	6.65	6.98	7.17	8.51	6.92	8.23	8.44
1417057_a_at	Ppid	peptidylprolyl isomerase D (cyclophilin D)	-9.37	10.36	10.19	10.64	10.8	11.9	10.62	11.75	11.65
1450646_at	Cyp51	cytochrome P450, 51	-9.37	6.68	7.21	7.44	7.45	9.8	7.53	9.46	9.34
1415719_s_at	Arcp	armadillo repeat containing protein	-9.34	7.8	7.77	7.71	8.01	8.16	7.72	8.85	8.96
1420959_at	Asph	aspartate-beta-hydroxylase	-9.34	3.09	3.46	3.62	3.31	4.95	2.91	5.87	5.75
1424076_at	2610020H15Rik	RIKEN cDNA 2610020H15 gene	-9.34	4.38	4.61	5.28	5.21	5.54	5.01	5.95	5.93
1424750_at	Zbtb1	zinc finger and BTB domain containing 1	-9.34	8.93	9.29	9.53	9.42	10.02	9.59	10.88	10.75
1418698_a_at	Fech	ferrochelatase	-9.34	5.7	6.04	6.94	6.72	8.3	6.26	7.94	8
1418050_at	Gpld1	glycosylphosphatidylinositol specific phospholipase D1	-9.33	4.92	4.74	4.96	4.95	5.82	5.07	5.86	5.93
1450896_at	Arhgap5	Rho GTPase activating protein 5	-9.32	6.34	6.31	6.57	5.82	6.81	6.97	7.18	7.4
1415802_at	Slc16a1	solute carrier family 16 (monocarboxylic acid transporters), member 1	-9.31	8.27	8.55	8.74	8.41	9.93	8.71	10.37	10.52
1422444_at	Itga6	integrin alpha 6	-9.3	10.36	11.05	10.63	11.29	10.69	11.02	12.51	12.58
1434553_at	C730036B01Rik	RIKEN cDNA C730036B01 gene	-9.27	5.66	6.21	7.88	6.05	8.66	8.25	8.85	9.43
1423161_s_at	Spred1	sprouty protein with EVH-1 domain 1, related sequence	-9.27	5.86	4.41	6.91	6.2	7.73	6.94	9.18	9.18
1450380_at	AU040950	expressed sequence AU040950	-9.26	4.16	4.24	4.29	4.15	5.51	4.79	6.21	6.66
1455042_at	Tbl1x	transducin (beta)-like 1 X-linked	-9.25	6.72	6.84	6.41	6.32	8.19	7.38	8.75	8.93
1450686_at	NA	NA	-9.24	8.17	8.06	8.14	8.48	10.04	7.83	10.15	10.36
1460186_at	Smbp	SM-11044 binding protein	-9.23	9.9	9.82	10.07	9.88	10.96	9.65	11.21	11.11
1450890_a_at	Abi1	abl-interactor 1	-9.21	7.54	7.63	7.55	7.78	8.43	8.09	9.27	8.92
1423936_at	Kctd5	potassium channel tetramerisation domain containing 5	-9.21	5.21	5.14	4.52	4.82	6.55	5.23	6.63	6.87
1416062_at	Tbc1d15	TBC1 domain family, member 15	-9.21	7.16	5.56	6.78	7.15	7.19	4.9	9.12	9.37
1424198_at	Dlg5	discs, large homolog 5 (Drosophila)	-9.21	5.05	4.62	5.39	5.28	6.18	6.1	6.11	6.9
1460331_at	Tm9sf2	transmembrane 9 superfamily member 2	-9.21	6.57	6.47	6.73	7.47	9.18	5.5	9.7	9.69
1427345_a_at	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1	-9.19	7.59	7.22	8.89	7.95	9.86	8.66	10.96	10.81
1420476_a_at	Nap1l1	nucleosome assembly protein 1-like 1	-9.16	10.68	10.72	10.96	10.87	11.53	11.24	12.11	11.71
1424824_at	9630044O09Rik	RIKEN cDNA 9630044O09 gene	-9.15	7.64	7.65	7.97	8.2	9.1	8.01	9.06	9.23
1452077_at	D1Pas1-rs1	DNA segment, Chr 1, Pasteur Institute 1, related sequence 1	-9.14	7.99	7.85	10.07	8.74	9.9	8.42	10.11	10.51
1452925_a_at	1810015H18Rik	RIKEN cDNA 1810015H18 gene	-9.14	7.61	7.53	7.56	7.67	8.48	7.1	8.94	8.78
1433518_at	Lcmt2	leucine carboxyl methyltransferase 2	-9.14	6.27	6.22	6.24	6.16	7.46	5.68	7.29	7.22
1415767_at	2210410K23Rik	RIKEN cDNA 2210410K23 gene	-9.11	7.78	7.49	9.01	8.46	10.16	7.13	10.28	10.23
1449366_at	Mmp8	matrix metalloproteinase 8	-9.11	2.69	3.24	2.62	3.19	3.03	4.05	5.86	6.26
1460716_a_at	Cbfb	core binding factor beta	-9.1	10.14	10.36	10.52	10.31	11.44	10.03	11.82	12
1415922_s_at	Mlp	MARCKS-like protein	-9.09	9.83	9.42	9.77	9.88	11.54	9.97	11.47	11.42
1426736_at	Gspt1	G1 to phase transition 1	-9.09	7.57	7.97	8.33	8.89	8.65	7.48	9	9.09
1419543_a_at	na	similar to splicing factor, arginine/serine-rich (transformer 2 Drosophila homolog) 10	-9.09	8.18	8.03	8.8	9.6	9.1	8.28	9.81	9.76
1448707_at	Taf13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor	-9.08	9.73	10.05	10.2	10.31	10.93	10.02	11.34	11.3
1449563_at	Cntn1	contactin 1	-9.07	2.81	2.69	3.22	3.13	2.98	3.38	5.03	5.37
1426607_at	3110070M22Rik	RIKEN cDNA 3110070M22 gene	-9.06	6.17	5.65	7.41	6.54	7.54	7.02	7.95	8.27
1424208_at	Ptger4	prostaglandin E receptor 4 (subtype EP4)	-9.05	9.74	10.29	10.78	10.26	11.4	11.33	11.97	12.33
1422902_s_at	Mgea5	meningioma expressed antigen 5 (hyaluronidase)	-9.05	5.47	5.18	5.25	5.2	6.85	5.14	7.21	7.49
1428248_at	Nfx1	nuclear transcription factor, X-box binding 1	-9.04	9.44	9.26	9.37	9.06	11.85	9.18	11.07	11.28
1416102_at	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	-9.04	8.81	8.97	9.2	9.69	11.4	8.89	11.51	11.77
1422456_at	Nsf	N-ethylmaleimide sensitive fusion protein	-9.03	7.25	7.65	7.8	8.06	9.56	8.08	9.62	9.76
1452066_a_at	Ndfip2	Nedd4 family interacting protein 2	-9.01	8.26	8.58	8.16	8.92	9.67	9.27	9.78	9.82
1430053_a_at	2810409H07Rik	RIKEN cDNA 2810409H07 gene	-9.01	5.69	5.32	6.52	6.14	6.7	6.77	8	7.5
1450897_at	Arhgap5	Rho GTPase activating protein 5	-9	8.51	9.3	9.19	8.54	9.65	9.54	10.04	9.89
1415827_a_at	D3Ucla1	DNA segment, Chr 3, University of California at Los Angeles 1	-8.99	9.88	9.99	10.04	10.49	10.72	9.54	11.58	11.37
1450129_a_at	Socs6	suppressor of cytokine signaling 6	-8.99	3.6	3.86	3.52	3.81	5.2	3.61	5.68	5.55
1434510_at	1810018P12Rik	RIKEN cDNA 1810018P12 gene	-8.99	4.55	4.39	4.97	4.45	4.37	4.99	5.86	5.83
1421871_at	Sh3bgrl	SH3-binding domain glutamic acid-rich protein like	-8.98	6.25	4.84	8.33	7.86	8.89	6.72	10.16	9.92
1423796_at	5730453G22Rik	RIKEN cDNA 5730453G22 gene	-8.98	9.18	9	9.35	9.19	9.75	8.82	10.25	10.38
1451247_at	1200003O06Rik	RIKEN cDNA 1200003O06 gene	-8.97	7.45	7.36	7.58	8.01	9.03	7.81	9.33	9.51
1426864_a_at	Ncam1	neural cell adhesion molecule 1	-8.97	5.68	5.62	5.66	5.81	8.11	6.74	8.05	7.62
1417231_at	Cldn2	claudin 2	-8.93	3.45	3.71	4.01	3.79	4.94	4.65	5.26	6.12
1425513_at	Map2k7	mitogen activated protein kinase kinase 7	-8.92	6.11	5.96	8.09	6.77	6.57	6.06	9.26	9.51
1449730_s_at	AU020229	expressed sequence AU020229	-8.92	4.03	5.75	4.71	5.24	5.78	5.86	6.08	6.22
1415684_at	Apg5l	autophagy 5-like (S. cerevisiae)	-8.91	5.29	5.54	5.36	5.53	5.68	5.22	6.59	6.69
1423812_s_at	AW146242	expressed sequence AW146242	-8.89	8.36	8.36	8.56	9.27	10.1	7.88	10.29	10.31
1454758_a_at	Tgfb1i4	transforming growth factor beta 1 induced transcript 4	-8.88	11.06	11.39	11.88	12.15	13.16	11.18	13.33	13.06
1449014_at	Lactb	lactamase, beta	-8.87	8.6	8.85	9.37	9.58	9.92	8.62	10.13	9.95
1416343_a_at	Lamp2	lysosomal membrane glycoprotein 2	-8.87	6.5	6.79	7.78	7.71	8.64	6.84	8.72	9.09
1460325_at	Pum1	pumilio 1 (Drosophila)	-8.86	7.65	7.73	7.6	7.87	7.63	7.55	8.9	9.14
1416903_at	Nucb	nucleobindin	-8.84	9.73	9.97	9.94	9.9	11.47	10.15	10.91	10.96
1429527_a_at	Plscr1	phospholipid scramblase 1	-8.83	10.21	9.96	10.31	10.45	11.79	10.42	11.52	11.58
1450894_a_at	Ap2m1	adaptor protein complex AP-2, mu1	-8.82	9.53	9.64	9.05	9.19	11.77	9.85	11.04	11.12
1423306_at	AI195350	expressed sequence AI195350	-8.82	6.69	7.23	7.82	7.55	8.97	7.49	9.47	9.38
1456212_x_at	Socs3	suppressor of cytokine signaling 3	-8.82	8.5	8.35	8.88	9.31	10	9.82	9.77	10.16
1436519_a_at	1110057K04Rik	RIKEN cDNA 1110057K04 gene	-8.81	2.77	2.71	4.35	3.82	3.55	2.15	5.35	5.13
1421315_s_at	Cttn	cortactin	-8.8	4.97	5.16	5.42	5.59	7.25	5.16	7.03	6.76
1419659_s_at	Chic2	cysteine-rich hydrophobic domain 2	-8.77	9.96	9.96	9.33	9.9	10.86	9.8	11.32	11.48
1420110_s_at	Zfp334	zinc finger protein 334	-8.77	6.09	6.29	6.94	6.5	7.65	7.65	7.46	7.16
1449932_at	Csnk1d	casein kinase 1, delta	-8.77	6.21	6.17	6.79	7.13	8.35	5.8	8.22	8.51
1449552_at	Zfr	zinc finger RNA binding protein	-8.76	3.18	2.89	3.09	2.82	3.78	3.7	4.33	4.61
1418822_a_at	Arf6	ADP-ribosylation factor 6	-8.76	12.35	12.33	12.51	12.79	13.92	12.78	13.62	13.69
1415800_at	Gja1	gap junction membrane channel protein alpha 1	-8.74	5.37	4.78	6.57	5.82	8.82	6.11	9.28	9.25
1452831_s_at	Ppat	phosphoribosyl pyrophosphate amidotransferase	-8.73	7.52	7.48	7.6	7.91	7.98	8.22	8.61	8.8
1425523_at	2610015J01Rik	RIKEN cDNA 2610015J01 gene	-8.72	9.39	9.22	10.81	10.06	11.53	8.3	12.12	11.74
1418280_at	Copeb	core promoter element binding protein	-8.7	6.43	5.56	6.76	6.38	6.52	6.81	8.87	8.47
1454763_at	BC038311	cDNA sequence BC038311	-8.7	6.91	7.3	7.41	7.5	9.14	7.58	9.45	9.9
1431745_a_at	1700016A15Rik	RIKEN cDNA 1700016A15 gene	-8.69	6.85	6.85	6.81	7.6	7.47	7.56	8.21	7.89
1433737_at	Kist	kinase interacting with leukemia-associated gene (stathmin)	-8.69	8.52	8.03	8.74	8.61	10.04	8.2	10.46	10.45
1417331_a_at	Arl6	ADP-ribosylation factor-like 6	-8.69	6.79	7.11	6.66	6.88	7.38	7.55	7.91	7.96
1416653_at	Stxbp3	syntaxin binding protein 3	-8.68	8.72	8.85	9	8.86	9.5	9.23	9.77	10.23
1417483_at	AA408868	expreexpressed sequence AA408868	-8.67	10.87	10.25	11.1	11.18	11.92	11.62	12.29	12.02
1418520_at	Tgoln1	trans-golgi network protein	-8.65	3.54	3.36	4.07	4.56	5.42	3.3	5.56	5.4
1450344_a_at	Ptger3	prostaglandin E receptor 3 (subtype EP3)	-8.63	5.83	5.47	6.68	6.84	8.06	7.57	8.17	7.59
