Clone ID	UniGene	Gene symbol	Gene description	M	STD M	M ctrl/ctrl	STD M	t	P value
P281	Mm.1569	Casp4	caspase 4, apoptosis-related cysteine protease	1.556	0.698	0.047	0.432	4.222	2.910E-03
H3088A11	Mm.173258		Mus musculus transcribed sequences	0.194	0.209	-0.375	0.192	4.439	3.015E-03
H3016F04	Mm.44179	Ddx31	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 31	0.108	0.235	-0.381	0.054	4.907	3.029E-03
H3146G09	Mm.117112	Usp27x	ubiquitin specific protease 27, X chromosome	0.232	0.163	-0.444	0.221	5.239	3.029E-03
H3084H10	Mm.23998	9430020E02Rik	RIKEN cDNA 9430020E02 gene	0.506	0.201	-0.066	0.194	4.509	3.030E-03
P709	Mm.248360	Anxa1	annexin A1	1.243	0.717	-0.200	0.303	4.379	3.046E-03
H3019A12	Mm.276389	Hmox1	heme oxygenase (decycling) 1	1.207	0.212	0.105	0.343	5.732	3.070E-03
T372	Mm.27254	Enpp1	ectonucleotide pyrophosphatase/phosphodiesterase 1	1.304	0.740	-0.196	0.359	4.268	3.092E-03
H3078A05	Mm.21687	0610025L06Rik	RIKEN cDNA 0610025L06 gene	1.279	0.227	-0.154	0.426	6.171	3.099E-03
H3040F11	Mm.30241	Ifi30	interferon gamma inducible protein 30	0.979	0.399	0.151	0.222	4.196	3.111E-03
H3056F03	Mm.243797	4930579A11Rik	RIKEN cDNA 4930579A11 gene	1.446	0.607	-0.247	0.576	4.458	3.118E-03
H3117C02	Mm.290015	Nusap1	nucleolar and spindle associated protein 1	1.323	0.681	-0.044	0.307	4.306	3.143E-03
H3015E01	Mm.253902	C030004C14Rik	RIKEN cDNA C030004C14 gene	0.749	0.218	-0.281	0.329	5.504	3.149E-03
H3012G12	Mm.229108	Pik3cd	phosphatidylinositol 3-kinase catalytic delta polypeptide	0.858	0.213	0.175	0.233	4.695	3.154E-03
H3057B02			EST	0.942	0.405	0.096	0.075	4.984	3.175E-03
H3144E04	Mm.29159	Pnrc2	proline-rich nuclear receptor coactivator 2	0.753	0.418	-0.087	0.201	4.247	3.206E-03
H3096G05	Mm.259234		Mus musculus, Similar to alpha-2-macroglobulin, clone IMAGE:4923572, mRNA	1.359	0.833	-0.301	0.341	4.362	3.211E-03
H3012C03	Mm.19142	Cappa1	capping protein alpha 1	0.794	0.456	-0.114	0.185	4.368	3.224E-03
H3026G05	Mm.87773	Tra1	tumor rejection antigen gp96	1.021	0.497	0.036	0.201	4.353	3.295E-03
H3013D11	Mm.147226	Mt2	metallothionein 2	1.899	0.895	0.065	0.194	4.851	3.313E-03
H3146G12	Mm.314246		Mus musculus transcribed sequence with moderate similarity to protein ref:NP_055153.1 (H.sapiens)  phosphatidylserine decarboxylase [Homo sapiens]	0.415	0.292	-0.163	0.127	4.279	3.365E-03
H3080H09	Mm.279437	Cfdp	craniofacial development protein 1	0.501	0.221	-0.043	0.183	4.235	3.380E-03
H3146D04	Mm.24248	Msl31	male-specific lethal-3 homolog 1 (Drosophila)	0.734	0.428	-0.115	0.142	4.495	3.387E-03
H3028F11	Mm.249110	Snrpe	small nuclear ribonucleoprotein E	0.346	0.166	0.016	0.049	4.588	3.442E-03
T227	Mm.272602	Cebpd	CCAAT/enhancer binding protein (C/EBP), delta	1.393	0.760	-0.121	0.218	4.605	3.447E-03
H3136D01	Mm.19804	Spg4	spastic paraplegia 4 homolog (human)	0.457	0.262	-0.334	0.276	4.533	3.489E-03
H3058H08	Mm.127156	Pros1	protein S (alpha)	1.142	0.541	0.062	0.146	4.642	3.491E-03
N827	Mm.281691	Sfrp1	secreted frizzled-related sequence protein 1	2.398	0.368	1.107	0.445	4.804	3.523E-03
T150	Mm.4848	Fyn	Fyn proto-oncogene	0.933	0.512	-0.094	0.124	4.712	3.524E-03
H3101C02	Mm.284587	2700084L22Rik	RIKEN cDNA 2700084L22 gene	1.189	0.758	-0.292	0.291	4.336	3.541E-03
H3094A10	Mm.296103		Mus musculus hypothetical LOC269515 (LOC269515), mRNA	0.618	0.275	0.047	0.168	4.075	3.570E-03
H3081H01	Mm.28355	Lrrc8	leucine-rich repeat-containing 8	1.013	0.510	0.018	0.201	4.302	3.592E-03
H3070A09	Mm.757	Arha	ras homolog gene family, member A	0.752	0.360	0.045	0.111	4.508	3.593E-03
