Affymetrix probe ID	Gene ID	Gene symbol	Gene name	MSI vs. MSS
229900_at	AL576908	CD109	CD109 molecule	Up
230012_at	AW574774	C17orf44	chromosome 17 open reading frame 44	Up
230024_at	AI183453	AARS2	alanyl-tRNA synthetase 2, mitochondrial (putative)	Up
230093_at	AI683428	RSPH1	radial spoke head 1 homolog (Chlamydomonas)	Up
230134_s_at	BF972355	RC3H2	ring finger and CCCH-type zinc finger domains 2	Up
230263_s_at	BF447954	DOCK5	dedicator of cytokinesis 5	Up
230391_at	BF439449	NA	NA	Up
230422_at	AW026543	FPRL2	formyl peptide receptor-like 2	Up
230706_s_at	AI084921	CAMK2N2	calcium/calmodulin-dependent protein kinase II inhibitor 2	Up
230925_at	AI093231	APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	Up
231002_s_at	AA778438	RABEP1	rabaptin, RAB GTPase binding effector protein 1	Up
231944_at	AL045717	GPR137B	G protein-coupled receptor 137B	Up
232095_at	BG109134	SRGAP2P1	SLIT-ROBO Rho GTPase activating protein 2 pseudogene 1	Up
232581_x_at	AB046775	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	Up
234140_s_at	AK023369	STIM2	stromal interaction molecule 2	Up
235024_at	AI868315	PHF17	PHD finger protein 17	Up
235048_at	AV720650	KIAA0888	KIAA0888 protein	Up
235117_at	AI191897	CHAC2	ChaC, cation transport regulator homolog 2 (E. coli)	Up
235177_at	AI625022	FAM119A	family with sequence similarity 119, member A	Up
235244_at	BF001285	CCDC58	coiled-coil domain containing 58	Up
235439_at	AL536268	FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	Up
235472_at	AI147738	FUT10	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	Up
235516_at	AI038867	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	Up
235566_at	AW591660	TMF1	TATA element modulatory factor 1	Up
235918_x_at	AL559474	NA	NA	Up
236016_at	AI702962	NA	NA	Up
236075_s_at	AI693543	ZNF169	zinc finger protein 169	Up
236384_at	BE675101	ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	Up
236706_at	AI141062	LYG1	lysozyme G-like 1	Up
237706_at	AW237225	STXBP4	syntaxin binding protein 4	Up
238327_at	AI962367	LOC440836	similar to MGC52679 protein	Up
238542_at	AA831769	ULBP2	UL16 binding protein 2	Up
238567_at	AW779536	SGPP2	sphingosine-1-phosphate phosphotase 2	Up
238590_x_at	BF981428	TMEM107	transmembrane protein 107	Up
239694_at	AA527412	TRIM7	tripartite motif-containing 7	Up
240042_at	BF439289	FIBCD1	fibrinogen C domain containing 1	Up
242594_at	AI889584	FAM44A	family with sequence similarity 44, member A	Up
243299_at	AW167087	VRK2	vaccinia related kinase 2	Up
243603_at	AI973041	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	Up
244052_at	AI469277	CBR4	carbonyl reductase 4	Up
244110_at	BE669782	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	Up
244189_at	AI888657	KIAA1648	KIAA1648 protein	Up
244811_at	AI561173	IRAK1BP1	interleukin-1 receptor-associated kinase 1 binding protein 1	Up
33304_at	U88964	ISG20	interferon stimulated exonuclease gene 20kDa	Up
35201_at	X16135	HNRNPL	heterogeneous nuclear ribonucleoprotein L	Up
36564_at	W27419	RNF19B	ring finger protein 19B	Up
37145_at	M85276	GNLY	granulysin	Up
64474_g_at	AA203219	DGCR8	DiGeorge syndrome critical region gene 8	Up
AFFX-HUMISGF3A/M97935_ MA_at	AFFX-HUMISGF3A/ M97935_MA	STAT1	signal transducer and activator of transcription 1, 91kDa	Up
AFFX-HUMISGF3A/M97935_ MB_at	AFFX-HUMISGF3A/ M97935_MB	STAT1	signal transducer and activator of transcription 1, 91kDa	Up
201024_x_at	BG261322	EIF5B	eukaryotic translation initiation factor 5B	Down
201074_at	AA593983	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	Down
201279_s_at	BC003064	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	Down
201280_s_at	NM_001343	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	Down
201321_s_at	NM_003075	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	Down
201424_s_at	NM_003589	CUL4A	cullin 4A	Down
201466_s_at	NM_002228	JUN	jun oncogene	Down
201506_at	NM_000358	TGFBI	transforming growth factor, beta-induced, 68kDa	Down
201884_at	NM_004363	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	Down
201915_at	AI806665	SEC63	SEC63 homolog (S. cerevisiae)	Down
202262_x_at	NM_013974	DDAH2	dimethylarginine dimethylaminohydrolase 2	Down
202423_at	NM_006766	MYST3	MYST histone acetyltransferase (monocytic leukemia) 3	Down
202449_s_at	NM_002957	RXRA	retinoid X receptor, alpha	Down
202458_at	NM_007173	PRSS23	protease, serine, 23	Down
202520_s_at	NM_000249	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	Down
202565_s_at	NM_003174	SVIL	supervillin	Down
202720_at	NM_015641	TES	testis derived transcript (3 LIM domains)	Down
202729_s_at	NM_000627	LTBP1	latent transforming growth factor beta binding protein 1	Down
202744_at	NM_006749	SLC20A2	solute carrier family 20 (phosphate transporter), member 2	Down
202760_s_at	NM_007203	PALM2-AKAP2	PALM2-AKAP2 protein	Down
202903_at	AU153477	LSM5	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Down
202909_at	NM_014805	EPM2AIP1	EPM2A (laforin) interacting protein 1	Down
202924_s_at	AL562280	PLAGL2	pleiomorphic adenoma gene-like 2	Down
202984_s_at	AA457021	BAG5	BCL2-associated athanogene 5	Down
203008_x_at	NM_005783	TXNDC9	thioredoxin domain containing 9	Down
203048_s_at	BE566023	KIAA0372	KIAA0372	Down
203049_s_at	NM_014639	KIAA0372	KIAA0372	Down
203227_s_at	NM_005981	TSPAN31	tetraspanin 31	Down
203231_s_at	AW235612	ATXN1	ataxin 1	Down
203315_at	BC000103	NCK2	NCK adaptor protein 2	Down
203318_s_at	NM_021964	ZNF148	zinc finger protein 148	Down
203423_at	NM_002899	RBP1	retinol binding protein 1, cellular	Down
203559_s_at	NM_001091	ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	Down
203628_at	H05812	IGF1R	insulin-like growth factor 1 receptor	Down
203642_s_at	NM_014900	COBLL1	COBL-like 1	Down
203692_s_at	AI640363	E2F3	E2F transcription factor 3	Down
203775_at	NM_014251	SLC25A13	solute carrier family 25, member 13 (citrin)	Down
203896_s_at	NM_000933	PLCB4	phospholipase C, beta 4	Down
203943_at	NM_004798	KIF3B	kinesin family member 3B	Down
203954_x_at	NM_001306	CLDN3	claudin 3	Down
204020_at	BF739943	PURA	purine-rich element binding protein A	Down
204039_at	NM_004364	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	Down
204044_at	NM_014298	QPRT	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	Down
204048_s_at	AA551142	PHACTR2	phosphatase and actin regulator 2	Down
204049_s_at	NM_014721	PHACTR2	phosphatase and actin regulator 2	Down
204130_at	NM_000196	HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2	Down
204214_s_at	NM_006834	RAB32	RAB32, member RAS oncogene family	Down
204352_at	NM_004619	TRAF5	TNF receptor-associated factor 5	Down
204516_at	BG390306	ATXN7	ataxin 7	Down
204579_at	NM_002011	FGFR4	fibroblast growth factor receptor 4	Down
204607_at	NM_005518	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	Down
204630_s_at	NM_004871	GOSR1	golgi SNAP receptor complex member 1	Down
204710_s_at	NM_016003	WIPI2	WD repeat domain, phosphoinositide interacting 2	Down
204783_at	AI911434	MLF1	myeloid leukemia factor 1	Down
205043_at	NM_000492	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	Down
205097_at	AI025519	SLC26A2	solute carrier family 26 (sulfate transporter), member 2	Down
205105_at	NM_002372	MAN2A1	mannosidase, alpha, class 2A, member 1	Down
205134_s_at	AW593143	NUFIP1	nuclear fragile X mental retardation protein interacting protein 1	Down
205239_at	NM_001657	AREG	amphiregulin (schwannoma-derived growth factor)	Down
205311_at	NM_000790	DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	Down
205405_at	NM_003966	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	Down
205549_at	NM_006198	PCP4	Purkinje cell protein 4	Down
205594_at	NM_014897	ZNF652	zinc finger protein 652	Down
205767_at	NM_001432	EREG	epiregulin	Down
205799_s_at	M95548	SLC3A1	solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	Down
205807_s_at	NM_020127	TUFT1	tuftelin 1	Down
205854_at	AK024246	TULP3	tubby like protein 3	Down
205887_x_at	NM_002439	MSH3	mutS homolog 3 (E. coli)	Down
205892_s_at	NM_001443	FABP1	fatty acid binding protein 1, liver	Down
205983_at	NM_004413	DPEP1	dipeptidase 1 (renal)	Down
206143_at	NM_000111	SLC26A3	solute carrier family 26, member 3	Down
206169_x_at	NM_025013	ZC3H7B	zinc finger CCCH-type containing 7B	Down
206239_s_at	NM_003122	SPINK1	serine peptidase inhibitor, Kazal type 1	Down
206268_at	NM_020997	LEFTY1	left-right determination factor 1	Down
206286_s_at	NM_003212	TDGF1	teratocarcinoma-derived growth factor 1	Down
206324_s_at	NM_014326	DAPK2	death-associated protein kinase 2	Down
206387_at	U51096	CDX2	caudal type homeobox 2	Down
206567_s_at	NM_016436	PHF20	PHD finger protein 20	Down
206747_at	NM_014696	GPRIN2	G protein regulated inducer of neurite outgrowth 2	Down
206754_s_at	NM_000767	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6	Down
206918_s_at	NM_003915	CPNE1	copine I	Down
206976_s_at	NM_006644	HSPH1	heat shock 105kDa/110kDa protein 1	Down
207202_s_at	NM_003889	NR1I2	nuclear receptor subfamily 1, group I, member 2	Down
207320_x_at	NM_004602	STAU1	staufen, RNA binding protein, homolog 1 (Drosophila)	Down
207436_x_at	NM_014896	KIAA0894	KIAA0894 protein	Down
207457_s_at	NM_021246	LY6G6D	lymphocyte antigen 6 complex, locus G6D	Down
207625_s_at	NM_005093	CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	Down
207746_at	NM_014125	POLQ	polymerase (DNA directed), theta	Down
207971_s_at	NM_015147	CEP68	centrosomal protein 68kDa	Down
208022_s_at	NM_003671	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	Down
208029_s_at	NM_018407	LAPTM4B	lysosomal associated protein transmembrane 4 beta	Down
208121_s_at	NM_002848	PTPRO	protein tyrosine phosphatase, receptor type, O	Down
208238_x_at	NM_013344	NA	NA	Down
208744_x_at	BG403660	HSPH1	heat shock 105kDa/110kDa protein 1	Down
208767_s_at	AW149681	LAPTM4B	lysosomal associated protein transmembrane 4 beta	Down
208937_s_at	D13889	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	Down
208944_at	D50683	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	Down
208948_s_at	BC000830	STAU1	staufen, RNA binding protein, homolog 1 (Drosophila)	Down
209079_x_at	AF152318	PCDHGA1	protocadherin gamma subfamily A, 1	Down
209318_x_at	BG547855	PLAGL1	pleiomorphic adenoma gene-like 1	Down
209422_at	AL109965	PHF20	PHD finger protein 20	Down
209425_at	AA888589	AMACR	alpha-methylacyl-CoA racemase	Down
209426_s_at	AF047020	AMACR	alpha-methylacyl-CoA racemase	Down
209448_at	BC002439	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	Down
209781_s_at	AF069681	KHDRBS3	KH domain containing, RNA binding, signal transduction associated 3	Down
209805_at	U14658	PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Down
209815_at	BG054916	PTCH1	patched homolog 1 (Drosophila)	Down
210241_s_at	AB007458	TP53AP1	TP53 activated protein 1	Down
210347_s_at	AF080216	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	Down
210757_x_at	AF188298	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	Down
210968_s_at	AF333336	RTN4	reticulon 4	Down
211066_x_at	BC006439	PCDHGC3	protocadherin gamma subfamily C, 3	Down
211758_x_at	BC005968	TXNDC9	thioredoxin domain containing 9	Down
212043_at	W72053	TGOLN2	trans-golgi network protein 2	Down
212062_at	AB014511	ATP9A	ATPase, Class II, type 9A	Down
212151_at	BF967998	PBX1	pre-B-cell leukemia homeobox 1	Down
212190_at	AL541302	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	Down
212329_at	D83782	SCAP	SREBF chaperone	Down
212473_s_at	BE965029	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	Down
212483_at	AW339587	NIPBL	Nipped-B homolog (Drosophila)	Down
212571_at	U00955	CHD8	chromodomain helicase DNA binding protein 8	Down
212583_at	AB011132	AQR	aquarius homolog (mouse)	Down
212594_at	AI185160	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	Down
212599_at	AK025298	AUTS2	autism susceptibility candidate 2	Down
212604_at	AI937794	MRPS31	mitochondrial ribosomal protein S31	Down
212638_s_at	BF131791	WWP1	WW domain containing E3 ubiquitin protein ligase 1	Down
212898_at	AB007866	KIAA0406	KIAA0406	Down
212973_at	AI692341	RPIA	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	Down
213037_x_at	AJ132258	STAU1	staufen, RNA binding protein, homolog 1 (Drosophila)	Down
213169_at	BG109855	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	Down
213198_at	AL117643	ACVR1B	activin A receptor, type IB	Down
213307_at	AF131790	SHANK2	SH3 and multiple ankyrin repeat domains 2	Down
213308_at	BF435773	SHANK2	SH3 and multiple ankyrin repeat domains 2	Down
213351_s_at	AB018322	TMCC1	transmembrane and coiled-coil domain family 1	Down
213369_at	AI825832	PCDH21	protocadherin 21	Down
213385_at	AK026415	CHN2	chimerin (chimaerin) 2	Down
213478_at	AB028949	KIAA1026	kazrin	Down
213546_at	AL050378	DKFZp586I1420	hypothetical protein DKFZp586I1420	Down
213558_at	AB011131	PCLO	piccolo (presynaptic cytomatrix protein)	Down
213619_at	AV753392	HNRPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	Down
213725_x_at	AI693140	XYLT1	xylosyltransferase I	Down
213742_at	AW241752	SFRS11	splicing factor, arginine/serine-rich 11	Down
213812_s_at	AK024748	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	Down
213953_at	AI732381	KRT20	keratin 20	Down
214039_s_at	T15777	LAPTM4B	lysosomal associated protein transmembrane 4 beta	Down
214043_at	BF062299	PTPRD	protein tyrosine phosphatase, receptor type, D	Down
214070_s_at	AW006935	ATP10B	ATPase, Class V, type 10B	Down
214156_at	AL050090	MYRIP	myosin VIIA and Rab interacting protein	Down
214722_at	AW516297	NOTCH2NL	Notch homolog 2 (Drosophila) N-terminal like	Down
214743_at	BE046521	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)	Down
214761_at	AW149417	ZNF423	zinc finger protein 423	Down
214909_s_at	AK026191	DDAH2	dimethylarginine dimethylaminohydrolase 2	Down
215111_s_at	AK027071	TSC22D1	TSC22 domain family, member 1	Down
215250_at	AU147317	TMEM111	transmembrane protein 111	Down
215425_at	AL049332	BTG3	BTG family, member 3	Down
215537_x_at	AJ012008	DDAH2	dimethylarginine dimethylaminohydrolase 2	Down
215588_x_at	AK024958	RIOK3	RIO kinase 3 (yeast)	Down
215596_s_at	AL163248	ZNF294	zinc finger protein 294	Down
215657_at	AK025044	SLC26A3	solute carrier family 26, member 3	Down
215693_x_at	AL512707	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	Down
215703_at	W60595	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	Down
215779_s_at	BE271470	HIST1H2BG	histone cluster 1, H2bg	Down
215888_at	AK026889	PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	Down
217094_s_at	AL109923	ITCH	itchy homolog E3 ubiquitin protein ligase (mouse)	Down
217801_at	NM_006886	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	Down
217810_x_at	NM_020117	LARS	leucyl-tRNA synthetase	Down
217835_x_at	NM_018840	C20orf24	chromosome 20 open reading frame 24	Down
217875_s_at	NM_020182	TMEPAI	transmembrane, prostate androgen induced RNA	Down
218100_s_at	NM_018010	IFT57	intraflagellar transport 57 homolog (Chlamydomonas)	Down
218101_s_at	NM_004549	NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	Down
218137_s_at	NM_021940	SMAP1	stromal membrane-associated protein 1	Down
218237_s_at	NM_030674	SLC38A1	solute carrier family 38, member 1	Down
218330_s_at	NM_018162	NAV2	neuron navigator 2	Down
218345_at	NM_018487	TMEM176A	transmembrane protein 176A	Down
218532_s_at	NM_019000	FAM134B	family with sequence similarity 134, member B	Down
218678_at	NM_024609	NES	nestin	Down
218698_at	NM_015957	APIP	APAF1 interacting protein	Down
218704_at	NM_017763	RNF43	ring finger protein 43	Down
218806_s_at	AF118887	VAV3	vav 3 guanine nucleotide exchange factor	Down
218807_at	NM_006113	VAV3	vav 3 guanine nucleotide exchange factor	Down
218829_s_at	NM_017780	CHD7	chromodomain helicase DNA binding protein 7	Down
218963_s_at	NM_015515	KRT23	keratin 23 (histone deacetylase inducible)	Down
218968_s_at	NM_018197	ZFP64	zinc finger protein 64 homolog (mouse)	Down
219013_at	NM_022087	GALNT11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	Down
219108_x_at	NM_017895	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	Down
219109_at	NM_024532	SPAG16	sperm associated antigen 16	Down
219221_at	NM_024724	ZBTB38	zinc finger and BTB domain containing 38	Down
219383_at	NM_024841	FLJ14213	hypothetical protein FLJ14213	Down
219392_x_at	NM_018304	PRR11	proline rich 11	Down
219471_at	NM_025113	C13orf18	chromosome 13 open reading frame 18	Down
219496_at	NM_023016	ANKRD57	ankyrin repeat domain 57	Down
219618_at	NM_016123	IRAK4	interleukin-1 receptor-associated kinase 4	Down
219956_at	NM_007210	GALNT6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	Down
219957_at	NM_017987	RUFY2	RUN and FYVE domain containing 2	Down
220041_at	NM_025163	PIGZ	phosphatidylinositol glycan anchor biosynthesis, class Z	Down
220056_at	NM_021258	IL22RA1	interleukin 22 receptor, alpha 1	Down
220082_at	NM_017726	PPP1R14D	protein phosphatase 1, regulatory (inhibitor) subunit 14D	Down
220113_x_at	NM_019014	POLR1B	polymerase (RNA) I polypeptide B, 128kDa	Down
220161_s_at	NM_019114	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	Down
220349_s_at	NM_022759	FLJ21865	endo-beta-N-acetylglucosaminidase	Down
220376_at	NM_022901	LRRC19	leucine rich repeat containing 19	Down
220532_s_at	NM_014020	TMEM176B	transmembrane protein 176B	Down
220612_at	NM_014135	C3orf26	chromosome 3 open reading frame 26	Down
220645_at	NM_017678	FAM55D	family with sequence similarity 55, member D	Down
220720_x_at	NM_025029	FAM128B	family with sequence similarity 128, member B	Down
220936_s_at	NM_018267	H2AFJ	H2A histone family, member J	Down
220952_s_at	NM_019012	PLEKHA5	pleckstrin homology domain containing, family A member 5	Down
221021_s_at	NM_030877	CTNNBL1	catenin, beta like 1	Down
221191_at	NM_018991	DKFZP434A0131	DKFZp434A0131 protein	Down
221221_s_at	NM_017415	KLHL3	kelch-like 3 (Drosophila)	Down
221499_s_at	AK026970	STX16	syntaxin 16	Down
221555_x_at	AU145941	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	Down
221780_s_at	AF336851	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	Down
221830_at	AI302106	RAP2A	RAP2A, member of RAS oncogene family	Down
221922_at	AW195581	GPSM2	G-protein signaling modulator 2 (AGS3-like, C. elegans)	Down
222072_at	AW450360	NA	NA	Down
222244_s_at	AK000749	TUG1	taurine upregulated gene 1	Down
222245_s_at	AF218012	FER1L4	fer-1-like 4 (C. elegans)	Down
222251_s_at	AL133646	GMEB2	glucocorticoid modulatory element binding protein 2	Down
222284_at	AI734111	SIPA1L3	signal-induced proliferation-associated 1 like 3	Down
222357_at	AW974823	ZBTB20	zinc finger and BTB domain containing 20	Down
222380_s_at	AI907083	PDCD6	programmed cell death 6	Down
222449_at	AL035541	TMEPAI	transmembrane, prostate androgen induced RNA	Down
222450_at	AL035541	TMEPAI	transmembrane, prostate androgen induced RNA	Down
222696_at	BF684446	AXIN2	axin 2 (conductin, axil)	Down
222891_s_at	AI912275	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	Down
222938_x_at	AI685421	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	Down
223094_s_at	AF274753	ANKH	ankylosis, progressive homolog (mouse)	Down
223232_s_at	AI768894	CGN	cingulin	Down
223253_at	BC000686	EPDR1	ependymin related protein 1 (zebrafish)	Down
223366_at	BC004287	NA	NA	Down
223427_s_at	AB032179	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	Down
223594_at	AL136855	TMEM117	transmembrane protein 117	Down
223724_s_at	BC002581	LOC442582	STAG3-like	Down
223757_at	AF305836	DIO3OS	deiodinase, iodothyronine, type III opposite strand	Down
223824_at	BC005364	C10orf59	chromosome 10 open reading frame 59	Down
224392_s_at	AF303588	OPN3	opsin 3 (encephalopsin, panopsin)	Down
224412_s_at	AF350881	TRPM6	transient receptor potential cation channel, subfamily M, member 6	Down
224910_at	AL575747	CARHSP1	calcium regulated heat stable protein 1, 24kDa	Down
224943_at	AI580162	BTBD7	BTB (POZ) domain containing 7	Down
224955_at	AI590088	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	Down
224959_at	AI718385	SLC26A2	solute carrier family 26 (sulfate transporter), member 2	Down
225073_at	NM_016488	PPHLN1	periphilin 1	Down
225211_at	AW139723	PVRL1	poliovirus receptor-related 1 (herpesvirus entry mediator C)	Down
225219_at	BF526175	SMAD5	SMAD family member 5	Down
225245_x_at	BG386566	H2AFJ	H2A histone family, member J	Down
225276_at	AA143579	NA	NA	Down
225496_s_at	N21426	SYTL2	synaptotagmin-like 2	Down
225498_at	AV713673	CHMP4B	chromatin modifying protein 4B	Down
225841_at	BE502436	C1orf59	chromosome 1 open reading frame 59	Down
225915_at	AL138875	CAB39L	calcium binding protein 39-like	Down
226000_at	AI423056	CTTNBP2NL	CTTNBP2 N-terminal like	Down
226029_at	AB033041	VANGL2	vang-like 2 (van gogh, Drosophila)	Down
226249_at	AI674625	SNX30	sorting nexin family member 30	Down
226252_at	AA058578	NA	NA	Down
226279_at	AW471145	PRSS23	protease, serine, 23	Down
226424_at	AI683754	CAPS	calcyphosine	Down
226444_at	AI700476	SLC39A10	solute carrier family 39 (zinc transporter), member 10	Down
226554_at	AW445134	ZBTB7A	zinc finger and BTB domain containing 7A	Down
226622_at	AW084511	MUC20	mucin 20, cell surface associated	Down
226654_at	AF147790	MUC12	mucin 12, cell surface associated	Down
226783_at	AI762154	AGXT2L2	alanine-glyoxylate aminotransferase 2-like 2	Down
226961_at	AI347918	PRR15	proline rich 15	Down
227001_at	AI096706	NPAL2	NIPA-like domain containing 2	Down
227034_at	BE669553	ANKRD57	ankyrin repeat domain 57	Down
227098_at	BC004110	DUSP18	dual specificity phosphatase 18	Down
227112_at	AW270037	TMCC1	transmembrane and coiled-coil domain family 1	Down
227121_at	BF476076	NA	NA	Down
227195_at	AA603467	ZNF503	zinc finger protein 503	Down
227393_at	AW084755	TMEM16J	transmembrane protein 16J	Down
227404_s_at	AI459194	EGR1	early growth response 1	Down
227450_at	AI051248	ERP27	endoplasmic reticulum protein 27 kDa	Down
227629_at	AA843963	PRLR	prolactin receptor	Down
227642_at	AI928242	TFCP2L1	transcription factor CP2-like 1	Down
227655_at	AI631964	NA	NA	Down
227847_at	BF432224	EPM2AIP1	EPM2A (laforin) interacting protein 1	Down
227867_at	AA005361	LOC129293	hypothetical protein LOC129293	Down
227959_at	AW138815	NA	NA	Down
227970_at	AK026883	GPR157	G protein-coupled receptor 157	Down
227994_x_at	AA548838	C20orf149	chromosome 20 open reading frame 149	Down
227996_at	BF725250	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	Down
228030_at	AI041522	RBM6	RNA binding motif protein 6	Down
228443_s_at	AI127452	SETD8	SET domain containing (lysine methyltransferase) 8	Down
228498_at	AV687517	NA	NA	Down
228541_x_at	AI049608	LOC400446	hypothetical gene supported by AK098314	Down
228545_at	AI016784	ZNF148	zinc finger protein 148	Down
228562_at	N29918	NA	NA	Down
228568_at	AI926697	Gcom1	GRINL1A combined protein	Down
228912_at	AI436136	VIL1	villin 1	Down
228927_at	AW291411	ZNF397	zinc finger protein 397	Down
229341_at	AW195353	TFCP2L1	transcription factor CP2-like 1	Down
229396_at	AA588400	OVOL1	ovo-like 1(Drosophila)	Down
229427_at	BF940761	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	Down
229520_s_at	BF060678	C14orf118	chromosome 14 open reading frame 118	Down
229528_at	AI670935	LOC283378	hypothetical protein LOC283378	Down
229660_at	AI240553	C16orf55	chromosome 16 open reading frame 55	Down
229801_at	AI640157	C10orf47	chromosome 10 open reading frame 47	Down
229841_at	BF223464	NA	NA	Down
230043_at	AI168678	NA	NA	Down
230270_at	N32872	PRPF38B	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	Down
230461_s_at	AI860326	MUM1	melanoma associated antigen (mutated) 1	Down
230502_s_at	BE501966	LOC149832	hypothetical protein LOC149832	Down
230624_at	AW779950	SLC25A27	solute carrier family 25, member 27	Down
230958_s_at	BE670797	NA	NA	Down
231034_s_at	AI871589	NHSL1	NHS-like 1	Down
231238_at	AW294793	SLC35E4	solute carrier family 35, member E4	Down
231341_at	BE670584	SLC35D3	solute carrier family 35, member D3	Down
231439_at	AA922936	FAM84A	family with sequence similarity 84, member A	Down
231693_at	AV655991	FABP1	fatty acid binding protein 1, liver	Down
232012_at	AV691296	CAPN1	calpain 1, (mu/I) large subunit	Down
232136_s_at	AB051545	CTTNBP2	cortactin binding protein 2	Down
232203_at	AA554714	NA	NA	Down
232489_at	AK001149	CCDC76	coiled-coil domain containing 76	Down
232525_at	AK025082	SND1	staphylococcal nuclease and tudor domain containing 1	Down
232541_at	AK000106	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	Down
232579_at	AK026372	NA	NA	Down
232583_at	AW136457	NCK2	NCK adaptor protein 2	Down
232597_x_at	AK025132	SFRS2IP	splicing factor, arginine/serine-rich 2, interacting protein	Down
232929_at	AU154942	ZBTB20	zinc finger and BTB domain containing 20	Down
233112_at	AW301393	C9orf150	chromosome 9 open reading frame 150	Down
233214_at	AK021962	KLHL23	kelch-like 23 (Drosophila)	Down
