Ac.NUM.	Leydigvs.Serous	Leydigvs.Normal	Gene	Gene function
AA233185	4.41	5.84	IGFBP1	insulin-like growth factor binding protein 1
AA598601	0.42	0.27	IGFBP3	insulin-like growth factor binding protein 3
AA022666	0.41	0.44	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
AA054754	0.43	0.4	IL15RA	interleukin 15 receptor, alpha
AA132964	2.27	14.96	IL22RA1	interleukin 22 receptor, alpha 1
R26046	2.37	2.07	ILF3	interleukin enhancer binding factor 3, 90kDa
W72892	2.27	3.1	INPP4A	inositol polyphosphate-4-phosphatase, type I, 107kDa
R94222	0.4	0.37	INPP5E	inositol polyphosphate-5-phosphatase, 72 kDa
H59620	0.43	0.41	INSIG1	insulin induced gene 1
AA598496	0.34	0.47	IQGAP1	IQ motif containing GTPase activating protein 1
T49557	2.79	2.86	IREB2	iron-responsive element binding protein 2
AA291389	2.47	3.26	ISGF3G	interferon-stimulated transcription factor 3, gamma 48kDa
AA156873	0.48	0.48	ITGA1	integrin, alpha 1
AA463257	3.71	4.26	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
R06580	5.53	14.14	ITIH2	inter-alpha (globulin) inhibitor, H2 polypeptide
T67884	3.29	6.47	ITIH3	pre-alpha (globulin) inhibitor, H3 polypeptide
AA035450	0.39	0.18	ITPR1	inositol 1,4,5-triphosphate receptor, type 1
AA701976	2.12	2.57	ITPR3	inositol 1,4,5-triphosphate receptor, type 3
AA521347	0.49	0.41	JJAZ1	joined to JAZF1
AA010182	2.05	3.37	K6IRS4	keratin 6 irs4
AA490243	0.32	0.42	KAT3	kynurenine aminotransferase III
T72562	2.59	2.59	KBTBD6	kelch repeat and BTB (POZ) domain containing 6
H08720	2.88	4.39	KCNJ10	potassium inwardly-rectifying channel, subfamily J, member 10
AI298560	2.74	2.64	KCNMB3	potassium large conductance calcium-activated channel, subfamily M beta member 3
N29840	0.27	0.27	KCTD10	potassium channel tetramerisation domain containing 10
H19105	2.16	2.08	KCTD4	potassium channel tetramerisation domain containing 4
AA485911	0.47	0.2	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor2
AA626867	2.72	3.3	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor2
N21621	2.19	2.76	KHSRP	KH-type splicing regulatory protein (FUSE binding protein 2)
AA504625	0.3	0.28	KIF11	kinesin family member 11
H99317	4.4	7.6	KIS	kinase interacting with leukemia-associated gene (stathmin)
AA477283	0.3	0.39	KLK11	kallikrein 11
AA401397	0.29	0.43	KLK13	kallikrein 13
AA195023	0.47	0.43	KLRB1	killer cell lectin-like receptor subfamily B, member 1
AA397819	2.34	2.94	KLRK1	killer cell lectin-like receptor subfamily K, member 1
AA668178	2.87	3	KPNA3	karyopherin alpha 3 (importin alpha 4)
AA009596	2.51	4.63	KPNA6	karyopherin alpha 6 (importin alpha 7)
AA251527	3.36	4.28	KPNB1	karyopherin (importin) beta
AA706022	0.47	0.28	KRT1	keratin 1 (epidermolytic hyperkeratosis)
AA664179	3.16	2.51	KRT18	keratin 18
AA485959	2.33	3.84	KRT7	keratin 7
AA598517	2.15	4.1	KRT8	keratin 8
AA055833	0.4	0.41	KRTAP132	keratin associated protein 13-2
H87471	2.12	2.09	KYNU	kynureninase (L-kynurenine hydrolase)
R59621	2.42	3.39	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)
AA477227	5.36	4.3	LASS2	LAG1 longevity assurance homolog 2 (S. cerevisiae)
AA099136	0.37	0.26	LBR	lamin B receptor
AI033178	2.15	2.05	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of76kDa)
AA497029	2.62	2.05	LDHA	lactate dehydrogenase A
H51066	0.13	0.14	LEPR	leptin receptor
AA706870	0.49	0.26	LGALS13	lectin, galactoside-binding, soluble, 13 (galectin 13)
AA131466	0.47	0.21	LIFR	leukemia inhibitory factor receptor
AA432103	0.42	0.36	LIM	LIM protein (similar to rat protein kinase C-binding enigma)
AA443846	2.73	3.78	LIM	LIM protein (similar to rat protein kinase C-binding enigma)
AA024832	3.49	5.22	LIMS1	LIM and senescent cell antigen-like domains 1
AA625666	2.13	2.62	LITAF	lipopolysaccharide-induced TNF factor
AA446103	4.6	5.25	LMAN1	lectin, mannose-binding, 1
H27986	0.21	0.18	LMO4	LIM domain only 4
AA416911	0.46	0.32	LIPI	Lipase, member I
N59432	2.04	2.86	LOC55971	BAI1-associated protein 2-like 1
T41024	2.04	4.07	LOC56902	Putatative 28 kDa protein
AA016001	0.32	0.25	LOC58486	Transposon-derived Buster1 transposase-like protein gene
AA875893	0.47	0.46	LRPPRC	leucine-rich PPR-motif containing
AA158252	2.48	2.86	LRRC8	leucine rich repeat containing
AA453273	0.47	0.4	LSM5	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)
N70057	7.73	5.27	LST1	leukocyte specific transcript 1
AA465366	0.45	0.16	LTA4H	leukotriene A4 hydrolase
AA026054	0.42	0.41	LYK5	protein kinase LYK5
AA465223	0.35	0.34	M6PR	mannose-6-phosphate receptor (cation dependent)
N63465	0.48	0.39	M96	likely ortholog of mouse metal response element binding transcription factor 2
AA102591	0.49	0.25	MAFG	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)
AA489636	3.04	2.29	MAN1A1	mannosidase, alpha, class 1A, member 1
T73721	0.33	0.28	MAN2B2	mannosidase, alpha, class 2B, member 2
H11270	4.11	3.05	MAN2B2	mannosidase, alpha, class 2B, member 2
AA464623	0.43	0.42	MANBAL	mannosidase, beta A, lysosomal-like
AA011096	0.23	0.3	MAOA	monoamine oxidase A
AI417350	3.11	2.99	MAP1A	microtubule-associated protein 1A
AA053674	0.42	0.28	MAP3K12	mitogen-activated protein kinase kinase kinase 12
R72632	0.41	0.45	MAP3K3	mitogen-activated protein kinase kinase kinase 3
AA404327	2.37	2.48	MAPK14	mitogen-activated protein kinase 14
AA404288	0.33	0.29	MASA	E-1 enzyme
AA521303	0.48	0.5	MAT2B	methionine adenosyltransferase II, beta
AA071473	0.37	0.13	MATN2	matrilin 2
W16832	3.59	3.57	MBNL2	muscleblind-like 2 (Drosophila)
AA460149	5.4	7.29	MBNL3	muscleblind-like 3 (Drosophila)
AA497002	2.62	7.8	MCAM	melanoma cell adhesion molecule
N23406	2.58	2.74	MCF2	MCF.2 cell line derived transforming sequence
N49725	2.19	2.75	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)
H15089	3.34	3.95	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)
AA779401	0.38	0.31	ME3	malic enzyme 3, NADP(+)-dependent, mitochondrial
AA426312	5.43	5.08	MEOX1	mesenchyme homeo box 1
AA422058	3.39	4.65	METTL1	methyltransferase-like 1
AA479954	2.19	2.36	MGC23908	Similar to transcription factor BTF3
AA155913	2.58	3.09	MGP	matrix Gla protein
AA495936	4.12	6.02	MGST1	microsomal glutathione S-transferase 1
AA460270	0.46	0.39	MID1	midline 1 (Opitz/BBB syndrome)
AA431885	0.38	0.35	MKNK1	MAP kinase-interacting serine/threonine kinase 1
N51009	0.48	0.45	MKRN2	makorin, ring finger protein, 2
W56360	0.26	0.37	MLF1	myeloid leukemia factor 1
R33112	4.85	6.18	MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog,Drosophila); translocated to, 4
AA454610	2.4	2.45	MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog,Drosophila); translocated to, 6
AA936799	0.16	0.1	MMP2	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IVcollagenase)
AA476501	0.2	0.24	MNAB	membrane-associated nucleic acid binding protein
AA282938	0.33	0.31	MONDOA	Mlx interactor
AA707083	0.42	0.27	MOSPD1	motile sperm domain containing 1
AA009593	2.97	2.1	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)
H52232	0.36	0.29	MRC2	mannose receptor, C type 2
AA487253	4.07	5.76	MRLC2	myosin regulatory light chain MRLC2
N57555	0.5	0.33	MRPS25	mitochondrial ribosomal protein S25
AA490044	0.31	0.44	MRPS6	mitochondrial ribosomal protein S6
H72723	3.79	6.13	MT1B	metallothionein 1B (functional)
N55459	4.82	7.24	MT1F	metallothionein 1F (functional)
H53340	2.23	7.48	MT1G	metallothionein 1G
R06601	2.43	2.63	MT1K	metallothionein 1K
N71159	5.99	7.31	MTA1	metastasis associated 1
AA459999	0.46	0.39	MTIF3	mitochondrial translational initiation factor 3
AA486770	0.47	0.12	MTPN	myotrophin
AA621202	3.92	3.93	MTUS1	mitochondrial tumor suppressor 1
AA159577	2.53	2.9	MUC5B	mucin 5, subtype B, tracheobronchial
AA663792	2.12	2.04	MUT	methylmalonyl Coenzyme A mutase
AA457042	0.38	0.44	MX1	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78(mouse)
W86100	2.85	4	MYB	v-myb myeloblastosis viral oncogene homolog (avian)
AA464600	2.09	3.03	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
AA609982	0.49	0.46	MYCNOS	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived(avian) opposite strand
AA828221	2.24	2.15	MYH8	myosin, heavy polypeptide 8, skeletal muscle, perinatal
AA487191	0.25	0.24	MYLIP	myosin regulatory light chain interacting protein
AA487215	0.34	0.43	MYLK	myosin, light polypeptide kinase
AA187977	0.41	0.41	MYO10	myosin X
AA488658	6.18	11.75	N2N	similar to NOTCH2 protein
AA411669	0.44	0.36	NAV1	neuron navigator 1
AA465389	0.42	0.4	NCF4	neutrophil cytosolic factor 4, 40kDa
AA461505	2.39	2.18	NCKX6	nuclear receptor coactivator 6 interacting protein
N90109	3.68	11.95	NCL	nucleolin
AA262074	2.45	2.45	NCR3	natural cytotoxicity triggering receptor 3
R43449	3.42	7.38	NDUFAF1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1
AA150435	4.39	3.92	NDUFS1	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa
AA458578	2.2	2.07	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like
AA401883	2.97	3.99	NEU1	sialidase 1 (lysosomal sialidase)
AA394127	0.49	0.45	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
AA633811	3.28	2.68	NFIL3	nuclear factor (erythroid-derived 2)-like 3
W56300	0.38	0.48	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
AA458965	5.07	6.35	NK4	natural killer cell transcript 4
T57859	2.58	2.59	NKG7	natural killer cell group 7 sequence,
AA437224	2.47	2.42	NKX31	NK3 transcription factor related, locus 1 (Drosophila)
AA279762	0.24	0.26	NMI	N-myc (and STAT) interactor
AA056465	2.56	2.2	NONO	non-POU domain containing, octamer-binding
AA877840	0.44	0.36	NOS2A	nitric oxide synthase 2A (inducible, hepatocytes)
R45583	2.01	2.44	NRCAM	neuronal cell adhesion molecule
AA450336	0.38	0.28	NRXN3	neurexin 3
W94009	2.38	5.95	NUCB2	nucleobindin 2
AA425630	0.45	0.17	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4
R40059	2.02	2.86	NUP153	nucleoporin 153kDa
AA487466	2.55	3.42	OAZ1	O-acyltransferase (membrane bound) domain containing 1
AA456432	2.46	2.86	OCA2	oculocutaneous albinism II (pink-eye dilution homolog, mouse)
AA045327	0.44	0.22	OGN	osteoglycin (osteoinductive factor, mimecan)
H24006	2.02	3.32	OMG	oligodendrocyte myelin glycoprotein
AA456646	0.43	0.22	OPN3	opsin 3 (encephalopsin, panopsin
N68399	2.32	8.92	OR2B6	olfactory receptor, family 2, subfamily B, member 6
AA135870	2.71	7	OR51E2	olfactory receptor, family 51, subfamily E, member 2
N63478	0.4	0.35	OSBPL8	oxysterol binding protein-like 8
AA421311	0.38	0.24	OSGEP	O-sialoglycoprotein endopeptidase
N50056	3.04	4.37	OSTF1	osteoclast stimulating factor 1
AA863449	0.38	0.31	OVGP1	oviductal glycoprotein 1, 120kDa (mucin 9, oviductin)
AA457671	0.27	0.3	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline4-hydroxylase), alpha polypeptide I
AA488332	3.36	5.23	PA2G4	proliferation-associated 2G4, 38kDa
AA621511	0.47	0.38	PABPC4	poly(A) binding protein, cytoplasmic 4 (inducible form
AA670223	2.63	2.42	PABPC5	poly(A) binding protein, cytoplasmic 5
AA479494	0.44	0.3	PACE1	ezrin-binding partner PACE-1
AA504468	0.23	0.14	PAFAH1B2	platelet-activating factor acetylhydrolase, isoform Ib, beta subunit30kDa
H92758	0.48	0.47	PAIP1	poly(A) binding protein interacting protein 1
R33482	0.42	0.36	PAK2	p21 (CDKN1A)-activated kinase 2
AA482127	13.3	14.18	PAK4	p21(CDKN1A)-activated kinase 4
AA100296	3.29	10.79	PAPOLA	poly(A) polymerase alpha
R98008	2.51	3.58	PAQR3	progestin and adipoQ receptor family member III
AA054643	0.42	0.43	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)
H68664	0.33	0.16	PBX1	pre-B-cell leukemia transcription factor
N51590	2.29	2.34	PC4	activated RNA polymerase II transcription cofactor 4
N21407	3.17	5.54	PC4	activated RNA polymerase II transcription cofactor 4
AA490047	0.36	0.22	PCBP1	poly(rC) binding protein 1
AA057533	2.15	5	PCBP2	poly(rC) binding protein 2
AA436456	0.36	0.43	PCDH7	BH-protocadherin (brain-heart)
AA458622	0.43	0.46	PCDH7	BH-protocadherin (brain-heart)
AA670200	0.48	0.23	PCOLCE	procollagen C-endopeptidase enhancer
AA399377	0.32	0.18	PCSK5	proprotein convertase subtilisin/kexin type 5
H91256	2.38	2.6	PCYOX1	prenylcysteine oxidase
AA156940	2.07	2.06	PDCD5	programmed cell death 5
N36873	2.05	2.03	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog,Drosophila)
AA774833	0.46	0.36	PDE4C	phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog,Drosophila)
AA160913	0.43	0.35	PDE9A	phosphodiesterase 9A
AA293653	0.35	0.44	PEA15	phosphoprotein enriched in astrocytes 15
R37665	2.31	2.7	PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)
H53572	4.54	8.95	PEX11A	peroxisomal biogenesis factor 11A
N52051	2.3	2.35	PEX19	peroxisomal biogenesis factor 19
T81091	2.49	3.35	PEX19	peroxisomal biogenesis factor 19
T97181	2.43	3.5	PF4	platelet factor 4 (chemokine (C-X-C motif) ligand 4)
H52256	3.47	2.7	PFC	properdin P factor, complement
AA608558	0.41	0.34	PFKP	phosphofructokinase, platelet
AI302615	5.32	5.11	PFKP	phosphofructokinase, platelet
AA521431	3.15	6.83	PFN1	profilin 1
R60946	3.23	2.02	PHB	prohibitin
W95864	2.22	2.1	PHF3	PHD finger protein 3
N58503	0.39	0.36	PHF7	PHD finger protein 7
AA758375	2.05	2.11	PHKA1	phosphorylase kinase, alpha 1 (muscle)
AA291732	3.25	2.8	PHKG2	phosphorylase kinase, gamma 2 (testis)
AA450351	0.5	0.25	PIAS1	protein inhibitor of activated STAT, 1
AA441930	0.41	0.33	PICALM	phosphatidylinositol binding clathrin assembly protein
H80865	0.44	0.45	PIGF	phosphatidylinositol glycan, class F
AA463958	2.28	2.39	PIGK	phosphatidylinositol glycan, class K
W02102	0.49	0.39	PIGM	phosphatidylinositol glycan, class M
H37827	2.25	5.38	PIPOX	pipecolic acid oxidase
AA679468	0.49	0.35	PITPNB	phosphotidylinositol transfer protein, beta
AA733090	2.29	2.37	PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)
AA867984	0.34	0.37	PLA2G1B	phospholipase A2, group IB (pancreas)
R91516	3.63	10.61	PLA2R1	phospholipase A2 receptor 1, 180kDa
T67055	0.48	0.5	PLAC1	placenta-specific 1
R76690	10.82	10.74	PLCG1	phospholipase C, gamma 1
AA425345	0.46	0.18	PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositidebinding specific) member 2
H48501	0.32	0.29	PLEKHE1	pleckstrin homology domain containing, family E (with leucine richrepeats) member 1
AA443121	3.19	4.54	PLEKHF1	pleckstrin homology domain containing, family F (with FYVE domain)member 1
AA460152	0.26	0.24	PLK2	polo-like kinase 2 (Drosophila)
AA916327	3.38	3.25	PLTP	phospholipid transfer protein
N64508	0.18	0.25	PODXL	podocalyxin-like
N74911	0.44	0.43	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)
AA027042	4.43	5.49	POLR2E	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa
H81940	0.23	0.32	POM121	POM121 membrane glycoprotein (rat)
H84369	0.49	0.45	POPDC3	popeye domain containing 3
AA598653	0.43	0.23	POSTN	periostin, osteoblast specific factor
H50229	0.25	0.36	PP	pyrophosphatase (inorganic)
AA404286	2.04	2.16	PPIF	peptidylprolyl isomerase F (cyclophilin F)
H05115	2.36	2.48	PPIF	peptidylprolyl isomerase F (cyclophilin F)
AA495803	0.5	0.27	PPIG	peptidyl-prolyl isomerase G (cyclophilin G)
AA195668	0.23	0.34	PPM1A	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform
AI024631	0.48	0.31	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform
AA129931	2.13	2.07	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform
W32763	0.49	0.27	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A
AA774608	7.21	7.47	PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B
H79253	2.79	7.23	PPP2CA	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
N63863	2.15	2.2	PPP2R3A	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha
R59165	3.92	8.81	PPP2R5A	protein phosphatase 2, regulatory subunit B (B56), alpha isoform
AA278759	0.32	0.3	PRG1	proteoglycan 1, secretory granule
R61796	2.38	4.62	PRIM2A	primase, polypeptide 2A, 58kDa
N23112	0.42	0.38	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit
AA630507	0.49	0.42	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)
AA480906	2.36	4	PRKCBP1	protein kinase, cAMP-dependent, regulatory, type I, beta
R31521	0.36	0.47	PRKRIR	protein-kinase, interferon-inducible double stranded RNA dependentinhibitor, repressor of (P58 repressor)
R01101	2.67	4.05	PRKWNK1	protein kinase, lysine deficient 1
AA399218	0.48	0.44	PRKWNK3	protein kinase, lysine deficient 3
AA778448	0.46	0.47	PRKX	protein kinase, X-linked
AA478952	0.39	0.41	PRMT7	protein arginine N-methyltransferase 7
H45266	0.39	0.33	PRPF31	PRP31 pre-mRNA processing factor 31 homolog (yeast)
AA151486	0.31	0.18	PRPS2	phosphoribosyl pyrophosphate synthetase 2
AA417806	0.44	0.41	PS1D	putative S1 RNA binding domain protein
AI318565	0.34	0.28	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7
AA166743	3.06	6.8	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2
AA070997	2.25	2.41	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6
AA002063	2.48	3.25	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7
AA464568	2.09	2.57	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4
AA016251	0.49	0.43	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11
AA497055	0.39	0.28	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
H65395	0.3	0.41	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)
AA488432	2.44	3.35	PSPH	paraspeckle component 1
AA454668	0.24	0.41	PTGS1	phosphatidylserine synthase 1
AA428195	2.39	2.71	PTPN2	protein tyrosine phosphatase, non-receptor type 2
AA481547	2.19	2.15	PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein
R45941	2.2	6.64	PTPRN	protein tyrosine phosphatase, receptor type, N
T56948	3.76	3.58	PUM1	pumilio homolog 1 (Drosophila)
R22308	0.47	0.5	PWP1	nuclear phosphoprotein similar to S. cerevisiae PWP1
N63476	4.01	3.93	PXK	PX domain containing serine/threonine kinase
R68207	0.35	0.28	PXMP3	peroxisomal membrane protein 3, 35kDa (Zellweger syndrome)
N66624	3.17	2.94	QKI	quaking homolog, KH domain RNA binding (mouse)
AA156821	0.39	0.41	RAB18	RAB18, member RAS oncogene family
N69689	3.08	2.06	RAB1A	RAB1A, member RAS oncogene family
H00677	3.37	5.1	RAB1A	RAB1A, member RAS oncogene family
T82415	0.33	0.32	RAB2	RAB2, member RAS oncogene family
AA449333	0.45	0.18	RAB31	RAB31, member RAS oncogene family
R05931	0.41	0.46	RAB37	RAB37, member RAS oncogene family
N70212	2.75	2.37	RAB6A	RAB6A, member RAS oncogene family
AA486195	2.89	6.19	RAD1	RAD1 homolog (S. pombe)
N25425	0.38	0.23	RAF1	v-raf-1 murine leukemia viral oncogene homolog 1
W15297	3.17	3.59	RALB	v-ral simian leukemia viral oncogene homolog B (ras related; GTP bindingprotein)
AA504617	2.06	4.3	RALY	ral guanine nucleotide dissociation stimulator
AA906206	2.49	2.32	RANBP17	RAN binding protein 17
AA279804	0.48	0.48	RAP1A	RAP1A, member of RAS oncogene family
W53016	0.37	0.41	RAP1B	RAP1B, member of RAS oncogene family
AA451891	0.48	0.26	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5
AA496438	2.35	2.32	RARG	retinoic acid receptor, gamma
AA398302	0.32	0.42	RBBP6	retinoblastoma binding protein 6
R99346	0.28	0.47	RBM17	RNA binding motif protein 17
AA446021	0.46	0.44	RBM17	RNA binding motif protein 17
AA046116	3.67	4.04	RBM27	RNA binding motif protein 27
AA451903	0.45	0.34	RBM9	RNA binding motif protein 9
AA700832	0.34	0.22	RBP1	RNA binding motif, single stranded interacting protein 1
AA609862	0.44	0.48	RBPMS	RNA binding protein with multiple splicing
W67200	2.84	2.69	RBPMS	RNA binding protein with multiple splicing
AA457719	0.28	0.29	RCN1	reticulocalbin 1, EF-hand calcium binding domain
AA598676	0.5	0.44	RCN2	reticulocalbin 2, EF-hand calcium binding domain
AA457026	0.31	0.35	RCOR1	REST corepressor 1
AA918370	0.43	0.33	RDH11	retinol dehydrogenase 11 (all-trans and 9-cis)
AA625655	2.9	3.35	REG1A	regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)
AA443547	0.35	0.43	RELA	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor ofkappa light polypeptide gene enhancer in B-cells 3, p65 (avian)
AA478442	0.36	0.26	REV1L	REV1-like (yeast), 176
H08725	0.33	0.5	RFP	ret finger protein
AA709036	0.19	0.14	RGS10	regulator of G-protein signalling 10
AA676955	0.43	0.37	RHOA	ras homolog gene family, member A
AA495790	2.09	3.3	RHOB	ras homolog gene family, member B
N41062	3.26	4.81	RHOB	ras homolog gene family, member B
AA464728	2.13	3.46	RHPN2	rhophilin, Rho GTPase binding protein 2
AA459956	0.39	0.36	RNASE3L	nuclear RNase III Drosha
AA449361	0.28	0.15	RNF13	ring finger protein 13
AA136060	2.52	2.94	RNF159	ring finger protein (C3HC4 type) 159
AA485347	0.46	0.39	RNF39	ring finger protein 39
R39861	0.31	0.4	RPA2	replication protein A2, 32kDa
T67270	2.19	2.77	RPL10	ribosomal protein L10
AA680244	3.73	4.47	RPL11	ribosomal protein L11
AA083485	0.39	0.23	RPL19	ribosomal protein L19
AA463200	3.29	9.17	RPL23	ribosomal protein L23
AA599178	2.09	2.57	RPL27A	ribosomal protein L27a
AA486746	2.66	5.59	RPL28	ribosomal protein L28
AI018613	3.11	4.34	RPL29	ribosomal protein L29
W15277	2.48	4.75	RPL31	ribosomal protein L31
AA496880	3.66	9.06	RPL5	ribosomal protein L5
R36132	0.41	0.45	RPN1	ribophorin I
H73727	0.27	0.06	RPS14	ribosomal protein S14
AA626146	0.46	0.16	RPS24	ribosomal protein S24
N91584	2.37	5.02	RPS6	ribosomal protein S6
H55921	2.45	4.56	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3
AA430035	0.26	0.36	RTN3	reticulon 3
AA056089	0.45	0.44	RTN3	reticulon 3
H65596	0.38	0.15	SAP18	sin3-associated polypeptide, 18kDa
AA011215	2.91	5.07	SAT	spermidine/spermine N1-acetyltransferase
AA009830	5.15	12.14	SBNO1	sno, strawberry notch homolog 1 (Drosophila)
AA490945	0.44	0.28	SCAMP1	secretory carrier membrane protein 1
AI628468	3.38	3.23	SCAMP1	secretory carrier membrane protein 1
AA453114	2.01	3.03	SCAMP2	secretory carrier membrane protein 2
R32802	2.12	2.81	SCAMP2	secretory carrier membrane protein 2
AA779835	0.42	0.35	SCARB2	scavenger receptor class B, member 2
R00707	5.22	13.48	SCD	stearoyl-CoA desaturase (delta-9-desaturase)
AA457700	7.41	9.06	SCD	stearoyl-CoA desaturase (delta-9-desaturase)
AA463482	0.43	0.29	SCD4	stearoyl-CoA desaturase 4
AA027992	3.53	3.65	SCFD1	sec1 family domain containing 1
W96187	4.3	5.87	SCN8A	sodium channel, voltage gated, type VIII, alpha
H98967	4.06	10.78	SEC22L3	SEC22 vesicle trafficking protein-like 3 (S. cerevisiae)
W69584	0.41	0.5	SELS	selenoprotein S
AA042990	2.27	2.15	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted,(semaphorin) 3C
AA418984	0.36	0.32	SENP8	SUMO/sentrin specific protease family member 8
W46632;AA284276	2.28	22.79	SEPN1	selenoprotein N, 1
AA283629	0.41	0.21	SEPW1	selenoprotein W, 1
AA172210	0.47	0.45	SERP1	stress-associated endoplasmic reticulum protein 1
H90292	2.13	3.31	SERPINA1	serine (or cysteine) proteinase inhibitor, clade A (alpha-1antiproteinase, antitrypsin), member 1
W86431	2.04	2.25	SERPINA3	serine (or cysteine) proteinase inhibitor, clade A (alpha-1antiproteinase, antitrypsin), member 3
H90764	2.79	3.68	SERPINA6	serine (or cysteine) proteinase inhibitor, clade A (alpha-1antiproteinase, antitrypsin), member 6
N54794	3.39	3.39	SERPINE1	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogenactivator inhibitor type 1), member 1
AA481438	0.41	0.11	SERPING1	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor),member 1, (angioedema, hereditary)
AA447661	0.5	0.29	SESN1	sestrin 1
W95428	2.79	4.74	SESN3	sestrin 3
AA460420	0.27	0.31	SFRS1	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternatesplicing factor)
AA481054	0.32	0.47	SFRS11	splicing factor, arginine/serine-rich 11
AA598400	0.49	0.29	SFRS3	splicing factor, arginine/serine-rich 3
W81563	3.46	5.04	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
N72138	2.6	4.45	SH3GLB1	SH3-domain GRB2-like endophilin B1
T50498	2.13	4.89	SHC1	SMART/HDAC1 associated repressor protein
R52639	2.15	3.1	SHMT1	serine hydroxymethyltransferase 1 (soluble)
AA447531	2.78	2.68	SIAH1	seven in absentia homolog 1 (Drosophila)
AI023189	0.43	0.45	SIAHBP1	fuse-binding protein-interacting repressor
AA160906	0.16	0.28	SIPA1	signal-induced proliferation-associated gene 1
AA156947	2.04	2.39	SIRT4	sirtuin (silent mating type information regulation 2 homolog) 4 (S.cerevisiae)
T68568	5.36	6.11	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter family), member 1
AA598947	2.49	3.43	SLC12A8	solute carrier family 12 (potassium/chloride transporters), member 8
