Probe set	Influence	SD	z-score	DMFS	Gene Symbol	Gene Title	Function
2028_s_at	1.07	0.55	1.95	+	E2F1	E2F transcription factor 1	Regulation of cell cycle
212511_at	7.99	2.34	3.41	-	PICALM	phosphatidylinositol binding clathrin assembly protein	Protein complex assembly
216711_s_at	10.27	3.05	3.37	+	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor	Protein complex assembly
200771_at	9.13	3.21	2.84	-	LAMC1	laminin, gamma 1 (formerly LAMB2)	Protein complex assembly
201624_at	11.7	4.68	2.5	-	DARS	aspartyl-tRNA synthetase	Protein complex assembly
35150_at	5.91	2.37	2.49	+	CD40	CD40 antigen (TNF receptor superfamily member 5)	Protein complex assembly
213480_at	2.7	1.11	2.44	-	VAMP4	vesicle-associated membrane protein 4	Protein complex assembly
213270_at	4.09	1.83	2.24	+	MPP2	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	Protein complex assembly
208829_at	8.14	3.73	2.18	+	TAPBP	TAP binding protein (tapasin)	Protein complex assembly
216125_s_at	13.7	6.39	2.15	+	RANBP9	RAN binding protein 9	Protein complex assembly
212128_s_at	12.43	5.88	2.11	+	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	Protein complex assembly
200841_s_at	41.38	20.07	2.06	+	EPRS	glutamyl-prolyl-tRNA synthetase	Protein complex assembly
221526_x_at	9.49	4.67	2.04	+	PARD3	par-3 partitioning defective 3 homolog (C. elegans)	Protein complex assembly
218830_at	23.85	6.25	3.82	-	RPL26L1	ribosomal protein L26-like 1	Protein biosynthesis
202247_s_at	24	6.89	3.48	+	MTA1	metastasis associated 1	Protein biosynthesis
214317_x_at	21.82	7.39	2.95	-	RPS9	Ribosomal protein S9	Protein biosynthesis
200026_at	5.33	1.91	2.78	-	RPL34	ribosomal protein L34	Protein biosynthesis
200963_x_at	4.64	1.76	2.63	-	RPL31	ribosomal protein L31	Protein biosynthesis
221693_s_at	25.44	9.85	2.58	+	MRPS18A	mitochondrial ribosomal protein S18A	Protein biosynthesis
219762_s_at	15.45	6.27	2.46	-	RPL36	ribosomal protein L36	Protein biosynthesis
221593_s_at	22.43	9.34	2.4	-	RPL31	ribosomal protein L31	Protein biosynthesis
200091_s_at	3.2	1.36	2.35	-	RPS25	ribosomal protein S25	Protein biosynthesis
208756_at	9.21	4.09	2.25	+	EIF3S2	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	Protein biosynthesis
203781_at	9.61	4.31	2.23	-	MRPL33	mitochondrial ribosomal protein L33	Protein biosynthesis
202926_at	9.86	4.58	2.15	+	NAG	neuroblastoma-amplified protein	Protein biosynthesis
213687_s_at	6.78	3.19	2.13	-	RPL35A	ribosomal protein L35a	Protein biosynthesis
212450_at	11.03	5.32	2.07	-	KIAA0256	KIAA0256 gene product	Protein biosynthesis
214143_x_at	4.08	2.08	1.96	-	RPL24	ribosomal protein L24	Protein biosynthesis
216711_s_at	14.05	4.17	3.37	+	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor	Cell cycle
215747_s_at	17.66	5.57	3.17	+	RCC1	regulator of chromosome condensation 1	Cell cycle
203531_at	4.39	1.56	2.81	-	CUL5	cullin 5	Cell cycle
213743_at	11.99	4.29	2.79	-	CCNT2	cyclin T2	Cell cycle
217301_x_at	21.86	8.16	2.68	+	RBBP4	retinoblastoma binding protein 4	Cell cycle
202388_at	64.82	24.87	2.61	-	RGS2	regulator of G-protein signalling 2, 24kDa	Cell cycle
209903_s_at	10.39	4.17	2.49	-	ATR	ataxia telangiectasia and Rad3 related	Cell cycle
205245_at	8.76	3.79	2.32	+	PARD6A	par-6 partitioning defective 6 homolog alpha (C.elegans)	Cell cycle
213151_s_at	2.56	1.13	2.27	-	38967	septin 7	Cell cycle
212332_at	63.97	29.53	2.17	+	RBL2	retinoblastoma-like 2 (p130)	Cell cycle
205895_s_at	6.88	3.26	2.11	+	NOLC1	nucleolar and coiled-body phosphoprotein 1	Cell cycle
206967_at	19.89	9.81	2.03	+	CCNT1	cyclin T1	Cell cycle
