GID	yorf	NAME	GWEIGHT	216 A	216 B	228 A	228 B	125 B	175 B	217 B	217 A	218 B	201 B	202 B	145 B	263 B	39 A	39 B	138 A	138 B	64 A	64 B	262 B	21 A	227 B	155 A	155 B	218 A	223 A	67 A	17 A	21 B	146 A	146 B	117 A	117 B	30 A	30 B	148 B	148 A	149 A	70 A	70 B	223 B	61 A	175 A	125 A	17 B	141 A	141 B	123 A	123 B	151 A	145 A	262 A	61 B	67 B	90 A	90 B	149 B	151 B	P3 A	P3 B	201 A	202 A	227 A	263 A	203 A	203 B	152 A	152 B
GENE1979X	HSI073C05	FAM7A2		-1.714	-1.414	-0.4448	-1.188	-0.5146	-0.5143	-1.993	-2.077	-1.272	-1.668	-1.55	-1.957	-0.3127	0.7942	0.8725	1.943	0.6077	0.0574	-0.7322	-0.8787	-0.4807	-1.041	-0.4228	-0.1553	-0.7156	-0.09389	0.1567	-0.2749	-0.05664	0.4709	0.2385	-0.1749	0.2003	0.655	0.2823	-0.1085	1.152	1.62	0.8869	0.7938	1.669	1.245	1.946	0.7836	1.069	0.4872	-0.08063	1.348	1.099	2.34	0.7948	1.93	-0.205	-0.5057	-0.1438	-0.7479	0.3021	0.3271	0.01416	-0.2488	-0.3266	-0.3595	-0.2208	0.1038	-0.3535	-0.8767	0.2031	-0.569
GENE1146X	HSI045E03	BAZ2B		-1.58	-1.38	-0.5794	-1.134	-0.7166	-0.3616	-2.025	-2.184	-1.189	-1.369	-1.5	-2.095	0.5195	0.7132	0.5344	1.563	0.4212	-0.2562	-0.8816	-1.196	-0.2969	-0.7833	-0.3644	-0.2199	-0.6539	0.1195	0.3203	-0.04774	-0.1322	0.2992	0.1425	-0.1844	-0.03517	0.3962	0.1917	-0.2674	1.286	1.955	0.7148	0.6052	1.859	1.221	1.798	0.4178	0.869	0.784	-0.06435	1.287	1.324	2.494	0.9711	2.101	-0.2315	-0.6267	-0.1511	-0.7609	0.2394	0.4023	-0.2275	-0.3629	-0.4829	0.2304	-0.3672	0.221	-0.1335	-0.5747	0.03269	-0.6178
GENE609X	HSI006B08	PPP2R2A		-1.487	-1.388	-0.6642	-1.145	-0.825	-0.5706	-1.867	-2.237	-1.207	-1.577	-1.756	-2.103	-0.1552	0.694	0.5476	1.457	0.8625	-0.3806	-0.5932	-1.07	-0.2151	-0.4994	-0.3914	-0.3284	-0.6835	0.04307	0.2669	-0.002664	-0.04761	0.5197	0.05884	0.03603	0.06921	0.5646	0.586	-0.2649	1.203	1.803	1.156	0.6025	1.709	0.7569	1.669	0.4723	0.7325	0.737	-0.09064	1.084	1.356	2.742	0.9608	2.139	-0.5142	-0.4915	-0.1453	-0.6642	0.364	0.4026	-0.1734	-0.5034	-0.2606	0.07193	-0.3481	0.2326	-0.2159	-0.5911	0.2426	-0.6848
GENE1929X	HSI006C05	HSPC111		-1.466	-1.321	-0.7142	-1.211	-0.595	-0.5463	-2.011	-2.093	-1.119	-1.539	-1.734	-1.957	-0.1505	0.679	0.7002	1.737	0.5252	-0.2307	-0.5874	-1.108	-0.4949	-0.4337	-0.5163	-0.1015	-0.7082	-0.0369	0.4828	-0.257	-0.02691	0.5228	0.05619	0.03942	-0.006944	0.6871	0.8619	-0.1174	1.308	1.662	1.041	0.681	1.311	1.264	1.675	0.71	0.8719	0.7239	-0.0151	1.357	1.437	2.675	0.9032	1.924	-0.3777	-0.4164	-0.1011	-0.6953	0.2348	0.1466	-0.4041	-0.5052	-0.655	0.03161	-0.462	0.2718	-0.17	-0.8659	-0.1841	-0.5862
GENE1669X	HSI044D11	FAM40B		-1.546	-1.198	-0.5152	-1.127	-0.82	-0.5333	-1.918	-2.086	-1.226	-1.57	-1.676	-2.008	-0.1203	0.5374	0.6136	1.72	0.8591	-0.09929	-0.7706	-1.318	-0.6679	-0.7732	-0.5435	-0.6085	-0.6085	0.1821	0.6691	0.04023	0.08551	0.6783	0.2549	-0.06655	0.2544	0.5855	0.8291	-0.1634	1.258	1.473	0.7721	0.7368	1.671	1.719	1.887	0.5668	1.016	0.9349	0.1256	1.385	0.5905	2.169	0.7545	1.97	-0.3287	-0.3597	-0.1663	-0.9468	0.3291	0.3037	-0.2835	-0.5265	-0.5535	-0.1106	-0.3021	0.006422	-0.2107	-0.6924	0.08239	-0.6149
GENE2127X	HSI009A06	LRRC51		-1.633	-1.49	-0.7312	-1.131	-0.6432	-0.5629	-2.012	-2.191	-1.225	-1.59	-1.709	-1.982	-0.06219	0.7757	0.701	1.717	0.7232	0.0698	-0.7637	-0.9398	-0.3233	-0.5726	-0.6079	0.1037	-0.7023	-0.1742	0.5551	-0.4199	-0.1403	0.1324	0.07011	-0.1801	0.238	0.6701	0.5905	-0.1603	0.8405	1.207	1.069	0.8573	1.481	1.673	1.963	0.6682	1.037	0.7856	0.002733	1.297	1.22	2.118	1.238	2.014	-0.3838	-0.1708	-0.09251	-0.7867	0.2906	0.2239	-0.3144	-0.4588	-0.5059	0.09453	-0.4261	0.1413	-0.1155	-0.7455	0.06403	-0.6838
GENE65X	HSI171D07	EST		-1.796	-1.49	-0.3446	-1.025	-0.4529	-0.8408	-2.163	-1.685	-1.096	-2.115	-1.975	-1.925	-0.07243	0.8149	1.177	1.879	0.7831	-0.306	-0.7925	-0.8768	0.06154	-0.5929	-0.6094	-0.7617	-0.6088	0.3147	0.1157	0.4532	0.2791	0.8308	0.3997	-0.1306	0.2723	0.3953	0.09685	-0.4611	0.3656	1.01	0.5865	0.6594	1.6	0.4936	1.609	0.5936	1.075	0.5542	-0.05896	1.475	1.171	2.668	0.7824	2.077	-0.1953	-0.4872	-0.2455	-0.8068	0.4198	0.4934	0.06253	-0.2456	-0.1652	-0.2194	-0.01767	0.2155	-0.3598	-0.8111	0.4612	-0.5107
GENE176X	HSI171A07	EST		-1.669	-1.412	-0.3979	-1.014	-0.5226	-0.5571	-1.822	-2.062	-1.016	-1.898	-1.663	-2.202	-0.6027	0.9705	1.036	1.384	0.5911	0.0991	-0.7691	-0.6693	-0.1696	-0.8722	-0.6553	-0.7168	-0.8647	-0.04223	0.4636	0.2163	0.03062	0.7904	0.337	-0.02704	0.3934	0.5437	0.4783	-0.2673	0.2092	1.605	0.7793	0.8444	1.319	1.302	2.067	0.7662	0.9088	0.6969	0.1904	1.135	1.344	2.665	0.7219	1.885	-0.3013	-0.4316	-0.2899	-0.8134	0.394	0.3443	-0.2583	-0.4378	-0.4202	-0.1392	-0.1803	0.04694	-0.2525	-0.7362	0.2348	-0.639
GENE177X	HSI171C07	PTGER3		-1.774	-1.315	-0.3778	-1.036	-0.5687	-0.5314	-1.705	-2.159	-0.8455	-2.212	-1.907	-2.152	-0.4911	0.8987	0.9977	1.277	0.5741	0.05171	-0.7499	-0.6586	-0.05392	-0.7822	-0.6177	-0.5632	-0.738	0.2055	0.5076	0.1744	0.02354	0.7247	0.3633	-0.02892	0.3532	0.5189	0.2917	-0.2412	0.2319	1.525	0.7891	0.7785	1.422	1.292	2.003	0.7122	0.7975	0.6292	0.1441	1.052	1.306	2.55	0.7004	2.157	-0.296	-0.422	-0.3031	-0.8381	0.2783	0.3785	-0.213	-0.4565	-0.3521	-0.02328	-0.124	0.1635	-0.1804	-0.9041	0.4032	-0.6545
GENE487X	HSI110H02	EST		-1.041	-0.4146	-0.6481	-1.558	-0.6724	-0.6197	-1.261	-1.461	-0.8953	-1.706	-1.676	-2.19	-0.5171	0.5549	0.3103	1.763	0.9013	-0.1619	-0.9851	-1.544	-0.544	-1.164	-0.3389	-0.0953	-0.6325	0.07674	0.2802	-0.5772	0.1248	0.8763	0.1262	0.009262	0.4381	-0.2056	0.8364	-0.3914	0.6782	1.352	1.097	0.9535	1.929	1.075	2.25	0.8452	0.7712	1.004	0.2067	1.764	1.347	2.021	0.9206	1.807	-0.8953	-0.2132	-0.5254	-0.9631	0.1481	0.3164	-0.5551	-0.6456	-0.03291	-0.04106	-0.1408	0.1647	-0.3027	-1.181	0.3079	-0.4605
GENE1427X	HSI090A04	EST		-1.538	-1.055	-0.5477	-1.483	-0.102	-0.3107	-1.63	-2.017	-1.126	-1.709	-1.915	-1.927	-0.4528	0.6796	0.7525	1.738	0.374	-0.2185	-0.7442	-1.054	-0.3991	-1.156	-0.4494	-0.5493	-0.574	0.2744	0.4722	-0.07413	0.1195	0.3392	0.3738	0.045	0.6711	0.1755	0.5186	-0.3875	0.6955	1.131	0.7881	0.6507	2.188	1.11	2.073	0.5881	1.184	0.8534	0.03388	1.499	1.165	2.332	0.684	1.971	-0.5741	-0.3692	-0.368	-0.8972	0.312	0.3553	-0.239	-0.5225	-0.08834	0.3249	-0.3073	-0.1167	-0.2033	-0.9961	0.2769	-0.6497
GENE1428X	HSI098A04	C21orf55		-1.539	-1.24	-0.6099	-1.434	-0.4193	-0.1258	-2.203	-2.286	-1.132	-1.506	-1.471	-1.854	0.1758	0.6692	0.906	2.005	0.7309	-0.4097	-0.7587	-1.182	-0.5663	-0.9966	-0.1948	-0.3858	-0.5146	0.2502	0.2609	-0.1581	0.171	0.7012	0.2067	-0.08249	0.259	0.378	0.3251	-0.4126	0.6628	1.195	0.6564	0.6273	1.79	0.7196	1.762	0.5804	1.163	0.9292	-0.1551	1.544	1.241	2.517	0.8589	2.007	-0.318	-0.4828	-0.3801	-0.8043	0.1746	0.435	-0.1959	-0.4912	-0.5144	0.2898	-0.1935	0.2873	-0.1524	-0.7751	0.1133	-0.6483
GENE1516X	HSI172D10	EST		-1.529	-1.21	-0.5913	-1.386	-0.3656	-0.1692	-2.186	-2.273	-0.9406	-1.558	-1.729	-1.941	-0.9681	0.6782	1.022	1.781	0.6599	-0.2785	-0.8639	-1.119	-0.5872	-1.166	-0.09523	-0.2934	-0.389	0.4221	0.3963	0.1487	0.2708	0.5064	0.2068	-0.163	0.3099	0.3191	0.3513	-0.3689	0.5135	1.252	0.388	0.748	1.833	0.8475	1.746	0.5127	0.9584	0.9439	0.1655	1.329	1.455	2.079	0.7785	2.346	-0.5428	-0.4015	-0.5554	-0.8241	0.3848	0.5058	-0.2494	-0.3363	-0.1479	0.3375	-0.1684	0.348	-0.05291	-0.795	0.2897	-0.5918
GENE92X	HSI011A01	PARP6		-1.722	-1.525	-0.8437	-1.073	-0.6265	-0.2068	-2.233	-0.6153	-0.8695	-1.06	-1.288	-2.158	-0.2843	1.014	0.9998	1.379	0.8994	-0.467	-0.8067	-0.3676	-0.7884	-0.5915	-0.678	-0.8098	-0.9905	-0.105	-0.1998	-0.7494	-0.2094	-1.194	-0.1905	0.3692	-0.03431	0.5013	0.8721	-0.1926	0.8727	1.874	1.367	0.7814	1.206	1.187	1.74	0.8893	1.02	0.7581	-0.1117	1.593	1.41	2.897	1.068	0.9686	-0.4585	-0.3731	-0.2646	-0.9073	0.4672	0.2809	-0.2164	-0.7383	-0.3975	0.7378	-0.4406	0.1572	0.357	-0.4436	0.02684	-0.4633
GENE90X	HSI007C07	RAPGEF5		-1.597	-1.19	-0.9637	-0.8468	-0.2149	-0.3055	-2.104	-2.339	-1.198	-1.463	-1.89	-2.1	-0.8223	0.9657	1.091	1.487	0.4833	-0.4514	-0.4017	-1.441	-0.7427	-0.5641	-0.1264	0.2515	-0.7619	-0.2477	-0.04539	-0.383	-0.03634	-0.8581	0.102	0.3724	0.5802	0.6721	1.131	0.2036	0.8637	1.692	0.8216	0.6292	0.9811	1.398	1.788	0.8822	0.8489	0.8513	0.1012	1.398	1.533	2.004	0.7529	1.462	0.1198	-0.2966	-0.2818	-0.4536	0.7572	0.6224	-0.3958	-0.5978	-0.5165	0.416	-0.5039	0.3023	-0.07566	-0.6296	-0.2956	-0.4233
GENE1335X	HSI019G04	PEX26		-1.513	-1.418	-0.7832	-1.048	-0.07029	-1.093	-1.683	-1.855	-1.328	-1.555	-1.543	-1.625	-0.8261	0.9774	0.8767	1.818	0.6117	-0.6537	-0.3437	-0.431	-0.683	-0.8725	-0.5079	-0.7715	-0.9357	-0.532	0.2139	-0.9781	0.244	0.1171	0.2981	0.3069	0.5504	0.8249	1.003	-0.03748	0.9783	1.3	1.225	1.012	1.238	1.855	2.201	0.8816	1.086	0.7548	0.168	1.307	0.9386	2.133	0.611	1.28	-0.08031	-0.05931	0.2318	-0.2822	0.487	0.4978	0.2226	-0.06862	-0.2352	-0.1729	-0.7179	-0.6217	-0.4684	-1.047	-0.2988	-1.113
GENE104X	HSI024C07	TBXA2R		-1.438	-1.295	-0.7776	-1.258	-0.1258	-0.8636	-0.981	-1.827	-1.066	-1.202	-1.561	-1.629	0.3927	0.5877	0.6722	1.816	0.9261	-0.1565	-0.8022	-1.099	-0.8356	-1.385	-0.6101	-0.1934	-1.172	-0.9588	0.2003	-1.068	0.1586	0.609	0.5328	0.02505	0.06333	0.05811	0.5655	0.0976	1.313	2.063	0.7562	0.7373	0.3803	1.255	1.438	0.8781	0.8951	1.096	-0.03031	1.423	1.389	3.003	1.541	0.9657	-0.2007	-0.2709	0.1056	-0.4405	0.5389	0.7267	-0.3643	-0.5623	0.3239	0.1386	-0.6472	-0.5542	-0.2826	-0.5422	-0.7106	-0.7629
GENE1547X	HSI023A10	EST		-1.116	-1.325	-0.5497	-1.095	0.1553	-0.7857	-1.003	-1.516	-0.923	-1.627	-1.652	-1.843	-0.9884	0.358	0.5825	1.852	0.5107	-0.1066	-0.8984	-1.511	-0.395	-0.9534	-0.4991	-0.2131	-1.149	-0.4888	0.3016	-0.8211	-0.1968	0.684	0.3739	-0.23	-0.07603	0.3775	0.6845	-0.02205	1.692	2.001	0.5833	0.6185	1.177	1.696	1.643	0.562	0.6663	1.067	-0.007307	1.304	0.665	3.085	1.405	1.348	-0.4383	0.01942	-0.414	-0.8257	0.4948	0.6989	-0.3876	-0.6127	0.03152	0.1061	-0.4024	-0.5338	0.03637	-0.5873	0.2113	-0.7998
GENE2229X	HSI027H06	HARSL		-1.416	-1.045	-0.766	-1.113	-0.22	-0.3688	-1.598	-1.962	-0.9176	-1.559	-1.622	-1.922	-0.9632	0.2798	0.389	1.698	0.2824	0.3073	-0.4364	-1.39	-1.143	-0.9755	-0.7702	-0.5117	-0.8165	0.1622	0.3589	-0.2557	0.2342	0.4267	0.2807	0.2968	0.4101	0.159	0.5335	-0.7454	1.323	1.377	0.9483	0.8666	1.613	1.658	1.361	0.7595	0.7954	1.422	0.634	1.265	1.666	2.504	1.23	1.547	-0.5063	0.5404	-0.1796	-0.3496	0.5546	-0.5865	-0.3675	-0.5108	-0.02728	-0.1914	-0.5819	-0.2534	-0.3294	-0.4324	-0.07979	-0.9705
GENE418X	HSI024D02	MTMR2		-1.045	-0.8497	-0.8377	-1.218	0.3617	-0.5821	-1.724	-1.485	-1.08	-1.135	-1.428	-1.27	-1.04	0.4824	0.4996	1.46	1.242	0.1771	-0.7568	-1.116	-1.146	-0.8306	-1.253	-0.9985	-0.8204	-0.459	0.394	-0.578	0.03948	0.8915	0.04748	0.594	0.4808	0.3985	0.776	-0.1372	1.422	2	0.8838	0.7969	0.7178	2.062	1.545	0.7117	0.6208	1.011	0.2222	0.8913	1.35	2.822	1.384	1.136	-0.3483	-0.008525	0.1976	-0.2706	0.3865	0.3171	-0.3021	-0.2712	-0.06423	-0.3909	-0.6163	-0.1452	-0.8487	-0.7191	-1.17	-1.378
GENE2366X	HSI053C12	NUPL1		-1.257	-1.236	-0.5556	-1.018	0.4653	-0.2626	-2.016	-1.973	-1.139	-1.563	-1.772	-1.755	-0.8897	0.6371	0.8889	1.449	0.8956	0.0009594	-0.4972	-1.109	-0.7773	-0.7332	-0.6635	-0.8067	-0.5565	0.2378	0.3052	-0.1669	0.01757	-0.1854	0.3518	-0.01753	0.02575	0.6402	0.6006	0.05186	1.729	1.647	0.6265	0.7228	1.283	1.225	1.65	0.5135	0.3712	0.7485	0.01052	1.291	1.864	2.766	1.247	1.363	-0.23	-0.5767	-0.1255	-0.3261	0.5677	0.54	0.05437	-0.2929	-0.1205	-0.2768	-0.3728	-0.3942	-0.4189	-0.4233	-0.8915	-1.387
GENE2061X	HSI054H06	GPR132		-1.314	-0.8857	-0.7222	-1.203	-0.6695	-0.4792	-1.572	-1.674	-1.244	-1.931	-1.928	-2.139	-1.361	-0.1033	0.7239	1.281	0.5079	-0.2972	-0.9353	-1.906	0.05779	-0.6227	0.2806	0.07672	-0.4227	-0.05896	0.1782	-0.2438	-0.08204	0.5369	0.5523	0.007137	0.4199	0.4753	0.6588	0.5859	1.886	1.376	0.183	0.5651	1.99	1.427	1.873	0.1455	0.6687	0.3105	0.03608	1.034	0.549	2.919	1.104	0.8117	-0.3895	0.1758	-0.6794	-1.032	0.7516	0.8307	-0.4467	-0.6617	0.1798	0.2847	-0.04269	-0.07025	-0.04584	-0.3133	0.2658	-0.2319
GENE2052X	HSI042D12	CD300A		-1.497	-0.9628	-0.8051	-0.9972	-0.4491	-0.6757	-1.602	-1.701	-1.24	-1.737	-2.407	-1.859	-1.532	0.234	0.7177	1.677	1.54	-0.02329	-0.8545	-1.974	-0.6814	-0.645	-0.06893	-0.06173	-0.2371	0.1349	0.0318	0.2943	0.2334	0.6087	0.2162	0.1482	0.5863	0.4537	0.7597	0.3237	1.494	1.431	0.5179	0.639	1.971	1.313	1.353	0.5263	0.8679	0.07326	0.2165	1.115	0.1495	2.516	0.7241	1.666	-0.2934	-0.01638	-0.2621	-0.6591	0.3967	0.536	-0.5269	-0.5521	-0.1317	0.1733	-0.4191	0.0852	0.01043	-0.3947	0.1394	-0.6065
GENE2026X	HSI005H12	EST		-1.421	-1.261	-0.6393	-1.328	-0.981	-0.6216	-2.08	-2.019	-1.292	-1.558	-1.856	-1.92	-1.322	0.7418	0.5714	1.564	0.6584	-0.1709	-0.6316	-1.266	-0.2784	-0.9414	-0.2734	-0.2451	-0.2226	0.2692	0.2255	0.1119	0.04813	0.6205	0.201	-0.04409	0.454	0.5484	0.7656	-0.3071	1.339	1.366	1.134	0.5949	1.814	1	2.174	0.7617	1.003	0.4471	0.1914	1.308	0.2622	2.339	1.059	1.589	-0.4011	0.07701	-0.04887	-0.7624	0.3995	0.5075	-0.08581	-0.3638	0.01035	0.21	-0.4243	-0.2545	-0.2554	-0.8037	0.3136	-0.6001
GENE2060X	HSI054B06	SMG1		-1.4	-1.034	-0.6201	-1.214	-0.5942	-0.4317	-1.873	-1.999	-1.333	-1.576	-2.077	-1.916	-1.154	0.4725	0.7155	1.727	0.691	0.09019	-0.6008	-1.513	-0.5489	-0.6859	-0.2708	-0.3051	-0.5263	0.06788	0.3128	-0.05192	0.04202	0.3548	-0.06789	0.129	0.6263	0.5036	0.8669	-0.03382	1.479	1.376	0.9488	0.7841	1.916	1.669	1.968	0.7299	0.8193	0.2157	-0.02637	1.174	0.2787	2.261	0.881	1.837	-0.4974	0.09999	-0.03023	-0.6919	0.2971	0.3933	-0.5074	-0.7609	-0.1402	0.05052	-0.3913	0.1403	0.05841	-0.491	0.1551	-0.7686
GENE845X	HSI042B03	LSP1		-1.736	-1.61	-0.488	-1.323	-0.01519	-0.5111	-1.828	-2.101	-1.306	-1.308	-2.145	-1.671	-0.7181	0.3164	0.6711	1.3	0.2336	-0.07435	-1.108	-0.8985	-0.1769	-0.4633	-0.6883	-0.9399	-0.9399	0.1608	0.3598	-0.1544	-0.2227	0.351	-0.02395	-0.03535	0.8318	0.6777	1.122	0.384	1.232	1.715	0.5917	0.8001	2.383	1.81	1.547	0.4049	0.4968	0.5363	0.1035	1.184	1.352	1.989	0.5598	1.675	-0.2755	-0.0562	-0.4372	-0.2975	0.4156	0.3954	-0.1045	-0.08893	0.05394	0.08104	-0.3653	0.3963	-0.3829	-0.7968	0.01554	-0.855
GENE1332X	HSI015G04	MGC2752		-1.466	-1.358	-0.5629	-0.8282	-0.2303	-0.5815	-2.295	-2.023	-1.355	-1.877	-2.2	-1.868	-1.304	0.5711	0.4822	1.257	0.4525	0.04967	-0.8049	-0.909	-0.08404	-0.5041	-0.2813	-0.09452	-0.475	0.05446	0.3983	0.1224	0.0507	0.7787	0.2319	0.1065	0.265	0.4791	0.6494	-0.04773	1.179	1.807	1.132	0.6998	1.74	1.251	1.188	0.7145	0.7878	0.5297	0.01803	0.9877	1.368	2.382	0.9447	2.047	-0.495	-0.3185	0.1628	-0.4588	0.319	0.1517	-0.02745	-0.1519	-0.3877	-0.5801	-0.3271	0.2602	-0.5988	-1.098	0.4839	-0.5097
GENE1759X	HSI038C11	DRCTNNB1A		-1.528	-1.101	-0.5937	-1.102	0.01093	-0.5147	-1.91	-2.056	-1.277	-1.747	-1.814	-1.737	-0.5081	0.4613	0.5344	1.319	0.5026	0.3329	-0.8252	-1.278	-0.2525	-0.8815	-0.8613	-0.07943	-0.6443	-0.2129	0.5673	0.05137	0.1455	0.654	0.2835	0.04555	0.7399	0.4643	0.4587	-0.1057	0.9841	1.934	0.9508	0.8588	1.363	1.886	1.502	0.8071	0.9124	0.4148	0.2307	1.084	1.289	2.7	0.7786	1.818	-0.5747	-0.3205	0.2615	-0.4155	0.3512	0.145	-0.1493	-0.1727	-0.5487	-0.4576	-0.705	-0.08477	-0.6369	-1.011	0.04173	-0.7801
GENE645X	HSI057H02	CXorf34		-1.404	-0.8034	-0.4157	-1.057	-0.03591	-0.5134	-1.486	-1.919	-1.107	-1.116	-1.065	-1.854	-0.3014	0.4625	0.1488	1.25	0.7088	0.1314	-1.08	-1.473	-0.35	-0.435	-1.18	-1.165	-0.5139	-0.1336	0.7544	-0.000461	-0.1234	0.6714	-0.1609	-0.4163	0.02833	0.4306	0.5171	-0.4326	1.696	1.596	0.977	0.6148	2.004	2.236	1.714	0.6505	0.7316	0.493	-0.1326	1.173	1.232	2.382	1.181	2.237	-0.9765	-0.4581	-0.2422	-0.8047	0.1018	-0.07138	-0.7658	-0.6086	0.1095	0.02866	-0.2283	0.0224	0.02614	-0.4093	-0.09391	-0.9758
GENE1230X	HSI015F04	RP11-484I6.3		-1.214	-1.277	-0.4361	-0.7379	-0.4009	-0.365	-1.995	-1.754	-1.139	-1.735	-2.017	-1.626	-1.261	0.1461	0.08217	0.5741	0.7032	0.2116	-1.106	-1.152	0.0728	-0.1777	-0.4012	-0.3013	-0.1934	0.2481	0.8903	0.2362	-0.3192	0.8786	0.1882	-0.05776	0.4028	0.2095	0.3759	-0.1127	1.308	1.941	0.7464	0.5258	1.848	1.736	1.815	0.2849	0.1973	0.7682	0.08725	0.4604	1.506	2.566	1.122	2.123	-1.327	-0.07964	-0.02858	-0.2918	0.1513	0.105	-0.7431	-1.023	-0.2184	-0.3329	-0.1982	0.5586	-0.47	-0.8452	0.7231	-0.4581
GENE830X	HSI024B09	DKFZP434A0131		-1.244	-0.8757	-0.7005	-0.7536	-1.328	-0.62	0.3118	-0.7333	0.4731	-2.151	-1.544	-2.118	0.855	0.7065	0.6229	2.077	0.0483	0.0298	-0.6389	-1.088	-0.9037	-1.321	-0.8403	-1.28	-1.083	-0.05112	0.9449	-0.6775	0.1292	-0.01573	-0.1408	0.0007186	0.6025	0.7771	0.8924	-0.3332	0.4637	0.5754	1.619	1.011	2.013	2.313	2.244	0.9549	1.06	0.7285	0.2204	1.714	0.8342	0.9134	0.7637	0.6672	-0.3774	-0.4313	-0.0963	-0.8259	0.4269	0.605	-0.004577	-0.8452	-0.7248	-0.2284	-0.2022	-0.8573	-0.2406	-0.7912	-0.6699	-0.864
GENE101X	HSI024C01	PIK3C2A		-1.423	-1.183	-0.4933	-0.6556	-0.671	-0.3043	-1.255	-1.929	-1.1	-1.647	-1.369	-1.359	1.091	0.2725	0.3313	1.591	0.7856	-0.08479	-1.221	-1.491	-1.736	-1.106	-0.6149	-0.1283	-0.9872	0.2086	0.2202	-0.3983	0.2373	-0.9091	-0.1634	0.2226	0.6601	-0.07264	0.9034	0.07481	0.1813	1.437	0.8687	0.7431	1.39	2.476	1.983	1.04	1.143	0.8919	0.3093	1.144	1.726	1.586	0.7413	1.893	-0.36	-0.191	-0.1429	-0.2817	0.5359	0.4915	-0.3706	-0.267	-0.5709	0.1805	-0.4726	0.1795	-0.9081	-0.7172	-0.2862	-0.6685
GENE317X	HSI025C01	NCOA7		-0.7076	-0.2662	-0.1622	-0.4538	-0.3881	-0.7787	-2.197	-1.587	-0.4559	-0.8117	-1.352	-1.095	0.9273	1.024	0.955	1.753	0.4976	0.2242	-0.5511	-1.002	-1.596	-0.6204	-2.382	-0.7745	-2.245	-0.4853	0.2014	-1.084	0.1795	-0.5442	-1.551	0.2479	0.4931	-0.005658	1.096	-0.01923	0.1018	1.465	1.074	1.014	1.682	1.969	2.055	0.8967	0.8294	0.8695	-0.005239	1.525	1.307	1.238	0.5558	1.097	-0.1289	0.1052	0.1009	-0.3276	0.1887	0.0221	0.2624	-0.06645	-0.2275	-0.375	-0.4731	-0.207	0.06818	0.4368	-0.5591	-0.9768
GENE593X	HSI110C08	EST		-1.414	-0.8914	-0.8171	-1.275	-0.05001	-0.9823	-1.746	-1.09	-0.8627	-2.004	-1.984	-2.163	-0.6822	0.9004	0.9648	2.074	0.5194	0.1818	-0.4051	-1.789	-0.5067	-1.111	0.5988	0.6554	0.002074	0.3751	0.2201	-0.3907	0.8664	-0.1235	-1.923	0.3911	0.8241	0.1326	0.9747	-0.06805	-0.9983	0.8333	0.8243	0.692	1.827	0.432	0.9676	0.6586	0.919	0.702	0.8145	2.056	1.143	1.349	0.3059	1.75	-0.4542	-0.1313	-0.5036	-0.8363	0.4074	0.7424	-0.3643	-0.5061	0.0002524	0.6018	-0.5014	0.139	0.2819	-0.844	0.5112	-0.2213
GENE393X	HSI176C07	C18orf1		-1.511	-1.04	-0.5806	-1.238	-0.2061	-0.546	-1.914	-1.465	-0.7206	-1.518	-1.753	-1.803	0.2396	0.9618	0.8892	1.442	0.9968	0.4684	0.5193	-0.9684	-0.5689	-1.089	-0.3856	-0.8668	-0.2528	-0.5904	0.06155	-0.5864	0.4842	-0.3046	-1.65	0.3393	0.4921	0.04532	0.7089	-0.1535	-1.382	0.9452	0.7331	0.6566	1.793	1.063	2.124	0.821	1.106	0.8166	0.3941	1.7	1.489	1.683	0.01189	2.341	-0.6102	-0.221	-0.4766	-0.7012	0.5684	0.5023	-0.6012	-0.733	-0.158	0.6279	-0.1282	0.5896	0.07853	-0.7335	0.3057	-0.5423
GENE394X	HSI176E07	EST		-1.533	-1.088	-0.5154	-1.355	-0.3953	-0.7365	-1.821	-1.391	-0.6804	-1.556	-1.734	-1.706	0.2732	0.8871	0.9309	1.417	0.917	0.4125	0.1442	-0.9542	-0.5705	-1.075	-0.2591	-0.6928	-0.2199	-0.7449	0.2171	-0.7284	0.5614	-0.4989	-1.626	0.3966	0.4546	0.08771	0.7288	-0.1661	-1.318	0.9032	0.8095	0.6662	1.881	1.262	2.21	0.7404	1.156	0.7256	0.5179	1.67	1.51	1.51	-0.1215	2.376	-0.5275	-0.2902	-0.3848	-0.6332	0.5724	0.4882	-0.695	-0.7613	-0.09597	0.7116	-0.07882	0.5292	0.205	-0.6702	0.3078	-0.5561
GENE497X	HSI007C08	PHF20L1		-1.211	-1.087	-0.5973	-1.295	-0.493	-0.7062	-1.24	-1.212	-0.9157	-1.598	-1.695	-2.091	-0.1101	0.6369	0.3481	1.525	0.1271	0.2066	-0.6844	-0.9137	-0.3929	-0.5713	-0.2985	-0.1906	-0.6754	-0.1933	0.5173	-0.6547	-0.03945	0.2829	-2.009	0.004573	0.5385	0.5189	1.23	0.0155	-0.5436	1.511	1.323	1.076	2.199	2.039	2.428	0.7713	0.8633	0.9567	0.1422	1.176	1.318	1.462	0.8132	1.971	-0.5857	-0.3918	0.03344	-0.4801	0.1246	0.1833	-0.1451	-0.5007	-0.3037	-0.4653	-0.3286	-0.3434	-0.2685	-0.9206	0.5154	-0.7057
