Affy ID	Accession	Gene Symbol	Description	Ctrl mean	Ctrl SD	SD/mean Ctrl	BC mean	BC SD	SD/mean BC	BC/ctrl	direction	P-value
202334_s_at	AI768723	UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)	1.18	0.26	0.22	0.93	0.20	0.22	0.79	down	0.02664114
202412_s_at	AW499935	USP1	ubiquitin specific protease 1	0.82	0.29	0.36	1.10	0.27	0.25	1.35	up	0.003934113
202430_s_at	NM_021105	PLSCR1	phospholipid scramblase 1	0.87	0.33	0.38	1.35	0.84	0.62	1.55	up	0.048269105
202435_s_at	AU154504	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	0.86	0.15	0.18	1.66	1.87	1.13	1.94	up	4.50E-04
202436_s_at	AU144855	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	0.81	0.20	0.25	1.16	0.86	0.75	1.43	up	0.02664114
202437_s_at	NM_000104	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1 /// cytochrome P450, family 1, subfamily B, polypeptide 1	0.80	0.31	0.39	1.20	0.96	0.80	1.50	up	0.045648446
202448_s_at	BE675849	ZYG	chromosome 9 open reading frame 60	0.90	0.20	0.23	1.05	0.26	0.25	1.17	up	0.004658583
202466_at	NM_006999	POLS	polymerase (DNA directed) sigma /// polymerase (DNA directed) sigma	1.18	0.22	0.18	1.02	0.21	0.21	0.86	down	0.010232337
202510_s_at	NM_006291	TNFAIP2	tumor necrosis factor, alpha-induced protein 2 /// tumor necrosis factor, alpha-induced protein 2	1.11	0.18	0.16	0.94	0.24	0.25	0.85	down	0.020589577
202558_s_at	NM_006948	STCH	stress 70 protein chaperone, microsome-associated, 60kDa	0.88	0.24	0.28	1.08	0.36	0.34	1.23	up	0.032073358
202560_s_at	NM_015607	DKFZP547E1010	DKFZP547E1010 protein	1.14	0.21	0.18	1.04	0.17	0.17	0.91	down	0.043092809
202561_at	AF070613	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase /// tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	1.14	0.17	0.15	0.98	0.20	0.20	0.86	down	0.014663846
202577_s_at	BC005162	FLJ11126	hypothetical protein FLJ11126	1.08	0.17	0.16	0.90	0.23	0.26	0.83	down	0.034071627
202579_x_at	NM_006353	HMGN4	high mobility group nucleosomal binding domain 4	1.10	0.19	0.17	0.94	0.19	0.20	0.86	down	0.038369689
202589_at	NM_001071	TYMS	thymidylate synthetase /// thymidylate synthetase	0.87	0.24	0.28	2.84	4.19	1.48	3.25	up	0.038369689
202594_at	NM_015344	LEPROTL1	leptin receptor overlapping transcript-like 1	1.17	0.16	0.13	0.97	0.17	0.18	0.83	down	6.30E-04
202600_s_at	AI824012	NRIP1	nuclear receptor interacting protein 1	0.76	0.40	0.53	1.39	0.72	0.51	1.82	up	0.006992892
202610_s_at	AF135802	CRSP2	cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa	1.09	0.17	0.16	0.97	0.12	0.12	0.89	down	0.018018373
202656_s_at	BG107456	TRIP-Br2	SERTA domain containing 2	1.19	0.38	0.32	1.01	0.23	0.23	0.85	down	0.023455726
202708_s_at	NM_003528	HIST2H2BE	histone 2, H2be /// histone 2, H2be	1.27	0.39	0.31	0.94	0.31	0.33	0.75	down	0.02664114
202731_at	NM_014456	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor) /// programmed cell death 4 (neoplastic transformation inhibitor)	1.11	0.18	0.16	0.92	0.21	0.23	0.83	down	0.032073358
202758_s_at	NM_003721	RFXANK	regulatory factor X-associated ankyrin-containing protein /// regulatory factor X-associated ankyrin-containing protein	1.18	0.24	0.20	1.19	0.39	0.33	1.01	up	0.034071627
202859_x_at	NM_000584	IL8	interleukin 8	1.33	0.73	0.55	0.93	0.86	0.92	0.70	down	0.048269105
202905_x_at	AI796269	NBS1	Nijmegen breakage syndrome 1 (nibrin)	0.85	0.24	0.29	1.35	0.86	0.64	1.59	up	0.015718787
202980_s_at	AI953523	SIAH1	seven in absentia homolog 1 (Drosophila)	1.11	0.15	0.13	0.91	0.19	0.21	0.82	down	0.002309612
202981_x_at	NM_003031	SIAH1	seven in absentia homolog 1 (Drosophila)	1.22	0.17	0.14	0.94	0.23	0.24	0.77	down	8.65E-04
203007_x_at	AF077198	LYPLA1	lysophospholipase I	0.90	0.16	0.17	1.31	0.74	0.56	1.45	up	0.025006967
203012_x_at	NM_000984	RPL23A	hypothetical protein DKFZp547I014	1.05	0.10	0.10	0.97	0.15	0.16	0.92	down	0.040700539
203016_s_at	AK001710	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	0.88	0.16	0.18	1.05	0.19	0.18	1.18	up	0.048269105
203020_at	NM_014857	KIAA0471	expressed in hematopoietic cells, heart, liver	1.13	0.24	0.22	0.84	0.32	0.38	0.74	down	0.011846416
203025_at	NM_003491	ARD1	ARD1 homolog, N-acetyltransferase (S. cerevisiae) /// ARD1 homolog, N-acetyltransferase (S. cerevisiae)	1.10	0.18	0.16	0.95	0.17	0.17	0.86	down	0.043092809
203045_at	NM_004148	NINJ1	ninjurin 1 /// ninjurin 1	1.19	0.19	0.16	1.08	0.53	0.49	0.91	down	0.021984286
203085_s_at	BC000125	TGFB1	transforming growth factor, beta 1 (Camurati-Engelmann disease) /// transforming growth factor, beta 1 (Camurati-Engelmann disease)	0.85	0.22	0.26	1.16	0.48	0.41	1.37	up	0.014663846
203135_at	NM_003194	TBP	TATA box binding protein /// TATA box binding protein	1.07	0.19	0.17	1.01	0.14	0.14	0.94	down	0.036191734
203226_s_at	AL514076	SAS	sarcoma amplified sequence	0.91	0.13	0.14	1.03	0.21	0.21	1.13	up	0.020589577
203231_s_at	AW235612	SCA1	spinocerebellar ataxia 1 (olivopontocerebellar ataxia 1, autosomal dominant, ataxin 1)	0.77	0.44	0.58	1.15	0.44	0.39	1.49	up	0.036169262
203282_at	NM_000158	GBE1	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV) /// glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	0.92	0.19	0.20	1.62	1.18	0.73	1.76	up	0.043092809
203288_at	NM_014686	FLJ21369	KIAA0355	1.23	0.33	0.26	0.93	0.20	0.21	0.75	down	0.001301052
203318_s_at	NM_021964	ZNF148	zinc finger protein 148 (pHZ-52)	0.81	0.25	0.31	1.17	0.29	0.25	1.45	up	0.011024637
203319_s_at	L04282	ZNF148	zinc finger protein 148 (pHZ-52) /// zinc finger protein 148 (pHZ-52)	0.81	0.24	0.30	1.12	0.20	0.18	1.38	up	0.010232337
203322_at	AU145934	KIAA0863	KIAA0863 protein	1.14	0.14	0.12	0.98	0.27	0.27	0.86	down	0.011846416
203373_at	NM_003877	SOCS2	suppressor of cytokine signaling 2 /// suppressor of cytokine signaling 2	0.91	0.16	0.17	1.05	0.25	0.24	1.16	up	0.048269105
203385_at	NM_001345	DGKA	diacylglycerol kinase, alpha 80kDa /// diacylglycerol kinase, alpha 80kDa	1.10	0.19	0.18	0.98	0.25	0.26	0.89	down	0.036191734
203408_s_at	NM_002971	SATB1	special AT-rich sequence binding protein 1 (binto nuclear matrix/scaffold-associating DNAs) /// special AT-rich sequence binding protein 1 (binto nuclear matrix/scaffold-associating DNAs)	1.22	0.22	0.18	1.00	0.33	0.33	0.82	down	0.006992892
203413_at	NM_006159	NELL2	NEL-like 2 (chicken) /// NEL-like 2 (chicken)	1.36	0.53	0.39	0.94	0.26	0.28	0.70	down	0.032073358
203433_at	NM_006441	MTHFS	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase) /// 5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)	1.36	0.44	0.33	0.98	0.19	0.19	0.72	down	0.004288241
203445_s_at	NM_005730	OS4	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 /// CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	1.14	0.15	0.14	1.02	0.19	0.18	0.90	down	0.021984286
203491_s_at	AI123527	KIAA0092	translokin	0.90	0.14	0.16	1.14	0.26	0.23	1.27	up	0.001742896
203492_x_at	AA918224	KIAA0092	translokin	1.25	0.27	0.21	1.02	0.20	0.20	0.82	down	0.010232337
203537_at	NM_002767	PRPSAP2	phosphoribosyl pyrophosphate synthetase-associated protein 2 /// phosphoribosyl pyrophosphate synthetase-associated protein 2	1.21	0.24	0.20	0.97	0.19	0.20	0.80	down	0.001583001
203568_s_at	NM_006355	TRIM38	tripartite motif-containing 38	1.11	0.19	0.17	1.07	0.36	0.33	0.96	down	0.040700539
203579_s_at	AI660619	SLC7A6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	1.15	0.22	0.19	0.92	0.25	0.27	0.80	down	0.012741388
203607_at	NM_014937	INPP5F	inositol polyphosphate-5-phosphatase F	1.22	0.28	0.23	1.04	0.46	0.44	0.86	down	0.009506378
203723_at	NM_002221	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B /// inositol 1,4,5-trisphosphate 3-kinase B	1.19	0.20	0.17	0.99	0.35	0.35	0.84	down	0.018018373
203800_s_at	BG254653	MRPS14	mitochondrial ribosomal protein S14	1.22	0.29	0.24	1.03	0.23	0.22	0.85	down	0.034071627
203833_s_at	BF061845	TGOLN2	trans-golgi network protein 2	0.92	0.22	0.24	1.24	0.37	0.30	1.35	up	0.030171071
203921_at	NM_004267	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2 /// carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	0.79	0.26	0.33	1.19	0.60	0.51	1.51	up	0.006454409
203923_s_at	NM_000397	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease) /// cytochrome b-245, beta polypeptide (chronic granulomatous disease)	0.87	0.24	0.27	1.18	0.45	0.38	1.36	up	0.043092809
203983_at	NM_005999	TSNAX	translin-associated factor X /// translin-associated factor X	0.85	0.23	0.27	1.08	0.24	0.22	1.27	up	0.043092809
204039_at	NM_004364	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha /// CCAAT/enhancer binding protein (C/EBP), alpha	0.92	0.22	0.24	1.22	0.40	0.33	1.32	up	0.045622534
204048_s_at	AA551142	C6orf56	phosphatase and actin regulator 2	0.81	0.26	0.32	1.22	0.53	0.44	1.50	up	0.010232337
204057_at	AI073984	ICSBP1	interferon consensus sequence binding protein 1	1.24	0.35	0.29	0.91	0.24	0.27	0.74	down	0.006454409
204096_s_at	AL136771	DKFZp434I1916	elongation factor RNA polymerase II /// elongation factor RNA polymerase II	1.32	0.34	0.25	1.14	0.37	0.32	0.87	down	0.015718787
204108_at	AL031778		nuclear transcription factor Y, alpha	1.12	0.19	0.17	0.99	0.10	0.10	0.88	down	0.036191734
204160_s_at	AW194947	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	0.76	0.26	0.34	1.18	0.71	0.60	1.56	up	0.032073358
204161_s_at	NM_014936	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function) /// ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	0.81	0.33	0.41	1.32	0.85	0.64	1.62	up	0.018018373
204184_s_at	NM_005160	ADRBK2	adrenergic, beta, receptor kinase 2 /// adrenergic, beta, receptor kinase 2	0.86	0.13	0.15	1.14	0.46	0.40	1.33	up	0.004288241
204198_s_at	AA541630	RUNX3	runt-related transcription factor 3	0.81	0.24	0.30	0.94	0.44	0.47	1.17	up	0.048269105
204215_at	NM_024315	MGC4175	chromosome 7 open reading frame 23	1.18	0.25	0.21	0.89	0.24	0.27	0.75	down	0.045622534
204232_at	NM_004106	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide /// Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	0.94	0.10	0.11	1.21	0.45	0.37	1.29	up	0.025024684
204295_at	NM_003172	SURF1	surfeit 1 /// surfeit 1	1.17	0.20	0.17	1.01	0.30	0.30	0.86	down	0.013668535
204352_at	NM_004619	TRAF5	TNF receptor-associated factor 5 /// TNF receptor-associated factor 5	1.15	0.29	0.26	0.95	0.42	0.44	0.82	down	0.043092809
204434_at	NM_006038	SPATA2	spermatogenesis associated 2 /// spermatogenesis associated 2	1.08	0.15	0.13	0.98	0.14	0.14	0.91	down	0.022000545
204490_s_at	M24915	CD44	CD44 antigen (homing function and Indian blood group system) /// CD44 antigen (homing function and Indian blood group system)	0.91	0.17	0.18	1.14	0.56	0.49	1.25	up	0.045648446
204496_at	NM_014574	STRN3	striatin, calmodulin binding protein 3 /// striatin, calmodulin binding protein 3	0.88	0.21	0.24	1.04	0.17	0.17	1.17	up	0.008807338
204502_at	NM_015474	SAMHD1	SAM domain and HD domain 1	0.91	0.20	0.22	1.04	0.28	0.27	1.15	up	0.020589577
204526_s_at	NM_007063	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	0.87	0.17	0.20	1.42	0.75	0.53	1.63	up	0.036191734
204567_s_at	NM_004915	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1 /// ATP-binding cassette, sub-family G (WHITE), member 1	1.27	0.28	0.22	1.09	0.63	0.57	0.86	down	0.005957871
204633_s_at	AF074393	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	1.17	0.16	0.14	1.04	0.32	0.31	0.88	down	0.02664114
204646_at	NM_000110	DPYD	dihydropyrimidine dehydrogenase /// dihydropyrimidine dehydrogenase	0.84	0.19	0.22	1.00	0.20	0.20	1.19	up	0.045622534
204698_at	NM_002201	ISG20	interferon stimulated gene 20kDa	1.15	0.15	0.13	1.06	0.30	0.28	0.92	down	0.008807338
204771_s_at	AI632304	TTF1	transcription termination factor, RNA polymerase I	1.08	0.14	0.13	1.06	0.29	0.27	0.98	down	0.034071627
204772_s_at	NM_007344	TTF1	transcription termination factor, RNA polymerase I	1.18	0.18	0.15	1.01	0.24	0.24	0.85	down	0.005494224
204777_s_at	NM_002371	MAL	mal, T-cell differentiation protein /// mal, T-cell differentiation protein	1.18	0.30	0.26	0.87	0.40	0.47	0.73	down	0.014663846
204786_s_at	L41944	IFNAR2	interferon (alpha, beta and omega) receptor 2 /// interferon (alpha, beta and omega) receptor 2	0.74	0.39	0.54	1.19	0.35	0.30	1.62	up	0.034071627
204790_at	NM_005904	MADH7	SMAD, mothers against DPP homolog 7 (Drosophila) /// SMAD, mothers against DPP homolog 7 (Drosophila)	0.87	0.20	0.23	1.04	0.35	0.33	1.20	up	0.020589577
204805_s_at	NM_006026	H1FX	H1 histone family, member X /// H1 histone family, member X	0.81	0.20	0.25	1.01	0.31	0.31	1.25	up	0.036169262
204881_s_at	NM_003358	UGCG	UDP-glucose ceramide glucosyltransferase /// UDP-glucose ceramide glucosyltransferase	0.87	0.31	0.36	2.27	2.74	1.21	2.61	up	0.032094185
204900_x_at	NM_003864	SAP30	sin3-associated polypeptide, 30kDa	0.85	0.23	0.27	1.20	0.39	0.32	1.41	up	0.008807338
204937_s_at	NM_016325	ZNF274	zinc finger protein 274 /// zinc finger protein 274	1.12	0.16	0.14	0.94	0.14	0.15	0.84	down	0.019268589
204951_at	NM_004310	ARHH	ras homolog gene family, member H /// ras homolog gene family, member H	1.18	0.24	0.20	0.96	0.20	0.21	0.81	down	0.011014583
205006_s_at	NM_004808	NMT2	N-myristoyltransferase 2	1.14	0.22	0.19	0.90	0.27	0.30	0.79	down	0.043092809
205072_s_at	NM_022406	XRCC4	X-ray repair complementing defective repair in Chinese hamster cells 4 /// X-ray repair complementing defective repair in Chinese hamster cells 4	0.85	0.18	0.21	1.19	0.59	0.50	1.41	up	0.011024637
205091_x_at	NM_002907	RECQL	RecQ protein-like (DNA helicase Q1-like)	0.95	0.33	0.34	1.14	0.34	0.30	1.21	up	0.038369689
205097_at	AI025519	SLC26A2	solute carrier family 26 (sulfate transporter), member 2	0.93	0.30	0.32	1.17	0.29	0.25	1.26	up	0.036169262
205139_s_at	NM_005715	UST	uronyl-2-sulfotransferase /// uronyl-2-sulfotransferase	1.13	0.17	0.15	0.99	0.23	0.23	0.87	down	0.021984286
205140_at	NM_003838	FPGT	fucose-1-phosphate guanylyltransferase /// fucose-1-phosphate guanylyltransferase	0.91	0.23	0.25	1.10	0.37	0.34	1.20	up	0.034071627
205285_s_at	AI633888	FYB	FYN binding protein (FYB-120/130)	0.76	0.29	0.38	1.15	0.34	0.30	1.51	up	0.008168216
205312_at	NM_003120	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1 /// spleen focus forming virus (SFFV) proviral integration oncogene spi1	0.68	0.33	0.49	1.36	1.29	0.95	1.98	up	0.002108077
205315_s_at	NM_006750	SNTB2	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2) /// syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)	0.74	0.22	0.30	1.18	0.26	0.22	1.59	up	2.42E-05
205335_s_at	NM_003135	SRP19	signal recognition particle 19kDa /// signal recognition particle 19kDa	0.93	0.16	0.17	1.06	0.20	0.19	1.14	up	0.034071627
205401_at	NM_003659	AGPS	alkylglycerone phosphate synthase /// alkylglycerone phosphate synthase	0.91	0.11	0.12	1.30	0.86	0.67	1.43	up	0.023455726
205539_at	NM_006576	AVIL	advillin /// advillin	1.42	0.51	0.36	0.95	0.28	0.29	0.67	down	9.62E-04
205603_s_at	NM_007309	DIAPH2	diaphanous homolog 2 (Drosophila)	0.88	0.18	0.21	1.30	0.58	0.45	1.48	up	0.005067366
205733_at	NM_000057	BLM	Bloom syndrome /// Bloom syndrome	0.89	0.13	0.15	1.25	0.80	0.64	1.40	up	0.030171071
205790_at	NM_003726	SCAP1	src family associated phosphoprotein 1 /// src family associated phosphoprotein 1	1.11	0.25	0.23	0.87	0.26	0.30	0.78	down	0.02664114
205873_at	NM_004278	PIGL	phosphatidylinositol glycan, class L /// phosphatidylinositol glycan, class L	1.11	0.19	0.17	0.93	0.12	0.13	0.84	down	0.032094185
205992_s_at	NM_000585	IL15	interleukin 15 /// interleukin 15	0.82	0.21	0.26	1.19	0.63	0.53	1.45	up	0.007553592
206050_s_at	NM_002939	RNH	ribonuclease/angiogenin inhibitor /// ribonuclease/angiogenin inhibitor	0.89	0.18	0.20	0.99	0.17	0.17	1.11	up	0.014663846
206060_s_at	NM_015967	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid) /// protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	0.84	0.20	0.24	1.09	0.30	0.27	1.30	up	0.020589577
206150_at	NM_001242	TNFRSF7	tumor necrosis factor receptor superfamily, member 7 /// tumor necrosis factor receptor superfamily, member 7	1.28	0.43	0.34	0.91	0.41	0.45	0.71	down	0.022000545
206336_at	NM_002993	CXCL6	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2) /// chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	1.21	0.37	0.30	0.94	0.29	0.31	0.77	down	0.048269105
206478_at	NM_014792	KIAA0125	KIAA0125	1.25	0.38	0.30	1.05	0.36	0.34	0.84	down	0.036191734
206544_x_at	NM_003070	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	1.18	0.26	0.22	0.97	0.14	0.15	0.82	down	0.025006967
206562_s_at	NM_001892	CSNK1A1	casein kinase 1, alpha 1 /// casein kinase 1, alpha 1	0.91	0.13	0.14	1.03	0.17	0.17	1.14	up	0.003308497
206567_s_at	NM_016436	C20orf104	chromosome 20 open reading frame 104 /// chromosome 20 open reading frame 104	1.12	0.16	0.14	1.03	0.20	0.20	0.92	down	0.036169262
206608_s_at	NM_020366	RPGRIP1	retinitis pigmentosa GTPase regulator interacting protein 1 /// retinitis pigmentosa GTPase regulator interacting protein 1	1.50	0.55	0.37	1.01	0.21	0.21	0.67	down	0.011846416
206631_at	NM_000956	PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa /// prostaglandin E receptor 2 (subtype EP2), 53kDa	0.85	0.26	0.30	1.00	0.29	0.29	1.18	up	0.048269105
206666_at	NM_002104	GZMK	granzyme K (serine protease, granzyme 3; tryptase II) /// granzyme K (serine protease, granzyme 3; tryptase II)	1.14	0.15	0.13	0.96	0.58	0.60	0.84	down	0.020589577
206667_s_at	AF005037	SCAMP1	secretory carrier membrane protein 1	0.81	0.21	0.25	1.04	0.46	0.44	1.28	up	0.045648446
206900_x_at	NM_021047	LOC114977	zinc finger protein 506 /// zinc finger protein 506	0.91	0.15	0.16	1.12	0.36	0.32	1.23	up	0.015718787
207038_at	NM_004694	SLC16A6	solute carrier family 16 (monocarboxylic acid transporters), member 6 /// solute carrier family 16 (monocarboxylic acid transporters), member 6	0.81	0.26	0.32	1.13	0.36	0.32	1.40	up	0.015718787
207040_s_at	NM_003932	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	1.12	0.20	0.17	0.91	0.16	0.17	0.81	down	0.038369689
207064_s_at	NM_009590	AOC2	amine oxidase, copper containing 2 (retina-specific) /// amine oxidase, copper containing 2 (retina-specific)	1.19	0.29	0.24	0.98	0.25	0.25	0.82	down	0.022000545
207153_s_at	NM_007070	GLMN	glomulin, FKBP associated protein /// glomulin, FKBP associated protein	1.10	0.20	0.18	0.93	0.31	0.33	0.85	down	0.02664114
207163_s_at	NM_005163	AKT1	v-akt murine thymoma viral oncogene homolog 1 /// v-akt murine thymoma viral oncogene homolog 1	1.22	0.27	0.22	1.00	0.24	0.24	0.82	down	0.015718787
207564_x_at	NM_003605	OGT; HRNT1; FLJ23071; MGC22921; O-GLCNAC	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	1.17	0.16	0.14	0.99	0.20	0.20	0.85	down	0.006985679
207565_s_at	NM_001531	MR1	major histocompatibility complex, class I-related /// major histocompatibility complex, class I-related	0.87	0.16	0.18	1.14	0.39	0.34	1.32	up	0.007553592
207657_x_at	NM_002270	KPNB2	transportin 1	0.75	0.15	0.20	1.25	0.77	0.61	1.67	up	4.43E-05
207688_s_at	NM_005538	INHBC	inhibin, beta C /// inhibin, beta C	0.88	0.19	0.22	1.07	0.24	0.23	1.21	up	0.021984286
207728_at	NM_018005	ATF7IP	activating transcription factor 7 interacting protein	0.90	0.29	0.32	1.14	0.23	0.20	1.26	up	0.032094185
207980_s_at	NM_006079	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	0.85	0.20	0.23	1.20	0.68	0.56	1.41	up	0.020589577
208095_s_at	NM_001222	CAMK2G	signal recognition particle 72kDa /// signal recognition particle 72kDa	0.82	0.15	0.18	1.00	0.20	0.20	1.21	up	0.001063909
208097_s_at	NM_030755	TXNDC	thioredoxin domain containing /// thioredoxin domain containing /// thioredoxin domain containing	0.92	0.15	0.17	1.04	0.38	0.36	1.14	up	0.032073358
208200_at	NM_000575	IL1A	interleukin 1, alpha /// interleukin 1, alpha	0.90	0.37	0.41	1.23	0.28	0.23	1.36	up	0.019283461
208206_s_at	NM_005825	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	1.13	0.18	0.16	1.02	0.21	0.21	0.90	down	0.019283461
208310_s_at	NM_007085	FSTL1	follistatin-like 1 /// follistatin-like 1	0.93	0.16	0.17	1.11	0.25	0.23	1.20	up	0.019268589
208322_s_at	NM_003033	SIAT4A	sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase) /// sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase)	1.25	0.28	0.22	1.04	0.25	0.24	0.83	down	0.003609678
208478_s_at	NM_004324	BAX	BCL2-associated X protein /// BCL2-associated X protein	0.83	0.25	0.30	1.28	0.81	0.64	1.55	up	0.007553592
208612_at	D83485	GRP58	glucose regulated protein, 58kDa /// glucose regulated protein, 58kDa	0.74	0.22	0.30	1.02	0.50	0.48	1.38	up	0.004288241
208615_s_at	BF795101	PTP4A2	protein tyrosine phosphatase type IVA, member 2	0.92	0.26	0.28	1.05	0.36	0.34	1.15	up	0.043092809
208624_s_at	BE966878	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	0.82	0.22	0.27	1.04	0.13	0.13	1.27	up	0.001916633
208677_s_at	AL550657	BSG	basigin (OK blood group)	0.84	0.35	0.41	1.12	0.38	0.34	1.33	up	0.007553592
208692_at	U14990	RPS3	ribosomal protein S3 /// ribosomal protein S3	1.11	0.19	0.17	1.03	0.23	0.22	0.92	down	0.036191734
208705_s_at	BG481972	EIF5	eukaryotic translation initiation factor 5	0.85	0.15	0.17	1.05	0.21	0.20	1.24	up	0.004658583
208768_x_at	D17652	RPL22	ribosomal protein L22 /// ribosomal protein L22	1.15	0.17	0.15	1.00	0.19	0.19	0.87	down	0.018018373
208784_s_at	BC001793	KLHDC3	kelch domain containing 3	0.91	0.22	0.25	1.20	0.26	0.22	1.32	up	0.045622534
208804_s_at	AL031681		splicing factor, arginine/serine-rich 6	1.18	0.26	0.22	0.97	0.25	0.26	0.82	down	0.022000545
208825_x_at	U43701	RPL23A	ribosomal protein L23a /// ribosomal protein L23a	1.06	0.09	0.09	0.96	0.15	0.16	0.90	down	0.030171071
208834_x_at	BC001865		cadherin 1, type 1, E-cadherin (epithelial)	1.07	0.10	0.09	0.97	0.15	0.15	0.91	down	0.02664114
208856_x_at	BC003655	RPLP0	ribosomal protein, large, P0	1.15	0.18	0.16	1.02	0.22	0.21	0.88	down	0.01467616
208869_s_at	AF087847	GABARAPL1	GABA(A) receptor-associated protein like 1	1.13	0.19	0.17	0.94	0.28	0.30	0.83	down	0.023455726
208900_s_at	AW025108		topoisomerase (DNA) I	0.76	0.30	0.40	1.10	0.26	0.24	1.44	up	0.004658583
208913_at	AA868560	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	1.11	0.24	0.21	0.96	0.18	0.19	0.87	down	0.023455726
208929_x_at	BC004954	RPL13	ribosomal protein L13	1.11	0.11	0.10	0.95	0.18	0.19	0.85	down	0.001742896
208944_at	D50683		transforming growth factor, beta receptor II (70/80kDa) /// transforming growth factor, beta receptor II (70/80kDa)	1.10	0.12	0.10	1.02	0.22	0.21	0.93	down	0.036191734
208949_s_at	BC001120	LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3) /// lectin, galactoside-binding, soluble, 3 (galectin 3)	0.89	0.17	0.19	1.20	0.62	0.52	1.35	up	0.025006967
208977_x_at	BC004188	TUBB2	tubulin, beta, 2 /// tubulin, beta, 2	0.88	0.18	0.20	1.05	0.19	0.18	1.20	up	0.036169262
208991_at	AA634272		signal transducer and activator of transcription 3 (acute-phase response factor)	1.06	0.13	0.13	1.01	0.22	0.21	0.95	down	0.045648446
209020_at	AF217514	C20orf111	chromosome 20 open reading frame 111	1.14	0.21	0.19	0.96	0.17	0.18	0.84	down	0.018018373
209024_s_at	AI472757	NSAP1	synaptotagmin binding, cytoplasmic RNA interacting protein	0.83	0.28	0.34	1.11	0.28	0.26	1.34	up	0.003934113
209057_x_at	AB007892	CDC5L	CDC5 cell division cycle 5-like (S. pombe)	0.84	0.16	0.19	0.99	0.24	0.24	1.18	up	0.006454409
209058_at	AB002282	EDF1	endothelial differentiation-related factor 1 /// endothelial differentiation-related factor 1	1.14	0.23	0.20	0.99	0.18	0.18	0.87	down	0.030171071
209082_s_at	AF018081	COL18A1	collagen, type XVIII, alpha 1 /// collagen, type XVIII, alpha 1	1.18	0.45	0.38	0.97	0.32	0.33	0.83	down	0.020589577
209128_s_at	D63879	SART3	squamous cell carcinoma antigen recognised by T cells 3	1.13	0.23	0.20	0.98	0.19	0.19	0.87	down	0.032073358
