Agilent Probe ID	GeneName	TopHit	Description	P.Value
A_32_P42354	ACTG2	gb|AI659667|gb|AA526576|gb|AA552462|gb|AI749729	AI659667 tu25d01.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:2252065 3 similar to gb:X16940 ACTIN, GAMMA-ENTERIC SMOOTH MUSCLE (HUMAN);, mRNA sequence [AI659667]	2.66E-30
A_23_P138706	ADRA2A	ref|NM_000681|gb|AF284095|gb|BC050414|thc|THC2237138	Homo sapiens adrenergic, alpha-2A-, receptor (ADRA2A), mRNA [NM_000681]	5.72E-30
A_24_P828054	RPL10		Unknown	1.40E-29
A_23_P52761	MMP7	ref|NM_002423|gb|BC003635|gb|X07819|gb|AK222980	Homo sapiens matrix metalloproteinase 7 (matrilysin, uterine) (MMP7), mRNA [NM_002423]	1.12E-28
A_23_P408353	HLA-A	ref|NM_002116|gb|M27971|gb|U41057|gb|X61705	Homo sapiens major histocompatibility complex, class I, A (HLA-A), mRNA [NM_002116]	1.30E-28
A_23_P214267	GPR110	ref|NM_153840|gb|CR627234|thc|THC2366580	Homo sapiens G protein-coupled receptor 110 (GPR110), transcript variant 1, mRNA [NM_153840]	2.18E-28
A_23_P348146	SLAIN1	ref|NM_144595|gb|AL834203|gb|BC045177|gb|AL834332	Homo sapiens hypothetical protein FLJ30046 (FLJ30046), mRNA [NM_144595]	3.44E-27
A_23_P63459	C1orf31	ref|NM_001012985|gb|BC025793|ens|ENST00000302661|gb|CR609197	Homo sapiens chromosome 1 open reading frame 31 (C1orf31), mRNA [NM_001012985]	7.12E-27
A_23_P154526	GRB14	ref|NM_004490|gb|L76687|gb|AK074599|gb|CR612679	Homo sapiens growth factor receptor-bound protein 14 (GRB14), mRNA [NM_004490]	7.46E-26
A_32_P13533	A_32_P13533	thc|THC2436642	Unknown	2.45E-25
A_24_P84498	A_24_P84498	ens|ENST00000327788|gb|BC062748|thc|THC2433024|thc|THC2433022	Homo sapiens cDNA clone IMAGE:6616931, partial cds. [BC062748]	2.25E-24
A_23_P168951	ZHX2	ref|NM_014943|gb|BC042145|gb|AB020661|thc|THC2246341	Homo sapiens zinc fingers and homeoboxes 2 (ZHX2), mRNA [NM_014943]	3.38E-24
A_23_P155815	NCAPG	ref|NM_022346|gb|AF331796|gb|AK022512|gb|AK023147	Homo sapiens chromosome condensation protein G (HCAP-G), mRNA [NM_022346]	1.84E-23
A_32_P2730	BCAN	gb|BC005081|gb|BC067354|gb|BC010117|thc|THC2276882	Homo sapiens brevican, mRNA (cDNA clone IMAGE:3618761), partial cds. [BC005081]	1.02E-22
A_23_P43157	MYBL1	gb|X66087|gb|XM_034274|thc|THC2336895	H.sapiens a-myb mRNA. [X66087]	4.47E-22
A_24_P100382	GK	ref|NM_203391|ref|NM_000167|gb|BC042421|gb|BC071595	Homo sapiens glycerol kinase (GK), transcript variant 1, mRNA [NM_203391]	5.64E-22
A_32_P46313	PSMD11	gb|CF529502|gb|BM969871|gb|AW027319|gb|BF513848	CF529502 UI-1-BC1p-ash-d-10-0-UI.s1 NCI_CGAP_Pl3 Homo sapiens cDNA clone UI-1-BC1p-ash-d-10-0-UI 3, mRNA sequence [CF529502]	1.42E-21
A_23_P34375	TCEA3	ref|NM_003196|gb|BC041613|gb|AJ223473|gb|AK027024	Homo sapiens transcription elongation factor A (SII), 3 (TCEA3), mRNA [NM_003196]	2.44E-21
A_24_P119634	GJD4	gb|BC035898	Homo sapiens connexin40.1, mRNA (cDNA clone IMAGE:5240397), partial cds. [BC035898]	6.21E-15
A_32_P74964	C6orf168	gb|AK055101|gb|CR749795|thc|THC2311974	Homo sapiens cDNA FLJ30539 fis, clone BRAWH2001255. [AK055101]	1.01E-11
A_23_P161940	SCGB2A2	ref|NM_002411|gb|U33147|thc|THC2239347	Homo sapiens secretoglobin, family 2A, member 2 (SCGB2A2), mRNA [NM_002411]	1.15E-11
A_23_P8702	PIP	ref|NM_002652|gb|BC010951|ens|ENST00000291009|gb|Y10179	Homo sapiens prolactin-induced protein (PIP), mRNA [NM_002652]	2.15E-10
