Genbank	0.1mM Ibu Ratio	0.1mM Ibu P-value	Description
CD673040	2.67	0.007	CCAAT/enhancer binding protein (C/EBP), delta
NM_152595	2.67	0.003	piggyBac transposable element derived 4
NM_000167	2.67	0.010	glycerol kinase
NM_013306	2.66	0.002	sorting nexin 15
CA428916	2.66	0.037	T-box, brain, 1
AI821140	2.66	0.003	Phosphodiesterase 4D interacting protein (myomegalin)
NM_015059	2.66	0.002	talin 2
NM_014398	2.65	0.003	lysosomal-associated membrane protein 3
AI632495	2.65	0.002	Epithelial cell transforming sequence 2 oncogene
AW853213	2.65	0.002	CD300 molecule-like family member f
NM_022818	2.65	0.005	microtubule-associated protein 1 light chain 3 beta
NM_003599	2.65	0.0002	suppressor of Ty 3 homolog (S. cerevisiae)
NM_005546	2.65	0.0004	IL2-inducible T-cell kinase
AI268315	2.64	0.016	WD repeat and FYVE domain containing 3
NM_006509	2.64	0.014	v-rel reticuloendotheliosis viral oncogene homolog B
NM_014407	2.64	0.001	potassium large conductance calcium-activated channel
NM_012472	2.64	0.001	leucine rich repeat containing 6
NM_006363	2.64	0.021	Sec23 homolog B (S. cerevisiae)
NM_019885	2.63	0.006	cytochrome P450, family 26, subfamily B, polypeptide 1
NM_032483	2.63	0.005	phosphatidic acid phosphatase type 2 domain containing 1B
NM_006973	2.63	0.002	zinc finger protein 32
BE614441	2.63	0.009	Pregnancy-associated plasma protein A, pappalysin 1
AL137488	2.62	0.014	chromosome 12 open reading frame 29
NM_006813	2.62	0.012	proline-rich nuclear receptor coactivator 1
AI872732	2.62	0.022	Centaurin, delta 1
NM_002852	2.62	0.007	pentraxin-related gene, rapidly induced by IL-1 beta
T83845	2.62	0.023	Chromosome X open reading frame 21
M92843	2.62	0.026	zinc finger protein 36, C3H type, homolog (mouse)
NM_005977	2.62	0.007	ring finger protein (C3H2C3 type) 6
NM_024515	2.62	0.027	WD repeat domain 25
NM_032148	2.61	0.0005	solute carrier family 41, member 2
AL832207	2.61	0.005	pleckstrin homology domain containing, family H member 2
NM_005920	2.61	0.017	MADS box transcription enhancer factor 2, polypeptide D
NM_020367	2.61	0.005	poly (ADP-ribose) polymerase family, member 11
NM_007041	2.61	0.006	arginyltransferase 1
NM_014941	2.61	0.005	MORC family CW-type zinc finger 2
AI094001	2.60	0.003	Transcribed locus
NM_005402	2.60	0.015	v-ral simian leukemia viral oncogene homolog A (ras related)
CA306768	2.60	0.032	Muscle RAS oncogene homolog
AK057113	2.60	0.004	Sema domain, immunoglobulin domain (Ig), (semaphorin) 3C
NM_000785	2.59	0.008	cytochrome P450, family 27, subfamily B, polypeptide 1
NM_031445	2.59	0.035	hypothetical protein MGC4268
NM_002503	2.59	0.031	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor
NM_005399	2.59	0.004	protein kinase, AMP-activated, beta 2 non-catalytic subunit
BF507830	2.59	0.001	Transcribed locus
NM_005082	2.59	0.020	tripartite motif-containing 25
NM_173626	2.59	0.019	solute carrier family 26, member 11
NM_032501	2.58	0.016	acyl-CoA synthetase short-chain family member 1
NM_015599	2.58	0.007	phosphoglucomutase 3
NM_024041	2.58	0.026	sodium channel modifier 1
AK022367	2.58	0.002	Receptor accessory protein 5
BX100252	2.58	0.017	Phosphatidylinositol glycan anchor biosynthesis, class C
NM_003135	2.58	0.026	signal recognition particle 19kDa
BM687366	2.57	0.001	Syntaxin 4
NM_021127	2.57	0.002	phorbol-12-myristate-13-acetate-induced protein 1
NM_001885	2.57	0.049	crystallin, alpha B
NM_002955	2.57	0.017	ras responsive element binding protein 1
NM_024610	2.57	0.004	HSPB (heat shock 27kDa) associated protein 1
NM_005875	2.57	0.016	eukaryotic translation initiation factor 1B
BQ723580	2.57	0.0004	Paired box gene 7
AI680318	2.56	0.042	Crystallin, lambda 1
AB033048	2.56	0.002	protein phosphatase 1, regulatory (inhibitor) subunit 9A
NM_014181	2.56	0.030	HSPC159 protein
NM_016120	2.56	0.011	ring finger protein 12
NM_002247	2.56	0.019	potassium large conductance calcium-activated channel, subfamily M
NM_023932	2.56	0.028	EGF-like-domain, multiple 9
NM_024345	2.55	0.0003	WD repeat domain 32
AK093722	2.55	0.024	Homo sapiens cDNA FLJ36403 fis, clone THYMU2009948.
NM_000084	2.55	0.001	chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)
AA377184	2.55	0.017	Nuclear receptor coactivator 1
NM_001902	2.55	0.001	cystathionase (cystathionine gamma-lyase)
NM_006555	2.55	0.003	YKT6 v-SNARE homolog (S. cerevisiae)
AK000754	2.55	0.002	trafficking protein, kinesin binding 1
NM_003528	2.55	0.002	histone 2, H2be
BC024736	2.55	0.006	Albumin
BF680024	2.55	0.014	Glia maturation factor, beta
NM_007110	2.55	0.031	telomerase-associated protein 1
AA524682	2.54	0.0002	TRAF3 interacting protein 2
NM_021732	2.54	0.010	arginine vasopressin-induced 1
NM_032136	2.54	0.033	transketolase-like 2
NM_152699	2.54	0.003	SUMO1/sentrin specific peptidase 5
NM_006782	2.54	0.006	zinc finger protein-like 1
NM_017638	2.54	0.001	mediator of RNA polymerase II transcription, subunit 18 homolog
NM_001225	2.53	0.012	caspase 4, apoptosis-related cysteine peptidase
AK021992	2.53	0.001	Pregnancy-associated plasma protein A, pappalysin 1
BX283552	2.53	0.0003	Solute carrier family 35, member D2
BX452099	2.53	0.014	Tumor protein p73-like
NM_016041	2.53	0.022	Der1-like domain family, member 2
AI307086	2.53	0.022	Hypothetical protein LOC642895
BC043273	2.53	0.018	hydrocephalus inducing homolog (mouse)
AK126330	2.52	0.011	NIMA (never in mitosis gene a)-related kinase 5
NM_006214	2.52	0.004	phytanoyl-CoA 2-hydroxylase
AA400004	2.52	0.004	Hemoglobin, gamma G
NM_004067	2.52	0.006	chimerin (chimaerin) 2
NM_005261	2.52	0.013	GTP binding protein overexpressed in skeletal muscle
CD704687	2.52	0.002	Topoisomerase (DNA) II beta 180kDa
NM_013401	2.52	0.002	RAB3A interacting protein (rabin3)-like 1
NM_005708	2.52	0.004	glypican 6
NM_005007	2.52	0.004	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
AI379366	2.52	0.037	Zinc finger protein 37A
NM_005183	2.51	0.013	calcium channel, voltage-dependent, alpha 1F subunit
AW859245	2.51	0.020	Kruppel-like factor 6
NM_022365	2.51	0.008	DnaJ (Hsp40) homolog, subfamily C, member 1
NM_018324	2.51	0.010	oleoyl-ACP hydrolase
NM_001668	2.51	0.004	aryl hydrocarbon receptor nuclear translocator
NM_022082	2.51	0.010	chromosome 20 open reading frame 59
BQ011805	2.51	0.040	Proline synthetase co-transcribed homolog (bacterial)
NM_017686	2.51	0.036	ganglioside induced differentiation associated protein 2
NM_152505	2.51	0.012	chromosome 21 open reading frame 13
BC036361	2.51	0.037	CDNA clone IMAGE:4825318
NM_052960	2.51	0.044	retinol binding protein 7, cellular
BE767991	2.51	0.008	Chemokine (C-C motif) ligand 7
BM829897	2.50	0.015	FXYD domain containing ion transport regulator 6
CD357215	2.50	0.017	Hemoglobin, alpha 1
NM_024788	2.50	0.030	hypothetical protein FLJ21062
NM_016264	2.50	0.0005	zinc finger protein 44
AB058781	2.50	0.001	microtubule-associated protein 6
NM_020374	2.50	0.001	chromosome 12 open reading frame 4
NM_152550	2.50	0.009	SH3 domain containing ring finger 2
BI020419	2.50	0.002	Olfactory receptor, family 2, subfamily A, member 7
CA396079	2.50	0.006	Myeloid leukemia factor 1
NM_152663	2.50	0.003	Ral GEF with PH domain and SH3 binding motif 2
AA164237	2.50	0.003	Zinc finger protein 222
AA741319	2.50	0.047	Translin
AK025997	2.49	0.049	multiple C2 domains, transmembrane 1
NM_012116	2.49	0.003	Cas-Br-M (murine) ecotropic retroviral transforming sequence c
NM_018474	2.49	0.011	chromosome 20 open reading frame 19
NM_012258	2.48	0.020	hairy/enhancer-of-split related with YRPW motif 1
NM_014650	2.48	0.048	zinc finger protein 432
NM_003244	2.48	0.003	TGFB-induced factor (TALE family homeobox)
AA906243	2.47	0.038	Calpain 9
BC033199	2.47	0.011	zinc finger protein 616
NM_198471	2.47	0.015	ankyrin repeat domain 47
NM_016224	2.47	0.009	sorting nexin 9
NM_004973	2.47	0.036	Jumonji, AT rich interactive domain 2
AW139606	2.47	0.001	Poly (ADP-ribose) polymerase family, member 6
NM_133491	2.47	0.003	spermidine/spermine N1-acetyltransferase 2
NM_032122	2.46	0.001	dystrobrevin binding protein 1
NM_024644	2.46	0.004	chromosome 14 open reading frame 169
NM_014368	2.46	0.014	LIM homeobox 6
NM_017712	2.46	0.010	pyroglutamyl-peptidase I
NM_152332	2.46	0.008	membrane targeting (tandem) C2 domain containing 1
NM_153706	2.46	0.019	hypothetical protein MGC33648
BG939615	2.46	0.027	Ferritin, heavy polypeptide 1
NM_003845	2.46	0.005	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
AK123464	2.45	0.037	Bone morphogenetic protein receptor, type II (serine/threonine kinase)
NM_031915	2.45	0.006	SET domain, bifurcated 2
NM_000203	2.45	0.001	iduronidase, alpha-L-
NM_000678	2.45	0.0004	adrenergic, alpha-1D-, receptor
NM_004239	2.45	0.005	thyroid hormone receptor interactor 11
NM_152437	2.45	0.026	zinc finger protein 664
NM_138448	2.45	0.026	acylphosphatase 2, muscle type
NM_000574	2.45	0.002	CD55 molecule, decay accelerating factor for complement
AA056655	2.45	0.005	Anaphase promoting complex subunit 5
NM_032551	2.45	0.025	KISS1 receptor
NM_173584	2.44	0.004	EF-hand calcium binding domain 4A
NM_015927	2.44	0.016	transforming growth factor beta 1 induced transcript 1
NM_152652	2.44	0.029	zinc finger protein 553
NM_024325	2.44	0.033	zinc finger protein 343
AW119226	2.43	0.001	Progestin and adipoQ receptor family member III
NM_007194	2.43	0.015	CHK2 checkpoint homolog (S. pombe)
NM_014445	2.43	0.008	stress-associated endoplasmic reticulum protein 1
NM_006520	2.43	0.025	dynein, light chain, Tctex-type 3
NM_005316	2.43	0.001	general transcription factor IIH, polypeptide 1, 62kDa
NM_004209	2.43	0.043	synaptogyrin 3
NM_022899	2.43	0.045	ARP8 actin-related protein 8 homolog (yeast)
NM_144693	2.43	0.007	zinc finger protein 558
NM_002470	2.43	0.047	myosin, heavy polypeptide 3, skeletal muscle, embryonic
NM_020233	2.43	0.030	chromosome 17 open reading frame 48
NM_144686	2.42	0.010	transmembrane channel-like 4
NM_033132	2.42	0.001	Zic family member 5 (odd-paired homolog, Drosophila)
NM_024793	2.42	0.008	clusterin associated protein 1
H44982	2.42	0.016	Deleted in lymphocytic leukemia, 2
H86381	2.42	0.001	PRP4 pre-mRNA processing factor 4 homolog B (yeast)
NM_013266	2.42	0.004	catenin (cadherin-associated protein), alpha 3
AK091254	2.41	0.017	WAS protein homology region 2 domain containing 1-like 1
NM_144684	2.41	0.015	zinc finger protein 480
NM_013334	2.41	0.004	GDP-mannose pyrophosphorylase B
NM_025073	2.41	0.032	suppressor of IKK epsilon
NM_018147	2.41	0.033	Fas apoptotic inhibitory molecule
BC033982	2.41	0.009	Similar to septin 7
NM_004726	2.41	0.025	RALBP1 associated Eps domain containing 2
AF250847	2.41	0.046	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2
NM_032308	2.40	0.003	RPA interacting protein
NM_014553	2.40	0.009	transcription factor CP2-like 1
NM_003622	2.40	0.005	PTPRF interacting protein, binding protein 1 (liprin beta 1)
NM_004926	2.40	0.009	zinc finger protein 36, C3H type-like 1
NM_018445	2.39	0.014	selenoprotein S
BU585023	2.39	0.042	Similar to CG6915-PA
NM_017832	2.39	0.001	chromosome 9 open reading frame 6
NM_024800	2.38	0.017	NIMA (never in mitosis gene a)- related kinase 11
BX107717	2.38	0.029	Procollagen-proline, 2-oxoglutarate 4-dioxygenase
BF509200	2.38	0.005	Ribosomal protein L39
AI623181	2.37	0.001	Transcribed locus
BG541661	2.37	0.002	Zinc finger protein 226
NM_022466	2.37	0.007	IKAROS family zinc finger 5 (Pegasus)
NM_005246	2.37	0.002	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)
NM_002847	2.37	0.003	protein tyrosine phosphatase, receptor type, N polypeptide 2
BE467142	2.37	0.006	Annexin A13
NM_006393	2.36	0.003	nebulette
NM_019099	2.36	0.006	chromosome 1 open reading frame 183
NM_021972	2.36	0.007	sphingosine kinase 1
NM_006851	2.36	0.002	GLI pathogenesis-related 1 (glioma)
NM_032169	2.36	0.031	acyl-Coenzyme A dehydrogenase family, member 11
NM_001572	2.35	0.0004	interferon regulatory factor 7
NM_004861	2.35	0.005	galactose-3-O-sulfotransferase 1
NM_052870	2.35	0.008	sorting nexin associated golgi protein 1
NM_003455	2.35	0.010	zinc finger protein 202
NM_014483	2.35	0.018	RNA binding motif, single stranded interacting protein
AK056965	2.35	0.040	alanyl-tRNA synthetase domain containing 1
NM_153342	2.35	0.0004	transmembrane protein 150
NM_019120	2.35	0.007	protocadherin beta 8
NM_001393	2.34	0.006	extracellular matrix protein 2, female organ and adipocyte specific
AI215024	2.34	0.007	Similar to KIAA1680 protein
AA664076	2.34	0.017	Caspase 3, apoptosis-related cysteine peptidase
NM_002037	2.34	0.0004	FYN oncogene related to SRC, FGR, YES
BI754642	2.34	0.017	Endothelin 3
NM_014037	2.34	0.011	solute carrier family 6, member 16
BG572732	2.34	0.003	Kelch-like 5 (Drosophila)
NM_002925	2.34	0.037	regulator of G-protein signalling 10
AI033428	2.34	0.002	Solute carrier family 35, member D2
NM_003901	2.34	0.004	sphingosine-1-phosphate lyase 1
NM_002384	2.34	0.023	methyl-CpG binding domain protein 1
NM_004090	2.33	0.001	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)
NM_021116	2.33	0.042	adenylate cyclase 1 (brain)
NM_017913	2.33	0.001	CDC37 cell division cycle 37 homolog (S. cerevisiae)-like 1
NM_005930	2.33	0.003	CTAGE family, member 5
BU176951	2.33	0.004	Ankyrin repeat domain 24
NM_004688	2.33	0.036	N-myc (and STAT) interactor
BX370714	2.32	0.022	ATG16 autophagy related 16-like 1 (S. cerevisiae)
NM_018590	2.32	0.007	chondroitin sulfate GalNAcT-2
NM_003407	2.32	0.014	zinc finger protein 36, C3H type, homolog (mouse)
BX500574	2.32	0.019	MAM domain containing 1
NM_004055	2.32	0.013	calpain 5
NM_031464	2.32	0.003	ribosomal protein S6 kinase-like 1
NM_152549	2.32	0.030	coiled-coil domain containing 112
AI075715	2.32	0.033	Transmembrane protein 150
NM_014572	2.32	0.031	LATS, large tumor suppressor, homolog 2 (Drosophila)
NM_020553	2.31	0.047	T-cell leukemia/lymphoma 6
NM_021030	2.31	0.010	zinc finger protein 14
NM_017881	2.31	0.0002	chromosome 9 open reading frame 95
NM_014721	2.31	0.008	phosphatase and actin regulator 2
AK094250	2.31	0.014	similar to SH3 domain binding protein CR16
NM_003747	2.31	0.001	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
NM_000124	2.31	0.001	excision repair cross-complementing rodent repair deficiency
NM_144569	2.31	0.004	SPOC domain containing 1
NM_017673	2.31	0.008	chromosome 1 open reading frame 26
NM_144653	2.31	0.017	BTB (POZ) domain containing 14A
BC014149	2.31	0.043	CDNA clone IMAGE:3613441
NM_016947	2.31	0.032	chromosome 6 open reading frame 48
NM_012116	2.31	0.0004	Cas-Br-M (murine) ecotropic retroviral transforming sequence c
AA412340	2.31	0.011	Spastic paraplegia 3A (autosomal dominant)
NM_004472	2.30	0.001	forkhead box D1
NM_005262	2.30	0.038	growth factor, augmenter of liver regeneration
NM_005860	2.30	0.003	follistatin-like 3 (secreted glycoprotein)
NM_032412	2.30	0.008	chromosome 5 open reading frame 32
NM_005228	2.30	0.010	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b)
AW934865	2.30	0.023	Arginyltransferase 1
AY009133	2.30	0.001	zinc finger, FYVE domain containing 20
NM_152644	2.30	0.012	family with sequence similarity 24, member B
NM_024331	2.30	0.040	chromosome 20 open reading frame 121
NM_017853	2.29	0.012	thioredoxin-like 4B
NM_022445	2.29	0.019	thiamin pyrophosphokinase 1
NM_004794	2.29	0.013	RAB33A, member RAS oncogene family
NM_000817	2.29	0.0004	glutamate decarboxylase 1 (brain, 67kDa)
BX643997	2.29	0.013	A kinase (PRKA) anchor protein 13
NM_000129	2.29	0.006	coagulation factor XIII, A1 polypeptide
NM_006346	2.29	0.002	chromosome 13 open reading frame 24
CB162328	2.29	0.004	Variable charge, X-linked 2
NM_002943	2.29	0.014	RAR-related orphan receptor A
H95228	2.29	0.017	Group-specific component (vitamin D binding protein)
NM_002397	2.29	0.019	MADS box transcription enhancer factor 2, polypeptide C
AK097194	2.29	0.047	Calcyclin binding protein
AI471985	2.29	0.022	Hemoglobin, gamma A
AA074974	2.29	0.005	Calponin 2
NM_032705	2.29	0.009	chromosome 1 open reading frame 97
AW300826	2.28	0.001	Primary neuroblastoma cDNA, clone:Nbla10949, full insert sequence
AK124904	2.28	0.005	FYVE, RhoGEF and PH domain containing 6
NM_006252	2.28	0.009	protein kinase, AMP-activated, alpha 2 catalytic subunit
AA482150	2.28	0.015	Similar to mitochondrial carrier protein MGC4399
NM_022818	2.28	0.0001	microtubule-associated protein 1 light chain 3 beta
NM_004184	2.28	0.007	tryptophanyl-tRNA synthetase
NM_016184	2.28	0.017	C-type lectin domain family 4, member A
NM_030767	2.28	0.019	AT-hook transcription factor
NM_005257	2.28	0.003	GATA binding protein 6
NM_014893	2.28	0.015	neuroligin 4, Y-linked
NM_003344	2.28	0.007	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)
NM_033414	2.28	0.012	zinc finger protein 622
NM_024759	2.28	0.009	NIPA-like domain containing 2
CB851384	2.28	0.001	Glucocorticoid receptor DNA binding factor 1
NM_002133	2.27	0.004	heme oxygenase (decycling) 1
NM_004507	2.27	0.003	HUS1 checkpoint homolog (S. pombe)
BC016149	2.27	0.014	chromosome 18 open reading frame 25
W88515	2.27	0.035	Adhesion molecule with Ig-like domain 1
BM711811	2.27	0.020	PR domain containing 11
NM_002547	2.27	0.014	oligophrenin 1
AW196419	2.27	0.038	Tropomyosin 3
AI142371	2.27	0.001	Fem-1 homolog b (C. elegans)
NM_198149	2.27	0.012	transmembrane protein 58
AI923301	2.26	0.0001	KIAA1505 protein
NM_021940	2.26	0.004	stromal membrane-associated protein 1
NM_033285	2.26	0.044	tumor protein p53 inducible nuclear protein 1
AA455071	2.26	0.032	Transcribed locus
AF195658	2.26	0.003	mutL homolog 3 (E. coli)
CB122473	2.26	0.004	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
AW895031	2.25	0.005	Integral membrane protein 2A
NM_025182	2.25	0.002	KIAA1539
NM_021203	2.25	0.020	signal recognition particle receptor, B subunit
AW137116	2.25	0.024	Chromosome 14 open reading frame 72
NM_001731	2.25	0.004	B-cell translocation gene 1, anti-proliferative
NM_018268	2.25	0.003	WD repeat domain 41
NM_003663	2.25	0.009	CGG triplet repeat binding protein 1
NM_002303	2.25	0.006	leptin receptor
H26771	2.25	0.032	DiGeorge syndrome critical region gene 8
NM_001951	2.25	0.011	E2F transcription factor 5, p130-binding
NM_005013	2.25	0.004	nucleobindin 2
AK092338	2.25	0.004	tetratricopeptide repeat domain 28
NM_023931	2.25	0.012	zinc finger protein 747
NM_006472	2.25	0.019	thioredoxin interacting protein
NM_033453	2.25	0.024	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)
AW014471	2.25	0.002	Ovo-like 1(Drosophila)
NM_005793	2.25	0.008	non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)
NM_007155	2.24	0.005	zona pellucida glycoprotein 3 (sperm receptor)
NM_178532	2.24	0.025	ring finger protein 180
AL137287	2.24	0.023	myosin IXA
NM_003020	2.24	0.008	secretogranin V (7B2 protein)
AW270928	2.24	0.0004	Smcy homolog, Y-linked (mouse)
NM_002503	2.24	0.013	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta
NM_032778	2.24	0.006	MYC induced nuclear antigen
NM_152464	2.24	0.044	chromosome 17 open reading frame 32
NM_153028	2.24	0.045	zinc finger protein 75a
NM_003162	2.24	0.005	striatin, calmodulin binding protein
AA133855	2.24	0.012	G protein-coupled receptor 126
NM_021647	2.23	0.029	microfibrillar-associated protein 3-like
NM_005748	2.23	0.036	YY1 associated factor 2
NM_014488	2.23	0.003	RAB30, member RAS oncogene family
NM_015033	2.23	0.012	formin binding protein 1
NM_016941	2.23	0.045	delta-like 3 (Drosophila)
BQ428631	2.23	0.030	Patched domain containing 3
NM_032523	2.23	0.013	oxysterol binding protein-like 6
NM_014547	2.23	0.008	tropomodulin 3 (ubiquitous)
NM_003597	2.23	0.015	Kruppel-like factor 11
NM_014343	2.23	0.033	claudin 15
NM_015944	2.23	0.003	amidohydrolase domain containing 2
AL137383	2.23	0.003	hypothetical protein LOC153682
NM_033208	2.23	0.010	tigger transposable element derived 7
NM_006466	2.23	0.038	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa
NM_005822	2.23	0.010	Down syndrome critical region gene 1-like 1
NM_053043	2.23	0.013	proline rich 8
NM_032926	2.23	0.023	transcription elongation factor A (SII)-like 3
AL833166	2.23	0.003	zinc finger protein 311
NM_025267	2.23	0.005	alanyl-tRNA synthetase domain containing 1
NM_003452	2.23	0.002	zinc finger protein 189
AK022648	2.22	0.031	zinc finger protein 329
NM_031483	2.22	0.003	itchy homolog E3 ubiquitin protein ligase (mouse)
AL449617	2.22	0.028	Albumin
NM_001722	2.22	0.003	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa
NM_005135	2.22	0.007	solute carrier family 12 (potassium/chloride transporters), member 6
NM_016639	2.22	0.027	tumor necrosis factor receptor superfamily, member 12A
CD703421	2.22	0.005	Family with sequence similarity 120A
BE929791	2.22	0.002	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)
NM_018691	2.22	0.023	chromosome 5 open reading frame 3
NM_021147	2.22	0.006	uracil-DNA glycosylase 2
NM_002041	2.21	0.002	GA binding protein transcription factor, beta subunit 2
NM_005793	2.21	0.005	non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)
AK055264	2.21	0.005	ribosomal protein L23a pseudogene 7
NM_024316	2.21	0.016	leukocyte receptor cluster (LRC) member 1
NM_004490	2.21	0.004	growth factor receptor-bound protein 14
NM_019009	2.21	0.002	toll interacting protein
NM_006296	2.21	0.026	vaccinia related kinase 2
AW241234	2.21	0.012	Chromosome 11 open reading frame 63
NM_152787	2.20	0.043	mitogen-activated protein kinase kinase kinase 7 interacting protein 3
AA348553	2.20	0.040	Calreticulin
NM_006668	2.20	0.004	cytochrome P450, family 46, subfamily A, polypeptide 1
NM_032128	2.20	0.042	chromosome 4 open reading frame 13
NM_004184	2.20	0.043	tryptophanyl-tRNA synthetase
BE719836	2.20	0.025	Mutated in colorectal cancers
NM_003215	2.20	0.0001	tec protein tyrosine kinase
NM_145715	2.20	0.0003	tigger transposable element derived 2
NM_020156	2.20	0.020	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1
BX094929	2.20	0.025	Phosphoinositide-3-kinase, class 2, alpha polypeptide
NM_003423	2.20	0.007	zinc finger protein 43
NM_024039	2.20	0.021	MIS12 homolog (yeast)
AA142986	2.19	0.001	WD repeat domain 33
NM_004604	2.19	0.005	syntaxin 4
AI376339	2.19	0.031	Neurotrophic tyrosine kinase, receptor, type 2
NM_002090	2.19	0.019	chemokine (C-X-C motif) ligand 3
NM_002392	2.19	0.017	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)
BC032874	2.19	0.033	CDNA clone IMAGE:4829480
NM_013310	2.19	0.033	chromosome 2 open reading frame 27
AB007875	2.19	0.011	KIAA0415 protein
NM_016955	2.19	0.005	soluble liver antigen/liver pancreas antigen
NM_002394	2.19	0.013	solute carrier family 3 (activators of dibasic and neutral amino acid transport)
NM_031446	2.19	0.016	chromosome 18 open reading frame 21
NM_005975	2.19	0.007	PTK6 protein tyrosine kinase 6
NM_020416	2.18	0.015	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52)
AI339034	2.18	0.026	Basonuclin 2
NM_016008	2.18	0.003	dynein, cytoplasmic 2, light intermediate chain 1
NM_005972	2.18	0.001	pancreatic polypeptide receptor 1
NM_024659	2.18	0.003	glycosyltransferase-like domain containing 1
AI539587	2.18	0.004	Actin-related protein 10 homolog (S. cerevisiae)
NM_018349	2.18	0.004	multiple C2 domains, transmembrane 2
NM_025057	2.18	0.00003	chromosome 14 open reading frame 45
BG199600	2.18	0.017	Fragile histidine triad gene
NM_012280	2.18	0.023	FtsJ homolog 1 (E. coli)
NM_016262	2.18	0.012	tubulin, epsilon 1
AI886595	2.18	0.018	Periphilin 1
AK023270	2.17	0.015	SEC22 vesicle trafficking protein homolog B (S. cerevisiae)
NM_014570	2.17	0.001	ADP-ribosylation factor GTPase activating protein 3
BX102041	2.17	0.023	Transcribed locus
NM_182971	2.17	0.049	cytochrome c oxidase subunit 8C
NM_024852	2.17	0.005	eukaryotic translation initiation factor 2C, 3
NM_020195	2.17	0.012	chromosome 14 open reading frame 124
NM_152409	2.17	0.013	chromosome 5 open reading frame 24
NM_014666	2.17	0.034	clathrin interactor 1
NM_020153	2.17	0.001	chromosome 11 open reading frame 60
NM_016286	2.17	0.027	dicarbonyl/L-xylulose reductase
BE066379	2.17	0.033	Family with sequence similarity 121A
NM_006638	2.17	0.033	ribonuclease P 40kDa subunit
AK026101	2.17	0.021	Dynein, cytoplasmic 1, light intermediate chain 2
AP_000346	2.17	0.023	Homo sapiens genomic DNA, chromosome 22q11.2
CB528632	2.17	0.046	Phosphorylase kinase, alpha 2 (liver)
NM_006513	2.17	0.004	seryl-tRNA synthetase
NM_153257	2.16	0.039	zinc finger protein 461
NM_182531	2.16	0.010	zinc finger protein 778
NM_017886	2.15	0.014	hypothetical protein FLJ20574
NM_000553	2.15	0.010	Werner syndrome
NM_018664	2.15	0.011	Jun dimerization protein p21SNFT
NM_020727	2.15	0.004	zinc finger protein 295
BU753362	2.15	0.005	Claudin 1
NM_016154	2.15	0.007	RAB4B, member RAS oncogene family
NM_181719	2.15	0.001	transmembrane and coiled-coil domains 4
NM_014387	2.15	0.020	linker for activation of T cells
BU563992	2.15	0.038	Chromosome 2 open reading frame 15
NM_145045	2.15	0.039	hypothetical protein MGC20983
AU140508	2.15	0.046	Suppressor of defective silencing 3 homolog (S. cerevisiae)
AA234899	2.15	0.005	Regulator of chromosome condensation (RCC1) and BTB (POZ)
AF229061	2.15	0.010	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1
NM_000148	2.15	0.020	fucosyltransferase 1
NM_006343	2.15	0.035	c-mer proto-oncogene tyrosine kinase
NM_025164	2.15	0.013	KIAA0999 protein
NM_001682	2.15	0.040	ATPase, Ca++ transporting, plasma membrane 1
AK055014	2.14	0.0002	Testis-specific serine kinase 3
NM_024097	2.14	0.008	chromosome 1 open reading frame 50
NM_012396	2.14	0.007	pleckstrin homology-like domain, family A, member 3
AB037838	2.14	0.015	inhibitor of Bruton agammaglobulinemia tyrosine kinase
NM_032471	2.14	0.021	protein kinase (cAMP-dependent, catalytic) inhibitor beta
NM_000393	2.14	0.001	collagen, type V, alpha 2
NM_006094	2.14	0.017	deleted in liver cancer 1
NM_152281	2.14	0.002	SCY1-like 1 binding protein 1
AK057548	2.14	0.025	C-type lectin domain family 2, member L
BM817460	2.14	0.0003	Degenerative spermatocyte homolog 2, lipid desaturase (Drosophila)
NM_003164	2.14	0.006	syntaxin 5
NM_004803	2.13	0.010	solute carrier family 22 (organic cation transporter), member 14
NM_030769	2.13	0.010	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
