AFFY ID	UGID	Unigene Name	Symbol	Genbank	|d|	Fold Change	q-value (%)	direction
215014_at	Hs.232127	MRNA; cDNA DKFZp547P042 (from clone DKFZp547P042)			AL512727	4.95	1.31	1
205347_s_at	Hs.56145	thymosin, beta, identified in neuroblastoma cells		TMSNB	NM_021992	4.95	0.9	-1
204127_at	Hs.115474	replication factor C (activator 1) 3, 38kDa		RFC3	BC000149	4.94	0.94	-1
203430_at	Hs.439081	heme binding protein 2		HEBP2	NM_014320	4.94	0.95	-1
232948_at	Hs.297369	CDNA FLJ12111 fis, clone MAMMA1000025.			AU147218	4.93	1.19	1
201479_at	Hs.4747	dyskeratosis congenita 1, dyskerin		DKC1	NM_001363	4.92	0.96	-1
236934_at	Hs.47023	CDNA FLJ34654 fis, clone KIDNE2018294.			N50112	4.92	1.17	1
228468_at	Hs.276905	microtubule associated serine/threonine kinase-like		MASTL	BF108964	4.92	0.92	-1
232065_x_at	Hs.434498	hypothetical gene supported by BC007071		dJ383J4.3	N29457	4.91	0.94	-1
201584_s_at	Hs.311609	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39		DDX39	NM_005804	4.91	0.95	-1
203130_s_at	Hs.6641	kinesin family member 5C		KIF5C	NM_004522	4.91	1.11	1
228868_x_at	Hs.122908	DNA replication factor		CDT1	AW075105	4.9	0.89	-1
229381_at	Hs.29190	hypothetical protein MGC24047		MGC2404 7	AI732488	4.9	1.15	1
201897_s_at	Hs.374378	CDC28 protein kinase regulatory subunit 1B		CKS1B	NM_001826	4.9	0.93	-1
212419_at	Hs.28264	hypothetical protein FLJ90798		FLJ90798	AL049949	4.89	1.07	1
229610_at	Hs.99807	hypothetical protein FLJ40629		FLJ40629	AW088063	4.89	0.92	-1
213908_at	Hs.212670	hypothetical protein LOC339005		LOC33900 5	AI824078	4.89	1.11	1
214440_at	Hs.458430	N-acetyltransferase 1 (arylamine N-acetyltransferase)		NAT1	NM_000662	4.89	1.16	1
203726_s_at	Hs.83450	laminin, alpha 3		LAMA3	NM_000227	4.89	1.19	1
219065_s_at	Hs.528514	C21orf19-like protein		CGI-27	NM_015955	4.88	0.96	-1
204768_s_at	Hs.409065	flap structure-specific endonuclease 1	FEN1	NM_004111	4.88	0.94	0.14	-1
218987_at	Hs.272210	activating transcription factor 7 interacting protein	ATF7IP	NM_018179	4.88	0.95	0.13	-1
236050_at				AI656897	4.88	1.05	0.14	1
204667_at	Hs.163484	forkhead box A1	FOXA1	NM_004496	4.88	1.09	0.13	1
224523_s_at	Hs.8345	hypothetical protein MGC4308	MGC4308	BC006475	4.88	0.95	0.14	-1
225268_at	Hs.288193	karyopherin alpha 4 (importin alpha 3)	KPNA4	AK021602	4.87	0.96	0.12	-1
204279_at	Hs.381081	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	PSMB9	NM_002800	4.87	0.93	0.12	-1
223480_s_at	Hs.283734	mitochondrial ribosomal protein L47	MRPL47	AI189156	4.87	0.96	0.13	-1
208941_s_at	Hs.124027	selenophosphate synthetase 1	SEPHS1	BC000941	4.87	0.94	0.13	-1
228969_at	Hs.226391	anterior gradient 2 homolog (Xenopus laevis)	AGR2	AI922323	4.86	1.18	0.14	1
225291_at	Hs.392004	polyribonucleotide nucleotidyltransferase 1	PNPT1	AI967971	4.86	0.96	0.14	-1
200790_at	Hs.443409	ornithine decarboxylase 1	ODC1	NM_002539	4.86	0.93	0.14	-1
227068_at	Hs.78771	phosphoglycerate kinase 1	PGK1	AA069778	4.86	0.94	0.12	-1
219132_at	Hs.44038	pellino homolog 2 (Drosophila)	PELI2	NM_021255	4.86	1.14	0.13	1
202768_at	Hs.75678	FBJ murine osteosarcoma viral oncogene homolog B	FOSB	NM_006732	4.85	1.24	0.14	1
218512_at	Hs.73291	WD repeat domain 12	WDR12	NM_018256	4.84	0.96	0.12	-1
226452_at	Hs.433611	pyruvate dehydrogenase kinase, isoenzyme 1	PDK1	AU146532	4.84	0.93	0.12	-1
215597_x_at				AU143799	4.84	1.14	0.14	1
227718_at	Hs.528661	purine-rich element binding protein B	PURB	BF337790	4.84	0.94	0.13	-1
228504_at	Hs.406684	sodium channel, voltage-gated, type VII, alpha	SCN7A	AI828648	4.82	1.13	0.14	1
238581_at	Hs.237809	guanylate binding protein 5	GBP5	BG271923	4.82	0.82	0.14	-1
203484_at	Hs.9950	Sec61 gamma subunit	SEC61G	NM_014302	4.81	0.95	0.14	-1
239965_at	Hs.201326	Hypothetical protein LOC151878, mRNA (cDNA clone IMAGE:3844647), partial cds		AW009761	4.81	1.14	0.12	1
203604_at	Hs.48450	Human mRNA, trinucleotide repeat sequence.		N38750	4.81	1.09	0.13	1
202276_at	Hs.333495	split hand/foot malformation (ectrodactyly) type 1	SHFM1	NM_006304	4.81	0.95	0.12	-1
219686_at	Hs.58241	gene for serine/threonine protein kinase	HSA25083 9	NM_018401	4.8	1.26	0.13	1
213226_at	Hs.91728	polymyositis/scleroderma autoantigen 1, 75kDa	PMSCL1	AI346350	4.8	0.92	0.13	-1
218353_at				NM_025226	4.8	1.07	0.14	1
203693_s_at	Hs.1189	E2F transcription factor 3	E2F3	NM_001949	4.8	0.94	0.14	-1
212914_at	Hs.356416	chromobox homolog 7	CBX7	AV648364	4.8	1.07	0.12	1
200628_s_at	Hs.82030	tryptophanyl-tRNA synthetase	WARS	M61715	4.79	0.91	0.13	-1
210093_s_at	Hs.421576	mago-nashi homolog, proliferation-associated (Drosophila)	MAGOH	AF067173	4.79	0.95	0.13	-1
229245_at	Hs.343666	phosphoinositol 3-phosphate-binding protein-3	PEPP3	AA535361	4.79	1.11	0.14	1
206632_s_at	Hs.226307	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	APOBEC3 B	NM_004900	4.79	0.9	0.14	-1
235609_at	Hs.87507	BRCA1 interacting protein C-terminal helicase 1	BRIP1	BF056791	4.79	0.9	0.13	-1
221677_s_at	Hs.17834	downstream neighbor of SON	DONSON	AF232674	4.79	0.94	0.13	-1
204603_at	Hs.47504	exonuclease 1	EXO1	NM_003686	4.78	0.89	0.12	-1
233498_at	Hs.163533	CDNA FLJ14142 fis, clone MAMMA1002880.		AK024204	4.78	1.1	0.14	1
209309_at	Hs.512643	alpha-2-glycoprotein 1, zinc	AZGP1	D90427	4.78	1.1	0.13	1
204775_at	Hs.75238	chromatin assembly factor 1, subunit B (p60)	CHAF1B	NM_005441	4.78	0.81	0.14	-1
223700_at	Hs.294088	GAJ protein	GAJ	AY028916	4.78	0.87	0.12	-1
225973_at	Hs.502	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	TAP2	AA573502	4.78	0.94	0.13	-1
213911_s_at	Hs.119192	H2A histone family, member Z	H2AFZ	BF718636	4.78	0.95	0.14	-1
228750_at	Hs.28625	Transcribed sequences		AI693516	4.78	1.11	0.12	1
225996_at	Hs.21380	CDNA FLJ42749 fis, clone BRAWH3000345		AV709727	4.78	1.18	0.14	1
202412_s_at	Hs.35086	ubiquitin specific protease 1	USP1	AW499935	4.77	0.95	0.14	-1
226846_at	Hs.326391	phytanoyl-CoA dioxygenase domain containing 1	PHYHD1	AL545998	4.77	1.1	0.13	1
212494_at	Hs.6147	tensin like C1 domain-containing phosphatase	TENC1	AB028998	4.77	1.07	0.14	1
203422_at	Hs.279413	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	POLD1	NM_002691	4.77	0.94	0.12	-1
203915_at	Hs.77367	chemokine (C-X-C motif) ligand 9	CXCL9	NM_002416	4.76	0.89	0.14	-1
204766_s_at	Hs.413078	nudix (nucleoside diphosphate linked moiety X)-type motif 1	NUDT1	NM_002452	4.76	0.83	0.12	-1
213520_at	Hs.31442	RecQ protein-like 4	RECQL4	NM_004260	4.76	0.83	0.14	-1
205730_s_at	Hs.282566	actin binding LIM protein fa mily, member 3	ABLIM3	NM_014945	4.76	1.12	0.14	1
206326_at	Hs.153444	gastrin-releasing peptide	GRP	NM_002091	4.76	1.18	0.14	1
227211_at	Hs.119960	PHD finger protein 19	PHF19	BE544837	4.76	0.88	0.12	-1
235739_at	Hs.165258	Transcribed sequences		AA523939	4.76	1.12	0.14	1
229390_at	Hs.381220	chromosome 6 open reading frame 187	C6orf187	AV734646	4.75	0.89	0.14	-1
220239_at	Hs.376793	SBBI26 protein	SBBI26	NM_018846	4.74	0.93	0.13	-1
237128_at	Hs.432531	Transcribed sequences		AI732083	4.74	1.08	0.14	1
221740_x_at				BG249885	4.74	1.07	0.14	1
213464_at	Hs.30965	neuronal Shc adaptor homolog	SLI	AV705938	4.73	1.07	0.13	1
219105_x_at	Hs.49760	origin recognition complex, subunit 6 homolog-like (yeast)	ORC6L	NM_014321	4.73	0.93	0.12	-1
229082_at				AI141520	4.73	1.13	0.13	1
206197_at	Hs.72050	non-metastatic cells 5, protein expressed in (nucleoside?diphosphate kinase)	NME5	NM_003551	4.73	1.08	0.14	1
219270_at	Hs.155569	hypothetical protein MGC4504	MGC4504	NM_024111	4.73	0.91	0.14	-1
222396_at	Hs.109706	hematological and neurological expressed 1	HN1	AF060925	4.73	0.93	0.12	-1
205967_at	Hs.46423	histone 1, H4f	HIST1H4F	NM_003542	4.73	0.94	0.14	-1
45633_at	Hs.47125	hypothetical protein FLJ13912	FLJ13912	AI421812	4.73	0.89	0.12	-1
228241_at	Hs.100686	breast cancer membrane protein 11	BCMP11	AI827789	4.72	1.16	0.13	1
202088_at				AI635449	4.72	1.07	0.13	1
201201_at	Hs.695	cystatin B (stefin B)	CSTB	NM_000100	4.72	0.96	0.14	-1
209172_s_at	Hs.77204	centromere protein F, 350/400ka (mitosin)	CENPF	U30872	4.72	0.91	0.12	-1
231195_at				AI492376	4.72	0.84	0.14	-1
205943_at	Hs.183671	tryptophan 2,3-dioxygenase	TDO2	NM_005651	4.71	0.91	0.13	-1
204441_s_at	Hs.201897	polymerase (DNA-directed), alpha (70kD)	POLA2	NM_002689	4.71	0.91	0.14	-1
206245_s_at	Hs.197298	influenza virus NS1A binding protein	IVNS1AB P	NM_006469	4.71	0.95	0.13	-1
223100_s_at	Hs.410205	nudix (nucleoside diphosphate linked moiety X)-type motif 5	NUDT5	BC000025	4.71	0.95	0.14	-1
210272_at	Hs.415794	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene	CYP2B7	M29873	4.71	1.24	0.13	1
212048_s_at	Hs.322735	tyrosyl-tRNA synthetase	YARS	BE513104	4.7	0.96	0.13	-1
208140_s_at	Hs.159068	hypothetical protein DKFZp586M1120	DKFZP586 M1120	NM_031294	4.7	1.07	0.12	1
203571_s_at	Hs.511763	adipose specific 2	APM2	NM_006829	4.7	1.13	0.13	1
223515_s_at	Hs.299208	coenzyme Q3 homolog, methyltransferase (yeast)	COQ3	AL136726	4.7	0.95	0.13	-1
214435_x_at	Hs.6906	v-ral simian leukemia viral oncogene homolog A (ras related)	RALA	NM_005402	4.69	0.94	0.13	-1
208778_s_at	Hs.4112	t-complex 1	TCP1	BC000665	4.69	0.95	0.13	-1
228058_at	Hs.105887	similar to common salivary protein 1	LOC12422 0	AI559190	4.69	1.1	0.13	1
227512_at	Hs.529164	CDNA FLJ43493 fis, clone OCBBF3009279		AW248508	4.69	0.93	0.14	-1
232699_at	Hs.287466	CDNA FLJ11928 fis, clone HEMBB1000420.		AK021990	4.69	1.16	0.13	1
230800_at	Hs.443428	adenylate cyclase 4	ADCY4	AV699353	4.68	1.11	0.12	1
1053_at				M87338	4.68	0.93	0.14	-1
220060_s_at	Hs.330663	hypothetical protein FLJ20641	FLJ20641	NM_017915	4.68	0.9	0.12	-1
224468_s_at	Hs.256301	multidrug resistance-related protein	MGC1317 0	BC006151	4.68	0.92	0.13	-1
235977_at	Hs.121820	Transcribed sequences		BF433341	4.67	1.15	0.14	1
214077_x_at	Hs.356135	Meis1, myeloid ecotropic viral integration site 1 homolog 4 (mouse)	MEIS4	H15129	4.67	1.07	0.13	1
216484_x_at	Hs.89525	hepatoma-derived growth factor (high-mobility group protein 1-like)	HDGF	L24521	4.67	0.96	0.13	-1
226118_at	Hs.293943	hypothetical protein MGC11266	MGC1126 6	BE326728	4.66	0.95	0.13	-1
222740_at	Hs.298646	PRO2000 protein	PRO2000	AI925583	4.66	0.91	0.14	-1
220085_at	Hs.203963	helicase, lymphoid-specific	HELLS	NM_018063	4.66	0.82	0.13	-1
217617_at	Hs.443516	Transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]		AW451711	4.66	1.09	0.13	1
216952_s_at				M94363	4.66	0.95	0.12	-1
41660_at				AL031588	4.65	1.1	0.14	1
202754_at	Hs.144476	R3H domain (binds single-stranded nucleic acids) containing	R3HDM	NM_015361	4.64	0.96	0.13	-1
224474_x_at	Hs.130900	KIAA1387 protein	KIAA1387	BC006215	4.64	0.95	0.13	-1
222379_at	Hs.348522	potassium voltage-gated channel, Isk-related family, member 4	KCNE4	AI002715	4.64	1.15	0.12	1
226977_at	Hs.293782	CDNA clone MGC:27375 IMAGE:4688423, complete cds		N26029	4.64	1.05	0.12	1
235542_at	Hs.447988	hypothetical protein MGC22014	MGC2201 4	BF675754	4.63	0.95	0.14	-1
244845_at	Hs.170577	Transcribed sequences		BF725383	4.63	1.08	0.12	1
219010_at	Hs.73239	hypothetical protein FLJ10901	FLJ10901	NM_018265	4.63	0.9	0.12	-1
232614_at	Hs.171395	MRNA; cDNA DKFZp686K02231 (from clone DKFZp686K02231)		AU146963	4.63	1.08	0.13	1
228194_s_at	Hs.348923	VPS10 domain receptor protein SORCS 1	SORCS1	AI675836	4.63	1.13	0.14	1
200079_s_at	Hs.3100	lysyl-tRNA synthetase	KARS	AF285758	4.62	0.96	0.13	-1
206499_s_at	Hs.196769	chromosome condensation 1	CHC1	NM_001269	4.62	0.95	0.12	-1
227165_at	Hs.88523	chromosome 13 open reading frame 3	C13orf3	AI829603	4.62	0.93	0.13	-1
201064_s_at	Hs.169900	poly(A) binding protein, cytoplasmic 4 (inducible form)	PABPC4	NM_003819	4.62	0.96	0.12	-1
203432_at	Hs.11355	thymopoietin	TMPO	AW272611	4.61	0.94	0.13	-1
209869_at	Hs.249159	adrenergic, alpha-2A-, receptor	ADRA2A	AF284095	4.61	1.08	0.14	1
223452_s_at	Hs.381206	DKFZP564J0863 protein	DKFZP564 J0863	AL117600	4.61	0.94	0.14	-1
219984_s_at	Hs.36761	HRAS-like suppressor	HRASLS	NM_020386	4.6	0.85	0.14	-1
212865_s_at	Hs.512555	collagen, type XIV, alpha 1 (undulin)	COL14A1	BF449063	4.6	1.11	0.13	1
233110_s_at				AF289220	4.6	0.92	0.12	-1
AFFX-HUMISGF3A/M97935_3_at				M97935	4.6	0.94	0.13	-1
202370_s_at	Hs.179881	core-binding factor, beta subunit	CBFB	NM_001755	4.6	0.96	0.13	-1
201860_s_at	Hs.274404	plasminogen activator, tissue	PLAT	NM_000930	4.59	1.09	0.12	1
219031_s_at	Hs.501513	comparative gene identification transcript 37	CGI-37	NM_016101	4.59	0.93	0.13	-1
232210_at	Hs.206868	CDNA FLJ14056 fis, clone HEMBB1000335.		AU146384	4.58	1.08	0.12	1
32128_at	Hs.16530	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	CCL18	Y13710	4.58	0.79	0.13	-1
203856_at	Hs.422662	vaccinia related kinase 1	VRK1	NM_003384	4.58	0.94	0.13	-1
223234_at	Hs.19400	MAD2 mitotic arrest deficient-like 2 (yeast)	MAD2L2	AF080398	4.58	0.95	0.14	-1
226522_at	Hs.136664	podocan	PODN	AW015571	4.58	1.07	0.14	1
205569_at	Hs.10887	lysosomal-associated membrane protein 3	LAMP3	NM_014398	4.58	0.87	0.13	-1
219440_at	Hs.446680	retinoic acid induced 2	RAI2	NM_021785	4.58	1.09	0.14	1
229331_at	Hs.335499	LOC132671	LOC13267 1	AI559300	4.57	1.11	0.13	1
243840_at				BF691634	4.57	0.88	0.13	-1
227703_s_at				AL391688	4.57	1.08	0.12	1
235117_at	Hs.105223	CDNA clone MGC:61554 IMAGE:6174351, complete cds		AI191897	4.57	0.88	0.12	-1
201896_s_at				BC001425	4.57	0.95	0.12	-1
238423_at	Hs.436977	synaptotagmin-like 3	SYTL3	AI674404	4.57	0.9	0.14	-1
230906_at				AK024931	4.57	1.07	0.12	1
218552_at	Hs.170915	hypothetical protein FLJ10948	FLJ10948	NM_018281	4.57	1.07	0.12	1
218239_s_at	Hs.215766	GTP binding protein 4	GTPBP4	NM_012341	4.56	0.95	0.13	-1
218497_s_at	Hs.511960	ribonuclease H1	RNASEH1	NM_002936	4.56	0.96	0.13	-1
214927_at				AL359052	4.56	1.08	0.12	1
209218_at	Hs.71465	squalene epoxidase	SQLE	AF098865	4.56	0.94	0.12	-1
212925_at	Hs.439180	hypothetical protein LOC126353	LOC12635 3	AA143765	4.56	1.11	0.14	1
226992_at				AK002203	4.56	1.09	0.14	1
203126_at	Hs.5753	inositol(myo)-1(or 4)-monophosphatase 2	IMPA2	NM_014214	4.55	0.92	0.13	-1
236885_at				AI651930	4.55	0.88	0.14	-1
234976_x_at	Hs.321127	solute carrier family 4, sodium bicarbonate cotransporter, member 5	SLC4A5	BG324504	4.54	0.89	0.13	-1
226909_at	Hs.99073	KIAA1729 protein	KIAA1729	AW270138	4.54	0.94	0.14	-1
233884_at	Hs.43586	Clone IMAGE:5178133, mRNA		AL512747	4.53	1.11	0.13	1
219306_at	Hs.315051	kinesin-like 7	KNSL7	NM_020242	4.53	0.92	0.14	-1
234222_at	Hs.306741	CDNA: FLJ21346 fis, clone COL02705		AK024999	4.53	1.12	0.13	1
AFFX?HUMGAPDH/ M33197_3_at	Hs.169476	glyceraldehyde-3-phosphate dehydrogenase	GAPD	M33197	4.53	0.97	0.13	-1
202690_s_at	Hs.86948	small nuclear ribonucleoprotein D1 polypeptide 16kDa	SNRPD1	BC001721	4.52	0.95	0.14	-1
229886_at	Hs.88801	FLJ32363 protein	FLJ32363	AA502768	4.52	0.94	0.14	-1
225656_at	Hs.446047	EF-hand domain (C-terminal) containing 1	EFHC1	AI564473	4.52	1.04	0.12	1
223461_at	Hs.8645	TBC1 domain family, member 7	TBC1D7	AF151073	4.52	0.96	0.12	-1
203936_s_at	Hs.151738	matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	MMP9	NM_004994	4.51	0.91	0.12	-1
224699_s_at	Hs.388073	KIAA1228 protein	KIAA1228	BE385892	4.51	0.96	0.13	-1
219689_at	Hs.59729	semaphorin sem2	LOC56920	NM_020163	4.51	1.08	0.13	1
233154_at	Hs.130581	CDNA FLJ12135 fis, clone MAMMA1000307.		AK022197	4.5	1.16	0.12	1
212510_at	Hs.82432	KIAA0089 protein	KIAA0089	AA135522	4.5	1.06	0.14	1
212196_at	Hs.529772	MRNA; cDNA DKFZp564F053 (from clone DKFZp564F053)		AL049265	4.5	1.08	0.13	1
204719_at	Hs.58351	ATP-binding cassette, sub-family A (ABC1), member 8	ABCA8	NM_007168	4.5	1.15	0.14	1
228476_at	Hs.221642	KIAA1407 protein	KIAA1407	AW193515	4.49	1.06	0.14	1
209969_s _at	Hs.21486	signal transducer and activator of transcription 1, 91kDa	STAT1	BC002704	4.49	0.91	0.14	-1
220865_s_at	Hs.279865	trans-prenyltransferase	TPRT	NM_014317	4.48	0.95	0.12	-1
218684_at	Hs.199364	leucine rich repeat containing 5	LRRC5	NM_018103	4.48	0.96	0.14	-1
213088_s_at	Hs.408577	KIAA0974 mRNA	KIAA0974	BF240590	4.48	0.96	0.12	-1
227419_x_at	Hs.361171	placenta-specific 9	PLAC9	AW964972	4.48	1.16	0.12	1
203560_at	Hs.78619	gamma -glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	GGH	NM_003878	4.47	0.91	0.12	-1
205009_at	Hs.350470	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	TFF1	NM_003225	4.47	1.16	0.13	1
219275_at	Hs.443831	programmed cell death 5	PDCD5	NM_004708	4.47	0.94	0.13	-1
219510_at	Hs.241517	polymerase (DNA directed), theta	POLQ	NM_006596	4.47	0.94	0.14	-1
201298_s_at	Hs.196437	chromosome 2 open reading frame 6	C2orf6	BC003398	4.47	0.96	0.14	-1
206023_at	Hs.418367	neuromedin U	NMU	NM_006681	4.47	0.77	0.14	-1
221614_s_at	Hs.528720	rabphilin 3A-like (without C2 domains)	RPH3AL	BC005153	4.47	1.07	0.13	1
216264_s_at				X79683	4.46	1.06	0.13	1
206091_at	Hs.278461	matrilin 3	MATN3	NM_002381	4.46	1.19	0.14	1
225585_at	Hs.48554	RAP2A, member of RAS oncogene family	RAP2A	AI963476	4.46	0.95	0.13	-1
237301_at	Hs.144479	Transcribed sequences		BF433570	4.46	1.18	0.14	1
210466_s_at	Hs.356427	PAI-1 mRNA-binding protein	PAI-RBP1	BC002488	4.46	0.95	0.13	-1
236496_at	Hs.159643	chromosome 14 open reading frame 66	C14orf66	AW006352	4.46	1.16	0.14	1
203805_s_at	Hs.284153	Fanconi anemia, complementation group A	FANCA	AW083279	4.46	0.9	0.14	-1
218086_at	Hs.105547	neural proliferation, differentiation and control, 1	NPDC1	NM_015392	4.46	1.08	0.12	1
221276_s_at	Hs.348415	intermediate filament protein syncoilin	SYNCOILI N	NM_030786	4.46	1.07	0.14	1
238778_at	Hs.350684	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	MPP7	AI244661	4.46	1.11	0.14	1
239525_at	Hs.374649	hypothetical protein DKFZp547A023	DKFZp547 A023	AI733041	4.45	0.87	0.14	-1
205381_at	Hs.288720	leucine rich repeat containing 17	LRRC17	NM_005824	4.45	1.1	0.14	1
230872_s_at	Hs.528537	Transcribed sequence with moderate similarity to protein pir:T12515 (H.sapiens) T12515 hypothetical protein DKFZp434B103.1 - human		AA534291	4.44	1.09	0.14	1
223068_at	Hs.386198	echinoderm microtubule associated protein like 4	EML4	AV707345	4.44	0.96	0.14	-1
226466_s_at	Hs.13580	hypothetical protein MGC29729	MGC2972 9	AL544688	4.44	0.95	0.13	-1
232459_at	Hs.221941	CDNA FLJ12174 fis, clone MAMMA1000707.		AI669804	4.44	1.1	0.14	1
227856_at	Hs.23439	hypothetical protein FLJ39370	FLJ39370	AI110850	4.44	1.07	0.14	1
231136_at	Hs.166545	Transcribed sequences		AI087792	4.44	1.08	0.14	1
201037_at	Hs.26010	phosphofructokinase, platelet	PFKP	NM_002627	4.44	0.93	0.14	-1
205282_at	Hs.410784	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	LRP8	NM_004631	4.43	0.91	0.14	-1
213011_s_at				BF116254	4.43	0.96	0.14	-1
205628_at	Hs.440603	primase, polypeptide 2A, 58kDa	PRIM2A	NM_000947	4.43	0.9	0.12	-1
222792_s_at	Hs.90527	HSPC128 protein	HSPC128	AI201880	4.43	0.96	0.12	-1
218856_at				NM_016629	4.42	0.88	0.14	-1
206486_at	Hs.409523	lymphocyte-activation gene 3	LAG3	NM_002286	4.42	0.86	0.12	-1
218883_s_at	Hs.38178	KSHV latent nuclear antigen interacting protein 1	KLIP1	NM_024629	4.42	0.93	0.13	-1
233280_at	Hs.498954	CDNA FLJ12275 fis, clone MAMMA1001686.		AU159446	4.42	1.08	0.12	1
242662_at	Hs.117874	paired basic amino acid cleaving system 4	PACE4	AI056815	4.41	1.11	0.14	1
206481_s_at	Hs.4980	LIM domain binding 2	LDB2	NM_001290	4.41	1.09	0.12	1
225309_at				AL008582	4.41	0.96	0.12	-1
212846_at	Hs.129621	KIAA0179	KIAA0179	D80001	4.41	0.96	0.12	-1
237168_at				AA708016	4.41	1.1	0.12	1
213627_at	Hs.376719	melanoma antigen, family D, 2	MAGED2	AI924630	4.41	1.06	0.13	1
209070_s_at	Hs.24950	regulator of G-protein signalling 5	RGS5	AI183997	4.4	1.09	0.13	1
222314_x_at	Hs.437867	Clone IMAGE:5759947, mRNA		AW970881	4.4	1.17	0.14	1
242901_at				AL037888	4.4	1.07	0.14	1
201111_at	Hs.90073	CSE1 chromosome segregation 1-like (yeast)	CSE1L	AF053641	4.4	0.95	0.14	-1
216698_x_at				AF065854	4.4	0.95	0.13	-1
210538_s_at				U37546	4.4	0.9	0.13	-1
221923_s_at	Hs.411098	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	NPM1	AA191576	4.4	0.96	0.14	-1
228262_at	Hs.127951	hypothetical protein FLJ14503	FLJ14503	AW237462	4.39	0.87	0.14	-1
203819_s_at	Hs.79440	IGF-II mRNA-binding protein 3	IMP-3	AU160004	4.39	0.83	0.14	-1
236114_at	Hs.208726	Transcribed sequences		AI798118	4.39	1.07	0.13	1
218193_s_at	Hs.62275	CGI-141 protein	CGI-141	NM_016072	4.39	0.94	0.12	-1
202390_s_at	Hs.437162	huntingtin (Huntington disease)	HD	NM_002111	4.39	1.08	0.13	1
203066_at	Hs.523379	B cell RAG associated protein	GALNAC4 S-6ST	NM_014863	4.39	1.05	0.13	1
206445_s_at	Hs.20521	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	HRMT1L2	NM_001536	4.39	0.96	0.14	-1
205436_s_at	Hs.147097	H2A histone family, member X	H2AFX	NM_002105	4.39	0.94	0.14	-1
236317_at	Hs.171356	Transcribed sequences		AI563950	4.39	1.08	0.14	1
236471_at	Hs.404741	nuclear factor (erythroid-derived 2)-like 3	NFE2L3	AI949827	4.39	0.89	0.13	-1
204589_at	Hs.200598	AMP-activated protein kinase family member 5	ARK5	NM_014840	4.38	1.06	0.14	1
229764_at	Hs.338851	FLJ41238 protein	FLJ41238	AW629527	4.38	1.21	0.14	1
235538_at	Hs.17962	CDNA FLJ30718 fis, clone FCBBF2001675.		T96989	4.38	1.08	0.12	1
232310_at	Hs.355618	CDNA FLJ45323 fis, clone BRHIP3006390		AK026502	4.38	1.06	0.13	1
227183_at	Hs.84630	CDNA FLJ36638 fis, clone TRACH2018950.		AI417267	4.38	1.1	0.14	1
203139_at	Hs.244318	death-associated protein kinase 1	DAPK1	NM_004938	4.37	0.95	0.13	-1
216977_x_at	Hs.434901	small nuclear ribonucleoprotein polypeptide A	SNRPA1	AJ130972	4.37	0.94	0.12	-1
226422_at	Hs.26813	PTX1 protein	PTX1	BG166049	4.37	0.95	0.12	-1
213419_at				U62325	4.37	1.09	0.14	1
208614_s_at	Hs.81008	filamin B, beta (actin binding protein 278)	FLNB	M62994	4.37	1.07	0.14	1
210051_at	Hs.8578	Rap1 guanine-nucleotide-exchange factor directly activated by cAMP	EPAC	U78168	4.37	1.22	0.14	1
201202_at	Hs.78996	proliferating cell nuclear antigen	PCNA	NM_002592	4.37	0.95	0.12	-1
210881_s_at	Hs.349109	insulin-like growth factor 2 (somatomedin A)	IGF2	M17863	4.37	1.22	0.12	1
221685_s_at	Hs.32471	hypothetical protein FLJ20364	FLJ20364	AF269167	4.37	0.93	0.14	-1
218349_s_at	Hs.21331	hypothetical protein FLJ10036	FLJ10036	NM_017975	4.36	0.94	0.13	-1
218834_s_at	Hs.118552	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) binding protein 1	HSPA5BP 1	NM_017870	4.36	0.93	0.12	-1
212815_at	Hs.143917	helicase, ATP binding 1	HELIC1	AA156961	4.36	0.95	0.12	-1
208969_at	Hs.75227	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa	NDUFA9	AF050641	4.36	0.96	0.12	-1
200740_s_at	Hs.85119	SMT3 suppressor of mif two 3 homolog 1 (yeast)	SMT3H1	NM_006936	4.36	0.97	0.13	-1
208709_s_at	Hs.4099	nardilysin (N-arginine dibasic convertase)	NRD1	U64898	4.35	0.97	0.13	-1
243030_at	Hs.269493	Transcribed sequences		AA211369	4.35	1.07	0.14	1
