Kegg Pathway	Pathway description	Gene symbol	Parametric p-value	Hazard Ratio
hsa04010	MAPK signaling pathway	PLA2G2D	0.2647488	0.851
hsa04010	MAPK signaling pathway	MAP3K7IP2	0.2682167	1.307
hsa04010	MAPK signaling pathway	PPM1A	0.2848049	0.775
hsa04010	MAPK signaling pathway	MEF2C	0.2848887	0.854
hsa04010	MAPK signaling pathway	AKT3	0.2936963	1.132
hsa04010	MAPK signaling pathway	CASP14	0.2959357	1.233
hsa04010	MAPK signaling pathway	HSPB1	0.2962433	1.15
hsa04010	MAPK signaling pathway	EGFR	0.3011526	0.73
hsa04010	MAPK signaling pathway	PLA2G3	0.3048651	1.214
hsa04010	MAPK signaling pathway	PAK2	0.3066076	1.147
hsa04010	MAPK signaling pathway	BRAF	0.3082256	0.799
hsa04010	MAPK signaling pathway	FLNB	0.3116734	1.168
hsa04010	MAPK signaling pathway	RASGRP3	0.3213616	0.723
hsa04010	MAPK signaling pathway	MKNK1	0.3222722	0.923
hsa04010	MAPK signaling pathway	FGF17	0.3288278	1.178
hsa04010	MAPK signaling pathway	STK4	0.3361727	0.83
hsa04010	MAPK signaling pathway	CACNA1D	0.338754	0.837
hsa04010	MAPK signaling pathway	DUSP3	0.3427396	0.758
hsa04010	MAPK signaling pathway	CACNA1E	0.3433049	0.864
hsa04010	MAPK signaling pathway	FLNA	0.3446089	1.148
hsa04010	MAPK signaling pathway	CASP7	0.3452297	0.8
hsa04010	MAPK signaling pathway	DUSP2	0.347016	0.83
hsa04010	MAPK signaling pathway	NTF3	0.3585384	1.191
hsa04010	MAPK signaling pathway	CASP10	0.3586467	0.83
hsa04010	MAPK signaling pathway	CACNG4	0.3625406	0.827
hsa04010	MAPK signaling pathway	FGF10	0.366482	1.135
hsa04010	MAPK signaling pathway	CACNA1F	0.3708713	0.857
hsa04010	MAPK signaling pathway	HSPA1B	0.3779351	0.895
hsa04010	MAPK signaling pathway	CACNA1G	0.3815246	0.814
hsa04010	MAPK signaling pathway	NFATC2	0.3828395	1.12
hsa04010	MAPK signaling pathway	MAP4K1	0.3830197	1.221
hsa04010	MAPK signaling pathway	MAPK14	0.3860393	0.805
hsa04010	MAPK signaling pathway	ELK4	0.3897136	1.205
hsa04010	MAPK signaling pathway	CACNG8	0.391726	1.183
hsa04010	MAPK signaling pathway	ARRB1	0.3952548	0.85
hsa04010	MAPK signaling pathway	NTRK2	0.4086914	0.831
hsa04010	MAPK signaling pathway	NRAS	0.4092444	1.22
hsa04010	MAPK signaling pathway	DUSP6	0.4113465	0.909
hsa04010	MAPK signaling pathway	CACNA1A	0.4155379	0.884
hsa04010	MAPK signaling pathway	NGFB	0.4280359	0.823
hsa04010	MAPK signaling pathway	SOS2	0.4307275	0.829
hsa04010	MAPK signaling pathway	MAPKAPK2	0.4401282	1.167
hsa04010	MAPK signaling pathway	PPP3CA	0.4440953	1.232
hsa04010	MAPK signaling pathway	FGF2	0.4551407	1.216
hsa04010	MAPK signaling pathway	CASP5	0.4563063	1.122
hsa04010	MAPK signaling pathway	HSPA9	0.462857	0.879
hsa04010	MAPK signaling pathway	CASP3	0.4854143	1.129
hsa04010	MAPK signaling pathway	JUN	0.4881456	1.132
hsa04010	MAPK signaling pathway	MAPK8IP2	0.4900579	0.81
hsa04010	MAPK signaling pathway	PDGFRB	0.4923498	1.246
hsa04010	MAPK signaling pathway	FGF11	0.4932894	0.863
hsa04010	MAPK signaling pathway	IL1B	0.4986345	0.919
hsa04010	MAPK signaling pathway	ACVR1C	0.5033813	0.891
hsa04010	MAPK signaling pathway	FGF5	0.5048362	0.881
hsa04010	MAPK signaling pathway	PTPRR	0.5138761	0.902
hsa04010	MAPK signaling pathway	RASGRF2	0.5165818	0.929
hsa04010	MAPK signaling pathway	AKT2	0.523606	1.125
hsa04010	MAPK signaling pathway	IL1R2	0.5237056	0.89
hsa04010	MAPK signaling pathway	CD14	0.5252951	0.927
hsa04010	MAPK signaling pathway	CASP8	0.526427	1.286
hsa04010	MAPK signaling pathway	CACNG3	0.5299225	1.209
hsa04010	MAPK signaling pathway	MAPK12	0.5373105	1.146
hsa04010	MAPK signaling pathway	FGF4	0.5413363	1.095
hsa04010	MAPK signaling pathway	MAP2K3	0.5423813	0.86
hsa04010	MAPK signaling pathway	DUSP1	0.5466084	0.949
hsa04010	MAPK signaling pathway	MAP2K1	0.5508973	0.853
hsa04010	MAPK signaling pathway	MAPK11	0.5557648	1.122
hsa04010	MAPK signaling pathway	CACNA2D3	0.5742483	1.072
hsa04010	MAPK signaling pathway	MAP2K4	0.5833753	1.187
hsa04010	MAPK signaling pathway	CHP	0.5858702	1.158
hsa04010	MAPK signaling pathway	FGF3	0.59194	0.966
hsa04010	MAPK signaling pathway	PPP3CB	0.593355	1.132
hsa04010	MAPK signaling pathway	FGF14	0.6139368	0.882
hsa04010	MAPK signaling pathway	PAK1	0.6144111	1.064
hsa04010	MAPK signaling pathway	FGF23	0.6159843	1.12
hsa04010	MAPK signaling pathway	CASP9	0.6204427	0.875
hsa04010	MAPK signaling pathway	FASLG	0.6261828	0.891
hsa04010	MAPK signaling pathway	PRKACG	0.6309917	0.869
hsa04010	MAPK signaling pathway	FGF6	0.6331888	0.888
hsa04010	MAPK signaling pathway	MAPK9	0.6404316	0.914
hsa04010	MAPK signaling pathway	AKT1	0.6488743	1.21
hsa04010	MAPK signaling pathway	GNG12	0.6505177	0.865
hsa04010	MAPK signaling pathway	PRKY	0.6529573	1.136
hsa04010	MAPK signaling pathway	ECSIT	0.6683295	0.875
hsa04010	MAPK signaling pathway	CASP1	0.6768175	0.948
hsa04010	MAPK signaling pathway	HSPA5	0.6801589	0.922
hsa04010	MAPK signaling pathway	NFKB2	0.6839498	0.914
hsa04010	MAPK signaling pathway	RAF1	0.6873123	1.093
hsa04010	MAPK signaling pathway	CACNG1	0.6916444	0.923
hsa04010	MAPK signaling pathway	RAP1A	0.6954246	1.061
hsa04010	MAPK signaling pathway	TRAF2	0.6986115	0.879
hsa04010	MAPK signaling pathway	CACNA2D4	0.6990233	0.922
hsa04010	MAPK signaling pathway	PPP5C	0.7021804	1.064
hsa04010	MAPK signaling pathway	STK3	0.7042354	0.919
hsa04010	MAPK signaling pathway	CDC25B	0.7058986	1.086
hsa04010	MAPK signaling pathway	MAPKAPK5	0.7204705	0.938
hsa04010	MAPK signaling pathway	CACNB2	0.7378974	1.106
hsa04010	MAPK signaling pathway	RAPGEF2	0.7382693	1.057
hsa04010	MAPK signaling pathway	CASP4	0.7605896	1.07
hsa04010	MAPK signaling pathway	RPS6KA3	0.7632298	1.051
hsa04010	MAPK signaling pathway	RPS6KA6	0.7674928	1.059
hsa04010	MAPK signaling pathway	CACNG2	0.7741509	0.936
hsa04010	MAPK signaling pathway	PLA2G1B	0.7747703	0.958
hsa04010	MAPK signaling pathway	MAP3K6	0.7780255	1.049
hsa04010	MAPK signaling pathway	MAPT	0.7824593	0.934
hsa04010	MAPK signaling pathway	IKBKG	0.7873133	0.905
hsa04010	MAPK signaling pathway	MAP3K3	0.7889788	1.08
hsa04010	MAPK signaling pathway	CACNA1H	0.7892421	0.947
hsa04010	MAPK signaling pathway	MAPK3	0.8000766	1.041
hsa04010	MAPK signaling pathway	GADD45G	0.8011076	0.975
hsa04010	MAPK signaling pathway	RPS6KA2	0.803073	0.966
hsa04010	MAPK signaling pathway	FGF12	0.8074617	1.049
hsa04010	MAPK signaling pathway	PLA2G10	0.8123576	0.943
hsa04010	MAPK signaling pathway	PRKCB1	0.814647	0.952
hsa04010	MAPK signaling pathway	SOS1	0.816573	0.941
hsa04010	MAPK signaling pathway	SRF	0.8183211	0.959
hsa04010	MAPK signaling pathway	FGF9	0.8213282	1.035
hsa04010	MAPK signaling pathway	HSPA8	0.8222612	1.047
hsa04010	MAPK signaling pathway	ATF4	0.82568	1.05
hsa04010	MAPK signaling pathway	TNFRSF1A	0.8295847	0.963
hsa04010	MAPK signaling pathway	CACNA1I	0.8306674	0.962
hsa04010	MAPK signaling pathway	ELK1	0.8326871	0.951
hsa04010	MAPK signaling pathway	PPM1B	0.8329952	1.055
hsa04010	MAPK signaling pathway	PLA2G4A	0.834294	1.022
hsa04010	MAPK signaling pathway	RRAS	0.834549	0.967
hsa04010	MAPK signaling pathway	NR4A1	0.8347778	1.041
hsa04010	MAPK signaling pathway	IL1R1	0.8366513	1.029
hsa04010	MAPK signaling pathway	IL1A	0.8380968	0.972
hsa04010	MAPK signaling pathway	MAP4K2	0.8382381	1.059
hsa04010	MAPK signaling pathway	MAP3K4	0.8756018	0.972
hsa04010	MAPK signaling pathway	RPS6KA5	0.8781383	0.969
hsa04010	MAPK signaling pathway	DUSP9	0.8832048	1.016
hsa04010	MAPK signaling pathway	MAP3K14	0.8901536	0.972
hsa04010	MAPK signaling pathway	GADD45B	0.9042931	1.014
hsa04010	MAPK signaling pathway	MAPK1	0.9052701	0.982
hsa04010	MAPK signaling pathway	CRKL	0.9089294	1.018
hsa04010	MAPK signaling pathway	FGF8	0.9126569	1.025
hsa04010	MAPK signaling pathway	BDNF	0.9145325	0.986
hsa04010	MAPK signaling pathway	GRB2	0.9285442	1.019
hsa04010	MAPK signaling pathway	RASGRP4	0.9341122	0.984
hsa04010	MAPK signaling pathway	CACNB3	0.9361515	1.01
hsa04010	MAPK signaling pathway	CASP2	0.9373984	0.978
hsa04010	MAPK signaling pathway	PLA2G2A	0.9569191	1.006
hsa04010	MAPK signaling pathway	PLA2G2F	0.961688	1.01
hsa04010	MAPK signaling pathway	PLA2G12B	0.9719164	0.992
hsa04010	MAPK signaling pathway	NFATC4	0.9729215	0.992
hsa04010	MAPK signaling pathway	RAC3	0.9752804	0.992
hsa04010	MAPK signaling pathway	FGFR4	0.9773402	0.991
hsa04010	MAPK signaling pathway	ARRB2	0.9922386	0.998
hsa04010	MAPK signaling pathway	TGFBR1	0.9922962	0.999
hsa04020	Calcium signaling pathway	CACNA1B	0.0000602	0.318
hsa04020	Calcium signaling pathway	EDNRA	0.0010455	1.568
hsa04020	Calcium signaling pathway	TRPC1	0.001066	1.894
hsa04020	Calcium signaling pathway	GRPR	0.0013085	0.335
hsa04020	Calcium signaling pathway	CD38	0.004712	0.771
hsa04020	Calcium signaling pathway	HTR4	0.0049918	0.501
hsa04020	Calcium signaling pathway	ADRA1A	0.0056855	0.511
hsa04020	Calcium signaling pathway	SLC25A5	0.0102438	0.563
hsa04020	Calcium signaling pathway	CACNA1C	0.0137484	0.32
hsa04020	Calcium signaling pathway	SLC8A2	0.0155801	0.494
hsa04020	Calcium signaling pathway	PDE1A	0.0202549	1.387
hsa04020	Calcium signaling pathway	P2RXL1	0.0213911	0.647
hsa04020	Calcium signaling pathway	P2RX2	0.0245136	0.525
hsa04020	Calcium signaling pathway	NTSR1	0.0276313	0.69
hsa04020	Calcium signaling pathway	PPP3CC	0.0386457	0.551
hsa04020	Calcium signaling pathway	PLN	0.0454024	1.392
hsa04020	Calcium signaling pathway	GNA15	0.0467115	0.761
hsa04020	Calcium signaling pathway	CACNA1S	0.0483226	0.625
hsa04020	Calcium signaling pathway	GNA14	0.0529499	0.615
hsa04020	Calcium signaling pathway	VDAC1	0.0530818	0.703
hsa04020	Calcium signaling pathway	PRKACB	0.0559549	0.649
hsa04020	Calcium signaling pathway	ADRB3	0.0590003	0.642
hsa04020	Calcium signaling pathway	P2RX7	0.0626387	1.238
hsa04020	Calcium signaling pathway	PHKG1	0.0651814	1.254
hsa04020	Calcium signaling pathway	CALM2	0.0663217	1.424
hsa04020	Calcium signaling pathway	ADRB1	0.0675452	1.342
hsa04020	Calcium signaling pathway	PLCD1	0.0711146	1.236
hsa04020	Calcium signaling pathway	ADCY3	0.075951	0.647
hsa04020	Calcium signaling pathway	ADCY8	0.0771716	1.239
hsa04020	Calcium signaling pathway	ADRA1B	0.0826982	1.495
hsa04020	Calcium signaling pathway	HTR6	0.0868834	0.594
hsa04020	Calcium signaling pathway	ADORA2B	0.0871022	0.654
hsa04020	Calcium signaling pathway	ADRB2	0.0952199	1.309
hsa04020	Calcium signaling pathway	PDGFRA	0.0980182	1.162
hsa04020	Calcium signaling pathway	PRKACA	0.1184354	0.8
hsa04020	Calcium signaling pathway	GNAS	0.1276486	1.354
hsa04020	Calcium signaling pathway	VDAC2	0.1285223	0.78
hsa04020	Calcium signaling pathway	PLCB2	0.1295171	0.843
hsa04020	Calcium signaling pathway	SLC25A6	0.1310692	0.79
hsa04020	Calcium signaling pathway	ITPR1	0.1332072	0.677
hsa04020	Calcium signaling pathway	GNA11	0.1390402	0.806
hsa04020	Calcium signaling pathway	HTR2C	0.1517068	1.298
hsa04020	Calcium signaling pathway	RYR1	0.1534504	1.144
hsa04020	Calcium signaling pathway	PPP3R1	0.1556647	1.28
hsa04020	Calcium signaling pathway	TNNC2	0.1573585	1.158
hsa04020	Calcium signaling pathway	CAMK2D	0.1710507	0.715
hsa04020	Calcium signaling pathway	TACR1	0.1956969	0.803
hsa04020	Calcium signaling pathway	PRKCA	0.1964316	0.779
hsa04020	Calcium signaling pathway	ATP2A3	0.2040589	0.744
hsa04020	Calcium signaling pathway	HRH2	0.2079491	0.72
hsa04020	Calcium signaling pathway	PRKCG	0.2121237	0.689
hsa04020	Calcium signaling pathway	ERBB4	0.2194347	0.724
hsa04020	Calcium signaling pathway	ADCY1	0.2279433	0.649
hsa04020	Calcium signaling pathway	PHKA2	0.2335463	0.795
hsa04020	Calcium signaling pathway	SPHK1	0.2376742	1.257
hsa04020	Calcium signaling pathway	ITPKB	0.2389889	0.855
hsa04020	Calcium signaling pathway	ATP2B2	0.247618	0.809
hsa04020	Calcium signaling pathway	PLCE1	0.2543842	0.759
hsa04020	Calcium signaling pathway	PLCG2	0.2575766	0.846
hsa04020	Calcium signaling pathway	CAMK2A	0.2655101	0.798
hsa04020	Calcium signaling pathway	ADCY4	0.269317	0.676
hsa04020	Calcium signaling pathway	HTR7	0.2808612	1.299
hsa04020	Calcium signaling pathway	PHKA1	0.2843749	0.768
hsa04020	Calcium signaling pathway	GNAL	0.2890424	0.821
hsa04020	Calcium signaling pathway	EGFR	0.3011526	0.73
hsa04020	Calcium signaling pathway	PTK2B	0.3015061	0.793
hsa04020	Calcium signaling pathway	CYSLTR1	0.3023972	0.807
hsa04020	Calcium signaling pathway	GNAQ	0.3198278	1.18
hsa04020	Calcium signaling pathway	HTR2B	0.3205536	1.118
hsa04020	Calcium signaling pathway	F2R	0.3211859	1.113
hsa04020	Calcium signaling pathway	CACNA1D	0.338754	0.837
hsa04020	Calcium signaling pathway	P2RX3	0.3419905	1.157
hsa04020	Calcium signaling pathway	CACNA1E	0.3433049	0.864
hsa04020	Calcium signaling pathway	CAMK2B	0.3525238	0.882
hsa04020	Calcium signaling pathway	BDKRB2	0.3605986	1.152
hsa04020	Calcium signaling pathway	PLCB4	0.36211	1.176
hsa04020	Calcium signaling pathway	CACNA1F	0.3708713	0.857
hsa04020	Calcium signaling pathway	CACNA1G	0.3815246	0.814
hsa04020	Calcium signaling pathway	HRH1	0.3863882	0.87
hsa04020	Calcium signaling pathway	CCKAR	0.3881066	0.781
hsa04020	Calcium signaling pathway	GRIN1	0.407171	0.889
hsa04020	Calcium signaling pathway	CACNA1A	0.4155379	0.884
hsa04020	Calcium signaling pathway	AVPR1A	0.418709	0.857
hsa04020	Calcium signaling pathway	RYR2	0.4212431	0.896
hsa04020	Calcium signaling pathway	PLCD3	0.4256979	0.864
hsa04020	Calcium signaling pathway	PDE1B	0.4435902	1.231
hsa04020	Calcium signaling pathway	PPP3CA	0.4440953	1.232
hsa04020	Calcium signaling pathway	ATP2A1	0.446651	0.835
hsa04020	Calcium signaling pathway	ITPR3	0.4470051	0.903
hsa04020	Calcium signaling pathway	ATP2B4	0.4511895	1.208
hsa04020	Calcium signaling pathway	GRM1	0.4552325	0.82
hsa04020	Calcium signaling pathway	TACR3	0.4675117	0.859
hsa04020	Calcium signaling pathway	VDAC3	0.4782908	0.891
hsa04020	Calcium signaling pathway	P2RX1	0.4783472	0.829
hsa04020	Calcium signaling pathway	DRD1	0.4917015	0.88
hsa04020	Calcium signaling pathway	PDGFRB	0.4923498	1.246
hsa04020	Calcium signaling pathway	ERBB3	0.4927899	0.856
hsa04020	Calcium signaling pathway	GRIN2C	0.4938256	0.852
hsa04020	Calcium signaling pathway	CYSLTR2	0.4948495	1.145
hsa04020	Calcium signaling pathway	PPID	0.4949703	1.102
hsa04020	Calcium signaling pathway	PTGER3	0.4963001	0.851
hsa04020	Calcium signaling pathway	AGTR1	0.4965096	0.918
hsa04020	Calcium signaling pathway	TACR2	0.4993287	0.863
hsa04020	Calcium signaling pathway	RYR3	0.5073483	0.914
hsa04020	Calcium signaling pathway	ADCY2	0.509483	0.914
hsa04020	Calcium signaling pathway	TBXA2R	0.5125624	0.837
hsa04020	Calcium signaling pathway	MYLK	0.5307506	1.08
hsa04020	Calcium signaling pathway	CHRM2	0.5344744	1.171
hsa04020	Calcium signaling pathway	ITPR2	0.5645425	0.847
hsa04020	Calcium signaling pathway	ADORA2A	0.5731169	0.856
hsa04020	Calcium signaling pathway	ADRA1D	0.5810121	0.87
hsa04020	Calcium signaling pathway	CHP	0.5858702	1.158
hsa04020	Calcium signaling pathway	HTR5A	0.5862322	0.941
hsa04020	Calcium signaling pathway	PPP3CB	0.593355	1.132
hsa04020	Calcium signaling pathway	ADCY9	0.6209862	0.828
hsa04020	Calcium signaling pathway	ATP2A2	0.6297426	1.074
hsa04020	Calcium signaling pathway	PRKACG	0.6309917	0.869
hsa04020	Calcium signaling pathway	PLCB3	0.633092	0.882
hsa04020	Calcium signaling pathway	NOS1	0.6440358	0.914
hsa04020	Calcium signaling pathway	PRKY	0.6529573	1.136
hsa04020	Calcium signaling pathway	CCKBR	0.6543962	0.942
hsa04020	Calcium signaling pathway	MYLK2	0.6708255	1.083
hsa04020	Calcium signaling pathway	ADCY7	0.680949	0.914
hsa04020	Calcium signaling pathway	CHRNA7	0.7048366	1.097
hsa04020	Calcium signaling pathway	OXTR	0.7068308	0.959
hsa04020	Calcium signaling pathway	ATP2B1	0.7217842	1.079
hsa04020	Calcium signaling pathway	ERBB2	0.7510684	1.058
hsa04020	Calcium signaling pathway	ATP2B3	0.7538371	0.935
hsa04020	Calcium signaling pathway	PHKB	0.7593759	0.898
hsa04020	Calcium signaling pathway	P2RX5	0.7604487	1.063
hsa04020	Calcium signaling pathway	CAMK4	0.7732782	1.048
hsa04020	Calcium signaling pathway	CALML3	0.7746025	0.97
hsa04020	Calcium signaling pathway	PLCD4	0.7753491	1.074
hsa04020	Calcium signaling pathway	CALM3	0.7789745	0.953
hsa04020	Calcium signaling pathway	NOS3	0.7879388	1.046
hsa04020	Calcium signaling pathway	CACNA1H	0.7892421	0.947
hsa04020	Calcium signaling pathway	GRM5	0.7901915	0.916
hsa04020	Calcium signaling pathway	PTGFR	0.8022354	0.947
hsa04020	Calcium signaling pathway	PRKCB1	0.814647	0.952
hsa04020	Calcium signaling pathway	TTN	0.8181609	0.939
hsa04020	Calcium signaling pathway	PLCZ1	0.8233075	1.047
hsa04020	Calcium signaling pathway	CHRM3	0.8260787	1.029
hsa04020	Calcium signaling pathway	CACNA1I	0.8306674	0.962
hsa04020	Calcium signaling pathway	ITPKA	0.8365533	1.034
hsa04020	Calcium signaling pathway	CHRM5	0.8488456	0.962
hsa04020	Calcium signaling pathway	PDE1C	0.85781	1.026
hsa04020	Calcium signaling pathway	PLCG1	0.8596361	0.961
hsa04020	Calcium signaling pathway	BDKRB1	0.8620653	1.022
hsa04020	Calcium signaling pathway	NOS2A	0.8768472	0.974
hsa04020	Calcium signaling pathway	LHCGR	0.8897038	1.022
hsa04020	Calcium signaling pathway	PTGER1	0.8990746	1.03
hsa04020	Calcium signaling pathway	PHKG2	0.9034288	0.975
hsa04020	Calcium signaling pathway	SLC8A3	0.9056842	0.965
hsa04020	Calcium signaling pathway	TRHR	0.911679	0.98
hsa04020	Calcium signaling pathway	P2RX4	0.9124924	0.963
hsa04020	Calcium signaling pathway	CALML6	0.915578	1.013
hsa04020	Calcium signaling pathway	SLC25A4	0.9243783	0.985
hsa04020	Calcium signaling pathway	CHRM1	0.9269665	0.985
hsa04020	Calcium signaling pathway	CAMK2G	0.9342952	0.982
hsa04020	Calcium signaling pathway	EDNRB	0.94635	0.992
hsa04020	Calcium signaling pathway	GRIN2D	0.9537939	0.986
hsa04020	Calcium signaling pathway	HTR2A	0.9790666	0.996
hsa04020	Calcium signaling pathway	TNNC1	0.9861392	1.002
hsa04020	Calcium signaling pathway	SPHK2	0.997775	1.001
hsa04020	Calcium signaling pathway	BST1	0.9992045	1
hsa04060	Cytokine-cytokine receptor interaction	CCL28	0.0006197	1.477
hsa04060	Cytokine-cytokine receptor interaction	OSM	0.0007485	0.618
hsa04060	Cytokine-cytokine receptor interaction	CNTFR	0.000805	0.451
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF14	0.0023035	0.592
hsa04060	Cytokine-cytokine receptor interaction	XCR1	0.0028925	0.411
hsa04060	Cytokine-cytokine receptor interaction	IFNB1	0.0030582	0.565
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF13C	0.0033857	0.39
hsa04060	Cytokine-cytokine receptor interaction	CCR3	0.0049095	0.484
hsa04060	Cytokine-cytokine receptor interaction	GHR	0.0066595	1.26
hsa04060	Cytokine-cytokine receptor interaction	EGF	0.0076686	0.607
hsa04060	Cytokine-cytokine receptor interaction	CCL8	0.0077941	0.597
hsa04060	Cytokine-cytokine receptor interaction	CCL5	0.0081888	0.78
hsa04060	Cytokine-cytokine receptor interaction	MPL	0.0113269	0.525
hsa04060	Cytokine-cytokine receptor interaction	BMP7	0.0130914	1.197
hsa04060	Cytokine-cytokine receptor interaction	IL13RA1	0.0137723	0.6
hsa04060	Cytokine-cytokine receptor interaction	FLT3	0.015085	0.535
hsa04060	Cytokine-cytokine receptor interaction	IL15RA	0.0155045	0.625
hsa04060	Cytokine-cytokine receptor interaction	IL12RB1	0.0167067	0.453
hsa04060	Cytokine-cytokine receptor interaction	IL22RA2	0.0169908	0.439
hsa04060	Cytokine-cytokine receptor interaction	LTBR	0.0210201	1.345
hsa04060	Cytokine-cytokine receptor interaction	BMPR1B	0.0275271	1.389
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF13B	0.0276288	0.578
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF11B	0.0295612	0.778
hsa04060	Cytokine-cytokine receptor interaction	ACVR2A	0.031504	1.499
hsa04060	Cytokine-cytokine receptor interaction	IL9R	0.0321523	0.546
hsa04060	Cytokine-cytokine receptor interaction	TNFSF14	0.0364677	0.543
hsa04060	Cytokine-cytokine receptor interaction	IFNK	0.039189	0.656
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF10B	0.0408769	0.542
hsa04060	Cytokine-cytokine receptor interaction	CCL3	0.0433376	0.602
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF10C	0.0443744	0.655
hsa04060	Cytokine-cytokine receptor interaction	TNFSF9	0.0444703	0.615
hsa04060	Cytokine-cytokine receptor interaction	CXCL14	0.0448543	1.173
hsa04060	Cytokine-cytokine receptor interaction	CD70	0.0453302	0.68
hsa04060	Cytokine-cytokine receptor interaction	TGFB2	0.0463852	1.318
hsa04060	Cytokine-cytokine receptor interaction	CCL13	0.0475421	0.609
hsa04060	Cytokine-cytokine receptor interaction	EPOR	0.0520008	1.438
hsa04060	Cytokine-cytokine receptor interaction	IL2RB	0.0571284	0.785
hsa04060	Cytokine-cytokine receptor interaction	GDF5	0.0601199	1.539
hsa04060	Cytokine-cytokine receptor interaction	CCL1	0.0613329	0.655
hsa04060	Cytokine-cytokine receptor interaction	IL17RB	0.063166	0.639
hsa04060	Cytokine-cytokine receptor interaction	CCL16	0.0652657	1.288
hsa04060	Cytokine-cytokine receptor interaction	TNFSF11	0.0668658	0.559
hsa04060	Cytokine-cytokine receptor interaction	CSF2	0.0683614	0.623
hsa04060	Cytokine-cytokine receptor interaction	CSF3	0.0700153	0.71
hsa04060	Cytokine-cytokine receptor interaction	CXCL16	0.0744573	0.708
hsa04060	Cytokine-cytokine receptor interaction	CCL19	0.076355	0.858
hsa04060	Cytokine-cytokine receptor interaction	CCL7	0.0776376	0.63
hsa04060	Cytokine-cytokine receptor interaction	LIFR	0.078612	0.613
hsa04060	Cytokine-cytokine receptor interaction	CCL21	0.0805744	0.737
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF18	0.0817736	0.816
hsa04060	Cytokine-cytokine receptor interaction	CXCR6	0.0856746	0.786
hsa04060	Cytokine-cytokine receptor interaction	CCL2	0.0883811	0.817
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF12A	0.0898745	1.391
hsa04060	Cytokine-cytokine receptor interaction	BMPR1A	0.0951007	1.408
hsa04060	Cytokine-cytokine receptor interaction	IL17B	0.0958706	0.702
hsa04060	Cytokine-cytokine receptor interaction	IL2RG	0.096352	0.849
hsa04060	Cytokine-cytokine receptor interaction	VEGFB	0.0974496	1.356
hsa04060	Cytokine-cytokine receptor interaction	PDGFRA	0.0980182	1.162
hsa04060	Cytokine-cytokine receptor interaction	PRLR	0.0985526	0.533
hsa04060	Cytokine-cytokine receptor interaction	CXCL2	0.1036418	0.904
hsa04060	Cytokine-cytokine receptor interaction	IL17A	0.1081848	0.725
hsa04060	Cytokine-cytokine receptor interaction	IL15	0.1091676	0.756
hsa04060	Cytokine-cytokine receptor interaction	IL2	0.10946	1.344
hsa04060	Cytokine-cytokine receptor interaction	TGFB1	0.1118066	0.772
hsa04060	Cytokine-cytokine receptor interaction	TGFBR2	0.1127613	0.604
hsa04060	Cytokine-cytokine receptor interaction	CXCL13	0.1135615	0.8
hsa04060	Cytokine-cytokine receptor interaction	CCL24	0.1165078	0.753
hsa04060	Cytokine-cytokine receptor interaction	TGFB3	0.1219262	1.297
hsa04060	Cytokine-cytokine receptor interaction	ACVR2B	0.1272596	0.696
hsa04060	Cytokine-cytokine receptor interaction	PDGFB	0.1280621	0.711
hsa04060	Cytokine-cytokine receptor interaction	IL7R	0.1336875	0.889
hsa04060	Cytokine-cytokine receptor interaction	NGFR	0.1442397	0.785
hsa04060	Cytokine-cytokine receptor interaction	FAS	0.14745	0.712
hsa04060	Cytokine-cytokine receptor interaction	ACVR1B	0.1518292	1.325
hsa04060	Cytokine-cytokine receptor interaction	TNFSF4	0.153206	1.238
hsa04060	Cytokine-cytokine receptor interaction	CSF3R	0.1536358	0.627
hsa04060	Cytokine-cytokine receptor interaction	IL11RA	0.154685	1.429
hsa04060	Cytokine-cytokine receptor interaction	IL8RA	0.1586806	0.767
hsa04060	Cytokine-cytokine receptor interaction	KDR	0.1591405	0.704
hsa04060	Cytokine-cytokine receptor interaction	IL4	0.1605191	0.727
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF19	0.1684093	1.198
hsa04060	Cytokine-cytokine receptor interaction	PPBP	0.1751467	0.721
hsa04060	Cytokine-cytokine receptor interaction	CXCL12	0.1765776	1.108
hsa04060	Cytokine-cytokine receptor interaction	IL10RA	0.1784761	0.759
hsa04060	Cytokine-cytokine receptor interaction	CCR2	0.1824253	0.852
hsa04060	Cytokine-cytokine receptor interaction	IL19	0.1824977	0.706
hsa04060	Cytokine-cytokine receptor interaction	FLT3LG	0.185977	0.815
hsa04060	Cytokine-cytokine receptor interaction	IL18RAP	0.1909625	0.816
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF8	0.2020652	0.631
hsa04060	Cytokine-cytokine receptor interaction	IFNA14	0.2020815	0.745
hsa04060	Cytokine-cytokine receptor interaction	CCL23	0.2062275	0.836
hsa04060	Cytokine-cytokine receptor interaction	PRL	0.2104135	0.758
