Up in Het	Gene Name	Gene Symbol	p53mA	p53mB	p53hetA	p53hetB	Mean Diff
1438852_x_at	minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	Mcm6	9.22	8.93	10.49	10.61	-1.47
1438931_s_at	sestrin 1	Sesn1	8.77	8.68	10.03	9.80	-1.19
1438948_x_at	benzodiazepine receptor, peripheral	Bzrp	7.43	7.83	9.48	9.24	-1.73
1438977_x_at	RAN, member RAS oncogene family	Ran	12.41	12.33	13.45	13.31	-1.01
1438984_x_at	proteasome (prosome, macropain) subunit, beta type 4	Psmb4	11.05	11.22	12.66	13.13	-1.76
1439030_at	ring finger protein 123	Rnf123	6.65	6.63	7.62	7.67	-1.00
1439080_at	Erbb2 interacting protein	Erbb2ip	8.86	8.80	9.94	10.13	-1.20
1439148_a_at	phosphofructokinase, liver, B-type	Pfkl	5.94	5.73	8.57	8.42	-2.66
1439364_a_at	matrix metalloproteinase 2	Mmp2	6.06	6.05	7.60	7.27	-1.38
1439440_x_at	protein tyrosine kinase 9-like (A6-related protein)	Ptk9l	6.65	6.64	8.69	8.14	-1.77
1448108_at	tumor differentially expressed 2	Tde2	10.63	10.91	11.82	12.01	-1.14
1448113_at	stathmin 1	Stmn1	7.81	7.55	8.90	9.26	-1.40
1448118_a_at	cathepsin D	Ctsd	10.18	10.21	11.39	11.25	-1.12
1448138_at	protein phosphatase 2A, regulatory subunit B (PR 53)	Ppp2r4	4.95	5.29	7.96	7.57	-2.64
1448144_at	heterogeneous nuclear ribonucleoprotein A/B	Hnrpab	6.32	6.42	7.93	8.51	-1.85
1448154_at	N-myc downstream regulated gene 2	Ndrg2	6.57	6.67	8.10	7.68	-1.27
1448161_a_at	chloride channel 4-2	Clcn4-2	8.50	8.54	9.99	9.28	-1.11
1448188_at	uncoupling protein 2 (mitochondrial, proton carrier)	Ucp2	6.42	6.53	8.03	8.31	-1.70
1448223_at	NA	NA	8.01	8.11	8.93	9.49	-1.15
1448334_a_at	cyclin I	Ccni	10.99	11.04	11.87	12.25	-1.05
1448336_at	developmentally regulated GTP binding protein 1	Drg1	6.02	6.64	7.66	7.61	-1.31
1448380_at	lectin, galactoside-binding, soluble, 3 binding protein	Lgals3bp	3.54	3.59	4.78	4.40	-1.02
1448460_at	activin A receptor, type 1	Acvr1	6.15	6.21	7.29	7.21	-1.07
1448502_at	solute carrier family 16 (monocarboxylic acid transporters), member 7	Slc16a7	3.01	2.99	4.89	4.05	-1.47
1448505_at	nuclear DNA binding protein	MGI:1927354	7.49	7.73	9.00	8.94	-1.36
1448549_a_at	dolichyl-phosphate (UDP-N-acetylglucosamine) acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	Dpagt1	6.04	6.05	7.11	8.37	-1.69
1448552_s_at	RIKEN cDNA 2310028N02 gene	2310028N02Rik	4.71	4.79	5.83	5.75	-1.04
1448563_at	prohibitin	Phb	6.71	6.46	8.34	8.42	-1.79
1448626_at	CDK5 regulatory subunit associated protein 1	Cdk5rap1	8.50	8.51	9.81	9.38	-1.09
1448630_a_at	succinate dehydrogenase complex, subunit C, integral membrane protein	Sdhc	6.84	6.93	8.46	9.35	-2.02
1448659_at	caspase 7	Casp7	7.32	6.59	8.42	8.39	-1.45
1448665_at	dystrophin, muscular dystrophy	Dmd	4.77	5.12	5.72	6.18	-1.01
1448710_at	chemokine (C-X-C motif) receptor 4	Cxcr4	5.91	5.83	6.88	7.30	-1.22
1448745_s_at	loricrin	Lor	6.58	6.82	8.33	8.07	-1.51
1448797_at	ELK3, member of ETS oncogene family	Elk3	8.07	8.09	9.49	9.07	-1.20
1448938_at	replication protein A3	Rpa3	4.49	4.02	5.14	5.58	-1.11
1448939_at	ubiquitin specific protease 25	Usp25	9.85	9.93	11.08	11.47	-1.38
1449001_at	isovaleryl coenzyme A dehydrogenase	Ivd	6.64	6.45	7.44	8.05	-1.20
1449024_a_at	hexosaminidase A	Hexa	10.10	9.96	10.98	11.47	-1.19
1449080_at	histone deacetylase 2	Hdac2	7.28	7.61	8.37	9.21	-1.35
1449090_a_at	Yamaguchi sarcoma viral (v-yes) oncogene homolog 1	Yes1	5.60	5.90	7.19	7.03	-1.36
1449110_at	ras homolog gene family, member B	Rhob	8.59	8.49	9.88	9.95	-1.38
1449175_at	G-protein coupled receptor 65	Gpr65	6.57	6.48	7.81	7.94	-1.36
1449249_at	protocadherin 7	Pcdh7	3.47	3.38	4.55	4.51	-1.11
1449538_a_at	glucosaminyl (N-acetyl) transferase 1, core 2	Gcnt1	7.90	6.93	9.44	8.77	-1.69
1449875_s_at	histocompatibility 2, T region locus 10	H2-T10	10.44	10.89	11.98	11.75	-1.20
1449935_a_at	DnaJ (Hsp40) homolog, subfamily A, member 3	Dnaja3	4.94	5.69	6.24	6.54	-1.07
1450023_at	GTP binding protein 1	Gtpbp1	7.70	7.28	9.00	8.48	-1.26
1450026_a_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	B3gnt1	7.83	7.80	9.08	8.97	-1.21
1450095_a_at	acylphosphatase 1, erythrocyte (common) type	Acyp1	6.67	6.24	7.68	7.47	-1.12
1450269_a_at	phosphofructokinase, liver, B-type	Pfkl	3.31	3.40	5.54	4.98	-1.91
1450632_at	ras homolog gene family, member A	Rhoa	8.71	8.55	9.69	9.69	-1.06
1450706_a_at	ADP-ribosylation factor-like 3	Arl3	8.91	8.95	10.16	10.16	-1.23
1450853_at	transducin-like enhancer of split 4, homolog of Drosophila E(spl)	Tle4	8.43	8.33	9.89	9.48	-1.30
1450982_at	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	Slc9a3r1	5.02	5.53	6.81	7.14	-1.70
1451025_at	ADP-ribosylation factor-like 1	Arl1	7.49	8.01	8.82	8.94	-1.13
1451067_at	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	Sgta	5.89	5.39	6.86	7.41	-1.49
1451077_at	RIKEN cDNA 2900024C23 gene	2900024C23Rik	7.56	8.23	8.99	9.09	-1.15
1451078_at	RIKEN cDNA 2510039O18 gene	2510039O18Rik	4.20	4.95	6.02	7.48	-2.17
1451121_a_at	glioma tumor suppressor candidate region gene 2	Gltscr2	8.87	8.78	10.96	9.81	-1.56
1451148_at	PTEN induced putative kinase 1	Pink1	9.74	9.96	11.27	10.95	-1.26
1451168_a_at	Rho GDP dissociation inhibitor (GDI) alpha	Arhgdia	8.25	8.35	9.24	9.69	-1.17
1451205_at	proteasome (prosome, macropain) subunit, beta type 4	Psmb4	11.99	12.25	12.86	13.44	-1.04
1451226_at	peroxisomal biogenesis factor 6	Pex6	5.36	5.51	6.54	6.33	-1.00
1451227_a_at	solute carrier family 10 (sodium/bile acid cotransporter family), member 3	Slc10a3	8.08	8.73	9.49	9.65	-1.17
1451271_a_at	acetyl-Coenzyme A acetyltransferase 1	Acat1	10.07	9.90	11.03	11.22	-1.14
1451281_at	zinc finger protein 96	Zfp96	6.72	6.25	7.65	7.36	-1.02
1451366_at	minichromosome maintenance deficient 7 (S. cerevisiae)	Mcm7	8.78	8.84	10.01	10.39	-1.39
1451379_at	RAB22A, member RAS oncogene family	Rab22a	5.99	6.67	7.36	7.38	-1.04
1451413_at	calpastatin	Cast	9.06	9.55	10.71	10.48	-1.29
1451427_a_at	EGF-like domain 7	Egfl7	5.95	5.65	7.21	6.98	-1.29
1451626_x_at	NA	NA	6.21	7.05	8.33	8.33	-1.70
1451672_at	G protein-coupled receptor kinase 6	Gprk6	7.62	7.99	8.95	9.14	-1.24
1451683_x_at	histocompatibility 2, D region locus 1	H2-D1	10.84	10.87	12.24	12.06	-1.30
1451765_a_at	ectonucleoside triphosphate diphosphohydrolase 5	Entpd5	6.72	6.30	7.69	7.33	-1.00
1452001_at	nuclear factor, erythroid derived 2	Nfe2	6.77	6.38	7.75	7.70	-1.15
1452046_a_at	protein phosphatase 1, catalytic subunit, gamma isoform	Ppp1cc	8.16	8.47	9.23	9.78	-1.19
1452061_s_at	spermatid perinuclear RNA binding protein	Strbp	7.95	7.84	9.03	9.32	-1.28
1452128_a_at	c6.1a protein	MGI:2389572	7.77	7.46	8.43	8.91	-1.06
1452158_at	glutamyl-prolyl-tRNA synthetase	Eprs	10.66	10.26	11.94	11.46	-1.24
1452179_at	PHD finger protein 17	Phf17	8.78	8.41	9.81	9.95	-1.29
1452281_at	Son of sevenless homolog 2 (Drosophila)	Sos2	8.47	8.85	9.41	9.95	-1.02
1452331_s_at	RIKEN cDNA 4732486I23 gene	4732486I23Rik	6.99	6.95	7.98	8.01	-1.03
1452341_at	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	Echs1	5.87	5.55	7.58	7.89	-2.02
1452426_x_at	NA	NA	8.62	8.01	11.50	12.52	-3.70
1452438_s_at	TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor	Taf4a	5.62	5.98	6.99	7.03	-1.21
1452592_at	microsomal glutathione S-transferase 2	Mgst2	5.09	6.64	8.14	7.74	-2.07
1452620_at	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	Pck2	4.50	4.25	5.91	5.78	-1.47
1452675_at	RNA binding motif protein 22	Rbm22	7.84	7.62	8.69	9.18	-1.20
1452716_at	RIKEN cDNA 5730469M10 gene	5730469M10Rik	8.68	9.23	10.54	9.92	-1.28
1452768_at	testis expressed gene 261	Tex261	4.59	4.56	5.81	7.34	-2.00
1452907_at	galactosylceramidase	Galc	7.97	8.37	9.26	9.47	-1.19
1453013_at	RIKEN cDNA 1110034O07 gene	1110034O07Rik	5.43	5.47	6.30	7.19	-1.30
1453064_at	RIKEN cDNA 5730466H23 gene	5730466H23Rik	5.49	5.72	6.68	6.92	-1.19
1454607_s_at	phosphoserine aminotransferase 1	Psat1	11.07	11.00	12.11	12.63	-1.33
1454656_at	spermatogenesis associated 13	Spata13	7.20	7.15	9.10	8.50	-1.62
1454789_x_at	RIKEN cDNA 2610031L17 gene	2610031L17Rik	10.30	10.09	11.82	11.70	-1.57
1454794_at	spastic paraplegia 4 homolog (human)	Spg4	8.04	8.22	8.80	9.49	-1.02
1454817_at	WD repeat domain 50	Wdr50	6.58	6.39	7.75	8.04	-1.41
1454831_at	forkhead box N2	Foxn2	7.77	7.37	8.32	8.98	-1.09
1454842_a_at	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2	B3galnt2	7.48	7.69	8.57	8.66	-1.04
1454993_a_at	splicing factor, arginine/serine-rich 3 (SRp20)	Sfrs3	8.75	8.82	9.80	9.77	-1.00
1455053_a_at	testis derived transcript 3, pseudogene	Tes3-ps	7.37	7.44	8.82	9.38	-1.70
1455349_at	RAS related protein 1b	Rap1b	8.90	9.37	10.23	10.56	-1.26
1455505_at	NA	NA	3.75	4.48	6.13	6.31	-2.11
1455822_x_at	surfeit gene 4	Surf4	9.15	9.03	10.74	10.70	-1.63
1455869_at	NA	NA	9.93	9.09	10.62	11.17	-1.39
1455880_s_at	beclin 1 (coiled-coil, myosin-like BCL2-interacting protein)	Becn1	9.61	9.99	10.85	11.06	-1.15
1455892_x_at	NA	NA	10.84	10.46	11.88	12.60	-1.59
1455930_at	NA	NA	7.39	7.30	10.63	9.01	-2.47
1455938_x_at	RAD21 homolog (S. pombe)	Rad21	8.78	9.46	10.21	10.24	-1.11
1455988_a_at	chaperonin subunit 6a (zeta)	Cct6a	12.20	11.97	13.08	13.38	-1.14
1456080_a_at	tumor differentially expressed 1	Tde1	7.01	8.07	9.21	9.74	-1.93
1456244_x_at	thioredoxin-like 2	Txnl2	8.98	9.04	11.29	11.88	-2.57
1456251_x_at	benzodiazepine receptor, peripheral	Bzrp	6.05	6.14	7.46	7.37	-1.32
1456584_x_at	3-phosphoglycerate dehydrogenase	Phgdh	7.50	6.74	8.28	8.30	-1.17
1456590_x_at	NA	NA	9.49	8.89	10.82	10.52	-1.48
1460174_at	dexamethasone-induced transcript	Dexi	6.79	6.79	8.03	7.69	-1.06
1460188_at	hemopoietic cell phosphatase	Hcph	7.81	7.54	9.14	8.73	-1.26
1460288_a_at	protein phosphatase 4, catalytic subunit	Ppp4c	5.84	5.44	6.94	6.78	-1.22
1460590_s_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	Ywhaq	12.18	12.13	13.14	13.39	-1.11
1460718_s_at	mitochondrial carrier homolog 1 (C. elegans)	Mtch1	8.59	8.99	10.27	10.76	-1.72
1460741_x_at	DNA segment, Chr 17, Wayne State University 92, expressed	D17Wsu92e	5.69	5.29	7.15	7.20	-1.69
