ProbeID (Affymetrix)	Fold Change(CLDN1 transfectants/Mock)	Gene Symbol	Common Name	Description	Location	Function	Genbank	UniGene	RefSeq	Pathways	GO biological process	GO molecular function	GO cellular component	Map_
210448_s_at	0.299	P2RX5	P2X5; P2X5R; MGC47755	purinergic receptor P2X, ligand-gated ion channel, 5	Plasma Membrane	ion channel	U49396	Hs.408615	NM_002561	KEGG pathway: Calcium signaling pathway 04020; KEGG pathway: Neuroactive ligand-receptor interaction 04080	GO:6811(ion transport)	GO:5524(ATP binding); GO:5216(ion channel activity); GO:4872(receptor activity)	GO:16020(membrane)	17p13.3
202644_s_at	0.299	TNFAIP3	A20; TNFA1P2; MGC104522	tumor necrosis factor, alpha-induced protein 3	Nucleus	other	NM_006290	Hs.211600	NM_006290		GO:6916(anti-apoptosis); GO:6915(apoptosis); GO:43124(negative regulation of I-kappaB kinase/NF-kappaB cascade); GO:6512(ubiquitin cycle)	GO:3677(DNA binding); GO:8234(cysteine-type peptidase activity); GO:46872(metal ion binding); GO:5515(protein binding); GO:8270(zinc ion binding)	GO:5634(nucleus)	6q23
243514_at	0.299			tc95f02.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:2073915 3 similar to contains Alu repetitive element;contains element MER19 repetitive element ;, mRNA sequence.			AI475902
219922_s_at	0.301	LTBP3	LTBP2; LTBP-3; pp6425; DKFZP586M2123	latent transforming growth factor beta binding protein 3	Extracellular Space	other	NM_021070	Hs.289019	NM_021070			GO:5509(calcium ion binding); GO:19838(growth factor binding)		11q12
203921_at	0.302	CHST2	C6ST	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	Cytoplasm	enzyme	NM_004267	Hs.8786	NM_004267	KEGG pathway: Keratan sulfate biosynthesis 00533	GO:6044(N-acetylglucosamine metabolism); GO:5975(carbohydrate metabolism); GO:6954(inflammatory response); GO:6790(sulfur metabolism)	GO:1517(N-acetylglucosamine 6-O-sulfotransferase activity); GO:16740(transferase activity)	GO:5795(Golgi stack); GO:5802(Golgi trans face); GO:16021(integral to membrane); GO:31228(intrinsic to Golgi membrane)	3q24
216268_s_at	0.302	JAG1	AGS; AHD; AWS; HJ1; JAGL1; MGC104644	jagged 1 (Alagille syndrome)	Extracellular Space	growth factor	U77914	Hs.224012	NM_000214	KEGG pathway: Notch signaling pathway 04330; Reactome Event:Notch Signaling Pathway 157118	GO:7219(Notch signaling pathway); GO:1525(angiogenesis); GO:7154(cell communication); GO:1709(cell fate determination); GO:7275(development); GO:45446(endothelial cell differentiation); GO:30097(hemopoiesis); GO:30216(keratinocyte differentiation); GO:45445(myoblast differentiation); GO:7399(nervous system development); GO:30334(regulation of cell migration); GO:42127(regulation of cell proliferation)	GO:5112(Notch binding); GO:5509(calcium ion binding); GO:8083(growth factor activity); GO:5198(structural molecule activity)	GO:5576(extracellular region); GO:5887(integral to plasma membrane); GO:16020(membrane)	20p12.1-p11.23
225033_at	0.302	LOC286167	SIAT4A	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	Unknown	other	AV721528	Hs.374257						8q24.22
1554026_a_at	0.302	MYO10	KIAA0799; MGC131988	myosin X	Cytoplasm	other	BC041694	Hs.481720	NM_012334		GO:7165(signal transduction)	GO:5524(ATP binding); GO:3779(actin binding); GO:3774(motor activity); GO:166(nucleotide binding)	GO:5856(cytoskeleton); GO:16459(myosin)	5p15.1-p14.3
223374_s_at	0.303	B3GALNT1	P; P1; GLCT3; galT3; Gb4Cer; B3GALNT1; beta3Gal-T3	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3	Cytoplasm	enzyme	AF154848	Hs.418062	NM_003781	KEGG pathway: Globoside metabolism 00603	GO:6486(protein amino acid glycosylation)	GO:8499(UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity); GO:47273(galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity); GO:8378(galactosyltransferase activity); GO:287(magnesium ion binding); GO:16757(transferase activity, transferring glycosyl groups)	GO:5795(Golgi stack); GO:16021(integral to membrane); GO:16020(membrane)	3q25
231598_x_at	0.309			tb91d12.x1 NCI_CGAP_Lu25 Homo sapiens cDNA clone IMAGE:2061719 3, mRNA sequence.			AI379823
227961_at	0.311	CTSB		zo15f02.s1 Stratagene colon (#937204) Homo sapiens cDNA clone IMAGE:586971 3 similar to contains Alu repetitive element;contains element TAR1 repetitive element ;, mRNA sequence.	Cytoplasm	peptidase	AA130998	Hs.520898	NM_001908 ; NM_147780 ; NM_147781 ; NM_147782 ; NM_147783					8p22
222482_at	0.311	SSBP3	MRPL37	Mitochondrial ribosomal protein L37	Nucleus	transcription regulator	AA102468	Hs.476706	NM_001009955 ; NM_018070 ; NM_145716					1p32.1
219143_s_at	0.312	RPP25	FLJ20374	ribonuclease P 25kDa subunit	Nucleus	other	NM_017793	Hs.8562	NM_017793					15q24.1
241994_at	0.312	XDH		602371672F1 NIH_MGC_93 Homo sapiens cDNA clone IMAGE:4479976 5, mRNA sequence.	Cytoplasm	enzyme	BG260086	Hs.250	NM_000379					2p23-p22
224013_s_at	0.313	SOX7		SRY (sex determining region Y)-box 7	Nucleus	transcription regulator	BC004299	Hs.213194	NM_031439
203216_s_at	0.315	MYO6	DFNA22; DFNB37; myosin; KIAA0389	myosin VI	Cytoplasm	other	NM_004999	Hs.149387	NM_004999		GO:30048(actin filament-based movement); GO:4(biological process unknown); GO:7605(sensory perception of sound); GO:6941(striated muscle contraction)	GO:5524(ATP binding); GO:42623(ATPase activity, coupled); GO:3779(actin binding); GO:5516(calmodulin binding); GO:146(microfilament motor activity); GO:5554(molecular function unknown); GO:3774(motor activity); GO:166(nucleotide binding); GO:8307(structural constituent of muscle)	GO:16461(unconventional myosin)	6q13
225381_at	0.317	LOC399959		Hypothetical gene supported by BX647608	Unknown	other	AW162210	Hs.411391	XM_378316					11q24.1
226208_at	0.318	ZSWIM6	ZSWIM6	Zinc finger, SWIM-type containing 6	Unknown	other	AI692595	Hs.18564	XM_035299					5q12.1
238058_at	0.318		FLJ27365	Hypothetical protein LOC150381			AA603041	Hs.370892						22q13.31
221841_s_at	0.32	KLF4	KLF4	Kruppel-like factor 4 (gut)	Nucleus	transcription regulator	BF514079	Hs.376206	NM_004235					9q31
235146_at	0.322		TMCC3	Transmembrane and coiled-coil domain family 3			N51717	Hs.370410	NM_020698					12q22
225258_at	0.326	FBLIM1	CAL; FBLP1; FBLP-1; DKFZp434G171; RP11-169K16.5	filamin binding LIM protein 1	Plasma Membrane	other	AL133035	Hs.530101	NM_001024215		GO:7155(cell adhesion); GO:8360(regulation of cell shape)	GO:46872(metal ion binding); GO:5515(protein binding); GO:8270(zinc ion binding)	GO:5856(cytoskeleton)	1p36.13
227719_at	0.327		SMAD9	SMAD, mothers against DPP homolog 9 (Drosophila)			AA934610	Hs.123119						13q12-q14
222453_at	0.328	CYBRD1	DCYTB; FLJ23462	cytochrome b reductase 1	Cytoplasm	enzyme	AL136693	Hs.221941	NM_024843		GO:6118(electron transport)		GO:16021(integral to membrane)	2q31.1
237324_s_at	0.328	HKDC1	FLJ22761	Hexokinase domain containing 1	Unknown	kinase	AW451101	Hs.522988	NM_025130					10q22.1
206710_s_at	0.329	EPB41L3	4.1B; DAL1; DAL-1; KIAA0987	erythrocyte membrane protein band 4.1-like 3	Plasma Membrane	other	NM_012307	Hs.213394	NM_012307	KEGG pathway: Tight junction 04530	GO:4(biological process unknown); GO:30866(cortical actin cytoskeleton organization and biogenesis)	GO:3779(actin binding); GO:5488(binding); GO:5554(molecular function unknown); GO:5198(structural molecule activity)	GO:5737(cytoplasm); GO:5856(cytoskeleton); GO:5886(plasma membrane)	18p11.32
242094_at	0.329	ITGB3		Full length insert cDNA clone YR40C10	Plasma Membrane	transmembrane receptor	AI949266	Hs.225198						17
205195_at	0.33	AP1S1	AP19; CLAPS1; SIGMA1A	adaptor-related protein complex 1, sigma 1 subunit	Cytoplasm	transporter	NM_001283	Hs.489365	NM_001283		GO:6886(intracellular protein transport); GO:6898(receptor mediated endocytosis)	GO:5515(protein binding); GO:8565(protein transporter activity)	GO:30121(AP-1 adaptor complex); GO:5795(Golgi stack); GO:5802(Golgi trans face); GO:5905(coated pit)	7q22.1
219763_at	0.33	DENND1A	FAM31A; FLJ38464; KIAA1608; RP11-230L22.3	DENN/MADD domain containing 1A	Unknown	other	NM_024820	Hs.435064	NM_020946					9q33.3
219045_at	0.33	RHOF	RIF; ARHF; FLJ20247	ras homolog gene family, member F (in filopodia)	Cytoplasm	enzyme	NM_019034	Hs.567512	NM_019034		GO:7015(actin filament organization); GO:7264(small GTPase mediated signal transduction)	GO:5525(GTP binding); GO:3924(GTPase activity); GO:166(nucleotide binding)	GO:5856(cytoskeleton)	12q24.31
203507_at	0.331	CD68	SCARD1	CD68 antigen	Plasma Membrane	other	NM_001251	Hs.246381	NM_001251				GO:16021(integral to membrane); GO:5764(lysosome); GO:16020(membrane); GO:5624(membrane fraction)	17p13
210117_at	0.331	SPAG1	SP75; TPIS; HSD-3.8; FLJ32920	sperm associated antigen 1	Cytoplasm	other	AF311312	Hs.492373	NM_003114		GO:7338(fertilization (sensu Metazoa))	GO:5525(GTP binding); GO:16787(hydrolase activity); GO:166(nucleotide binding)		8q22.2
203633_at	0.332	CPT1A	CPT1A	Carnitine palmitoyltransferase 1A (liver)	Cytoplasm	enzyme	BF001714	Hs.503043	NM_001031847 ; NM_001876	Fatty_Acid_Degradation ; GenMAPP ; Mitochondrial_fatty_acid_betaoxidation ; GenMAPP ; Fatty acid metabolism ; KEGG ;  ; KEGG				11q13.1-q13.2
217967_s_at	0.332	FAM129A	NIBAN	chromosome 1 open reading frame 24	Unknown	other	AF288391	Hs.518662	NM_022083		GO:4(biological process unknown); GO:6457(protein folding); GO:6810(transport)	GO:31072(heat shock protein binding); GO:5554(molecular function unknown); GO:51082(unfolded protein binding)	GO:8372(cellular component unknown)	1q25
218980_at	0.333	FHOD3	FHOS2; Formactin2	formin homology 2 domain containing 3	Unknown	other	NM_025135	Hs.436636	NM_025135		GO:30036(actin cytoskeleton organization and biogenesis); GO:16043(cell organization and biogenesis)	GO:3779(actin binding); GO:5488(binding)		18q12
227123_at	0.333	RAB3B	RAB3B	RAB3B, member RAS oncogene family	Cytoplasm	enzyme	AU156710	Hs.123072	NM_002867					1p32-p31
224929_at	0.333	TMEM173	LOC340061	Hypothetical protein LOC340061	Unknown	other	AA100891	Hs.379754	NM_198282					5q31.2
203227_s_at	0.333	TSPAN31	SAS	tetraspanin 31	Plasma Membrane	other	NM_005981	Hs.50984	NM_005981		GO:8284(positive regulation of cell proliferation)		GO:16021(integral to membrane); GO:5887(integral to plasma membrane); GO:5624(membrane fraction)	12q13.3
223541_at	0.334	HAS3	HAS3	hyaluronan synthase 3	Plasma Membrane	enzyme	AF232772	Hs.85962	NM_005329		GO:5975(carbohydrate metabolism)	GO:50501(hyaluronan synthase activity); GO:16757(transferase activity, transferring glycosyl groups)	GO:5887(integral to plasma membrane)	16q22.1
219093_at	0.334	PID1 (includes EG:55022)	FLJ20701; HMFN2073	hypothetical protein FLJ20701	Unknown	other	NM_017933	Hs.409352	NM_017933					2q36.3
232122_s_at	0.334	VEPH1	FLJ12604; KIAA1692; MGC111426; MGC126709	ventricular zone expressed PH domain homolog 1 (zebrafish)	Nucleus	other	AK022666	Hs.127657	NM_024621					3q24-q25
227897_at	0.335	RAP2B	RAP2B	RAP2B, member of RAS oncogene family	Plasma Membrane	enzyme	N20927	Hs.98643	NM_002886					3q25.2
200606_at	0.337	DSP	DPI; DPII	desmoplakin	Plasma Membrane	other	NM_004415	Hs.519873	NM_001008844		GO:8544(epidermis development)	GO:5200(structural constituent of cytoskeleton)	GO:5913(cell-cell adherens junction); GO:5856(cytoskeleton); GO:5882(intermediate filament)	6p24
213274_s_at	0.339	CTSB	CTSB	Cathepsin B	Cytoplasm	peptidase	AA020826	Hs.520898	NM_001908 ; NM_147780 ; NM_147781 ; NM_147782 ; NM_147783					8p22
227867_at	0.339	LOC129293	LOC129293	Hypothetical protein LOC129293	Unknown	other	AA005361	Hs.469134	XM_059341					2p11.2
227527_at	0.339	MLL2	MLL2	Myeloid/lymphoid or mixed-lineage leukemia 2	Nucleus	transcription regulator	AI394529	Hs.567364	NM_003482					12q12-q14
222088_s_at	0.339	SLC2A3	SLC2A14	Solute carrier family 2 (facilitated glucose transporter), member 14	Plasma Membrane	transporter	AA778684	Hs.210227	NM_006931 ; NM_153449					12p13.31
1555480_a_at	0.34	FBLIM1	CAL; FBLP1; FBLP-1; DKFZp434G171; RP11-169K16.5	filamin binding LIM protein 1	Plasma Membrane	other	AF459643	Hs.530101	NM_001024215		GO:7155(cell adhesion); GO:8360(regulation of cell shape)	GO:46872(metal ion binding); GO:5515(protein binding); GO:8270(zinc ion binding)	GO:5856(cytoskeleton)	1p36.13
33304_at	0.341	ISG20	HEM45	interferon stimulated exonuclease gene 20kDa	Nucleus	enzyme	U88964	Hs.459265	NM_002201		GO:738(DNA catabolism, exonucleolytic); GO:6401(RNA catabolism); GO:8283(cell proliferation); GO:9615(response to virus)	GO:175(3-5-exoribonuclease activity); GO:3723(RNA binding); GO:4527(exonuclease activity); GO:8859(exoribonuclease II activity); GO:16787(hydrolase activity); GO:30145(manganese ion binding); GO:46872(metal ion binding); GO:8310(single-stranded DNA specific 3-5 exodeoxyribonuclease activity)	GO:16605(PML body); GO:5622(intracellular); GO:5654(nucleoplasm)	15q26
203108_at	0.342	GPRC5A	RAI3; RAIG1; GPCR5A	G protein-coupled receptor, family C, group 5, member A	Plasma Membrane	G-protein coupled receptor	NM_003979	Hs.194691	NM_003979	GPCRDB_Class_C_Metabotropic_glutamate_pheromone ; GenMAPP	GO:7186(G-protein coupled receptor protein signaling pathway); GO:7165(signal transduction)	GO:8067(metabotropic glutamate, GABA-B-like receptor activity); GO:4872(receptor activity)	GO:5887(integral to plasma membrane); GO:16020(membrane)	12p13-p12.3
215446_s_at	0.342	LOX	MGC105112	lysyl oxidase	Extracellular Space	enzyme	L16895	Hs.102267	NM_002317		GO:6464(protein modification); GO:7169(transmembrane receptor protein tyrosine kinase signaling pathway)	GO:5507(copper ion binding); GO:46872(metal ion binding); GO:16491(oxidoreductase activity); GO:4720(protein-lysine 6-oxidase activity)	GO:5578(extracellular matrix (sensu Metazoa))	5q23.2
219367_s_at	0.342	NRP2	NP2; NPN2; PRO2714; MGC126574; VEGF165R2	neuropilin 2	Plasma Membrane	kinase	NM_018534	Hs.471200	NM_003872		GO:1525(angiogenesis); GO:7411(axon guidance); GO:7155(cell adhesion); GO:30154(cell differentiation); GO:6118(electron transport); GO:7399(nervous system development)	GO:5489(electron transporter activity); GO:4872(receptor activity); GO:17154(semaphorin receptor activity); GO:5021(vascular endothelial growth factor receptor activity)	GO:16021(integral to membrane); GO:16020(membrane); GO:5624(membrane fraction)	2q33.3
204614_at	0.343	SERPINB2	PAI; PAI2; PAI-2; PLANH2; HsT1201	serpin peptidase inhibitor, clade B (ovalbumin), member 2	Extracellular Space	other	NM_002575	Hs.514913	NM_002575	Reactome Event:Hemostasis 109582	GO:6916(anti-apoptosis)	GO:8243(plasminogen activator activity); GO:4867(serine-type endopeptidase inhibitor activity)	GO:5615(extracellular space)	18q21.3
202085_at	0.343	TJP2	ZO2; X104; ZO-2; MGC26306	tight junction protein 2 (zona occludens 2)	Plasma Membrane	kinase	NM_004817	Hs.50382	NM_004817	KEGG pathway: Tight junction 04530		GO:4385(guanylate kinase activity); GO:5515(protein binding)	GO:5887(integral to plasma membrane); GO:16020(membrane); GO:5634(nucleus); GO:5923(tight junction)	9q13-q21
203585_at	0.343	ZNF185	ZNF185	zinc finger protein 185 (LIM domain)	Nucleus	other	NM_007150	Hs.16622	NM_007150			GO:46872(metal ion binding); GO:8270(zinc ion binding)		Xq28
218660_at	0.344	DYSF	FER1L1; LGMD2B; FLJ00175; dysferlin	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	Plasma Membrane	other	NM_003494	Hs.252180	NM_003494		GO:6936(muscle contraction)		GO:16021(integral to membrane); GO:5886(plasma membrane)	2p13.3-p13.1
224937_at	0.344	PTGFRN	PTGFRN	Prostaglandin F2 receptor negative regulator	Plasma Membrane	other	BF311866	Hs.418093	NM_020440					1p13.1
234016_at	0.345	LOC90499	LOC90499	hypothetical protein LOC90499	Unknown	other	AL137712	Hs.458439						2q11.2
213150_at	0.346	HOXA10	HOXA10	Homeo box A10	Nucleus	transcription regulator	BF792917	Hs.110637	NM_018951 ; NM_153715					7p15-p14
205013_s_at	0.347	ADORA2A	RDC8; hA2aR; ADORA2	adenosine A2a receptor	Plasma Membrane	G-protein coupled receptor	NM_000675	Hs.197029	NM_000675	KEGG pathway: Calcium signaling pathway 04020; KEGG pathway: Neuroactive ligand-receptor interaction 04080	GO:7186(G-protein coupled receptor protein signaling pathway); GO:7188(G-protein signaling, coupled to cAMP nucleotide second messenger); GO:7190(adenylate cyclase activation); GO:6915(apoptosis); GO:7596(blood coagulation); GO:6171(cAMP biosynthesis); GO:7267(cell-cell signaling); GO:6968(cellular defense response); GO:7417(central nervous system development); GO:8015(circulation); GO:6954(inflammatory response); GO:6836(neurotransmitter transport); GO:6909(phagocytosis); GO:7600(sensory perception); GO:7165(signal transduction)	GO:1611(A2A adenosine receptor activity, G-protein coupled); GO:16519(gastric inhibitory peptide receptor activity); GO:4872(receptor activity); GO:1584(rhodopsin-like receptor activity)	GO:16021(integral to membrane); GO:5887(integral to plasma membrane); GO:5624(membrane fraction); GO:5886(plasma membrane)	22q11.23
223330_s_at	0.347	SUGT1	SGT1	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	Nucleus	other	BC000911	Hs.281902	NM_006704		GO:69(centromere and kinetochore complex maturation); GO:7067(mitosis); GO:74(regulation of progression through cell cycle); GO:6512(ubiquitin cycle)	GO:5488(binding)	GO:776(kinetochore); GO:151(ubiquitin ligase complex)	13q14.3
228641_at	0.348	CARD8	CARD8	Caspase recruitment domain family, member 8	Nucleus	other	BF338389	Hs.446146	NM_014959					19q13.32
204693_at	0.349	CDC42EP1	CEP1; BORG5; MSE55; MGC15316	CDC42 effector protein (Rho GTPase binding) 1	Extracellular Space	other	NM_007061	Hs.225356	NM_007061		GO:31274(positive regulation of pseudopodium formation); GO:8360(regulation of cell shape)			22q13.1
1554539_a_at	0.349	RHOF	RIF; ARHF; FLJ20247	ras homolog gene family, member F (in filopodia)	Cytoplasm	enzyme	BC018208	Hs.567512	NM_019034		GO:7015(actin filament organization); GO:7264(small GTPase mediated signal transduction)	GO:5525(GTP binding); GO:3924(GTPase activity); GO:166(nucleotide binding)	GO:5856(cytoskeleton)	12q24.31
225882_at	0.35	SLC35B4	SLC35B4	Solute carrier family 35, member B4	Cytoplasm	transporter	AI948585	Hs.490181	NM_032826					7q33
223282_at	0.35	TSHZ1	SDCCAG33	Serologically defined colon cancer antigen 33	Nucleus	transcription regulator	W60810	Hs.284217	NM_005786					18q22.3
227049_at	0.35	ZADH2	ZADH2	Zinc binding alcohol dehydrogenase, domain containing 2	Unknown	enzyme	N21127	Hs.465433	NM_175907					18q22.3
227566_at	0.351	HNT	HNT	Neurotrimin	Plasma Membrane	other	AW085558	Hs.504352	NM_016522					11q25
231769_at	0.352	FBXO6	FBG2; FBS2; FBX6; Fbx6b	F-box protein 6	Cytoplasm	enzyme	AF129536	Hs.464419	NM_018438		GO:30163(protein catabolism); GO:6508(proteolysis); GO:6512(ubiquitin cycle)	GO:5515(protein binding); GO:4840(ubiquitin conjugating enzyme activity); GO:4842(ubiquitin-protein ligase activity)		1p36.23-p36.11
36830_at	0.353	MIPEP	MIP; HMIP	mitochondrial intermediate peptidase	Cytoplasm	peptidase	U80034	Hs.507498	NM_005932		GO:6627(mitochondrial protein processing); GO:6508(proteolysis)	GO:5509(calcium ion binding); GO:50897(cobalt ion binding); GO:5506(iron ion binding); GO:287(magnesium ion binding); GO:30145(manganese ion binding); GO:4243(mitochondrial intermediate peptidase activity); GO:8270(zinc ion binding)	GO:5739(mitochondrion)	13q12
38671_at	0.353	PLXND1	PLEXD1; KIAA0620; MGC75353	plexin D1	Plasma Membrane	transmembrane receptor	AB014520	Hs.301685	NM_015103		GO:7275(development)	GO:4872(receptor activity)	GO:16021(integral to membrane); GO:16020(membrane)	3q21.3
201287_s_at	0.353	SDC1	SDC; CD138; SYND1	syndecan 1	Plasma Membrane	other	NM_002997	Hs.224607	NM_001006946	KEGG pathway: Cell adhesion molecules (CAMs) 04514; KEGG pathway: ECM-receptor interaction 04512		GO:8092(cytoskeletal protein binding)	GO:5887(integral to plasma membrane); GO:16020(membrane)	2p24.1
232017_at	0.353	TJP2	ZO2; X104; ZO-2; MGC26306	tight junction protein 2 (zona occludens 2)	Plasma Membrane	kinase	AK025185	Hs.50382	NM_004817	KEGG pathway: Tight junction 04530		GO:4385(guanylate kinase activity); GO:5515(protein binding)	GO:5887(integral to plasma membrane); GO:16020(membrane); GO:5634(nucleus); GO:5923(tight junction)	9q13-q21
203946_s_at	0.354	ARG2	ARG2	arginase, type II	Cytoplasm	enzyme	U75667	Hs.553485	NM_001172	KEGG pathway: Arginine and proline metabolism 00330; KEGG pathway: Urea cycle and metabolism of amino groups 00220	GO:6527(arginine catabolism); GO:6809(nitric oxide biosynthesis); GO:50(urea cycle)	GO:4053(arginase activity); GO:16787(hydrolase activity); GO:30145(manganese ion binding); GO:46872(metal ion binding)	GO:5739(mitochondrion)	14q24.1-q24.3
221524_s_at	0.355	RRAGD	RAGD; bA11D8.2.1; DKFZP761H171	Ras-related GTP binding D	Cytoplasm	enzyme	AF272036	Hs.485938	NM_021244					6q15-q16
211343_s_at	0.356	COL13A1	COL13A1	collagen, type XIII, alpha 1	Plasma Membrane	other	M33653	Hs.211933	NM_005203		GO:4(biological process unknown); GO:6817(phosphate transport)	GO:5201(extracellular matrix structural constituent)	GO:5600(collagen type XIII); GO:5737(cytoplasm); GO:5886(plasma membrane)	10q22
208886_at	0.356	H1F0	H10; H1FV; MGC5241	H1 histone family, member 0	Nucleus	other	BC000145	Hs.226117	NM_005318		GO:7001(chromosome organization and biogenesis (sensu Eukaryota)); GO:6334(nucleosome assembly)	GO:3677(DNA binding)	GO:5694(chromosome); GO:786(nucleosome); GO:5634(nucleus)	22q13.1
202498_s_at	0.356	SLC2A3	SLC2A3	Solute carrier family 2 (facilitated glucose transporter), member 3	Plasma Membrane	transporter	BE550486	Hs.419240	NM_006931					12p13.3
218332_at	0.357	BEX1 (includes EG:55859)	BEX2; HBEX2; HGR74-h	brain expressed, X-linked 1	Unknown	other	NM_018476	Hs.334370	NM_018476					Xq21-q23
218950_at	0.359	CENTD3	ARAP3; DRAG1; FLJ21065	centaurin, delta 3	Nucleus	other	NM_022481	Hs.25277	NM_022481		GO:7010(cytoskeleton organization and biogenesis); GO:35024(negative regulation of Rho protein signal transduction); GO:30336(negative regulation of cell migration); GO:43087(regulation of GTPase activity); GO:8360(regulation of cell shape); GO:7165(signal transduction); GO:16192(vesicle-mediated transport)	GO:8060(ARF GTPase activator activity); GO:30675(NOT Rac GTPase activator activity); GO:5100(Rho GTPase activator activity); GO:46872(metal ion binding); GO:5547(phosphatidylinositol-3,4,5-triphosphate binding); GO:43325(phosphatidylinositol-3,4-bisphosphate binding); GO:8270(zinc ion binding)	GO:5737(cytoplasm); GO:30027(lamellipodium); GO:1726(ruffle)	5q31.3
202760_s_at	0.362	AKAP2	PALM2-AKAP2; AKAP2	PALM2-AKAP2 protein	Cytoplasm	other	NM_007203	Hs.259461	NM_007203	G_Protein_Signaling ; GenMAPP				9q31-q33
1553449_at	0.362	C16ORF81	FLJ36701	hypothetical protein FLJ36701	Unknown	other	NM_173617	Hs.375664	NM_173617					16q24.3
213069_at	0.362	HEG1	HEG	HEG homolog 1 (zebrafish)	Unknown	other	AI148659	Hs.477420	XM_087386					3q21.2
211825_s_at	0.364	FLI1	EWSR1	Ewing sarcoma breakpoint region 1	Nucleus	transcription regulator	AF327066	Hs.374477	NM_002017					22q12.2
204628_s_at	0.364	ITGB3	CD61; GP3A; GPIIIa	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	Plasma Membrane	transmembrane receptor	NM_000212	Hs.218040	NM_000212	KEGG pathway: ECM-receptor interaction 04512; KEGG pathway: Focal adhesion 04510; KEGG pathway: Hematopoietic cell lineage 04640; KEGG pathway: Regulation of actin cytoskeleton 04810; Reactome Event:Hemostasis 109582	GO:7596(blood coagulation); GO:7155(cell adhesion); GO:7160(cell-matrix adhesion); GO:7275(development); GO:7229(integrin-mediated signaling pathway)	GO:42802(protein self binding); GO:4872(receptor activity)	GO:8305(integrin complex)	17q21.32
201578_at	0.364	PODXL	PCLP; Gp200	podocalyxin-like	Plasma Membrane	kinase	NM_005397	Hs.16426	NM_001018111		GO:7155(cell adhesion)	GO:3824(catalytic activity)	GO:5887(integral to plasma membrane); GO:16020(membrane)	7q32-q33
229850_at	0.364		FVT1	Follicular lymphoma variant translocation 1			N30152	Hs.74050	NM_002035					18q21.3
213030_s_at	0.366	PLXNA2	PLXNA2	Plexin A2	Plasma Membrane	other	AI688418	Hs.497626	NM_025179					1q32.2
242629_at	0.366		RAB3B	RAB3B, member RAS oncogene family			BF056092	Hs.123072						1p32-p31
1556613_s_at	0.367	LOC203107	LOC203107	hypothetical protein LOC203107	Unknown	other	BC038568	Hs.567828						8q22.1
223283_s_at	0.367	TSHZ1	NY-CO-33	serologically defined colon cancer antigen 33	Nucleus	transcription regulator	AF039698	Hs.284217	NM_005786					18q22.3
229070_at	0.369	C6ORF105		ne10a12.s1 NCI_CGAP_Co3 Homo sapiens cDNA clone IMAGE:880798 3, mRNA sequence.	Unknown	other	AA470369	Hs.126409	NM_032744					6p24.1
225582_at	0.369	KIAA1754	KIAA1754	KIAA1754	Unknown	other	AA425726	Hs.523252	NM_033397					10q25.1
201580_s_at	0.369	TXNDC13		Thioredoxin domain containing 13	Cytoplasm	enzyme	AL544094	Hs.169358	NM_021156					20p12
224772_at	0.37	NAV1	POMFIL3; FLJ12560; FLJ14203; KIAA1151; MGC14961; steerin-1	neuron navigator 1	Unknown	enzyme	AB032977	Hs.497369	NM_020443		GO:6306(DNA methylation); GO:6810(transport)	GO:5524(ATP binding); GO:3677(DNA binding); GO:17111(nucleoside-triphosphatase activity); GO:166(nucleotide binding)		1
217889_s_at	0.371	CYBRD1	DCYTB; FLJ23462	cytochrome b reductase 1	Cytoplasm	enzyme	NM_024843	Hs.221941	NM_024843		GO:6118(electron transport)		GO:16021(integral to membrane)	2q31.1
203634_s_at	0.372	CPT1A	CPT1; CPT1-L; L-CPT1	carnitine palmitoyltransferase 1A (liver)	Cytoplasm	enzyme	NM_001876	Hs.503043	NM_001031847	KEGG pathway: Adipocytokine signaling pathway 04920; KEGG pathway: Fatty acid metabolism 00071	GO:6635(fatty acid beta-oxidation); GO:6631(fatty acid metabolism); GO:6629(lipid metabolism); GO:6810(transport)	GO:8415(acyltransferase activity); GO:4095(carnitine O-palmitoyltransferase activity); GO:16740(transferase activity)	GO:16021(integral to membrane); GO:5739(mitochondrion); GO:19867(outer membrane)	11q13.1-q13.2
