Probe set	Gene Name	Gene symbol	Fold change rC2/rC1	p value
214167_s_at	ribosomal protein, large, P0 /// similar to ribosomal protein P0	RPLP0 /// RPLP0-like	1.9	4.55E-05
201326_at	chaperonin containing TCP1, subunit 6A (zeta 1)	CCT6A	1.9	0.0001342
202097_at	nucleoporin 153kDa	NUP153	1.9	8.90E-05
209218_at	squalene epoxidase	SQLE	1.9	0.0008322
208675_s_at	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	1.9	0.0001693
215983_s_at	UBX domain containing 6	UBXD6	1.9	0.0008259
200869_at	ribosomal protein L18a /// similar to ribosomal protein L18a; 60S ribosomal protein L18a	RPL18A /// LOC390354	1.9	0.0003041
221520_s_at	cell division cycle associated 8	CDCA8	1.9	0.0007272
50314_i_at	chromosome 20 open reading frame 27	C20orf27	1.9	9.30E-06
201595_s_at	likely ortholog of mouse immediate early response, erythropoietin 4	LEREPO4	1.9	0.0008007
221078_s_at	KIAA1212	KIAA1212	1.9	6.30E-05
201127_s_at	ATP citrate lyase	ACLY	1.9	0.0001246
208802_at	signal recognition particle 72kDa	SRP72	1.9	0.0005784
208820_at	PTK2 protein tyrosine kinase 2	PTK2	1.9	0.0003707
214011_s_at	hypothetical protein HSPC111	HSPC111	1.9	0.0004326
204857_at	MAD1 mitotic arrest deficient-like 1 (yeast)	MAD1L1	1.9	0.0001863
208698_s_at	non-POU domain containing, octamer-binding	NONO	1.9	0.000451
209931_s_at	FK506 binding protein 1B, 12.6 kDa	FKBP1B	1.9	0.0004832
208795_s_at	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	MCM7	1.9	4.77E-05
219588_s_at	leucine zipper protein 5	LUZP5	1.9	0.0003134
214507_s_at	exosome component 2	EXOSC2	1.9	0.0004721
200990_at	tripartite motif-containing 28	TRIM28	1.9	3.24E-05
202911_at	mutS homolog 6 (E. coli)	MSH6	1.9	0.0002591
217814_at	GK001 protein	GK001	1.9	0.0001858
201091_s_at	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	CBX3	1.9	0.0009976
209143_s_at	chloride channel, nucleotide-sensitive, 1A /// chromosome 3 open reading frame 4	CLNS1A /// C3orf4	1.9	0.0002297
217932_at	mitochondrial ribosomal protein S7	MRPS7	1.9	6.61E-05
201391_at	TNF receptor-associated protein 1	TRAP1	1.9	0.0001201
215416_s_at	stomatin (EPB72)-like 2	STOML2	1.9	0.0005117
217946_s_at	SUMO-1 activating enzyme subunit 1	SAE1	1.9	0.0002832
203744_at	high-mobility group box 3	HMGB3	1.9	0.0004871
209418_s_at	chromosome 22 open reading frame 19	C22orf19	1.9	0.0002086
218016_s_at	polymerase (RNA) III (DNA directed) polypeptide E (80kD)	POLR3E	1.9	0.000176
215509_s_at	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	1.9	7.50E-05
214708_at	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	SNTB1	1.9	0.0009645
201660_at	Acyl-CoA synthetase long-chain family member 3	ACSL3	1.9	9.90E-05
212979_s_at	KIAA0738 gene product	KIAA0738	1.9	7.35E-05
200840_at	lysyl-tRNA synthetase	KARS	1.9	9.91E-05
212685_s_at	transducin (beta)-like 2	TBL2	1.8	4.65E-05
211937_at	eukaryotic translation initiation factor 4B	EIF4B	1.8	4.17E-05
210567_s_at	S-phase kinase-associated protein 2 (p45)	SKP2	1.8	0.0008037
212345_s_at	cAMP responsive element binding protein 3-like 2	CREB3L2	1.8	0.0003243
221726_at	ribosomal protein L22	RPL22	1.8	0.0005008
220688_s_at	chromosome 1 open reading frame 33	C1orf33	1.8	0.0001683
218564_at	ring finger and WD repeat domain 3	RFWD3	1.8	7.57E-05
212060_at	U2-associated SR140 protein	SR140	1.8	0.0008886
203974_at	haloacid dehalogenase-like hydrolase domain containing 1A	HDHD1A	1.8	0.0002487
210027_s_at	APEX nuclease (multifunctional DNA repair enzyme) 1	APEX1	1.8	3.17E-05
201652_at	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	COPS5	1.8	0.0009933
200612_s_at	adaptor-related protein complex 2, beta 1 subunit	AP2B1	1.8	0.0003247
218670_at	pseudouridylate synthase 1	PUS1	1.8	0.0001907
209393_s_at	eukaryotic translation initiation factor 4E member 2	EIF4E2	1.8	2.23E-05
208642_s_at	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	XRCC5	1.8	0.0009897
208095_s_at	signal recognition particle 72kDa	SRP72	1.8	0.0009927
218399_s_at	cell division cycle associated 4	CDCA4	1.8	7.76E-05
211929_at	heterogeneous nuclear ribonucleoprotein A3	HNRPA3	1.8	0.0006903
212166_at	exportin 7	XPO7	1.8	0.0001475
221258_s_at	kinesin family member 18A	KIF18A	1.8	0.0001188
201614_s_at	RuvB-like 1 (E. coli)	RUVBL1	1.8	9.59E-05
200834_s_at	ribosomal protein S21	RPS21	1.8	0.0003246
213008_at	hypothetical protein FLJ10719	FLJ10719	1.8	0.0007733
58696_at	exosome component 4	EXOSC4	1.8	0.0002882
200993_at	importin 7	IPO7	1.8	4.97E-05
206506_s_at	suppressor of Ty 3 homolog (S. cerevisiae)	SUPT3H	1.8	1.26E-05
220305_at	hypothetical protein MGC3260	MGC3260	1.8	0.000288
218590_at	progressive external ophthalmoplegia 1	PEO1	1.8	0.0001819
208689_s_at	ribophorin II	RPN2	1.8	0.0005277
218859_s_at	chromosome 20 open reading frame 6	C20orf6	1.8	0.0007151
202122_s_at	mannose-6-phosphate receptor binding protein 1	M6PRBP1	1.8	0.0009828
203405_at	Down syndrome critical region gene 2	DSCR2	1.8	0.0005278
221970_s_at	nucleolar protein 11	NOL11	1.8	0.0001466
203046_s_at	timeless homolog (Drosophila)	TIMELESS	1.8	0.000415
91684_g_at	exosome component 4	EXOSC4	1.8	0.0002199
200937_s_at	ribosomal protein L5	RPL5	1.8	5.20E-06
213573_at	Karyopherin (importin) beta 1	KPNB1	1.8	0.0005076
202188_at	nucleoporin 93kDa	NUP93	1.8	7.73E-05
218056_at	bifunctional apoptosis regulator	BFAR	1.8	0.0005597
214110_s_at	Similar to lymphocyte-specific protein 1		1.8	0.0004159
208897_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	DDX18	1.8	8.67E-05
217792_at	sorting nexin 5	SNX5	1.8	0.0001922
200757_s_at	calumenin	CALU	1.8	7.09E-05
216202_s_at	serine palmitoyltransferase, long chain base subunit 2	SPTLC2	1.8	0.0003205
206918_s_at	copine I	CPNE1	1.8	7.28E-05
220755_s_at	chromosome 6 open reading frame 48	C6orf48	1.8	0.0003107
216640_s_at	protein disulfide isomerase family A, member 6	PDIA6	1.8	0.000587
214283_at	hypothetical protein MAC30	MAC30	1.8	0.0004403
202956_at	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	ARFGEF1	1.8	0.0002851
201856_s_at	zinc finger RNA binding protein	ZFR	1.8	0.0001602
202268_s_at	amyloid beta precursor protein binding protein 1	APPBP1	1.8	0.0009258
213523_at	cyclin E1	CCNE1	1.8	0.000352
201584_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	DDX39	1.8	0.0007176
219008_at	hypothetical protein FLJ21820	FLJ21820	1.8	0.0003272
209181_s_at	Rab geranylgeranyltransferase, beta subunit	RABGGTB	1.8	0.00036
213011_s_at	triosephosphate isomerase 1	TPI1	1.8	0.0004355
216602_s_at	phenylalanine-tRNA synthetase-like, alpha subunit	FARSLA	1.8	0.0008529
208643_s_at	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	XRCC5	1.8	0.0006151
202836_s_at	thioredoxin-like 4A	TXNL4A	1.8	0.0005583
202174_s_at	pericentriolar material 1	PCM1	1.8	0.0006283
201517_at	nuclear cap binding protein subunit 2, 20kDa	NCBP2	1.8	0.0003582
200843_s_at	glutamyl-prolyl-tRNA synthetase	EPRS	1.8	1.46E-05
211080_s_at	NIMA (never in mitosis gene a)-related kinase 2 /// NIMA (never in mitosis gene a)-related kinase 2	NEK2	1.8	3.31E-05
202232_s_at	dendritic cell protein	hfl-B5	1.8	0.0001977
221504_s_at	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	ATP6V1H	1.8	6.25E-05
201052_s_at	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	PSMF1	1.8	0.0002133
218882_s_at	WD repeat domain 3	WDR3	1.8	6.15E-05
200014_s_at	heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	1.8	2.12E-05
212115_at	chromosome 16 open reading frame 34	C16orf34	1.8	5.30E-06
201066_at	cytochrome c-1	CYC1	1.8	0.0005657
212075_s_at	casein kinase 2, alpha 1 polypeptide	CSNK2A1	1.8	0.0004156
218316_at	translocase of inner mitochondrial membrane 9 homolog (yeast)	TIMM9	1.8	9.21E-05
216032_s_at	chromosome 20 open reading frame 47	C20orf47	1.7	0.0003845
208628_s_at	Y box binding protein 1	YBX1	1.7	0.0006335
206782_s_at	DnaJ (Hsp40) homolog, subfamily C, member 4	DNAJC4	1.7	4.76E-05
218951_s_at	phosphatidylinositol-specific phospholipase C, X domain containing 1	PLCXD1	1.7	0.0007181
209175_at	SEC23 interacting protein	SEC23IP	1.7	0.0001597
200064_at	heat shock 90kDa protein 1, beta	HSPCB	1.7	9.99E-05
212693_at	MDN1, midasin homolog (yeast)	MDN1	1.7	3.24E-05
213133_s_at	glycine cleavage system protein H (aminomethyl carrier)	GCSH	1.7	1.45E-05
222231_s_at	hypothetical protein PRO1855	PRO1855	1.7	0.000155
202168_at	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	TAF9	1.7	2.29E-05
220007_at	hypothetical protein FLJ13984	FLJ13984	1.7	0.0006554
218457_s_at	DNA (cytosine-5-)-methyltransferase 3 alpha	DNMT3A	1.7	0.0001564
201258_at	ribosomal protein S16	RPS16	1.7	0.0005304
219544_at	FLJ22624 protein	FLJ22624	1.7	0.0002897
203654_s_at	coilin	COIL	1.7	2.46E-05
208801_at	signal recognition particle 72kDa	SRP72	1.7	0.0002831
222064_s_at	hypothetical protein MGC2744	MGC2744	1.7	0.0002568
203816_at	deoxyguanosine kinase	DGUOK	1.7	0.0008097
201314_at	serine/threonine kinase 25 (STE20 homolog, yeast)	STK25	1.7	2.00E-05
213947_s_at	nucleoporin 210kDa	NUP210	1.7	6.66E-05
200089_s_at	ribosomal protein L4 /// ribosomal protein L4	RPL4	1.7	0.0007296
217790_s_at	signal sequence receptor, gamma (translocon-associated protein gamma)	SSR3	1.7	0.0007488
200651_at	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	GNB2L1	1.7	8.35E-05
218482_at	enhancer of yellow 2 homolog (Drosophila)	ENY2	1.7	0.0003174
220367_s_at	mSin3A-associated protein 130	SAP130	1.7	0.0001368
220200_s_at	PR/SET domain containing protein 8	SET8	1.7	0.0009983
216241_s_at	transcription elongation factor A (SII), 1	TCEA1	1.7	0.0003557
203622_s_at	putatative 28 kDa protein	LOC56902	1.7	0.0008689
213459_at	ribosomal protein L37a	RPL37A	1.7	3.64E-05
203484_at	Sec61 gamma subunit	SEC61G	1.7	0.0002472
202416_at	DnaJ (Hsp40) homolog, subfamily C, member 7	DNAJC7	1.7	0.000273
200079_s_at	lysyl-tRNA synthetase /// lysyl-tRNA synthetase	KARS	1.7	0.0002648
200842_s_at	glutamyl-prolyl-tRNA synthetase	EPRS	1.7	7.34E-05
219911_s_at	solute carrier organic anion transporter family, member 4A1	SLCO4A1	1.7	0.0005563
200034_s_at	ribosomal protein L6 /// ribosomal protein L6	RPL6	1.7	0.0001043
203219_s_at	adenine phosphoribosyltransferase	APRT	1.7	0.0001789
214882_s_at	splicing factor, arginine/serine-rich 2	SFRS2	1.7	3.80E-05
218766_s_at	tryptophanyl tRNA synthetase 2 (mitochondrial)	WARS2	1.7	0.0001087
200081_s_at	ribosomal protein S6 /// ribosomal protein S6	RPS6	1.7	0.0002175
214061_at	WD repeat domain 67	WDR67	1.7	0.0006916
218239_s_at	GTP binding protein 4	GTPBP4	1.7	0.0008609
217747_s_at	ribosomal protein S9	RPS9	1.7	0.0009092
215380_s_at	chromosome 7 open reading frame 24	C7orf24	1.7	0.0004119
204347_at	adenylate kinase 3-like 1 /// adenylate kinase 3-like 2	AK3L1 /// AK3L2	1.7	0.0006913
208799_at	proteasome (prosome, macropain) subunit, beta type, 5	PSMB5	1.7	0.0003934
209567_at	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	RRS1	1.7	0.0006754
212556_at	scribbled homolog (Drosophila)	SCRIB	1.7	0.0004139
211932_at	heterogeneous nuclear ribonucleoprotein A3	HNRPA3	1.7	0.0003208
212348_s_at	amine oxidase (flavin containing) domain 2	AOF2	1.7	0.0008661
201512_s_at	translocase of outer mitochondrial membrane 70 homolog A (yeast)	TOMM70A	1.7	0.0004936
205129_at	nucleophosmin/nucleoplasmin, 3	NPM3	1.7	0.00012
216232_s_at	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	GCN1L1	1.7	8.15E-05
200659_s_at	prohibitin	PHB	1.7	2.23E-05
212428_at	KIAA0368	KIAA0368	1.7	0.0005915
212919_at	DCP2 decapping enzyme homolog (S. cerevisiae)	DCP2	1.7	5.84E-05
209233_at	C2f protein	C2F	1.7	1.73E-05
202642_s_at	transformation/transcription domain-associated protein	TRRAP	1.7	0.0006848
218014_at	pericentrin 1	PCNT1	1.7	0.0004482
218868_at	ARP3 actin-related protein 3 homolog B (yeast)	ACTR3B	1.7	0.0002401
200090_at	farnesyltransferase, CAAX box, alpha	FNTA	1.7	0.0009021
212251_at	metadherin	MTDH	1.7	0.0002529
219122_s_at	interphase cyctoplasmic foci protein 45	ICF45	1.7	6.20E-05
202131_s_at	RIO kinase 3 (yeast) /// RIO kinase 3 (yeast)	RIOK3	1.7	0.000173
202691_at	small nuclear ribonucleoprotein D1 polypeptide 16kDa	SNRPD1	1.7	0.0004519
205135_s_at	nuclear fragile X mental retardation protein interacting protein 1	NUFIP1	1.7	0.0006518
200058_s_at	activating signal cointegrator 1 complex subunit 3-like 1	ASCC3L1	1.7	0.000163
202344_at	heat shock transcription factor 1	HSF1	1.7	5.76E-05
212139_at	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	GCN1L1	1.7	4.14E-05
201613_s_at	adaptor-related protein complex 1, gamma 2 subunit	AP1G2	1.7	4.13E-05
202033_s_at	RB1-inducible coiled-coil 1	RB1CC1	1.7	0.0006
203493_s_at	translokin	PIG8	1.7	0.0004449
205394_at	CHK1 checkpoint homolog (S. pombe)	CHEK1	1.7	0.0002004
211375_s_at	interleukin enhancer binding factor 3, 90kDa	ILF3	1.7	7.43E-05
202199_s_at	SFRS protein kinase 1	SRPK1	1.7	0.0001199
219098_at	MYB binding protein (P160) 1a	MYBBP1A	1.7	0.0002722
217848_s_at	pyrophosphatase (inorganic) 1	PPA1	1.7	0.0008042
212422_at	programmed cell death 11	PDCD11	1.7	2.59E-05
217988_at	cyclin B1 interacting protein 1	CCNB1IP1	1.7	6.23E-05
201585_s_at	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	SFPQ	1.7	0.0001996
200858_s_at	ribosomal protein S8	RPS8	1.7	0.0001356
200723_s_at	membrane component, chromosome 11, surface marker 1	M11S1	1.7	0.0001058
203351_s_at	origin recognition complex, subunit 4-like (yeast)	ORC4L	1.6	0.000542
216212_s_at	dyskeratosis congenita 1, dyskerin	DKC1	1.6	0.0001142
207622_s_at	ATP-binding cassette, sub-family F (GCN20), member 2	ABCF2	1.6	0.000632
218264_at	BRCA2 and CDKN1A interacting protein	BCCIP	1.6	0.0009465
201459_at	RuvB-like 2 (E. coli)	RUVBL2	1.6	0.0001192
202167_s_at	MMS19-like (MET18 homolog, S. cerevisiae)	MMS19L	1.6	6.69E-05
201077_s_at	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	NHP2L1	1.6	0.0005977
214744_s_at	Ribosomal protein L23	RPL23	1.6	2.19E-05
201483_s_at	suppressor of Ty 4 homolog 1 (S. cerevisiae)	SUPT4H1	1.6	9.52E-05
218480_at	hypothetical protein FLJ21839	FLJ21839	1.6	2.13E-05
213253_at	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	SMC2L1	1.6	0.0001806
215210_s_at	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) /// dihydrolipoamide S-succinyltransferase pseudogene (E2 component of 2-oxo-glutarate complex)	DLST /// DLSTP	1.6	0.0001037
208717_at	oxidase (cytochrome c) assembly 1-like	OXA1L	1.6	0.0001437
212411_at	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	IMP4	1.6	0.0009738
213892_s_at	adenine phosphoribosyltransferase	APRT	1.6	9.33E-05
218654_s_at	mitochondrial ribosomal protein S33	MRPS33	1.6	0.0006537
210074_at	cathepsin L2	CTSL2	1.6	0.0009272
218961_s_at	polynucleotide kinase 3-phosphatase	PNKP	1.6	0.000505
212446_s_at	LAG1 longevity assurance homolog 6 (S. cerevisiae)	LASS6	1.6	0.0004696
208644_at	poly (ADP-ribose) polymerase family, member 1	PARP1	1.6	0.0009288
200722_s_at	membrane component, chromosome 11, surface marker 1	M11S1	1.6	0.0002174
209463_s_at	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa	TAF12	1.6	0.0006606
215129_at	phosphoinositide-3-kinase, class 2, gamma polypeptide	PIK3C2G	1.6	1.68E-05
1053_at	replication factor C (activator 1) 2, 40kDa	RFC2	1.6	0.0003889
203422_at	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	POLD1	1.6	0.0001876
212145_at	mitochondrial ribosomal protein S27	MRPS27	1.6	3.37E-05
212170_at	RNA binding motif protein 12	RBM12	1.6	0.000492
203536_s_at	WD repeat domain 39	WDR39	1.6	0.0003579
209052_s_at	Wolf-Hirschhorn syndrome candidate 1	WHSC1	1.6	0.000217
206075_s_at	casein kinase 2, alpha 1 polypeptide	CSNK2A1	1.6	0.000806
201390_s_at	casein kinase 2, beta polypeptide	CSNK2B	1.6	0.0006659
219002_at	hypothetical protein FLJ21901	FLJ21901	1.6	0.0005073
212378_at	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	GART	1.6	0.0004439
213320_at	HMT1 hnRNP methyltransferase-like 3 (S. cerevisiae)	HRMT1L3	1.6	0.0003362
221475_s_at	ribosomal protein L15	RPL15	1.6	0.0006602
203612_at	bystin-like	BYSL	1.6	7.10E-06
219715_s_at	tyrosyl-DNA phosphodiesterase 1	TDP1	1.6	0.0007364
201241_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	DDX1	1.6	0.0008604
211933_s_at	heterogeneous nuclear ribonucleoprotein A3	HNRPA3	1.6	0.0002653
203931_s_at	mitochondrial ribosomal protein L12	MRPL12	1.6	0.0001542
217846_at	glutaminyl-tRNA synthetase	QARS	1.6	0.0003215
221839_s_at	ubiquitin associated protein 2	UBAP2	1.6	0.0002457
217408_at	mitochondrial ribosomal protein S18B	MRPS18B	1.6	0.000943
201857_at	zinc finger RNA binding protein	ZFR	1.6	0.0007434
208863_s_at	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	SFRS1	1.6	0.0003148
217990_at	guanosine monophosphate reductase 2	GMPR2	1.6	0.0003572
209247_s_at	ATP-binding cassette, sub-family F (GCN20), member 2	ABCF2	1.6	0.0006421
200807_s_at	heat shock 60kDa protein 1 (chaperonin)	HSPD1	1.6	5.23E-05
203113_s_at	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	EEF1D	1.6	0.000329
200844_s_at	peroxiredoxin 6	PRDX6	1.6	0.0001851
208697_s_at	eukaryotic translation initiation factor 3, subunit 6 48kDa	EIF3S6	1.6	0.0001278
208764_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2	ATP5G2	1.6	0.0005776
200022_at	ribosomal protein L18 /// ribosomal protein L18	RPL18	1.6	0.0007472
200643_at	high density lipoprotein binding protein (vigilin)	HDLBP	1.6	0.0001969
212316_at	nucleoporin 210kDa	NUP210	1.6	7.70E-06
202715_at	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	CAD	1.6	0.0003432
204977_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	DDX10	1.6	4.46E-05
213408_s_at	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide /// hypothetical protein LOC220686	PIK4CA /// LOC220686	1.6	0.0007579
221987_s_at	hypothetical protein FLJ10534	FLJ10534	1.6	2.19E-05
201698_s_at	splicing factor, arginine/serine-rich 9	SFRS9	1.6	0.0001947
201379_s_at	tumor protein D52-like 2	TPD52L2	1.6	0.0005916
203089_s_at	HtrA serine peptidase 2	HTRA2	1.6	0.0009484
207821_s_at	PTK2 protein tyrosine kinase 2	PTK2	1.6	0.000268
204808_s_at	transmembrane protein 5	TMEM5	1.6	0.0009649
217970_s_at	CCR4-NOT transcription complex, subunit 6	CNOT6	1.6	0.0001684
201600_at	prohibitin 2	PHB2	1.6	0.0001277
209262_s_at	nuclear receptor subfamily 2, group F, member 6	NR2F6	1.6	0.0001179
209196_at	WD repeat domain 46	WDR46	1.6	5.88E-05
208766_s_at	heterogeneous nuclear ribonucleoprotein R	HNRPR	1.6	0.0002586
209165_at	apoptosis antagonizing transcription factor	AATF	1.6	2.26E-05
216969_s_at	kinesin family member 22	KIF22	1.6	0.0004071
208696_at	chaperonin containing TCP1, subunit 5 (epsilon)	CCT5	1.6	9.97E-05
205248_at	chromosome 21 open reading frame 5	C21orf5	1.6	0.0008332
218219_s_at	LanC lantibiotic synthetase component C-like 2 (bacterial)	LANCL2	1.6	0.0003524
209104_s_at	nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)	NOLA2	1.6	0.0002489
204709_s_at	kinesin family member 23	KIF23	1.6	0.0009486
211358_s_at	CDKN1A interacting zinc finger protein 1	CIZ1	1.6	0.0001179
203565_s_at	menage a trois 1 (CAK assembly factor)	MNAT1	1.6	0.0001518
212421_at	chromosome 22 open reading frame 9	C22orf9	1.6	0.0007296
214527_s_at	polyglutamine binding protein 1	PQBP1	1.6	0.0008824
210466_s_at	SERPINE1 mRNA binding protein 1	SERBP1	1.6	0.0004959
221203_s_at	YEATS domain containing 2	YEATS2	1.6	0.0002686
200030_s_at	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	SLC25A3	1.6	0.0001289
200063_s_at	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	NPM1	1.6	0.0001154
218099_at	uncharacterized hypothalamus protein HT008	HT008	1.6	0.0002688
45828_at	hypothetical protein FLJ10241	FLJ10241	1.6	0.0004944
200003_s_at	ribosomal protein L28 /// ribosomal protein L28	RPL28	1.6	0.0001632
209482_at	processing of precursor 7, ribonuclease P subunit (S. cerevisiae)	POP7	1.6	5.96E-05
209219_at	RD RNA binding protein	RDBP	1.6	0.0002497
217768_at	chromosome 14 open reading frame 166	C14orf166	1.6	0.0004429
212825_at	PAX interacting (with transcription-activation domain) protein 1	PAXIP1	1.6	0.000319
211662_s_at	voltage-dependent anion channel 2	VDAC2	1.6	0.0007089
218460_at	hypothetical protein FLJ20397	FLJ20397	1.6	0.0003703
217815_at	suppressor of Ty 16 homolog (S. cerevisiae)	SUPT16H	1.6	6.59E-05
200957_s_at	structure specific recognition protein 1	SSRP1	1.6	0.000116
201875_s_at	myelin protein zero-like 1	MPZL1	1.6	0.0006865
205395_s_at	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	MRE11A	1.6	0.0001043
213795_s_at	protein tyrosine phosphatase, receptor type, A	PTPRA	1.6	0.0001222
203696_s_at	replication factor C (activator 1) 2, 40kDa	RFC2	1.6	0.0007482
217782_s_at	G protein pathway suppressor 1	GPS1	1.6	0.0004129
220239_at	kelch-like 7 (Drosophila)	KLHL7	1.6	0.0008988
209899_s_at	fuse-binding protein-interacting repressor	SIAHBP1	1.5	4.20E-05
218349_s_at	Zwilch, kinetochore associated, homolog (Drosophila)	ZWILCH	1.5	5.08E-05
217720_at	coiled-coil-helix-coiled-coil-helix domain containing 2	CHCHD2	1.5	0.0005623
214727_at	breast cancer 2, early onset	BRCA2	1.5	0.0009413
208968_s_at	cytokine induced apoptosis inhibitor 1	CIAPIN1	1.5	0.0003474
200828_s_at	zinc finger protein 207	ZNF207	1.5	8.54E-05
219231_at	nuclear receptor coactivator 6 interacting protein	NCOA6IP	1.5	0.0003702
201511_at	angio-associated, migratory cell protein	AAMP	1.5	0.0007285
207425_s_at	septin 9	SEP9	1.5	0.0009058
208646_at	ribosomal protein S14	RPS14	1.5	0.0003071
205565_s_at	frataxin	FXN	1.5	0.000713
207040_s_at	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	ST13	1.5	0.0001455
202726_at	ligase I, DNA, ATP-dependent	LIG1	1.5	0.0004786
201458_s_at	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	BUB3	1.5	0.0002234
200687_s_at	splicing factor 3b, subunit 3, 130kDa	SF3B3	1.5	0.0008193
209137_s_at	ubiquitin specific peptidase 10	USP10	1.5	0.0009176
201027_s_at	eukaryotic translation initiation factor 5B	EIF5B	1.5	0.0002172
210534_s_at	B9 protein	EPPB9	1.5	0.0008523
212429_s_at	general transcription factor IIIC, polypeptide 2, beta 110kDa	GTF3C2	1.5	0.0002199
203976_s_at	chromatin assembly factor 1, subunit A (p150)	CHAF1A	1.5	0.0004365
203630_s_at	component of oligomeric golgi complex 5	COG5	1.5	0.0007347
205748_s_at	ring finger protein 126	RNF126	1.5	0.0004218
208659_at	chloride intracellular channel 1	CLIC1	1.5	0.0002435
209317_at	polymerase (RNA) I polypeptide C, 30kDa	POLR1C	1.5	0.0001914
208692_at	ribosomal protein S3	RPS3	1.5	0.0003718
203805_s_at	Fanconi anemia, complementation group A	FANCA	1.5	0.000112
208072_s_at	diacylglycerol kinase, delta 130kDa	DGKD	1.5	0.0006801
217956_s_at	E-1 enzyme	MASA	1.5	0.0008961
219031_s_at	comparative gene identification transcript 37	CGI-37	1.5	0.0001905
215482_s_at	eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	EIF2B4	1.5	0.0007662
200656_s_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase-associated 1)	P4HB	1.5	0.0007981
201420_s_at	WD repeat domain 77	WDR77	1.5	0.0005808
208895_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	DDX18	1.5	0.0001634
209452_s_at	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	VTI1B	1.5	0.0003888
211767_at	SLD5 homolog	SLD5	1.5	0.0006849
222360_at	DPH5 homolog (S. cerevisiae)	DPH5	1.5	0.0003678
208361_s_at	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa	POLR3D	1.5	0.0009493
218801_at	UDP-glucose ceramide glucosyltransferase-like 2	UGCGL2	1.5	0.0007427
212381_at	ubiquitin specific peptidase 24	USP24	1.5	0.0004127
221780_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	DDX27	1.5	0.0002404
200792_at	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa)	XRCC6	1.5	0.0001642
207824_s_at	MYC-associated zinc finger protein (purine-binding transcription factor)	MAZ	1.5	0.0001839
65884_at	mannosidase, alpha, class 1B, member 1	MAN1B1	1.5	0.0009558
212832_s_at	cytoskeleton associated protein 5	CKAP5	1.5	0.0004994
