HG U133A probe set	Gene Symbol	MLL rearranged	non-MLL rearranged	Fold change	t statistic	P	q
209287_s_at	CDC42EP3	1017.8	478.3	2.1	4.4	0.0004	0.0153
201192_s_at	PITPNA	685.9	498.4	1.4	4.3	0.0004	0.0155
218749_s_at	SLC24A6	665.8	488.0	1.4	3.9	0.0004	0.0156
203285_s_at	HS2ST1	122.4	201.0	-1.6	-4.4	0.0004	0.0157
206934_at	SIRPB1	265.8	123.6	2.1	4.2	0.0004	0.0158
216691_at	GRIK5	14.9	49.7	-3.3	-4.0	0.0004	0.0158
219654_at	PTPLA	248.8	583.8	-2.3	-4.3	0.0004	0.0158
220271_x_at	FLJ23588	17.5	32.6	-1.9	-3.9	0.0004	0.0159
220579_at	FLJ14100	10.9	29.5	-2.7	-3.8	0.0004	0.0159
210645_s_at	TTC3	1479.2	2686.3	-1.8	-4.4	0.0004	0.0161
205718_at	ITGB7	896.5	394.0	2.3	4.1	0.0004	0.0162
212658_at	LHFPL2	485.1	886.5	-1.8	-4.4	0.0004	0.0163
213159_at	PCNX	364.8	251.8	1.4	3.9	0.0004	0.0163
217028_at	CXCR4	5701.8	3533.4	1.6	4.0	0.0004	0.0167
201028_s_at	CD99	3479.1	6676.0	-1.9	-4.1	0.0004	0.0168
202955_s_at	ARFGEF1	620.6	848.4	-1.4	-4.0	0.0004	0.0168
205407_at	RECK	167.2	119.1	1.4	3.9	0.0004	0.0168
209582_s_at	CD200	185.1	439.3	-2.4	-4.3	0.0004	0.0170
204492_at	ARHGAP11A	131.1	95.5	1.4	3.9	0.0004	0.0172
221259_s_at	TEX11	15.6	34.7	-2.2	-3.8	0.0004	0.0176
203206_at	KIAA0140	1317.4	1051.3	1.3	4.0	0.0004	0.0177
212295_s_at	SLC7A1	1224.6	1808.8	-1.5	-4.3	0.0004	0.0177
215034_s_at	TM4SF1	44.2	171.5	-3.9	-4.3	0.0004	0.0178
204960_at	PTPRCAP	441.3	1108.5	-2.5	-4.4	0.0004	0.0179
63825_at	ABHD2	808.5	579.2	1.4	3.8	0.0004	0.0179
211495_x_at	TNFSF13 /// TNFSF12-TNFSF13	1233.5	994.6	1.2	3.7	0.0004	0.0179
206115_at	EGR3	108.8	220.5	-2.0	-4.1	0.0004	0.0181
221823_at	LOC90355	171.6	313.9	-1.8	-4.0	0.0004	0.0181
202122_s_at	M6PRBP1	1921.3	1512.7	1.3	4.1	0.0004	0.0181
212673_at	METAP1	1057.9	1347.8	-1.3	-4.2	0.0004	0.0181
216266_s_at	ARFGEF1	898.7	1215.0	-1.4	-4.2	0.0005	0.0183
212399_s_at	VGLL4	597.2	781.1	-1.3	-3.8	0.0005	0.0187
206060_s_at	PTPN22	652.5	424.9	1.5	3.9	0.0005	0.0188
212811_x_at	SLC1A4	1438.0	873.4	1.6	4.2	0.0005	0.0188
201411_s_at	PLEKHB2	532.5	360.9	1.5	3.9	0.0005	0.0190
208557_at	HOXA6	550.0	192.7	2.9	4.2	0.0005	0.0190
203196_at	ABCC4	224.0	432.0	-1.9	-4.0	0.0005	0.0191
208885_at	LCP1	8295.0	5870.9	1.4	3.9	0.0005	0.0191
206572_x_at	ZNF85	523.1	940.7	-1.8	-4.3	0.0005	0.0192
207358_x_at	MACF1	919.5	1389.4	-1.5	-4.2	0.0005	0.0192
210933_s_at	FSCN1	99.5	357.3	-3.6	-4.3	0.0005	0.0192
216417_x_at	HOXB9	182.7	139.7	1.3	3.7	0.0005	0.0192
219806_s_at	FN5	848.2	484.5	1.8	4.0	0.0005	0.0192
201029_s_at	CD99	6367.9	11105.5	-1.7	-4.0	0.0005	0.0192
209753_s_at	TMPO	524.5	435.4	1.2	3.8	0.0005	0.0193
216026_s_at	POLE	520.6	888.5	-1.7	-4.0	0.0005	0.0193
217124_at	IQCE	144.1	104.1	1.4	3.8	0.0005	0.0193
218300_at	MGC4606	498.5	369.3	1.4	3.8	0.0005	0.0193
218493_at	C16orf33	1212.1	830.7	1.5	4.0	0.0005	0.0193
210633_x_at	KRT10	1374.0	922.9	1.5	4.2	0.0005	0.0193
202255_s_at	SIPA1L1	50.4	173.5	-3.4	-4.1	0.0005	0.0193
208466_at	RAB3D	407.5	294.3	1.4	3.9	0.0005	0.0193
209387_s_at	TM4SF1	30.2	134.0	-4.4	-4.1	0.0005	0.0193
214452_at	BCAT1	64.3	201.8	-3.1	-4.4	0.0005	0.0195
204504_s_at	HIRIP3	540.0	347.6	1.6	3.9	0.0005	0.0196
200742_s_at	CLN2	6290.5	4301.6	1.5	4.0	0.0005	0.0198
213446_s_at	IQGAP1	1718.9	934.2	1.8	4.1	0.0005	0.0200
203342_at	TIMM17B	885.4	685.3	1.3	3.8	0.0005	0.0202
212877_at	KNS2	200.0	152.4	1.3	3.8	0.0005	0.0204
206764_x_at	MPPE1	330.9	243.2	1.4	3.8	0.0005	0.0205
221831_at	LUZP1	180.7	448.2	-2.5	-4.2	0.0005	0.0206
219855_at	NUDT11	30.0	79.5	-2.7	-3.9	0.0006	0.0206
218700_s_at	RAB7L1	240.1	176.6	1.4	3.9	0.0006	0.0207
208796_s_at	CCNG1	1611.7	2726.5	-1.7	-4.2	0.0006	0.0210
221492_s_at	APG3L	2334.0	1455.4	1.6	4.3	0.0006	0.0210
205677_s_at	DLEU1	274.9	447.2	-1.6	-3.9	0.0006	0.0210
200954_at	ATP6V0C	1730.3	1220.9	1.4	4.0	0.0006	0.0210
203544_s_at	STAM	388.7	617.2	-1.6	-3.8	0.0006	0.0210
208826_x_at	HINT1	6515.2	9748.5	-1.5	-4.2	0.0006	0.0210
218170_at	CGI-111	317.8	470.5	-1.5	-4.0	0.0006	0.0210
208184_s_at	TMEM1	397.6	329.6	1.2	3.7	0.0006	0.0211
204817_at	ESPL1	546.6	407.0	1.3	3.9	0.0006	0.0214
211581_x_at	LST1	2156.4	1559.7	1.4	3.7	0.0006	0.0215
203231_s_at	ATXN1	215.8	77.0	2.8	4.1	0.0006	0.0215
210663_s_at	KYNU	586.9	444.2	1.3	3.6	0.0006	0.0216
31845_at	ELF4	1616.4	1169.6	1.4	3.8	0.0006	0.0217
206726_at	PGDS	255.4	1350.9	-5.3	-4.0	0.0006	0.0217
222218_s_at	PILRA	1038.6	530.2	2.0	3.9	0.0006	0.0221
206761_at	CD96	251.9	756.2	-3.0	-4.1	0.0006	0.0222
208807_s_at	CHD3	1349.0	1118.1	1.2	3.6	0.0006	0.0222
212966_at	HIC2	371.9	271.4	1.4	3.7	0.0006	0.0224
200661_at	PPGB	4923.3	3160.6	1.6	4.1	0.0006	0.0225
205312_at	SPI1	1818.6	1181.3	1.5	3.7	0.0006	0.0225
209119_x_at	NR2F2	12.1	27.5	-2.3	-3.7	0.0006	0.0225
213812_s_at	CAMKK2	2277.0	1523.6	1.5	3.8	0.0006	0.0225
216205_s_at	MFN2	543.1	451.2	1.2	3.8	0.0006	0.0226
202806_at	DBN1	89.4	296.4	-3.3	-4.0	0.0006	0.0226
212549_at	STAT5B	1138.7	1502.7	-1.3	-4.0	0.0006	0.0226
216184_s_at	RIMS1	139.0	92.2	1.5	3.8	0.0006	0.0226
219559_at	C20orf59	1015.6	1827.1	-1.8	-3.9	0.0006	0.0227
201432_at	CAT	16264.5	11120.2	1.5	3.9	0.0007	0.0229
209945_s_at	GSK3B	479.7	381.3	1.3	3.9	0.0007	0.0229
204951_at	RHOH	354.4	768.6	-2.2	-4.0	0.0007	0.0229
201461_s_at	MAPKAPK2	499.4	376.2	1.3	3.7	0.0007	0.0233
204315_s_at	GTSE1	229.8	164.2	1.4	3.7	0.0007	0.0233
209864_at	FRAT2	1120.9	658.4	1.7	4.1	0.0007	0.0233
52159_at	HEMK1	329.1	440.9	-1.3	-3.9	0.0007	0.0234
204165_at	WASF1	167.9	526.0	-3.1	-4.3	0.0007	0.0234
211742_s_at	EVI2B	2918.1	2128.1	1.4	3.7	0.0007	0.0234
212237_at	ASXL1	782.4	1002.3	-1.3	-3.9	0.0007	0.0234
219360_s_at	TRPM4	605.4	84.5	7.2	4.3	0.0007	0.0234
209879_at	SELPLG	2771.2	1538.3	1.8	3.9	0.0007	0.0234
221737_at	GNA12	366.6	256.3	1.4	3.8	0.0007	0.0240
203799_at	DCL-1	2751.3	2213.5	1.2	3.6	0.0007	0.0240
210452_x_at	CYP4F2	36.2	93.7	-2.6	-3.7	0.0007	0.0240
209050_s_at	RALGDS	662.6	895.5	-1.4	-4.1	0.0007	0.0242
218924_s_at	CTBS	431.0	319.9	1.3	3.9	0.0007	0.0242
200915_x_at	KTN1 /// TXNDC7	1367.4	1937.5	-1.4	-4.1	0.0007	0.0244
216632_at	---	8.3	21.0	-2.5	-3.8	0.0007	0.0244
219296_at	ZDHHC13	329.5	281.9	1.2	3.6	0.0007	0.0245
219378_at	FLJ22054	444.5	591.6	-1.3	-3.9	0.0007	0.0245
219411_at	ELMO3	141.9	74.6	1.9	3.9	0.0007	0.0246
206233_at	B4GALT6	144.1	385.3	-2.7	-4.1	0.0007	0.0246
210958_s_at	KIAA0303	255.9	574.5	-2.2	-4.1	0.0007	0.0246
201412_at	LRP10	1604.8	1209.0	1.3	3.8	0.0007	0.0248
206517_at	CDH16	20.6	44.3	-2.1	-3.6	0.0008	0.0250
202932_at	YES1	75.6	229.4	-3.0	-4.1	0.0008	0.0250
201061_s_at	STOM	1697.9	2903.8	-1.7	-4.0	0.0008	0.0252
200057_s_at	NONO	7971.6	9509.1	-1.2	-4.0	0.0008	0.0253
201206_s_at	RRBP1	341.1	221.3	1.5	3.7	0.0008	0.0253
203139_at	DAPK1	929.3	1706.1	-1.8	-4.1	0.0008	0.0253
203521_s_at	ZNF318	500.5	340.6	1.5	3.9	0.0008	0.0253
206574_s_at	PTP4A3	114.8	295.5	-2.6	-4.0	0.0008	0.0253
217785_s_at	YKT6	201.5	107.0	1.9	3.9	0.0008	0.0253
218880_at	FOSL2	655.5	492.9	1.3	3.6	0.0008	0.0254
201583_s_at	SEC23B	1153.9	824.8	1.4	4.0	0.0008	0.0258
201903_at	UQCRC1	2562.3	1860.9	1.4	3.8	0.0008	0.0258
203897_at	LOC57149	555.2	723.8	-1.3	-3.7	0.0008	0.0258
204203_at	CEBPG	546.2	341.5	1.6	3.9	0.0008	0.0258
207704_s_at	GAS7	870.6	410.6	2.1	3.9	0.0008	0.0258
210146_x_at	ILT8 /// LILRB2	550.9	243.0	2.3	3.8	0.0008	0.0258
218301_at	RNPEPL1	543.1	410.4	1.3	3.8	0.0008	0.0258
218473_s_at	GLT25D1	2450.7	2100.0	1.2	3.6	0.0008	0.0263
201050_at	PLD3	3837.6	652.7	5.9	4.2	0.0008	0.0264
219053_s_at	FLJ20847	628.2	330.9	1.9	4.1	0.0008	0.0264
220603_s_at	MCTP2	268.0	511.0	-1.9	-4.0	0.0008	0.0264
203791_at	DMXL1	274.6	396.1	-1.4	-3.8	0.0008	0.0265
216855_s_at	HNRPU	316.2	236.6	1.3	3.6	0.0008	0.0265
217977_at	SEPX1	2379.9	1400.4	1.7	3.7	0.0008	0.0266
205441_at	FLJ22709	433.3	335.9	1.3	3.7	0.0008	0.0267
211112_at	SLC12A4	54.4	122.0	-2.2	-3.9	0.0009	0.0271
214617_at	PRF1	408.0	802.3	-2.0	-3.9	0.0009	0.0271
211543_s_at	GRK6	452.8	365.4	1.2	3.6	0.0009	0.0271
217728_at	S100A6	8873.6	3430.1	2.6	3.9	0.0009	0.0276
202535_at	FADD	432.3	321.8	1.3	3.6	0.0009	0.0277
204961_s_at	NCF1	1717.4	851.3	2.0	3.7	0.0009	0.0277
200884_at	CKB	169.9	370.6	-2.2	-3.9	0.0009	0.0279
201119_s_at	COX8A	6215.0	4582.4	1.4	3.8	0.0009	0.0279
203186_s_at	S100A4	13445.9	7289.3	1.8	3.9	0.0009	0.0279
213361_at	TDRD7	1186.8	715.9	1.7	3.8	0.0009	0.0279
217540_at	---	140.9	101.2	1.4	3.7	0.0009	0.0279
203028_s_at	CYBA	6709.4	4670.4	1.4	3.7	0.0009	0.0281
203761_at	SLA	2406.9	1595.3	1.5	3.7	0.0009	0.0281
201069_at	MMP2	218.5	601.3	-2.8	-3.7	0.0009	0.0282
202139_at	AKR7A2	1822.2	925.2	2.0	3.9	0.0009	0.0282
219220_x_at	MRPS22	919.3	1100.5	-1.2	-3.9	0.0009	0.0282
221578_at	RASSF4	439.0	207.1	2.1	3.8	0.0009	0.0285
203300_x_at	AP1S2	3584.1	1799.8	2.0	3.9	0.0009	0.0286
204776_at	THBS4	514.5	346.7	1.5	3.7	0.0009	0.0286
213734_at	---	199.5	150.0	1.3	3.6	0.0009	0.0286
202933_s_at	YES1	56.7	149.6	-2.6	-4.0	0.0010	0.0287
201560_at	CLIC4	397.9	786.5	-2.0	-4.0	0.0010	0.0288
209675_s_at	HNRPUL1	1083.4	834.4	1.3	3.6	0.0010	0.0289
212766_s_at	FLJ12671	504.8	407.2	1.2	3.5	0.0010	0.0290
217827_s_at	SPG21	3195.7	2135.4	1.5	3.9	0.0010	0.0294
204513_s_at	ELMO1	978.2	1472.1	-1.5	-3.6	0.0010	0.0295
209759_s_at	DCI	445.4	337.9	1.3	3.5	0.0010	0.0295
218526_s_at	RANGNRF	631.4	533.7	1.2	3.6	0.0010	0.0295
201712_s_at	RANBP2	369.8	513.5	-1.4	-3.6	0.0010	0.0296
219551_at	EAF2	1497.9	1081.7	1.4	3.8	0.0010	0.0296
218035_s_at	FLJ20273	1412.6	540.3	2.6	3.9	0.0010	0.0297
204341_at	TRIM16	275.8	427.2	-1.5	-3.7	0.0010	0.0302
202510_s_at	TNFAIP2	2245.8	1625.5	1.4	3.6	0.0010	0.0302
200665_s_at	SPARC	298.0	1087.1	-3.6	-4.1	0.0010	0.0303
205039_s_at	ZNFN1A1	2160.7	1668.5	1.3	3.7	0.0010	0.0303
202056_at	KPNA1	319.4	275.8	1.2	3.4	0.0011	0.0305
203536_s_at	CIAO1	495.1	415.3	1.2	3.4	0.0010	0.0305
208532_x_at	UHSKerB	42.2	64.4	-1.5	-3.7	0.0010	0.0305
217294_s_at	ENO1	7123.9	4923.3	1.4	3.7	0.0010	0.0305
209696_at	FBP1	1203.2	493.8	2.4	3.9	0.0011	0.0307
212285_s_at	AGRN	312.2	595.3	-1.9	-3.5	0.0011	0.0308
201722_s_at	GALNT1	1085.8	1475.9	-1.4	-3.7	0.0011	0.0308
203333_at	KIFAP3	196.3	543.3	-2.8	-3.8	0.0011	0.0310
204497_at	ADCY9	965.6	224.9	4.3	3.8	0.0011	0.0310
209652_s_at	PGF	16.9	35.2	-2.1	-3.5	0.0011	0.0312
212558_at	SPRY1	246.4	483.6	-2.0	-3.9	0.0011	0.0312
213903_s_at	---	23.3	47.2	-2.0	-3.6	0.0011	0.0312
218890_x_at	MRPL35	546.4	409.0	1.3	3.5	0.0011	0.0312
213427_at	RPP40	451.9	629.3	-1.4	-3.8	0.0011	0.0312
211052_s_at	TBCD	521.8	335.0	1.6	3.6	0.0011	0.0313
213036_x_at	ATP2A3	1439.1	2380.7	-1.7	-3.8	0.0011	0.0313
208884_s_at	EDD	1244.1	1639.1	-1.3	-3.9	0.0011	0.0314
210038_at	PRKCQ	499.1	963.9	-1.9	-4.0	0.0011	0.0314
217886_at	EPS15	562.2	790.5	-1.4	-3.8	0.0011	0.0314
221519_at	SHFM3	589.6	506.3	1.2	3.4	0.0011	0.0314
208679_s_at	ARPC2	8949.9	6925.5	1.3	3.8	0.0011	0.0315
202957_at	HCLS1	6000.1	4347.5	1.4	3.7	0.0011	0.0317
209201_x_at	CXCR4	7062.1	4121.7	1.7	3.7	0.0011	0.0317
209558_s_at	HIP1R	51.4	153.5	-3.0	-3.7	0.0011	0.0317
57540_at	RBKS	482.9	262.5	1.8	3.8	0.0011	0.0318
203769_s_at	STS	275.9	156.4	1.8	3.8	0.0011	0.0318
213294_at	---	563.6	906.4	-1.6	-3.8	0.0011	0.0319
216701_at	---	33.5	82.9	-2.5	-3.8	0.0011	0.0319
221866_at	TFEB	366.3	208.0	1.8	3.8	0.0012	0.0321
200827_at	PLOD	568.4	389.7	1.5	3.6	0.0012	0.0321
203610_s_at	TRIM38	778.5	589.0	1.3	3.8	0.0012	0.0321
207291_at	PRRG4	313.9	227.9	1.4	3.5	0.0012	0.0321
212683_at	KIAA0446	574.6	475.6	1.2	3.5	0.0012	0.0321
212978_at	TA-LRRP	239.4	422.4	-1.8	-3.6	0.0012	0.0321
218045_x_at	PTMS	129.4	61.7	2.1	3.7	0.0012	0.0321
220965_s_at	RSHL1	242.4	187.7	1.3	3.5	0.0012	0.0321
202859_x_at	IL8	856.7	4135.5	-4.8	-3.8	0.0012	0.0322
208664_s_at	TTC3	335.8	587.2	-1.7	-3.9	0.0012	0.0323
201582_at	SEC23B	355.5	251.3	1.4	3.6	0.0012	0.0323
204202_at	IQCE	243.7	141.0	1.7	3.7	0.0012	0.0325
209295_at	TNFRSF10B	721.8	534.9	1.3	3.5	0.0012	0.0325
57588_at	SLC24A3	70.0	206.7	-3.0	-3.8	0.0012	0.0326
208071_s_at	LAIR1	1296.5	989.0	1.3	3.5	0.0012	0.0326
208982_at	PECAM1	4662.1	2944.4	1.6	3.7	0.0012	0.0326
221041_s_at	SLC17A5	619.7	505.2	1.2	3.6	0.0012	0.0326
213682_at	NUP50	1160.0	1528.2	-1.3	-3.8	0.0012	0.0326
207870_at	AKAP9	108.7	76.7	1.4	3.5	0.0012	0.0329
213731_s_at	---	24.1	44.1	-1.8	-3.4	0.0012	0.0330
215840_at	KIAA1503	33.7	64.9	-1.9	-3.6	0.0012	0.0330
207734_at	LAX	293.0	476.2	-1.6	-3.9	0.0012	0.0332
212316_at	NUP210	1904.7	1451.5	1.3	3.6	0.0012	0.0332
221510_s_at	GLS	354.5	585.4	-1.7	-3.8	0.0012	0.0332
33307_at	CGI-96	449.9	343.6	1.3	3.7	0.0013	0.0332
213571_s_at	EIF4E2	853.0	624.9	1.4	3.6	0.0013	0.0332
218271_s_at	PSARL	2227.2	1659.0	1.3	3.8	0.0013	0.0332
45749_at	FLJ13725	1431.7	1783.1	-1.2	-3.7	0.0013	0.0334
213848_at	DUSP7	699.8	506.2	1.4	3.6	0.0013	0.0334
217210_at	---	34.2	100.3	-2.9	-3.7	0.0013	0.0335
204927_at	C11orf13	388.4	297.5	1.3	3.5	0.0013	0.0336
201251_at	PKM2	7755.8	5388.0	1.4	3.6	0.0013	0.0336
204493_at	BID	702.4	524.4	1.3	3.5	0.0013	0.0336
205503_at	PTPN14	76.7	150.1	-2.0	-3.8	0.0013	0.0336
216264_s_at	LAMB2	190.4	338.9	-1.8	-3.7	0.0013	0.0336
219807_x_at	RAB4B	956.1	652.1	1.5	3.6	0.0013	0.0336
217931_at	TNRC5	1449.9	1156.2	1.3	3.6	0.0013	0.0341
207872_s_at	LILRA1	191.0	140.5	1.4	3.5	0.0013	0.0342
204285_s_at	PMAIP1	542.3	1315.4	-2.4	-3.8	0.0013	0.0344
209616_s_at	CES1	2705.1	212.1	12.8	3.9	0.0013	0.0344
207988_s_at	ARPC2	5300.3	4338.5	1.2	3.7	0.0013	0.0345
202026_at	SDHD	1116.1	865.7	1.3	3.7	0.0013	0.0346
218351_at	COMMD8	1739.4	1335.6	1.3	3.6	0.0013	0.0346
220690_s_at	DKFZp566O084	390.8	296.6	1.3	3.4	0.0013	0.0346
201151_s_at	MBNL1	1108.8	751.4	1.5	3.6	0.0014	0.0348
203520_s_at	ZNF318	271.9	180.3	1.5	3.6	0.0014	0.0348
218038_at	FLJ10241	563.6	464.4	1.2	3.4	0.0014	0.0351
204081_at	NRGN	1180.3	813.4	1.5	3.5	0.0014	0.0353
218858_at	DEPDC6	402.9	910.0	-2.3	-3.7	0.0014	0.0353
212771_at	C10orf38	265.6	622.5	-2.3	-3.5	0.0014	0.0355
218346_s_at	SESN1	644.1	960.8	-1.5	-3.7	0.0014	0.0356
204398_s_at	EML2	469.7	348.9	1.3	3.6	0.0014	0.0356
207270_x_at	CMRF35	787.9	480.9	1.6	3.6	0.0014	0.0357
205425_at	HIP1	574.3	308.0	1.9	3.7	0.0014	0.0358
208116_s_at	MAN1A1	249.6	758.5	-3.0	-3.8	0.0014	0.0358
201280_s_at	DAB2	102.0	232.8	-2.3	-3.9	0.0014	0.0359
205423_at	AP1B1	535.3	790.4	-1.5	-3.5	0.0014	0.0359
206300_s_at	PTHLH	30.9	73.6	-2.4	-3.9	0.0014	0.0359
218807_at	VAV3	607.2	957.4	-1.6	-3.7	0.0014	0.0361
38241_at	BTN3A3	174.1	260.0	-1.5	-3.7	0.0015	0.0363
202117_at	ARHGAP1	3487.9	2671.9	1.3	3.7	0.0015	0.0363
203767_s_at	STS	247.8	111.4	2.2	3.8	0.0015	0.0363
212768_s_at	OLFM4	11.1	134.0	-12.1	-3.5	0.0015	0.0363
213490_s_at	MAP2K2	513.6	428.2	1.2	3.3	0.0015	0.0363
215796_at	TRA@	113.5	78.3	1.5	3.5	0.0014	0.0363
216112_at	PKN2	132.7	114.4	1.2	3.3	0.0015	0.0363
218914_at	CGI-41	377.4	305.5	1.2	3.3	0.0015	0.0363
209774_x_at	CXCL2	117.9	389.9	-3.3	-3.8	0.0015	0.0363
202259_s_at	PFAAP5	508.4	706.4	-1.4	-3.6	0.0015	0.0364
202958_at	PTPN9	792.7	611.1	1.3	3.6	0.0015	0.0364
210950_s_at	FDFT1	2802.2	3725.2	-1.3	-3.6	0.0015	0.0364
214730_s_at	GLG1	2091.5	1465.0	1.4	3.6	0.0015	0.0364
217831_s_at	NSFL1C	422.9	316.9	1.3	3.5	0.0015	0.0364
213237_at	---	179.0	152.3	1.2	3.3	0.0015	0.0366
205330_at	MN1	224.0	647.1	-2.9	-3.8	0.0015	0.0367
219762_s_at	RPL36	7136.9	10085.8	-1.4	-3.8	0.0015	0.0367
201278_at	DAB2	241.5	439.3	-1.8	-3.9	0.0015	0.0368
40016_g_at	KIAA0303	352.3	758.5	-2.2	-3.8	0.0015	0.0369
200096_s_at	ATP6V0E	3043.1	2350.2	1.3	3.6	0.0015	0.0369
201490_s_at	PPIF	1287.6	1064.1	1.2	3.4	0.0015	0.0369
212408_at	LAP1B	3238.6	2407.2	1.3	3.7	0.0015	0.0369
215140_at	KIAA1199	25.2	43.9	-1.7	-3.4	0.0015	0.0369
209350_s_at	GPS2	1048.8	884.0	1.2	3.7	0.0015	0.0372
205154_at	LRRN5	31.7	92.1	-2.9	-3.3	0.0015	0.0373
212910_at	THAP11	603.4	495.3	1.2	3.6	0.0016	0.0376
200975_at	PPT1	4279.7	2974.2	1.4	3.7	0.0016	0.0378
201279_s_at	DAB2	198.8	457.1	-2.3	-3.8	0.0016	0.0378
202776_at	ERBP	927.6	1169.0	-1.3	-3.6	0.0016	0.0378
215784_at	CD1E	17.1	64.3	-3.8	-3.5	0.0016	0.0379
202481_at	DHRS3	183.0	456.8	-2.5	-3.7	0.0016	0.0379
200040_at	KHDRBS1	2882.8	3495.7	-1.2	-3.5	0.0016	0.0380
208634_s_at	MACF1	2807.1	4234.9	-1.5	-3.7	0.0016	0.0380
201440_at	DDX23	579.3	422.9	1.4	3.4	0.0016	0.0382
200761_s_at	ARL6IP5	5564.3	4146.7	1.3	3.6	0.0016	0.0385
220147_s_at	C12orf14	2067.3	2896.4	-1.4	-3.7	0.0016	0.0385
216559_x_at	HNRPA1	1464.6	2001.7	-1.4	-3.7	0.0016	0.0385
203971_at	SLC31A1	122.9	103.1	1.2	3.3	0.0016	0.0387
209488_s_at	RBPMS	79.4	238.5	-3.0	-3.6	0.0016	0.0387
202153_s_at	NUP62	1198.1	908.5	1.3	3.5	0.0017	0.0390
200093_s_at	HINT1	3223.2	4802.0	-1.5	-3.8	0.0017	0.0392
202148_s_at	PYCR1	306.6	420.8	-1.4	-3.6	0.0017	0.0392
202351_at	ITGAV	100.8	292.6	-2.9	-3.8	0.0017	0.0392
202522_at	PITPNB	1692.1	1968.5	-1.2	-3.5	0.0017	0.0392
202944_at	NAGA	763.2	549.8	1.4	3.4	0.0017	0.0392
212582_at	OSBPL8	2445.2	1755.2	1.4	3.7	0.0017	0.0392
217833_at	SYNCRIP	1356.5	1912.0	-1.4	-3.7	0.0017	0.0392
218104_at	TEX10	586.2	826.0	-1.4	-3.7	0.0017	0.0392
218728_s_at	HSPC163	736.5	392.4	1.9	3.8	0.0017	0.0392
211027_s_at	IKBKB	201.5	157.1	1.3	3.3	0.0017	0.0396
209040_s_at	PSMB8	1658.3	1371.9	1.2	3.3	0.0017	0.0398
201392_s_at	IGF2R	349.7	147.6	2.4	3.6	0.0017	0.0398
212739_s_at	NME4	1256.2	1843.2	-1.5	-3.7	0.0017	0.0398
208790_s_at	PTRF	23.0	87.3	-3.8	-3.4	0.0017	0.0400
211014_s_at	PML	414.3	555.8	-1.3	-3.7	0.0017	0.0400
213012_at	NEDD4	193.0	414.3	-2.1	-3.8	0.0017	0.0400
208899_x_at	ATP6V1D	906.9	687.0	1.3	3.6	0.0017	0.0402
201190_s_at	PITPNA	785.1	680.0	1.2	3.3	0.0018	0.0405
203467_at	PMM1	199.1	120.1	1.7	3.5	0.0018	0.0405
205821_at	KLRK1	280.4	568.3	-2.0	-3.6	0.0018	0.0405
207966_s_at	GLG1	1473.7	1113.2	1.3	3.5	0.0018	0.0405
208338_at	P2RX3	15.3	44.4	-2.9	-3.3	0.0018	0.0405
212306_at	CLASP2	697.3	568.6	1.2	3.5	0.0018	0.0405
212469_at	NIPBL	681.2	542.9	1.3	3.3	0.0018	0.0405
213450_s_at	ICOSL	351.7	482.4	-1.4	-3.6	0.0018	0.0405
201830_s_at	NET1	236.1	637.8	-2.7	-3.5	0.0018	0.0405
207803_s_at	CSN3	23.3	48.5	-2.1	-3.5	0.0018	0.0406
218922_s_at	LASS4	31.7	98.0	-3.1	-3.5	0.0018	0.0406
208920_at	SRI	81.3	144.3	-1.8	-3.6	0.0018	0.0407
212593_s_at	PDCD4	1756.8	2761.7	-1.6	-3.7	0.0018	0.0410
208270_s_at	RNPEP	2028.2	1344.8	1.5	3.7	0.0018	0.0412
212560_at	SORL1	2217.2	4588.0	-2.1	-3.7	0.0018	0.0414
200969_at	SERP1	808.8	1050.5	-1.3	-3.6	0.0019	0.0415
201724_s_at	GALNT1	755.8	1028.4	-1.4	-3.5	0.0019	0.0415
203972_s_at	PEX3	286.6	494.9	-1.7	-3.5	0.0019	0.0415
208018_s_at	HCK	2922.9	1350.0	2.2	3.6	0.0019	0.0415
208890_s_at	PLXNB2	2506.4	1865.8	1.3	3.3	0.0019	0.0415
208944_at	---	933.0	1346.9	-1.4	-3.7	0.0019	0.0415
212573_at	KIAA0830	445.9	693.3	-1.6	-3.6	0.0019	0.0415
213618_at	CENTD1	151.0	315.5	-2.1	-3.7	0.0019	0.0415
213888_s_at	T3JAM	1426.4	1109.5	1.3	3.4	0.0019	0.0415
216381_x_at	AKR7A3	553.0	405.1	1.4	3.5	0.0019	0.0415
217853_at	TENS1	1181.8	746.1	1.6	3.4	0.0018	0.0415
221506_s_at	TNPO2	566.0	774.6	-1.4	-3.5	0.0019	0.0415
221865_at	C9orf91	206.6	323.2	-1.6	-3.5	0.0019	0.0415
201373_at	PLEC1	404.2	219.2	1.8	3.5	0.0019	0.0415
214953_s_at	APP	222.0	406.2	-1.8	-3.7	0.0019	0.0415
209880_s_at	SELPLG	1027.5	602.4	1.7	3.5	0.0019	0.0417
38340_at	HIP1R	401.6	590.9	-1.5	-3.4	0.0019	0.0417
212047_s_at	RNF167	741.5	577.8	1.3	3.4	0.0019	0.0417
213071_at	DPT	21.6	41.9	-1.9	-3.3	0.0019	0.0417
217419_x_at	AGRN	296.9	486.1	-1.6	-3.4	0.0019	0.0417
