Probe set	Gene Name	Gene symbol	Fold change  HB/NL	p value
205412_at	acetyl-Coenzyme A acetyltransferase 1	ACAT1	0.4	0.0009134
221834_at	Seven in absentia homolog 1 (Drosophila)	SIAH1	0.4	3.24E-05
202003_s_at	acetyl-Coenzyme A acyltransferase 2	ACAA2	0.4	0.0001985
215014_at	MRNA; cDNA DKFZp547P042		0.4	4.00E-06
212560_at	chromosome 11 open reading frame 32	C11orf32	0.4	0.0007141
208961_s_at	Kruppel-like factor 6	KLF6	0.4	0.0008139
204121_at	growth arrest and DNA-damage-inducible, gamma	GADD45G	0.4	2.67E-05
210565_at	glucagon receptor	GCGR	0.4	2.55E-05
202912_at	adrenomedullin	ADM	0.4	0.0006719
206172_at	interleukin 13 receptor, alpha 2	IL13RA2	0.4	< 1e-07
201565_s_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	0.4	0.0006191
213706_at	glycerol-3-phosphate dehydrogenase 1 (soluble)	GPD1	0.4	9.80E-06
207883_s_at	transferrin receptor 2	TFR2	0.4	0.0009629
218810_at	zinc finger CCCH-type containing 12A	ZC3H12A	0.4	4.20E-06
205480_s_at	UDP-glucose pyrophosphorylase 2	UGP2	0.4	4.80E-05
214889_at	DKFZP564J102 protein	DKFZP564J102	0.4	1.18E-05
202783_at	nicotinamide nucleotide transhydrogenase	NNT	0.4	3.00E-07
202794_at	inositol polyphosphate-1-phosphatase	INPP1	0.4	0.0008259
209515_s_at	RAB27A, member RAS oncogene family	RAB27A	0.4	6.53E-05
205258_at	inhibin, beta B (activin AB beta polypeptide)	INHBB	0.4	0.0005883
208960_s_at	Kruppel-like factor 6	KLF6	0.4	0.0005901
203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	0.4	0.0002328
209459_s_at	4-aminobutyrate aminotransferase	ABAT	0.4	0.0002511
218653_at	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	SLC25A15	0.4	4.41E-05
200986_at	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	SERPING1	0.4	1.17E-05
202613_at	CTP synthase	CTPS	0.4	6.14E-05
204997_at	glycerol-3-phosphate dehydrogenase 1 (soluble)	GPD1	0.4	1.80E-06
205610_at	myomesin 1 (skelemin) 185kDa	MYOM1	0.4	0.000591
201625_s_at	insulin induced gene 1	INSIG1	0.4	0.0005725
204608_at	argininosuccinate lyase	ASL	0.4	3.18E-05
205769_at	solute carrier family 27 (fatty acid transporter),mb 2	SLC27A2	0.4	0.0009454
206069_s_at	acyl-Coenzyme A dehydrogenase, long chain	ACADL	0.4	< 1e-07
206034_at	serpin peptidase inhibitor, clade B (ovalbumin), member 8	SERPINB8	0.3	1.00E-07
206878_at	D-amino-acid oxidase	DAO	0.3	0.0002513
207621_s_at	phosphatidylethanolamine N-methyltransferase	PEMT	0.3	4.90E-06
43427_at	acetyl-Coenzyme A carboxylase beta	ACACB	0.3	2.00E-07
206610_s_at	coagulation factor XI (plasma thromboplastin antecedent)	F11	0.3	0.0001131
210692_s_at	solute carrier family 43, member 3	SLC43A3	0.3	8.90E-06
214282_at	Ceruloplasmin (ferroxidase)	CP	0.3	2.00E-07
203574_at	nuclear factor, interleukin 3 regulated	NFIL3	0.3	0.0002002
210272_at	cytochrome P450, family 2, subfamily B 7 pseudogene	CYP2B7P1	0.3	< 1e-07
203499_at	EPH receptor A2	EPHA2	0.3	3.47E-05
214235_at	cytochrome P450, family 3, subfamily A, polypeptide 5	CYP3A5	0.3	0.0009998
205657_at	3-hydroxyanthranilate 3,4-dioxygenase	HAAO	0.3	< 1e-07
220554_at	solute carrier family 22 (organic anion transporter), member 7	SLC22A7	0.3	0.0006752
210678_s_at	1-acylglycerol-3-phosphate O-acyltransferase 2	AGPAT2	0.3	3.00E-07
204428_s_at	lecithin-cholesterol acyltransferase	LCAT	0.3	1.88E-05
201963_at	acyl-CoA synthetase long-chain family member 1	ACSL1	0.3	0.0001812
205019_s_at	vasoactive intestinal peptide receptor 1	VIPR1	0.3	1.80E-05
205728_at	CDNA clone IMAGE:4811759		0.3	0.0001966
205141_at	angiogenin, ribonuclease, RNase A family, 5 /// ribonuclease, RNase A family, 4	ANG /// RNASE4	0.3	0.0008333
218245_at	leucine rich repeat containing 54	LRRC54	0.3	3.30E-05
210942_s_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	ST3GAL6	0.3	1.53E-05
202847_at	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	PCK2	0.3	0.0008309
49452_at	acetyl-Coenzyme A carboxylase beta	ACACB	0.3	3.00E-07
221009_s_at	angiopoietin-like 4	ANGPTL4	0.3	0.0001006
52940_at	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain	SIGIRR	0.3	4.10E-06
207330_at	pregnancy-zone protein	PZP	0.3	7.70E-06
211056_s_at	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	SRD5A1	0.3	< 1e-07
213122_at	TSPY-like 5	TSPYL5	0.3	0.0007879
210852_s_at	aminoadipate-semialdehyde synthase	AASS	0.3	1.00E-07
206305_s_at	complement component 8, alpha polypeptide	C8A	0.3	0.0002485
201329_s_at	v-ets erythroblastosis virus E26 oncogene homolog 2	ETS2	0.3	5.80E-06
33494_at	electron-transferring-flavoprotein dehydrogenase	ETFDH	0.3	3.70E-06
37201_at	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	ITIH4	0.3	2.43E-05
218918_at	mannosidase, alpha, class 1C, member 1	MAN1C1	0.3	0.0005931
210889_s_at	Fc fragment of IgG, low affinity IIb, receptor (CD32)	FCGR2B	0.3	8.00E-06
210301_at	xanthine dehydrogenase	XDH	0.3	< 1e-07
211689_s_at	transmembrane protease, serine 2	TMPRSS2	0.3	3.95E-05
213355_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	ST3GAL6	0.3	1.39E-05
218774_at	decapping enzyme, scavenger	DCPS	0.3	3.26E-05
213113_s_at	solute carrier family 43, member 3	SLC43A3	0.3	1.14E-05
215689_s_at	sex hormone-binding globulin	SHBG	0.3	5.60E-05
201328_at	v-ets erythroblastosis virus E26 oncogene homolog 2	ETS2	0.3	1.89E-05
207275_s_at	acyl-CoA synthetase long-chain family member 1	ACSL1	0.3	0.0002062
205633_s_at	aminolevulinate, delta-, synthase 1	ALAS1	0.3	0.000118
205530_at	electron-transferring-flavoprotein dehydrogenase	ETFDH	0.3	5.30E-06
219076_s_at	peroxisomal membrane protein 2, 22kDa	PXMP2	0.3	2.40E-06
206979_at	complement component 8, beta polypeptide	C8B	0.3	7.65E-05
205813_s_at	methionine adenosyltransferase I, alpha	MAT1A	0.3	0.000317
221766_s_at	family with sequence similarity 46, member A	FAM46A	0.3	6.64E-05
218921_at	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain	SIGIRR	0.3	7.00E-06
219377_at	family with sequence similarity 59, member A	FAM59A	0.3	1.50E-06
212856_at	death-inducing-protein	DIP	0.3	5.00E-07
206287_s_at	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	ITIH4	0.3	0.0005435
222128_at	NOL1/NOP2/Sun domain family, member 6	NSUN6	0.3	7.00E-07
209916_at	dehydrogenase E1 and transketolase domain 1	DHTKD1	0.3	1.10E-05
207076_s_at	argininosuccinate synthetase	ASS	0.3	4.40E-06
215712_s_at	insulin-like growth factor binding protein, acid labile subunit	IGFALS	0.3	< 1e-07
209365_s_at	extracellular matrix protein 1	ECM1	0.3	1.96E-05
209531_at	glutathione transferase zeta 1	GSTZ1	0.3	2.00E-07
209694_at	6-pyruvoyltetrahydropterin synthase	PTS	0.3	< 1e-07
213632_at	dihydroorotate dehydrogenase	DHODH	0.3	2.40E-06
221662_s_at	solute carrier family 22 (organic anion transporter), member 7	SLC22A7	0.3	0.0008774
206153_at	cytochrome P450, family 4, subfamily F 11	CYP4F11	0.3	0.0001892
206697_s_at	haptoglobin	HP	0.3	0.0003348
206396_at	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	SLC1A1	0.3	< 1e-07
222291_at	DKFZP564J102 protein	DKFZP564J102	0.3	< 1e-07
210481_s_at	C-type lectin domain family 4, member M	CLEC4M	0.3	4.70E-06
214890_s_at	DKFZP564J102 protein	DKFZP564J102	0.3	7.00E-07
205554_s_at	deoxyribonuclease I-like 3	DNASE1L3	0.3	0.0005708
220114_s_at	stabilin 2	STAB2	0.3	3.20E-06
206210_s_at	cholesteryl ester transfer protein, plasma	CETP	0.3	< 1e-07
219343_at	CDC37 cell division cycle 37 homolog -like 1	CDC37L1	0.3	3.00E-07
217014_s_at	alpha-2-glycoprotein 1, zinc	AZGP1	0.3	0.0002564
207041_at	mannan-binding lectin serine peptidase 2	MASP2	0.3	0.0003338
220037_s_at	extracellular link domain containing 1	XLKD1	0.3	6.50E-06
209980_s_at	serine hydroxymethyltransferase 1 (soluble)	SHMT1	0.3	0.0001155
206514_s_at	cytochrome P450, family 4, subfamily F 3 / F 2 2	CYP4F3F2	0.3	0.0001877
202241_at	tribbles homolog 1 (Drosophila)	TRIB1	0.3	0.000728
204224_s_at	GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	0.3	0.0002108
205442_at	microfibrillar-associated protein 3-like	MFAP3L	0.2	0.0002763
217738_at	pre-B-cell colony enhancing factor 1	PBEF1	0.2	0.0001467
214142_at	zymogen granule protein 16	ZG16	0.2	1.00E-07
207995_s_at	C-type lectin domain family 4, member M	CLEC4M	0.2	1.73E-05
210326_at	alanine-glyoxylate aminotransferase	AGXT	0.2	0.0007208
209309_at	alpha-2-glycoprotein 1, zinc	AZGP1	0.2	0.0004362
210959_s_at	steroid-5-alpha-reductase, alpha polypeptide 1	SRD5A1	0.2	< 1e-07
207255_at	leptin receptor	LEPR	0.2	2.80E-06
221848_at	zinc finger, CCCH-type with G patch domain	ZGPAT	0.2	< 1e-07
203021_at	secretory leukocyte peptidase inhibitor	SLPI	0.2	1.00E-06
200796_s_at	myeloid cell leukemia sequence 1 (BCL2-related)	MCL1	0.2	0.0001424
207584_at	lipoprotein, Lp(a)	LPA	0.2	< 1e-07
219733_s_at	solute carrier family 27 (fatty acid transporter), mb 5	SLC27A5	0.2	9.71E-05
207027_at	HGF activator	HGFAC	0.2	0.0003091
204675_at	steroid-5-alpha-reductase, alpha polypeptide 1	SRD5A1	0.2	< 1e-07
211026_s_at	monoglyceride lipase	MGLL	0.2	6.70E-06
222303_at			0.2	1.59E-05
205307_s_at	kynurenine 3-monooxygenase	KMO	0.2	2.30E-06
207007_at	nuclear receptor subfamily 1, group I, member 3	NR1I3	0.2	6.96E-05
57539_at	zinc finger, CCCH-type with G patch domain	ZGPAT	0.2	< 1e-07
204483_at	enolase 3 (beta, muscle)	ENO3	0.2	8.00E-07
212143_s_at	insulin-like growth factor binding protein 3	IGFBP3	0.2	0.0005015
203790_s_at	heat-responsive protein 12	HRSP12	0.2	1.00E-05
206938_at	steroid-5-alpha-reductase, alpha polypeptide 2	SRD5A2	0.2	6.40E-06
206424_at	cytochrome P450, family 26, subfamily A 1	CYP26A1	0.2	< 1e-07
212067_s_at	complement component 1, r subcomponent	C1R	0.2	0.0002742
210233_at	interleukin 1 receptor accessory protein	IL1RAP	0.2	3.90E-06
214413_at	Tyrosine aminotransferase	TAT	0.2	< 1e-07
206797_at	N-acetyltransferase 2 (arylamine N-acetyltransferase)	NAT2	0.2	3.00E-07
208813_at	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	GOT1	0.2	9.20E-06
205773_at	cytoplasmic polyadenylation element binding protein 3	CPEB3	0.2	< 1e-07
39763_at	hemopexin	HPX	0.2	0.0001471
221305_s_at	UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, A9	UGT1A8 /// UGT1A9	0.2	4.40E-06
39248_at	aquaporin 3	AQP3	0.2	5.20E-05
206068_s_at	acyl-Coenzyme A dehydrogenase, long chain	ACADL	0.2	< 1e-07
206343_s_at	neuregulin 1	NRG1	0.2	< 1e-07
212816_s_at	cystathionine-beta-synthase	CBS	0.2	0.0003795
212724_at	Rho family GTPase 3	RND3	0.2	0.0002005
209540_at	insulin-like growth factor 1 (somatomedin C)	IGF1	0.2	7.48E-05
208288_at	ATP-binding cassette, sub-family B (MDR/TAP), member 11	ABCB11	0.2	2.60E-06
206010_at	hyaluronan binding protein 2	HABP2	0.2	0.0004476
201743_at	CD14 antigen /// CD14 antigen	CD14	0.2	9.84E-05
220432_s_at	cytochrome P450, family 39, subfamily A, polypeptide 1	CYP39A1	0.2	1.78E-05
205799_s_at	solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	SLC3A1	0.2	6.05E-05
209301_at	carbonic anhydrase II	CA2	0.2	4.00E-06
211138_s_at	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	KMO	0.2	2.10E-06
211224_s_at	ATP-binding cassette, sub-family B (MDR/TAP), member 11	ABCB11	0.2	1.44E-05
205384_at	FXYD domain containing ion transport regulator 1 (phospholemman)	FXYD1	0.2	3.90E-05
210013_at	hemopexin	HPX	0.2	6.37E-05
205478_at	protein phosphatase 1, regulatory (inhibitor) subunit 1A	PPP1R1A	0.2	1.27E-05
210324_at	complement component 8, gamma polypeptide	C8G	0.2	0.0005437
215103_at	cytochrome P450, family 2, subfamily C, polypeptide 18	CYP2C18	0.2	1.00E-07
206930_at	glycine-N-acyltransferase	GLYAT	0.2	1.35E-05
220786_s_at	solute carrier family 38, member 4	SLC38A4	0.2	0.0002749
219195_at	peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	PPARGC1A	0.2	2.00E-07
222083_at	glycine-N-acyltransferase	GLYAT	0.2	3.26E-05
205819_at	macrophage receptor with collagenous structure /// macrophage receptor with collagenous structure	MARCO	0.2	1.00E-07
208126_s_at	cytochrome P450, family 2, subfamily C, polypeptide 18 /// cytochrome P450, family 2, subfamily C, polypeptide 18	CYP2C18	0.2	5.00E-07
217739_s_at	pre-B-cell colony enhancing factor 1	PBEF1	0.2	4.86E-05
214719_at	hypothetical protein LOC283537	LOC283537	0.2	1.30E-06
205984_at	corticotropin releasing hormone binding protein	CRHBP	0.2	1.45E-05
205627_at	cytidine deaminase	CDA	0.2	< 1e-07
206085_s_at	cystathionase (cystathionine gamma-lyase)	CTH	0.2	< 1e-07
205363_at	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	BBOX1	0.2	< 1e-07
218002_s_at	chemokine (C-X-C motif) ligand 14	CXCL14	0.2	5.30E-06
203913_s_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	0.2	< 1e-07
206753_at	retinol dehydrogenase 16 (all-trans and 13-cis)	RDH16	0.2	2.00E-07
203373_at	suppressor of cytokine signaling 2	SOCS2	0.2	3.00E-07
203372_s_at	suppressor of cytokine signaling 2	SOCS2	0.1	< 1e-07
219954_s_at	glucosidase, beta, acid 3 (cytosolic)	GBA3	0.1	3.00E-07
220313_at	G-protein coupled receptor 88	GPR88	0.1	< 1e-07
219277_s_at	oxoglutarate dehydrogenase-like	OGDHL	0.1	9.00E-07
207096_at	serum amyloid A4, constitutive	SAA4	0.1	0.0006935
210143_at	annexin A10	ANXA10	0.1	7.17E-05
202627_s_at	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1	0.1	2.26E-05
205498_at	growth hormone receptor	GHR	0.1	0.0002548
217127_at	cystathionase (cystathionine gamma-lyase)	CTH	0.1	2.00E-07
207498_s_at	cytochrome P450, family 2, subfamily D, polypeptide 6	CYP2D6	0.1	1.67E-05
209541_at	insulin-like growth factor 1 (somatomedin C)	IGF1	0.1	7.35E-05
220496_at	C-type lectin domain family 1, member B	CLEC1B	0.1	< 1e-07
218532_s_at	hypothetical protein FLJ20152	FLJ20152	0.1	4.00E-07
211548_s_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	0.1	2.00E-07
207609_s_at	cytochrome P450, family 1, subfamily A, polypeptide 2	CYP1A2	0.1	3.00E-06
221008_s_at	alanine-glyoxylate aminotransferase 2-like 1	AGXT2L1	0.1	6.90E-06
210168_at	complement component 6	C6	0.1	6.06E-05
217546_at	metallothionein 1M	MT1M	0.1	0.0002498
209696_at	fructose-1,6-bisphosphatase 1	FBP1	0.1	2.79E-05
202628_s_at	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1	0.1	4.79E-05
210328_at	glycine N-methyltransferase	GNMT	0.1	6.60E-05
214415_at	CDNA FLJ43430 fis, clone OCBBF2027661		0.1	2.00E-06
206262_at	alcohol dehydrogenase 1A/1B/1C	ADH1A / ADH1B/ ADH1C	0.1	5.55E-05
210521_s_at	fetuin B	FETUB	0.1	6.00E-07
37512_at	hydroxysteroid (17-beta) dehydrogenase 6	HSD17B6	0.1	0.0005739
217521_at	Histidine ammonia-lyase	HAL	0.1	3.96E-05
207804_s_at	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)	FCN2	0.1	5.00E-07
208383_s_at	phosphoenolpyruvate carboxykinase 1 (soluble)	PCK1	0.1	0.0007831
205943_at	tryptophan 2,3-dioxygenase	TDO2	0.1	0.0003043
31835_at	histidine-rich glycoprotein	HRG	0.1	0.0001656
207102_at	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	AKR1D1	0.1	5.18E-05
205866_at	ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)	FCN3	0.1	3.56E-05
207874_s_at	complement factor H-related 4/ 3	CFHL4/ CFH3	0.1	9.00E-06
206755_at	cytochrome P450, family 2, subfamily B, polypeptide 6	CYP2B6	0.1	1.34E-05
207185_at	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	SLC10A1	0.1	2.28E-05
214621_at	glycogen synthase 2 (liver)	GYS2	0.1	1.35E-05
207201_s_at	solute carrier family 22 (organic cation transporter), member 1	SLC22A1	0.1	< 1e-07
220801_s_at	hydroxyacid oxidase 2 (long chain)	HAO2	0.1	< 1e-07
207218_at	coagulation factor IX (hemophilia B)	F9	0.1	3.82E-05
206754_s_at	cytochrome P450, family 2, subfamily B 7 pseudogene	CYP2B7P1	0.1	5.05E-05
202237_at	nicotinamide N-methyltransferase	NNMT	0.1	0.000389
205753_at	C-reactive protein, pentraxin-related	CRP	0.1	0.0003778
205531_s_at	glutaminase 2 (liver, mitochondrial)	GLS2	0.1	< 1e-07
202238_s_at	nicotinamide N-methyltransferase	NNMT	0.1	0.0002627
204704_s_at	aldolase B, fructose-bisphosphate	ALDOB	0.1	1.12E-05
207262_at	apolipoprotein F	APOF	0.1	1.00E-07
37020_at	C-reactive protein, pentraxin-related	CRP	0	0.0004658
205871_at	plasminogen-like B2 /// B1 /// A1	PLGLB2B1 / PLGLB2A1	0	5.53E-05
206643_at	histidine ammonia-lyase	HAL	0	5.62E-05
216058_s_at	cytochrome P450, family 2, subfamily C, polypeptide 19	CYP2C19	0	1.10E-06
205844_at	vanin 1	VNN1	0	3.17E-05
1494_f_at	cytochrome P450, family 2, subfamily A, polypeptide 6	CYP2A6	0	4.00E-07
213664_at	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	SLC1A1	0	2.00E-07
205695_at	serine dehydratase	SDS	0	< 1e-07
208147_s_at	cytochrome P450, family 2, subfamily C, polypeptide 8	CYP2C8	0	0.0002735
206727_at	complement component 9	C9	0	5.50E-06
