GO id	GO term	Array count	List count	p-value	Gene symbol	Use
3743	translation initiation factor activity	52	13	7.71E-07	COPS5;EIF4A1;EIF4B;BZW2;EIF3S6;EIF3S6IP;EIF3S9;EIF3S5;EIF3S3;EIF2B4;EIF2S2;EIF4E2;EIF5B	In molecular function
3690	double-stranded DNA binding	40	11	1.97E-06	RAD51AP1;PNKP;XRCC6;MSH6;HMGB2;MRE11A;MSH2;YBX1;PMS1;XRCC5;CSDA	In molecular function
45182	translation regulator activity	84	16	2.17E-06	GCN1L1;COPS5;EEF1D;EIF4A1;EIF4B;BZW2;EIF3S6;EIF3S6IP;TCEA1;EIF3S9;EIF3S5;EIF3S3;EIF2B4;EIF2S2;EIF4E2;EIF5B	In molecular function
16887	ATPase activity	260	31	3.09E-06	ABCF2;DDX39;RUVBL2;DDX42;DDX1;DDX10;EIF4A1;ASCC3L1;MDN1;XRCC6;MSH6;MCM2;MCM3;MCM4;MCM6;MCM7;MSH2;ATP2B1;DDX41;ATP6V1H;ATP5G2;ATP6AP1;DDX56;DDX27;SMARCA1;TOP2A;XRCC5;RUVBL1;DDX18;EIF4A3;NUP153	In molecular function
4812	aminoacyl-tRNA ligase activity	38	10	8.95E-06	WARS2;AARS;DARS;EPRS;FARSA;IARS;KARS;QARS;VARS;AARSD1	In molecular function
17111	nucleoside-triphosphatase activity	442	43	9.43E-06	ABCF2;DDX39;SEPT9;RUVBL2;XAB1;DDX42;DDX1;DDX10;EIF4A1;ASCC3L1;MDN1;XRCC6;MSH6;MCM2;MCM3;MCM4;MCM6;MCM7;MSH2;ATP2B1;ORC4L;DDX41;ATP6V1H;ATP5G2;ATP6AP1;DDX56;DDX27;RAB4A;RAN;RFC1;RFC2;RFC4;SMARCA1;TOP2A;TUBG1;XRCC5;RUVBL1;DDX18;TRIP13;EIF5B;EIF4A3;CDC6;NUP153	In molecular function
16462	pyrophosphatase activity	462	44	1.27E-05	ABCF2;DDX39;SEPT9;RUVBL2;XAB1;DDX42;DDX1;DDX10;EIF4A1;ASCC3L1;MDN1;XRCC6;MSH6;MCM2;MCM3;MCM4;MCM6;MCM7;MSH2;ATP2B1;ORC4L;DDX41;ATP6V1H;ATP5G2;ATP6AP1;DDX56;PPA1;DDX27;RAB4A;RAN;RFC1;RFC2;RFC4;SMARCA1;TOP2A;TUBG1;XRCC5;RUVBL1;DDX18;TRIP13;EIF5B;EIF4A3;CDC6;NUP153	In molecular function
16818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	464	44	1.41E-05	ABCF2;DDX39;SEPT9;RUVBL2;XAB1;DDX42;DDX1;DDX10;EIF4A1;ASCC3L1;MDN1;XRCC6;MSH6;MCM2;MCM3;MCM4;MCM6;MCM7;MSH2;ATP2B1;ORC4L;DDX41;ATP6V1H;ATP5G2;ATP6AP1;DDX56;PPA1;DDX27;RAB4A;RAN;RFC1;RFC2;RFC4;SMARCA1;TOP2A;TUBG1;XRCC5;RUVBL1;DDX18;TRIP13;EIF5B;EIF4A3;CDC6;NUP153	In molecular function
42623	ATPase activity, coupled	222	26	2.63E-05	DDX39;RUVBL2;DDX42;DDX1;DDX10;EIF4A1;ASCC3L1;XRCC6;MCM2;MCM3;MCM4;MCM6;MCM7;ATP2B1;DDX41;ATP6V1H;ATP5G2;ATP6AP1;DDX56;DDX27;SMARCA1;TOP2A;XRCC5;DDX18;EIF4A3;NUP153	In molecular function
3678	DNA helicase activity	29	7	0.000366	RUVBL2;XRCC6;MCM4;MCM6;PEO1;XRCC5;RUVBL1	In molecular function
46982	protein heterodimerization activity	80	12	0.000432	SMC4;SAE1;SMC2;CENPF;PDSS1;BIRC5;NPM1;SUPT4H1;TOP2A;DGKD;APPBP1;TIMELESS	In molecular function
3697	single-stranded DNA binding	40	8	0.000555	LRPPRC;RAD51AP1;HMGB2;MCM4;MCM6;MSH2;YBX1;BRCA2	In molecular function
3777	microtubule motor activity	51	9	0.000668	KIF20A;KIF2C;LOC146909;KIF4A;KIF11;KIF15;KIF18A;KIF23;KIF14	In molecular function
19843	rRNA binding	17	5	0.000989	NOLA2;RPL5;RPL8;RPL11;RPS9	In molecular function
