HG-U133A probe set	Gene Symbol	Gene	NPM1-mutated	NPM1-WT, MLL-WT	Fold change	t statistic	P	q
207231_at	DZIP3	zinc finger DAZ interacting protein 3	100.7	83.9	1.2	3.7	0.0011	0.0865
217188_s_at	C14orf1	chromosome 14 open reading frame 1	517.8	369.8	1.4	3.9	0.0011	0.0869
207071_s_at	ACO1	aconitase 1, soluble	798.0	544.3	1.5	5.1	0.0011	0.0874
208393_s_at	RAD50	RAD50 homolog (S. cerevisiae)	475.0	398.7	1.2	3.7	0.0011	0.0874
218495_at	UXT	ubiquitously-expressed transcript	2509.9	3578.6	-1.4	-5.1	0.0011	0.0874
203302_at	DCK	deoxycytidine kinase	918.9	672.9	1.4	4.5	0.0012	0.0874
208805_at	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	3668.2	4787.8	-1.3	-4.2	0.0012	0.0894
220616_at	---	---	36.7	67.6	-1.8	-3.5	0.0012	0.0894
205804_s_at	T3JAM	TRAF3-interacting Jun N-terminal kinase (JNK)-activating modulator	898.2	642.0	1.4	4.1	0.0012	0.0901
212028_at	RBM25	RNA binding motif protein 25	1005.8	660.4	1.5	4.6	0.0012	0.0923
206110_at	HIST1H3H	histone 1, H3h	190.4	153.4	1.2	3.8	0.0013	0.0964
210282_at	ZNF198	zinc finger protein 198	134.7	60.6	2.2	4.7	0.0013	0.0964
210938_at	IPF1	insulin promoter factor 1, homeodomain transcription factor	19.4	60.6	-3.1	-4.2	0.0013	0.0964
216330_s_at	POU6F1	POU domain, class 6, transcription factor 1	51.8	142.5	-2.8	-4.5	0.0013	0.0964
211022_s_at	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	165.9	88.3	1.9	4.4	0.0013	0.0966
217778_at	SLC39A1	solute carrier family 39 (zinc transporter), member 1	301.5	187.0	1.6	4.3	0.0013	0.0966
208154_at	LOC51336	mesenchymal stem cell protein DSCD28	216.8	153.0	1.4	4.2	0.0013	0.0979
209589_s_at	EPHB2	EPH receptor B2	18.7	77.2	-4.1	-4.6	0.0014	0.0985
207414_s_at	PCSK6	proprotein convertase subtilisin/kexin type 6	23.8	78.4	-3.3	-3.9	0.0014	0.1000
215525_at	FLJ12610	Hypothetical protein FLJ12610	328.9	249.8	1.3	3.9	0.0014	0.1000
218656_s_at	LHFP	lipoma HMGIC fusion partner	180.7	159.5	1.1	3.9	0.0014	0.1000
222221_x_at	EHD1	EH-domain containing 1	292.2	475.3	-1.6	-4.3	0.0014	0.1000
218456_at	C1QDC1	C1q domain containing 1	899.1	366.0	2.5	5.1	0.0014	0.1010
220064_at	FLJ11457	hypothetical protein FLJ11457	12.5	33.9	-2.7	-3.9	0.0014	0.1010
205255_x_at	TCF7	transcription factor 7 (T-cell specific, HMG-box)	853.4	1334.7	-1.6	-4.4	0.0015	0.1030
201841_s_at	HSPB1	heat shock 27kDa protein 1	309.8	1240.8	-4.0	-4.8	0.0015	0.1030
204461_x_at	RAD1	RAD1 homolog (S. pombe)	647.9	394.2	1.6	4.8	0.0015	0.1030
204492_at	ARHGAP11A	Rho GTPase activating protein 11A	125.3	95.5	1.3	3.8	0.0015	0.1030
205154_at	LRRN5	leucine rich repeat neuronal 5	21.2	92.1	-4.4	-4.3	0.0015	0.1030
205395_s_at	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	388.2	225.3	1.7	4.4	0.0015	0.1030
205490_x_at	GJB3	gap junction protein, beta 3, 31kDa (connexin 31)	68.4	144.5	-2.1	-3.9	0.0015	0.1030
209479_at	C6orf80	chromosome 6 open reading frame 80	1233.2	921.4	1.3	4.7	0.0015	0.1030
214564_s_at	PCDHGC3	protocadherin gamma subfamily C, 3	188.2	147.5	1.3	3.8	0.0015	0.1030
220874_at	---	---	199.5	155.0	1.3	3.8	0.0015	0.1030
213358_at	KIAA0802	KIAA0802	320.2	243.9	1.3	3.9	0.0015	0.1040
214475_x_at	CAPN3	calpain 3, (p94)	35.3	254.5	-7.2	-5.0	0.0015	0.1040
204133_at	RNU3IP2	RNA, U3 small nucleolar interacting protein 2	89.1	186.5	-2.1	-3.8	0.0016	0.1060
214938_x_at	HMGB1	high-mobility group box 1	22919.4	18244.3	1.3	4.2	0.0016	0.1060
208604_s_at	HOXA3	homeo box A3 /// homeo box A3	164.4	76.5	2.1	4.7	0.0016	0.1060
216167_at	LRRN5	leucine rich repeat neuronal 5	8.2	30.1	-3.7	-4.4	0.0016	0.1060
208442_s_at	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	367.4	279.4	1.3	3.7	0.0016	0.1080
210548_at	CCL23	chemokine (C-C motif) ligand 23	457.4	159.4	2.9	4.8	0.0016	0.1080
215841_at	GUCA1B	guanylate cyclase activator 1B (retina)	203.3	129.1	1.6	4.2	0.0017	0.1090
212750_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	27.8	136.1	-4.9	-4.8	0.0017	0.1120
220572_at	---	---	112.9	77.2	1.5	3.9	0.0017	0.1140
201664_at	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3888.9	1667.1	2.3	5.5	0.0018	0.1160
202272_s_at	FBXO28	F-box protein 28	561.9	442.5	1.3	3.6	0.0018	0.1160
215573_at	CAT	Catalase	159.7	82.4	1.9	4.4	0.0018	0.1170
214486_x_at	CFLAR	CASP8 and FADD-like apoptosis regulator	683.0	542.0	1.3	3.9	0.0018	0.1190
201845_s_at	---	---	1157.3	914.0	1.3	3.8	0.0019	0.1190
202085_at	TJP2	tight junction protein 2 (zona occludens 2)	276.3	164.3	1.7	4.1	0.0019	0.1190
212822_at	HEG	HEG homolog	45.9	103.4	-2.3	-4.0	0.0019	0.1190
213384_x_at	PLCB3	phospholipase C, beta 3 (phosphatidylinositol-specific)	269.7	230.4	1.2	3.4	0.0019	0.1190
215171_s_at	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	1070.4	951.2	1.1	3.6	0.0019	0.1190
216506_x_at	MLLT10	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	266.5	196.1	1.4	3.9	0.0019	0.1190
219246_s_at	FLJ13491	hypothetical protein FLJ13491	287.4	217.2	1.3	3.7	0.0019	0.1190
220466_at	FLJ13215	hypothetical protein FLJ13215	289.7	220.3	1.3	3.8	0.0019	0.1190
212541_at	PP591	FAD-synthetase	295.9	469.5	-1.6	-4.8	0.0019	0.1220
201347_x_at	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	1169.9	1730.2	-1.5	-4.4	0.0019	0.1220
201601_x_at	IFITM1	interferon induced transmembrane protein 1 (9-27)	801.4	1854.3	-2.3	-4.4	0.0020	0.1220
208716_s_at	LOC54499	putative membrane protein	1677.2	1128.3	1.5	4.6	0.0020	0.1220
218532_s_at	FLJ20152	hypothetical protein FLJ20152	53.4	179.4	-3.4	-4.3	0.0020	0.1230
200684_s_at	UBE2L3	ubiquitin-conjugating enzyme E2L 3	455.8	662.3	-1.5	-4.1	0.0020	0.1240
204086_at	PRAME	preferentially expressed antigen in melanoma	180.5	966.0	-5.4	-4.0	0.0020	0.1240
214187_x_at	---	---	158.4	119.8	1.3	3.8	0.0020	0.1250
214255_at	ATP10A	ATPase, Class V, type 10A	60.5	195.4	-3.2	-4.0	0.0020	0.1250
216679_at	---	---	100.3	64.7	1.5	4.1	0.0020	0.1250
221887_s_at	DFNB31	deafness, autosomal recessive 31	36.4	107.4	-2.9	-4.1	0.0020	0.1250
207634_at	PDCD1	programmed cell death 1	213.3	169.0	1.3	3.6	0.0021	0.1250
216872_at	HR44	Hr44 antigen	102.1	49.7	2.1	4.4	0.0021	0.1250
220010_at	KCNE1L	KCNE1-like	31.9	622.4	-19.5	-4.1	0.0021	0.1250
202500_at	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	211.6	152.0	1.4	3.8	0.0021	0.1280
209582_s_at	CD200	CD200 antigen	106.2	439.3	-4.1	-5.0	0.0022	0.1290
212756_s_at	C6orf133	chromosome 6 open reading frame 133	686.5	583.4	1.2	3.9	0.0021	0.1290
221365_at	MLNR	motilin receptor	22.2	86.1	-3.9	-4.9	0.0022	0.1290
205142_x_at	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	402.0	591.4	-1.5	-4.3	0.0022	0.1310
57540_at	RBKS	ribokinase	377.1	262.5	1.4	4.0	0.0022	0.1320
209990_s_at	GPR51	G protein-coupled receptor 51	94.7	69.8	1.4	3.8	0.0022	0.1320
211840_s_at	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	12.9	45.4	-3.5	-3.7	0.0022	0.1320
201218_at	CTBP2	C-terminal binding protein 2	804.1	632.4	1.3	3.3	0.0023	0.1320
202566_s_at	SVIL	supervillin	199.9	353.9	-1.8	-4.3	0.0023	0.1320
210969_at	PKN2	protein kinase N2	146.6	103.4	1.4	4.1	0.0023	0.1320
212975_at	KIAA0870	KIAA0870 protein	1006.1	1411.5	-1.4	-3.9	0.0023	0.1320
214684_at	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	186.6	293.3	-1.6	-3.6	0.0023	0.1320
214804_at	FSHPRH1	FSH primary response (LRPR1 homolog, rat) 1	209.3	86.0	2.4	4.5	0.0023	0.1320
219598_s_at	RWDD1	RWD domain containing 1	868.5	716.7	1.2	3.7	0.0023	0.1320
220154_at	DST	dystonin	81.8	57.6	1.4	3.8	0.0023	0.1320
40359_at	C11orf13	chromosome 11 open reading frame 13	1435.3	1310.4	1.1	3.3	0.0023	0.1340
222338_x_at	---	---	685.3	617.6	1.1	3.3	0.0023	0.1340
211555_s_at	GUCY1B3	guanylate cyclase 1, soluble, beta 3	190.4	383.9	-2.0	-4.6	0.0024	0.1360
203610_s_at	TRIM38	tripartite motif-containing 38	704.2	589.0	1.2	3.8	0.0024	0.1360
206669_at	GAD1	glutamate decarboxylase 1 (brain, 67kDa)	17.5	66.3	-3.8	-3.5	0.0024	0.1360
209583_s_at	CD200	CD200 antigen	161.1	762.9	-4.7	-4.6	0.0024	0.1360
210298_x_at	FHL1	four and a half LIM domains 1	59.7	456.3	-7.6	-4.9	0.0024	0.1360
219231_at	NCOA6IP	nuclear receptor coactivator 6 interacting protein	425.6	378.1	1.1	3.3	0.0024	0.1360
201200_at	CREG1	cellular repressor of E1A-stimulated genes 1	3294.0	2337.7	1.4	4.3	0.0025	0.1370
203896_s_at	PLCB4	phospholipase C, beta 4	9.6	54.5	-5.7	-3.8	0.0025	0.1370
205867_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	75.2	53.3	1.4	3.9	0.0024	0.1370
213648_at	EXOSC7	Exosome component 7	460.6	355.9	1.3	3.6	0.0025	0.1370
213863_s_at	OAZ3	Ornithine decarboxylase antizyme 3	12.0	60.0	-5.0	-4.6	0.0024	0.1370
217717_s_at	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	3239.0	2828.6	1.1	3.4	0.0025	0.1370
218639_s_at	MGC11349	hypothetical protein MGC11349	543.8	400.0	1.4	3.7	0.0025	0.1370
221737_at	GNA12	guanine nucleotide binding protein (G protein) alpha 12	302.9	256.3	1.2	3.3	0.0025	0.1370
201462_at	SCRN1	secernin 1	75.0	400.3	-5.3	-3.7	0.0025	0.1380
215881_x_at	SSX7 /// SSX3 /// SSX9 /// SSX2	synovial sarcoma, X breakpoint 7 /// synovial sarcoma, X breakpoint 3 /// synovial sarcoma, X breakpoint 9 /// synovial sarcoma, X breakpoint 2	206.6	161.0	1.3	3.6	0.0025	0.1380
216905_s_at	ST14	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	14.0	44.3	-3.2	-3.4	0.0025	0.1380
219376_at	ZNF322B	zinc finger protein 322B	261.5	158.1	1.7	4.0	0.0025	0.1380
212175_s_at	AK2	adenylate kinase 2	2509.1	1820.7	1.4	4.2	0.0025	0.1380
221294_at	GPR21	G protein-coupled receptor 21	275.5	212.4	1.3	3.6	0.0026	0.1390
214812_s_at	---	---	1957.5	2468.1	-1.3	-4.2	0.0026	0.1400
33494_at	ETFDH	electron-transferring-flavoprotein dehydrogenase	185.4	146.4	1.3	3.6	0.0026	0.1410
205264_at	ASE-1	CD3-epsilon-associated protein; antisense to ERCC-1	351.5	249.2	1.4	3.7	0.0026	0.1410
205967_at	HIST1H4C	histone 1, H4c	2533.3	1297.3	2.0	4.5	0.0026	0.1410
212144_at	UNC84B	unc-84 homolog B (C. elegans)	1109.0	1500.5	-1.4	-4.0	0.0026	0.1410
203740_at	MPHOSPH6	M-phase phosphoprotein 6	741.3	912.9	-1.2	-3.9	0.0027	0.1410
218480_at	FLJ21839	hypothetical protein FLJ21839	259.5	217.8	1.2	3.4	0.0027	0.1420
201154_x_at	RPL4	ribosomal protein L4	23537.5	27231.7	-1.2	-3.6	0.0027	0.1430
219999_at	MAN2A2	mannosidase, alpha, class 2A, member 2	616.6	504.6	1.2	3.6	0.0028	0.1470
204970_s_at	MAFG	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	1059.8	695.3	1.5	4.2	0.0028	0.1480
209006_s_at	NPD014	NPD014 protein	904.8	657.1	1.4	3.9	0.0028	0.1480
219454_at	EGFL6	EGF-like-domain, multiple 6	183.0	144.8	1.3	3.5	0.0028	0.1480
221771_s_at	HSMPP8	M-phase phosphoprotein, mpp8	893.9	781.9	1.1	3.2	0.0028	0.1480
202242_at	TM4SF2	transmembrane 4 superfamily member 2	84.9	487.8	-5.7	-4.5	0.0028	0.1480
216005_at	TNC	Tenascin C (hexabrachion)	92.8	83.9	1.1	3.2	0.0028	0.1480
213123_at	MFAP3	Microfibrillar-associated protein 3	743.2	521.9	1.4	4.0	0.0028	0.1480
208813_at	GOT1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	515.5	238.1	2.2	4.4	0.0029	0.1490
210437_at	MAGEA9	melanoma antigen, family A, 9	136.6	74.0	1.8	4.1	0.0029	0.1490
219790_s_at	NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	39.1	117.3	-3.0	-3.7	0.0029	0.1490
210998_s_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	18.4	157.1	-8.5	-4.2	0.0029	0.1490
217517_x_at	SRPK2	SFRS protein kinase 2	198.7	107.7	1.8	4.3	0.0029	0.1500
204438_at	MRC1	mannose receptor, C type 1	99.6	604.9	-6.1	-3.9	0.0030	0.1510
207198_s_at	LIMS1	LIM and senescent cell antigen-like domains 1	1086.5	1021.0	1.1	3.1	0.0030	0.1530
221064_s_at	C16orf28	chromosome 16 open reading frame 28	318.3	217.3	1.5	3.7	0.0030	0.1530
203805_s_at	FANCA	Fanconi anemia, complementation group A /// Fanconi anemia, complementation group A	678.5	513.4	1.3	3.8	0.0031	0.1540
212823_s_at	KIAA0599	KIAA0599	41.4	229.9	-5.5	-4.2	0.0030	0.1540
216710_x_at	ZNF287	zinc finger protein 287	35.5	150.3	-4.2	-4.2	0.0031	0.1540
201652_at	COPS5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	993.3	1198.1	-1.2	-3.3	0.0031	0.1540
202212_at	PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)	405.7	566.0	-1.4	-3.5	0.0031	0.1540
207616_s_at	TANK	TRAF family member-associated NFKB activator	2136.2	1488.5	1.4	4.5	0.0031	0.1540
219203_at	C14orf122	chromosome 14 open reading frame 122	210.7	78.1	2.7	4.5	0.0031	0.1540
207108_s_at	NIPBL	Nipped-B homolog (Drosophila)	445.2	369.6	1.2	3.6	0.0031	0.1550
208715_at	LOC54499	putative membrane protein	460.8	403.0	1.1	3.5	0.0032	0.1570
200827_at	PLOD	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	498.5	389.7	1.3	3.5	0.0032	0.1580
205435_s_at	AAK1	AP2 associated kinase 1	308.1	256.9	1.2	3.4	0.0032	0.1580
208996_s_at	POLR2C	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	917.9	749.6	1.2	4.0	0.0032	0.1580
214457_at	HOXA2	homeo box A2	120.4	36.4	3.3	4.6	0.0032	0.1580
215823_x_at	PABPC1 /// PABPC3	poly(A) binding protein, cytoplasmic 1 /// poly(A) binding protein, cytoplasmic 3	16048.6	14851.9	1.1	3.1	0.0032	0.1580
206759_at	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23A)	26.4	149.6	-5.7	-3.6	0.0032	0.1580
218942_at	PIP5K2C	phosphatidylinositol-4-phosphate 5-kinase, type II, gamma	448.4	233.6	1.9	4.0	0.0033	0.1580
200940_s_at	RERE	arginine-glutamic acid dipeptide (RE) repeats	1018.8	1256.0	-1.2	-3.5	0.0034	0.1590
204030_s_at	SCHIP1	schwannomin interacting protein 1	1404.5	512.7	2.7	4.4	0.0033	0.1590
204742_s_at	APRIN	androgen-induced proliferation inhibitor	198.0	142.6	1.4	3.6	0.0033	0.1590
204929_s_at	VAMP5	vesicle-associated membrane protein 5 (myobrevin)	234.4	405.9	-1.7	-3.2	0.0034	0.1590
207392_x_at	UGT2B15	UDP glycosyltransferase 2 family, polypeptide B15	181.6	122.0	1.5	3.7	0.0033	0.1590
215064_at	SC5DL	Sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, fungal)-like	121.8	77.1	1.6	3.9	0.0033	0.1590
217371_s_at	IL15	interleukin 15	122.9	51.0	2.4	4.3	0.0033	0.1590
218711_s_at	SDPR	serum deprivation response (phosphatidylserine binding protein)	327.8	184.3	1.8	4.3	0.0033	0.1590
220226_at	TRPM8	transient receptor potential cation channel, subfamily M, member 8	171.3	120.8	1.4	3.7	0.0033	0.1590
221823_at	LOC90355	hypothetical gene supported by AF038182; BC009203	408.3	313.9	1.3	3.5	0.0033	0.1590
222170_at	---	LOC440334	73.9	51.0	1.4	3.8	0.0033	0.1590
204832_s_at	BMPR1A	bone morphogenetic protein receptor, type IA	71.3	51.6	1.4	3.6	0.0034	0.1590
204567_s_at	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	67.8	172.5	-2.5	-4.3	0.0034	0.1600
218813_s_at	SH3GLB2	SH3-domain GRB2-like endophilin B2	345.4	250.2	1.4	3.5	0.0034	0.1600
214339_s_at	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	533.7	750.5	-1.4	-3.8	0.0034	0.1600
210145_at	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	300.7	178.7	1.7	3.7	0.0035	0.1620
212851_at	KIAA0276	KIAA0276 protein	431.0	338.6	1.3	3.5	0.0035	0.1620
216877_at	---	---	182.4	140.9	1.3	3.5	0.0035	0.1620
201427_s_at	SEPP1	selenoprotein P, plasma, 1	3615.1	787.9	4.6	4.3	0.0035	0.1620
205990_s_at	WNT5A	wingless-type MMTV integration site family, member 5A	95.5	52.6	1.8	4.0	0.0035	0.1630
201086_x_at	SON	SON DNA binding protein	3234.6	2581.5	1.3	3.9	0.0035	0.1630
209019_s_at	PINK1	PTEN induced putative kinase 1	548.0	422.7	1.3	3.9	0.0035	0.1630
211535_s_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	119.6	464.4	-3.9	-4.2	0.0035	0.1630
214299_at	TOP3A	topoisomerase (DNA) III alpha	260.5	195.0	1.3	3.6	0.0036	0.1630
220336_s_at	GP6	glycoprotein VI (platelet)	208.4	179.8	1.2	3.2	0.0036	0.1630
203747_at	AQP3	aquaporin 3	297.1	163.8	1.8	4.1	0.0036	0.1630
87100_at	ABHD2	Abhydrolase domain containing 2	247.4	122.0	2.0	3.9	0.0036	0.1640
202216_x_at	NFYC	nuclear transcription factor Y, gamma	693.3	888.3	-1.3	-4.3	0.0036	0.1640
203971_at	SLC31A1	solute carrier family 31 (copper transporters), member 1	161.6	103.1	1.6	3.7	0.0036	0.1660
202403_s_at	COL1A2	collagen, type I, alpha 2	260.7	191.0	1.4	3.5	0.0037	0.1660
219452_at	DPEP2	dipeptidase 2	573.9	489.5	1.2	3.2	0.0037	0.1660
208040_s_at	MYBPC3	myosin binding protein C, cardiac /// myosin binding protein C, cardiac	132.8	102.7	1.3	3.6	0.0037	0.1670
211302_s_at	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	262.8	597.1	-2.3	-3.4	0.0037	0.1670
213899_at	METAP2	methionyl aminopeptidase 2	272.8	180.5	1.5	4.0	0.0037	0.1670
219502_at	FLJ10858	DNA glycosylase hFPG2	493.9	283.8	1.7	4.2	0.0037	0.1670
217353_at	HNRPA1	heterogeneous nuclear ribonucleoprotein A1	153.6	125.1	1.2	3.4	0.0038	0.1680
201655_s_at	HSPG2	Heparan sulfate proteoglycan 2 (perlecan)	57.8	301.0	-5.2	-3.8	0.0038	0.1680
204647_at	HOMER3	homer homolog 3 (Drosophila)	1442.9	751.6	1.9	3.9	0.0038	0.1690
209368_at	EPHX2	epoxide hydrolase 2, cytoplasmic	21.9	49.1	-2.2	-3.2	0.0038	0.1690
211424_x_at	---	---	305.8	173.0	1.8	4.1	0.0038	0.1690
203162_s_at	KATNB1	katanin p80 (WD repeat containing) subunit B 1	704.0	1068.9	-1.5	-4.0	0.0039	0.1700
205566_at	ABHD2	abhydrolase domain containing 2	671.2	522.2	1.3	3.8	0.0039	0.1700
205695_at	SDS	serine dehydratase	236.8	194.3	1.2	3.4	0.0039	0.1700
206389_s_at	PDE3A	phosphodiesterase 3A, cGMP-inhibited	97.8	65.6	1.5	3.8	0.0039	0.1700
207503_at	TCP10	t-complex 10 (mouse)	155.8	139.6	1.1	3.1	0.0039	0.1700
207983_s_at	STAG2	stromal antigen 2	1123.7	804.7	1.4	3.9	0.0040	0.1700
208196_x_at	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	198.2	165.9	1.2	3.3	0.0040	0.1700
209170_s_at	GPM6B	glycoprotein M6B	19.2	182.9	-9.6	-3.2	0.0040	0.1700
209753_s_at	TMPO	Thymopoietin	609.0	435.4	1.4	4.0	0.0040	0.1700
209912_s_at	FOXK1	forkhead box K1	277.7	208.8	1.3	3.8	0.0040	0.1700
209931_s_at	FKBP1B	FK506 binding protein 1B, 12.6 kDa	211.4	125.5	1.7	3.9	0.0040	0.1700
210447_at	GLUD1 /// GLUD2	glutamate dehydrogenase 1 /// glutamate dehydrogenase 2	73.4	48.7	1.5	3.7	0.0040	0.1700
210549_s_at	CCL23	chemokine (C-C motif) ligand 23	392.7	120.1	3.3	4.3	0.0039	0.1700
213436_at	CNR1	cannabinoid receptor 1 (brain)	84.0	66.0	1.3	3.3	0.0039	0.1700
213623_at	KIF3A	kinesin family member 3A	148.5	108.4	1.4	3.8	0.0039	0.1700
216050_at	---	Transcribed locus, moderately similar to NP_803425.1 DNA segment, Chr 19, Brigham & Womens Genetics 1357 expressed [Mus musculus]	8.0	38.4	-4.8	-3.8	0.0039	0.1700
218876_at	CGI-38	brain specific protein /// brain specific protein	19.2	191.0	-9.9	-3.5	0.0039	0.1700
201625_s_at	INSIG1	insulin induced gene 1	479.0	388.4	1.2	3.5	0.0040	0.1710
218614_at	FLJ10652	hypothetical protein FLJ10652	731.6	498.3	1.5	4.0	0.0040	0.1710
214747_at	---	---	219.0	148.0	1.5	3.6	0.0041	0.1720
201497_x_at	MYH11	myosin, heavy polypeptide 11, smooth muscle	43.1	185.5	-4.3	-3.4	0.0041	0.1730
204113_at	CUGBP1	CUG triplet repeat, RNA binding protein 1	145.9	81.2	1.8	3.8	0.0041	0.1730
212174_at	AK2	adenylate kinase 2	3180.2	2392.1	1.3	3.8	0.0041	0.1730
215444_s_at	TRIM31	tripartite motif-containing 31	89.3	61.8	1.4	3.6	0.0041	0.1730
219340_s_at	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	216.1	160.9	1.3	3.5	0.0041	0.1730
222324_at	---	---	33.6	118.0	-3.5	-4.3	0.0041	0.1730
215556_at	---	---	240.2	199.9	1.2	3.3	0.0042	0.1740
202377_at	OBRGRP /// LEPR	leptin receptor gene-related protein /// leptin receptor	2175.3	1336.5	1.6	4.5	0.0042	0.1750
218235_s_at	CGI-94	comparative gene identification transcript 94	644.2	844.5	-1.3	-3.6	0.0042	0.1750
202810_at	DRG1	developmentally regulated GTP binding protein 1	1475.5	1836.2	-1.2	-3.6	0.0042	0.1760
201064_s_at	PABPC4	poly(A) binding protein, cytoplasmic 4 (inducible form)	1854.6	2684.4	-1.4	-4.1	0.0043	0.1760
203836_s_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5	744.3	435.5	1.7	3.9	0.0043	0.1770
207504_at	CA7	carbonic anhydrase VII	422.4	338.6	1.2	3.3	0.0043	0.1770
208146_s_at	CPVL	carboxypeptidase, vitellogenic-like /// carboxypeptidase, vitellogenic-like	783.1	634.4	1.2	3.5	0.0043	0.1770
212374_at	FEM1B	fem-1 homolog b (C. elegans)	286.0	221.8	1.3	3.4	0.0043	0.1770
212396_s_at	KIAA0090	KIAA0090 protein	47.0	145.0	-3.1	-4.0	0.0043	0.1770
215629_s_at	DLEU2	deleted in lymphocytic leukemia, 2	223.3	120.8	1.8	4.2	0.0043	0.1770
218847_at	IMP-2	IGF-II mRNA-binding protein 2	2120.4	1657.3	1.3	3.3	0.0043	0.1770
219360_s_at	TRPM4	transient receptor potential cation channel, subfamily M, member 4	14.7	84.5	-5.7	-3.1	0.0043	0.1770
206395_at	DGKG	diacylglycerol kinase, gamma 90kDa	256.7	179.9	1.4	3.6	0.0044	0.1780
210068_s_at	AQP4	aquaporin 4	19.6	61.9	-3.2	-4.2	0.0044	0.1780
201859_at	PRG1	proteoglycan 1, secretory granule	12775.8	9178.0	1.4	3.6	0.0045	0.1790
202068_s_at	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	328.4	758.1	-2.3	-4.3	0.0045	0.1790
205968_at	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	131.9	84.4	1.6	3.7	0.0045	0.1790
211833_s_at	BAX	BCL2-associated X protein	293.5	190.3	1.5	3.7	0.0044	0.1790
212129_at	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	1665.7	1322.7	1.3	3.9	0.0045	0.1790
218980_at	FHOD3	Formin homology 2 domain containing 3	21.0	44.0	-2.1	-3.6	0.0045	0.1790
221702_s_at	BLP2	BBP-like protein 2 /// BBP-like protein 2	1176.7	947.2	1.2	3.8	0.0044	0.1790
201227_s_at	NDUFB8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	2165.2	1784.0	1.2	3.8	0.0045	0.1790
212809_at	FLJ14639	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	1098.0	889.2	1.2	3.3	0.0045	0.1800
220383_at	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)	16.0	58.9	-3.7	-3.4	0.0045	0.1800
207418_s_at	DDO	D-aspartate oxidase	20.9	50.3	-2.4	-3.5	0.0046	0.1810
209930_s_at	NFE2	nuclear factor (erythroid-derived 2), 45kDa	5528.2	2719.1	2.0	4.1	0.0046	0.1810
208999_at	8-Sep	septin 8	426.7	248.2	1.7	3.9	0.0046	0.1820
208958_at	TXNDC4	thioredoxin domain containing 4 (endoplasmic reticulum)	120.7	94.0	1.3	3.4	0.0046	0.1830
211169_s_at	PPP1R3A	protein phosphatase 1, regulatory (inhibitor) subunit 3A (glycogen and sarcoplasmic reticulum binding subunit, skeletal muscle)	46.3	25.8	1.8	3.9	0.0047	0.1830
