HG_U133A probe	Gene Symbol	Gene Title	NPM1-mutant	NPM1-WT	Fold change	t statistic	P	q
219999_at	MAN2A2	mannosidase, alpha, class 2A, member 2	616.6	493.6	1.2	4	0.0016	0.1205
208154_at	LOC51336	mesenchymal stem cell protein DSCD28	216.8	153.2	1.4	4.2	0.0016	0.1212
212850_s_at	LRP4	low density lipoprotein receptor-related protein 4	42.6	128.9	-3	-4.7	0.0016	0.1212
221904_at	MGC21688	hypothetical protein MGC21688	402.7	320.6	1.3	4	0.0017	0.122
210126_at	PSG9	pregnancy specific beta-1-glycoprotein 9	15	35.4	-2.4	-4.1	0.0017	0.1227
201652_at	COPS5	COP9 constitutive photomorphogenic homolog subunit 5	993.3	1199.7	-1.2	-3.6	0.0017	0.1228
208611_s_at	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	672.8	1051.2	-1.6	-4.4	0.0017	0.1228
222221_x_at	EHD1	EH-domain containing 1	292.2	472	-1.6	-4.2	0.0017	0.1228
216679_at	---	---	100.3	62.5	1.6	4.4	0.0017	0.123
210282_at	ZNF198	zinc finger protein 198	134.7	62.6	2.2	4.6	0.0017	0.1246
203837_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5	779.8	525.9	1.5	4.6	0.0017	0.1246
220616_at	---	---	36.7	64.9	-1.8	-3.3	0.0018	0.1292
209589_s_at	EPHB2	EPH receptor B2	18.7	73.3	-3.9	-4.6	0.0018	0.1294
200684_s_at	UBE2L3	ubiquitin-conjugating enzyme E2L 3	455.8	662.8	-1.5	-4.3	0.0018	0.13
201664_at	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	3888.9	1661.5	2.3	5.5	0.0018	0.13
204461_x_at	RAD1	RAD1 homolog (S. pombe)	647.9	402.6	1.6	4.8	0.0019	0.1303
222338_x_at	---	---	685.3	619.7	1.1	3.4	0.0019	0.1303
212028_at	RBM25	RNA binding motif protein 25	1005.8	682.2	1.5	4.4	0.0019	0.1308
202297_s_at	RER1	RER1 homolog (S. cerevisiae)	861.8	699.5	1.2	4.1	0.0019	0.1315
202212_at	PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)	405.7	571.2	-1.4	-3.9	0.0019	0.1327
205490_x_at	GJB3	gap junction protein, beta 3, 31kDa (connexin 31)	68.4	141.7	-2.1	-3.9	0.0019	0.1327
207734_at	LAX	hypothetical protein FLJ20340	236.8	446.7	-1.9	-4.8	0.0019	0.1327
212541_at	PP591	FAD-synthetase	295.9	471.7	-1.6	-4.9	0.0019	0.1327
220572_at	---	---	112.9	78.3	1.4	4	0.0019	0.1327
217778_at	SLC39A1	solute carrier family 39 (zinc transporter), member 1	301.5	191.3	1.6	4.2	0.002	0.1331
215966_x_at	---	---	165.8	141.5	1.2	3.5	0.002	0.1338
218456_at	C1QDC1	C1q domain containing 1	899.1	369.4	2.4	5	0.002	0.1338
218532_s_at	FLJ20152	hypothetical protein FLJ20152	53.4	178.5	-3.3	-4.5	0.002	0.1338
208805_at	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	3668.2	4705.9	-1.3	-4	0.002	0.1347
216330_s_at	POU6F1	POU domain, class 6, transcription factor 1	51.8	137.6	-2.7	-4.3	0.0021	0.1372
37005_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	432.8	670.5	-1.5	-3.9	0.0021	0.1379
209479_at	C6orf80	chromosome 6 open reading frame 80	1233.2	927.8	1.3	4.7	0.0021	0.1382
213223_at	RPL28	ribosomal protein L28	644.1	899.5	-1.4	-4.1	0.0021	0.1382
205255_x_at	TCF7	transcription factor 7 (T-cell specific, HMG-box)	853.4	1312.8	-1.5	-4.2	0.0021	0.1386
220154_at	DST	dystonin	81.8	58.3	1.4	3.9	0.0021	0.1395
206669_at	GAD1	glutamate decarboxylase 1 (brain, 67kDa)	17.5	63.8	-3.7	-3.7	0.0021	0.1396
212314_at	KIAA0746	KIAA0746 protein	920.5	745.3	1.2	3.8	0.0021	0.1396
206289_at	HOXA4	homeo box A4	381.5	211.4	1.8	4.3	0.0022	0.1399
212756_s_at	C6orf133	chromosome 6 open reading frame 133	686.5	582.7	1.2	4.1	0.0022	0.1401
218695_at	EXOSC4	exosome component 4	434	300.8	1.4	3.9	0.0022	0.1401
218223_s_at	CKIP-1	CK2 interacting protein 1; HQ0024c protein	424.4	938.9	-2.2	-4.1	0.0022	0.1405
208196_x_at	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	198.2	162.4	1.2	3.6	0.0022	0.1411
218495_at	UXT	ubiquitously-expressed transcript	2509.9	3469.8	-1.4	-4.6	0.0022	0.1411
218404_at	SNX10	sorting nexin 10	601.1	454.4	1.3	3.7	0.0022	0.1414
205395_s_at	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	388.2	230.6	1.7	4.3	0.0022	0.1425
209990_s_at	GPR51	G protein-coupled receptor 51	94.7	69.8	1.4	3.9	0.0023	0.1425
214564_s_at	PCDHGC3	protocadherin gamma subfamily C, 3	188.2	151.4	1.2	3.7	0.0023	0.1425
221771_s_at	HSMPP8	M-phase phosphoprotein, mpp8	893.9	782.4	1.1	3.4	0.0023	0.1425
204030_s_at	SCHIP1	schwannomin interacting protein 1	1404.5	477.8	2.9	4.7	0.0023	0.1436
201786_s_at	ADAR	adenosine deaminase, RNA-specific	3009.6	3527.4	-1.2	-4.2	0.0023	0.1438
215237_at	DOCK9	dedicator of cytokinesis 9	114.8	67.2	1.7	4.4	0.0023	0.1438
215881_x_at	SSX7	synovial sarcoma, X breakpoint 7	206.6	161.1	1.3	3.7	0.0023	0.1438
209457_at	DUSP5	dual specificity phosphatase 5	266.9	427.9	-1.6	-3.3	0.0024	0.1443
209481_at	SNRK	SNF-1 related kinase	1259.1	1631.4	-1.3	-3.9	0.0023	0.1443
210938_at	IPF1	insulin promoter factor 1, homeodomain transcription factor	19.4	56.6	-2.9	-4	0.0024	0.1443
216877_at	---	---	182.4	137.9	1.3	3.8	0.0023	0.1443
215573_at	CAT	Catalase	159.7	88.7	1.8	4.2	0.0024	0.1446
205714_s_at	ZMYND10	zinc finger, MYND domain containing 10	26.5	51.8	-2	-3.3	0.0024	0.1484
212144_at	UNC84B	unc-84 homolog B (C. elegans)	1109	1504.1	-1.4	-4.3	0.0025	0.1496
201427_s_at	SEPP1	selenoprotein P, plasma, 1	3615.1	718.8	5	4.7	0.0025	0.1496
219598_s_at	RWDD1	RWD domain containing 1	868.5	718.7	1.2	3.8	0.0025	0.1496
214804_at	FSHPRH1	FSH primary response (LRPR1 homolog, rat) 1	209.3	85.3	2.5	4.6	0.0025	0.1496
221064_s_at	C16orf28	chromosome 16 open reading frame 28	318.3	214	1.5	3.9	0.0026	0.1532
212374_at	FEM1B	fem-1 homolog b (C. elegans)	286	216	1.3	3.7	0.0026	0.1539
211840_s_at	PDE4D	phosphodiesterase 4D, cAMP-specific	12.9	44.8	-3.5	-3.7	0.0026	0.154
220512_at	DLC1	deleted in liver cancer 1	106.5	88.2	1.2	3.5	0.0026	0.154
208967_s_at	AK2	adenylate kinase 2	2167.7	1724.4	1.3	3.9	0.0026	0.156
203741_s_at	ADCY7	adenylate cyclase 7	651.8	513	1.3	3.5	0.0027	0.1575
204832_s_at	BMPR1A	bone morphogenetic protein receptor, type IA	71.3	50.5	1.4	3.9	0.0027	0.1575
205154_at	LRRN5	leucine rich repeat neuronal 5	21.2	82.4	-3.9	-4.1	0.0028	0.1575
205804_s_at	T3JAM	TRAF3-interacting Jun N-terminal kinase (JNK)-activating modulator	898.2	665.4	1.3	3.9	0.0028	0.1575
205867_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	75.2	52.6	1.4	4	0.0027	0.1575
206389_s_at	PDE3A	phosphodiesterase 3A, cGMP-inhibited	97.8	60.3	1.6	4.2	0.0027	0.1575
213436_at	CNR1	cannabinoid receptor 1 (brain)	84	63	1.3	3.6	0.0027	0.1575
213623_at	KIF3A	kinesin family member 3A	148.5	105	1.4	4.1	0.0027	0.1575
214255_at	ATP10A	ATPase, Class V, type 10A	60.5	189.6	-3.1	-4	0.0027	0.1575
216476_at	---	Similar to seven transmembrane helix receptor	188.8	185.6	1	3.1	0.0028	0.1575
217371_s_at	IL15	interleukin 15	122.9	51	2.4	4.4	0.0027	0.1575
218480_at	FLJ21839	hypothetical protein FLJ21839	259.5	216.9	1.2	3.4	0.0028	0.1575
219246_s_at	FLJ13491	hypothetical protein FLJ13491	287.4	218	1.3	3.7	0.0027	0.1575
220466_at	FLJ13215	hypothetical protein FLJ13215	289.7	223.2	1.3	3.8	0.0027	0.1575
203747_at	AQP3	aquaporin 3	297.1	160.7	1.8	4.4	0.0028	0.158
202216_x_at	NFYC	nuclear transcription factor Y, gamma	693.3	900.7	-1.3	-4.6	0.0028	0.16
214486_x_at	CFLAR	CASP8 and FADD-like apoptosis regulator	683	552.2	1.2	3.8	0.0029	0.1604
214812_s_at	---	---	1957.5	2465.2	-1.3	-4.2	0.0029	0.1604
209816_at	PTCH	patched homolog (Drosophila)	127.2	115.6	1.1	3.3	0.0029	0.1605
212975_at	KIAA0870	KIAA0870 protein	1006.1	1389.9	-1.4	-4	0.0029	0.1607
201200_at	CREG1	cellular repressor of E1A-stimulated genes 1	3294	2336.8	1.4	4.3	0.0029	0.1616
209248_at	GHITM	growth hormone inducible transmembrane protein	1760.6	1519.4	1.2	3.9	0.0029	0.1616
210969_at	PKN2	protein kinase N2	146.6	103.5	1.4	4.1	0.0029	0.1616
212396_s_at	KIAA0090	KIAA0090 protein	47	160	-3.4	-4.3	0.0029	0.1616
212851_at	KIAA0276	KIAA0276 protein	431	333.3	1.3	3.7	0.0029	0.1616
213899_at	METAP2	methionyl aminopeptidase 2	272.8	176.1	1.5	4.3	0.0029	0.1616
202272_s_at	FBXO28	F-box protein 28	561.9	451.9	1.2	3.5	0.003	0.1616
213648_at	EXOSC7	Exosome component 7	460.6	359.7	1.3	3.6	0.003	0.1632
207504_at	CA7	carbonic anhydrase VII	422.4	330.2	1.3	3.6	0.003	0.1635
208040_s_at	MYBPC3	myosin binding protein C, cardiac	132.8	102.1	1.3	3.8	0.003	0.1635
208604_s_at	HOXA3	homeo box A3 /// homeo box A3	164.4	86.3	1.9	4.3	0.003	0.1635
210437_at	MAGEA9	melanoma antigen, family A, 9	136.6	73.2	1.9	4.2	0.003	0.1641
216710_x_at	ZNF287	zinc finger protein 287	35.5	151.2	-4.3	-4.3	0.0031	0.1667
41577_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	27.2	78.5	-2.9	-3.2	0.0031	0.1676
213123_at	MFAP3	Microfibrillar-associated protein 3	743.2	517	1.4	4.2	0.0031	0.1676
212439_at	---	---	728.4	595.7	1.2	3.6	0.0032	0.1693
212771_at	C10orf38	chromosome 10 open reading frame 38	272.4	565.1	-2.1	-3.2	0.0032	0.1697
216167_at	LRRN5	leucine rich repeat neuronal 5	8.2	28	-3.4	-4	0.0032	0.1697
209346_s_at	PI4KII	phosphatidylinositol 4-kinase type II	40.5	81.8	-2	-3.7	0.0032	0.1698
217963_s_at	NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1	2536	1197.4	2.1	4.3	0.0032	0.1705
205264_at	ASE-1	CD3-epsilon-associated protein; antisense to ERCC-1	351.5	251.5	1.4	3.7	0.0032	0.1708
208716_s_at	LOC54499	putative membrane protein	1677.2	1162.7	1.4	4.3	0.0033	0.1708
208813_at	GOT1	glutamic-oxaloacetic transaminase 1, soluble	515.5	242.1	2.1	4.4	0.0033	0.1708
214390_s_at	BCAT1	branched chain aminotransferase 1, cytosolic	46.2	179.2	-3.9	-3.9	0.0033	0.1712
219454_at	EGFL6	EGF-like-domain, multiple 6	183	144.7	1.3	3.6	0.0033	0.1712
221294_at	GPR21	G protein-coupled receptor 21	275.5	213.9	1.3	3.6	0.0033	0.1712
213863_s_at	OAZ3	Ornithine decarboxylase antizyme 3	12	56.6	-4.7	-4.4	0.0033	0.1727
205695_at	SDS	serine dehydratase	236.8	192.9	1.2	3.6	0.0034	0.1732
210298_x_at	FHL1	four and a half LIM domains 1	59.7	421.5	-7.1	-4.6	0.0034	0.1732
211424_x_at	---	---	305.8	173.5	1.8	4.2	0.0034	0.1732
219203_at	C14orf122	chromosome 14 open reading frame 122	210.7	79.4	2.7	4.5	0.0034	0.1732
221365_at	MLNR	motilin receptor	22.2	79.6	-3.6	-4.6	0.0034	0.1732
204742_s_at	APRIN	androgen-induced proliferation inhibitor	198	142.4	1.4	3.7	0.0034	0.1744
211307_s_at	FCAR	Fc fragment of IgA, receptor for	15.4	108	-7	-3.8	0.0035	0.1756
214339_s_at	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	533.7	750.8	-1.4	-3.9	0.0035	0.1756
220415_at	TNNI3K	TNNI3 interacting kinase	59.5	54.1	1.1	3.4	0.0035	0.1756
200940_s_at	RERE	arginine-glutamic acid dipeptide (RE) repeats	1018.8	1247.9	-1.2	-3.6	0.0036	0.1759
201218_at	CTBP2	C-terminal binding protein 2	804.1	651.1	1.2	3.2	0.0035	0.1759
201828_x_at	CXX1	CAAX box 1	1167.2	936.6	1.2	3.5	0.0035	0.1759
202085_at	TJP2	tight junction protein 2 (zona occludens 2)	276.3	167.9	1.6	3.9	0.0036	0.1759
203740_at	MPHOSPH6	M-phase phosphoprotein 6	741.3	907.2	-1.2	-3.8	0.0035	0.1759
203896_s_at	PLCB4	phospholipase C, beta 4	9.6	50.3	-5.2	-3.7	0.0036	0.1759
205462_s_at	HPCAL1	hippocalcin-like 1	347.8	670.9	-1.9	-3.8	0.0035	0.1759
209368_at	EPHX2	epoxide hydrolase 2, cytoplasmic	21.9	46.6	-2.1	-3.3	0.0036	0.1759
214747_at	---	---	219	146.3	1.5	3.7	0.0036	0.1759
215064_at	SC5DL	Sterol-C5-desaturase-like	121.8	76.7	1.6	3.9	0.0035	0.1759
217517_x_at	SRPK2	SFRS protein kinase 2	198.7	111.7	1.8	4.2	0.0036	0.1759
219376_at	ZNF322B	zinc finger protein 322B	261.5	163.4	1.6	3.9	0.0036	0.1759
221296_at	TECTA	tectorin alpha	125	91.1	1.4	3.6	0.0035	0.1759
221830_at	RAP2A	RAP2A, member of RAS oncogene family	648.8	578.1	1.1	3.1	0.0036	0.1759
221887_s_at	DFNB31	deafness, autosomal recessive 31	36.4	102.8	-2.8	-3.9	0.0036	0.1759
208442_s_at	ATM	ataxia telangiectasia mutated	367.4	295.2	1.2	3.4	0.0036	0.1767
212823_s_at	KIAA0599	KIAA0599	41.4	224.5	-5.4	-4.2	0.0037	0.1767
217353_at	HNRPA1	heterogeneous nuclear ribonucleoprotein A1	153.6	125.8	1.2	3.4	0.0036	0.1767
205990_s_at	WNT5A	wingless-type MMTV integration site family, member 5A	95.5	52	1.8	4.1	0.0037	0.1768
218711_s_at	SDPR	serum deprivation response	327.8	185	1.8	4.3	0.0037	0.1768
219340_s_at	CLN8	ceroid-lipofuscinosis, neuronal 8	216.1	158.2	1.4	3.6	0.0037	0.1768
201625_s_at	INSIG1	insulin induced gene 1	479	386.5	1.2	3.7	0.0037	0.1771
205967_at	HIST1H4C	histone 1, H4c	2533.3	1338.7	1.9	4.3	0.0037	0.1771
207414_s_at	PCSK6	proprotein convertase subtilisin/kexin type 6	23.8	70.9	-3	-3.6	0.0037	0.1771
208996_s_at	POLR2C	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	917.9	751.2	1.2	4.1	0.0038	0.1789
209582_s_at	CD200	CD200 antigen	106.2	398.4	-3.8	-4.5	0.0038	0.1791
212750_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	27.8	121.3	-4.4	-4.2	0.0038	0.1791
203963_at	CA12	carbonic anhydrase XII	166.4	140.5	1.2	3.3	0.0038	0.1797
206837_at	CART1	cartilage paired-class homeoprotein 1	44.8	37.9	1.2	3.7	0.0039	0.1812
214457_at	HOXA2	homeo box A2	120.4	38.6	3.1	4.5	0.0039	0.1821
207108_s_at	NIPBL	Nipped-B homolog (Drosophila)	445.2	373.1	1.2	3.6	0.0039	0.1821
211075_s_at	CD47	CD47 antigen	3102.3	2437.4	1.3	3.9	0.0039	0.1821
207616_s_at	TANK	TRAF family member-associated NFKB activator	2136.2	1508.6	1.4	4.4	0.0039	0.1833
207392_x_at	UGT2B15	UDP glycosyltransferase 2 family, polypeptide B15	181.6	124.7	1.5	3.7	0.0039	0.1833
209931_s_at	FKBP1B	FK506 binding protein 1B, 12.6 kDa	211.4	123.4	1.7	4	0.004	0.1871
216872_at	HR44	Hr44 antigen	102.1	54.3	1.9	4	0.0041	0.1874
33494_at	ETFDH	electron-transferring-flavoprotein dehydrogenase	185.4	148.1	1.3	3.5	0.0041	0.1885
202566_s_at	SVIL	supervillin	199.9	347	-1.7	-3.8	0.0041	0.1885
204072_s_at	13CDNA73	hypothetical protein CG003	879.4	687.9	1.3	3.4	0.0041	0.1885
205171_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	493.3	341.7	1.4	3.7	0.0041	0.1885
221702_s_at	BLP2	BBP-like protein 2	1176.7	942.9	1.2	4	0.0041	0.1885
221930_at	---	---	152.2	124	1.2	3.4	0.0041	0.1891
220226_at	TRPM8	transient receptor potential cation channel, subfamily M, member 8	171.3	120.4	1.4	3.7	0.0042	0.1894
200792_at	G22P1	thyroid autoantigen 70kDa (Ku antigen)	4504.2	5352.9	-1.2	-3.2	0.0042	0.1903
204086_at	PRAME	preferentially expressed antigen in melanoma	180.5	888.5	-4.9	-3.6	0.0043	0.1942
204295_at	SURF1	surfeit 1	1129.4	1336.8	-1.2	-3.5	0.0043	0.1942
222324_at	---	---	33.6	117	-3.5	-4.3	0.0043	0.1942
204998_s_at	ATF5	activating transcription factor 5	421.8	280.1	1.5	4	0.0043	0.1942
205942_s_at	SAH	SA hypertension-associated homolog (rat)	325.6	267.5	1.2	3.4	0.0043	0.1942
217853_at	TENS1	tensin-like SH2 domain containing 1	877.7	816.2	1.1	3.1	0.0043	0.1942
202377_at	OBRGRP /// LEPR	leptin receptor gene-related protein	2175.3	1332	1.6	4.5	0.0044	0.1944
213892_s_at	APRT	adenine phosphoribosyltransferase	1010.9	1386.5	-1.4	-3.9	0.0044	0.1948
208126_s_at	CYP2C18	cytochrome P450, family 2, subfamily C, polypeptide 18	236.1	148.5	1.6	3.9	0.0044	0.195
201347_x_at	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	1169.9	1661.9	-1.4	-3.9	0.0044	0.1963
214684_at	MEF2A	MADS box transcription enhancer factor 2, polypeptide A	186.6	284.3	-1.5	-3.3	0.0044	0.1964
209930_s_at	NFE2	nuclear factor (erythroid-derived 2), 45kDa	5528.2	2724.8	2	4.2	0.0045	0.1971
210548_at	CCL23	chemokine (C-C motif) ligand 23	457.4	228.1	2	4	0.0045	0.1971
204260_at	CHGB	chromogranin B (secretogranin 1)	222.1	168.5	1.3	3.5	0.0045	0.1981
209912_s_at	FOXK1	forkhead box K1	277.7	208.2	1.3	3.8	0.0045	0.1983
