Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.12h_Signal	L3.12h_Signal	L4.12h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
208365_s_at	GRK4	0.040002	G protein-coupled receptor kinase 4	protein amino acid phosphorylation	G-protein coupled receptor kinase activity	 	 	 	-1.25	-1.27	-1.1	1.67	1.85	-0.46
208394_x_at	ESM1	0.006535	endothelial cell-specific molecule 1	regulation of cell growth	protein binding	extracellular	 	 	-1.3	-1.23	-1.2	1.88	1.24	0.3
208408_at	PTN	0.039449	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	 	 	 	 	 	-0.17	-1.52	-0.26	0.79	0.91	0.46
208421_at	LOC51047	0.019195	 	 	 	 	 	 	-0.11	-0.62	-0.82	0.23	0.83	0.49
208422_at	MSR1	0.022323	macrophage scavenger receptor 1	receptor mediated endocytosis	receptor activity	integral to plasma membrane	 	 	-1.03	-0.68	-1.06	1.74	0.19	0.56
208467_at	KLF12	0.043713	Kruppel-like factor 12	regulation of transcription from Pol II promoter	transcription factor activity	nucleus	 	 	-0.9	-1	-0.9	1.93	0.32	0.06
208524_at	GPR15	0.036079	G protein-coupled receptor 15	G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity	integral to plasma membrane	 	 	-1.39	-1.19	0.15	1.25	0.92	0.42
208563_x_at	POU3F3	0.024545	POU domain, class 3, transcription factor 3	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-1.49	-0.56	-1.24	1.05	0.07	1.9
208586_s_at	SSX4	0.041166	synovial sarcoma, X breakpoint 4	regulation of transcription, DNA-dependent	nucleic acid binding	intracellular	 	 	-0.86	-1.17	-0.04	0.54	0.22	1.29
208748_s_at	FLOT1	0.042555	flotillin 1	 	 	caveola	 	 	-1.17	0.18	-1.44	1.37	0.74	0.46
208916_at	SLC1A5	0.042919	solute carrier family 1 (neutral amino acid transporter), member 5	transport	receptor activity	membrane fraction	 	 	-0.85	-0.83	-0.82	0.73	-0.2	1.65
208947_s_at	RENT1	0.037237	regulator of nonsense transcripts 1	mRNA catabolism, nonsense-mediated	RNA binding	cytoplasm	 	 	-0.39	-0.72	0.04	0.27	0.28	0.53
208974_x_at	KPNB1	0.03079	karyopherin (importin) beta 1	protein-nucleus import, docking	nuclear localization sequence binding	nucleus	 	 	-0.49	-0.19	-0.49	0.02	0.36	0.77
209010_s_at	TRIO	0.005934	triple functional domain (PTPRF interacting)	 	 	 	 	 	-1.14	-1.11	-1.11	0.78	0.5	1.82
209024_s_at	SYNCRIP	0.001703	synaptotagmin binding, cytoplasmic RNA interacting protein	nuclear mRNA splicing, via spliceosome	RNA binding	nucleus	 	 	-0.94	-0.76	-0.54	0.62	0.54	1.06
209025_s_at	SYNCRIP	0.01419	synaptotagmin binding, cytoplasmic RNA interacting protein	nuclear mRNA splicing, via spliceosome	RNA binding	nucleus	 	 	-0.7	-1.36	-0.95	0.11	1.21	1.52
209041_s_at	UBE2G2	0.041844	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	ubiquitin cycle	ubiquitin conjugating enzyme activity	 	Ubiquitin mediated proteolysis	GENMAPP/KEGG	-0.1	-0.92	-0.57	0.46	0.1	1.01
209109_s_at	TM4SF6	0.011643	transmembrane 4 superfamily member 6	cell motility	signal transducer activity	integral to membrane	 	 	-0.46	-1.3	-1.32	1.71	0.69	0.58
209111_at	RNF5	0.042943	ring finger protein 5	 	protein binding	 	 	 	-0.56	-0.44	0	0.25	0.62	0.13
209127_s_at	SART3	0.04194	squamous cell carcinoma antigen recognised by T cells 3	RNA processing	rrm;nucleic acid binding;2.7e-15	intracellular	 	 	-0.59	-0.54	-0.29	0.06	0.25	1.04
209247_s_at	ABCF2	0.040537	ATP-binding cassette, sub-family F (GCN20), member 2	DNA replication	nucleotide binding	mitochondrial membrane	 	 	-0.55	-0.67	0.09	0.57	0.23	0.35
209258_s_at	CSPG6	0.022514	chondroitin sulfate proteoglycan 6 (bamacan)	DNA repair	microtubule motor activity	spindle pole	 	 	-0.68	-0.41	-0.16	0.71	0.11	0.42
209309_at	AZGP1	0.020141	alpha-2-glycoprotein 1, zinc	immune response	 	integral to membrane	 	 	-0.98	-0.98	-0.68	0.73	0.09	1.6
209433_s_at	PPAT	0.040622	phosphoribosyl pyrophosphate amidotransferase	purine nucleotide biosynthesis	magnesium ion binding	 	Purine metabolism	GENMAPP/KEGG	-0.54	-1.29	-0.35	0.21	1.45	0.43
209563_x_at	CALM1	0.018539	calmodulin 1 (phosphorylase kinase, delta)	 	efhand;calcium ion binding;1.7e-09	 	G13_Signaling_Pathway	GENMAPP/KEGG	-0.89	-0.27	-0.42	0.2	0.89	0.49
209608_s_at	ACAT2	0.017848	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	lipid metabolism	2.3.1.16;acetyl-CoA C-acyltransferase activity;4.15e-136	cytoplasm	 	 	-0.6	-0.54	-1.05	0.05	0.96	1.11
209783_at	DBP	0.022361	D site of albumin promoter (albumin D-box) binding protein	regulation of transcription from Pol II promoter	DNA binding	nucleus	 	 	-1.33	-0.28	-0.85	1.37	0.23	0.83
209853_s_at	PSME3	0.044756	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	 	proteasome activator activity	proteasome complex (sensu Eukarya)	 	 	-0.91	-0.32	-0.45	0.03	0.41	1.17
209895_at	PTPN11	0.022926	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	protein amino acid dephosphorylation	non-membrane spanning protein tyrosine phosphatase activity	 	 	 	-0.79	-0.44	-0.61	1.01	-0.04	0.8
209955_s_at	FAP	0.010162	fibroblast activation protein, alpha	proteolysis and peptidolysis	catalytic activity	membrane	 	 	-1.15	-0.45	-1.34	0.57	1.6	0.7
209978_s_at	PLG	0.040656	plasminogen	proteolysis and peptidolysis	thrombin activity	 	Blood_Clotting_Cascade	GENMAPP/KEGG	-0.86	-1.04	-1.04	1.39	-0.36	1.57
209999_x_at	SOCS1	0.021045	suppressor of cytokine signaling 1	regulation of cell growth	protein kinase inhibitor activity	cytoplasm	 	 	-1.47	-1.32	-0.16	1.65	0.52	0.8
210103_s_at	FOXA2	0.006324	forkhead box A2	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-0.36	-0.73	-0.4	0.22	0.73	0.53
210173_at	PTPRJ	0.035573	protein tyrosine phosphatase, receptor type, J	protein amino acid dephosphorylation	transmembrane receptor protein tyrosine phosphatase activity	integral to plasma membrane	 	 	-1.41	-1.06	-1.08	1.48	1.91	-0.35
210211_s_at	HSPCA	0.029593	heat shock 90kDa protein 1, alpha	protein folding	nucleotide binding	cytosol	 	 	-0.82	-0.29	-0.3	0.59	0.03	0.78
210227_at	DLGAP2	0.012523	discs, large (Drosophila) homolog-associated protein 2	cell-cell signaling	protein binding	neurofilament	 	 	-0.25	-0.53	-1.02	0.28	0.8	0.76
210229_s_at	CSF2	0.048249	colony stimulating factor 2 (granulocyte-macrophage)	cellular defense response	cytokine activity	extracellular space	 	 	-0.66	-0.53	-0.63	1.28	-0.13	0.51
210244_at	CAMP	0.028566	cathelicidin antimicrobial peptide	xenobiotic metabolism	Cathelicidins;antimicrobial peptide activity;4.4e-44	extracellular	 	 	-0.05	-0.24	-0.22	0.01	0.29	0.2
210245_at	ABCC8	0.020535	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	 	ABC_membrane;ATP-binding cassette (ABC) transporter activity;3.9e-47	 	 	 	-0.89	-0.78	0.02	0.59	0.4	0.7
210272_at	CYP2B6	0.035595	cytochrome P450, family 2, subfamily B, polypeptide 6	electron transport	monooxygenase activity	endoplasmic reticulum	Fatty acid metabolism	GENMAPP/KEGG	-1.47	0.26	-1.41	1.26	0.68	0.95
210277_at	AP4S1	0.003966	adaptor-related protein complex 4, sigma 1 subunit	transport	transporter activity	coated pit	 	 	-0.74	-0.39	-0.25	0.57	0.45	0.37
210324_at	C8G	0.009609	complement component 8, gamma polypeptide	transport	transporter activity	membrane attack complex	 	 	-0.7	-0.82	-0.58	0.99	0.94	0.1
210338_s_at	HSPA8	0.012929	heat shock 70kDa protein 8	protein folding	heat shock protein activity	intracellular	Circadian_Exercise	GENMAPP/KEGG	-1.23	-0.85	-1.18	0.26	0.83	1.86
210436_at	CCT8	0.007378	chaperonin containing TCP1, subunit 8 (theta)	protein folding	chaperone activity	cytosol	 	 	-0.32	-1.06	-1.12	0.42	1.11	0.99
210491_at	---	0.001014	PRO2613 mRNA, complete cds	 	 	 	 	 	-0.58	-0.42	-0.56	0.38	0.44	0.74
210496_at	NAG18	0.019675	NAG18 protein	 	 	 	 	 	-0.6	-0.74	-0.34	1.04	0.12	0.46
210500_at	NICE-4	0.032742	NICE-4 protein	 	 	 	 	 	0.08	-1.53	-0.68	0.88	0.72	0.76
210545_at	ITSN2	0.029217	intersectin 2	 	efhand;calcium ion binding;0.00048	 	 	 	-0.09	-0.9	-0.98	0.39	1.19	0.38
210585_s_at	TNPO2	0.016539	transportin 2 (importin 3, karyopherin beta 2b)	protein-nucleus import, docking	protein transporter activity	nucleus	 	 	-0.89	-0.74	-0.48	0.03	1.07	0.94
210593_at	SAT	0.007265	spermidine/spermine N1-acetyltransferase	 	diamine N-acetyltransferase activity	 	Arginine and proline metabolism	GENMAPP/KEGG	-0.57	-0.56	-1.15	1.05	0.91	0.31
210595_at	ZNF235	0.022353	zinc finger protein 235	 	KRAB;nucleic acid binding;2.3e-26	 	 	 	-0.11	-0.58	-0.95	0.32	0.91	0.43
210689_at	CLDN14	0.026994	claudin 14	protein complex assembly	structural molecule activity	tight junction	 	 	-1.49	-1.36	0.06	1.46	0.94	0.55
210850_s_at	ELK1	0.021292	ELK1, member of ETS oncogene family	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	MAPK_Cascade	GENMAPP/KEGG	-0.65	-0.67	-0.08	0.75	0.19	0.45
210861_s_at	WISP3	0.044857	WNT1 inducible signaling pathway protein 3	regulation of cell growth	insulin-like growth factor binding	extracellular	 	 	-1.51	-1.41	-0.79	0.33	0.13	2.41
210880_s_at	EFS	0.029104	embryonal Fyn-associated substrate	cell adhesion	protein binding	cytoplasm	 	 	-1.62	-1.44	-1.61	2.27	-0.41	1.96
210906_x_at	AQP4	0.048312	aquaporin 4	transport	water transporter activity	integral to plasma membrane	 	 	-1.29	-1.19	-1.07	2.15	1.19	-0.46
210925_at	MHC2TA	0.005669	MHC class II transactivator	 	 	 	 	 	-1.65	-1.38	-0.43	0.8	1.59	1.18
211017_s_at	NF2	0.029549	neurofibromin 2 (bilateral acoustic neuroma)	perception of sound	structural molecule activity	cytoskeleton	 	 	-0.31	-1.29	-0.58	0.67	0.19	1.31
211094_s_at	NF1	0.047693	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	RAS protein signal transduction	enzyme inhibitor activity	cytoplasm	 	 	-1.44	-1.47	-0.03	0.94	0.11	1.81
211111_at	MLLT4	0.042257	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	cell adhesion	protein C-terminus binding	intercellular junction	 	 	-0.58	-0.19	-0.37	0.83	0.12	0.16
211140_s_at	CASP2	0.048446	caspase 2, apoptosis-related cysteine protease (neural precursor cell expressed, developmentally down-regulated 2)	proteolysis and peptidolysis	protein binding	intracellular	Apoptosis	GENMAPP/KEGG	-0.86	-0.71	-0.5	0.78	-0.23	1.34
211181_x_at	RUNX1	0.002422	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-1.06	-1.28	-0.39	0.84	0.99	0.97
211319_at	RAE1	0.045179	RAE1 RNA export 1 homolog (S. pombe)	mRNA-nucleus export	RNA binding	nucleus	 	 	-1.18	-0.44	-0.44	1.42	0.11	0.43
211322_s_at	SARDH	0.025048	sarcosine dehydrogenase	electron transport	aminomethyltransferase activity	mitochondrion	 	 	-0.21	-0.46	-0.67	0.73	0.58	0.02
211357_s_at	ALDOB	0.02642	aldolase B, fructose-bisphosphate	 	4.1.2.13;fructose-bisphosphate aldolase activity;5.33e-160	 	Glycolysis / Gluconeogenesis	GENMAPP/KEGG	-0.35	-0.16	-0.63	0.03	0.51	0.6
211359_s_at	OPRM1	0.030517	opioid receptor, mu 1	G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity	integral to membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	-0.37	-0.29	-1.11	0.1	0.88	0.8
211363_s_at	MTAP	0.005706	methylthioadenosine phosphorylase	nucleobase, nucleoside, nucleotide and nucleic acid metabolism	phosphorylase activity	 	 	 	-1.66	-0.36	-0.99	1.13	0.92	1.15
211405_x_at	IFNA8	0.034649	interferon, alpha 8	defense response	hematopoietin/interferon-class (D200-domain) cytokine receptor binding	extracellular	 	 	-0.35	-0.8	0.03	0.39	0.36	0.41
211524_at	NFKB2	0.046081	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-1.35	-0.83	-1.06	0.74	2.11	-0.2
211552_s_at	ALDH4A1	0.001563	aldehyde dehydrogenase 4 family, member A1	proline biosynthesis	1-pyrroline-5-carboxylate dehydrogenase activity	mitochondrial matrix	Glutamate metabolism	GENMAPP/KEGG	-0.28	-0.46	-0.36	0.28	0.52	0.3
211607_x_at	EGFR	0.028714	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	electron transport	receptor activity	endosome	 	 	-0.52	-0.1	-0.47	0.24	0.69	0.14
211620_x_at	RUNX1	0.042337	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-0.85	-0.75	0.11	0.44	0.8	0.29
211730_s_at	POLR2L	0.011052	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa	transcription	DNA-directed RNA polymerase activity	nucleus	Purine metabolism	GENMAPP/KEGG	-0.21	-0.79	-0.47	0.29	0.76	0.42
211784_s_at	SFRS1	0.019422	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	 	rrm;nucleic acid binding;6.1e-21	 	 	 	-0.8	-0.7	-0.44	0.8	0.01	1.07
211839_s_at	CSF1	0.031414	colony stimulating factor 1 (macrophage)	cell proliferation	macrophage colony stimulating factor receptor binding	integral to membrane	 	 	-1.32	-1.47	-1.33	2.36	1.23	-0.27
211843_x_at	CYP3A7	0.007848	cytochrome P450, family 3, subfamily A, polypeptide 7	electron transport	monooxygenase activity	membrane fraction	Fatty acid metabolism	GENMAPP/KEGG	-1.18	-0.53	-1.32	1.6	0.5	0.86
211975_at	ZNF289	0.021933	zinc finger protein 289, ID1 regulated	 	DNA binding	nucleus	 	 	-0.29	-0.19	-0.43	0.52	0.01	0.37
212009_s_at	STIP1	0.010502	stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)	response to stress	 	nucleus	 	 	-0.99	-0.63	-0.64	0.98	0.12	1.08
212035_s_at	EXOC7	0.002486	exocyst complex component 7	intracellular protein transport	protein transporter activity	exocyst	 	 	-0.29	-0.36	-0.33	0.39	0.14	0.45
212037_at	PNN	0.021488	pinin, desmosome associated protein	cell adhesion	structural molecule activity	nucleus	 	 	-0.76	-0.52	-0.51	-0.03	0.99	0.77
212129_at	NIPA2	0.026005	non-imprinted in Prader-Willi/Angelman syndrome 2	superoxide metabolism	copper, zinc superoxide dismutase activity	 	 	 	-0.14	-0.3	-0.29	0.46	0	0.27
212167_s_at	SMARCB1	0.007576	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	chromatin remodeling	 	nuclear chromosome	 	 	-0.37	-0.06	-0.4	0.29	0.29	0.25
212296_at	PSMD14	0.035885	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	ubiquitin-dependent protein catabolism	 	proteasome complex (sensu Eukarya)	 	 	-0.19	-0.31	-0.75	0.12	0.31	0.81
212379_at	GART	0.01399	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	purine nucleotide biosynthesis	catalytic activity	cytoplasm	Purine metabolism	GENMAPP/KEGG	-0.28	-1.28	-0.46	0.61	0.56	0.93
212529_at	FLJ30656	0.043735	hypothetical protein FLJ30656	 	 	 	 	 	0.01	-0.6	-0.46	0.65	0.26	0.15
212627_s_at	EXOSC7	0.03203	exosome component 7	rRNA processing	3-5-exoribonuclease activity	exosome (RNase complex)	 	 	-1.15	0.07	-0.71	0.39	0.67	0.83
212816_s_at	CBS	0.037709	cystathionine-beta-synthase	amino acid metabolism	cystathionine beta-synthase activity	cytoplasm	 	 	-1	-1.54	-1.09	-0.32	1.31	2.08
212819_at	ASB1	0.029068	ankyrin repeat and SOCS box-containing 1	intracellular signaling cascade	 	intracellular	 	 	-0.25	-0.7	-0.27	0.54	0.02	0.65
212834_at	DDX52	0.030255	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	 	RNA binding	nucleus	 	 	-0.3	-0.17	-0.4	0.6	0.18	0.08
212839_s_at	SSA2	0.007995	Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	transcription from Pol III promoter	RNA binding	viral nucleocapsid	 	 	-0.52	-0.44	-0.72	0.67	0.84	0.14
212949_at	BRRN1	0.024925	barren homolog (Drosophila)	cell cycle	 	nucleus	 	 	0.02	-0.75	-0.82	0.55	0.3	0.73
212983_at	HRAS	0.02375	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	regulation of cell cycle	GTPase activity	cytoplasm	G_Protein_Signaling	GENMAPP/KEGG	-0.35	-0.6	-0.43	-0.03	0.58	0.79
212994_at	THOC2	0.035071	THO complex 2	 	 	 	 	 	-0.18	-0.53	-0.31	0.4	0.63	-0.02
213023_at	UTRN	0.005549	utrophin (homologous to dystrophin)	muscle contraction	actin binding	membrane fraction	 	 	-0.71	-0.54	-0.15	0.38	0.5	0.54
213189_at	MINA	0.018005	MYC induced nuclear antigen	 	 	 	 	 	-0.4	-1.02	-0.84	0.58	0.23	1.36
213411_at	ADAM22	0.036114	a disintegrin and metalloproteinase domain 22	proteolysis and peptidolysis	metalloendopeptidase activity	integral to membrane	 	 	-0.99	-1.29	-0.07	0.12	0.93	1.31
213449_at	POP1	0.012729	processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)	tRNA processing	ribonuclease MRP activity	ribonuclease MRP complex	 	 	-0.45	-1.53	-1.44	1.34	0.35	1.68
213466_at	RAB40C	0.01277	RAB40C, member RAS oncogene family	small GTPase mediated signal transduction	GTP binding	 	 	 	-0.43	-0.64	-0.09	0.37	0.54	0.26
213476_x_at	TUBB4	0.003228	tubulin, beta, 4	microtubule-based movement	structural constituent of cytoskeleton	cytoskeleton	Circadian_Exercise	GENMAPP/KEGG	-1.49	-0.86	-1.14	0.86	0.76	1.75
213487_at	MAP2K2	0.032874	mitogen-activated protein kinase kinase 2	protein amino acid phosphorylation	protein serine/threonine kinase activity	extracellular	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-0.38	-1.05	-0.91	-0.03	0.79	1.43
213763_at	HIPK2	0.031354	homeodomain interacting protein kinase 2	protein amino acid phosphorylation	transcription corepressor activity	nucleus	 	 	-0.56	-0.45	-0.13	0.06	0.34	0.73
213776_at	LOC157562	0.026181	hypothetical protein LOC157562	 	 	 	 	 	-0.54	-1.22	-0.25	0.39	0.43	1.19
213821_s_at	IDS	0.015355	iduronate 2-sulfatase (Hunter syndrome)	metabolism	iduronate-2-sulfatase activity	lysosome	Glycosaminoglycan degradation	GENMAPP/KEGG	-0.59	-0.7	-0.1	0.68	0.51	0.21
213835_x_at	GTPBP3	0.034727	GTP binding protein 3 (mitochondrial)	tRNA modification	GTPase activity	 	 	 	-0.15	-0.65	-0.18	0.35	0.55	0.09
213849_s_at	PPP2R2B	0.002721	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform	signal transduction	protein phosphatase type 2A regulator activity	protein phosphatase type 2A complex	Glycogen_Metabolism	GENMAPP/KEGG	-0.85	-0.98	-0.38	0.91	0.82	0.49
213899_at	METAP2	0.031756	methionyl aminopeptidase 2	regulation of translation	methionyl aminopeptidase activity	 	 	 	-0.81	-1.01	-0.58	1.52	-0.07	0.75
214011_s_at	HSPC111	0.027031	hypothetical protein HSPC111	 	 	nucleus	 	 	-0.88	-1.19	-0.69	0.28	0.38	1.79
214026_s_at	SPRED2	0.022618	sprouty-related, EVH1 domain containing 2	development	 	membrane	 	 	-0.26	-1.1	-0.33	0.31	0.55	0.88
214144_at	POLR2D	0.049687	polymerase (RNA) II (DNA directed) polypeptide D	transcription	DNA-directed RNA polymerase activity	nucleus	Purine metabolism	GENMAPP/KEGG	-0.71	-0.36	-0.76	0.25	0.07	1.36
214154_s_at	PKP2	0.046621	plakophilin 2	cell-cell adhesion	structural molecule activity	nucleus	 	 	-1.2	-1.32	-1.16	-0.54	1.98	1.62
214185_at	KHDRBS1	0.002068	KH domain containing, RNA binding, signal transduction associated 1	G1/S transition of mitotic cell cycle	single-stranded DNA binding	 	 	 	-0.22	-0.19	-0.27	0.27	0.11	0.3
214193_s_at	MGC29875	0.032251	hypothetical protein MGC29875	 	 	 	 	 	-0.31	-0.9	-0.38	-0.01	0.77	0.8
214205_x_at	TXNL2	0.006954	thioredoxin-like 2	electron transport	electron transporter activity	 	 	 	-0.53	-0.57	-0.93	0.25	0.71	1.05
214220_s_at	ALMS1	0.012343	Alstrom syndrome 1	 	 	 	 	 	-0.81	-0.37	-1.34	0.86	0.37	1.3
214328_s_at	HSPCA	0.035837	heat shock 90kDa protein 1, alpha	protein folding	nucleotide binding	cytosol	 	 	-1.26	-0.08	-1.21	0.08	1.35	1.11
214342_at	MGC33190	0.005055	hypothetical protein MGC33190	 	 	 	 	 	-1.46	-1.03	-1.45	0.37	1.63	1.71
214371_at	STK22B	0.018722	serine/threonine kinase 22B (spermiogenesis associated)	protein amino acid phosphorylation	protein serine/threonine kinase activity	 	 	 	-0.17	-0.56	-1.14	0.46	0.48	0.98
214381_at	---	0.000837	CDNA clone MGC:87642 IMAGE:5265802, complete cds	 	 	 	 	 	-1.21	-1.11	-1	0.63	1.42	1.19
214398_s_at	IKBKE	0.023768	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon	protein amino acid phosphorylation	protein serine/threonine kinase activity	cytoplasm	Apoptosis	GENMAPP/KEGG	-0.05	-0.57	-1.01	0.48	0.82	0.37
214458_at	TRAF3IP1	0.01564	TNF receptor-associated factor 3 interacting protein 1	 	receptor activity	 	 	 	-0.45	-1.02	-0.88	0.91	1.25	0.1
214495_at	CACNG2	0.00491	calcium channel, voltage-dependent, gamma subunit 2	ion transport	structural molecule activity	membrane fraction	Calcium_Channels	GENMAPP/KEGG	-0.76	-1.44	-1.4	1.84	0.98	0.65
214514_at	MCM3AP	0.038212	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein	DNA replication	DNA binding	nucleus	 	 	-0.38	-0.17	-0.17	-0.03	0.31	0.45
214551_s_at	CD7	0.000127	CD7 antigen (p41)	calcium ion transport	receptor activity	membrane fraction	 	 	-0.61	-0.81	-0.71	0.56	0.76	0.81
214662_at	KIAA0007	0.031049	KIAA0007 protein	 	 	 	 	 	-0.56	-0.58	-0.86	0.87	-0.12	1.15
214789_x_at	SRP46	0.037006	Splicing factor, arginine/serine-rich, 46kD	 	rrm;nucleic acid binding;2e-22	 	 	 	-0.68	-0.58	-0.82	1.46	0.08	0.34
214799_at	NFASC	0.040229	neurofascin	cell adhesion	protein binding	integral to membrane	 	 	-0.28	-0.7	-0.89	0.47	1.27	0.03
214905_at	LOC145899	0.046102	hypothetical protein LOC145899	 	 	 	 	 	-0.59	-1.28	-1.05	-0.33	1.69	1.23
214926_at	SPTAN1	0.037508	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	 	 	 	 	 	-1.16	-1.04	-0.07	0.09	1.28	0.89
214944_at	KIAA0931	0.024892	KIAA0931 protein	 	catalytic activity	 	 	 	-1.08	-0.02	-1.05	0.97	0.94	0.29
214991_s_at	PIGO	0.019607	phosphatidylinositol glycan, class O	GPI anchor biosynthesis	hydrolase activity	endoplasmic reticulum membrane	 	 	-1.56	-0.5	-0.21	0.71	0.79	0.98
215025_at	NTRK3	0.047653	neurotrophic tyrosine kinase, receptor, type 3	protein amino acid phosphorylation	transmembrane receptor protein tyrosine kinase activity	integral to plasma membrane	 	 	-0.5	-0.11	-0.39	0.71	0.28	0
215028_at	SEMA6A	0.015272	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	apoptosis	protein binding	integral to membrane	 	 	-0.68	-0.68	-0.79	1	1.05	0
215039_at	LOC339524	0.025382	hypothetical protein LOC339524	 	 	 	 	 	-0.96	-0.74	-0.98	0.93	-0.08	1.58
215042_at	TXNDC5	0.013046	thioredoxin domain containing 5	electron transport	electron transporter activity	endoplasmic reticulum	 	 	-1.2	-1.06	-0.49	1.1	1.38	0.18
215072_x_at	C10orf137	0.029634	chromosome 10 open reading frame 137	 	 	 	 	 	-1.16	0.1	-1.32	1.16	0.92	0.46
215137_at	KIAA0508	0.028622	KIAA0508 protein	 	 	 	 	 	-0.29	-1.2	-0.3	0.34	0.51	1
215149_at	---	0.04908	Clone 23927 mRNA sequence	 	 	 	 	 	-1.11	-0.82	0.1	0.36	1.11	0.39
215198_s_at	CALD1	0.036854	caldesmon 1	muscle contraction	actin binding	cytoskeleton	 	 	-0.25	-1.53	-0.36	0.63	0.42	1.24
215254_at	DSCR1	0.005087	Down syndrome critical region gene 1	calcium-mediated signaling	 	 	 	 	-1.24	-1.46	-0.96	1.72	0.38	1.37
215340_at	ADCY1	0.041351	adenylate cyclase 1 (brain)	cAMP biosynthesis	magnesium ion binding	integral to membrane	Purine metabolism	GENMAPP/KEGG	-1.18	-1.59	-0.44	1.23	-0.17	1.87
215472_at	PACRG	0.011476	PARK2 co-regulated	 	 	 	 	 	-0.63	-0.78	-1.39	1.06	1.42	0.25
215510_at	ETV2	0.035906	hypothetical protein LOC339321	 	 	 	 	 	-0.3	-0.12	-1.48	0.67	0.66	0.78
215560_x_at	MTRF1L	0.010505	mitochondrial translational release factor 1-like	translational termination	translation release factor activity	 	 	 	-1.11	-1.15	-0.43	0.55	0.58	1.5
215631_s_at	BRMS1	0.009949	breast cancer metastasis suppressor 1	negative regulation of cell cycle	 	 	 	 	-0.05	-0.52	-0.59	0.38	0.44	0.37
215647_at	C13orf10	0.031433	chromosome 13 open reading frame 10	 	nucleic acid binding	 	 	 	-1.43	-1.45	-1.04	1.49	-0.31	2.13
215694_at	SPATA5L1	0.005614	spermatogenesis associated 5-like 1	 	nucleotide binding	 	 	 	-0.65	-0.39	-0.26	0.24	0.43	0.62
215702_s_at	CFTR	0.028995	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)	ion transport	ATP-binding cassette (ABC) transporter activity	membrane fraction	 	 	-0.89	-0.68	-1.04	1.11	1.44	-0.16
215707_s_at	PRNP	0.029025	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	metabolism	 	 	 	 	0.11	-0.79	-0.98	0.64	0.47	0.62
215708_s_at	PRIM2A	0.017403	primase, polypeptide 2A, 58kDa	DNA replication	DNA binding	alpha DNA polymerase:primase complex	DNA_replication	GENMAPP/KEGG	-0.76	-0.11	-0.7	0.42	0.86	0.3
