Gene	Fold Change	Gene Name
WDR22	1.817619784	WD repeat domain 22
HELLS	1.817434357	helicase, lymphoid-specific
ELOVL4	1.815846382	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4
COQ2	1.813142329	coenzyme Q2 homolog, prenyltransferase (yeast)
SUCLG1	1.81108647	succinate-CoA ligase, GDP-forming, alpha subunit
GTF3C3	1.810909091	general transcription factor IIIC, polypeptide 3, 102kDa
RPA1	1.810545601	replication protein A1, 70kDa
CDCA5	1.810243467	cell division cycle associated 5
TMEM32	1.810087703	transmembrane protein 32
MCM4	1.809625385	minichromosome maintenance complex component 4
PDE4B	1.807887953	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce
ASPM	1.807503756	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
FAM64A	1.807364019	family with sequence similarity 64, member A
POLR2L	1.805894816	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa
C6orf151	1.803998302	chromosome 6 open reading frame 151
CYLD	1.803551367	cylindromatosis (turban tumor syndrome)
COX7B	1.803118967	cytochrome c oxidase subunit VIIb
PPFIA3	1.799702769	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3
PPT2	1.799624735	palmitoyl-protein thioesterase 2
AP4B1	1.799095389	adaptor-related protein complex 4, beta 1 subunit
PPP3R1	1.799082786	protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha
PACSIN2	1.798535859	protein kinase C and casein kinase substrate in neurons 2
CCDC75	1.79780039	coiled-coil domain containing 75
FAM54A	1.796879491	family with sequence similarity 54, member A
DNMT3B	1.796176079	DNA (cytosine-5-)-methyltransferase 3 beta
EIF4A1	1.795768782	eukaryotic translation initiation factor 4A, isoform 1
SLC38A4	1.79531204	solute carrier family 38, member 4
VAMP4	1.791307463	vesicle-associated membrane protein 4
LOC203547	1.791272278	hypothetical protein LOC203547
ORC1L	1.790716235	origin recognition complex, subunit 1-like (yeast)
ATP6V0D1	1.790284439	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1
C20orf3	1.789583576	chromosome 20 open reading frame 3
PPHLN1	1.789291374	periphilin 1
CXorf39	1.787758379	chromosome X open reading frame 39
CHMP2B	1.787029984	chromatin modifying protein 2B
RPUSD3	1.786363811	RNA pseudouridylate synthase domain containing 3
PCDHB16	1.785253654	protocadherin beta 16
GBF1	1.781347338	golgi-specific brefeldin A resistance factor 1
E2F7	1.78002203	E2F transcription factor 7
PSMD13	1.779798285	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13
SEC23B	1.779756648	Sec23 homolog B (S. cerevisiae)
CS	1.779458099	citrate synthase
UGDH	1.777838539	UDP-glucose dehydrogenase
PGD	1.777838539	phosphogluconate dehydrogenase
PSMA2	1.775187677	proteasome (prosome, macropain) subunit, alpha type, 2
CEP72	1.773494133	centrosomal protein 72kDa
DEPDC1B	1.772196262	DEP domain containing 1B
PDCD6	1.771947443	programmed cell death 6
QSCN6	1.771884761	QSCN6
RBM8A	1.770778272	RNA binding motif protein 8A
KIAA0101	1.770361679	KIAA0101
PALLD	1.770181902	palladin, cytoskeletal associated protein
NOMO2	1.769901702	NODAL modulator 2
NOMO1	1.769901702	NODAL modulator 1
PIGA	1.769631221	phosphatidylinositol glycan anchor biosynthesis, class A (paroxysmal
CDCA7	1.769341861	cell division cycle associated 7
PDK1	1.766843319	pyruvate dehydrogenase kinase, isozyme 1
C20orf7	1.766744001	chromosome 20 open reading frame 7
EXOSC9	1.766690896	exosome component 9
NSBP1	1.76666452	nucleosomal binding protein 1
PSME2	1.765537494	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)
NDUFV1	1.765403237	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa
PDE4A	1.763850552	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce
NDUFB8	1.763670424	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa
MGC14376	1.761552397	hypothetical protein MGC14376
UBAP2L	1.760259466	ubiquitin associated protein 2-like
ZMYM3	1.75938782	zinc finger, MYM-type 3
FLJ25222	1.75929368	FLJ25222
BTBD5	1.75867796	BTBD5
CDCA2	1.756468715	cell division cycle associated 2
SUB1	1.754715761	SUB1 homolog (S. cerevisiae)
RFC5	1.753800946	replication factor C (activator 1) 5, 36.5kDa
SDHA	1.7529972	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
UROS	1.752384971	uroporphyrinogen III synthase (congenital erythropoietic porphyria)
ACACA	1.751048625	acetyl-Coenzyme A carboxylase alpha
CSTF3	1.749450231	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa
SMC1A	1.748231044	structural maintenance of chromosomes 1A
DDX24	1.748126438	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
CDK5RAP1	1.747368117	CDK5 regulatory subunit associated protein 1
EEA1	1.746061543	early endosome antigen 1
AYTL2	1.74567027	acyltransferase like 2
CALM1	1.74283534	calmodulin 1 (phosphorylase kinase, delta)
2-PDE	1.742450759	2-PDE
MTM1	1.742250725	myotubularin 1
CDC42	1.741808315	cell division cycle 42 (GTP binding protein, 25kDa)
C10orf38	1.740056623	chromosome 10 open reading frame 38
PHF19	1.738436448	PHD finger protein 19
LUC7L2	1.738344071	LUC7-like 2 (S. cerevisiae)
MTCP1	1.737530824	mature T-cell proliferation 1
C12orf48	1.736000499	chromosome 12 open reading frame 48
TUBB	1.734785424	tubulin, beta
HCFC2	1.734208988	host cell factor C2
CYP51A1	1.734031597	cytochrome P450, family 51, subfamily A, polypeptide 1
CNFN	1.733813478	cornifelin
BIRC5	1.733546437	baculoviral IAP repeat-containing 5 (survivin)
COX6B1	1.733525956	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)
ANKRD32	1.733014944	ankyrin repeat domain 32
MSN	1.731747156	moesin
AP1G1	1.731258371	adaptor-related protein complex 1, gamma 1 subunit
ITGB1BP1	1.730253133	integrin beta 1 binding protein 1
ACAD8	1.730130765	acyl-Coenzyme A dehydrogenase family, member 8
APEH	1.729256833	N-acylaminoacyl-peptide hydrolase
C2orf3	1.729232823	chromosome 2 open reading frame 3
HMG4L	1.72808034	HMG4L
hCAP-D3	1.726958083	hCAP-D3
DHCR7	1.726846437	7-dehydrocholesterol reductase
SQLE	1.72654342	squalene epoxidase
C20orf12	1.726461071	chromosome 20 open reading frame 12
VCP	1.724924254	valosin-containing protein
C1orf112	1.724426221	chromosome 1 open reading frame 112
NDUFS7	1.722518967	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme
BNIP3	1.720181698	BCL2/adenovirus E1B 19kDa interacting protein 3
PPARD	1.719233227	peroxisome proliferator-activated receptor delta
GGA2	1.718976632	golgi associated, gamma adaptin ear containing, ARF binding protein
ETFA	1.718651248	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria
VAMP8	1.71833466	vesicle-associated membrane protein 8 (endobrevin)
MKLN1	1.718093979	muskelin 1, intracellular mediator containing kelch motifs
LRRC40	1.71768459	leucine rich repeat containing 40
RNASEH2A	1.71760774	ribonuclease H2, subunit A
TMED5	1.717521665	transmembrane emp24 protein transport domain containing 5
ACOT8	1.716974031	acyl-CoA thioesterase 8
SOX9	1.716968432	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)
EHBP1L1	1.716676166	EH domain binding protein 1-like 1
TPI1	1.716571002	triosephosphate isomerase 1
AS3MT	1.71575985	arsenic (+3 oxidation state) methyltransferase
BUB1B	1.712623262	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
FKBP1A	1.710320698	FK506 binding protein 1A, 12kDa
LSMD1	1.710213658	LSM domain containing 1
SLC6A8	1.71011908	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
HAT1	1.708573778	histone acetyltransferase 1
MRPL4	1.708450463	mitochondrial ribosomal protein L4
FAM62B	1.707802257	family with sequence similarity 62 (C2 domain containing) member B
GPD2	1.706844693	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)
RAD54B	1.704746675	RAD54 homolog B (S. cerevisiae)
SLC37A4	1.704166915	solute carrier family 37 (glucose-6-phosphate transporter), member 4
UBL4A	1.703718895	ubiquitin-like 4A
CASP10	1.703538522	caspase 10, apoptosis-related cysteine peptidase
SMC4	1.703371522	structural maintenance of chromosomes 4
DAP3	1.702680879	death associated protein 3
C14orf130	1.7021762	chromosome 14 open reading frame 130
AK2	1.701378678	adenylate kinase 2
STUB1	1.700949944	STIP1 homology and U-box containing protein 1
TNFAIP8	1.699321391	tumor necrosis factor, alpha-induced protein 8
ALAS1	1.698972403	aminolevulinate, delta-, synthase 1
BOLA3	1.698199904	bolA homolog 3 (E. coli)
KIAA1160	1.698033695	KIAA1160
ARMC8	1.697770912	armadillo repeat containing 8
PSMC6	1.697347763	proteasome (prosome, macropain) 26S subunit, ATPase, 6
USP4	1.69688902	ubiquitin specific peptidase 4 (proto-oncogene)
TAX1BP3	1.696202272	Tax1 (human T-cell leukemia virus type I) binding protein 3
ARD1A	1.696064933	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
MRPL35	1.694527054	mitochondrial ribosomal protein L35
HP1BP3	1.694383011	heterochromatin protein 1, binding protein 3
CDK2	1.693842733	cyclin-dependent kinase 2
BCDO2	1.693842733	beta-carotene dioxygenase 2
CACYBP	1.693311934	calcyclin binding protein
PSD3	1.692679827	pleckstrin and Sec7 domain containing 3
SNAI2	1.692556132	snail homolog 2 (Drosophila)
LOC652826	1.691872741	similar to 26S protease regulatory subunit 6B (MIP224)
PSMC4	1.691872741	proteasome (prosome, macropain) 26S subunit, ATPase, 4
RRBP1	1.69092741	ribosome binding protein 1 homolog 180kDa (dog)
BRP44	1.689844268	brain protein 44
C10orf77	1.689640987	C10orf77
PAPOLA	1.685737679	poly(A) polymerase alpha
S100A10	1.685433261	S100 calcium binding protein A10
TNFSF13	1.684217277	tumor necrosis factor (ligand) superfamily, member 13
TNFSF12-TNFSF13	1.684217277	tumor necrosis factor (ligand) superfamily, member 12-member 13
ATN1	1.68407767	atrophin 1
MTF2	1.683446785	metal response element binding transcription factor 2
EDEM2	1.683251483	ER degradation enhancer, mannosidase alpha-like 2
CFL2	1.682159803	cofilin 2 (muscle)
RFC4	1.68189987	replication factor C (activator 1) 4, 37kDa
OSTF1	1.681337034	osteoclast stimulating factor 1
KIAA0738	1.681027778	KIAA0738 gene product
ZNF449	1.680568021	zinc finger protein 449
ASMTL	1.680201027	acetylserotonin O-methyltransferase-like
LOC650657	1.680201027	LOC650657
SH3BGRL3	1.678978876	SH3 domain binding glutamic acid-rich protein like 3
PEX13	1.678850557	peroxisome biogenesis factor 13
EXOC5	1.676760803	exocyst complex component 5
NDUFB6	1.675439902	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa
ASCC3	1.674168655	activating signal cointegrator 1 complex subunit 3
PDHX	1.674008929	pyruvate dehydrogenase complex, component X
C16orf33	1.673832522	chromosome 16 open reading frame 33
NSF	1.673273751	N-ethylmaleimide-sensitive factor
DDX19A	1.672941248	DEAD (Asp-Glu-Ala-As) box polypeptide 19A
ETFDH	1.67273977	electron-transferring-flavoprotein dehydrogenase
PLAA	1.67246164	phospholipase A2-activating protein
NUP93	1.671974704	nucleoporin 93kDa
TLE3	1.671277353	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
KIF4A	1.671011967	kinesin family member 4A
ZNF555	1.670801703	zinc finger protein 555
WBP11	1.669702231	WW domain binding protein 11
KIF1B	1.669636495	kinesin family member 1B
NEK2	1.669007593	NIMA (never in mitosis gene a)-related kinase 2
FBXL17	1.667734516	F-box and leucine-rich repeat protein 17
CALM3	1.667142042	calmodulin 3 (phosphorylase kinase, delta)
PAICS	1.667091237	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
EXT2	1.665067417	exostoses (multiple) 2
ATP6V1A	1.665018159	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
ACTN1	1.664764093	actinin, alpha 1
CTSL	1.663532478	CTSL
QPRT	1.663025854	quinolinate phosphoribosyltransferase (nicotinate-nucleotide
ATP5J2	1.662325617	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2
PBK	1.661899798	PDZ binding kinase
ZNF588	1.660991994	zinc finger protein 588
FAHD2A	1.660617854	fumarylacetoacetate hydrolase domain containing 2A
CUGBP1	1.659748595	CUG triplet repeat, RNA binding protein 1
TBC1D12	1.65928921	TBC1 domain family, member 12
PPP1R7	1.658827614	protein phosphatase 1, regulatory (inhibitor) subunit 7
XRCC5	1.658624291	X-ray repair complementing defective repair in Chinese hamster cells
RP2	1.65840788	retinitis pigmentosa 2 (X-linked recessive)
RBX1	1.657581001	ring-box 1
RQCD1	1.657112671	RCD1 required for cell differentiation1 homolog (S. pombe)
THOC2	1.65666214	THO complex 2
NOMO3	1.65589527	NODAL modulator 3
ATP2B4	1.65479188	ATPase, Ca++ transporting, plasma membrane 4
MAN1B1	1.654328456	mannosidase, alpha, class 1B, member 1
SLC44A2	1.653979605	solute carrier family 44, member 2
BCAP31	1.653837836	B-cell receptor-associated protein 31
GPI	1.653330003	glucose phosphate isomerase
GSG2	1.652406573	germ cell associated 2 (haspin)
KIAA0350	1.652381494	KIAA0350
ABCB6	1.65161989	ATP-binding cassette, sub-family B (MDR/TAP), member 6
HNRPD	1.651257619	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA
PGM1	1.651212787	phosphoglucomutase 1
SOD1	1.651140604	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1
TIMM17A	1.650998752	translocase of inner mitochondrial membrane 17 homolog A (yeast)
TIAM1	1.650760769	T-cell lymphoma invasion and metastasis 1
NIPBL	1.65005405	Nipped-B homolog (Drosophila)
PFN1	1.649953653	profilin 1
NQO1	1.647940632	NAD(P)H dehydrogenase, quinone 1
ZHX1	1.646824203	zinc fingers and homeoboxes 1
CAPZA1	1.64665995	capping protein (actin filament) muscle Z-line, alpha 1
ARRDC4	1.64528149	arrestin domain containing 4
SCN2B	1.645038636	sodium channel, voltage-gated, type II, beta
ANXA2	1.644797695	annexin A2
EFTUD2	1.643656283	elongation factor Tu GTP binding domain containing 2
PDSS1	1.642858879	prenyl (decaprenyl) diphosphate synthase, subunit 1
NDUFC2	1.642240455	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa
ARF3	1.642230093	ADP-ribosylation factor 3
C6orf79	1.641769129	C6orf79
LOC644215	1.640664285	hypothetical LOC644215
LBR	1.639401829	lamin B receptor
SFRS11	1.638227343	splicing factor, arginine/serine-rich 11
FAM46A	1.636880941	family with sequence similarity 46, member A
ALKBH6	1.63684525	alkB, alkylation repair homolog 6 (E. coli)
HMG1L1	1.635836421	high-mobility group (nonhistone chromosomal) protein 1-like 1
HMGB1	1.635836421	high-mobility group box 1
LOC644380	1.635836421	LOC644380
IMPAD1	1.635086346	inositol monophosphatase domain containing 1
DNMT1	1.634775749	DNA (cytosine-5-)-methyltransferase 1
FLJ32363	1.634646798	FLJ32363
MIRN21	1.633753304	MIRN21
NFX1	1.633275101	nuclear transcription factor, X-box binding 1
CYB561D2	1.632898696	cytochrome b-561 domain containing 2
GLT8D3	1.632408469	glycosyltransferase 8 domain containing 3
CTPS	1.632015361	CTP synthase
AURKA	1.631647426	aurora kinase A
C19orf2	1.630313814	chromosome 19 open reading frame 2
IRAK1	1.629733404	interleukin-1 receptor-associated kinase 1
MKRN1	1.629552709	makorin, ring finger protein, 1
ALS2	1.629508522	amyotrophic lateral sclerosis 2 (juvenile)
TOP2A	1.629147134	topoisomerase (DNA) II alpha 170kDa
UQCRC1	1.628264219	ubiquinol-cytochrome c reductase core protein I
CHEK1	1.628043507	CHK1 checkpoint homolog (S. pombe)
BAIAP2L1	1.627836188	BAI1-associated protein 2-like 1
TRIM68	1.626945786	tripartite motif-containing 68
PPP2R1B	1.626272312	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta
LOC284393	1.625858496	similar to ribosomal protein L10
LOC644039	1.625858496	LOC644039
RPL10	1.625858496	ribosomal protein L10
LOC389342	1.625858496	similar to ribosomal protein L10
LOC285176	1.625858496	similar to ribosomal protein L10
LOC647074	1.625858496	similar to ribosomal protein L10
LOC390364	1.625858496	similar to ribosomal protein L10
HPS5	1.625607078	Hermansky-Pudlak syndrome 5
RAB27A	1.625331416	RAB27A, member RAS oncogene family
LUM	1.624947684	lumican
C1orf106	1.623351109	chromosome 1 open reading frame 106
MED31	1.623298371	mediator of RNA polymerase II transcription, subunit 31 homolog (S.
MAPKAPK2	1.623163112	mitogen-activated protein kinase-activated protein kinase 2
E2F1	1.623128084	E2F transcription factor 1
NAP1L5	1.621653045	nucleosome assembly protein 1-like 5
DNAJC9	1.621627494	DnaJ (Hsp40) homolog, subfamily C, member 9
INTS6	1.62159569	integrator complex subunit 6
SIX1	1.621145374	sine oculis homeobox homolog 1 (Drosophila)
APC	1.621074771	adenomatosis polyposis coli
CXXC4	1.62088714	CXXC finger 4
PSMA4	1.619879032	proteasome (prosome, macropain) subunit, alpha type, 4
HIST1H2BK	1.619555306	histone cluster 1, H2bk
FLJ44342	1.619456095	FLJ44342
NBEAL1	1.618936545	neurobeachin-like 1
B4GALT5	1.618768151	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
LONPL	1.618500137	LONPL
TLE4	1.618353084	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)
C6orf89	1.616794965	chromosome 6 open reading frame 89
LUC7L	1.616699295	LUC7-like (S. cerevisiae)
SUCLA2	1.615612276	succinate-CoA ligase, ADP-forming, beta subunit
KLHL7	1.61560612	kelch-like 7 (Drosophila)
RY1	1.614743308	putative nucleic acid binding protein RY-1
CKAP4	1.614646145	cytoskeleton-associated protein 4
DONSON	1.614359236	downstream neighbor of SON
SDHC	1.612835952	succinate dehydrogenase complex, subunit C, integral membrane
	1.612048388	RP3-473B4.1
GPAA1	1.61132054	glycosylphosphatidylinositol anchor attachment protein 1 homolog
NDUFAF1	1.610853281	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor
VPS45A	1.610063469	VPS45A
NTAN1	1.608071175	N-terminal asparagine amidase
GSR	1.607699818	glutathione reductase
CORO1C	1.607558702	coronin, actin binding protein, 1C
B2M	1.607174312	beta-2-microglobulin
FAM33A	1.606497562	family with sequence similarity 33, member A
TAZ	1.606374838	tafazzin (cardiomyopathy, dilated 3A (X-linked); endocardial
PEBP1	1.605550665	phosphatidylethanolamine binding protein 1
GSS	1.60537299	glutathione synthetase
SCAP2	1.605332256	SCAP2
TMEM1	1.604839343	transmembrane protein 1
SMAD3	1.603975387	SMAD family member 3
UROD	1.603975387	uroporphyrinogen decarboxylase
K-ALPHA-1	1.603735213	K-ALPHA-1
E2F2	1.603491915	E2F transcription factor 2
LIMA1	1.603275768	LIM domain and actin binding 1
WWTR1	1.603205128	WW domain containing transcription regulator 1
CENPJ	1.602107344	centromere protein J
NDUFS3	1.600857837	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme
C9orf32	1.60048	chromosome 9 open reading frame 32
IMMT	1.5995203	inner membrane protein, mitochondrial (mitofilin)
KDELR3	1.599450601	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention
ZNF138	1.598914718	zinc finger protein 138
TMEM97	1.598334788	transmembrane protein 97
DNAJB4	1.597676515	DnaJ (Hsp40) homolog, subfamily B, member 4
AQP3	1.597595474	aquaporin 3 (Gill blood group)
WBSCR22	1.597556987	Williams Beuren syndrome chromosome region 22
RINT1	1.595942494	RAD50 interactor 1
PPP4C	1.595586231	protein phosphatase 4 (formerly X), catalytic subunit
C14orf156	1.595472123	chromosome 14 open reading frame 156
ACTR1A	1.594839952	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
PPIG	1.594684385	peptidylprolyl isomerase G (cyclophilin G)
DDB2	1.593334585	damage-specific DNA binding protein 2, 48kDa
BCLAF1	1.592545277	BCL2-associated transcription factor 1
OPA1	1.592468257	optic atrophy 1 (autosomal dominant)
EI24	1.592372418	etoposide induced 2.4 mRNA
DDX51	1.592330689	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
SLC2A3	1.592315771	solute carrier family 2 (facilitated glucose transporter), member 3
MLLT11	1.591829189	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11
SNRPA	1.591722106	small nuclear ribonucleoprotein polypeptide A
HIRIP3	1.591612317	HIRA interacting protein 3
MRPL16	1.59135106	mitochondrial ribosomal protein L16
PEX3	1.590448331	peroxisomal biogenesis factor 3
DKFZP564C152	1.590410351	DKFZP564C152
ECT2	1.590171535	epithelial cell transforming sequence 2 oncogene
POP1	1.59014769	processing of precursor 1, ribonuclease P/MRP subunit (S.
AGPS	1.588535824	alkylglycerone phosphate synthase
RTTN	1.588315009	rotatin
DSCR1	1.587804943	Down syndrome critical region gene 1
PLK4	1.587689732	polo-like kinase 4 (Drosophila)
ATP5O	1.587360214	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
CENPE	1.587172468	centromere protein E, 312kDa
FUCA1	1.585391811	fucosidase, alpha-L- 1, tissue
UQCRQ	1.584751634	ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa
CKAP2L	1.583983727	cytoskeleton associated protein 2-like
ANKRD46	1.583584449	ankyrin repeat domain 46
WDR39	1.582485324	WDR39
KPNA2	1.581890365	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
LOC643995	1.581890365	LOC643995
GALNT1	1.58178787	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
SLC25A11	1.581329289	solute carrier family 25 (mitochondrial carrier; oxoglutarate
PANK2	1.580718888	pantothenate kinase 2 (Hallervorden-Spatz syndrome)
IDE	1.580680703	insulin-degrading enzyme
LDLR	1.580465448	low density lipoprotein receptor (familial hypercholesterolemia)
FAM50A	1.579573084	family with sequence similarity 50, member A
CPEB4	1.578439361	cytoplasmic polyadenylation element binding protein 4
RTN2	1.578431539	reticulon 2
POMP	1.578223256	proteasome maturation protein
NRD1	1.578152777	nardilysin (N-arginine dibasic convertase)
TOPBP1	1.577504906	topoisomerase (DNA) II binding protein 1
TXNL5	1.577314006	thioredoxin-like 5
NUSAP1	1.577179179	nucleolar and spindle associated protein 1
PSMD7	1.576846748	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34
C15orf24	1.576822943	chromosome 15 open reading frame 24
KIF20A	1.576809343	kinesin family member 20A
SCFD2	1.57651344	sec1 family domain containing 2
ECHS1	1.575475117	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial
CCNB2	1.575437787	cyclin B2
TXNRD1	1.574826645	thioredoxin reductase 1
PITRM1	1.573305123	pitrilysin metallopeptidase 1
SPP1	1.572572954	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early
FYTTD1	1.572394101	forty-two-three domain containing 1
KIAA0090	1.571688501	KIAA0090
RFC1	1.57063858	replication factor C (activator 1) 1, 145kDa
RSPRY1	1.569838946	ring finger and SPRY domain containing 1
KIAA0319L	1.569028262	KIAA0319-like
SEPX1	1.568294543	selenoprotein X, 1
POLR2G	1.568201971	polymerase (RNA) II (DNA directed) polypeptide G
C6orf62	1.568010766	chromosome 6 open reading frame 62
SSRP1	1.567869924	structure specific recognition protein 1
RNASEH1	1.567124806	ribonuclease H1
POLD3	1.56660224	polymerase (DNA-directed), delta 3, accessory subunit
BCCIP	1.566151276	BRCA2 and CDKN1A interacting protein
H2AFX	1.565570249	H2A histone family, member X
GALE	1.565422672	UDP-galactose-4-epimerase
CSE1L	1.564333023	CSE1 chromosome segregation 1-like (yeast)
FIGNL1	1.563891723	fidgetin-like 1
HIST2H2BE	1.563713331	histone cluster 2, H2be
PRKDC	1.563562401	protein kinase, DNA-activated, catalytic polypeptide
THOC3	1.563469898	THO complex 3
DSTN	1.563382335	destrin (actin depolymerizing factor)
SMARCA4	1.562884661	SWI/SNF related, matrix associated, actin dependent regulator of
RBM9	1.562733566	RNA binding motif protein 9
PPM1K	1.561326876	protein phosphatase 1K (PP2C domain containing)
SLC25A13	1.561197175	solute carrier family 25, member 13 (citrin)
RCOR3	1.561114704	REST corepressor 3
VPS33B	1.560757408	vacuolar protein sorting 33 homolog B (yeast)
C18orf24	1.559202784	chromosome 18 open reading frame 24
SIP1	1.558862669	survival of motor neuron protein interacting protein 1
WSB2	1.558694541	WD repeat and SOCS box-containing 2
LRRC59	1.558489412	leucine rich repeat containing 59
SRP14	1.557987735	signal recognition particle 14kDa (homologous Alu RNA binding
SOD2	1.556708549	superoxide dismutase 2, mitochondrial
ANXA6	1.554739968	annexin A6
PLOD1	1.554306019	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1
MRPL52	1.554114472	mitochondrial ribosomal protein L52
EIF5A	1.552931789	eukaryotic translation initiation factor 5A
PSMD11	1.552426202	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11
OXCT1	1.551857469	3-oxoacid CoA transferase 1
DLG3	1.550025426	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)
ANAPC7	1.549664965	anaphase promoting complex subunit 7
PWP2H	1.549223226	PWP2H
PSMC3	1.5490588	proteasome (prosome, macropain) 26S subunit, ATPase, 3
PRDX4	1.549027454	peroxiredoxin 4
RANBP9	1.547521741	RAN binding protein 9
ANP32E	1.547330283	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
GALNT14	1.547305333	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
COPB2	1.546437769	coatomer protein complex, subunit beta 2 (beta prime)
TSR1	1.545930354	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)
PFKP	1.545608485	phosphofructokinase, platelet
MAPKAP1	1.545389729	mitogen-activated protein kinase associated protein 1
COQ3	1.544988354	coenzyme Q3 homolog, methyltransferase (S. cerevisiae)
ABCB10	1.544930869	ATP-binding cassette, sub-family B (MDR/TAP), member 10
EPS15L1	1.543438927	epidermal growth factor receptor pathway substrate 15-like 1
DHX29	1.542093455	DEAH (Asp-Glu-Ala-His) box polypeptide 29
FAM121B	1.541888837	FAM121B
MRPS22	1.540437558	mitochondrial ribosomal protein S22
YBX1	1.540412567	Y box binding protein 1
SLC27A3	1.540174778	solute carrier family 27 (fatty acid transporter), member 3
LDOC1	1.539622039	leucine zipper, down-regulated in cancer 1
C1QBP	1.538199629	complement component 1, q subcomponent binding protein
PI4K2B	1.538017371	phosphatidylinositol 4-kinase type 2 beta
C12orf5	1.537938635	chromosome 12 open reading frame 5
ATP5G3	1.537889341	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3
ALDH9A1	1.537529652	aldehyde dehydrogenase 9 family, member A1
USP46	1.536538567	ubiquitin specific peptidase 46
RFC3	1.536480642	replication factor C (activator 1) 3, 38kDa
NDUFA12	1.535801957	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12
LARS2	1.535484108	leucyl-tRNA synthetase 2, mitochondrial
LDB1	1.535397656	LIM domain binding 1
ALMS1	1.534759054	Alstrom syndrome 1
STIL	1.533910959	SCL/TAL1 interrupting locus
WDHD1	1.533703562	WD repeat and HMG-box DNA binding protein 1
ATPBD1C	1.533603671	ATP binding domain 1 family, member C
SESN1	1.532618544	sestrin 1
CNP	1.532446809	2,3-cyclic nucleotide 3 phosphodiesterase
CCT7	1.532161632	chaperonin containing TCP1, subunit 7 (eta)
PHTF1	1.531571926	putative homeodomain transcription factor 1
MDH2	1.530822149	malate dehydrogenase 2, NAD (mitochondrial)
CD320	1.530750099	CD320 molecule
NFS1	1.530696697	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)
