ProbeSet	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	N2.C_Signal	N3.C_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
207646_s_at	CDY1	0.047671	chromodomain protein, Y-linked, 1	chromatin assembly or disassembly	chromatin binding	chromatin			-0.79	-1.57	1.57	0.16	0.65
207701_at	C22orf24	0.013614	chromosome 22 open reading frame 24						-0.5	-0.68	0.39	0.16	0.64
207759_s_at	DISC1	0.024918	disrupted in schizophrenia 1						-1.4	-0.82	1.36	0.44	0.47
207779_at	---	0.02991							-0.47	-0.45	0.45	0	0.47
207854_at	GYPE	0.011946	glycophorin E			integral to plasma membrane			-1.28	-1.54	1.06	0.37	1.5
207958_at	UGT2A1	0.030367	UDP glycosyltransferase 2 family, polypeptide A1	perception of smell	glucuronosyltransferase activity	microsome			-0.65	-0.43	0.22	0.7	0.17
208027_s_at	TLL2	0.000461	tolloid-like 2	proteolysis and peptidolysis	calcium ion binding				-1.32	-1.15	1.01	0.9	0.73
208134_x_at	PSG2	0.015217							-0.55	-0.4	0.1	0.37	0.49
208205_at	PCDHA9	0.001754	protocadherin alpha 9	cell adhesion	calcium ion binding	integral to membrane			-0.41	-0.34	0.33	0.22	0.2
208220_x_at	AMELY	0.01996	amelogenin, Y-linked	development	extracellular matrix structural constituent	extracellular matrix (sensu Metazoa)			-0.76	-1.25	0.2	0.83	1.04
208228_s_at	FGFR2	0.041706	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	protein amino acid phosphorylation	protein serine/threonine kinase activity	integral to membrane			-0.32	-0.88	0.29	0.22	0.73
208297_s_at	EVI5	0.033235	ecotropic viral integration site 5	development	protein binding				-0.38	-0.67	0.43	0.04	0.58
208304_at	CCR3	0.020116	chemokine (C-C motif) receptor 3	chemotaxis	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	-0.75	-0.54	0.78	0.27	0.25
208334_at	NDST4	0.014249	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4		sulfotransferase activity				-1.33	-0.88	0.28	1.1	0.92
208398_s_at	TBPL1	0.036959	TBP-like 1						-0.68	-1.11	0.75	0.03	1.03
208408_at	PTN	0.007204							-0.72	-1.2	0.74	0.86	0.41
208416_s_at	SPTB	0.049295	spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)		actin binding	membrane fraction			-1.69	-1.58	1.41	-0.22	1.93
208456_s_at	RRAS2	0.001119	related RAS viral (r-ras) oncogene homolog 2						-1.63	-1.49	1.46	0.95	1
208463_at	GABRA4	0.003014	gamma-aminobutyric acid (GABA) A receptor, alpha 4	ion transport	GABA-A receptor activity	integral to plasma membrane			-1.47	-1.2	1.23	0.61	1.01
208475_at	FLJ10210	0.025913	FERM domain containing 4A		cytoskeletal protein binding	cytoskeleton			-1.15	-0.91	0.49	1.31	0.26
208562_s_at	ABCC9	0.01285	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	transport	nucleotide binding	integral to membrane			-0.86	-0.59	0.62	0.67	0.18
208711_s_at	CCND1	0.042761	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	regulation of cell cycle		nucleus	Wnt_signaling	GENMAPP/KEGG	-1.03	-1.53	1.33	-0.08	1.32
208761_s_at	SUMO1	0.003097	SMT3 suppressor of mif two 3 homolog 1 (yeast)	DNA repair	ubiquitin conjugating enzyme activity	nucleus	Circadian_Exercise	GENMAPP/KEGG	-0.64	-0.38	0.37	0.31	0.36
208766_s_at	HNRPR	0.014567	heterogeneous nuclear ribonucleoprotein R	mRNA processing	RNA binding	heterogeneous nuclear ribonucleoprotein complex			-0.79	-1.15	1.11	0.42	0.45
208835_s_at	LUC7A	0.043688	cisplatin resistance-associated overexpressed protein	apoptosis		nucleus			-1.12	-0.28	0.63	0.62	0.23
208858_s_at	MBC2	0.017942	likely ortholog of mouse membrane bound C2 domain containing protein						-1.38	-1.04	1.38	0.28	0.81
208900_s_at	TOP1	0.03607	topoisomerase (DNA) I	DNA topological change	DNA binding				-0.52	-1.2	0.78	0.89	0.12
208974_x_at	KPNB1	0.040495	karyopherin (importin) beta 1	protein-nucleus import, docking	nuclear localization sequence binding	nucleus			-0.6	-0.51	0.02	0.35	0.73
208999_at	8-Sep	0.010993	septin 8						-1.28	-1.56	1.19	0.36	1.42
209049_s_at	PRKCBP1	0.048119	protein kinase C binding protein 1	regulation of transcription, DNA-dependent	DNA binding				-0.33	-1.42	1	0.52	0.4
209058_at	EDF1	0.037496							-0.39	-0.11	0.1	0.22	0.19
209109_s_at	TM4SF6	0.045265	transmembrane 4 superfamily member 6	cell motility	signal transducer activity	integral to membrane			-1.48	-0.73	1.49	0.43	0.31
209147_s_at	PPAP2A	0.015731	phosphatidic acid phosphatase type 2A	protein kinase C activation	phosphatidate phosphatase activity	membrane fraction	Glycerolipid metabolism	GENMAPP/KEGG	-2.25	-2.38	2.66	0.55	1.58
209148_at	RXRB	0.046405	retinoid X receptor, beta	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Nuclear_Receptors	GENMAPP/KEGG	-0.16	-0.64	0.22	0.42	0.17
209172_s_at	CENPF	0.025553	centromere protein F, 350/400ka (mitosin)	DNA replication and chromosome cycle		kinetochore			-0.9	-0.87	0.35	0.28	1.13
209218_at	SQLE	0.010169	squalene epoxidase	electron transport	squalene monooxygenase activity	microsome	Sterols biosynthesis	GENMAPP/KEGG	-1.06	-1.19	1.25	0.67	0.4
209257_s_at	CSPG6	0.033028	chondroitin sulfate proteoglycan 6 (bamacan)	DNA repair	microtubule motor activity	spindle pole			-0.85	-1.45	1.32	0.1	0.94
209258_s_at	CSPG6	0.041966	chondroitin sulfate proteoglycan 6 (bamacan)	DNA repair	microtubule motor activity	spindle pole			-0.34	-0.92	0.73	0.12	0.45
209283_at	CRYAB	0.016106	crystallin, alpha B	protein folding	structural constituent of eye lens	nucleus			-1.4	-1.45	0.23	1.44	1.25
209284_s_at	RAP140	0.038957	retinoblastoma-associated protein 140						-0.94	-0.36	0.12	0.51	0.71
209384_at	PROSC	0.013317	proline synthetase co-transcribed homolog (bacterial)		alanine racemase activity	cytoplasm			-0.26	-0.4	0.08	0.29	0.29
209399_at	HLCS	0.015014	holocarboxylase synthetase (biotin-[proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	protein modification	biotin-[acetyl-CoA-carboxylase] ligase activity		Biotin metabolism	GENMAPP/KEGG	-0.34	-0.6	0.47	0.33	0.14
209415_at	FZR1	0.016191	fizzy/cell division cycle 20 related 1 (Drosophila)	cell cycle					-0.63	-1.59	0.99	0.57	0.9
209492_x_at	ATP5I	0.008381	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e	ATP synthesis coupled proton transport	hydrogen-transporting ATP synthase activity, rotational mechanism	proton-transporting two-sector ATPase complex	Electron_Transport_Chain	GENMAPP/KEGG	-1.05	-0.81	0.62	0.96	0.33
209520_s_at	NCBP1	0.014349	nuclear cap binding protein subunit 1, 80kDa	mRNA processing	RNA cap binding	nucleoplasm			-0.9	-0.73	0.73	0.15	0.78
209608_s_at	ACAT2	0.033496	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)						-0.95	-0.91	-0.02	0.86	1.01
209625_at	PIGH	0.011071	phosphatidylinositol glycan, class H	protein modification	transferase activity, transferring glycosyl groups	endoplasmic reticulum			-0.84	-0.59	0.31	0.36	0.78
209627_s_at	OSBPL3	0.047657	oxysterol binding protein-like 3	lipid transport	nucleic acid binding				-0.76	-0.99	1.23	0.14	0.33
209639_s_at	RGS12	0.002667	regulator of G-protein signalling 12	signal transduction	receptor signaling protein activity	condensed nuclear chromosome			-1.41	-1.45	1.17	0.62	1.28
209664_x_at	NFATC1	0.033283	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-1.07	-1.19	1.13	1.16	-0.02
209736_at	SOX13	0.000944	SRY (sex determining region Y)-box 13	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-1.58	-1.46	1.22	1.29	0.81
209855_s_at	KLK2	0.004348	kallikrein 2, prostatic	proteolysis and peptidolysis	chymotrypsin activity				-0.22	-0.17	0.13	0.18	0.08
209881_s_at	LAT	0.003051	linker for activation of T cells	immune response	SH3/SH2 adaptor protein activity	integral to membrane			-1.69	-2.19	1.7	0.94	1.74
209963_s_at	EPOR	0.02589	erythropoietin receptor	signal transduction	erythropoietin receptor activity	integral to plasma membrane			-0.52	-0.85	0.4	0.17	0.83
209999_x_at	SOCS1	0.013256	suppressor of cytokine signaling 1	regulation of cell growth	protein kinase inhibitor activity	cytoplasm			-1.35	-1.44	1.62	0.48	0.76
210056_at	RND1	0.037092	Rho family GTPase 1	actin filament organization	GTPase activity	cytoskeleton			-1.59	-1.01	0.01	1.19	1.44
210168_at	C6	0.008658	complement component 6	complement activation, classical pathway		membrane attack complex	Complement_Activation_Classical	GENMAPP/KEGG	-0.6	-0.79	0.2	0.62	0.59
210234_at	GRM4	0.045751	glutamate receptor, metabotropic 4	G-protein coupled receptor protein signaling pathway	metabotropic glutamate, GABA-B-like receptor activity	integral to plasma membrane	GPCRs_Class_C_Metabotropic_glutamate_pheromone	GENMAPP/KEGG	-1.66	-0.27	0.82	0.68	0.76
210245_at	ABCC8	0.016254							-0.35	-0.75	0.39	0.21	0.51
210277_at	AP4S1	0.007343	adaptor-related protein complex 4, sigma 1 subunit	transport	transporter activity	coated pit			-0.66	-1.33	0.82	0.7	0.62
210282_at	ZNF198	0.037489	zinc finger protein 198	regulation of transcription, DNA-dependent	zinc ion binding	nucleus			-1.49	-0.42	0.37	0.98	0.74
210324_at	C8G	0.044578	complement component 8, gamma polypeptide	transport	transporter activity	membrane attack complex			-0.78	-0.72	0.81	0.75	-0.08
210394_x_at	SSX4	0.017809	synovial sarcoma, X breakpoint 4	regulation of transcription, DNA-dependent	nucleic acid binding	intracellular			-0.67	-0.94	0.91	0.19	0.54
210436_at	CCT8	0.024531	chaperonin containing TCP1, subunit 8 (theta)	protein folding	ATP binding	cytosol			-1.41	-0.6	0.29	0.99	0.87
210447_at	GLUD1	0.041919	glutamate dehydrogenase 1	amino acid metabolism	glutamate dehydrogenase [NAD(P)+] activity	mitochondrion	Urea cycle and metabolism of amino groups	GENMAPP/KEGG	-0.68	-1.45	0.91	0.07	1.22
210467_x_at	MAGEA12	0.016086	melanoma antigen, family A, 12						-0.55	-0.99	0.73	0.64	0.21
210491_at	---	0.009368							-0.74	-1.55	0.7	0.75	1.05
210500_at	NICE-4	0.047898							-0.26	-1.73	0.88	0.72	0.76
210567_s_at	SKP2	0.036779	S-phase kinase-associated protein 2 (p45)	regulation of cell cycle			Cell_cycle	GENMAPP/KEGG	-0.59	-0.69	0.67	-0.03	0.64
210593_at	SAT	0.002371	spermidine/spermine N1-acetyltransferase		diamine N-acetyltransferase activity		Arginine and proline metabolism	GENMAPP/KEGG	-1.61	-1.58	1.43	1.31	0.72
210615_at	NRP1	0.00819	neuropilin 1	angiogenesis	receptor activity	membrane fraction			-0.78	-0.78	0.51	0.81	0.25
210680_s_at	MASP1	0.046264					Complement_Activation_Classical	GENMAPP/KEGG	-0.66	-0.48	0.74	0.39	-0.01
210705_s_at	TRIM5	0.029535	tripartite motif-containing 5						-0.68	-1.11	0.18	1.1	0.52
210814_at	TRPC3	0.039404	transient receptor potential cation channel, subfamily C, member 3	cation transport	store-operated calcium channel activity	integral to plasma membrane			-0.38	-1.29	0.9	0.29	0.61
210868_s_at	ELOVL6	0.035513	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)			integral to membrane			-0.59	-1.82	0.59	1.44	0.66
210915_x_at		0.038751							-0.53	-1.21	1.01	0.12	0.67
210946_at	PPAP2A	0.019034	phosphatidic acid phosphatase type 2A	protein kinase C activation	phosphatidate phosphatase activity	membrane fraction	Glycerolipid metabolism	GENMAPP/KEGG	-2.12	-2.33	2.68	1.15	0.62
211005_at	LAT	0.001614	linker for activation of T cells	immune response	SH3/SH2 adaptor protein activity	integral to membrane			-1.57	-2.15	1.58	1.1	1.57
211051_s_at	EXTL3	0.038959	exostoses (multiple)-like 3	cell growth and/or maintenance	transferase activity, transferring glycosyl groups	endoplasmic reticulum			-1.3	-0.53	0.99	0.13	0.79
211054_at	INVS	0.049187	inversin						-0.45	-0.89	0.87	0.05	0.42
211150_s_at	DLAT	0.004102	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	acetyl-CoA biosynthesis	dihydrolipoyllysine-residue acetyltransferase activity	mitochondrion	Glycolysis / Gluconeogenesis	GENMAPP/KEGG	-0.97	-0.86	0.37	0.64	0.87
211241_at	ANXA2P3	0.035153							-1.5	-0.34	0.77	0.73	0.57
211422_at	TRPM3	0.047723	transient receptor potential cation channel, subfamily M, member 3	cation transport	cation channel activity	membrane			-0.4	-0.4	0.41	0.43	-0.05
211641_x_at	IGHM	0.049098	Clone RA702-M3-2.fa immunoglobulin heavy chain mRNA, partial cds	immune response	antigen binding	membrane fraction			-1.24	-0.37	0.95	0.57	0.19
211738_x_at	ELA3A	0.02139	elastase 3A, pancreatic (protease E)	proteolysis and peptidolysis	chymotrypsin activity				-0.56	-0.38	0.37	0.07	0.5
211759_x_at	CKAP1	0.015434	cytoskeleton associated protein 1	protein folding	unfolded protein binding	microtubule cytoskeleton			-0.42	-0.48	0.52	0.26	0.13
211832_s_at	MDM2	0.027877					Apoptosis	GENMAPP/KEGG	-1.37	-0.69	0.17	1.06	0.92
211838_x_at	PCDHA5	0.027144	protocadherin alpha 5	cell adhesion	calcium ion binding	integral to membrane			-1.48	-1	0.1	1.25	1.2
211843_x_at	CYP3A7	0.01731	cytochrome P450, family 3, subfamily A, polypeptide 7	electron transport	monooxygenase activity	membrane fraction	Fatty acid metabolism	GENMAPP/KEGG	-1.47	-1.1	1.51	0.38	0.74
211848_s_at	CEACAM7	0.008517	carcinoembryonic antigen-related cell adhesion molecule 7			plasma membrane			-0.59	-0.31	0.35	0.21	0.35
211855_s_at	SLC25A14	0.011371	solute carrier family 25 (mitochondrial carrier, brain), member 14	transport	carrier activity	mitochondrion	Electron_Transport_Chain	GENMAPP/KEGG	-0.71	-1.07	0.95	0.33	0.55
211861_x_at	CD28	0.02138	CD28 antigen (Tp44)	humoral immune response	protein binding	integral to plasma membrane	Inflammatory_Response_Pathway	GENMAPP/KEGG	-1.16	-1.51	0.16	1.17	1.4
211891_s_at	ARHGEF4	0.007801	Rho guanine nucleotide exchange factor (GEF) 4	intracellular signaling cascade	guanyl-nucleotide exchange factor activity				-0.54	-0.85	0.7	0.37	0.37
212000_at	SFRS14	0.046852	splicing factor, arginine/serine-rich 14	RNA processing	RNA binding	intracellular			-1.47	-1.5	1.53	1.55	-0.2
212089_at	LMNA	0.024607	lamin A/C	muscle development	structural molecule activity	nucleus			-1.27	-1.86	1.45	0.17	1.63
212185_x_at	MT2A	0.047449	metallothionein 2A	copper ion homeostasis	copper ion binding				-1.86	-1.85	2.24	1.47	-0.2
212333_at	DKFZP564F0522	0.047104	DKFZP564F0522 protein						-0.14	-0.72	0.24	0.37	0.27
212338_at	MYO1D	0.013226	myosin ID		motor activity	myosin			-1.38	-1.56	0.83	0.49	1.69
212379_at	GART	0.042172	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	purine nucleotide biosynthesis	catalytic activity	cytoplasm	Purine metabolism	GENMAPP/KEGG	-0.24	-0.77	0.25	0.2	0.58
212711_at	CAMSAP1	0.010449	calmodulin regulated spectrin-associated protein 1						-0.61	-0.6	0.68	0.25	0.29
212900_at	SEC24A	0.003978	SEC24 related gene family, member A (S. cerevisiae)	intracellular protein transport	protein binding	endoplasmic reticulum			-0.7	-1.04	0.4	0.69	0.72
212949_at	BRRN1	0.001804	barren homolog (Drosophila)	mitotic cell cycle		nucleus			-1	-1.23	0.81	0.56	0.98
212994_at	THOC2	0.044007	THO complex 2						-0.71	-0.37	0.42	0.65	0.02
213083_at	SLC35D2	0.022935	solute carrier family 35, member D2		nucleotide-sugar transporter activity				-0.36	-0.74	0.36	0.59	0.17
213096_at	HUCEP11	0.032397	cerebral protein 11			integral to membrane			-0.45	-1.61	0.7	0.54	1.07
213107_at	TNIK	0.007634	TRAF2 and NCK interacting kinase	regulation of translation	protein serine/threonine kinase activity				-0.51	-0.57	0.29	0.23	0.57
213128_s_at	UBE3A	0.007743	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	proteolysis and peptidolysis	ubiquitin conjugating enzyme activity	intracellular			-0.48	-0.78	0.32	0.36	0.62
213149_at	DLAT	0.036538	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	acetyl-CoA biosynthesis	dihydrolipoyllysine-residue acetyltransferase activity	mitochondrion	Glycolysis / Gluconeogenesis	GENMAPP/KEGG	-0.99	-0.69	0.08	0.52	1.07
213157_s_at	KIAA0523	0.011951	KIAA0523 protein		sulfotransferase activity				-0.62	-0.65	0.17	0.69	0.42
213228_at	PDE8B	0.018459	phosphodiesterase 8B	signal transduction	magnesium ion binding		G_Protein_Signaling	GENMAPP/KEGG	-0.56	-1.25	0.56	0.94	0.41
213231_at	DMWD	0.017031	dystrophia myotonica-containing WD repeat motif	meiosis					-1.47	-0.8	0.89	1.18	0.34
213238_at	ATP10D	0.032661	ATPase, Class V, type 10D	cation transport	magnesium ion binding	integral to membrane			-0.53	-1.74	0.98	0.45	1.14
213265_at	PGA5	0.031593	pepsinogen 5, group I (pepsinogen A)	proteolysis and peptidolysis	pepsin A activity				-1.32	-0.57	1.06	0.21	0.71
213303_x_at	ZBTB7	0.038005	zinc finger and BTB domain containing 7						-1.43	-0.68	0.88	1.2	0.11
213387_at	KIAA1240	0.035096	KIAA1240 protein						-0.43	-0.76	0.18	0.76	0.25
213421_x_at	PRSS3	0.002482	protease, serine, 3 (mesotrypsin)	proteolysis and peptidolysis	chymotrypsin activity	extracellular			-0.94	-1.27	0.53	0.89	0.91
213562_s_at	SQLE	0.020824	squalene epoxidase	electron transport	squalene monooxygenase activity	microsome	Sterols biosynthesis	GENMAPP/KEGG	-1.04	-1.05	0.97	0.1	1.05
213577_at	SQLE	0.008404	squalene epoxidase	electron transport	squalene monooxygenase activity	microsome	Sterols biosynthesis	GENMAPP/KEGG	-0.74	-0.7	0.67	0.19	0.6
213662_at	FLJ20152	0.04399	LOC389275						-1.12	-0.54	0.24	1.1	0.33
213735_s_at	COX5B	0.049889	cytochrome c oxidase subunit Vb	electron transport	cytochrome-c oxidase activity	mitochondrial membrane	Oxidative phosphorylation	GENMAPP/KEGG	-0.75	-0.6	-0.09	0.76	0.67
213745_at	ATRNL1	0.020778	attractin-like 1	development	receptor activity	membrane			-1.5	-1.5	0.15	1.5	1.41
213756_s_at	HSF1	0.028366	heat shock transcription factor 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-0.46	-0.33	0.02	0.37	0.4
213795_s_at	PTPRA	0.025538	protein tyrosine phosphatase, receptor type, A	protein amino acid dephosphorylation	transmembrane receptor protein tyrosine phosphatase activity	integral to plasma membrane			-0.43	-0.36	0.4	0.36	0.02
213906_at	MYBL1	0.007216	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	regulation of transcription, DNA-dependent	DNA binding	nucleus			-1.06	-1.1	0.79	0.34	1.08
213919_at	DNAJC4	0.017253							-0.32	-0.61	0.14	0.35	0.45
213983_s_at	KIAA0648	0.006437	SCC-112 protein						-0.68	-0.91	0.33	0.5	0.79
213989_x_at	C21orf18	0.046084	chromosome 21 open reading frame 18						-1.41	-0.4	0.21	0.92	0.84
214141_x_at	SFRS7	0.015472	splicing factor, arginine/serine-rich 7, 35kDa	nuclear mRNA splicing, via spliceosome	nucleic acid binding	nucleus			-0.81	-0.83	0.14	0.69	0.83
214174_s_at	RIL	0.048218							-1.14	-1.25	0.42	1.67	0.16
214193_s_at	MGC29875	0.044291	hypothetical protein MGC29875						-1.25	-0.51	0.07	0.87	0.9
214208_at	---	0.041783							-1.28	-0.77	0.07	1.31	0.68
214236_at	CDC27	0.03985	cell division cycle 27	mitotic metaphase/anaphase transition		nucleus			-1.47	-0.4	0.7	0.35	1
214237_x_at	PAWR	0.035224	PRKC, apoptosis, WT1, regulator	negative regulation of transcription from Pol II promoter	transcription corepressor activity	nucleus			-0.71	-1.3	1.3	0.43	0.3
214246_x_at	MINK	0.026731	misshapen/NIK-related kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.37	-0.28	0.25	0.37	0.03
214320_x_at	CYP2A6	0.032076	cytochrome P450, family 2, subfamily A, polypeptide 6	electron transport	coumarin 7-hydroxylase activity	endoplasmic reticulum	Fatty acid metabolism	GENMAPP/KEGG	-1.3	-1.41	1.29	-0.01	1.43
214330_at	ATPAF2	0.002393	ATP synthase mitochondrial F1 complex assembly factor 2						-1.33	-0.82	0.8	0.78	0.72
214338_at	DNAJB12	0.042065	DnaJ (Hsp40) homolog, subfamily B, member 12	protein folding	unfolded protein binding	integral to membrane			-1.48	-1.08	1.11	1.49	-0.06
214345_at	EDIL3	0.00034							-0.95	-1.07	0.62	0.67	0.83
214371_at	STK22B	0.008864	serine/threonine kinase 22B (spermiogenesis associated)	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.76	-1.14	0.48	0.5	1
214381_at	---	0.00289	CDNA clone MGC:87642 IMAGE:5265802, complete cds						-1.53	-1.66	0.7	1.49	1.26
214386_at	HMX1	0.031997							-1.31	-0.65	0.5	0.3	1.21
214425_at	AMBP	0.005267							-0.93	-1.6	1.17	0.85	0.75
214461_at	LBP	0.022818	lipopolysaccharide binding protein	lipid transport	lipid binding	extracellular space			-0.48	-0.18	0.27	0.12	0.27
214491_at	SSTR3	0.011433	somatostatin receptor 3	G-protein signaling, coupled to cyclic nucleotide second messenger	rhodopsin-like receptor activity	integral to plasma membrane			-0.59	-0.45	0.51	0.13	0.41
214495_at	CACNG2	0.015969	calcium channel, voltage-dependent, gamma subunit 2	ion transport	structural molecule activity	membrane fraction	Calcium_Channels	GENMAPP/KEGG	-1.4	-1.41	1.66	0.76	0.42
214514_at	MCM3AP	0.028197	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein	DNA replication	DNA binding	nucleus			-0.62	-0.41	0.05	0.42	0.57
214551_s_at	CD7	0.001326	CD7 antigen (p41)	calcium ion transport	receptor activity	membrane fraction			-0.7	-0.8	0.36	0.57	0.62
214561_at	ILT10	0.040187	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 5						-0.95	-0.33	0.35	0.76	0.21
214647_s_at	HFE	0.028139	hemochromatosis	protein complex assembly	MHC class I receptor activity	cytoplasm			-0.38	-0.17	0.11	0.31	0.13
214682_at	PKD1	0.010475	polycystic kidney disease 1 (autosomal dominant)	homophilic cell adhesion	sugar binding	integral to plasma membrane			-1.38	-0.63	0.65	0.9	0.62
214792_x_at	VAMP2	0.007431	vesicle-associated membrane protein 2 (synaptobrevin 2)						-0.68	-0.79	0.57	0.7	0.22
214829_at	AASS	0.030602	aminoadipate-semialdehyde synthase	electron transport	lysine-ketoglutarate reductase activity	mitochondrion	Lysine biosynthesis	GENMAPP/KEGG	-1.39	-0.61	0.51	1.21	0.38
214851_at	HNF4A	0.004949					Nuclear_Receptors	GENMAPP/KEGG	-1.24	-1.31	1.33	0.63	0.7
214898_x_at	MUC3B	0.037966	mucin 3B						-0.82	-0.87	0.92	0.82	-0.05
214936_at	LRCH1	0.038166	leucine-rich repeats and calponin homology (CH) domain containing 1						-0.89	-0.4	0.42	0.78	0.12
214984_at	LAT1-3TM	0.025506	LAT1-3TM protein						-0.24	-0.71	0.21	0.34	0.42
214991_s_at	PIGO	0.006899	phosphatidylinositol glycan, class O	GPI anchor biosynthesis	hydrolase activity	endoplasmic reticulum membrane			-0.4	-0.54	0.2	0.28	0.47
215095_at	ESD	0.031182	esterase D/formylglutathione hydrolase		serine esterase activity	cytoplasmic vesicle			-0.84	-0.65	0.94	0.46	0.09
215150_at	DKFZp451J1719	0.022285	hypothetical DKFZp451J1719						-0.58	-1.58	1.08	0.51	0.8
215162_at	GARNL1	0.048997	GTPase activating RANGAP domain-like 1						-0.98	-0.71	0.51	0.01	1.14
215198_s_at	CALD1	0.00967	caldesmon 1	muscle contraction	actin binding	cytoskeleton			-1.03	-1.57	0.79	0.57	1.4
215255_at	KIAA1030	0.046544	KIAA1030 protein						-0.49	-1.73	0.79	1.33	0.35
215424_s_at	SKIIP	0.03603	SKI interacting protein	regulation of transcription from Pol II promoter	transcription coactivator activity	nucleus			-0.48	-0.98	0.18	0.39	0.92
215467_x_at	DHX9	0.023343	DEAH (Asp-Glu-Ala-His) box polypeptide 9		DNA binding	nucleus			-0.47	-0.33	0.19	0.49	0.12
215472_at	PACRG	0.045839	PARK2 co-regulated						-0.69	-1.31	0.82	1.2	0.01
215491_at	MYCL1	0.016908	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-0.62	-1.17	0.53	0.97	0.36
215507_x_at	RAB22A	0.000554	RAB22A, member RAS oncogene family	endocytosis	GTPase activity	early endosome			-0.94	-1.2	0.7	0.85	0.71
215510_at	ETV2	0.007211	ets variant gene 2						-1.57	-0.76	0.83	0.81	0.93
215591_at	SATB2	0.036235	SATB family member 2	regulation of transcription, DNA-dependent	DNA binding	nucleus			-0.53	-0.53	-0.02	0.59	0.49
215678_at	---	0.010748							-0.48	-0.8	0.22	0.61	0.47
215725_at	DGCR11	0.035873	DiGeorge syndrome critical region gene 11						-0.55	-1.78	1.34	0.48	0.8
215727_x_at	FLJ20811	0.025073							-1.41	-1.38	0.29	1.74	0.73
215773_x_at	ADPRTL2	0.038034	poly (ADP-ribose) polymerase family, member 2	protein amino acid ADP-ribosylation	DNA binding	nucleus			-0.6	-0.82	0.12	0.33	0.95
215793_at	MTMR7	0.030378	myotubularin related protein 7	protein amino acid dephosphorylation	protein tyrosine phosphatase activity				-0.51	-0.8	0.06	0.52	0.74
215813_s_at	PTGS1	0.025408	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	prostaglandin biosynthesis	peroxidase activity	nucleus	Prostaglandin and leukotriene metabolism	GENMAPP/KEGG	-1.1	-1.52	1.63	0.32	0.69
215839_at	ILT11	0.038933							-0.93	-1.46	0.06	0.85	1.48
215850_s_at	NDUFA5	0.002013	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	electron transport	NADH dehydrogenase activity	mitochondrion	Ubiquinone biosynthesis	GENMAPP/KEGG	-0.71	-0.72	0.55	0.6	0.31
215877_at	C14orf56	0.006175	chromosome 14 open reading frame 56						-0.78	-1.47	0.73	0.73	0.98
215889_at	SKIL	0.025208	SKI-like	cell growth and/or maintenance		nucleus	TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	-1.26	-1.35	1.4	0.08	1.15
215972_at	---	0.045987	Clone 24820 mRNA sequence						-1.02	-1.06	-0.06	1.34	0.75
216023_at	JMJD2B	0.032467	jumonji domain containing 2B						-0.34	-0.49	0.33	0.02	0.48
216067_at	---	0.008223	CDNA FLJ11624 fis, clone HEMBA1004193						-1.47	-0.82	1.08	0.84	0.55
