Probe Set	Gene Symbol	Pearson Correlation Coefficient	P-value
236345_at	TBXAS1	0.54	5.12E-04
212382_at	TCF4	0.56	6.33E-04
216037_x_at	TCF7L2	0.53	6.24E-04
212762_s_at	TCF7L2	0.54	5.16E-04
212761_at	TCF7L2	0.54	4.52E-04
216035_x_at	TCF7L2	0.57	1.94E-04
204158_s_at	TCIRG1	0.58	2.23E-04
204043_at	TCN2	0.53	7.04E-04
200803_s_at	TEGT	0.53	7.59E-04
217853_at	TENS1	0.59	1.65E-04
206715_at	TFEC	0.52	8.72E-04
234942_s_at	THRAP3	0.55	4.26E-04
224560_at	TIMP2	0.57	1.77E-04
231579_s_at	TIMP2	0.59	1.14E-04
204924_at	TLR2	0.61	5.44E-05
224341_x_at	TLR4	0.53	5.66E-04
1552798_a_at	TLR4	0.54	6.84E-04
232068_s_at	TLR4	0.55	3.68E-04
229560_at	TLR8	0.56	2.72E-04
204137_at	TM7SF1	0.55	3.12E-04
224906_at	TMEM16F	0.60	6.28E-05
238513_at	TMG4	0.56	8.29E-04
227062_at	TncRNA	0.56	5.10E-04
202510_s_at	TNFAIP2	0.65	1.10E-05
207643_s_at	TNFRSF1A	0.61	5.77E-05
211495_x_at	TNFSF13	0.53	6.13E-04
223502_s_at	TNFSF13B	0.74	2.00E-07
223501_at	TNFSF13B	0.76	1.00E-07
235735_at	TNFSF8	0.65	1.15E-05
207196_s_at	TNIP1	0.53	5.46E-04
206393_at	TNNI2	0.59	9.61E-05
225802_at	TOP1MT	0.54	4.07E-04
229250_at	TPCN2	0.59	9.81E-05
221218_s_at	TPK1	0.61	5.52E-05
219434_at	TREM1	0.56	2.37E-04
205875_s_at	TREX1	0.56	2.96E-04
202241_at	TRIB1	0.52	9.35E-04
203567_s_at	TRIM38	0.59	8.94E-05
226071_at	TSRC1	0.55	3.83E-04
208959_s_at	TXNDC4	0.62	2.79E-05
204122_at	TYROBP	0.57	2.33E-04
223014_at	UBE2R2	0.54	5.12E-04
201817_at	UBE3C	0.52	7.65E-04
203271_s_at	UNC119	0.59	9.04E-05
225003_at	UNQ501	0.63	4.35E-05
223303_at	URP2	0.54	4.10E-04
206219_s_at	VAV1	0.63	3.24E-05
204254_s_at	VDR	0.53	6.12E-04
211527_x_at	VEGF	0.54	6.05E-04
220990_s_at	VMP1	0.65	1.86E-05
200629_at	WARS	0.53	7.04E-04
200628_s_at	WARS	0.56	2.85E-04
225662_at	ZAK	0.53	6.81E-04
220933_s_at	ZCCHC6	0.68	6.70E-06
215706_x_at	ZYX	0.53	6.19E-04
1559117_at	Not assigned	0.51	9.42E-04
1562955_at		0.52	9.21E-04
244414_at		0.52	9.07E-04
226789_at		0.52	7.33E-04
227731_at		0.52	7.82E-04
224769_at		0.52	8.08E-04
227396_at		0.53	6.05E-04
235798_at		0.53	6.05E-04
243404_at		0.53	7.13E-04
241353_s_at		0.53	8.22E-04
230631_s_at		0.54	4.51E-04
240165_at		0.54	5.17E-04
1558299_at		0.54	5.06E-04
1560034_a_at		0.55	4.83E-04
215185_at		0.57	2.61E-04
1566165_at		0.57	2.16E-04
229040_at		0.57	1.74E-04
227853_at		0.58	1.68E-04
1569149_at		0.58	1.22E-04
1568955_at		0.58	2.40E-04
229067_at		0.58	1.28E-04
229041_s_at		0.60	1.15E-04
230874_at		0.60	9.29E-05
242714_at		0.62	2.90E-05
234784_at		0.63	2.72E-05
229157_at		0.65	2.50E-05
230466_s_at		0.67	9.30E-06
230741_at		0.68	4.70E-06
229156_s_at		0.70	1.20E-06
227167_s_at		0.70	1.20E-06
224602_at		0.71	6.00E-07
