Probe Set	Unigene acc. No.	Gene symbol	Gene	Fold Change	log2 Fold Change	std	p_value	lower cl	upper cl	Detection call
98446_s_at	Mm.34533	Ephb4	Eph receptor B4	9.77	3.29	0.11	0	2.92	3.65	PP PPP
94561_at	Mm.200823	Eplin-pending	epithelial protein lost in neoplasm	-2.46	-1.3	0.16	0	-1.8	-0.8	PP PPP
96628_at	Mm.154511	Eprs	glutamyl-prolyl-tRNA synthetase	6.9	2.79	0.1	0	2.48	3.09	AP APA
99397_at	Mm.56990	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	1.65	0.72	0.1	0	0.42	1.02	PP PPP
94040_at	Mm.21952	Erh	enhancer of rudimentary homolog (Drosophila)	11.42	3.51	0.11	0	3.17	3.86	PP PPP
97870_s_at	Mm.206768	Ero1l	ERO1-like (S. cerevisiae)	1.7	0.76	0.09	0	0.48	1.04	PP PPP
97871_at	Mm.206768	Ero1l	ERO1-like (S. cerevisiae)	2.18	1.12	0.07	0	0.91	1.34	PP PPP
161755_at	Mm.154570	Erp29	endoplasmic reticulum protein 29	-2.12	-1.08	0.2	0.01	-1.72	-0.44	PP PPP
98076_at	Mm.154570	Erp29	endoplasmic reticulum protein 29	1.96	0.97	0.07	0	0.75	1.2	PP PPP
99941_at	Mm.231380	Es31	esterase 31	-2.03	-1.02	0.18	0.01	-1.59	-0.45	PP PPA
93946_at	Mm.9213	Esr1	estrogen receptor 1 (alpha)	-1.93	-0.95	0.12	0	-1.34	-0.55	PP PPP
96112_at	Mm.26949	Etfa	electron transferring flavoprotein, alpha polypeptide	3.53	1.82	0.12	0	1.42	2.21	PP PPP
96947_at	Mm.30200	Etfb	electron transferring flavoprotein, beta polypeptide	1.7	0.77	0.06	0	0.56	0.97	PP PPP
162144_at	Mm.30200	Etfb	electron transferring flavoprotein, beta polypeptide	-1.65	-0.72	0.14	0.01	-1.16	-0.28	PP PPP
94246_at	Mm.22365	Ets2	E26 avian leukemia oncogene 2, 3 domain	1.66	0.73	0.09	0	0.44	1.01	PP PPP
98026_g_at	Mm.3266	Evi2	ecotropic viral integration site 2	-1.91	-0.93	0.1	0	-1.24	-0.62	PP PPP
94810_at	Mm.142822	Ewsh	Ewing sarcoma homolog	2.85	1.51	0.11	0	1.17	1.85	PP PPP
102811_at	Mm.1424	Ext1	exostoses (multiple) 1	-1.97	-0.98	0.09	0	-1.28	-0.68	PP PPP
99917_at	Mm.4303	Ezh2	enhancer of zeste homolog 2 (Drosophila)	3.93	1.98	0.12	0	1.58	2.37	PP PPA
103977_at	Mm.2578	F10	coagulation factor X	-7.05	-2.82	0.16	0	-3.33	-2.31	AP APP
161458_at	Mm.4827	F7	coagulation factor VII	-2.48	-1.31	0.13	0	-1.72	-0.9	PP PPP
93693_at	Mm.844	F830020C16Rik	RIKEN cDNA F830020C16 gene	1.55	0.63	0.08	0	0.38	0.87	AP APA
96795_at	Mm.2915	Faah	fatty acid amide hydrolase	-1.97	-0.98	0.15	0.01	-1.45	-0.51	PP PPP
160544_at	Mm.741	Fabp5	fatty acid binding protein 5, epidermal	-2.87	-1.52	0.22	0.01	-2.23	-0.82	PP PPP
97456_at	Mm.30263	Facl5	fatty acid Coenzyme A ligase, long chain 5	2.55	1.35	0.11	0	1	1.71	PP PPP
98588_at	Mm.3798	Fah	fumarylacetoacetate hydrolase	-1.55	-0.63	0.1	0.01	-0.96	-0.31	PP PPP
94494_at	Mm.28922	Farsl	phenylalanine-tRNA synthetase-like	3.64	1.86	0.16	0	1.36	2.36	AP APA
98575_at	Mm.268690	Fasn	fatty acid synthase	6.62	2.73	0.19	0	2.11	3.34	PP PPP
160503_at	Mm.4595	Fbl	fibrillarin	5.02	2.33	0.12	0	1.95	2.71	PP PPP
100928_at	Mm.6120	Fbln2	fibulin 2	-1.98	-0.99	0.15	0.01	-1.47	-0.5	PP PPP
101793_at	Mm.150	Fcgr1	Fc receptor, IgG, high affinity I	4.4	2.14	0.1	0	1.83	2.45	PP PPP
102879_s_at	Mm.150	Fcgr1	Fc receptor, IgG, high affinity I	2.42	1.28	0.11	0	0.94	1.61	PP PPP
102065_at	Mm.10510	Fcna	ficolin A	-3.36	-1.75	0.32	0.01	-2.78	-0.71	PP PPP
92256_at	Mm.3204	Fdft1	farnesyl diphosphate farnesyl transferase 1	-16.36	-4.03	0.22	0	-4.72	-3.34	PP PPP
160424_f_at	Mm.39472	Fdps	farnesyl diphosphate synthetase	7.02	2.81	0.17	0	2.26	3.36	PP PPP
99098_at	Mm.39472	Fdps	farnesyl diphosphate synthetase	8.76	3.13	0.14	0	2.69	3.58	PP PPP
92754_at	Mm.4719	Fdxr	ferredoxin reductase	-2.22	-1.15	0.18	0.01	-1.72	-0.57	PP PPP
100494_at	Mm.5087	Fgf1	fibroblast growth factor 1	-1.69	-0.76	0.15	0.01	-1.22	-0.29	PP PPP
102574_at	Mm.269011	Fgf11	fibroblast growth factor 11	1.61	0.69	0.09	0	0.41	0.96	PP PPA
97509_f_at	Mm.254496	Fgfr1	fibroblast growth factor receptor 1	-1.82	-0.86	0.19	0.02	-1.46	-0.27	PP PPP
94697_at	Mm.1338	Fgr	Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog	-2.1	-1.07	0.14	0	-1.52	-0.62	PP PPP
99148_at	Mm.41502	Fh1	fumarate hydratase 1	2.76	1.46	0.13	0	1.05	1.87	PP PPP
160648_at	Mm.20315	Fignl1	fidgetin-like 1	3.57	1.84	0.1	0	1.52	2.15	PP PPA
160257_at	Mm.27941	Fkbp1a	FK506 binding protein 1a	2.19	1.13	0.09	0	0.84	1.42	PP PPP
160416_at	Mm.28480	Fkbp3	FK506 binding protein 3	3.67	1.88	0.19	0	1.27	2.49	PP PPA
92808_f_at	Mm.12758	Fkbp4	FK506 binding protein 4	4.6	2.2	0.15	0	1.72	2.68	PP PPP
94297_at	Mm.154390	Fkbp5	FK506 binding protein 5	1.86	0.89	0.13	0.01	0.47	1.32	PP PPA
95489_at	Mm.25044	Fliih	flightless I homolog (Drosophila)	-1.9	-0.92	0.09	0	-1.21	-0.64	PP PPP
97593_f_at	Mm.25044	Fliih	flightless I homolog (Drosophila)	-1.96	-0.97	0.09	0	-1.25	-0.69	PP PPP
161223_r_at	Mm.28095	Flnb	filamin, beta	-4.49	-2.17	0.14	0	-2.62	-1.72	PP PPP
95637_at	Mm.28095	Flnb	filamin, beta	-2.67	-1.42	0.11	0	-1.75	-1.08	PP PPP
104416_at	Mm.3291	Flt4	FMS-like tyrosine kinase 4	-1.98	-0.99	0.16	0.01	-1.5	-0.47	PP PPP
92482_at	Mm.138913	Fmnl	formin-like	-1.82	-0.86	0.15	0.01	-1.35	-0.37	PP PPP
162259_f_at	Mm.198510	Fmo5	flavin containing monooxygenase 5	-2.14	-1.1	0.15	0	-1.56	-0.63	PP PPP
92852_at	Mm.193099	Fn1	fibronectin 1	-12.22	-3.61	0.58	0.01	-5.47	-1.76	PP PPP
103638_at	Mm.2035	Fnbp1	formin binding protein 1	2	1	0.1	0	0.67	1.33	PP PPA
162302_f_at	Mm.2135	Folr1	folate receptor 1 (adult)	-1.62	-0.7	0.12	0.01	-1.09	-0.3	PP PPP
104172_at	Mm.2724	Folr2	folate receptor 2 (fetal)	-2.94	-1.55	0.2	0	-2.19	-0.92	PP PPP
93704_at	Mm.33897	Foxf1a	forkhead box F1a	-2.65	-1.41	0.18	0	-1.99	-0.82	PP PPP
98306_g_at	Mm.42148	Foxm1	forkhead box M1	1.67	0.74	0.12	0.01	0.34	1.13	PP PPP
160850_at	Mm.3830	Fpgs	folylpolyglutamyl synthetase	2.73	1.45	0.15	0	0.97	1.92	AP APP
101737_at	Mm.249525	Fshb	follicle stimulating hormone beta	-1.95	-0.96	0.14	0.01	-1.4	-0.52	PP PPP
162479_f_at	Mm.7500	Ftl1	ferritin light chain 1	-2.04	-1.03	0.11	0	-1.39	-0.67	PP PPP
99872_s_at	Mm.7500	Ftl1	ferritin light chain 1	-1.73	-0.79	0.05	0	-0.95	-0.63	PP PPP
100515_at	Mm.5241	Furin	furin (paired basic amino acid cleaving enzyme)	-1.46	-0.54	0.08	0.01	-0.8	-0.28	PP PPP
99516_at	Mm.41930	Fxr2h	fragile X mental retardation gene 2, autosomal homolog	1.73	0.79	0.11	0.01	0.45	1.13	AP APA
94827_at	Mm.22742	Fxyd2	FXYD domain-containing ion transport regulator 2	15.72	3.97	0.26	0	3.15	4.8	PP PPA
103059_at	Mm.263847	Fxyd3	FXYD domain-containing ion transport regulator 3	-1.79	-0.84	0.13	0.01	-1.26	-0.42	PP PPP
103394_at	Mm.1870	Fxyd5	FXYD domain-containing ion transport regulator 5	-2.23	-1.16	0.11	0	-1.49	-0.82	PP PPP
98169_s_at	Mm.243722	Fzd3	frizzled homolog 3 (Drosophila)	-1.66	-0.73	0.12	0.01	-1.11	-0.34	PP PPP
99844_at	Mm.6256	Fzd9	frizzled homolog 9 (Drosophila)	-1.72	-0.78	0.15	0.01	-1.26	-0.3	PP PPP
97531_at	Mm.3283	G0s2	G0/G1 switch gene 2	-2.64	-1.4	0.17	0	-1.94	-0.87	PP PPP
98822_at	Mm.4950	G1p2	interferon, alpha-inducible protein	4.15	2.05	0.17	0	1.52	2.59	PP PPP
103036_at	Mm.16147	G22p1	thyroid autoantigen	2.95	1.56	0.13	0	1.14	1.98	AP APA
97516_at	Mm.3196	G2an	alpha glucosidase 2, alpha neutral subunit	1.61	0.69	0.08	0	0.42	0.95	PP PPP
94566_at	Mm.20455	G2a-pending	G protein-coupled receptor G2A	-1.61	-0.69	0.13	0.01	-1.09	-0.28	PP PPP
101106_at	Mm.260671	G3bp2-pending	Ras-GTPase-activating protein (GAP<120>) SH3-domain binding protein 2	2.75	1.46	0.11	0	1.1	1.82	AP APP
94913_at	Mm.260671	G3bp2-pending	Ras-GTPase-activating protein (GAP<120>) SH3-domain binding protein 2	1.64	0.72	0.1	0.01	0.39	1.04	PP PPP
103642_at	Mm.258146	G3bp-pending	Ras-GTPase-activating protein SH3-domain binding protein	2.67	1.42	0.14	0	0.96	1.87	PP PPP
101294_g_at	Mm.56918	G6pd2	glucose-6-phosphate dehydrogenase 2	2.57	1.36	0.11	0	1.01	1.71	PP PPP
94966_at	Mm.27210	G6pdx	glucose-6-phosphate dehydrogenase X-linked	2.26	1.18	0.12	0	0.81	1.54	PP PPP
160516_at	Mm.4793	Gaa	glucosidase, alpha, acid	-1.41	-0.49	0.06	0	-0.7	-0.29	PP PPP
98276_at	Mm.42033	Gab2	growth factor receptor bound protein 2-associated protein 2	-2.37	-1.24	0.16	0	-1.74	-0.75	PP PPP
96869_at	Mm.30064	Gabarap	gamma-aminobutyric acid receptor associated protein	-3.19	-1.67	0.17	0	-2.2	-1.15	PP PPP
99342_at	Mm.213198	Gabrd	gamma-aminobutyric acid (GABA-A) receptor, subunit delta	-1.66	-0.73	0.14	0.01	-1.17	-0.29	PP PPP
102292_at	Mm.1236	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	-1.75	-0.8	0.16	0.02	-1.33	-0.28	PP PPP
102779_at	Mm.1360	Gadd45b	growth arrest and DNA-damage-inducible 45 beta	-4.08	-2.03	0.15	0	-2.5	-1.56	PP PPP
97553_at	Mm.33808	Galnt2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	-2.13	-1.09	0.12	0	-1.49	-0.69	PP PPP
101214_f_at	Mm.5289	Gapd	glyceraldehyde-3-phosphate dehydrogenase	1.93	0.95	0.04	0	0.81	1.08	PP PPP
93270_at	Mm.17403	Gars	glycyl-tRNA synthetase	3.61	1.85	0.13	0	1.44	2.27	PP PPP
100066_at	Mm.4505	Gart	phosphoribosylglycinamide formyltransferase	4.56	2.19	0.14	0	1.75	2.63	PP PPP
92725_at	Mm.9015	Gas8	growth arrest specific 8	-2.33	-1.22	0.18	0.01	-1.8	-0.64	PP PPP
161639_f_at	Mm.4767	Gast	gastrin	-9.86	-3.3	0.11	0	-3.65	-2.95	PP PPP
96336_at	Mm.29975	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2.98	1.58	0.15	0	1.09	2.06	PP PPP
98953_at	Mm.28753	Gc20-pending	translation factor sui1 homolog	1.9	0.93	0.08	0	0.68	1.18	PP PPP
94633_at	Mm.45494	Gcg	glucagon	-3.52	-1.82	0.19	0	-2.43	-1.21	PP PPP
103498_at	Mm.22329	Gcgr	glucagon receptor	-1.82	-0.86	0.18	0.02	-1.45	-0.28	PP PPP
160335_at	Mm.29340	Gclm	glutamate-cysteine ligase , modifier subunit	2.14	1.1	0.09	0	0.81	1.39	PP PPP
97917_at	Mm.30118	Gcn5l1	general control of amino acid synthesis-like 1 (yeast)	-2.47	-1.3	0.21	0.01	-1.96	-0.65	PP PPP
160745_at	Mm.218837	Gcn5l2	general control of amino acid synthesis-like 2 (yeast)	1.96	0.97	0.07	0	0.74	1.19	PP PPP
96139_at	Mm.28188	Gcs1	glucosidase 1	3.5	1.81	0.13	0	1.38	2.23	PP PPP
104134_at	Mm.22080	Gdap2	ganglioside-induced differentiation-associated-protein 2	1.46	0.55	0.08	0.01	0.28	0.81	PP PPP
92476_at	Mm.4213	Gdf3	growth differentiation factor 3	-2.2	-1.14	0.17	0.01	-1.69	-0.59	PP PPP
160269_at	Mm.28124	Gfer	growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)	2.48	1.31	0.12	0	0.93	1.69	PP PPP
102968_at	Mm.18263	Ggtla1	gamma-glutamyltransferase-like activity 1	-2.03	-1.02	0.19	0.01	-1.63	-0.41	PP PPP
99107_at	Mm.3986	Ghr	growth hormone receptor	-2.1	-1.07	0.17	0.01	-1.62	-0.51	PP PPA
101286_at	Mm.56907	Gja8	gap junction membrane channel protein alpha 8	-1.8	-0.85	0.16	0.01	-1.35	-0.35	PP PPP
98423_at	Mm.34118	Gjb2	gap junction membrane channel protein beta 2	-2.7	-1.43	0.15	0	-1.9	-0.96	PP PPP
102341_at	Mm.1114	Gla	galactosidase, alpha	-2.56	-1.36	0.22	0.01	-2.06	-0.65	AP APP
161754_f_at	Mm.255070	Glb1	galactosidase, beta 1	-3.33	-1.73	0.21	0	-2.4	-1.07	PP PPP
100395_at	Mm.12090	Gli2	GLI-Kruppel family member GLI2	-2.07	-1.05	0.14	0	-1.48	-0.62	PP PPP
104524_at	Mm.275766	Gltp-pending	glycolipid transfer protein	-3.36	-1.75	0.13	0	-2.17	-1.33	PP PPP
98063_at	Mm.219621	Glycam1	glycosylation dependent cell adhesion molecule 1	-2.08	-1.06	0.17	0.01	-1.58	-0.53	PP PPP
99141_at	Mm.4140	Gm2a	GM2 ganglioside activator protein	-2.63	-1.4	0.12	0	-1.79	-1	PP PPP
93647_at	Mm.798	Gmip-pending	Gem-interacting protein	1.91	0.93	0.12	0	0.54	1.32	PP PPP
97226_at	Mm.140610	Gna12	guanine nucleotide binding protein, alpha 12	-2.54	-1.35	0.15	0	-1.84	-0.86	PP PPP
161902_f_at	Mm.30209	Gnao	guanine nucleotide binding protein, alpha o	-2.11	-1.08	0.13	0	-1.49	-0.67	PP PPP
97458_at	Mm.2344	Gnb1	guanine nucleotide binding protein, beta 1	-1.58	-0.66	0.08	0	-0.9	-0.42	PP PPP
99340_at	Mm.5305	Gnb2-rs1	guanine nucleotide binding protein, beta 2, related sequence 1	2.37	1.25	0.13	0	0.85	1.64	PP PPP
99238_at	Mm.68889	Gnb3	guanine nucleotide binding protein, beta 3	-1.49	-0.58	0.09	0.01	-0.88	-0.28	PP PPP
100122_at	Mm.4702	Gnb5	guanine nucleotide binding protein, beta 5	-1.87	-0.9	0.17	0.01	-1.45	-0.35	PP PPP
99898_at	Mm.215394	Gng4	guanine nucleotide binding protein (G protein), gamma 4 subunit	-2.41	-1.27	0.16	0	-1.79	-0.75	PP PPP
94042_f_at	Mm.140804	Gng5	guanine nucleotide binding protein (G protein), gamma 5 subunit	-1.53	-0.62	0.07	0	-0.83	-0.4	PP PPP
160893_at	Mm.46299	Gngt2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	-3.19	-1.67	0.14	0	-2.12	-1.23	PP PPP
100565_at	Mm.22374	Gnpi	glucosamine-6-phosphate deaminase	-2.11	-1.08	0.16	0.01	-1.57	-0.58	PP PPP
94876_f_at	Mm.23836	Gorasp2	golgi reassembly stacking protein 2	2.05	1.03	0.06	0	0.86	1.21	PP PPP
94071_at	Mm.195451	Gosr2	golgi SNAP receptor complex member 2	1.45	0.54	0.08	0.01	0.28	0.79	PP PPP
99986_at	Mm.195451	Gosr2	golgi SNAP receptor complex member 2	1.91	0.93	0.08	0	0.66	1.2	PP PPP
160649_at	Mm.20365	Gp1bb	glycoprotein Ib, beta polypeptide	-2.31	-1.21	0.22	0.01	-1.91	-0.51	PP PPP
100325_at	Mm.196617	Gp49a	glycoprotein 49 A	-4.51	-2.17	0.14	0	-2.62	-1.73	PP PPP
100911_at	Mm.5903	Gpaa1	GPI anchor attachment protein 1	1.62	0.7	0.07	0	0.46	0.93	PP PPP
101867_at	Mm.275758	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	1.71	0.77	0.08	0	0.52	1.02	PP PPP
104614_at	Mm.24193	Gpc1	glypican 1	-1.91	-0.94	0.13	0.01	-1.36	-0.51	PP PPP
98785_at	Mm.153539	Gpcr12	G-protein coupled receptor 12	-1.98	-0.99	0.19	0.01	-1.6	-0.38	PP PPP
100573_f_at	Mm.589	Gpi1	glucose phosphate isomerase 1	2.49	1.32	0.11	0	0.97	1.66	PP PPP
100574_f_at	Mm.589	Gpi1	glucose phosphate isomerase 1	2.52	1.33	0.09	0	1.05	1.61	PP PPP
92611_at	Mm.1098	Gpiap1	GPI-anchored membrane protein 1	3.52	1.81	0.1	0	1.49	2.14	PP PPP
94184_at	Mm.12890	Gpr33	G protein-coupled receptor 33	-2	-1	0.21	0.02	-1.67	-0.33	PP PPP
96943_at	Mm.30195	Gps1	G protein pathway suppressor 1	3.43	1.78	0.08	0	1.53	2.03	PP PPP
101676_at	Mm.200916	Gpx3	glutathione peroxidase 3	-1.66	-0.73	0.12	0.01	-1.13	-0.34	PP PPP
93690_at	Mm.24640	Grb10	growth factor receptor bound protein 10	-1.82	-0.86	0.16	0.01	-1.37	-0.35	PP PPP
160531_at	Mm.6390	Grcc2f	gene rich cluster, C2f gene	7.47	2.9	0.1	0	2.59	3.21	PP PPP
93748_at	Mm.21094	Grinl1a	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	1.86	0.89	0.1	0	0.56	1.22	PP PPP
93066_at	Mm.1568	Grn	granulin	-4.25	-2.09	0.15	0	-2.56	-1.61	PP PPP
101060_at	Mm.709	Grp58	glucose regulated protein	2.11	1.08	0.15	0.01	0.6	1.55	PP PPP
96684_at	Mm.27453	Grsf1	G-rich RNA sequence binding factor 1	1.89	0.92	0.13	0.01	0.5	1.34	AP APA
98293_g_at	Mm.42096	Gsbs-pending	G substrate	-2.19	-1.13	0.14	0	-1.58	-0.68	PP PPA
93727_at	Mm.20925	Gspt1	G1 to phase transition 1	3.22	1.69	0.1	0	1.37	2	PP PPP
160646_at	Mm.20288	Gsr	glutathione reductase 1	2.08	1.05	0.11	0	0.71	1.4	PP PPP
160063_i_at	Mm.10658	Gsta1	glutathione S-transferase, alpha 1 (Ya)	-1.87	-0.9	0.15	0.01	-1.38	-0.42	AP APA
93543_f_at	Mm.2011	Gstm1	glutathione S-transferase, mu 1	-2.79	-1.48	0.2	0.01	-2.13	-0.83	PP PPP
101444_at	Mm.781	Gt	gene trap ROSA 26 antisense, Philippe Soriano	2.21	1.15	0.09	0	0.85	1.45	PP PPP
94812_at	Mm.22700	Gtf2h1	general transcription factor II H, polypeptide 1	2.32	1.21	0.08	0	0.95	1.48	PP PPP
102039_at	Mm.10182	Gtf2h4	general transcription factor II H, polypeptide 4	2.97	1.57	0.08	0	1.33	1.82	PP PPP
94557_at	Mm.29105	Gtf3a	general transcription factor III A	-2.94	-1.56	0.22	0.01	-2.26	-0.86	PP PPP
94558_g_at	Mm.29105	Gtf3a	general transcription factor III A	1.61	0.68	0.09	0	0.39	0.97	PP PPP
93588_at	Mm.2080	Gtl3	gene trap locus 3	2.24	1.16	0.12	0	0.77	1.56	PP PPA
161209_r_at	Mm.27668	Gtpat12	gene trap PAT 12	-1.82	-0.87	0.15	0.01	-1.34	-0.4	PP PPP
99180_at	Mm.41800	Gtpbp4	GTP binding protein 4	3.73	1.9	0.12	0	1.51	2.29	PP PPP
98410_at	Mm.33902	Gtpi-pending	interferon-g induced GTPase	1.66	0.73	0.11	0.01	0.37	1.09	AP APA
103270_at	Mm.20858	Gtse1	G two S phase expressed protein 1	1.62	0.7	0.1	0.01	0.37	1.03	PP PPP
103038_at	Mm.16224	Guca1a	guanylate cyclase activator 1a (retina)	1.55	0.63	0.11	0.01	0.28	0.98	PP PPP
97525_at	Mm.3242	Gyk	glycerol kinase	2.66	1.41	0.11	0	1.05	1.77	PP PPA
102728_f_at	Mm.14424	Gzme	granzyme E	-2.24	-1.16	0.2	0.01	-1.8	-0.53	PP PPP
102822_at	Mm.14431	Gzmf	granzyme F	-3.34	-1.74	0.23	0	-2.47	-1.01	PP PPP
95419_at	Mm.24350	H1f0	H1 histone family, member 0	4.33	2.11	0.12	0	1.74	2.49	PP PPP
92866_at	Mm.175310	H2-Aa	histocompatibility 2, class II antigen A, alpha	-7.25	-2.86	0.36	0	-4	-1.72	PP PPP
100998_at	Mm.6716	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	-2.93	-1.55	0.24	0.01	-2.33	-0.78	PP PPP
93019_at	Mm.245931	H2afx	H2A histone family, member X	7.55	2.92	0.2	0	2.29	3.54	PP PPP
97452_at	Mm.30255	H2afy	H2A histone family, member Y	1.62	0.69	0.08	0	0.42	0.96	PP PPP
101954_at	Mm.916	H2afz	H2A histone family, member Z	3.67	1.87	0.1	0	1.55	2.2	PP PPP
101886_f_at	Mm.33263	H2-D1	histocompatibility 2, D region locus 1	-2.78	-1.47	0.09	0	-1.76	-1.19	PP PPP
97540_f_at	Mm.33263	H2-D1	histocompatibility 2, D region locus 1	-1.9	-0.93	0.12	0	-1.31	-0.54	PP PPP
97541_f_at	Mm.33263	H2-D1	histocompatibility 2, D region locus 1	-2.93	-1.55	0.15	0	-2.02	-1.08	PP PPP
93092_at	Mm.16373	H2-DMa	histocompatibility 2, class II, locus DMa	-2.11	-1.08	0.13	0	-1.51	-0.65	PP PPP
98034_at	Mm.3322	H2-DMb1	histocompatibility 2, class II, locus Mb1	-3.98	-1.99	0.19	0	-2.6	-1.39	PP PPP
101868_i_at	Mm.195060	H2-DMb2	histocompatibility 2, class II, locus Mb2	-2.43	-1.28	0.13	0	-1.69	-0.86	PP PPP
94285_at	Mm.22564	H2-Eb1	histocompatibility 2, class II antigen E beta	-2.98	-1.58	0.25	0.01	-2.38	-0.77	PP PPP
99379_f_at	Mm.16771	H2-K	histocompatibility 2, K region	-1.85	-0.89	0.17	0.01	-1.43	-0.35	PP PPP
93120_f_at	Mm.16771	H2-K	histocompatibility 2, K region	-1.79	-0.84	0.08	0	-1.1	-0.57	PP PPP
95158_at	Mm.2948	H2-Ke2	H2-K region expressed gene 2	1.74	0.8	0.11	0.01	0.44	1.16	PP PPP
103371_at	Mm.18556	H2-Ke4	H2-K region expressed gene 4	1.86	0.89	0.09	0	0.61	1.18	PP PPP
102992_at	Mm.15479	H2-Ke6	H2-K region expressed gene 6	-1.97	-0.98	0.16	0.01	-1.49	-0.47	PP PPP
102731_g_at	Mm.14437	H2-M3	histocompatibility 2, M region locus 3	1.81	0.85	0.1	0	0.53	1.18	PP PPP
99378_f_at	Mm.98003	H2-Q1	histocompatibility 2, Q region locus 1	-1.83	-0.87	0.19	0.02	-1.47	-0.27	PP PPP
93714_f_at	Mm.34421	H2-Q7	histocompatibility 2, Q region locus 7	-2.11	-1.08	0.11	0	-1.44	-0.72	PP PPP
98284_f_at	Mm.249368	H2-T18	histocompatibility 2, T region locus 18	-1.45	-0.54	0.08	0.01	-0.8	-0.27	PP PPP
98472_at	Mm.35016	H2-T23	histocompatibility 2, T region locus 23	-2.11	-1.08	0.15	0.01	-1.56	-0.6	PP PPP
101045_at	Mm.6994	Hadh2	hydroxyacyl-Coenzyme A dehydrogenase type II	2.35	1.23	0.13	0	0.82	1.65	PP PPP
96913_at	Mm.30147	Hadhb	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional  protein), beta subunit	2.04	1.03	0.14	0.01	0.58	1.48	PP PPP
100042_at	Mm.44240	Hagh	hydroxyacyl glutathione hydrolase	1.53	0.61	0.1	0.01	0.28	0.94	PP PPP
92580_at	Mm.10528	Hars	histidyl-tRNA synthetase	2.34	1.23	0.15	0	0.75	1.7	PP PPP
97895_f_at	Mm.28421	Hat1	histidine aminotransferase 1	3.53	1.82	0.14	0	1.39	2.25	PP PPP
94484_at	Mm.28882	Hbs1l	Hbs1-like (S. cerevisiae)	2.22	1.15	0.16	0.01	0.65	1.65	PP PPP
100900_at	Mm.57203	Hcfc1	host cell factor C1	2.38	1.25	0.1	0	0.92	1.58	PP PPP
94266_at	Mm.270281	Hcfc1r1	host cell factor C1 regulator 1 (XPO1-dependent)	-1.66	-0.73	0.11	0.01	-1.09	-0.37	PP PPP
99461_at	Mm.4091	Hcls1	hematopoietic cell specific Lyn substrate 1	2.42	1.28	0.09	0	0.98	1.58	PP PPP
102851_s_at	Mm.1484	Hcph	hemopoietic cell phosphatase	2.15	1.1	0.13	0	0.69	1.51	PP PPP
160643_at	Mm.19806	Hdac2	histone deacetylase 2	2.64	1.4	0.12	0	1	1.79	AP APA
92629_f_at	Mm.1141	Hdgf	hepatoma-derived growth factor	3.04	1.61	0.16	0	1.11	2.1	PP PPP
96359_at	Mm.30012	Hdlbp	high density lipoprotein (HDL) binding protein	2.58	1.37	0.1	0	1.06	1.68	PP PPP
160672_at	Mm.21583	Heab-pending	ATP/GTP-binding protein	-2.31	-1.21	0.21	0.01	-1.88	-0.54	PP PPP
95881_f_at	Mm.214703	Helb	helicase (DNA) B	-2.23	-1.16	0.14	0	-1.6	-0.72	PP PPP
94840_at	Mm.2284	Hexa	hexosaminidase A	-3.67	-1.88	0.17	0	-2.42	-1.33	PP PPP
160447_at	Mm.3792	Hiat1	hippocampus abundant gene transcript 1	2.13	1.09	0.09	0	0.82	1.36	PP PPA
98629_f_at	Mm.3879	Hif1a	hypoxia inducible factor 1, alpha subunit	1.78	0.84	0.13	0.01	0.41	1.26	PP PPP
98628_f_at	Mm.3879	Hif1a	hypoxia inducible factor 1, alpha subunit	1.78	0.83	0.13	0.01	0.4	1.25	PP PPP
99581_at	Mm.425	Hint	histidine triad nucleotide binding protein	2.42	1.28	0.18	0.01	0.71	1.84	PP PPP
102709_at	Mm.15694	Hira	histone cell cycle regulation defective homolog A (S. cerevisiae)	-1.69	-0.76	0.13	0.01	-1.19	-0.33	PP PPP
94288_at	Mm.276261	Hist1h1c	histone 1, H1c	-3.12	-1.64	0.11	0	-2	-1.28	PP PPP
93833_s_at	Mm.21579	Hist1h2bc	histone 1, H2bc	-5.96	-2.58	0.12	0	-2.95	-2.2	PP PPP
162169_r_at	Mm.264645	Hist1h2bp	histone 1, H2bp	1.6	0.68	0.11	0.01	0.32	1.04	PP PPP
99335_at	Mm.196605	Hk1	hexokinase 1	1.87	0.9	0.09	0	0.63	1.17	PP PPP
94375_at	Mm.2549	Hk2	hexokinase 2	1.56	0.64	0.1	0.01	0.33	0.95	PP PPP
93258_at	Mm.247676	Hmbs	hydroxymethylbilane synthase	2.01	1.01	0.09	0	0.72	1.3	PP PPA
