SAM_probes	Gene Symbol	Description
228353_x_at	UBASH3B	Phenotype-related probes
233500_x_at	CLEC2D	Phenotype-related probes
240572_s_at	LOC374443	Phenotype-related probes
226043_at	GPSM1	Phenotype-related probes
211626_x_at	ERG	Phenotype-related probes
229062_at	ARL9	Phenotype-related probes
1555562_a_at	ZCCHC7	Phenotype-related probes
212589_at	RRAS2	Phenotype-related probes
215152_at	MYB	Phenotype-related probes
228029_at	ZNF721	Phenotype-related probes
209670_at	TRAC	Phenotype-related probes
230894_s_at	NA	Phenotype-related probes
214537_at	HIST1H1D	Phenotype-related probes
209815_at	PTCH1	Phenotype-related probes
225897_at	MARCKS	Phenotype-related probes
206707_x_at	C6orf32	Phenotype-related probes
202481_at	DHRS3	Phenotype-related probes
204446_s_at	ALOX5	Phenotype-related probes
1569614_s_at	LCN8	Phenotype-related probes
204011_at	SPRY2	Phenotype-related probes
214463_x_at	HIST1H4K	Phenotype-related probes
202178_at	PRKCZ	Phenotype-related probes
216044_x_at	FAM69A	Phenotype-related probes
207134_x_at	TPSB2	Phenotype-related probes
205382_s_at	CFD	Phenotype-related probes
210084_x_at	TPSAB1	Phenotype-related probes
224918_x_at	MGST1	Phenotype-related probes
231736_x_at	MGST1	Phenotype-related probes
225782_at	MSRB3	Phenotype-related probes
230263_s_at	DOCK5	Phenotype-related probes
221766_s_at	FAM46A	Phenotype-related probes
201242_s_at	ATP1B1	Phenotype-related probes
224973_at	FAM46A	Phenotype-related probes
206715_at	TFEC	Phenotype-related probes
204214_s_at	RAB32	Phenotype-related probes
225647_s_at	CTSC	Phenotype-related probes
233177_s_at	PNKD	Phenotype-related probes
205051_s_at	KIT	Phenotype-related probes
201243_s_at	ATP1B1	Phenotype-related probes
206120_at	CD33	Phenotype-related probes
201360_at	CST3	Phenotype-related probes
209318_x_at	PLAGL1	Phenotype-related probes
219191_s_at	BIN2	Phenotype-related probes
207002_s_at	PLAGL1	Phenotype-related probes
203799_at	CD302	Phenotype-related probes
217388_s_at	KYNU	Phenotype-related probes
225799_at	LOC541471	Phenotype-related probes
223120_at	FUCA2	Phenotype-related probes
225646_at	CTSC	Phenotype-related probes
204122_at	TYROBP	Phenotype-related probes
241742_at	PRAM1	Phenotype-related probes
204971_at	CSTA	Phenotype-related probes
207943_x_at	PLAGL1	Phenotype-related probes
205899_at	CCNA1	Phenotype-related probes
201487_at	CTSC	Phenotype-related probes
202862_at	FAH	Phenotype-related probes
1554899_s_at	FCER1G	Phenotype-related probes
204072_s_at	FRY	Phenotype-related probes
225032_at	FNDC3B	Phenotype-related probes
204232_at	FCER1G	Phenotype-related probes
202990_at	PYGL	Phenotype-related probes
204039_at	CEBPA	Phenotype-related probes
200661_at	CTSA	Phenotype-related probes
218618_s_at	FNDC3B	Phenotype-related probes
1555745_a_at	LYZ	Phenotype-related probes
200660_at	S100A11	Phenotype-related probes
238513_at	PRRG4	Phenotype-related probes
214575_s_at	AZU1	Phenotype-related probes
1552398_a_at	CLEC12A	Phenotype-related probes
224916_at	TMEM173	Phenotype-related probes
223502_s_at	TNFSF13B	Phenotype-related probes
206111_at	RNASE2	Phenotype-related probes
211026_s_at	MGLL	Phenotype-related probes
219938_s_at	PSTPIP2	Phenotype-related probes
223501_at	NA	Phenotype-related probes
219229_at	SLCO3A1	Phenotype-related probes
206380_s_at	CFP	Phenotype-related probes
218404_at	SNX10	Phenotype-related probes
224583_at	COTL1	Phenotype-related probes
205997_at	ADAM28	Phenotype-related probes
224929_at	TMEM173	Phenotype-related probes
202788_at	MAPKAPK3	Phenotype-related probes
219457_s_at	RIN3	Phenotype-related probes
214511_x_at	FCGR1B	Phenotype-related probes
204049_s_at	PHACTR2	Phenotype-related probes
204852_s_at	PTPN7	Phenotype-related probes
212688_at	PIK3CB	Phenotype-related probes
206067_s_at	WT1	Phenotype-related probes
206761_at	CD96	Phenotype-related probes
201666_at	TIMP1	Phenotype-related probes
209879_at	SELPLG	Phenotype-related probes
206643_at	HAL	Phenotype-related probes
222692_s_at	FNDC3B	Phenotype-related probes
217967_s_at	FAM129A	Phenotype-related probes
203126_at	IMPA2	Phenotype-related probes
203041_s_at	LAMP2	Phenotype-related probes
1554892_a_at	MS4A3	Phenotype-related probes
243124_at	LOC730092	Phenotype-related probes
202075_s_at	PLTP	Phenotype-related probes
210254_at	MS4A3	Phenotype-related probes
203973_s_at	CEBPD	Phenotype-related probes
208703_s_at	APLP2	Phenotype-related probes
227001_at	NPAL2	Phenotype-related probes
219013_at	GALNT11	Phenotype-related probes
200974_at	ACTA2	Phenotype-related probes
221731_x_at	VCAN	Phenotype-related probes
208130_s_at	TBXAS1	Phenotype-related probes
203042_at	LAMP2	Phenotype-related probes
227947_at	PHACTR2	Phenotype-related probes
229865_at	FNDC3B	Phenotype-related probes
1559067_a_at	NA	Phenotype-related probes
224996_at	RLBP1L1	Phenotype-related probes
208540_x_at	LOC729659	Phenotype-related probes
221059_s_at	CHST6	Phenotype-related probes
228532_at	C1orf162	Phenotype-related probes
204620_s_at	VCAN	Phenotype-related probes
206851_at	RNASE3	Phenotype-related probes
216950_s_at	FCGR1A	Phenotype-related probes
227265_at	FGL2	Phenotype-related probes
200808_s_at	ZYX	Phenotype-related probes
227889_at	LPCAT2	Phenotype-related probes
204048_s_at	PHACTR2	Phenotype-related probes
223343_at	MS4A7	Phenotype-related probes
208702_x_at	APLP2	Phenotype-related probes
219696_at	C1orf218	Phenotype-related probes
203591_s_at	CSF3R	Phenotype-related probes
220023_at	APOB48R	Phenotype-related probes
1556346_at	COTL1	Phenotype-related probes
220330_s_at	SAMSN1	Phenotype-related probes
230391_at	NA	Phenotype-related probes
226264_at	SUSD1	Phenotype-related probes
58780_s_at	FLJ10357	Phenotype-related probes
224374_s_at	EMILIN2	Phenotype-related probes
201952_at	ALCAM	Phenotype-related probes
226438_at	MTBP	Phenotype-related probes
1555419_a_at	ASAH1	Phenotype-related probes
223044_at	SLC40A1	Phenotype-related probes
204222_s_at	GLIPR1	Phenotype-related probes
215706_x_at	ZYX	Phenotype-related probes
230206_at	DOCK5	Phenotype-related probes
211404_s_at	APLP2	Phenotype-related probes
213737_x_at	GOLGA8G	Phenotype-related probes
217966_s_at	FAM129A	Phenotype-related probes
223469_at	PGPEP1	Phenotype-related probes
212335_at	GNS	Phenotype-related probes
1554676_at	SRGN	Phenotype-related probes
218109_s_at	MFSD1	Phenotype-related probes
219452_at	DPEP2	Phenotype-related probes
210980_s_at	ASAH1	Phenotype-related probes
201482_at	QSOX1	Phenotype-related probes
1555638_a_at	SAMSN1	Phenotype-related probes
214875_x_at	APLP2	Phenotype-related probes
209906_at	C3AR1	Phenotype-related probes
201858_s_at	SRGN	Phenotype-related probes
208248_x_at	APLP2	Phenotype-related probes
219505_at	CECR1	Phenotype-related probes
1555120_at	CD96	Phenotype-related probes
202444_s_at	ERLIN1	Phenotype-related probes
217865_at	RNF130	Phenotype-related probes
202441_at	ERLIN1	Phenotype-related probes
205418_at	FES	Phenotype-related probes
213702_x_at	ASAH1	Phenotype-related probes
206060_s_at	PTPN22	Phenotype-related probes
1553043_a_at	CD300LF	Phenotype-related probes
208704_x_at	APLP2	Phenotype-related probes
217889_s_at	CYBRD1	Phenotype-related probes
225351_at	FAM45A	Phenotype-related probes
213733_at	MYO1F	Phenotype-related probes
203471_s_at	PLEK	Phenotype-related probes
201576_s_at	GLB1	Phenotype-related probes
227046_at	SLC39A11	Phenotype-related probes
230207_s_at	DOCK5	Phenotype-related probes
200742_s_at	TPP1	Phenotype-related probes
225579_at	PQLC3	Phenotype-related probes
214085_x_at	GLIPR1	Phenotype-related probes
202975_s_at	RHOBTB3	Phenotype-related probes
239135_at	FLJ11151	Phenotype-related probes
241353_s_at	FAM131B	Phenotype-related probes
201118_at	PGD	Phenotype-related probes
239412_at	IRF5	Phenotype-related probes
227647_at	KCNE3	Phenotype-related probes
211924_s_at	PLAUR	Phenotype-related probes
212334_at	GNS	Phenotype-related probes
217763_s_at	RAB31	Phenotype-related probes
204647_at	HOMER3	Phenotype-related probes
1555037_a_at	IDH1	Phenotype-related probes
218017_s_at	HGSNAT	Phenotype-related probes
210845_s_at	PLAUR	Phenotype-related probes
1553297_a_at	CSF3R	Phenotype-related probes
209043_at	PAPSS1	Phenotype-related probes
204401_at	KCNN4	Phenotype-related probes
210512_s_at	VEGFA	Phenotype-related probes
235384_at	NUDT19	Phenotype-related probes
206877_at	MXD1	Phenotype-related probes
1564494_s_at	P4HB	Phenotype-related probes
208438_s_at	FGR	Phenotype-related probes
203561_at	FCGR2A	Phenotype-related probes
221804_s_at	FAM45A	Phenotype-related probes
210314_x_at	TNFSF13	Phenotype-related probes
205715_at	BST1	Phenotype-related probes
1564164_at	C1orf218	Phenotype-related probes
201940_at	CPD	Phenotype-related probes
229429_x_at	LOC728855	Phenotype-related probes
235670_at	STX11	Phenotype-related probes
223344_s_at	MS4A7	Phenotype-related probes
243824_at	LOC728649	Phenotype-related probes
217995_at	SQRDL	Phenotype-related probes
217764_s_at	RAB31	Phenotype-related probes
220560_at	C11orf21	Phenotype-related probes
222686_s_at	FLJ11151	Phenotype-related probes
204221_x_at	GLIPR1	Phenotype-related probes
216041_x_at	GRN	Phenotype-related probes
203470_s_at	PLEK	Phenotype-related probes
205270_s_at	LCP2	Phenotype-related probes
200678_x_at	GRN	Phenotype-related probes
201951_at	ALCAM	Phenotype-related probes
205518_s_at	CMAH	Phenotype-related probes
225604_s_at	C9orf19	Phenotype-related probes
235900_at	SPNS3	Phenotype-related probes
205896_at	SLC22A4	Phenotype-related probes
210609_s_at	TP53I3	Phenotype-related probes
201384_s_at	NBR1	Phenotype-related probes
225386_s_at	HNRPLL	Phenotype-related probes
227853_at	NA	Phenotype-related probes
217762_s_at	RAB31	Phenotype-related probes
222001_x_at	LOC728855	Phenotype-related probes
205269_at	LCP2	Phenotype-related probes
226136_at	GLIPR1	Phenotype-related probes
201193_at	IDH1	Phenotype-related probes
202803_s_at	ITGB2	Phenotype-related probes
211284_s_at	GRN	Phenotype-related probes
205786_s_at	ITGAM	Phenotype-related probes
225001_at	RAB3D	Phenotype-related probes
212737_at	GM2A	Phenotype-related probes
212820_at	DMXL2	Phenotype-related probes
1555349_a_at	ITGB2	Phenotype-related probes
204949_at	ICAM3	Phenotype-related probes
220122_at	MCTP1	Phenotype-related probes
200621_at	CSRP1	Phenotype-related probes
219694_at	FAM105A	Phenotype-related probes
222294_s_at	RAB27A	Phenotype-related probes
213589_s_at	B3GNTL1	Phenotype-related probes
202625_at	LYN	Phenotype-related probes
234987_at	C20orf118	Phenotype-related probes
201941_at	CPD	Phenotype-related probes
242714_at	NA	Phenotype-related probes
204081_at	NRGN	Phenotype-related probes
228520_s_at	APLP2	Phenotype-related probes
244598_at	LOC133874	Phenotype-related probes
217728_at	S100A6	Phenotype-related probes
203557_s_at	PCBD1	Phenotype-related probes
201200_at	CREG1	Phenotype-related probes
210754_s_at	LYN	Phenotype-related probes
200663_at	CD63	Phenotype-related probes
226671_at	LAMP2	Phenotype-related probes
224356_x_at	MS4A6A	Phenotype-related probes
239598_s_at	LPCAT2	Phenotype-related probes
223280_x_at	MS4A6A	Phenotype-related probes
219594_at	NINJ2	Phenotype-related probes
202856_s_at	SLC16A3	Phenotype-related probes
203104_at	CSF1R	Phenotype-related probes
230741_at	NA	Phenotype-related probes
1566557_at	FLJ90757	Phenotype-related probes
204669_s_at	RNF24	Phenotype-related probes
200656_s_at	P4HB	Phenotype-related probes
218909_at	RPS6KC1	Phenotype-related probes
212501_at	CEBPB	Phenotype-related probes
202626_s_at	LYN	Phenotype-related probes
210951_x_at	RAB27A	Phenotype-related probes
209135_at	ASPH	Phenotype-related probes
235766_x_at	RAB27A	Phenotype-related probes
213116_at	NEK3	Phenotype-related probes
1555736_a_at	AGTRAP	Phenotype-related probes
209514_s_at	RAB27A	Phenotype-related probes
217977_at	SEPX1	Phenotype-related probes
35820_at	GM2A	Phenotype-related probes
209500_x_at	TNFSF13	Phenotype-related probes
217294_s_at	ENO1	Phenotype-related probes
210978_s_at	TAGLN2	Phenotype-related probes
200832_s_at	SCD	Phenotype-related probes
203232_s_at	ATXN1	Phenotype-related probes
202820_at	AHR	Phenotype-related probes
216268_s_at	JAG1	Phenotype-related probes
202295_s_at	CTSH	Phenotype-related probes
210006_at	ABHD14A	Phenotype-related probes
205988_at	CD84	Phenotype-related probes
209515_s_at	RAB27A	Phenotype-related probes
1552386_at	C5orf29	Phenotype-related probes
242216_at	DNAJC1	Phenotype-related probes
226872_at	RFX2	Phenotype-related probes
203234_at	UPP1	Phenotype-related probes
208675_s_at	DDOST	Phenotype-related probes
202902_s_at	CTSS	Phenotype-related probes
205945_at	IL6R	Phenotype-related probes
204563_at	SELL	Phenotype-related probes
209933_s_at	CD300A	Phenotype-related probes
209099_x_at	JAG1	Phenotype-related probes
210706_s_at	RNF24	Phenotype-related probes
224516_s_at	CXXC5	Phenotype-related probes
225883_at	ATG16L2	Phenotype-related probes
212174_at	AK2	Phenotype-related probes
221218_s_at	TPK1	Phenotype-related probes
228754_at	SLC6A6	Phenotype-related probes
230550_at	MS4A6A	Phenotype-related probes
200900_s_at	M6PR	Phenotype-related probes
226850_at	SUMF1	Phenotype-related probes
223922_x_at	MS4A6A	Phenotype-related probes
1552807_a_at	SIGLEC10	Phenotype-related probes
227266_s_at	FYB	Phenotype-related probes
201537_s_at	DUSP3	Phenotype-related probes
212256_at	GALNT10	Phenotype-related probes
200629_at	WARS	Phenotype-related probes
238025_at	MLKL	Phenotype-related probes
240165_at	NA	Phenotype-related probes
217118_s_at	C22orf9	Phenotype-related probes
231982_at	LOC284422	Phenotype-related probes
211368_s_at	CASP1	Phenotype-related probes
203411_s_at	LMNA	Phenotype-related probes
225447_at	GPD2	Phenotype-related probes
225373_at	C10orf54	Phenotype-related probes
1554240_a_at	ITGAL	Phenotype-related probes
205627_at	CDA	Phenotype-related probes
235798_at		Phenotype-related probes
211192_s_at	CD84	Phenotype-related probes
202382_s_at	GNPDA1	Phenotype-related probes
209901_x_at	AIF1	Phenotype-related probes
202901_x_at	CTSS	Phenotype-related probes
221752_at	SSH1	Phenotype-related probes
233955_x_at	CXXC5	Phenotype-related probes
236918_s_at	LRRC34	Phenotype-related probes
211474_s_at	SERPINB6	Phenotype-related probes
202878_s_at	CD93	Phenotype-related probes
235964_x_at	C20orf118	Phenotype-related probes
229629_at	NA	Phenotype-related probes
208636_at	ACTN1	Phenotype-related probes
204332_s_at	AGA	Phenotype-related probes
227698_s_at	RAB40C	Phenotype-related probes
201536_at	DUSP3	Phenotype-related probes
217800_s_at	NDFIP1	Phenotype-related probes
207419_s_at	RAC2	Phenotype-related probes
228766_at	CD36	Phenotype-related probes
221485_at	B4GALT5	Phenotype-related probes
227799_at	MYO1G	Phenotype-related probes
204143_s_at	ENOSF1	Phenotype-related probes
208637_x_at	ACTN1	Phenotype-related probes
211795_s_at	FYB	Phenotype-related probes
208949_s_at	LGALS3	Phenotype-related probes
1559835_at	LOC728649	Phenotype-related probes
1554600_s_at	LMNA	Phenotype-related probes
213095_x_at	AIF1	Phenotype-related probes
235529_x_at	C20orf118	Phenotype-related probes
227135_at	ASAHL	Phenotype-related probes
43511_s_at	NA	Phenotype-related probes
226841_at	MPEG1	Phenotype-related probes
205640_at	ALDH3B1	Phenotype-related probes
205996_s_at	AK2	Phenotype-related probes
218145_at	TRIB3	Phenotype-related probes
209555_s_at	CD36	Phenotype-related probes
201605_x_at	CNN2	Phenotype-related probes
218983_at	C1RL	Phenotype-related probes
204157_s_at	KIAA0999	Phenotype-related probes
238063_at	TMEM154	Phenotype-related probes
201425_at	ALDH2	Phenotype-related probes
244352_at	NA	Phenotype-related probes
215051_x_at	AIF1	Phenotype-related probes
227624_at	TET2	Phenotype-related probes
226818_at	MPEG1	Phenotype-related probes
202897_at	SIRPA	Phenotype-related probes
204924_at	TLR2	Phenotype-related probes
40016_g_at	MAST4	Phenotype-related probes
