Probe set	GeneSymbol	Gene Title	Geom mean  tissue-LAI	Geom mean  tissue-PTCL unsp	Fold difference of geom means	Parametric p-value	Geom mean cell-LAI	FC LAI cell/tissue	rank
207682_s_at	KIF25	kinesin family member 25	14	8	1.74	3.65E-04	8	0.59	400
219778_at	ZFPM2	zinc finger protein, multitype 2	19	11	1.74	4.73E-04	4	0.21	450
227804_at	LOC116238	hypothetical protein BC014072	23	13	1.74	3.97E-04	11	0.48	412
205081_at	CRIP1	cysteine-rich protein 1 (intestinal)	620	357	1.73	8.53E-04	494	0.8	616
210512_s_at	VEGF	vascular endothelial growth factor	90	52	1.73	1.12E-03	14	0.16	706
218729_at	LXN	latexin	129	75	1.73	9.65E-04	94	0.73	658
202295_s_at	CTSH	cathepsin H	1283	745	1.72	6.71E-04	232	0.18	540
219441_s_at	LRRK1	leucine-rich repeat kinase 1	75	44	1.72	2.54E-05	30	0.4	105
219647_at	POPDC2	popeye domain containing 2	17	10	1.72	5.80E-06	8	0.48	49
216573_at		---	11	6	1.71	7.75E-04	7	0.65	591
223820_at	RBP5	retinol binding protein 5, cellular	131	76	1.71	1.09E-04	12	0.09	227
207172_s_at	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	38	22	1.7	1.81E-03	6	0.16	910
210162_s_at	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	140	83	1.69	5.42E-04	155	1.1	483
212364_at	MYO1B	myosin IB	11	6	1.69	1.27E-03	5	0.47	762
218862_at	ASB13	ankyrin repeat and SOCS box-containing 13	58	34	1.69	5.99E-04	24	0.41	506
223158_s_at	NEK6	NIMA (never in mitosis gene a)-related kinase 6	143	84	1.69	1.86E-03	20	0.14	917
227610_at		Tetraspanin 11	15	9	1.69	1.18E-03	8	0.52	736
218324_s_at	SPATS2	spermatogenesis associated, serine-rich 2	51	30	1.68	1.19E-03	25	0.49	737
202283_at	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	532	317	1.67	3.03E-04	34	0.06	372
221739_at	C19orf10	chromosome 19 open reading frame 10	326	195	1.67	3.37E-05	223	0.68	124
222450_at	TMEPAI	transmembrane, prostate androgen induced RNA	21	12	1.67	5.15E-04	7	0.34	471
226911_at	FLJ39155	hypothetical protein FLJ39155	40	24	1.67	3.17E-04	9	0.22	382
1553243_at	ITIH5	inter-alpha (globulin) inhibitor H5	18	11	1.66	4.26E-04	8	0.44	430
204269_at	PIM2	pim-2 oncogene	304	183	1.66	5.18E-04	393	1.29	473
205080_at	RARB	retinoic acid receptor, beta	14	8	1.66	2.19E-05	6	0.44	94
205656_at	PCDH17	protocadherin 17	20	12	1.66	1.88E-03	6	0.3	926
207714_s_at	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	155	94	1.66	7.11E-04	24	0.15	558
208978_at	CRIP2	cysteine-rich protein 2	36	22	1.66	3.79E-04	17	0.47	407
209652_s_at	PGF	placental growth factor, vascular endothelial growth factor-related protein	27	16	1.66	2.53E-04	13	0.48	336
216264_s_at	LAMB2	laminin, beta 2 (laminin S)	55	33	1.66	7.11E-04	14	0.26	559
221701_s_at	STRA6	stimulated by retinoic acid gene 6 homolog (mouse) /// stimulated by retinoic acid gene 6 homolog (mouse)	35	21	1.66	7.72E-05	19	0.54	189
221788_at	PGM3	Phosphoglucomutase 3	17	10	1.66	2.66E-04	8	0.46	348
47069_at	PRR5	proline rich protein 5	41	25	1.66	2.46E-04	19	0.46	332
1598_g_at	GAS6	growth arrest-specific 6	153	92	1.65	2.44E-05	76	0.5	100
205367_at	APS	adaptor protein with pleckstrin homology and src homology 2 domains	109	66	1.65	6.14E-04	31	0.29	515
209152_s_at	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	96	58	1.65	5.19E-05	60	0.63	155
224630_at	C2orf30	chromosome 2 open reading frame 30	260	157	1.65	4.88E-04	215	0.83	460
226814_at	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9	13	8	1.65	4.70E-04	5	0.38	448
227271_at	FGF11	fibroblast growth factor 11	32	19	1.65	7.03E-04	15	0.47	554
228824_s_at	LTB4DH	leukotriene B4 12-hydroxydehydrogenase	26	16	1.65	1.34E-03	8	0.3	787
64486_at	CORO1B	coronin, actin binding protein, 1B	230	139	1.65	5.18E-04	312	1.36	474
204570_at	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	85	52	1.64	6.64E-04	21	0.25	536
207634_at	PDCD1	programmed cell death 1	62	38	1.64	3.00E-07	66	1.06	13
207892_at	CD40LG	CD40 ligand (TNF superfamily, member 5, hyper-IgM syndrome)	134	81	1.64	1.58E-03	316	2.37	837
209550_at	NDN	necdin homolog (mouse)	105	64	1.64	2.22E-04	18	0.17	319
210715_s_at	SPINT2	serine peptidase inhibitor, Kunitz type, 2	102	62	1.64	1.89E-03	24	0.23	928
221814_at	GPR124	G protein-coupled receptor 124	34	21	1.64	1.84E-04	9	0.27	293
228568_at	Gcom1	GRINL1A combined protein	20	12	1.64	1.85E-05	12	0.61	84
202267_at	LAMC2	laminin, gamma 2	14	8	1.63	2.73E-04	5	0.37	349
202734_at	TRIP10	thyroid hormone receptor interactor 10	38	23	1.63	2.06E-04	15	0.4	305
226950_at	ACVRL1	Activin A receptor type II-like 1	54	33	1.63	9.52E-05	7	0.13	210
214746_s_at	ZNF467	zinc finger protein 467	34	21	1.62	1.10E-03	16	0.47	703
216080_s_at	FADS3	fatty acid desaturase 3	41	25	1.62	2.64E-05	15	0.37	109
217890_s_at	PARVA	parvin, alpha	51	31	1.62	1.43E-04	10	0.2	264
219332_at	MICALL2	MICAL-like 2	47	29	1.62	3.55E-04	17	0.36	396
219436_s_at	EMCN	endomucin	14	9	1.62	1.17E-03	7	0.49	727
1569872_a_at		Full-length cDNA clone CS0DF015YK23 of Fetal brain of Homo sapiens (human) /// Homo sapiens, clone IMAGE:5242623	18	11	1.61	4.98E-04	9	0.51	464
203279_at	EDEM1	ER degradation enhancer, mannosidase alpha-like 1	198	123	1.61	1.92E-04	323	1.63	298
216483_s_at	C19orf10	chromosome 19 open reading frame 10	307	190	1.61	6.11E-05	261	0.85	168
218898_at	FAM57A	family with sequence similarity 57, member A	13	8	1.61	8.99E-05	8	0.63	205
230052_s_at	TANFKBH	T-cell activation NFKB-like protein	35	21	1.61	7.11E-04	28	0.81	560
201431_s_at	DPYSL3	dihydropyrimidinase-like 3	55	34	1.6	1.18E-03	11	0.2	733
205100_at	GFPT2	glutamine-fructose-6-phosphate transaminase 2	21	13	1.6	1.22E-03	8	0.38	751
208950_s_at	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	36	23	1.6	2.05E-05	13	0.36	90
222446_s_at	BACE2	beta-site APP-cleaving enzyme 2	54	34	1.6	6.96E-04	22	0.4	547
231741_at	EDG3	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	12	7	1.6	1.78E-03	6	0.51	902
200709_at	FKBP1A	FK506 binding protein 1A, 12kDa	904	566	1.59	1.40E-06	438	0.48	25
207521_s_at	ATP2A3	ATPase, Ca++ transporting, ubiquitous	34	21	1.59	5.52E-04	37	1.09	487
218723_s_at	RGC32	response gene to complement 32	152	96	1.59	7.70E-04	154	1.01	590
221636_s_at	MOSC2	MOCO sulphurase C-terminal domain containing 2	25	15	1.59	1.59E-04	11	0.45	279
201204_s_at	RRBP1	Ribosome binding protein 1 homolog 180kDa (dog)	143	90	1.58	8.83E-04	58	0.41	631
203164_at	SLC33A1	solute carrier family 33 (acetyl-CoA transporter), member 1	65	41	1.58	3.76E-05	35	0.54	130
221385_s_at	GPR41;GPR42	G protein-coupled receptor 41 /// G protein-coupled receptor 42	26	17	1.58	2.13E-04	18	0.69	314
224212_s_at	PCDHA9;PCDHAC2;PCDHAC1;PCDHA13;PCDHA12;PCDHA11;PCDHA10;PCDHA8;PCDHA7;PCDHA6;PCDHA5;PCDHA4;PCDHA3;PCDHA2;PCDHA1	protocadherin alpha 9 /// protocadherin alpha subfamily C, 2 /// protocadherin alpha subfamily C, 1 /// protocadherin alpha 13 /// protocadherin alpha 12 /// protocadherin alpha 11 /// protocadherin alpha 10 /// protocadherin alpha 8 /// protocadherin alpha 7 /// protocadherin alpha 6 /// protocadherin alpha 5 /// protocadherin alpha 4 /// protocadherin alpha 3 /// protocadherin alpha 2 /// protocadherin alpha 1	11	7	1.58	7.48E-04	5	0.46	580
230728_at		Transcribed locus	20	13	1.58	4.00E-06	10	0.49	40
231428_at	TXNDC5	Thioredoxin domain containing 5	11	7	1.58	3.36E-04	14	1.3	386
1552256_a_at	SCARB1	scavenger receptor class B, member 1	126	80	1.57	1.75E-04	35	0.28	288
201666_at	TIMP1	TIMP metallopeptidase inhibitor 1	1533	976	1.57	1.34E-03	113	0.07	785
202655_at	ARMET	arginine-rich, mutated in early stage tumors	485	307	1.57	1.12E-03	403	0.83	707
202671_s_at	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	156	99	1.57	1.27E-03	135	0.86	763
207673_at	NPHS1	nephrosis 1, congenital, Finnish type (nephrin)	12	8	1.57	1.14E-03	7	0.58	714
209014_at	MAGED1	melanoma antigen family D, 1	286	182	1.57	4.58E-04	216	0.75	445
219410_at	TMEM45A	transmembrane protein 45A	13	9	1.57	5.85E-04	7	0.52	498
229490_s_at	IQGAP3	IQ motif containing GTPase activating protein 3	22	14	1.57	1.48E-03	30	1.39	817
200710_at	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	336	215	1.56	5.30E-06	202	0.6	48
201809_s_at	ENG	endoglin (Osler-Rendu-Weber syndrome 1)	181	116	1.56	1.17E-03	22	0.12	723
201819_at	SCARB1	scavenger receptor class B, member 1	52	33	1.56	2.65E-04	19	0.36	345
204067_at	SUOX	sulfite oxidase	30	19	1.56	4.50E-04	9	0.31	439
204584_at	L1CAM	L1 cell adhesion molecule	10	7	1.56	6.05E-05	6	0.58	167
205466_s_at	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	12	7	1.56	9.67E-05	6	0.52	213
209739_s_at	PNPLA4	patatin-like phospholipase domain containing 4	36	23	1.56	1.68E-03	14	0.39	868
213085_s_at	KIBRA	KIBRA protein	15	9	1.56	2.46E-05	13	0.88	101
219010_at	C1orf106	chromosome 1 open reading frame 106	13	8	1.56	4.36E-04	9	0.69	433
220495_s_at	C5orf14	chromosome 5 open reading frame 14	248	158	1.56	3.35E-04	234	0.94	385
225673_at	MYADM	myeloid-associated differentiation marker	220	141	1.56	1.35E-03	154	0.7	790
231923_at		Similar to hypothetical protein LOC231503	16	10	1.56	2.12E-04	8	0.5	311
212345_s_at	CREB3L2	cAMP responsive element binding protein 3-like 2	144	93	1.55	8.66E-04	35	0.24	621
212494_at	TENC1	tensin like C1 domain containing phosphatase (tensin 2)	32	21	1.55	8.66E-04	14	0.44	622
219257_s_at	SPHK1	sphingosine kinase 1	37	24	1.55	4.00E-06	16	0.44	41
206580_s_at	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	46	30	1.54	1.71E-04	18	0.39	285
209695_at	PTP4A3	protein tyrosine phosphatase type IVA, member 3	81	52	1.54	1.60E-03	62	0.77	847
214110_s_at		Similar to lymphocyte-specific protein 1	17	11	1.54	1.97E-03	8	0.48	941
217892_s_at	EPLIN	epithelial protein lost in neoplasm beta	225	146	1.54	6.84E-05	179	0.79	176
202027_at	C22orf5	chromosome 22 open reading frame 5	88	57	1.53	6.52E-05	51	0.58	171
202967_at	GSTA4	glutathione S-transferase A4	39	25	1.53	3.06E-04	9	0.23	373
205377_s_at	ACHE	acetylcholinesterase (YT blood group)	14	9	1.53	1.76E-04	8	0.57	289
210367_s_at	PTGES	prostaglandin E synthase	33	21	1.53	1.17E-04	14	0.43	238
212067_s_at	C1R	complement component 1, r subcomponent	348	227	1.53	1.77E-03	12	0.03	897
215104_at	NRIP2	nuclear receptor interacting protein 2	16	10	1.53	1.10E-05	11	0.7	65
217861_s_at	PREB	prolactin regulatory element binding	137	90	1.53	8.21E-05	108	0.79	194
221565_s_at	FAM26B	family with sequence similarity 26, member B	72	47	1.53	1.20E-03	44	0.61	744
227657_at	RNF150	ring finger protein 150	16	10	1.53	9.92E-04	6	0.38	667
232922_s_at	C20orf59	chromosome 20 open reading frame 59	37	24	1.53	6.90E-05	36	0.98	178
218094_s_at	C20orf35	chromosome 20 open reading frame 35	130	85	1.52	9.88E-04	46	0.35	663
218731_s_at	VWA1	von Willebrand factor A domain containing 1	36	24	1.52	4.57E-05	18	0.5	147
203556_at	ZHX2	zinc fingers and homeoboxes 2	166	109	1.51	8.65E-05	91	0.55	200
205304_s_at	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	22	14	1.51	1.60E-03	8	0.37	843
222411_s_at	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)	587	386	1.51	1.25E-03	520	0.89	757
225090_at	SYVN1	synovial apoptosis inhibitor 1, synoviolin	122	80	1.51	2.63E-04	64	0.53	343
226638_at	ARHGAP23	Rho GTPase activating protein 23	41	27	1.51	1.16E-04	20	0.48	235
230448_at	MGC15523	hypothetical protein MGC15523	40	27	1.51	1.65E-03	27	0.67	861
200700_s_at	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	605	402	1.5	4.86E-04	460	0.76	459
208941_s_at	SEPHS1	selenophosphate synthetase 1	149	99	1.5	1.20E-03	149	1	745
215836_s_at	PCDHGC3;PCDHGB4;PCDHGA8;PCDHGA12;PCDHGC5;PCDHGC4;PCDHGB7;PCDHGB6;PCDHGB5;PCDHGB3;PCDHGB2;PCDHGB1;PCDHGA11;PCDHGA10;PCDHGA9;PCDHGA7;PCDHGA6;PCDHGA5;PCDHGA4;PCDHGA3;PCDHGA2;	protocadherin gamma subfamily C, 3 /// protocadherin gamma subfamily B, 4 /// protocadherin gamma subfamily A, 8 /// protocadherin gamma subfamily A, 12 /// protocadherin gamma subfamily C, 5 /// protocadherin gamma subfamily C, 4 /// protocadherin gamma subfamily B, 7 /// protocadherin gamma subfamily B, 6 /// protocadherin gamma subfamily B, 5 /// protocadherin gamma subfamily B, 3 /// protocadherin gamma subfamily B, 2 /// protocadherin gamma subfamily B, 1 /// protocadherin gamma subfamily A, 11 /// protocadherin gamma subfamily A, 10 /// protocadherin gamma subfamily A, 9 /// protocadherin gamma subfamily A, 7 /// protocadherin gamma subfamily A, 6 /// protocadherin gamma subfamily A, 5 /// protocadherin gamma subfamily A, 4 /// protocadherin gamma subfamily A, 3 /// protocadherin gamma subfamily A, 2 /// protocadherin gamma subfamily A, 1	36	24	1.5	6.90E-04	15	0.42	546
217899_at	FLJ20254	Hypothetical protein FLJ20254	184	122	1.5	1.42E-05	140	0.76	73
219168_s_at	PRR5	proline rich protein 5	19	12	1.5	7.54E-04	11	0.59	584
223468_s_at	RGMA	RGM domain family, member A	14	9	1.5	9.13E-05	9	0.64	206
1558437_at		Epsilon , IgE=membrane-bound IgE, epsilon m/s isoform {alternative splicing} [human, mRNA Partial, 216 nt] /// Immunoglobulin epsilon chain	16	11	1.49	2.69E-05	11	0.68	111
204534_at	VTN	vitronectin (serum spreading factor, somatomedin B, complement S-protein)	21	14	1.49	6.61E-04	15	0.7	535
212822_at	HEG1	HEG homolog 1 (zebrafish)	60	40	1.49	1.89E-03	19	0.32	927
212902_at	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	95	64	1.49	8.92E-04	132	1.39	639
222231_s_at	PRO1855	hypothetical protein PRO1855	239	160	1.49	1.51E-03	212	0.89	824
46142_at	FLJ12681	hypothetical protein FLJ12681	12	8	1.49	6.30E-06	8	0.68	50
205591_at	OLFM1	olfactomedin 1	21	14	1.48	8.34E-04	11	0.52	611
223378_at	GLIS2	GLIS family zinc finger 2	28	19	1.48	9.60E-04	15	0.53	656
224628_at	C2orf30	chromosome 2 open reading frame 30	272	184	1.48	6.31E-04	170	0.63	523
226075_at	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	38	26	1.48	1.33E-03	39	1.03	779
228897_at	DERL3	Der1-like domain family, member 3	32	22	1.48	4.22E-04	29	0.9	427
228910_at	KAI1	CD82 antigen	129	87	1.48	4.74E-04	81	0.63	451
202175_at	CHPF	chondroitin polymerizing factor	62	42	1.47	2.58E-04	59	0.95	340
203256_at	CDH3	cadherin 3, type 1, P-cadherin (placental)	26	17	1.47	7.09E-04	13	0.51	557
223054_at	DNAJB11	DnaJ (Hsp40) homolog, subfamily B, member 11	486	329	1.47	4.79E-04	383	0.79	457
223658_at	KCNK6	potassium channel, subfamily K, member 6	25	17	1.47	1.99E-03	14	0.57	946
230677_at	C14orf73	chromosome 14 open reading frame 73	26	18	1.47	1.25E-03	17	0.65	755
233483_at	LOC96597	hypothetical protein LOC96597	13	9	1.47	6.60E-04	12	0.94	534
238327_at	LOC440836	similar to MGC52679 protein	54	37	1.47	1.87E-03	32	0.59	922
212013_at	PXDN	peroxidasin homolog (Drosophila)	14	10	1.46	9.53E-04	7	0.49	654
218203_at	ALG5	asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)	275	188	1.46	3.87E-04	236	0.86	410
220748_s_at	ZNF580	zinc finger protein 580	70	48	1.46	4.93E-05	46	0.65	152
225510_at	NS5ATP13TP2	NS5ATP13TP2 protein	49	34	1.46	2.74E-04	24	0.49	351
204693_at	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1	24	17	1.45	2.78E-04	14	0.58	353
209344_at	TPM4	tropomyosin 4	191	131	1.45	1.63E-03	159	0.83	855
216846_at	IGLJ3	Immunoglobulin lambda joining 3	21	15	1.45	8.32E-04	19	0.9	609
218032_at	SNN	stannin	134	92	1.45	7.95E-04	38	0.28	598
219699_at	LGI2	leucine-rich repeat LGI family, member 2	25	17	1.45	1.04E-04	17	0.68	223
222710_at	GMPPB	GDP-mannose pyrophosphorylase B	14	10	1.45	5.37E-04	10	0.71	479
226632_at	CYGB	cytoglobin	14	10	1.45	8.95E-04	7	0.49	641
228837_at	TCF4	Transcription factor 4	18	12	1.45	7.01E-04	6	0.34	553
230218_at	HIC1	Hypermethylated in cancer 1	29	20	1.45	1.57E-05	15	0.51	76
204394_at	SLC43A1	solute carrier family 43, member 1	29	20	1.44	1.31E-04	30	1.04	249
207265_s_at	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	13	9	1.44	1.37E-03	7	0.53	798
209037_s_at	EHD1	EH-domain containing 1	67	46	1.44	4.23E-04	50	0.75	428
1563902_at	SSB1	SplA/ryanodine receptor domain and SOCS box containing 1	19	14	1.43	2.37E-05	19	0.98	98
201206_s_at	RRBP1	ribosome binding protein 1 homolog 180kDa (dog)	111	77	1.43	4.76E-04	75	0.68	455
201239_s_at	SPCS2	signal peptidase complex subunit 2 homolog (S. cerevisiae)	573	400	1.43	3.96E-04	634	1.11	411
204740_at	CNKSR1	connector enhancer of kinase suppressor of Ras 1	14	9	1.43	5.04E-04	10	0.74	468
210357_s_at	SMOX	spermine oxidase	26	18	1.43	1.50E-06	23	0.88	26
213174_at	TTC9	tetratricopeptide repeat domain 9	32	22	1.43	1.06E-03	16	0.5	687
215411_s_at	TRAF3IP2	TRAF3 interacting protein 2	59	41	1.43	1.79E-03	40	0.67	904
222681_at	MDSRP	myelodysplastic syndromes relative	126	88	1.43	1.34E-03	60	0.48	788
222803_at	PRTFDC1	phosphoribosyl transferase domain containing 1	13	9	1.43	1.03E-04	6	0.45	222
224197_s_at	C1QTNF1	C1q and tumor necrosis factor related protein 1	14	10	1.43	4.19E-04	11	0.81	423
226005_at	UBE2G1	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)	116	81	1.43	1.02E-04	130	1.12	220
231411_at	LHFP	TRAFs and NIK-associated protein	21	15	1.43	1.83E-03	16	0.77	914
232552_at	DAAM1	Dishevelled associated activator of morphogenesis 1	14	10	1.43	1.30E-03	11	0.81	771
201389_at	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	71	50	1.42	4.50E-04	27	0.38	440
201543_s_at	SAR1A	SAR1 gene homolog A (S. cerevisiae)	180	126	1.42	1.77E-03	232	1.29	899
205205_at	RELB	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	85	60	1.42	5.74E-04	58	0.68	495
205536_at	VAV2	vav 2 oncogene	21	15	1.42	6.75E-05	17	0.8	174
208951_at	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	35	24	1.42	9.06E-04	16	0.46	647
218615_s_at	TMEM39A	transmembrane protein 39A	42	29	1.42	7.93E-04	23	0.55	597
227554_at		Hypothetical LOC401384	13	9	1.42	5.23E-04	6	0.47	476
204164_at	SIPA1	signal-induced proliferation-associated gene 1	81	57	1.41	1.50E-03	69	0.85	821
204218_at	DKFZP564M082	DKFZP564M082 protein	95	67	1.41	1.29E-03	95	1	770
205865_at	ARID3A	AT rich interactive domain 3A (BRIGHT- like)	19	13	1.41	8.23E-04	14	0.76	607
212242_at	TUBA1	tubulin, alpha 1 (testis specific)	411	291	1.41	1.90E-03	476	1.16	930
222690_s_at	TMEM39A	transmembrane protein 39A	77	54	1.41	2.00E-06	66	0.86	29
225868_at	TRIM47	tripartite motif-containing 47	56	40	1.41	7.96E-04	29	0.51	599
1564154_at		---	19	14	1.4	1.70E-03	26	1.38	876
201096_s_at	ARF4	ADP-ribosylation factor 4	323	231	1.4	7.61E-04	375	1.16	585
201430_s_at	DPYSL3	dihydropyrimidinase-like 3	10	7	1.4	1.38E-03	5	0.5	801
214203_s_at	PRODH	proline dehydrogenase (oxidase) 1	20	14	1.4	5.10E-04	18	0.91	469
219402_s_at	DERL1	Der1-like domain family, member 1	402	286	1.4	7.27E-04	371	0.92	573
225080_at	MYO1C	Myosin IC	102	73	1.4	1.09E-03	50	0.49	695
241525_at	LOC200772	hypothetical protein LOC200772	16	11	1.4	1.44E-03	12	0.75	810
200757_s_at	CALU	calumenin	183	131	1.39	6.98E-04	82	0.45	550
200825_s_at	HYOU1	hypoxia up-regulated 1	467	334	1.39	1.71E-03	271	0.58	880
201203_s_at	RRBP1	ribosome binding protein 1 homolog 180kDa (dog)	52	37	1.39	5.33E-04	39	0.75	478
212167_s_at	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	120	86	1.39	4.81E-05	106	0.88	150
213249_at	FBXL7	F-box and leucine-rich repeat protein 7	20	14	1.39	9.00E-04	10	0.5	644
219135_s_at	FLJ12681	hypothetical protein FLJ12681	31	22	1.39	7.18E-04	21	0.69	565
229009_at	SIX5	sine oculis homeobox homolog 5 (Drosophila)	26	18	1.39	1.23E-03	16	0.62	753
235657_at		Hypothetical protein LOC285679	26	19	1.39	7.30E-04	11	0.42	575
203287_at	LAD1	ladinin 1	15	11	1.38	1.38E-04	13	0.87	254
203499_at	EPHA2	EPH receptor A2	11	8	1.38	7.37E-05	7	0.63	183
205812_s_at	TMED9	transmembrane emp24 protein transport domain containing 9	608	439	1.38	1.47E-04	517	0.85	269
209764_at	MGAT3	Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	35	26	1.38	1.49E-04	29	0.82	270
210300_at	REM1	RAS (RAD and GEM)-like GTP-binding 1	35	25	1.38	2.94E-04	26	0.74	367
218194_at	REXO2	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	323	234	1.38	9.77E-04	326	1.01	661
219522_at	FJX1	four jointed box 1 (Drosophila)	13	10	1.38	1.87E-03	7	0.53	920
223386_at	FLJ21103	hypothetical protein FLJ21103	96	69	1.38	1.46E-04	65	0.68	267
56197_at	PLSCR3;MGC40107	phospholipid scramblase 3 /// hypothetical protein MGC40107	194	140	1.38	6.80E-04	288	1.49	543
200643_at	HDLBP	high density lipoprotein binding protein (vigilin)	216	157	1.37	9.70E-05	130	0.6	214
222911_s_at	CXorf36	chromosome X open reading frame 36	11	8	1.37	1.19E-03	7	0.63	742
223132_s_at	TRIM8	tripartite motif-containing 8	144	104	1.37	1.68E-04	61	0.42	282
225682_s_at	POLR3H	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)	71	51	1.37	9.53E-04	55	0.78	655
226009_at	RP11529I10.4	deleted in a mouse model of primary ciliary dyskinesia	37	27	1.37	6.28E-04	20	0.55	521
235857_at	KCTD11	potassium channel tetramerisation domain containing 11	23	17	1.37	8.12E-04	13	0.58	604
201063_at	RCN1	reticulocalbin 1, EF-hand calcium binding domain	176	129	1.36	8.95E-04	56	0.32	643
212603_at	MRPS31	mitochondrial ribosomal protein S31	214	157	1.36	1.42E-04	271	1.27	262
225562_at	RASA3	RAS p21 protein activator 3	158	116	1.36	1.82E-03	121	0.77	912
203133_at	SEC61B	Sec61 beta subunit	654	485	1.35	4.22E-04	578	0.88	426
204306_s_at	CD151	CD151 antigen	114	85	1.35	1.17E-03	72	0.63	724
204952_at	LYPD3	LY6/PLAUR domain containing 3	18	14	1.35	1.06E-03	14	0.77	688
206498_at	OCA2	oculocutaneous albinism II (pink-eye dilution homolog, mouse)	19	14	1.35	4.57E-04	15	0.79	443
218029_at	FAM65A	family with sequence similarity 65, member A	58	42	1.35	1.78E-03	29	0.5	903
219249_s_at	FKBP10	FK506 binding protein 10, 65 kDa	30	22	1.35	9.88E-04	19	0.64	662
222578_s_at	UBE1DC1	ubiquitin-activating enzyme E1-domain containing 1	83	61	1.35	1.92E-03	92	1.1	934
225450_at	AMOTL1	angiomotin like 1	51	38	1.35	1.59E-03	19	0.37	840
207707_s_at	SEC13L1	SEC13-like 1 (S. cerevisiae)	545	405	1.34	6.83E-04	478	0.88	545
218828_at	PLSCR3;MGC40107	phospholipid scramblase 3 /// hypothetical protein MGC40107	201	149	1.34	3.67E-05	208	1.04	129
226058_at	MGC4655	hypothetical protein MGC4655	23	17	1.34	1.72E-05	18	0.79	79
236034_at	ANGPT2	Angiopoietin 2	11	8	1.34	2.13E-04	5	0.47	313
200788_s_at	PEA15	phosphoprotein enriched in astrocytes 15	521	390	1.33	3.21E-04	192	0.37	383
214209_s_at	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	16	12	1.33	6.76E-04	16	0.99	542
229405_at	KIF7	kinesin family member 7	15	11	1.33	1.00E-04	15	1	219
204248_at	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	49	37	1.32	1.93E-03	36	0.73	938
204548_at	STAR	steroidogenic acute regulator	10	8	1.32	8.62E-04	9	0.87	619
206176_at	BMP6	bone morphogenetic protein 6	10	8	1.32	1.39E-03	7	0.69	803
213497_at	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	21	16	1.32	6.98E-04	17	0.83	549
218059_at	ZNF706	zinc finger protein 706	687	518	1.32	8.08E-04	807	1.17	603
228011_at	FAM92A1	family with sequence similarity 92, member A1	29	22	1.32	2.95E-04	16	0.55	369
201126_s_at	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	273	207	1.31	1.04E-03	107	0.39	681
202084_s_at	SEC14L1	SEC14-like 1 (S. cerevisiae)	340	259	1.31	1.73E-03	229	0.67	890
203391_at	FKBP2	FK506 binding protein 2, 13kDa	217	165	1.31	1.45E-03	204	0.94	814
220203_at	FLJ14351	hypothetical protein FLJ14351	12	9	1.31	8.55E-05	9	0.78	198
1555575_a_at	KDELR1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	266	204	1.3	1.67E-03	174	0.65	864
1563315_s_at	ERICH1	glutamate-rich 1	98	76	1.3	1.39E-03	85	0.86	804
