Probeset ID	Gene Title	Gene Symbol	FDR p-value                        based on paired t-test	FoldChange                  (CD15 + vs. CD15-)
1426930_at	bruno-like 4, RNA binding protein (Drosophila)	Brunol4	0.0396649	-2.35377
1460713_at	cDNA sequence BC048355	BC048355	0.0396724	1.8644
1429938_at	RIKEN cDNA A930009E05 gene	A930009E05Rik	0.0396724	-1.98305
1416688_at	synaptosomal-associated protein 91	Snap91	0.0396724	-3.97917
1420925_at	tubby candidate gene	Tub	0.0396724	-1.96945
1424150_at	glycerophosphodiester phosphodiesterase domain containing 5	Gdpd5	0.0397063	-2.97655
1434140_at	mcf.2 transforming sequence-like	Mcf2l	0.0397063	-2.4708
1435146_s_at	cell adhesion molecule 2	Cadm2	0.0400609	-2.6374
1419639_at	ephrin B2	Efnb2	0.0401102	-1.86497
1434914_at	RAB6B, member RAS oncogene family	Rab6b	0.0401331	-2.11775
1436911_at	synovial sarcoma translocation gene on chromosome 18-like 1	Ss18l1	0.0402573	-2.12324
1456741_s_at	glycoprotein m6a	Gpm6a	0.0405479	-2.972
1455369_at	amyloid beta (A4) precursor protein binding, family A, member 1	Apba1	0.0405649	-2.32044
1417911_at	cyclin A2	Ccna2	0.0406425	1.92448
1419238_at	ATP-binding cassette, sub-family A (ABC1), member 7	Abca7	0.0406425	-1.82161
1425560_a_at	S100 calcium binding protein A16	S100a16	0.0406603	-1.9579
1418919_at	shugoshin-like 1 (S. pombe)	Sgol1	0.0407267	1.82663
1439510_at	shugoshin-like 1 (S. pombe)	Sgol1	0.0407583	1.86995
1416828_at	synaptosomal-associated protein 25	Snap25	0.0407583	-1.81719
1450156_a_at	hyaluronan mediated motility receptor (RHAMM)	Hmmr	0.0407758	1.8433
1455358_at	Ataxin 2 binding protein 1	A2bp1	0.0407794	-2.70305
1420998_at	ets variant gene 5	Etv5	0.0409494	1.89099
1454926_at	RIKEN cDNA 4930544G21 gene	4930544G21Rik	0.0415494	-4.12714
1435892_at	additional sex combs like 3 (Drosophila)	Asxl3	0.0415494	-2.20836
1434641_x_at	seizure related 6 homolog like 2	Sez6l2	0.0419945	-3.76379
1455990_at	kinesin family member 23	Kif23	0.0419945	1.82313
1434800_at	synaptic vesicle glycoprotein 2 b	Sv2b	0.0421112	-1.92622
1433474_at	EGF-like repeats and discoidin I-like domains 3	Edil3	0.0421112	-2.22527
1419355_at	Kruppel-like factor 7 (ubiquitous)	Klf7	0.0421112	-1.96869
1440386_at	glucuronyl C5-epimerase	Glce	0.0421112	-2.09869
1423463_a_at	DNA segment, Chr 2, ERATO Doi 750, expressed	D2Ertd750e	0.0423801	1.8765
1452073_at	RIKEN cDNA 6720460F02 gene	6720460F02Rik	0.0423801	1.90378
1434026_at	Atpase, class I, type 8B, member 2	Atp8b2	0.0424104	-1.84263
1424701_at	protocadherin 20	Pcdh20	0.0425967	-2.164
1428466_at	chromodomain helicase DNA binding protein 3	Chd3	0.0425967	-2.02119
1435772_at	kinesin family member 21B	Kif21b	0.0426825	-2.56963
1426442_at	glycoprotein m6a	Gpm6a	0.0426825	-3.15306
1445275_at	RIKEN cDNA C130092O11 gene	C130092O11Rik	0.0430186	-3.13765
1451019_at	cathepsin F	Ctsf	0.0432273	-1.95862
1459311_at	phosphodiesterase 4D, cAMP specific	Pde4d	0.0433763	-2.36239
1429779_at	eukaryotic translation initiation factor 2C, 4	Eif2c4	0.0433763	-2.27496
1442095_at	additional sex combs like 3 (Drosophila)	Asxl3	0.0433986	-2.02285
1456261_at	SH3-domain kinase binding protein 1	Sh3kbp1	0.0434631	-2.54198
1424885_at	kelch domain containing 8A	Klhdc8a	0.0434631	-2.78524
1435940_at	expressed sequence AI836758	AI836758	0.0434631	-3.29608
1428481_s_at	cell division cycle associated 8	Cdca8	0.0440521	1.82034
1435404_at	dispatched homolog 2 (Drosophila)	Disp2	0.0442474	-2.31588
1428749_at	Dmx-like 2	Dmxl2	0.0442629	-1.9706
1448191_at	polo-like kinase 1 (Drosophila)	Plk1	0.0443965	1.98673
1451128_s_at	kinesin family member 22	Kif22	0.0443965	1.94952
1435297_at	gap junction membrane channel protein alpha 9	Gja9	0.0446096	-2.5009
1432273_a_at	Duffy blood group, chemokine receptor	Darc	0.0448556	-2.69421
1457683_at	glutamate receptor, ionotropic, kainate 2 (beta 2)	Grik2	0.0453062	-1.89952
1455176_a_at	synaptotagmin XI	Syt11	0.0454514	-1.83175
1448992_at	internexin neuronal intermediate filament protein, alpha	Ina	0.0457473	-1.98233
1434581_at	NA	NA	0.0463492	-2.04522
1417428_at	guanine nucleotide binding protein (G protein), gamma 3 subunit	Gng3	0.0466647	-3.02736
1442301_at	expressed sequence AW060742	AW060742	0.0466647	-2.03897
1421425_a_at	Down syndrome critical region gene 1-like 1	Dscr1l1	0.0466647	-2.27406
1441978_at	aquaporin 6	Aqp6	0.0467011	-5.39461
1439566_at	GPRIN family member 3	Gprin3	0.0467468	-5.33557
1452841_at	phosphoglucomutase 2-like 1	Pgm2l1	0.0470849	-1.90157
1439731_at	RIKEN cDNA E130309F12 gene	E130309F12Rik	0.0471851	-2.14525
1460292_a_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subf	Smarca1	0.0472179	-1.8168
1423813_at	kinesin family member 22	Kif22	0.0474642	2.06902
1436592_at	12 days embryo head cDNA, RIKEN full-length enriched library, clone:3010015L05 p	NA	0.0474642	-2.17385
1416965_at	proprotein convertase subtilisin/kexin type 1 inhibitor	Pcsk1n	0.0474642	-2.63186
1420617_at	cytoplasmic polyadenylation element binding protein 4	Cpeb4	0.0474642	-2.02266
1430574_at	cyclin-dependent kinase inhibitor 3	Cdkn3	0.0474944	2.31853
1428480_at	cell division cycle associated 8	Cdca8	0.0476497	1.93803
1435773_at	RIKEN cDNA 4930547N16 gene	4930547N16Rik	0.0476497	1.93416
1427143_at	jumonji, AT rich interactive domain 1B (Rbp2 like)	Jarid1b	0.0480822	-2.19425
1448319_at	aldo-keto reductase family 1, member B3 (aldose reductase)	Akr1b3	0.0481006	1.83521
1427470_s_at	N-ethylmaleimide sensitive fusion protein attachment protein beta	Napb	0.0482231	-2.55732
1419638_at	ephrin B2	Efnb2	0.0482231	-1.81084
1449996_a_at	tropomyosin 3, gamma	Tpm3	0.0483556	1.86323
1455983_at	cell division cycle associated 2	Cdca2	0.0484431	1.82753
1434877_at	neuronal pentraxin 1	Nptx1	0.0484431	2.77021
1419137_at	SH3/ankyrin domain gene 3	Shank3	0.0484431	-2.02277
1424971_at	coiled-coil domain containing 99	Ccdc99	0.0484889	1.80796
1423983_at	seizure related 6 homolog like 2	Sez6l2	0.0484889	-3.64196
1418046_at	nucleosome assembly protein 1-like 2	Nap1l2	0.0484889	-2.85344
1431076_at	adducin 2 (beta)	Add2	0.0484889	-2.75176
1421124_at	cyclin-dependent kinase 5, regulatory subunit (p35) 1	Cdk5r1	0.0484889	-1.84826
1455328_at	amiloride-sensitive cation channel 2, neuronal	Accn2	0.0485318	-2.27201
1433892_at	sperm associated antigen 5	Spag5	0.0487551	1.95432
1419028_at	cyclic AMP-regulated phosphoprotein, 21	Arpp21	0.0489457	-2.03442
1429738_at	myelin transcription factor 1-like	Myt1l	0.0490339	-1.92318
1429113_at	RIKEN cDNA 2900092E17 gene /// RIKEN cDNA 1500031I19 gene	1500031I19Rik /// 2900092E17Rik	0.049135	-2.48226
1420191_s_at	DNA segment, Chr 16, Brigham & Womens Genetics 1494 expressed	D16Bwg1494e	0.0492311	-1.83391
1439173_at	hook homolog 1 (Drosophila)	Hook1	0.0492311	-2.11
1449429_at	FK506 binding protein 1b	Fkbp1b	0.0492311	-2.23866
1448995_at	chemokine (C-X-C motif) ligand 4	Cxcl4	0.0492311	2.18792
1435895_at	RIKEN cDNA D930023J12 gene	D930023J12Rik	0.0492496	-2.21106
1436736_x_at	DNA segment, human D4S114	D0H4S114	0.0494934	-1.97284
1456069_at	dystrobrevin alpha	Dtna	0.0494934	-2.09425
1448251_at	RIKEN cDNA 9030425E11 gene	9030425E11Rik	0.0495122	-2.43632
1441305_at	Adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:C0300	NA	0.0495122	-2.38819
1429172_a_at	on-SMC condensin I complex, subunit G	Ncapg	0.0495122	1.8503
1427142_s_at	jumonji, AT rich interactive domain 1B (Rbp2 like)	Jarid1b	0.049797	-1.85401
1452242_at	centrosomal protein 55	Cep55	0.0498442	1.8958
1450208_a_at	engulfment and cell motility 1, ced-12 homolog (C. elegans)	Elmo1	0.0498442	-2.37856
1439303_at	Neuronal growth regulator 1	Negr1	0.049884	-2.0276
1457229_at	G-protein coupled receptor 173	Gpr173	0.049884	-1.83843
1434500_at	tweety homolog 2 (Drosophila)	Ttyh2	0.0499461	-2.02007
