Gene	Clone	UG cluster	Fold-diff in geom means (L/AT)	t-value
ataxia telangiectasia and Rad3 related	632440	Hs.77613	1.27	4.231
EST, Highly similar to A31888 ribonucleoprotein La - human [H.sapiens]	1998994	Hs.400984	1.27	4.484
CDC16 cell division cycle 16 homolog (S. cerevisiae)	1413704	Hs.1592	1.27	4.119
transmembrane 4 superfamily member 6	1701627	Hs.121068	1.27	3.999
mitogen-activated protein kinase kinase kinase 4	2315985	Hs.32353	1.27	5.273
timeless homolog (Drosophila)	2253473	Hs.118631	1.27	3.986
Homo sapiens, Similar to retinitis pigmentosa 9 homolog (human), clone IMAGE:4903338, mRNA, partial cds	2019252	Hs.292057	1.27	4.107
KIAA0036 gene product	1863428	Hs.169387	1.27	6.919
hypothetical protein FLJ20375	995821	Hs.274251	1.27	4.017
vesicle-associated membrane protein 2 (synaptobrevin 2)	2916295	Hs.392805	1.27	5.211
hypothetical protein MGC5306	2290164	Hs.249959	1.27	4.014
EST	3038946	Hs.6651	1.27	4.362
M-phase phosphoprotein, mpp8	1821782	Hs.244482	1.27	4.047
PAX transcription activation domain interacting protein 1 like	2258143	Hs.173854	1.27	4.153
ESTs, Weakly similar to SON_HUMAN SON protein (SON3) [H.sapiens]	1880335	Hs.388656	1.27	4.029
FYVE-finger-containing Rab5 effector protein rabenosyn-5	2964448	Hs.389022	1.26	5.757
neural stem cell derived neuronal survival protein	1997250	Hs.84775	1.26	3.941
v-ski sarcoma viral oncogene homolog (avian)	3283271	Hs.2969	1.26	3.867
hypothetical protein FLJ11200	1879638	Hs.107381	1.26	5.211
tyrosylprotein sulfotransferase 2	1967582	Hs.26350	1.26	4.917
splicing factor, arginine/serine-rich 7, 35kDa	1609454	Hs.184167	1.26	4.105
MEP50 protein	831941	Hs.11039	1.26	3.95
galactosylceramidase (Krabbe disease)	1430428	Hs.273	1.26	3.912
hypothetical protein FLJ11342	941442	Hs.266514	1.26	4.766
KIAA0779 protein	1657109	Hs.362996	1.26	4.363
slit homolog 1 (Drosophila)	750673	Hs.133466	1.26	6.054
chromosome 20 open reading frame 21	1966132	Hs.11747	1.25	5.486
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kDa)	1998708	Hs.76053	1.25	3.947
dishevelled associated activator of morphogenesis 2	1653064	Hs.387175	1.25	4.738
RAB28, member RAS oncogene family	3962238	Hs.396260	1.25	3.92
EST	308761	Hs.82141	1.25	4.342
retinoblastoma binding protein 9	1607510	Hs.69330	1.25	4.194
RNA helicase-related protein	2132758	Hs.8765	1.25	4.204
hypothetical protein FLJ23476	2799478	Hs.46736	1.24	5.267
epoxide hydrolase 1, microsomal (xenobiotic)	272873	Hs.89649	1.24	4.448
E1A binding protein p400	1967172	Hs.306094	1.24	5.489
hypothetical protein DKFZp761C169	2306510	Hs.71252	1.24	4.253
ESTs, Moderately similar to FRG1_HUMAN FRG1 protein (FSHD region gene 1 protein) [H.sapiens]	3476010	Hs.288925	1.24	4.365
reproduction 8	2254530	Hs.153678	1.24	4.175
chromosome 21 open reading frame 66	1358710	Hs.283771	1.24	4.267
chromosome 1 open reading frame 19	1665871	Hs.32058	1.24	4.745
poliovirus receptor-related 3	2680168	Hs.21201	1.24	3.942
hypothetical protein DKFZp762A2013	2821185	Hs.309165	1.24	4.422
Homo sapiens, clone IMAGE:4396549, mRNA, partial cds	1299193	Hs.405270	1.24	4.023
DKFZP566C134 protein	1985272	Hs.20237	1.24	5.736
chondroitin sulfate proteoglycan 6 (bamacan)	937975	Hs.24485	1.24	4.27
zinc finger protein 165	1689436	Hs.55481	1.24	4.131
dendritic cell protein	1923176	Hs.69469	1.24	3.929
syntaxin binding protein 1	1889867	Hs.239356	1.24	4.436
ADP-ribosylation-like factor 6 interacting protein 2	1923470	Hs.27099	1.23	3.94
ESTs	2156762	Hs.322710	1.23	4.793
RNA binding motif protein 15	1379395	Hs.46670	1.23	4.185
tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	591358	Hs.5831	1.23	4.007
p53 regulated PA26 nuclear protein	2718391	Hs.14125	1.23	4.77
peptide-histidine transporter 4	380220	Hs.355660	1.23	6.011
cisplatin resistance-associated overexpressed protein	2360580	Hs.3688	1.23	4.216
cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa	1927093	Hs.29679	1.23	5.375
high-mobility group box 1	2099580	Hs.337757	1.22	3.976
cAMP responsive element modulator	1921290	Hs.155924	1.22	4.232
KIAA0095 gene product	1859907	Hs.155314	1.22	4.13
replication protein A1, 70kDa	1695482	Hs.84318	1.22	4.126
TcD37 homolog	1430538	Hs.332683	1.22	4.269
EST, Highly similar to S71752 giant protein p619 - human [H.sapiens]	3520261	Hs.306359	1.22	4.909
DKFZP547E1010 protein	1730581	Hs.323817	1.21	4.476
hypothetical protein MGC2217	2291135	Hs.323164	1.21	4.172
chromosome 9 open reading frame 5	2364156	Hs.86412	1.21	4.178
family with sequence similarity 11 member A	1493488	Hs.11522	1.21	4.123
H-2K binding factor-2	1930602	Hs.347340	1.21	4.239
EST	1661837	Hs.7200	1.21	3.914
splicing factor, arginine/serine-rich 11	2862646	Hs.11482	1.2	4.148
ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	499870	Hs.84285	1.19	5.295
activator of basal transcription 1	1996818	Hs.109428	1.18	4.117
Homo sapiens, Similar to uterine protein, clone MGC:4279 IMAGE:3609552, mRNA, complete cds	1552481	Hs.372864	1.18	3.988
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1930654	Hs.82719	1.16	3.875
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1639631	Hs.27607	0.87	-4.302
VAMP (vesicle-associated membrane protein)-associated protein B and C	2469612	Hs.182625	0.85	-5.795
chromosome 13 open reading frame 1	2023022	Hs.388306	0.85	-4.511
KIAA0446 gene product	2778432	Hs.158286	0.84	-4.146
CASP2 and RIPK1 domain containing adaptor with death domain	747345	Hs.155566	0.83	-4.417
glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	1867652	Hs.1691	0.83	-3.861
KIAA0826 protein	4721227	Hs.169600	0.83	-4.196
insulin-degrading enzyme	148638	Hs.1508	0.83	-4.106
KIAA0451 gene product	1503868	Hs.18586	0.83	-4.258
potassium inwardly-rectifying channel, subfamily J, member 8	605831	Hs.102308	0.82	-4.581
membrane component, chromosome 17, surface marker 2 (ovarian carcinoma antigen CA125)	1719670	Hs.277721	0.81	-4.037
axin 1	2210158	Hs.184434	0.81	-3.971
ERO1-like (S. cerevisiae)	2171401	Hs.25740	0.81	-5.185
hypothetical protein FLJ10349	1798960	Hs.19333	0.81	-4.442
Fc fragment of IgG, high affinity Ia, receptor for (CD64)	1622987	Hs.77424	0.81	-4.872
ELK1, member of ETS oncogene family	2113257	Hs.181128	0.81	-4.096
LIM and SH3 protein 1	2059176	Hs.334851	0.81	-4.024
HCDI protein	1820846	Hs.7911	0.8	-3.907
hypothetical protein DKFZP761M1511	2364392	Hs.408727	0.8	-4.039
serine palmitoyltransferase, long chain base subunit 2	1753155	Hs.59403	0.8	-4.835
sterol carrier protein 2	1287840	Hs.75760	0.8	-4.404
RAB14, member RAS oncogene family	1684538	Hs.5807	0.8	-4.078
hypothetical protein BC010682	1493357	Hs.392911	0.8	-5.525
breast cancer anti-estrogen resistance 3	998849	Hs.6564	0.8	-4.452
zinc finger protein 103 homolog (mouse)	1843290	Hs.155968	0.8	-3.883
type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	1342493	Hs.247043	0.8	-4.51
acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	3425159	Hs.37	0.8	-4.613
lethal giant larvae homolog 2 (Drosophila)	1930207	Hs.3123	0.79	-4.141
serine/threonine kinase with Dbl- and pleckstrin homology domains	2285303	Hs.162189	0.79	-4.306
ATPase, Class II, type 9A	1942046	Hs.284791	0.79	-4.01
centaurin, beta 2	1449083	Hs.24340	0.79	-4.687
c-myc binding protein	2991221	Hs.78221	0.78	-4.535
annexin A11	2061771	Hs.75510	0.78	-4.327
nuclear factor, interleukin 3 regulated	1890123	Hs.79334	0.78	-4.161
transcriptional intermediary factor 1	2495292	Hs.183858	0.78	-4.207
aldehyde dehydrogenase 6 family, member A1	1794046	Hs.293970	0.78	-4.234
succinate dehydrogenase complex, subunit D, integral membrane protein	1773452	Hs.168289	0.78	-4.117
prefoldin 1	2057165	Hs.132881	0.78	-4.041
EST, Highly similar to I37468 house keeping gene 33 - human [H.sapiens]	1819287	Hs.400938	0.78	-4.076
CDC-like kinase 2	1699880	Hs.73986	0.78	-3.867
DKFZp564D177 protein	2355124	Hs.24608	0.78	-4.319
UDP-glucose pyrophosphorylase 2	2132203	Hs.77837	0.78	-5.281
cell division cycle 42 (GTP binding protein, 25kDa)	2834543	Hs.146409	0.78	-3.899
ESTs	2093274	Hs.408834	0.78	-4.52
GIOT-2 for gonadotropin inducible transcription repressor-2	2398861	Hs.251371	0.77	-4.037
cullin 3	2057912	Hs.78946	0.77	-5.22
2,4-dienoyl CoA reductase 1, mitochondrial	2380381	Hs.81548	0.77	-3.855
oxidative-stress responsive 1	1652555	Hs.95220	0.77	-4.666
capping protein (actin filament) muscle Z-line, alpha 1	2056163	Hs.184270	0.77	-4.599
proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	113452	Hs.90744	0.76	-5.892
Incyte EST	2243769		0.76	-3.997
ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	1931920	Hs.272630	0.76	-5.271
Human histone deacetylase HD1 mRNA, complete cds	1648251	Hs.398876	0.76	-4.321
phosphodiesterase 8A	2900572	Hs.78746	0.76	-5.213
Down syndrome critical region gene 3	1494184	Hs.26146	0.76	-5.417
holocytochrome c synthase (cytochrome c heme-lyase)	1522477	Hs.211571	0.76	-6.095
biotinidase	1623592	Hs.78885	0.76	-5.717
dynactin 2 (p50)	1873115	Hs.84153	0.76	-3.98
solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	2795249	Hs.79172	0.76	-3.918
diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	2060396	Hs.78888	0.75	-6.588
selenophosphate synthetase 2	1927090	Hs.118725	0.75	-4.393
guanylate binding protein 2, interferon-inducible	1610993	Hs.171862	0.75	-3.972
ATP-binding cassette, sub-family B (MDR/TAP), member 6	2190644	Hs.107911	0.75	-4.584
phosphofructokinase, liver	885601	Hs.155455	0.75	-4.555
sperm associated antigen 9	2004896	Hs.129872	0.74	-4.988
ARP3 actin-related protein 3 homolog (yeast)	463218	Hs.5321	0.74	-4.942
cathepsin Z	1911694	Hs.252549	0.74	-4.546
hypothetical protein FLJ20343	1547733	Hs.252692	0.74	-4.674
NCK adaptor protein 1	1833038	Hs.54589	0.74	-4.536
transducer of ERBB2, 1	1603605	Hs.178137	0.74	-4.655
CDC14 (cell division cycle 14, S. cerevisiae) homolog B	3438934		0.74	-7.102
selenophosphate synthetase 2	1687542	Hs.118725	0.73	-5.857
protein phosphatase 2, regulatory subunit B (B56), alpha isoform	1857808	Hs.155079	0.73	-5.787
capping protein (actin filament) muscle Z-line, alpha 2	1987102	Hs.75546	0.73	-4.734
meningioma expressed antigen 6 (coiled-coil proline-rich)	1721320	Hs.117242	0.73	-8.3
nuclear cap binding protein subunit 1, 80kDa	999424	Hs.89563	0.73	-5.473
cytochrome c	1926255	Hs.169248	0.73	-4.287
UDP-glucose ceramide glucosyltransferase	1601323	Hs.395863	0.72	-4.607
N-ethylmaleimide-sensitive factor attachment protein, gamma	1438127	Hs.7181	0.72	-6.946
phytanoyl-CoA hydroxylase (Refsum disease)	4073867	Hs.172887	0.72	-5.985
KIAA0247 gene product	1626786	Hs.82426	0.72	-5.495
KIAA0143 protein	1739863	Hs.84087	0.72	-5.594
abhydrolase domain containing 3	1922875	Hs.387828	0.72	-4.597
makorin, ring finger protein, 1	1742212	Hs.7838	0.72	-4.375
Rho-specific guanine nucleotide exchange factor p114	1734113	Hs.6150	0.71	-5.054
sudD suppressor of bimD6 homolog (A. nidulans)	1730689	Hs.209061	0.71	-6.192
hypothetical protein BC017169	31521	Hs.75639	0.71	-6.625
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1695917	Hs.831	0.71	-4.764
dimethylarginine dimethylaminohydrolase 2	1911142	Hs.247362	0.71	-4.913
phosphatidylinositol-4-phosphate 5-kinase, type I, beta	1347384	Hs.78406	0.71	-4.499
cisplatin resistance associated	1682176	Hs.166066	0.71	-5.597
ADP-ribosylation factor 3	1688468	Hs.119177	0.71	-4.145
nucleoporin 50kDa	1597207	Hs.367697	0.71	-6.127
pyruvate dehydrogenase kinase, isoenzyme 4	1902929	Hs.408823	0.71	-4.123
protease, serine, 12 (neurotrypsin, motopsin)	2500511	Hs.22404	0.7	-5.332
nucleotide-sugar transporter similar to C. elegans sqv-7	1634141	Hs.90078	0.7	-6.25
KIAA0711 gene product	1857475	Hs.5333	0.7	-9.21
transmembrane receptor Unc5H2	2954801	Hs.183918	0.7	-6.069
mitogen-activated protein kinase kinase kinase 13	4173045	Hs.377067	0.7	-5.583
hypothetical protein FLJ22301	1963819	Hs.181406	0.7	-4.687
cytochrome P450, subfamily XXVIIA (steroid 27-hydroxylase, cerebrotendinous xanthomatosis), polypeptide 1	1818744	Hs.82568	0.7	-4.362
ESTs	2957644	Hs.296031	0.7	-5.095
propionyl Coenzyme A carboxylase, beta polypeptide	465957	Hs.63788	0.7	-5.404
SCO cytochrome oxidase deficient homolog 1 (yeast)	644927	Hs.14511	0.7	-4.962
transmembrane protein 1	2285180	Hs.94479	0.69	-4.119
protein tyrosine kinase 9-like (A6-related protein)	3999291	Hs.6780	0.69	-4.735
dystroglycan 1 (dystrophin-associated glycoprotein 1)	1461210	Hs.76111	0.69	-4.38
transmembrane 4 superfamily member 2	1986737	Hs.82749	0.69	-6.028
protein tyrosine phosphatase, receptor type, F	2626971	Hs.75216	0.69	-4.356
H2A histone family, member L	2514926	Hs.28777	0.69	-5.932
Human casein kinase I delta mRNA, complete cds	1995389	Hs.401052	0.69	-6.994
AU RNA binding protein/enoyl-Coenzyme A hydratase	1967178	Hs.81886	0.69	-6.416
serine/threonine kinase 17a (apoptosis-inducing)	2416415	Hs.9075	0.69	-5.91
lectin, galactoside-binding, soluble, 3 (galectin 3)	2921194	Hs.621	0.69	-5.613
mesoderm specific transcript homolog (mouse)	3119987	Hs.79284	0.68	-3.905
Hermansky-Pudlak syndrome 1	2203196	Hs.83951	0.68	-6.448
microsomal glutathione S-transferase 3	2680410	Hs.111811	0.68	-5.679
protein phosphatase 1, catalytic subunit, alpha isoform	1985366	Hs.183994	0.68	-3.95
HIV-1 Tat interactive protein 2, 30kDa	975034	Hs.90753	0.68	-6.908
alpha-methylacyl-CoA racemase	3275493	Hs.128749	0.68	-7.076
gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)	743595	Hs.333303	0.68	-5.027
Fc fragment of IgG, receptor, transporter, alpha	1871295	Hs.111903	0.68	-3.974
absent in melanoma 1	2075425	Hs.161002	0.68	-4.249
meningioma expressed antigen 6 (coiled-coil proline-rich)	2378482	Hs.117242	0.68	-5.625
egl nine homolog 1 (C. elegans)	3409394	Hs.6523	0.68	-5.188
diacylglycerol kinase, theta 110kDa	4776291	Hs.99932	0.68	-6.074
EST, Highly similar to MPK2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK2) [H.sapiens]	2916879	Hs.400970	0.67	-5.255
bone morphogenetic protein 1	1804401	Hs.1274	0.67	-5.69
phospholipase D1, phophatidylcholine-specific	1330492	Hs.82587	0.67	-7.309
sorting nexin 13	2191752	Hs.283881	0.67	-7.325
guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	547319	Hs.203862	0.67	-4.957
HUS1 checkpoint homolog (S. pombe)	2308302	Hs.152983	0.67	-6.028
zinc finger protein 217	1926657	Hs.155040	0.67	-4.603
cathepsin C	1822716	Hs.10029	0.67	-5.059
gene with multiple splice variants near HD locus on 4p16.3	1996601	Hs.325987	0.67	-6.539
ESTs	2416850	Hs.380683	0.67	-4.959
kinesin family member 1B	1781525	Hs.375193	0.67	-7.106
mercaptopyruvate sulfurtransferase	1755122	Hs.248267	0.66	-5.754
phosphoglucomutase 1	1985244	Hs.1869	0.66	-6.695
pre-B-cell colony-enhancing factor	1641590	Hs.239138	0.66	-4.379
lactate dehydrogenase A	1335140	Hs.2795	0.66	-4.35
protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	3248342	Hs.57764	0.66	-7.799
interferon gamma receptor 2 (interferon gamma transducer 1)	1959740	Hs.177559	0.66	-6.523
prostatic binding protein	2964940	Hs.80423	0.66	-5.979
dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	2253906	Hs.173135	0.66	-4.682
aldehyde dehydrogenase 3 family, member A2	2009053	Hs.159608	0.65	-7.391
baculoviral IAP repeat-containing 4	2912879	Hs.172777	0.65	-5.669
glutamate dehydrogenase 1	3136857	Hs.77508	0.65	-4.37
hypothetical protein MGC5178	1694591	Hs.274614	0.65	-4.337
propionyl Coenzyme A carboxylase, alpha polypeptide	196975	Hs.80741	0.65	-7.361
peroxiredoxin 1	3942594	Hs.180909	0.65	-7.17
ESTs, Weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]	2922560	Hs.24359	0.65	-4.481
CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	2060621	Hs.42346	0.65	-6.903
hypothetical protein MGC5178	2823937	Hs.274614	0.65	-5.46
KIAA0914 gene product	1458366	Hs.177664	0.65	-6.021
sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)	3686211	Hs.77813	0.64	-7.738
monoglyceride lipase	2174920	Hs.6721	0.64	-5.973
cytoplasmic FMR1 interacting protein 1	1813281	Hs.77257	0.64	-6.362
pyruvate dehydrogenase kinase, isoenzyme 2	1268470	Hs.92261	0.64	-4.232
NRAS-related gene	2816984	Hs.69855	0.64	-6.787
activin A receptor, type II	3742428	Hs.26014	0.64	-4.984
Link guanine nucleotide exchange factor II	1857048	Hs.118562	0.64	-4.955
epithelial membrane protein 1	1624024	Hs.79368	0.64	-5.576
voltage-dependent anion channel 1	2185405	Hs.149155	0.64	-10.24
solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	1939036	Hs.184276	0.64	-5.41
solute carrier family 39 (zinc transporter), member 4	630458	Hs.352415	0.63	-5.739
phospholipase C, delta 1	1809336	Hs.80776	0.63	-3.921
BCL2-antagonist/killer 1	2055687	Hs.93213	0.63	-4.404
cathepsin L2	2935790	Hs.87417	0.63	-4.659
MAX interacting protein 1	875567	Hs.118630	0.63	-5.072
electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	702860	Hs.169919	0.63	-7.728
gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)	1832973	Hs.333303	0.63	-5.495
EST, Highly similar to JC5286 thiosulfate sulfurtransferase (EC 2.8.1.1) - human [H.sapiens]	1988239	Hs.397174	0.63	-7.504
biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	2373443	Hs.351334	0.63	-5.888
MAD, mothers against decapentaplegic homolog 3 (Drosophila)	1858365	Hs.389759	0.63	-5.186
flavin containing monooxygenase 4	2462342	Hs.2664	0.63	-5.561
solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	2364159	Hs.13845	0.63	-7.704
glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2509789	Hs.93201	0.63	-5.096
procollagen (type III) N-endopeptidase	1925222	Hs.183138	0.63	-4.137
KIAA0063 gene product	3227603	Hs.3094	0.63	-4.093
quinone oxidoreductase homolog	2395269	Hs.125910	0.63	-5.865
putative L-type neutral amino acid transporter	2880132	Hs.110	0.62	-9.476
carbonyl reductase 1	1633249	Hs.88778	0.62	-8.26
Incyte EST	3441835		0.62	-6.61
procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	1405940	Hs.41270	0.62	-5.238
small EDRK-rich factor 1A (telomeric)	1486513	Hs.32567	0.62	-5.572
voltage-dependent anion channel 1	2477073	Hs.149155	0.62	-6.412
EST	2802675	Hs.21415	0.62	-6.857
KIAA0528 gene product	1485355	Hs.30656	0.62	-6.985
baculoviral IAP repeat-containing 3	1513214	Hs.127799	0.62	-5.227
annexin A4	30291	Hs.77840	0.62	-8.14
hook2 protein	1394835	Hs.30792	0.61	-6.139
protein phosphatase 1, catalytic subunit, gamma isoform	1697577	Hs.79081	0.61	-6.835
DKFZP586A0522 protein	1965049	Hs.288771	0.61	-4.312
interleukin 6 receptor	873406	Hs.193400	0.61	-5.173
ESTs	1453577	Hs.408829	0.61	-6.106
cyclin-dependent kinase 3	1698903	Hs.100009	0.61	-4.264
filamin B, beta (actin binding protein 278)	1871362	Hs.81008	0.61	-6.659
ectonucleotide pyrophosphatase/phosphodiesterase 1	1568123	Hs.11951	0.61	-8.462
serine/threonine kinase 38	3318571	Hs.8724	0.6	-5.318
3-phosphoadenosine 5-phosphosulfate synthase 2	1603408	Hs.274230	0.6	-6.486
KIAA0143 protein	517085	Hs.84087	0.6	-8.137
calpastatin	1453748	Hs.9347	0.6	-6.557
cystatin B (stefin B)	566886	Hs.695	0.59	-8.345
IQ motif containing GTPase activating protein 2	1877913	Hs.78993	0.59	-9.193
solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	1857756	Hs.13845	0.59	-7.791
hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	1997828	Hs.146812	0.59	-6.336
thyroid hormone receptor interactor 10	1655192	Hs.73999	0.59	-6.434
hypothetical protein FLJ10824	1457726	Hs.13273	0.59	-5.541
alcohol dehydrogenase 1C (class I), gamma polypeptide	1583076	Hs.2523	0.59	-5.602
nuclear receptor subfamily 1, group H, member 3	1512213	Hs.347353	0.58	-8.21
peptidase D	978483	Hs.73947	0.58	-5.23
glutaredoxin (thioltransferase)	1238577	Hs.28988	0.58	-4.378
heat shock 70kDa protein 1A	1696224	Hs.8997	0.58	-5.271
acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1988940	Hs.79158	0.58	-8.76
enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	2235870	Hs.76394	0.58	-5.394
interferon, alpha-inducible protein 27	2900277	Hs.278613	0.58	-5.643
chromosome 22 open reading frame 19	1712347	Hs.75361	0.57	-11.66
glutaminase	1832644	Hs.239189	0.57	-7.226
caspase 7, apoptosis-related cysteine protease	1421493	Hs.9216	0.57	-7.935
ubiquitin-conjugating enzyme E2A (RAD6 homolog)	1920756	Hs.80612	0.57	-8.844
KIAA0528 gene product	2918605	Hs.30656	0.56	-8.609
peroxisome proliferative activated receptor, gamma	1668572	Hs.100724	0.56	-4.208
chromosome 20 open reading frame 3	1967339	Hs.22391	0.56	-10.764
G-protein gamma-12 subunit	1640161	Hs.408936	0.56	-4.345
pyruvate dehydrogenase kinase, isoenzyme 3	941077	Hs.193124	0.56	-4.131
ESTs	1661184	Hs.89986	0.56	-4.937
aminolevulinate, delta-, synthase 1	943569	Hs.78712	0.56	-5.704
carnitine acetyltransferase	1506256	Hs.12068	0.55	-5.018
hypothetical protein FLJ10462	3592281	Hs.100895	0.55	-4.526
enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	755574	Hs.1531	0.55	-4.239
malic enzyme 2, NAD(+)-dependent, mitochondrial	3485929	Hs.75342	0.55	-7.856
kinesin-associated protein 3	1633816	Hs.171374	0.55	-10.812
KIAA0222 gene product	2918541	Hs.48450	0.54	-4.096
interferon stimulated gene 20kDa	2238363	Hs.183487	0.54	-4.653
L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	1550727		0.54	-9.477
hexokinase 2	2769888	Hs.198427	0.54	-3.868
Sec23 homolog A (S. cerevisiae)	974896	Hs.272927	0.53	-6.999
peroxisomal biogenesis factor 11A	3114289	Hs.31034	0.53	-11.233
electron-transferring-flavoprotein dehydrogenase	1833352	Hs.323468	0.53	-9.673
potassium voltage-gated channel, Shaw-related subfamily, member 1	5015259	Hs.181768	0.52	-6.833
CD24 antigen (small cell lung carcinoma cluster 4 antigen)	1921393	Hs.381003	0.52	-4.313
UDP glycosyltransferase 1 family, polypeptide A4	86450	Hs.2056	0.52	-4.213
hypothetical protein IR1899308	1444895	Hs.142846	0.52	-4.161
microsomal glutathione S-transferase 1	1995380	Hs.355733	0.52	-6.052
glycerol kinase	4328766	Hs.1466	0.51	-5.238
KIAA0677 gene product	876860	Hs.155983	0.5	-4.173
coronin, actin binding protein, 2A	2210264	Hs.44396	0.49	-6.722
heme oxygenase (decycling) 1	1879811	Hs.202833	0.49	-5.903
adipose differentiation-related protein	1985104	Hs.3416	0.49	-4.467
death-associated protein kinase 2	1538118	Hs.129208	0.49	-6.572
Sjogren syndrome antigen A1 (52kDa, ribonucleoprotein autoantigen SS-A/Ro)	1805957	Hs.1042	0.49	-4.006
EST, Weakly similar to PC1_HUMAN Ectonucleotide pyrophosphatase/phosphodiesterase 1 (Plasma-cell membrane glycoprotein PC-1) [Includes: Alkaline phosphodiesterase I ; Nucleotide pyrophosphatase (NPPASE)] [H.sapiens]	1807264	Hs.264750	0.49	-4.764
UDP-glucose dehydrogenase	3070110	Hs.28309	0.49	-4.541
ATP-binding cassette, sub-family G (WHITE), member 2	2081843	Hs.194720	0.49	-4.02
natural killer cell transcript 4	395086	Hs.943	0.49	-4.549
ubiquitin-conjugating enzyme E2A (RAD6 homolog)	1814378	Hs.80612	0.48	-9.784
Human calcium-binding protein chp mRNA, complete cds	1869139	Hs.401014	0.48	-4.922
CCAAT/enhancer binding protein (C/EBP), alpha	1831207	Hs.76171	0.48	-3.908
solute carrier family 27 (fatty acid transporter), member 2	2658782	Hs.11729	0.47	-4.41
EST	1740542	Hs.49476	0.47	-6.08
Incyte EST	2255234		0.46	-5.923
eyes absent homolog 2 (Drosophila)	2187925	Hs.29279	0.46	-6.297
Homo sapiens mannosidase, alpha, class 1A, member 1 (MAN1A1), mRNA	963211	Hs.388080	0.44	-8.385
hypothetical protein MGC11034	1998510	Hs.103378	0.43	-9.732
guanine nucleotide binding protein 10	1853229	Hs.160483	0.43	-6.933
hydroxyprostaglandin dehydrogenase 15-(NAD)	1578941	Hs.77348	0.43	-5.431
solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	4073012	Hs.239106	0.42	-5.45
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	1807407	Hs.59889	0.42	-5.872
Homo sapiens mannosidase, alpha, class 1A, member 1 (MAN1A1), mRNA	887868	Hs.388080	0.42	-5.081
tyrosine kinase, non-receptor, 1	1602069	Hs.203420	0.41	-4.451
basigin (OK blood group)	2182907	Hs.74631	0.4	-5.652
uridine phosphorylase	1806435	Hs.77573	0.39	-7.523
EST	1813156	Hs.401106	0.38	-9.148
2,5-oligoadenylate synthetase 1, 40/46kDa	1701725	Hs.82396	0.38	-5.58
glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	1966455	Hs.934	0.38	-4.185
glypican 3	645584	Hs.119651	0.38	-4.265
apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	212573	Hs.226307	0.37	-7.945
