Parametric p-value	Permutation p-value	Geom mean of ratios in class 1 : N	Geom mean of ratios in class 2 : R	Geom mean of ratios in class 3 : T	Unique id	Description	Clone	UG cluster	Gene symbol	Map
2.21E-05	0	0.532	1.326	1.183	164945	retinitis pigmentosa GTPase regulator	311313	Hs.153614	RPGR	Xp11.4
2.25E-05	5.00E-04	1.959	2.137	4.826	164646	galactose-4-epimerase, UDP-	1807294	Hs.76057	GALE	1p36-p35
2.31E-05	0	0.328	0.596	0.979	162921	hypothetical protein FLJ32029	2929840	Hs.26612	FLJ32029	11q13.3
2.35E-05	0	0.228	0.549	0.974	163848	oxysterol binding protein-like 6	2245743	Hs.318775	OSBPL6	2q31-q32.1
2.46E-05	5.00E-04	0.288	0.24	0.917	166853	EphA2	1958394	Hs.171596	EPHA2	1p36
2.49E-05	0	0.539	0.885	0.746	165486	component of oligomeric golgi complex 8	2462127	Hs.224179	COG8	16q22.1
2.55E-05	5.00E-04	0.729	1.023	1.836	165059	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	1726407	Hs.348024	RALB	2cen-q13
2.60E-05	0	0.021	0.215	0.544	167527	forkhead box J1	2867091	Hs.93974	FOXJ1	17q22-17q25
2.64E-05	0	0.275	0.917	1.109	160377	oxytocin receptor	640605	Hs.2820	OXTR	3p25
2.77E-05	0	0.407	1.1	1.35	161218	phosphodiesterase 8B	1684787	Hs.78106	PDE8B	5q13.2
2.79E-05	0	0.308	0.594	0.528	161673	Human clone CE29 7.2	3712928	Hs.133065	NA	2
2.79E-05	0	0.527	0.965	1.065	166495	zinc finger protein 135 (clone pHZ-17)	3176222	Hs.374293	ZNF135	19q13.4
2.81E-05	0	0.255	0.604	0.654	166754	hypothetical protein DJ667H12.2	1757834	Hs.21068	NA	1q32.1-q41
2.87E-05	0	0.557	0.92	0.975	165151	Homo sapiens cDNA FLJ33989 fis, clone DFNES2006944.	3282436	Hs.118421	NA	4
2.89E-05	0	2.269	1.105	0.731	166838	cyclin D2	1618422	Hs.75586	CCND2	12p13
2.98E-05	0	0.418	0.132	0.829	163544	defensin, beta 1	2912830	Hs.32949	DEFB1	8p23.2-p23.1
2.99E-05	0	1.373	3.274	6.143	169321	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	2966620	Hs.75106	CLU	8p21-p12
3.04E-05	0	0.667	0.397	1.01	166392	nuclear receptor coactivator 6 interacting protein	2239295	Hs.179909	NCOA6IP	8q11
3.06E-05	0	0.662	2.3	2.372	165183	cysteine-rich protein 2	2672064	Hs.70327	CRIP2	14q32.3
3.09E-05	5.00E-04	0.796	0.471	4.026	163959	ESTs, Weakly similar to CGHU7L collagen alpha 1(III) chain precursor - human [H.sapiens]	938641	Hs.355747	NA	1
3.17E-05	0	0.134	0.527	1.62	160220	aldehyde dehydrogenase 1 family, member A1	96425	Hs.76392	ALDH1A1	9q21.13
3.27E-05	0	0.107	0.334	0.544	161341	vanin 1	3843507	Hs.12114	VNN1	6q23-q24
3.36E-05	0	0.353	0.847	1.069	162297	hypothetical protein FLJ20375	995821	Hs.274251	FLJ20375	9p21
3.45E-05	0	0.134	0.275	0.505	162984	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	2488807	Hs.24697	CMAH	6p21.32
3.47E-05	0	1.361	0.516	0.547	169575	fibromodulin	1999120	Hs.230	FMOD	1q32
3.54E-05	0	1.547	0.651	0.619	163006	frizzled homolog 7 (Drosophila)	2736837	Hs.173859	FZD7	2q33
3.59E-05	0	1.409	1.528	0.837	164402	lamin B receptor	1803808	Hs.152931	LBR	1q42.1
3.60E-05	0	0.292	0.58	1.012	164496	KIAA0284 protein	1890138	Hs.182536	KIAA0284	14q32.33
3.66E-05	0	0.66	1.16	1.161	166926	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	1616328	Hs.284202	XPNPEP1	10q25.3
3.69E-05	0	0.062	0.644	0.483	159916	lactotransferrin	1861911	Hs.105938	LTF	3q21-q23
3.70E-05	0	2.11	5.258	6.128	166366	macrophage stimulating, pseudogene 9	1379063	Hs.278657	MSTP9	1p36.13
3.85E-05	5.00E-04	0.59	0.324	1.265	159972	pre-B-cell colony-enhancing factor	1641590	Hs.239138	PBEF	7q22.1
3.96E-05	0	1.102	1.332	0.791	168466	high mobility group nucleosomal binding domain 4	1748670	Hs.236774	HMGN4	6p21.3
4.09E-05	5.00E-04	3.183	4.287	7.102	162705	loss of heterozygosity, 11, chromosomal region 2, gene A	2760753	Hs.152944	LOH11CR2A	11q23
4.17E-05	0	1.579	0.702	0.618	167861	chromosome 12 open reading frame 5	566860	Hs.24792	C12orf5	12p13.3
4.33E-05	0	0.684	1.138	1.015	166356	hypothetical protein LOC125150	2556708	Hs.379903	LOC125150	17p11.2
4.53E-05	0	0.554	0.868	1.312	160920	meningioma expressed antigen 6 (coiled-coil proline-rich)	1721320	Hs.117242	MGEA6	14q
4.62E-05	0	0.05	0.332	0.657	162045	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	2799253	Hs.72050	NME5	5q31
4.69E-05	0	0.465	1.275	1.07	160052	rTS beta protein	1808980	Hs.180433	HSRTSBETA	18p11.32
4.93E-05	0	0.19	0.451	0.656	169399	pregnancy-zone protein	279949	Hs.74094	PZP	12p13-p12.2
5.00E-05	0	0.208	0.539	0.985	163597	hypothetical protein FLJ20366	1755193	Hs.8358	FLJ20366	8q23.2
5.02E-05	0	0.875	0.476	0.378	165241	hypothetical protein LOC283658	1236752	Hs.87194	LOC283658	15q21.1
5.15E-05	0	0.198	0.561	0.447	166837	ESTs	2359527	Hs.279482	NA	2
5.16E-05	0	1.032	4.785	6.908	163726	complement component 3	1513989	Hs.284394	C3	19p13.3-p13.2
5.17E-05	0	0.266	0.71	0.823	162518	KIAA0445 gene product	2119925	Hs.301065	KIAA0445	1pter-p36.11
5.19E-05	0	4.641	2.894	2.16	169184	centromere protein F, 350/400ka (mitosin)	485111	Hs.77204	CENPF	1q32-q41
5.34E-05	0	0.223	0.697	0.658	160618	Probe hTg737 (polycystic kidney disease, autosomal recessive)	1663493	Hs.2291	TG737	13q12.1
5.40E-05	0	0.527	1.241	0.97	162169	cold inducible RNA binding protein	180164	Hs.119475	CIRBP	19p13.3
5.45E-05	0	0.256	0.374	1.053	169297	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	1615557	Hs.78867	PTPRZ1	7q31.3
5.46E-05	0	0.592	0.779	1.628	160680	apolipoprotein D	3948420	Hs.75736	APOD	3q26.2-qter
5.68E-05	0	0.524	0.972	0.618	166440	chromosome 21 open reading frame 66	1358710	Hs.283771	C21orf66	21q21.3
5.71E-05	0	1.213	1.836	1.812	162500	glycosyltransferase AD-017	1924806	Hs.283737	AD017	3p21.31
5.96E-05	0	0.75	1.481	1.469	168608	receptor (calcitonin) activity modifying protein 2	1988044	Hs.155106	RAMP2	17q12-q21.1
5.98E-05	0	0.097	0.355	0.491	162422	EBNA1 binding protein 2	5508378	Hs.346868	EBNA1BP2	1p35-p33
6.02E-05	0	1.556	1.07	0.814	162906	hypothetical protein FLJ11294	2070313	Hs.107000	FLJ11294	2q14.3
6.07E-05	0	0.375	1.995	3.9	164418	connective tissue growth factor	1674454	Hs.75511	CTGF	6q23.1
6.07E-05	0	0.698	0.843	0.521	162828	nucleoporin-like protein 1	1922694	Hs.168352	NLP_1	7p15
6.13E-05	0	0.575	0.834	1.619	165160	synaptotagmin-like 2	1415307	Hs.92254	SYTL2	11q14
6.14E-05	5.00E-04	0.545	0.438	1.483	162552	Kruppel-like factor 4 (gut)	1962235	Hs.356370	KLF4	9q31
6.23E-05	0	0.277	0.55	0.523	163349	Homo sapiens cDNA FLJ30016 fis, clone 3NB692000429.	1570161	Hs.14931	NA	10
6.31E-05	0	0.434	0.771	0.663	164169	SECIS binding protein 2	1877743	Hs.288141	SBP2	9q22.1
6.31E-05	0	0.528	1.224	1.282	163044	Homo sapiens cDNA FLJ36248 fis, clone THYMU2001989.	2705256	Hs.41352	NA	3
6.32E-05	0	0.855	1.599	1.858	167899	hypothetical protein FLJ20477	2313030	Hs.26994	FLJ20477	1p35.3
6.33E-05	0	0.438	0.693	0.565	161560	Incyte EST	2160566	NA	NA	NA
6.34E-05	0	0.306	0.741	1.148	165146	chromosome 9 open reading frame 9	2241912	Hs.62595	C9orf9	9q34
6.35E-05	0	0.565	0.972	0.743	166609	hypothetical protein FLJ20003	1921914	Hs.258798	FLJ20003	10q26.13
6.40E-05	0	0.222	0.379	0.916	169070	serine/threonine kinase with Dbl-and pleckstrin homology domains	2285303	Hs.162189	TRAD	3q21.2
6.42E-05	0	1.965	3.333	2.705	161058	multiple endocrine neoplasia I	1693847	Hs.423348	MEN1	11q13
6.45E-05	0	0.741	1.303	1.413	169237	lecithin-cholesterol acyltransferase	2395357	NA	NA	NA
6.49E-05	0	0.84	1.875	1.043	168879	ESTs, Weakly similar to hypothetical protein FLJ22184 [Homo sapiens] [H.sapiens]	1451756	Hs.23272	NA	6
6.65E-05	0	0.899	1.135	0.663	162949	RNA binding motif protein 15	1379395	Hs.46670	RBM15	1p13
6.71E-05	0	1.115	0.624	0.569	168455	Homo sapiens cDNA FLJ13427 fis, clone PLACE1002477	599050	Hs.88605	NA	2
6.74E-05	0	1.046	0.489	0.794	167876	ESTs	1888036	Hs.427773	NA	2
6.84E-05	0	0.146	0.487	0.716	163656	ESTs	2360418	Hs.432503	NA	1
7.02E-05	0	3.66	0.344	4.471	168350	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	557012	Hs.75716	SERPINB2	18q21.3
7.05E-05	0	0.475	1.071	0.77	166954	hypothetical protein FLJ10081	1215329	Hs.7871	FLJ10081	2p12-p11.2
7.06E-05	5.00E-04	0.429	0.71	0.507	163060	Homo sapiens mRNA; cDNA DKFZp313P0917 (from clone DKFZp313P0917)	1753040	Hs.322851	NA	9
7.08E-05	0	1.75	1.61	1.114	164934	KIAA1340 protein	2917963	Hs.51743	KIAA1340	12p11.23
7.25E-05	0	0.316	0.173	0.793	161148	kallikrein 10	2851003	Hs.69423	KLK10	19q13.3-q13.4
7.27E-05	0	3.06	2.074	1.555	163116	chromosome 1 open reading frame 19	1665871	Hs.32058	C1orf19	1q25
7.29E-05	0	2.031	1.086	0.946	167473	cyclin B1	2877029	Hs.23960	CCNB1	5q12
7.35E-05	0	0.301	0.678	0.994	165609	tetraspan 2	3201831	Hs.234863	TSPAN2	1p12
7.48E-05	0	2.699	4.138	5.473	162472	angiogenin, ribonuclease, RNase A family, 5	2263493	Hs.332764	ANG	14q11.1-q11.2
7.62E-05	0	1.535	0.745	0.765	164487	hypothetical protein FLJ10116	2381415	Hs.79741	FLJ10116	2q35
7.81E-05	5.00E-04	0.732	0.884	1.216	164199	myc-induced nuclear antigen, 53 kDa	2200984	Hs.23294	MINA53	3q12.1
7.96E-05	0	0.246	0.465	0.622	162662	cytochrome P450, family 4, subfamily F, polypeptide 12	2252321	Hs.180570	CYP4F12	19p13.1
8.10E-05	0	0.092	0.376	0.579	161793	dynein, axonemal, heavy polypeptide 9	4290210	Hs.284259	DNAH9	17p12
8.13E-05	0	0.117	0.23	0.538	165060	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	1406071	Hs.152981	CDS1	4q21.23
8.30E-05	0	0.842	1.186	0.524	162598	lymphocyte adaptor protein	1959371	Hs.13131	LNK	12q24
8.32E-05	0	0.272	0.519	0.695	166747	insulin receptor	1349193	Hs.89695	INSR	19p13.3-p13.2
8.33E-05	0	0.18	0.054	0.058	166687	claudin 1	2257362	Hs.7327	CLDN1	3q28-q29
8.37E-05	0	0.8	1.303	2.605	166870	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	1698713	Hs.199067	ERBB3	12q13
8.38E-05	0	0.602	0.985	1.592	164412	carboxylesterase 2 (intestine, liver)	1804662	Hs.282975	CES2	16q21
8.45E-05	0	1.531	0.775	1.137	159879	a disintegrin and metalloproteinase domain 11	2602282	Hs.6088	ADAM11	17q21.3
8.63E-05	0	0.259	0.612	0.556	163002	chromosome 21 open reading frame 4	2075469	Hs.284142	C21orf4	21q22.11
8.63E-05	0	0.332	1.87	3.669	166770	BRCA1 associated protein	1623214	Hs.122764	BRAP	12q24
8.70E-05	0	3.821	3.315	1.829	160323	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2056149	Hs.90280	ATIC	2q35
8.75E-05	0	0.138	0.517	0.485	159918	myeloid differentiation primary response gene (88)	1879114	Hs.82116	MYD88	3p22
9.09E-05	0	0.847	0.065	0.496	163972	Small proline-rich protein SPRK [human, odontogenic keratocysts, mRNA Partial, 317 nt]	1599293	Hs.46320	NA	1
9.21E-05	0	0.756	1.388	1.232	161835	peroxisome biogenesis factor 10	3115936	Hs.247220	PEX10	1p36.32
9.35E-05	0	0.91	2.591	4.459	167507	nucleobindin 2	1760517	Hs.3164	NUCB2	11p15.1-p14
9.35E-05	0	2.869	1.298	0.934	160112	phorbol-12-myristate-13-acetate-induced protein 1	1931117	Hs.96	PMAIP1	18q21.31
9.35E-05	0	0.347	1.107	1.911	167661	ectonucleotide pyrophosphatase/phosphodiesterase 3	1807264	Hs.264750	ENPP3	6q22
9.39E-05	0	0.518	0.453	1.193	169333	hypothetical protein MGC29643	2016229	Hs.372651	MGC29643	2q21.1
9.40E-05	5.00E-04	0.675	1.937	2.07	160252	paraneoplastic antigen MA1	1399490	Hs.194709	PNMA1	14q24.1
9.41E-05	0	3.646	2.69	6.422	168958	Homo sapiens cDNA: FLJ20869 fis, clone ADKA02377.	3143579	Hs.194101	NA	12
9.45E-05	0	0.837	0.068	0.769	164380	keratin 4	1600453	Hs.3235	KRT4	12q12-q13
9.60E-05	0	2.072	0.51	1.746	166117	epiregulin	443631	Hs.115263	EREG	4q21.1
9.64E-05	5.00E-04	1.698	0.677	0.733	162098	matrix metalloproteinase 11 (stromelysin 3)	1996013	Hs.155324	MMP11	22q11.23
9.67E-05	0	1.763	2.93	4.794	165093	RNA binding protein with multiple splicing	2190284	Hs.80248	RBPMS	8p12-p11
9.85E-05	0	1.255	1.174	0.824	167691	tumor necrosis factor receptor superfamily, member 9	191843	Hs.73895	TNFRSF9	1p36
9.85E-05	0	1.232	0.412	0.482	164193	piwi-like 2 (Drosophila)	2783496	Hs.58248	HIWI2	11q21
9.95E-05	0	1.332	1.077	0.889	163611	hypothetical protein FLJ20534	817061	Hs.44344	FLJ20534	4q32.3
0.0001004	0	0.322	0.624	0.66	161043	ATP synthase mitochondrial F1 complex assembly factor 2	1648517	Hs.13434	ATPAF2	17
0.0001005	0	0.395	1.822	1.361	161626	polycystic kidney disease 1 (autosomal dominant)	1887011	Hs.75813	PKD1	16p13.3
0.0001009	0	1.233	1.496	1.065	161446	Splicing factor, arginine/serine-rich, 46kD	2511735	Hs.155160	SRP46	11q22
0.0001017	0	0.891	0.279	0.408	166517	gap junction protein, beta 5 (connexin 31.1)	1923289	Hs.198249	GJB5	1p35.1
0.0001023	5.00E-04	0.608	0.866	2.106	168031	transmembrane 4 superfamily member 6	1701627	Hs.121068	TM4SF6	Xq22
0.0001043	0	0.518	0.396	0.864	160429	PTK6 protein tyrosine kinase 6	3255437	Hs.51133	PTK6	20q13.3
0.0001062	0	1.286	0.695	0.677	159935	troponin T2, cardiac	3029650	Hs.296865	TNNT2	1q32
0.0001072	0	0.45	0.803	0.709	168332	calcium channel, voltage-dependent, beta 1 subunit	877744	Hs.635	CACNB1	17q21-q22
0.0001076	0	0.681	0.685	1.344	167312	enthoprotin	1561222	Hs.132853	ENTH	5q23.1-q33.3
0.000108	0	0.307	0.739	0.95	162374	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	5505662	Hs.170027	MDM2	12q14.3-q15
0.0001088	0	1.674	0.764	0.664	164609	diacylglycerol O-acyltransferase homolog 2 (mouse)	1969044	Hs.334305	DGAT2	11q13.3
0.0001114	0	1.502	0.048	0.56	161554	small proline-rich protein 3	2797764	Hs.139322	SPRR3	1q21-q22
0.0001125	0	0.714	1.347	1.324	161642	nephronophthisis 4	2655615	Hs.106487	NPHP4	1p36.22
0.0001125	0	1.41	3.769	4.24	166841	asparaginase like 1	2009846	Hs.7331	ASRGL1	11q12.2
0.0001136	0	1.08	2.057	1.662	164498	KIAA0121 gene product	1930294	Hs.155584	KIAA0121	3p25.2
0.0001144	0	0.29	0.83	0.735	169716	galactosylceramidase (Krabbe disease)	1430428	Hs.273	GALC	14q31
0.0001157	5.00E-04	1.039	1.911	1.567	161062	chromosome 21 open reading frame 4	1710736	Hs.284142	C21orf4	21q22.11
0.0001163	0	0.754	1.608	2.005	160729	EGF-containing fibulin-like extracellular matrix protein 2	1967983	Hs.6059	EFEMP2	11q13
0.0001166	0	0.692	0.868	3.666	167619	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	3508771	Hs.77062	LILRB5	19q13.4
0.0001176	0	0.137	0.425	0.295	164587	Homo sapiens cDNA FLJ10158 fis, clone HEMBA1003463.	3144018	Hs.104627	NA	3
0.000118	0	0.558	1.166	1.319	159828	thyroid hormone receptor-associated protein (100 kDa)	1637576	Hs.23106	TRAP100	17q21.1
0.000121	5.00E-04	12.168	19.235	76.274	162202	transferrin	843421	Hs.396489	TF	3q21
0.0001212	5.00E-04	0.806	1.281	1.448	166493	zinc finger protein 262	3409136	Hs.150390	ZNF262	1p32-p34
0.0001213	0	0.042	0.333	0.563	163375	hypothetical protein DKFZp547I048	1939384	Hs.200286	DKFZp547I048	1p31.1
0.0001218	0	0.303	0.228	0.943	169666	monoamine oxidase A	1510714	Hs.183109	MAOA	Xp11.4-p11.3
0.0001221	0	0.963	0.491	1.259	164239	hypothetical protein MGC16491	3408084	Hs.59771	MGC16491	1p35.3
0.0001226	0	0.571	1.438	0.814	165269	solute carrier family 23 (nucleobase transporters), member 1	1259230	Hs.82042	SLC23A1	20p13
0.0001235	0	1.592	0.982	1.166	168493	RAB22A, member RAS oncogene family	775737	Hs.288968	RAB22A	20q13.31
0.0001248	0	1.296	2.783	4.095	163403	KIAA1324 protein	1808121	Hs.104696	KIAA1324	1p13.2
0.0001264	0	0.452	1.3	1.357	169699	IK cytokine, down-regulator of HLA II	1921520	Hs.8024	IK	5q31.3
0.0001275	0	0.48	0.866	0.696	161312	E1A binding protein p400	2739049	Hs.306094	EP400	12q24.33
0.0001288	0	0.972	0.629	0.449	165316	hypothetical protein FLJ13204	2113573	Hs.128905	FLJ13204	9p21.1
0.0001288	0	4.767	4.158	2.554	169468	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	2457759	Hs.30035	SFRS10	3q26.2-q27
0.0001294	0	6.732	5.344	3.776	162268	stathmin 1/oncoprotein 18	4059205	Hs.406269	STMN1	1p36.1-p35
0.0001301	0	1.132	1.68	2.088	162290	UDP-N-acteylglucosamine pyrophosphorylase 1	1997038	Hs.21293	UAP1	1q23.1
0.0001307	5.00E-04	0.439	0.742	0.764	168245	KIAA0563 gene product	1365507	Hs.339808	KIAA0563	17q24.3
0.0001313	0	2.141	1.642	1.087	164292	degenerative spermatocyte homolog, lipid desaturase (Drosophila)	2828192	Hs.185973	DEGS	1q42.12
0.0001326	0	0.83	0.69	1.487	161940	occludin	3980393	Hs.171952	OCLN	5q13.1
0.0001331	0	0.334	0.046	0.267	168788	interleukin 1 receptor antagonist	519653	Hs.81134	IL1RN	2q14.2
0.0001332	5.00E-04	0.926	1.448	0.981	168412	M-phase phosphoprotein 9	2508608	Hs.351230	MPHOSPH9	12q24.31
0.0001352	0	0.86	1.777	1.149	168433	hypothetical protein FLJ11342	941442	Hs.266514	FLJ11342	3q13.13
0.0001374	0	0.81	3.37	3.434	164205	Homo sapiens, clone IMAGE:5268696, mRNA	2396760	Hs.90286	NA	12
0.0001402	0	0.777	1.26	1.474	166662	protein kinase C, zeta	1888731	Hs.78793	PRKCZ	1p36.33-p36.2
0.0001421	0	0.877	1.654	1.463	167618	KIAA0998 protein	1444505	Hs.131525	KIAA0998	14q24.3
0.0001429	0	0.409	0.181	0.824	162328	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	2595929	Hs.183583	SERPINB1	6p25
0.0001449	5.00E-04	0.596	1.531	0.922	169726	KIAA1958 protein	4109001	Hs.350795	KIAA1958	9q32
0.0001463	0	0.611	1.234	2.142	161774	calcium and integrin binding 1 (calmyrin)	4626895	Hs.10803	CIB1	15q25.3-q26
0.0001472	0	0.642	1.135	1.628	169185	calpain 3, (p94)	2394888	Hs.293267	CAPN3	15q15.1-q21.1
0.0001486	5.00E-04	0.95	2.348	2.329	165465	KIAA0195 gene product	3203789	Hs.301132	KIAA0195	17q25.2
0.0001498	0	0.966	3.239	2.637	164737	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	1966067	Hs.183738	FARP1	13q32.2
0.0001501	0	0.559	1.071	1.834	166555	KIAA0633 protein	1995122	Hs.33010	COBL	7p12.1
0.0001503	5.00E-04	1.531	0.899	0.844	165307	exostoses (multiple) 1	1375115	Hs.184161	EXT1	8q24.11-q24.13
0.0001519	0	1.539	0.507	0.646	165933	hypothetical protein FLJ21079	1909443	Hs.16512	FLJ21079	6q13
0.000154	0	0.423	1.007	0.87	164610	Hermansky-Pudlak syndrome 1	2203196	Hs.83951	HPS1	10q23.1-q23.3
0.0001574	0	0.253	0.476	0.643	165732	calpastatin	1342493	Hs.359682	CAST	5q15-q21
0.0001574	0	0.736	0.914	3.622	167617	selenoprotein P, plasma, 1	2959255	Hs.275775	SEPP1	5q31
0.0001576	0.001	0.242	0.271	0.826	162159	claudin 7	2060261	Hs.278562	CLDN7	17p13
0.0001578	0	0.323	0.531	0.317	169148	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2285350	Hs.99216	NA	15
0.0001582	0	0.985	1.821	1.661	169057	membrane-bound transcription factor protease, site 1	1816514	Hs.75890	MBTPS1	16q24
0.00016	0	0.516	0.983	1.357	164978	caspase 10, apoptosis-related cysteine protease	3984879	Hs.5353	CASP10	2q33-q34
0.0001604	5.00E-04	0.522	0.3	2.119	168662	annexin A1	79576	Hs.78225	ANXA1	9q12-q21.2
0.0001605	5.00E-04	1.444	1.152	0.787	165265	E2F transcription factor 3	1731732	Hs.1189	E2F3	6p22
0.0001615	0	0.253	0.321	0.591	163228	hypothetical protein LOC144100	1663925	Hs.12332	LOC144100	11p15.1
0.0001617	0	2.702	2.904	1.734	167736	polymerase (DNA directed), alpha	1719446	Hs.267289	POLA	Xp22.1-p21.3
0.0001621	5.00E-04	0.597	0.945	1.335	161081	meningioma expressed antigen 6 (coiled-coil proline-rich)	2378482	Hs.117242	MGEA6	14q
0.0001649	0	0.72	0.953	0.767	164022	chromosome 14 open reading frame 117	2652746	Hs.103189	C14orf117	14q24.1
0.0001674	0	2.096	3.183	2.733	162546	multiple endocrine neoplasia I	1845962	Hs.423348	MEN1	11q13
0.0001693	0	0.99	0.596	0.673	164016	hypothetical protein FLJ33817	1638450	Hs.22176	FLJ33817	17p13.3
0.0001724	0	0.4	0.673	0.648	160022	cyclin-dependent kinase 3	1698903	Hs.100009	CDK3	17q22-qter
0.0001732	0	0.202	0.898	1.069	163834	centrin, EF-hand protein, 2	1450639	Hs.82794	CETN2	Xq28
0.0001747	0	1.963	0.575	0.799	165255	Homo sapiens, clone IMAGE:3923185, mRNA	4217059	Hs.354068	NA	18
0.0001761	0	0.926	0.466	0.491	164299	membrane-spanning 4-domains, subfamily A, member 6A	2349263	Hs.17914	MS4A6A	11q12.1
0.0001771	0	0.616	0.413	0.3	164155	ERO1-like beta (S. cerevisiae)	2073339	Hs.150763	ERO1LB	1q42.2-q43
0.0001787	0	1.46	0.563	0.787	162983	ADP-ribosylation-like factor 8	3367716	Hs.220929	ARL8	10p12.33
0.0001828	5.00E-04	0.71	2.101	4.892	160825	profilin 2	1979601	Hs.91747	PFN2	3q25.1-q25.2
0.0001833	0	0.116	0.372	0.247	160065	nuclear receptor subfamily 3, group C, member 2	1678071	Hs.1790	NR3C2	4q31.1
0.0001876	0	0.927	1.415	4.972	165656	argininosuccinate synthetase	1981145	Hs.160786	ASS	9q34.1
0.0001891	0	0.82	1.824	1.497	169163	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	1868217	Hs.153022	TAF1C	16q24
0.000193	5.00E-04	0.678	1.286	1.554	161790	KIAA0469 gene product	2674277	Hs.7764	KIAA0469	1p36.23
0.0001936	5.00E-04	4.948	1.551	3.475	167088	extracellular matrix protein 1	1965806	Hs.81071	ECM1	1q21
0.000194	0	0.333	0.828	0.644	164154	Homo sapiens cDNA FLJ11606 fis, clone HEMBA1003942.	1730917	Hs.283643	NA	1
0.000196	0.001	0.874	0.817	0.617	160481	KIAA0663 gene product	2057266	Hs.17969	KIAA0663	1q32.1
0.0001968	0	2.2	4.062	4.024	160478	HLA-B associated transcript 3	1942845	Hs.274348	BAT3	6p21.3
0.0002025	5.00E-04	0.493	0.85	0.743	162170	iduronate 2-sulfatase (Hunter syndrome)	2776385	Hs.172458	IDS	Xq28
0.0002034	5.00E-04	1.047	2.191	1.811	164492	tetracycline transporter-like protein	1856947	Hs.157145	TETRAN	4p16.3
0.0002044	5.00E-04	0.87	0.254	1.157	164116	zinc finger protein 185 (LIM domain)	2510927	Hs.16622	ZNF185	Xq28
0.0002059	0	0.597	1.18	1.013	160716	KIAA0819 protein	1910948	Hs.301866	KIAA0819	22q11.1
0.0002102	0	0.465	1.31	0.997	160817	nuclear RNA export factor 1	1890753	Hs.323502	NXF1	11q12-
0.0002102	0	4.259	2.518	1.575	161264	hypothetical protein MGC24665	2211367	Hs.347524	MGC24665	16p13.2
0.0002108	0	0.932	2.003	2.684	167471	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	2877376	Hs.274260	ABCC6	16p13.1
0.000211	0	1.013	0.543	0.571	168220	syntaxin 6	2549507	Hs.157144	STX6	1q24.3
0.0002113	0	0.07	0.232	0.463	169181	zinc finger protein 76 (expressed in testis)	1870362	Hs.29222	ZNF76	6p21.3-p21.2
0.0002114	0	0.163	0.571	0.467	163856	ESTs	3144431	Hs.56220	NA	1
0.0002118	0	0.485	0.95	0.853	163016	hypothetical protein BC013576	1977115	Hs.348493	LOC114928	Xq22.1
0.0002118	0	0.291	0.381	1.106	165464	nebulette	1980445	Hs.5025	NEBL	10p12
0.0002128	0	0.305	0.457	0.807	161665	ESTs	2820372	Hs.366054	NA	17
0.0002141	0	0.488	0.831	0.917	160796	hypothetical protein 628	1559636	Hs.181349	LOC56270	17q25.3
0.0002144	0	0.33	0.705	1.125	162401	short-chain dehydrogenase/reductase 1	2132634	Hs.17144	SDR1	1p36.1
0.0002192	0.001	0.495	1.006	1.303	165066	target of myb1 (chicken)	3119252	Hs.9482	TOM1	22q13.1
0.0002198	5.00E-04	0.169	0.464	0.507	167726	chromosome 9 open reading frame 19	1467308	Hs.302766	C9orf19	9p13-p12
0.0002201	0	2.192	1.282	1.358	164093	Homo sapiens, clone IMAGE:4498705, mRNA	2956730	Hs.180908	NA	10
0.0002205	5.00E-04	1.256	0.912	0.785	162908	RAB21, member RAS oncogene family	2597109	Hs.184627	RAB21	12q15
0.0002213	0	0.72	1.715	1.345	167016	interleukin enhancer binding factor 3, 90kDa	1674263	Hs.256583	ILF3	19p13.2
0.0002223	0.0025	1.567	0.99	6.192	166858	retinoic acid induced 3	2060304	Hs.194691	RAI3	12p13-p12.3
0.0002224	5.00E-04	0.566	0.814	0.796	168873	ESTs	2749278	Hs.112050	NA	10
