Probe Set	FC(C)	P(C)	FC(T)	P(T)	Gene Symbol	Gene ID	Unigene	Chromosome	Description
208022_s_at	2	0.02	5	0.003	CDC14B	8555	Hs.40582	9q22.33	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
208704_x_at	2	0.02	2	0.03	APLP2	334	Hs.370247	11q24	amyloid beta (A4) precursor-like protein 2
208769_at	2	0.02	8	0.0001	EIF4EBP2	1979	Hs.522995	10q21-q22	eukaryotic translation initiation factor 4E binding protein 2
213587_s_at	2	0.02	3	0.01	C7orf32	155066	Hs.351612	7q36.1	chromosome 7 open reading frame 32
218677_at	2	0.02	4	0.002	S100A14	57402	Hs.288998	1q21.1	S100 calcium binding protein A14
221637_s_at	2	0.02	5	0.006	MGC2477	79081	Hs.9061	11q12.3	hypothetical protein MGC2477
221708_s_at	2	0.02	3	0.0009	SMAP-1	55898	Hs.389461	15q26.1	smooth muscle cell associated protein-1
221927_s_at	2	0.02	6	0.0003	WBSCR21	83451	Hs.182476	7q11.23	Williams Beuren syndrome chromosome region 21
59999_at	1	0.02	2	0.04	HIF1AN	55662	Hs.500788	10q24	hypoxia-inducible factor 1, alpha subunit inhibitor
211969_at	1	0.02	2	0.0001	HSPCA	3320	Hs.523560	14q32.33	heat shock 90kDa protein 1, alpha
213453_x_at	1	0.02	3	0.0003	GAPD	2597	Hs.479728	12p13	glyceraldehyde-3-phosphate dehydrogenase
206385_s_at	38	0.03	25	0.04	ANK3	288	Hs.499725	10q21	ankyrin 3, node of Ranvier (ankyrin G)
212875_s_at	35	0.03	21	0.04	C21orf25	25966	Hs.473894	21q22.3	chromosome 21 open reading frame 25
208998_at	20	0.03	193	0.004	UCP2	7351	Hs.80658	11q13	uncoupling protein 2 (mitochondrial, proton carrier)
212493_s_at	17	0.03	23	0.02	HYPB	29072	Hs.517941	3p21.31	huntingtin interacting protein B
205258_at	14	0.03	24	0.01	INHBB	3625	Hs.1735	2CEN-q13	inhibin, beta B (activin AB beta polypeptide)
214464_at	13	0.03	26	0.01	CDC42BPA	8476	Hs.35433	1q42.11	CDC42 binding protein kinase alpha (DMPK-like)
207624_s_at	12	0.03	11	0.001	RPGR	6103	Hs.61438	Xp11.4	retinitis pigmentosa GTPase regulator
213720_s_at	12	0.03	30	0.003	SMARCA4	6597	Hs.327527	19p13.2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
221081_s_at	12	0.03	20	0.01	FLJ22457	79961	Hs.154334	1p13.2	hypothetical protein FLJ22457
219836_at	11	0.03	12	0.02	ZBED2	79413	Hs.136912	3q13.13	zinc finger, BED domain containing 2
209160_at	10	0.03	62	0.00009	AKR1C3	8644	Hs.78183	10p15-p14	aldo-keto reductase family 1, member C3
215030_at	10	0.03	9	0.04	GRSF1	2926	Hs.309763	4q13	G-rich RNA sequence binding factor 1
217542_at	10	0.03	8	0.03	MGC5370	84825	Hs.484551	12q14.3	hypothetical protein MGC5370
219540_at	10	0.03	7	0.03	ZNF267	10308	Hs.460645	16p11.2	zinc finger protein 267
205178_s_at	9	0.03	9	0.03	RBBP6	5930	Hs.188553	16p12.2	retinoblastoma binding protein 6
205546_s_at	9	0.03	8	0.004	TYK2	7297	Hs.75516	19p13.2	tyrosine kinase 2
209764_at	9	0.03	14	0.002	MGAT3	4248	Hs.276808	22q13.1	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
214352_s_at	9	0.03	16	0.009	KRAS2	3845	Hs.505033	11p15.5	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
202095_s_at	7	0.03	28	0.001	BIRC5	332	Hs.514527	17q25	baculoviral IAP repeat-containing 5 (survivin)
203103_s_at	7	0.03	15	0.01	PRP19	27339	Hs.502705	11q12.2	PRP19/PSO4 homolog (S. cerevisiae)
209273_s_at	7	0.03	11	0.006	HBLD2	81689	Hs.449291	9q22.1	HESB like domain containing 2
202049_s_at	6	0.03	4	0.005	ZNF262	9202	Hs.269211	1p32-p34	zinc finger protein 262
203288_at	6	0.03	7	0.003	KIAA0355	9710	Hs.330073	19q13.12	KIAA0355
203660_s_at	6	0.03	16	0.008	PCNT2	5116	Hs.474069	21q22.3	pericentrin 2 (kendrin)
204259_at	6	0.03	26	0.001	MMP7	4316	Hs.2256	11q21-q22	matrix metalloproteinase 7 (matrilysin, uterine)
218098_at	6	0.03	7	0.0003	ARFGEF2	10564	Hs.62578	20q13.13	synaptosomal-associated protein, 23kDa pseudogene
218500_at	6	0.03	7	0.02	LOC51337	51337	Hs.368402	8q24.3	mesenchymal stem cell protein DSCD75
201164_s_at	5	0.03	2	0.03	PUM1	9698	Hs.281707	1p35.2	pumilio homolog 1 (Drosophila)
202597_at	5	0.03	11	0.0006	IRF6	3664	Hs.355827	1q32.3-q41	interferon regulatory factor 6
203738_at	5	0.03	5	0.02	FLJ11193	55322	Hs.519246	5p13.3	hypothetical protein FLJ11193
218650_at	5	0.03	10	0.001	DGCR8	54487	Hs.533019	22q11.2	DiGeorge syndrome critical region gene 8
202469_s_at	4	0.03	5	0.02	CPSF6	11052	Hs.369606	12q14.3	cleavage and polyadenylation specific factor 6, 68kDa
204437_s_at	4	0.03	44	0.0008	FOLR1	2348	Hs.73769	11q13.3-q14.1	folate receptor 1 (adult)
205419_at	4	0.03	3	0.02	EBI2	1880	Hs.784	13q32.3	Epstein-Barr virus induced gene 2
212267_at	4	0.03	4	0.006	KIAA0261	23063	Hs.203099	10q23.31	KIAA0261
218053_at	4	0.03	4	0.003	FNBP3	55660	Hs.298735	2q24.1	formin binding protein 3
219052_at	4	0.03	4	0.002	HPS6	79803	Hs.125133	10q24.32	Hermansky-Pudlak syndrome 6
220305_at	4	0.03	17	0.00007	MGC3260	78993	Hs.134883	20p13	hypothetical protein MGC3260
220335_x_at	4	0.03	6	0.005	FLJ21736	79984	Hs.268700	16q22.1	esterase 31
200910_at	3	0.03	5	0.007	CCT3	7203	Hs.491494	1q23	chaperonin containing TCP1, subunit 3 (gamma)
202198_s_at	3	0.03	5	0.006	MTMR3	8897	Hs.474536	22q12.2	myotubularin related protein 3
202610_s_at	3	0.03	3	0.02	CRSP2	9282	Hs.407604	Xp11.4-p11.2	cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa
203314_at	3	0.03	4	0.009	GTPBP6	8225	Hs.437145	Xp22.33	pseudoautosomal GTP-binding protein-like
203855_at	3	0.03	3	0.02	KIAA0893	22911	Hs.546347	1p13.3	KIAA0893 protein
203870_at	3	0.03	3	0.01	USP46	64854	Hs.331478	4q12	ubiquitin specific protease 46
205218_at	3	0.03	3	0.01	POLR3F	10621	Hs.472227	20p11.23	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa
205677_s_at	3	0.03	2	0.01	DLEU1	10301	Hs.492218	13q14.3	deleted in lymphocytic leukemia, 1
209389_x_at	3	0.03	4	0.0002	DBI	1622	Hs.78888	2q12-q21	diazepam binding inhibitor
216246_at	3	0.03	3	0.003	RPS20	6224	Hs.8102	8q12	ribosomal protein S20
218046_s_at	3	0.03	10	0.001	MRPS16	51021	Hs.180312	10q22.1	mitochondrial ribosomal protein S16
218651_s_at	3	0.03	3	0.04	FLJ11196	55323	Hs.416755	15q22.32	acheron
222077_s_at	3	0.03	7	0.006	RACGAP1	29127	Hs.505469	12q13.12	Rac GTPase activating protein 1
202592_at	2	0.03	2	0.04	GCN5L1	2647	Hs.94672	12q13-q14	biogenesis of lysosome-related organelles complex-1, subunit 1
202598_at	2	0.03	4	0.007	S100A13	6284	Hs.516505	1q21	S100 calcium binding protein A13
203175_at	2	0.03	3	0.007	ARHG	391	Hs.501728	11p15.5-p15.4	ras homolog gene family, member G (rho G)
203318_s_at	2	0.03	5	0.003	ZNF148	7707	Hs.380334	3q21	zinc finger protein 148 (pHZ-52)
203515_s_at	2	0.03	2	0.03	PMVK	10654	Hs.30954	1p13-q23	phosphomevalonate kinase
218597_s_at	2	0.03	2	0.003	C10orf70	55847	Hs.370102	10q21.3	chromosome 10 open reading frame 70
222138_s_at	2	0.03	2	0.01	WDR13	64743	Hs.521973	Xp11.23	WD repeat domain 13
216264_s_at	1	0.03	3	0.003	LAMB2	3913	Hs.439726	3p21	laminin, beta 2 (laminin S)
219111_s_at	1	0.03	1	0.006	DDX54	79039	Hs.506861	12q24.21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
205709_s_at	24	0.04	18	0.05	CDS1	1040	Hs.444924	4q21.23	CDP-diacylglycerol synthase 1
221264_s_at	22	0.04	21	0.04	TARDBP	23435	Hs.300624	1p36.22	TAR DNA binding protein
219083_at	19	0.04	41	0.01	FLJ10539	55164	Hs.528650	3p14.2	hypothetical protein FLJ10539
201903_at	16	0.04	31	0.02	UQCRC1	7384	Hs.119251	3p21.3	ubiquinol-cytochrome c reductase core protein I
201970_s_at	12	0.04	14	0.03	NASP	4678	Hs.319334	1p34.1	nuclear autoantigenic sperm protein
212909_at	12	0.04	10	0.05	MGC29643	116372	Hs.432395	2q21.2	hypothetical protein MGC29643
202589_at	10	0.04	25	0.01	TYMS	7298	Hs.369762	18p11.32	thymidylate synthetase
208012_x_at	10	0.04	14	0.02	SP110	3431	Hs.145150	2q37.1	SP110 nuclear body protein
212978_at	10	0.04	10	0.003	TA-LRRP	23507	Hs.546355	1p22.2	T-cell activation leucine repeat-rich protein
202577_s_at	9	0.04	8	0.04	FLJ11126	55308	Hs.461196	16q22.1	hypothetical protein FLJ11126
201351_s_at	8	0.04	10	0.03	YME1L1	10730	Hs.499145	10p14	YME1-like 1 (S. cerevisiae)
212531_at	8	0.04	29	0.006	LCN2	3934	Hs.204238	9q34	lipocalin 2 (oncogene 24p3)
52731_at	7	0.04	7	0.03	FLJ20294	55626	Hs.546404	11p11.2	hypothetical protein FLJ20294
202760_s_at	7	0.04	10	0.02	AKAP2	11217	Hs.259461	9q31-q33	A kinase (PRKA) anchor protein 2
209060_x_at	7	0.04	5	0.05	NCOA3	8202	Hs.382168	20q12	nuclear receptor coactivator 3
211725_s_at	7	0.04	15	0.008	ENO1	2023	Hs.517145	1p36	enolase 1 (alpha)
217627_at	7	0.04	5	0.01	ZNF573	126231	Hs.290703	19q13.13	zinc finger protein 573
219328_at	7	0.04	8	0.006	DDX31	64794	Hs.495410	9q34.3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
220341_s_at	7	0.04	10	0.0006	LOC51149	51149	Hs.310781	5q35.3	truncated calcium binding protein
220839_at	7	0.04	13	0.006	HSPC133	29081	Hs.470553	2q31.1	HSPC133 protein
203415_at	5	0.04	5	0.02	PDCD6	10016	Hs.379186	5pTER-p15.2	programmed cell death 6
213457_at	5	0.04	9	0.01	MFHAS1	9258	Hs.379414	8p23.1	malignant fibrous histiocytoma amplified sequence 1
221713_s_at	5	0.04	16	0.003	FLJ12748	79929	Hs.478465	3q27.3	hypothetical protein FLJ12748
205986_at	4	0.04	4	0.03	AATK	9625	Hs.514575	17q25.3	apoptosis-associated tyrosine kinase
209440_at	4	0.04	4	0.04	PRPS1	5631	Hs.56	Xq21-q27	phosphoribosyl pyrophosphate synthetase 1
212271_at	4	0.04	5	0.006	MAPK1	5594	Hs.431850	22q11.2	mitogen-activated protein kinase 1
212704_at	4	0.04	3	0.04	ZCCHC11	23318	Hs.476164	1p32.3	zinc finger, CCHC domain containing 11
213913_s_at	4	0.04	9	0.005	KIAA0984	23329	Hs.192492	12q14.1	KIAA0984 protein
214756_x_at	4	0.04	4	0.03	PMS2L8	5386		7q22.1	postmeiotic segregation increased 2-like 6
218371_s_at	4	0.04	3	0.02	PSPC1	55269	Hs.213198	13q12.11	paraspeckle component 1
218672_at	4	0.04	11	0.0009	SCNM1	79005	Hs.432360	1q21.3	sodium channel modifier 1
219076_s_at	4	0.04	6	0.02	PXMP2	5827	Hs.430299	12q24.33	peroxisomal membrane protein 2, 22kDa
200862_at	3	0.04	2	0.03	DHCR24	1718	Hs.498727	1p33-p31.1	24-dehydrocholesterol reductase
201625_s_at	3	0.04	2	0.03	INSIG1	3638	Hs.520819	7q36	insulin induced gene 1
201671_x_at	3	0.04	3	0.005	USP14	9097	Hs.464416	18p11.32	ubiquitin specific protease 14
212322_at	3	0.04	6	0.01	SGPL1	8879	Hs.499984	10q21	sphingosine-1-phosphate lyase 1
213764_s_at	3	0.04	11	0.04	MFAP5	8076	Hs.512842	12p13.1-p12.3	microfibrillar associated protein 5
218037_at	3	0.04	4	0.02	C2orf17	79137	Hs.516707	2q36.1	chromosome 2 open reading frame 17
218726_at	3	0.04	9	0.0006	DKFZp762E1312	55355	Hs.532968	2q37.2	hypothetical protein DKFZp762E1312
221175_at	3	0.04	3	0.004	FLJ22173	80111	Hs.287691	3q22.1	hypothetical protein FLJ22173
38710_at	2	0.04	3	0.04	OTUB1	55611	Hs.473788	11q13.1	OTU domain, ubiquitin aldehyde binding 1
201428_at	2	0.04	5	0.002	CLDN4	1364	Hs.520942	7q11.23	claudin 4
202161_at	2	0.04	7	0.0007	PRKCL1	5585	Hs.466044	19p13.1-p12	protein kinase C-like 1
208110_x_at	2	0.04	2	0.005	MED25	81857	Hs.467128	19q13.3	ARC/mediator transcriptional coactivator subunit
212807_s_at	2	0.04	9	0.002	SORT1	6272	Hs.485195	1p21.3-p13.1	sortilin 1
216843_x_at	2	0.04	2	0.009	PMS2L2	5380	Hs.292996	7q11-q22	postmeiotic segregation increased 2-like 2
218372_at	2	0.04	2	0.04	MED9	55090	Hs.244595	17p11.2	mediator subunit 25
218820_at	2	0.04	3	0.01	C14orf132	56967	Hs.6434	14q32.2	chromosome 14 open reading frame 132
41856_at	1	0.04	2	0.01	UNC5B	219699	Hs.522997	10q22.2	unc-5 homolog B (C. elegans)
205633_s_at	12	0.05	9	0.01	ALAS1	211	Hs.476308	3p21.1	aminolevulinate, delta-, synthase 1
202514_at	11	0.05	21	0.0007	DLG1	1739	Hs.292549	3q29	discs, large homolog 1 (Drosophila)
218979_at	10	0.05	8	0.04	C9orf76	80010	Hs.284137	9q22.1	chromosome 9 open reading frame 76
208984_x_at	6	0.05	10	0.00005	RBM10	8241	Hs.401509	Xp11.23	RNA binding motif protein 10
219734_at	6	0.05	13	0.01	FLJ20174	54847	Hs.272416	3q13.31	hypothetical protein FLJ20174
200956_s_at	5	0.05	6	0.05	SSRP1	6749	Hs.523680	11q12	structure specific recognition protein 1
208679_s_at	5	0.05	18	0.009	ARPC2	10109	Hs.529303	2q36.1	actin related protein 2/3 complex, subunit 2, 34kDa
214164_x_at	5	0.05	9	0.02	AP1G1	164	Hs.461253	15q22	carbonic anhydrase XII
214439_x_at	5	0.05	5	0.04	BIN1	274	Hs.193163	2q14	bridging integrator 1
201756_at	4	0.05	4	0.005	RPA2	6118	Hs.79411	1p35	replication protein A2, 32kDa
203315_at	4	0.05	4	0.04	NCK2	8440	Hs.529244	2q12	NCK adaptor protein 2
206412_at	4	0.05	4	0.03	FER	2241	Hs.221472	5q21	fer (fps/fes related) tyrosine kinase
209150_s_at	4	0.05	4	0.005	TM9SF1	10548	Hs.91586	14q11.2	transmembrane 9 superfamily member 1
213785_at	4	0.05	7	0.02	IPO9	55705	Hs.497384	1q32.1	importin 9
218219_s_at	4	0.05	9	0.009	LANCL2	55915	Hs.224282	7q31.1-q31.33	LanC lantibiotic synthetase component C-like 2 (bacterial)
213507_s_at	3	0.05	4	0.03	KPNB1	3837	Hs.532793	17q21.32	karyopherin (importin) beta 1
215521_at	3	0.05	3	0.05	PHC3	80012	Hs.546441	3q26.31	polyhomeotic like 3 (Drosophila)
219756_s_at	3	0.05	5	0.002	POF1B	79983	Hs.267038	Xq21.2	premature ovarian failure, 1B
201038_s_at	2	0.05	3	0.006	ANP32A	8125	Hs.458747	15q22.3-q23	acidic nuclear phosphoprotein 32 family, member A
206750_at	2	0.05	3	0.008	MAFK	7975	Hs.520612	7p22.3	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K
208913_at	2	0.05	4	0.005	GGA2	23062	Hs.460336	16p12	golgi associated, gamma adaptin ear containing, ARF binding protein 2
212171_x_at	2	0.05	2	0.003	VEGF	7422	Hs.73793	6p12	vascular endothelial growth factor
214672_at	2	0.05	2	0.01	KIAA0998	23093	Hs.200747	14q24.3	KIAA0998
219940_s_at	2	0.05	2	0.002	FLJ11305	55795	Hs.508769	13q34	hypothetical protein FLJ11305
220488_s_at	2	0.05	2	0.04	BCAS3	54828	Hs.463702	17q23	breast carcinoma amplified sequence 3
