Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
213212_x_at	-0.9	-1.3	golgin-67	KIAA0855
213241_at	-2.2	-1.5	Homo sapiens clone 23785 mRNA sequence.	NA
213260_at	-1	-1.7	forkhead box C1	FOXC1
213266_at	-0.5	-1.3	gamma tubulin ring complex protein (76p gene)	76P
213275_x_at	-1.4	-1	cathepsin B	CTSB
213305_s_at	1	3.8	protein phosphatase 2A B56-gamma1	PP2A
213307_at	-1.8	-1.6	cortactin SH3 domain-binding protein	KIAA1022
213326_at	-1.1	-1.4	vesicle-associated membrane protein 1 (synaptobrevin 1)	VAMP1
213350_at	-0.7	-1.8	ribosomal protein S11	RPS11
213366_x_at	0.4	1.5	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1
213379_at	1.1	0.2	Homo sapiens clone 640 unknown mRNA, complete sequence.	CL640
213413_at	-1.4	-1.6	Homo sapiens cDNA FLJ13555 fis, clone PLACE1007677	NA
213428_s_at	-0.7	-1.1	collagen, type VI, alpha 1	COL6A1
213447_at	-1	-1	imprinted in Prader-Willi syndrome	IPW
213465_s_at	0.9	1.1	protein phosphatase 1, regulatory subunit 7	PPP1R7
213476_x_at	0.3	3.2	tubulin, beta, 4	TUBB4
213486_at	-1	-1.6	hypothetical protein DKFZp761N09121	DKFZp761N09121
213496_at	-1.9	-1.3	KIAA0455 gene product	KIAA0455
213588_x_at	-0.4	-1	ribosomal protein L14	RPL14
213622_at	-1.5	-1.6	collagen, type IX, alpha 2	COL9A2
213649_at	1	1.6	splicing factor, arginineserine-rich 7 (35kD)	SFRS7
213653_at	1.2	0.8	putative methyltransferase	M6A
213729_at	1	1.1	Huntingtin-interacting protein A	HYPA
213803_at	0.9	1.2	karyopherin (importin) beta 1	KPNB1
213836_s_at	-1.1	-2	KIAA1001 protein	KIAA1001
213880_at	-1.6	-2	G protein-coupled receptor 49	GPR49
213900_at	-0.8	-1.1	Friedreich ataxia region gene X123	X123
214001_x_at	-0.9	-1.9	ribosomal protein S10	RPS10
214041_x_at	-1.6	-2.5	ribosomal protein L37a	RPL37A
214045_at	0.8	1.1	lipoic acid synthetase	LAS
214152_at	-0.6	-1.2	phosphatidylinositol glycan, class B	PIGB
214414_x_at	-2.7	-2.2	hemoglobin, alpha 1	HBA1
214459_x_at	0.7	1.1	Cw1 antigen	HLA-C
214499_s_at	0.5	1.7	Bcl-2-associated transcription factor shortform	KIAA0164
214582_at	-1.6	-1.6	2,3-cyclic nucleotide 3 phosphodiesterase	CNP
214610_at	-1.1	-1.3	cytochrome P450, subfamily XIB (steroid 11-beta-hydroxylase), polypeptide 1	CYP11B1
214710_s_at	2.2	1.8	cyclin B1	CCNB1
214734_at	0.5	1.5	KIAA0624 protein	KIAA0624
214741_at	1.2	3.4	zinc finger protein 131 (clone pHZ-10)	ZNF131
214772_at	-1.5	-1.6	G2 protein	G2
214798_at	-0.9	-1.3	Homo sapiens cDNA: FLJ21771 fis, clone COLF7779	NA
214861_at	-3.1	-1.5	gene amplified in squamous cell carcinoma 1; KIAA0780 protein	KIAA0780
214866_at	-0.9	-1.3	urokinase plasminogen activator receptor	PLAUR
214911_s_at	0.6	1.3	bromodomain-containing 2	BRD2
214949_at	0.4	1.1	Homo sapiens mRNA; cDNA DKFZp586L141 (from clone DKFZp586L141).	NA
214951_at	-0.2	-2.5	hypothetical protein	DKFZp564M1916
215067_x_at	-1.4	-1	Homo sapiens cDNA FLJ12333 fis, clone MAMMA1002198, highly similar to THIOREDOXIN PEROXIDASE 1	NA
215148_s_at	-1.3	-0.9	amyloid beta (A4) precursor protein-binding, family A, member 3 (X11-like 2)	APBA3
215204_at	-1.4	-1.1	Homo sapiens cDNA FLJ14090 fis, clone MAMMA1000264	NA
215306_at	-1.7	-2.3	Homo sapiens mRNA; cDNA DKFZp586N2020 (from clone DKFZp586N2020).	NA
215424_s_at	1.3	1.5	SKI-INTERACTING PROTEIN	SNW1
215479_at	-1.8	-1.4	Homo sapiens cDNA FLJ20780 fis, clone COL04256.	NA
215516_at	0.7	2	laminin, beta 4	LAMB4
215525_at	-0.5	-1.8	Homo sapiens mRNA; cDNA DKFZp586A0423 (from clone DKFZp586A0423).	NA
215695_s_at	-0.7	-1.9	glycogenin-2 delta	glycogenin-2
215704_at	-2.4	-2	filaggrin	FLG
216034_at	-1.5	-1.9	Homo sapiens immunoglobulin lambda gene locus DNA, clone:288A10	NA
216061_x_at	-1	-1.1	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	PDGFB
216088_s_at	0.6	5.2	proteasome (prosome, macropain) subunit, alpha type, 7	PSMA7
216246_at	-1	-1.8	ribosomal protein S20	RPS20
216341_s_at	-1.7	-1.4	gonadotropin-releasing hormone receptor	GNRHR
216379_x_at	-1.8	-1.6	Homo sapiens cDNA FLJ20161 fis, clone COL09252, highly similar to L33930 Homo sapiens CD24 signal transducer mRNA.
216977_x_at	0.9	1.1	U2 snRNP-specific A protein	SNRPA1
216988_s_at	0.6	1.4	protein tyrosine phosphatase type IVA, member 2	PTP4A2
217427_s_at	1.6	0.4	TUP1 like enhancer of SPLIT gene 1	TUPLE1
217717_s_at	0.7	1.7	GW128 protein	GW128
217722_s_at	0.6	1.2	mesenchymal stem cell protein DSC92	LOC51335
217747_s_at	0.3	1	ribosomal protein S9	RPS9
217764_s_at	1	0.5	small GTP-binding protein rab22b	RAB31
217772_s_at	1.1	0.2	mitochondrial carrier homolog 2	MTCH2
217835_x_at	0.6	1	putative Rab5-interacting protein	LOC55969
217871_s_at	0.4	1.8	macrophage migration inhibitory factor(glycosylation-inhibiting factor)	MIF
217897_at	-1.4	-1.6	FXYD domain-containing ion transport regulator 6	FXYD6
217919_s_at	1	0.2	PTD007 protein	PTD007
217933_s_at	0.4	1.7	leucine aminopeptidase	LOC51056
217955_at	0.7	1.5	MIL1 protein	MIL1
217959_s_at	0.9	2.3	PTD009 protein	PTD009
217985_s_at	0.8	2.1	bromodomain adjacent to zinc finger domain, 1A	BAZ1A
217991_x_at	-1.1	-0.7	hypothetical protein FLJ10355	FLJ10355
217995_at	0.7	1	CGI-44 protein; sulfide dehydrogenase like(yeast)	CGI-44
218009_s_at	1.6	0.9	protein regulator of cytokinesis 1	PRC1
218020_s_at	-0.6	-1	hypothetical protein FLJ13222	FLJ13222
218039_at	1.5	0.5	clone HQ0310 PRO0310p1	LOC51203
218049_s_at	0.6	1.5	L13 protein	L13
218108_at	0.5	1.1	hypothetical protein FLJ10483	FLJ10483
218118_s_at	1.6	0.9	translocase of inner mitochondrial membrane 23(yeast) homolog	TIM23
218123_at	1.4	1.5	hypothetical protein FLJ20467	C21ORF59
218167_at	0.6	2.1	hypothetical protein	LOC51321
218211_s_at	-1.7	-1.6	hypothetical protein MGC2771	MGC2771
218229_s_at	0.2	1.6	KIAA1513 protein	KIAA1513
218252_at	1	0.6	cytoskeleton associated protein 2	CKAP2
218309_at	-1.5	-1.3	hypothetical protein PRO1489	PRO1489
218330_s_at	-0.8	-1.7	hypothetical protein FLJ10633	FLJ10633
218349_s_at	1.1	2.3	hypothetical protein FLJ10036	FLJ10036
218449_at	0.7	1.2	hypothetical protein FLJ11200	FLJ11200
218450_at	0.2	1.6	heme-binding protein	HEBP
218502_s_at	-2	-1.6	trichorhinophalangeal syndrome I gene	TRPS1
218542_at	2	2.2	hypothetical protein FLJ10540	FLJ10540
218557_at	0.9	1.6	Nit protein 2	NIT2
218558_s_at	1	0.7	hypothetical protein	PRED22
218574_s_at	-1.3	-2.7	LIM and cysteine-rich domains 1	LMCD1
218585_s_at	1.5	0.9	L2DTL protein	L2DTL
218605_at	0.5	1.4	hypothetical protein FLJ23182	FLJ23182
218622_at	1	1.6	hypothetical protein MGC5585	MGC5585
218637_at	-0.9	-1.1	hypothetical protein IMPACT	IMPACT
218662_s_at	1.7	0.2	chromosome condensation protein G	HCAP-G
218663_at	3.9	3.6	chromosome condensation protein G	HCAP-G
218728_s_at	0.9	1.3	HSPC163 protein	HSPC163
218751_s_at	2.3	1.7	hypothetical protein FLJ11071	FLJ11071
218771_at	-0.8	-1.1	hypothetical protein FLJ10782	FLJ10782
218784_s_at	0.7	2.5	hypothetical protein FLJ11101	FLJ11101
218852_at	1	0.6	hypothetical protein FLJ20644	FLJ20644
218859_s_at	1	0.9	HDCMC28P protein	HDCMC28P
218883_s_at	1.1	0.9	hypothetical protein FLJ23468	FLJ23468
218947_s_at	0.4	1.2	hypothetical protein FLJ10486	FLJ10486
218974_at	-2.2	-1.4	hypothetical protein FLJ10159	FLJ10159
219043_s_at	0.4	1.8	hypothetical protein MGC3062	MGC3062
219087_at	1.9	2.2	asporin (LRR class 1)	ASPN
219104_at	1.1	0.2	C3HC4-like zinc finger protein	ZFP26
219148_at	1.7	1.1	PDZ-binding kinase	TOPK
219158_s_at	0.3	1.2	hypothetical protein FLJ13340	FLJ13340
219212_at	1.1	1.1	heat shock protein hsp70-related protein	LOC51182
219279_at	0.2	2.8	hypothetical protein FLJ20220	FLJ20220
219304_s_at	-1.2	-1.4	spinal cord-derived growth factor-B	SCDGF-B
219306_at	1.3	0.8	kinesin-like protein 2	hklp2
219449_s_at	0.3	1.7	hypothetical protein FLJ20533	FLJ20533
219493_at	1.3	0.9	hypothetical protein FLJ22009	FLJ22009
219496_at	0.8	1.1	hypothetical protein FLJ21870	FLJ21870
219555_s_at	1.8	3.5	uncharacterized bone marrow protein BM039	BM039
219572_at	-1.7	-1.4	hypothetical protein FLJ20761	FLJ20761
219645_at	-1.3	-1.6	skeletal muscle calsequestrin 1	CASQ1
219732_at	-1	-1.4	hypothetical protein FLJ20300	FLJ20300
219757_s_at	-1	-0.1	hypothetical protein FLJ20392	FLJ20392
219759_at	1.2	0.6	aminopeptidase	LOC64167
219787_s_at	1	1.1	hypothetical protein FLJ10461	FLJ10461
219795_at	-1.1	-2.1	solute carrier family 6 (neurotransmittertransporter), member 14	SLC6A14
219905_at	0.9	2.5	hypothetical protein PRO2801	PRO2801
219918_s_at	1.4	1.3	hypothetical protein FLJ10517	FLJ10517
219932_at	0.5	1	very long-chain acyl-CoA synthetase homolog 1	VLCS-H1
219951_s_at	-1.1	-1.2	hypothetical protein FLJ10600	FLJ10600
219979_s_at	1	2.1	hypothetical protein	HSPC138
220115_s_at	-1.7	-1.2	cadherin 10, type 2 (T2-cadherin)	CDH10
220183_s_at	2.4	3.7	nudix (nucleoside diphosphate linked moietyX)-type motif 6	NUDT6
220193_at	-3.6	-1.3	hypothetical protein FLJ22938	FLJ22938
220329_s_at	1.1	0.5	hypothetical protein FLJ20627	FLJ20627
220494_s_at	1	3.6	lipopolysaccharide specific response-68 protein	LSR68
220533_at	-1.3	-1.4	hypothetical protein FLJ13385	FLJ13385
220625_s_at	-1.5	-2.1	Ets transcription factor ESE-2b	ELF5
220867_s_at	-1.2	-1	solute carrier family 24(sodiumpotassiumcalcium exchanger), member 2	SLC24A2
220897_at	-1.1	-1.5	hypothetical protein FLJ11556	FLJ11556
220925_at	0.8	1.4	hypothetical protein FLJ21613 similar to ratcorneal wound healing related protein	FLJ21613
221381_s_at	0.2	1.1	mortality factor 4	MORF4
221437_s_at	1.3	2.6	mitochondrial ribosomal protein S15	MRPS15
221452_s_at	1.1	1	hypothetical protein MGC1223	MGC1223
221464_at	-1.7	-2	olfactory receptor, family 1, subfamily D,member 2	OR1D2
221504_s_at	0.9	1.3	Vacuolar proton pump subunit SFD alpha isoform	LOC51606
221524_s_at	1.1	1.2	Rag D	RAGD
221580_s_at	0.6	1	Unknown (protein for MGC:5306)	MGC5306
221702_s_at	0.3	1	BBP-like protein 2	BLP2
221748_s_at	-0.6	-1.3	tensin	TNS
221766_s_at	1	0.2	hypothetical protein FLJ20037	FLJ20037
221776_s_at	1.4	0.8	bromodomain-containing 7	BRD7
221829_s_at	1	0.1	karyopherin (importin) beta 2	KPNB2
221916_at	-1.3	-2	hypothetical protein	DKFZp434B0417
221943_x_at	-0.8	-1.6	ribosomal protein L38	RPL38
221974_at	-0.8	-1	imprinted in Prader-Willi syndrome	IPW
221986_s_at	1	2.5	hypothetical protein FLJ20059	FLJ20059
221989_at	0.5	1.1	ribosomal protein L10	RPL10
222037_at	1.2	3.4	minichromosome maintenance deficient (S. cerevisiae) 4	MCM4
222077_s_at	1.1	0.6	GTPase activating protein	ID-GAP
222108_at	-1	-1.4	Human BAC clone GS1-99H8	NA
222113_s_at	-1	-1.3	epidermal growth factor receptor substrate EPS15R	EPS15R
266_s_at	-1.9	-1.5	Homo sapiens CD24 signal transducer mRNA, complete cds and 3 region	NA
34031_i_at	0.6	1.6	Human Krit1 mRNA, complete cds	Krit1
36129_at	-0.6	-1.1	Homo sapiens KIAA0397 mRNA, complete cds	KIAA0397
36552_at	-0.6	-1.3	NA	NA
36830_at	1.2	0.6	Human mitochondrial intermediate peptidase precursor (MIPEP) mRNA,	MIPEP
37547_at	-0.9	-2	NA	NA
38241_at	1	3.2	Human butyrophilin (BTF3) mRNA, complete cds	BTF3
39891_at	-1.1	-1	NA	NA
40016_g_at	-0.6	-1.8	Human mRNA for KIAA0303 gene, partial cds	KIAA0303
44702_at	-1	-1.3	NA	NA
44783_s_at	-0.9	-1.3	NA	NA
45749_at	-1	-1.3	NA	NA
47571_at	-0.7	-1.1	NA	NA
48031_r_at	-1.5	-1.7	NA	NA
48808_at	0.8	1.5	NA	NA
49327_at	-0.9	-1.1	NA	NA
49878_at	-1.1	-0.8	NA	NA
51158_at	-0.9	-1.2	NA	NA
54632_at	-0.4	-1	NA	NA
56256_at	-0.5	-1.5	NA	NA
57739_at	-0.6	-1.2	NA	NA
58780_s_at	-1.2	-1.6	NA	NA
58900_at	-0.9	-1	NA	NA
60471_at	-1	-1.1	NA	NA
60528_at	-0.7	-1.2	NA	NA
65635_at	-0.5	-1.1	NA	NA
AFFX-hum_alu_at	-0.6	-1.1	Human Alu-Sq subfamily consensus sequence.	Alu-Sq
AFFX-M27830_M_at	-0.6	-1.1	Human 28S ribosomal RNA gene, complete cds.	28S rRNA
