Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
208393_s_at	0.6	0.6	RAD50 (S. cerevisiae) homolog	RAD50
208517_x_at	0.7	1.3	basic transcription factor 3	BTF3
208581_x_at	0.3	0.9	metallothionein 1X	MT1X
208606_s_at	0.7	3.6	wingless-type MMTV integration site family,member 4	WNT4
208612_at	0.9	0.6	ER-60 protease	GRP58
208626_s_at	-0.7	-1.1	Similar to membrane protein of cholinergicsynaptic vesicles	VATI
208636_at	-0.7	-1.1	actinin, alpha 1	ACTN1
208650_s_at	-1.5	-1.1	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
208662_s_at	1	1.4	tetratricopeptide repeat domain 3	TTC3
208670_s_at	0.8	1.4	PNAS-26	CRI1
208671_at	0.5	0.9	Diff33 protein homolog	KIAA1253
208679_s_at	0.4	2.2	PNAS-139	ARPC2
208680_at	0.5	0.9	Human natural killer cell enhancing factor (NKEFA) mRNA, complete cds.	NKEFA
208685_x_at	0.2	1	bromodomain-containing 2	BRD2
208687_x_at	0.6	0.6	constitutive heat shock protein 70	HSC70
208689_s_at	0.5	1.9	ribophorin II	RPN2
208695_s_at	-0.5	-1.1	ribosomal protein L39	RPL39
208696_at	0.5	2.3	PNAS-102	CCT5
208708_x_at	0.6	0.1	hypothetical protein	DKFZp564N1916
208726_s_at	0.6	0.8	eukaryotic translation initiation factor 2,subunit 2 (beta, 38kD )	EIF2S2
208734_x_at	0.8	2.6	GTP-binding protein	RAB2
208736_at	0.3	0.5	p21-Arc	ARPC3
208739_x_at	0.8	0.7	MIF2 suppressor	HSMT3
208743_s_at	0.8	4.8	tyrosine 3-monooxygenasetryptophan5-monooxygenase activation protein, beta polypeptide	YWHAB
208756_at	0.2	0.7	TGF-beta receptor interacting protein 1	EIF3S2
208758_at	0.8	0.9	5-aminoimidazole-4-carboxamide ribonucleotidetransformylase	ATIC
208761_s_at	0.3	2.5	SUMO-1	UBL1
208771_s_at	0.3	0.4	leukotriene A4 hydrolase	LTA4H
208805_at	0.9	1	proteasome (prosome, macropain) subunit, alphatype 6	PSMA6
208812_x_at	0.6	0.4	major histocompatibility complex, class I, C	HLA-C
208827_at	0.5	0.4	Similar to proteasome (prosome, macropain)subunit, beta type 6	PSMB6
208835_s_at	1.1	0.9	cisplatin resistance-associated overexpressed protein	LUC7A
208851_s_at	-0.7	-1	hypothetical protein	DKFZp761B15121
208864_s_at	1	1	thioredoxin	TXN
208898_at	0.4	0.3	vacuolar ATP synthase subunit D homolog	VATD
208909_at	0.9	1	ubiquinol-cytochrome c reductase, Rieskeiron-sulfur polypeptide 1	UQCRFS1
208910_s_at	0.8	4.1	splicing factor	C1QBP
208940_at	0.5	1.2	SELENOPHOSPHATE SYNTHETASE ; Human selenium donor protein	SPS
208974_x_at	0.4	0.4	karyopherin (importin) beta 1	KPNB1
208991_at	0.4	0.6	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3
208993_s_at	1.7	0.3	peptidyl-prolyl isomerase G (cyclophilin G)	PPIG
209009_at	0.6	1.1	Similar to esterase 10	ESD
209024_s_at	1.2	1	NS1-associated protein 1	NSAP1
209040_s_at	1.5	3.4	proteasome subunit LMP7	LMP7
209042_s_at	0.6	0.5	Similar to ubiquitin-conjugating enzyme E2G 2(homologous to yeast UBC7)	UBE2G2
209043_at	0.5	1.2	bifunctional ATP sulfurylaseadenosine5-phosphosulfate kinase	PAPSS1
209059_s_at	0.2	1.6	hMBF1alpha	EDF1
209104_s_at	0.7	1.5	likely homolog of yeast Nhp2, component of theHACA snoRNP; hypothetical protein FLJ20479	NOLA2
209118_s_at	-0.8	-1.1	alpha-tubulin	TUBA3
209140_x_at	1	2	major histocompatibility complex	HLA-B39
209157_at	0.6	0.1	Homo sapiens DNJ3CPR3 mRNA, complete cds.	DNJ3CPR3
209161_at	0.9	2.4	PRP4STKWD splicing factor	HPRP4P
209168_at	-1.5	-1.3	glycoprotein M6B	GPM6B
209170_s_at	-2.5	-1.7	glycoprotein M6B	m6b1
209225_x_at	0.2	0.2	karyopherin (importin) beta 2	KPNB2
209228_x_at	0.6	0.5	Putative prostate cancer tumor suppressor	N33
209242_at	-0.9	-1.2	paternally expressed 3	PEG3
209288_s_at	-1.4	-0.9	hypothetical protein	DKFZp434A0530
209301_at	1.2	0.9	carbonic anhydrase II	CA2
209330_s_at	1.3	0.9	heterogeneous nuclear ribonucleoprotein D (hnRNPD)	HNRPD
209335_at	-0.8	-0.8	decorin	DCN
209337_at	0.5	0.3	lens epithelium-derived growth factor	PSIP1
209360_s_at	-2.3	-1.4	AML1b protein	AML1
209369_at	0.6	0.8	1,2-cyclic-inositol-phosphate phosphodiesterase	ANX3
209382_at	0.4	1.6	RNA polymerase III subunit	RPC62
209392_at	-2	-1.7	autotaxin	ENPP2
209393_s_at	0.9	2.6	cap-binding protein 4EHP	EIF4EL3
209409_at	-1.1	-1.8	growth factor receptor-bound protein 10	KIAA0207
209421_at	0.7	1.3	mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1)	hMSH2
209435_s_at	-1.3	-1	Unknown (protein for MGC:3182)	NA
209448_at	0.6	0.4	Tat-interacting protein (30kD)	TIP30
209459_s_at	-0.8	-1.6	Homo sapiens NPD009 mRNA, complete cds.	NPD009
209481_at	0.4	0.7	Homo sapiens HSNFRK (HSNFRK) mRNA, complete cds.	HSNFRK
209512_at	1.1	2.5	Similar to RIKEN cDNA 2610207I16 gene	NA
209572_s_at	0.8	0.4	embryonic ectoderm development protein	EED
209579_s_at	0.6	1	methyl-CpG binding domain protein 4	MBD4
209583_s_at	-2.9	-1.5	brain my033 protein	MOX2
209586_s_at	0.5	0.3	prune protein	HTCD37
209608_s_at	0.9	0.5	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	ACAT2
209620_s_at	1.9	0.5	ABC transporter 7 protein	hABC7
209656_s_at	-1.1	-2.4	hypothetical protein	DKFZp761J17121
209669_s_at	0.8	1.3	Similar to DKFZP564M2423 protein	NA
209694_at	0.4	0.8	6-pyruvoyltetrahydropterin synthase	PTS
209699_x_at	1	0.2	dihydrodiol dehydrogenase	AKR1C2
209714_s_at	0.7	0.9	cyclin-dependent kinase associated proteinphosphatase	CDKN3
209732_at	0.7	1.4	Similar to C-type (calcium dependent,carbohydrate-recognition domain) lectin, superfamilymember 2 (activation-induced)	CLECSF2
209771_x_at	-1.8	-1.6	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
209773_s_at	1.4	2.3	ribonucleotide reductase M2 polypeptide	RRM2
209790_s_at	0.4	0.9	caspase 6, apoptosis-related cysteine protease	CASP6
209846_s_at	1	2	Similar to butyrophilin, subfamily 3, member A2	BTN3A2
209849_s_at	1.2	0.8	Homo sapiens Rad51C (RAD51C) mRNA, complete cds.	RAD51C
209861_s_at	1.2	2.2	eIF-2-associated p67 homolog	MNPEP
209891_at	0.4	0.1	Homo sapiens AD024 mRNA, complete cds.	AD024
210053_at	0.3	0.4	TATA box binding protein (TBP)-associated factor, RNA polymerase II, D, 100kD	TAF2D
210059_s_at	0.6	0.2	mitogen-activated protein kinase 13	MAPK13
210093_s_at	0.3	1.4	Mago homolog	MAGOH
210095_s_at	0.6	2	Human growth hormone-dependent insulin-like growth factor-binding protein mRNA, complete cds	IGFBP1
210105_s_at	-1.6	-1.8	FYN oncogene related to SRC, FGR, YES	FYN
210115_at	2.8	1.3	ribosomal protein L39	NA
210136_at	0.9	1.8	myelin basic protein	MBP
210147_at	-2.4	-2.6	mono-ADP-ribosyltransferase	htMART
210162_s_at	-1.1	-1.7	Human NF-ATc mRNA, complete cds.	NFATC1
210178_x_at	0.6	1.3	TLS-associated protein TASR	TASR1
210247_at	-1.3	-1	synapsin II	SYN2
210250_x_at	0.4	0.3	adenylosuccinate lyase	ADSL
210296_s_at	0.6	0.9	peroxisomal membrane protein 3 (35kD, Zellwegersyndrome)	PXMP3
210335_at	0.8	0.3	PAM COOH-terminal interactor protein 1	PCIP1
210365_at	-1.8	-1.5	AML1a protein	AML1
210374_x_at	-1	-0.8	prostaglandin E receotor EP3 subtype 4 isoform	PTGER3
210426_x_at	0.6	2.4	Human orphan hormone nuclear receptor RORalpha1 mRNA, complete cds.	RORA
210479_s_at	0.6	2.5	Human transcription factor RZR-alpha mRNA, complete cds.	RORA
210517_s_at	-1.1	-1	gravin	AKAP12
210544_s_at	1.1	0.6	aldehyde dehydrogenase 10 (fatty aldehydedehydrogenase)	ALDH3A2
210567_s_at	1.3	0.2	Similar to S-phase kinase-associated protein 2 (p45)	SKP2
210574_s_at	0.5	0.6	Homo sapiens NPD011 (NPD011) mRNA, complete cds.	NPD011
210653_s_at	0.4	0.9	branched chain alpha-keto acid dehydrogenaseE1-beta subunit	BCKDHB
210759_s_at	1.2	1.1	prosomal protein P30-33K	pros-30
210766_s_at	0.7	0.9	cellular apoptosis susceptibility protein	CSE1
210792_x_at	2.4	0.6	Siva-2	SIVA
210800_at	-1.3	-1.2	Unknown (protein for MGC:12262)	TIMM8A
210830_s_at	0.9	1.7	paraoxonase	PON2
210944_s_at	-0.9	-1.4	Similar to calpain 3, (p94)	CAPN3
210946_at	-1	-1.3	type-2 phosphatidic acid phosphatase alpha-2	PAP2-a2
210947_s_at	0.6	0.6	Human MSH3 gene, complete cds.	MSH3
210986_s_at	-0.6	-0.9	tropomyosin isoform	TPM1
210993_s_at	0.3	0.8	mad-related protein MADR1	MADR1
211015_s_at	0.7	1.4	heat shock protein 70	hsp70
211071_s_at	-1.3	-1	ALL1-fused gene from chromosome 1q	NA
211075_s_at	1.1	1.8	integrin associated protein	NA
211276_at	-1.3	-2.4	brain my048 protein	NA
211297_s_at	1.5	2.3	protein serinethreonine kinase	CDK7
211340_s_at	-1	-1.5	MUC18 glycoprotein	MCAM
211368_s_at	1.1	0.2	Interleukin 1-beta converting enzyme isoform epsilon	IL1BCE
211372_s_at	0.5	0.8	soluble type II interleukin-1 receptor	IL1R2
211445_x_at	-1.1	-0.9	Homo sapiens FKSG17 (FKSG17) mRNA, complete cds.	FKSG17
211454_x_at	-1.6	-1.3	Homo sapiens FKSG51 (FKSG51) mRNA, complete cds.	FKSG51
211466_at	-1.2	-1.1	nuclear factor I B3	NFIB
211600_at	-2.3	-1.5	glomerular epithelial protein 1	GLEPP1
211623_s_at	0.5	1.2	Human casein kinase II beta subunit mRNA, complete cds.	CSNK2B
211701_s_at	-1.3	-1.3	magphinin beta	TRO
211762_s_at	1.1	0.7	karyopherin alpha 2 (RAG cohort 1, importinalpha 1)	NA
211936_at	1.1	0.6	endoplasmic reticulum lumenal Ca2+ bindingprotein grp78	HSPA5
211959_at	-0.9	-1.1	Human insulin-like growth factor binding protein 5 (IGFBP5) mRNA	NA
211968_s_at	1.6	2.2	heat shock 90kD protein 1, alpha	HSPCA
211980_at	-1.9	-1.2	collagen, type IV, alpha 1	COL4A1
211984_at	0.5	0.6	matrix Gla protein	MGP
211985_s_at	1.1	0.8	matrix Gla protein	MGP
212007_at	1	2.4	UBX domain-containing 1	UBXDC1
212012_at	-2.1	-1.9	Melanoma associated gene	D2S448
212030_at	0.5	0.8	S164 protein	S164
212038_s_at	0.7	1.9	voltage-dependent anion channel 1	VDAC1
212052_s_at	-0.4	-1.2	KIAA0676 protein	KIAA0676
212096_s_at	0.7	1.1	KIAA1288 protein	KIAA1288
212129_at	0.5	0.1	hypothetical protein MGC5466	MGC5466
212180_at	0.6	0.7	Homo sapiens mRNA; cDNA DKFZp564E2222 (from clone DKFZp564E2222)	NA
212190_at	-1.8	-2.5	trinucleotide repeat containing 3	TNRC3
212199_at	0.4	1.1	Human putative ribosomal protein S1 mRNA	NA
212230_at	-1.6	-1.3	Homo sapiens phosphatidic acid phosphatase type 2B (PPAP2B), mRNA	NA
212233_at	-1.6	-1.3	H.sapiens mRNA for 3UTR of unknown protein	NA
212247_at	0.6	0.6	KIAA0225 protein	KIAA0225
212264_s_at	0.5	0.9	KIAA0261 protein	KIAA0261
212266_s_at	0.7	1.2	splicing factor, arginineserine-rich 5	SFRS5
212296_at	0.5	0.1	26S proteasome-associated pad1 homolog	POH1
212327_at	0.4	0.1	KIAA1102 protein	KIAA1102
212330_at	0.4	0.6	hypothetical protein FLJ13576	FLJ13576
212337_at	0.4	0.7	peptidylprolyl isomerase B (cyclophilin B)	PPIB
212353_at	-1.9	-1.3	KIAA1077 protein	KIAA1077
212397_at	0.3	1.1	hypothetical protein	DKFZp434I0812
212419_at	-1	-2	Homo sapiens mRNA; cDNA DKFZp564L0822 (from clone DKFZp564L0822)	NA
212425_at	-0.8	-1.2	secretory carrier membrane protein 1	SCAMP1
212428_at	0.7	0.8	KIAA0368 protein	KIAA0368
212442_s_at	0.5	1.2	Homo sapiens cDNA: FLJ21238 fis, clone COL01115	NA
212450_at	-0.7	-1	KIAA0256 protein	KIAA0256
212473_s_at	-0.9	-1.5	Homo sapiens cDNA: FLJ22463 fis, clone HRC10126	NA
212510_at	0.7	0.2	KIAA0089 protein	KIAA0089
212544_at	0.6	1.9	thyroid hormone receptor interactor 3	TRIP3
212591_at	0.7	0.8	RBP1-like protein	BCAA
212613_at	1.2	2.3	butyrophilin, subfamily 3, member A2	BTN3A2
212621_at	0.4	0.7	Homo sapiens mRNA for KIAA0286 gene, partial cds.	KIAA0286
212626_x_at	0.3	1.2	heterogeneous nuclear ribonucleoprotein C (C1C2)	HNRPC
212627_s_at	0.6	0.3	KIAA0116 protein	KIAA0116
212749_s_at	0.6	1.5	DKFZP586C1620 protein	DKFZP586C1620
212761_at	-0.6	-1.2	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
212766_s_at	0.2	0.2	Homo sapiens, Similar to hypothetical protein FLJ12484, clone MGC:3008, mRNA, complete	NA
212768_s_at	-4.5	-2	differentially expressed in hematopoietic lineages	GW112
212773_s_at	0.4	0.4	translocase of outer mitochondrial membrane 20 (yeast) homolog	KIAA0016
212865_s_at	-1.3	-1.1	collagen, type XIV, alpha 1 (undulin)	COL14A1
212915_at	-2	-2.6	KIAA1095 protein	KIAA1095
212916_at	-0.4	-1.1	KIAA1111 protein	KIAA1111
212918_at	0.5	0.3	hypothetical protein FLJ22028	FLJ22028
212946_at	-1.1	-1.1	KIAA0564 protein	KIAA0564
212977_at	0.9	1.1	G protein-coupled receptor	RDC1
212980_at	-0.5	-1.7	Homo sapiens mRNA; cDNA DKFZp586J101 (from clone DKFZp586J101)	NA
213026_at	0.8	1.4	Apg12 (autophagy 12, S. cerevisiae)-like	APG12L
213080_x_at	-0.5	-0.9	ribosomal protein L5	RPL5
213088_s_at	0.9	0.6	KIAA0974 protein	KIAA0974
213097_s_at	0.4	0.2	zuotin related factor 1	ZRF1
213106_at	-1.3	-1.5	Homo sapiens clone 23664 and 23905 mRNA sequence	NA
213137_s_at	0.4	0.7	protein tyrosine phosphatase, non-receptor type 2	PTPN2
213169_at	-0.9	-1.3	Homo sapiens clone TUA8 Cri-du-chat region mRNA	NA
213183_s_at	-1.5	-2.1	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C
213212_x_at	-0.9	-1.3	golgin-67	KIAA0855
213241_at	-2.2	-1.5	Homo sapiens clone 23785 mRNA sequence.	NA
213260_at	-1	-1.7	forkhead box C1	FOXC1
213266_at	-0.5	-1.3	gamma tubulin ring complex protein (76p gene)	76P
213275_x_at	-1.4	-1	cathepsin B	CTSB
213305_s_at	1	3.8	protein phosphatase 2A B56-gamma1	PP2A
213307_at	-1.8	-1.6	cortactin SH3 domain-binding protein	KIAA1022
213326_at	-1.1	-1.4	vesicle-associated membrane protein 1 (synaptobrevin 1)	VAMP1
213327_s_at	0.8	0.7	ubiquitin specific protease 12	USP12
213350_at	-0.7	-1.8	ribosomal protein S11	RPS11
213366_x_at	0.4	1.5	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1
213379_at	1.1	0.2	Homo sapiens clone 640 unknown mRNA, complete sequence.	CL640
213413_at	-1.4	-1.6	Homo sapiens cDNA FLJ13555 fis, clone PLACE1007677
213423_x_at	0.5	0.1	Putative prostate cancer tumor suppressor	N33
213427_at	0.9	0.2	ribonuclease P, 40kD subunit	RPP40
213428_s_at	-0.7	-1.1	collagen, type VI, alpha 1	COL6A1
213447_at	-1	-1	imprinted in Prader-Willi syndrome	IPW
213454_at	0.6	0.6	cortistatin	CORT
213465_s_at	0.9	1.1	protein phosphatase 1, regulatory subunit 7	PPP1R7
213476_x_at	0.3	3.2	tubulin, beta, 4	TUBB4
213486_at	-1	-1.6	hypothetical protein DKFZp761N09121	DKFZP761N09121
213496_at	-1.9	-1.3	KIAA0455 gene product	KIAA0455
213571_s_at	0.5	0.1	eukaryotic translation initiation factor 4E-like 3	EIF4EL3
213574_s_at	0.9	0.1	karyopherin (importin) beta 1	KPNB1
213588_x_at	-0.4	-1	ribosomal protein L14	RPL14
213622_at	-1.5	-1.6	collagen, type IX, alpha 2	COL9A2
213627_at	-0.6	-0.8	hepatocellular carcinoma associated protein; breast cancer associated gene 1	JCL-1
213649_at	1	1.6	splicing factor, arginineserine-rich 7 (35kD)	SFRS7
213653_at	1.2	0.8	putative methyltransferase M6A	NA
213655_at	0.5	0.4	tyrosine 3-monooxygenasetryptophan 5-monooxygenase activation protein, epsilon polypeptide YWHAE	NA
213702_x_at	-0.6	-0.9	N-acylsphingosine amidohydrolase (acid ceramidase)	ASAH
213729_at	1	1.1	Huntingtin-interacting protein A	HYPA
213742_at	-0.9	-0.1	Homo sapiens cDNA FLJ11680 fis, clone HEMBA1004820	NA
213803_at	0.9	1.2	karyopherin (importin) beta 1	KPNB1
213836_s_at	-1.1	-2	KIAA1001 protein	KIAA1001
213880_at	-1.6	-2	G protein-coupled receptor 49	GPR49
213883_s_at	-0.5	-0.9	glucose phosphate isomerase	GPI
213895_at	0.8	0.8	epithelial membrane protein 1	EMP1
213900_at	-0.8	-1.1	Friedreich ataxia region gene X123	X123
214001_x_at	-0.9	-1.9	ribosomal protein S10	RPS10
214041_x_at	-1.6	-2.5	ribosomal protein L37a	RPL37A
214045_at	0.8	1.1	lipoic acid synthetase	LAS
214086_s_at	0.8	0.9	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 2	ADPRTL2
214152_at	-0.6	-1.2	phosphatidylinositol glycan, class B	PIGB
214214_s_at	0.2	0.3	complement component 1, q subcomponent binding protein	C1QBP
214414_x_at	-2.7	-2.2	hemoglobin, alpha 1	HBA1
214459_x_at	0.7	1.1	Cw1 antigen	HLA-C
214499_s_at	0.5	1.7	Bcl-2-associated transcription factor shortform	KIAA0164
214501_s_at	0.7	0.8	histone macroH2A1.1	H2AFY
214582_at	-1.6	-1.6	2,3-cyclic nucleotide 3 phosphodiesterase	CNP
214610_at	-1.1	-1.3	cytochrome P450, subfamily XIB (steroid 11-beta-hydroxylase), polypeptide 1	CYP11B1
214710_s_at	2.2	1.8	cyclin B1	CCNB1
214734_at	0.5	1.5	KIAA0624 protein	KIAA0624
214741_at	1.2	3.4	zinc finger protein 131 (clone pHZ-10)	ZNF131
214772_at	-1.5	-1.6	G2 protein	G2
214798_at	-0.9	-1.3	Homo sapiens cDNA: FLJ21771 fis, clone COLF7779	NA
214861_at	-3.1	-1.5	gene amplified in squamous cell carcinoma 1; KIAA0780 protein	KIAA0780
214866_at	-0.9	-1.3	urokinase plasminogen activator receptor	PLAUR
214882_s_at	0.7	0.8	splicing factor, arginineserine-rich 2	SFRS2
214911_s_at	0.6	1.3	bromodomain-containing 2	BRD2
214949_at	0.4	1.1	Homo sapiens mRNA; cDNA DKFZp586L141 (from clone DKFZp586L141).	NA
214951_at	-0.2	-2.5	hypothetical protein	DKFZp564M1916
214996_at	-0.6	-0.8	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 362780.	NA
215067_x_at	-1.4	-1	Homo sapiens cDNA FLJ12333 fis, clone MAMMA1002198, highly similar to THIOREDOXIN PEROXIDASE 1	NA
215091_s_at	0.5	0.8	general transcription factor IIIA	GTF3A
215148_s_at	-1.3	-0.9	amyloid beta (A4) precursor protein-binding, family A, member 3 (X11-like 2)	APBA3
215160_x_at	0.4	0.8	FSHD region gene 1	FRG1
215171_s_at	0.3	0.1	translocase of inner mitochondrial membrane 17 (yeast) homolog A	TIM17
215204_at	-1.4	-1.1	Homo sapiens cDNA FLJ14090 fis, clone MAMMA1000264	NA
215227_x_at	0.3	0.5	acid phosphatase 1, soluble	ACP1
215306_at	-1.7	-2.3	Homo sapiens mRNA; cDNA DKFZp586N2020 (from clone DKFZp586N2020)	NA
215313_x_at	0.9	0.9	major histocompatibility complex, class I, A	HLA-A
215424_s_at	1.3	1.5	SKI-INTERACTING PROTEIN	SNW1
215479_at	-1.8	-1.4	Homo sapiens cDNA FLJ20780 fis, clone COL04256	NA
215516_at	0.7	2	laminin, beta 4	LAMB4
215525_at	-0.5	-1.8	Homo sapiens mRNA; cDNA DKFZp586A0423 (from clone DKFZp586A0423)	NA
215629_s_at	0.6	0.4	BCMS-upstream neighbor-like (BCMSUNL)	BCMSUNL
215695_s_at	-0.7	-1.9	glycogenin-2 delta	glycogenin-2
215704_at	-2.4	-2	filaggrin	FLG
215773_x_at	0.6	0.2	poly-(ADP-ribose) polymerase II	PARP2
216034_at	-1.5	-1.9	Homo sapiens immunoglobulin lambda gene locus DNA, clone:288A10	NA
216061_x_at	-1	-1.1	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog) PDGFB	NA
216064_s_at	0.8	0.8	aspartylglucosaminidase	AGA
216088_s_at	0.6	5.2	proteasome (prosome, macropain) subunit, alpha type, 7	PSMA7
216194_s_at	0.4	0.3	cytoskeleton-associated protein 1	CKAP1
216246_at	-1	-1.8	ribosomal protein S20	RPS20
216274_s_at	0.8	0.5	signal peptidase complex (18kD)	SPC18
216341_s_at	-1.7	-1.4	gonadotropin-releasing hormone receptor	GNRHR
216379_x_at	-1.8	-1.6	Homo sapiens CD24 signal transducer mRNA.	NA
216526_x_at	0.8	0.7	major histocompatibility complex, class I, C	HLA-C
216652_s_at	0.7	0.5	Homo sapiens mRNA; cDNA DKFZp434H0872 (from clone DKFZp434H0872).	NA
216977_x_at	0.9	1.1	U2 snRNP-specific A protein	SNRPA1
216988_s_at	0.6	1.4	protein tyrosine phosphatase type IVA, member 2	PTP4A2
217427_s_at	1.6	0.4	TUP1 like enhancer of SPLIT gene 1	TUPLE1
217627_at	-0.6	-0.9	ESTs, Weakly similar to S47072 finger protein HZF10, Krueppel-related (H.sapiens)	NA
217717_s_at	0.7	1.7	GW128 protein	GW128
217722_s_at	0.6	1.2	mesenchymal stem cell protein DSC92	LOC51335
217747_s_at	0.3	1	ribosomal protein S9	RPS9
217762_s_at	0.8	0.2	RAB31, member RAS oncogene family	RAB31
217764_s_at	1	0.5	small GTP-binding protein rab22b	RAB31
217772_s_at	1.1	0.2	mitochondrial carrier homolog 2	MTCH2
217835_x_at	0.6	1	putative Rab5-interacting protein	LOC55969
217848_s_at	0.4	0.7	pyrophosphatase (inorganic)	PP
217850_at	0.3	0.7	putative nucleotide binding protein,estradiol-induced	E2IG3
217871_s_at	0.4	1.8	macrophage migration inhibitory factor(glycosylation-inhibiting factor)	MIF
217897_at	-1.4	-1.6	FXYD domain-containing ion transport regulator 6	FXYD6
217898_at	0.6	0.3	chromosome 11 hypothetical protein ORF3	LOC56851
217919_s_at	1	0.2	PTD007 protein	PTD007
217933_s_at	0.4	1.7	leucine aminopeptidase	LOC51056
217955_at	0.7	1.5	MIL1 protein	MIL1
217959_s_at	0.9	2.3	PTD009 protein	PTD009
217976_s_at	0.2	0.2	dynein light chain-A	LOC51143
217985_s_at	0.8	2.1	bromodomain adjacent to zinc finger domain, 1A	BAZ1A
217987_at	0.6	0.4	hypothetical protein	FLJ20752
217991_x_at	-1.1	-0.7	hypothetical protein FLJ10355	FLJ10355
217995_at	0.7	1	CGI-44 protein; sulfide dehydrogenase like(yeast)	CGI-44
218002_s_at	0.3	0.1	small inducible cytokine subfamily B(Cys-X-Cys), member 14 (BRAK)	SCYB14
218009_s_at	1.6	0.9	protein regulator of cytokinesis 1	PRC1
218011_at	0.6	0.8	ubiquitin-like 5	UBL5
218020_s_at	-0.6	-1	hypothetical protein FLJ13222	FLJ13222
218031_s_at	0.4	0.9	hypothetical protein PRO1635	PRO1635
218039_at	1.5	0.5	Homo sapiens clone HQ0310 PRO0310p1 (LOC51203), mRNA.	LOC51203
218042_at	0.3	0.6	COP9 complex subunit 4	LOC51138
218049_s_at	0.6	1.5	L13 protein	L13
218088_s_at	0.8	0.3	Rag C protein	GTR2
218104_at	0.3	0.1	hypothetical protein FLJ20287	FLJ20287
218108_at	0.5	1.1	hypothetical protein FLJ10483	FLJ10483
218109_s_at	0.7	0.2	hypothetical protein FLJ14153	FLJ14153
218118_s_at	1.6	0.9	translocase of inner mitochondrial membrane 23(yeast) homolog	TIM23
218123_at	1.4	1.5	Homo sapiens chromosome 21 open reading frame 59 (C21ORF59), mRNA. / hypothetical protein FLJ20467	C21ORF59
218135_at	0.8	0.3	CDA14	LOC51290
218140_x_at	0.6	0.4	APMCF1 protein	APMCF1
218160_at	0.4	0.4	NADH dehydrogenase (ubiquinone) 1 alphasubcomplex, 8 (19kD, PGIV)	NDUFA8
218163_at	0.4	0.3	MCT-1 protein	MCT-1
218167_at	0.6	2.1	hypothetical protein	LOC51321
218185_s_at	0.5	0.2	hypothetical protein FLJ10511	FLJ10511
218190_s_at	0.4	0.7	ubiquinol-cytochrome c reductase complex (7.2kD)	HSPC051
218211_s_at	-1.7	-1.6	hypothetical protein MGC2771	MGC2771
218229_s_at	0.2	1.6	KIAA1513 protein	KIAA1513
218238_at	0.7	0.4	GTP-binding protein	NGB
218249_at	0.7	0.1	hypothetical protein FLJ21952	FLJ21952
218250_s_at	0.5	0.4	CCR4-NOT transcription complex, subunit 7	CNOT7
218252_at	1	0.6	cytoskeleton associated protein 2	CKAP2
218268_at	0.5	0.2	hypothetical protein FLJ12085	FLJ12085
218309_at	-1.5	-1.3	hypothetical protein PRO1489	PRO1489
218330_s_at	-0.8	-1.7	hypothetical protein FLJ10633	FLJ10633
218333_at	0.5	0.3	CGI-101 protein	LOC51009
218349_s_at	1.1	2.3	hypothetical protein FLJ10036	FLJ10036
218373_at	0.4	0.9	hypothetical protein FLJ13258 similar to fusedtoes	FLJ13258
218375_at	0.7	0.8	hypothetical protein MGC3037	MGC3037
218399_s_at	0.5	0.7	hypothetical protein FLJ20764	FLJ20764
218415_at	0.4	0.1	vacuolar protein sorting 33B (yeast homolog)	VPS33B
218447_at	0.6	0.4	DC13 protein	DC13
218449_at	0.7	1.2	hypothetical protein FLJ11200	FLJ11200
218450_at	0.2	1.6	heme-binding protein	HEBP
218477_at	0.6	0.7	PTD011 protein	PTD011
218502_s_at	-2	-1.6	trichorhinophalangeal syndrome I gene	TRPS1
218535_s_at	0.1	0.4	hypothetical protein FLJ11159	FLJ11159
218542_at	2	2.2	hypothetical protein FLJ10540	FLJ10540
218557_at	0.9	1.6	Nit protein 2	NIT2
218558_s_at	1	0.7	hypothetical protein	PRED22
218561_s_at	0.4	0.9	CGI-203 protein	CGI-203
218574_s_at	-1.3	-2.7	LIM and cysteine-rich domains 1	LMCD1
218585_s_at	1.5	0.9	L2DTL protein	L2DTL
218587_s_at	0.5	0.4	x 010 protein	MDS010
218605_at	0.5	1.4	hypothetical protein FLJ23182	FLJ23182
218622_at	1	1.6	hypothetical protein MGC5585	MGC5585
218637_at	-0.9	-1.1	hypothetical protein IMPACT	IMPACT
218662_s_at	1.7	0.2	chromosome condensation protein G	HCAP-G
