Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Other ID	Gene Title	UG Cluster	LocusLink	Chromosome
EPHB2	D31661	0.001475	0.00879152	5.449	6.375	6.507	6.018	0.087	0.205	0.177	0.101	5.449	6.375	6.507	6.018	MmugDNA.23037.1.S1_at	EPH receptor B2	Hs.523329	2048	1
EPHB2	AF025304	0.004671	0.017999275	8.450	9.195	9.062	8.856	0.083	0.152	0.140	0.089	8.450	9.195	9.062	8.856	MmugDNA.30208.1.S1_at	EPH receptor B2	Hs.523329	2048	1
ERCC2	AI918117	0.007073	0.023812364	8.350	8.673	8.643	8.725	0.061	0.078	0.039	0.077	8.350	8.673	8.643	8.725	MmugDNA.40633.1.S1_at	Excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)	Hs.487294	2068	19
ERCC6L	NM_017669	0.000095	0.001801397	5.404	5.879	5.275	5.352	0.045	0.102	0.035	0.053	5.404	5.879	5.275	5.352	MmugDNA.27885.1.S1_at	Excision repair cross-complementing rodent repair deficiency, complementation group 6-like	Hs.47558	54821	X
ERH	NM_004450	0.000131	0.002126416	11.790	12.115	12.049	11.966	0.019	0.048	0.031	0.033	11.790	12.115	12.049	11.966	MmugDNA.26837.1.S1_at	Enhancer of rudimentary homolog (Drosophila)	Hs.509791	2079	14
EXO1	NM_003686	0.000845	0.006293991	4.745	5.231	4.592	4.713	0.014	0.162	0.010	0.044	4.745	5.231	4.592	4.713	MmugDNA.17950.1.S1_s_at	Exonuclease 1	Hs.498248	9156	1
FANCD2	AF340183	0.012908	0.035658731	7.001	7.374	6.987	7.017	0.063	0.095	0.092	0.060	7.001	7.374	6.987	7.017	MmugDNA.6869.1.S1_at	Fanconi anemia, complementation group D2	Hs.208388	2177	3
FBXO5	AK026197	0.000364	0.003840534	8.744	9.223	8.794	8.665	0.059	0.113	0.039	0.027	8.744	9.223	8.794	8.665	MmugDNA.42135.1.S1_at	F-box protein 5	Hs.520506	26271	6
FH	AI363836	0.000007	0.000514399	8.424	9.266	8.944	8.837	0.050	0.087	0.026	0.072	8.424	9.266	8.944	8.837	MmugDNA.29846.1.S1_at	Fumarate hydratase	Hs.592490	2271	1
FMN2	AF225426	0.001584	0.009179537	7.665	6.433	7.178	7.504	0.065	0.227	0.213	0.148	7.665	6.433	7.178	7.504	MmugDNA.20444.1.S1_at	Formin 2	Hs.24889	56776	1
FOXC1	AU145890	0.000474	0.004479242	8.166	6.790	7.432	7.611	0.130	0.184	0.163	0.151	8.166	6.790	7.432	7.611	MmugDNA.15749.1.S1_at	Forkhead box C1	Hs.348883	2296	6
FOXN3	AW051527	0.001025	0.007084142	11.324	10.515	10.659	10.783	0.064	0.177	0.093	0.049	11.324	10.515	10.659	10.783	MmugDNA.13039.1.S1_at	Forkhead box N3	Hs.434286	1112	14
FOXO4	NM_005938	0.000038	0.001110595	8.862	7.826	8.178	8.221	0.059	0.150	0.075	0.052	8.862	7.826	8.178	8.221	MmugDNA.37343.1.S1_at	Forkhead box O4	Hs.584654	4303	X
FSD1	NM_024333	0.004412	0.017353012	6.292	6.626	6.434	6.270	0.017	0.066	0.084	0.052	6.292	6.626	6.434	6.270	MmugDNA.13983.1.S1_at	Fibronectin type III and SPRY domain containing 1	Hs.28144	79187	19
FZR1	AB013463	0.003378	0.01469315	7.322	7.670	7.487	7.483	0.059	0.030	0.025	0.072	7.322	7.670	7.487	7.483	MmugDNA.6633.1.S1_at	Fizzy/cell division cycle 20 related 1 (Drosophila)	Hs.413133	51343	19
GADD45B	AF078077	0.00653	0.02257576	8.868	8.398	8.584	8.705	0.082	0.082	0.031	0.095	8.868	8.398	8.584	8.705	MmugDNA.23069.1.S1_at	Growth arrest and DNA-damage-inducible, beta	Hs.110571	4616	19
GADD45B	AF087853	0.003329	0.014582047	9.680	9.066	9.265	9.443	0.074	0.094	0.096	0.102	9.680	9.066	9.265	9.443	MmugDNA.30178.1.S1_s_at	Growth arrest and DNA-damage-inducible, beta	Hs.110571	4616	19
GADD45B	AF087853	0.009837	0.029689127	9.326	8.731	8.832	9.047	0.118	0.075	0.081	0.142	9.326	8.731	8.832	9.047	MmugDNA.30178.1.S1_at	Growth arrest and DNA-damage-inducible, beta	Hs.110571	4616	19
GADD45GIP1	BF972185	0.004437	0.017404678	8.952	9.265	9.202	9.208	0.029	0.059	0.059	0.051	8.952	9.265	9.202	9.208	MmugDNA.24959.1.S1_at	Growth arrest and DNA-damage-inducible, gamma interacting protein 1	Hs.515164	90480	19
GAS2L3	H37811	0.001987	0.01056228	7.534	8.203	7.722	7.636	0.141	0.105	0.082	0.029	7.534	8.203	7.722	7.636	MmugDNA.18183.1.S1_at	Growth arrest-specific 2 like 3	Hs.20575	283431	12
GAS7	BE439987	0.009241	0.028545084	10.802	11.197	11.097	11.029	0.074	0.028	0.056	0.095	10.802	11.197	11.097	11.029	MmugDNA.39502.1.S1_at	Growth arrest-specific 7	Hs.462214	8522	17
GAS7	BC006454	0.00062	0.005266108	7.611	8.327	7.966	7.786	0.120	0.104	0.057	0.053	7.611	8.327	7.966	7.786	MmugDNA.11248.1.S1_s_at	Growth arrest-specific 7	Hs.462214	8522	17
GRLF1	AI275597	0.001877	0.010211182	10.528	10.683	10.794	10.738	0.027	0.060	0.021	0.031	10.528	10.683	10.794	10.738	MmugDNA.497.1.S1_at	Glucocorticoid receptor DNA binding factor 1	Hs.509447	2909	19
GSG2	AB039834	0.008016	0.025968453	6.132	6.618	6.152	6.231	0.139	0.078	0.078	0.034	6.132	6.618	6.152	6.231	MmugDNA.9560.1.S1_at	Germ cell associated 2 (haspin)	Hs.534059	83903	17
GTSE1	BC006325	0.002523	0.01229221	6.439	7.824	6.604	6.735	0.137	0.346	0.136	0.161	6.439	7.824	6.604	6.735	MmugDNA.9770.1.S1_at	G-2 and S-phase expressed 1	Hs.386189	51512	22
GTSE1	NM_016426	0.003069	0.013909373	6.547	7.038	6.478	6.544	0.046	0.143	0.089	0.048	6.547	7.038	6.478	6.544	MmugDNA.33793.1.S1_s_at	G-2 and S-phase expressed 1	Hs.386189	51512	22
GTSE1	BF973178	0.002845	0.013241167	5.167	5.679	5.088	5.280	0.018	0.167	0.047	0.051	5.167	5.679	5.088	5.280	MmugDNA.41765.1.S1_at	G-2 and S-phase expressed 1	Hs.386189	51512	22
GTSE1	AI340239	0.001821	0.010027489	4.749	5.497	4.880	5.011	0.101	0.151	0.101	0.049	4.749	5.497	4.880	5.011	MmugDNA.36210.1.S1_at	G-2 and S-phase expressed 1	Hs.386189	51512	22
GTSE1	NM_016426	0.012966	0.035776268	4.730	5.706	4.772	4.934	0.131	0.306	0.091	0.178	4.730	5.706	4.772	4.934	MmugDNA.33793.1.S1_at	G-2 and S-phase expressed 1	Hs.386189	51512	22
HBP1	NM_012257	0.002422	0.0119621	8.966	8.467	8.710	8.932	0.026	0.131	0.062	0.051	8.966	8.467	8.710	8.932	MmugDNA.15134.1.S1_at	HMG-box transcription factor 1	Hs.162032	26959	7
HBP1	AF019214	0.004394	0.017303902	12.066	11.349	11.600	11.658	0.025	0.209	0.046	0.032	12.066	11.349	11.600	11.658	MmugDNA.6125.1.S1_at	HMG-box transcription factor 1	Hs.162032	26959	7
HECTD3	NM_024602	0.001232	0.007930714	9.502	8.842	8.872	8.924	0.152	0.055	0.099	0.049	9.502	8.842	8.872	8.924	MmugDNA.11588.1.S1_at	HECT domain containing 3	Hs.525084	79654	1
HELLS	AU150825	0.000253	0.003065992	5.112	6.487	5.706	5.601	0.201	0.164	0.113	0.091	5.112	6.487	5.706	5.601	MmugDNA.9901.1.S1_at	Helicase, lymphoid-specific	Hs.655830	3070	10
HERC5	NM_016323	0.01346	0.036616613	8.650	6.867	7.472	7.377	0.181	0.270	0.503	0.243	8.650	6.867	7.472	7.377	MmugDNA.38910.1.S1_at	Hect domain and RLD 5	Hs.26663	51191	4
HHEX	Z21533	0.002494	0.01220002	8.443	7.656	8.155	7.821	0.074	0.087	0.182	0.105	8.443	7.656	8.155	7.821	MmugDNA.23862.1.S1_at	Hematopoietically expressed homeobox	Hs.118651	3087	10
HMG20B	AF288679	0.004049	0.016460065	9.904	10.301	10.210	10.294	0.053	0.033	0.106	0.057	9.904	10.301	10.210	10.294	MmugDNA.35531.1.S1_s_at	High-mobility group 20B	Hs.406534	10362	19
IGF1	M29644	0.000324	0.003567412	9.260	11.364	11.203	11.007	0.308	0.145	0.231	0.323	9.260	11.364	11.203	11.007	MmugDNA.7733.1.S1_at	Insulin-like growth factor 1 (somatomedin C)	Hs.160562	3479	12
IGF1	M37484	0.000004	0.000405304	8.363	10.178	10.072	9.822	0.072	0.166	0.220	0.062	8.363	10.178	10.072	9.822	MmugDNA.38092.1.S1_at	Insulin-like growth factor 1 (somatomedin C)	Hs.160562	3479	12
IGF1	AU144912	0.000056	0.001379075	12.289	13.626	13.504	13.399	0.154	0.146	0.148	0.093	12.289	13.626	13.504	13.399	MmugDNA.4061.1.S1_at	Insulin-like growth factor 1 (somatomedin C)	Hs.160562	3479	12
ILF3	BG032366	0.008878	0.027794049	8.241	8.793	8.679	8.562	0.126	0.065	0.101	0.081	8.241	8.793	8.679	8.562	MmugDNA.43185.1.S1_at	Interleukin enhancer binding factor 3, 90kDa	Hs.465885	3609	19
JMY	BF447037	0.000216	0.002824455	11.715	10.753	11.001	11.187	0.090	0.161	0.099	0.013	11.715	10.753	11.001	11.187	MmugDNA.41014.1.S1_at	Junction-mediating and regulatory protein	Hs.482605	133746	5
JUNB	NM_002229	0.006954	0.023580857	9.590	8.627	8.508	8.830	0.330	0.062	0.110	0.134	9.590	8.627	8.508	8.830	MmugDNA.21723.1.S1_at	Jun B proto-oncogene	Hs.25292	3726	19
KATNA1	NM_007044	0.006749	0.02309336	9.056	8.751	8.769	8.693	0.054	0.076	0.060	0.060	9.056	8.751	8.769	8.693	MmugDNA.29802.1.S1_at	Katanin p60 (ATPase-containing) subunit A 1	Hs.450175	11104	6
KIF11	NM_004523	0.000434	0.004256902	3.927	5.472	4.050	4.287	0.042	0.268	0.250	0.132	3.927	5.472	4.050	4.287	MmugDNA.13565.1.S1_at	Kinesin family member 11	Hs.8878	3832	10
KIF15	NM_020242	0.000209	0.002780341	5.244	7.180	5.462	5.405	0.169	0.348	0.201	0.161	5.244	7.180	5.462	5.405	MmugDNA.15585.1.S1_at	Kinesin family member 15	Hs.658939	56992	3
KIF23	NM_004856	0.000231	0.002912956	5.859	7.535	6.065	6.294	0.189	0.303	0.133	0.072	5.859	7.535	6.065	6.294	MmugDNA.13584.1.S1_at	Kinesin family member 23	Hs.270845	9493	15
KIFC1	BC000712	0.000522	0.00474004	8.253	8.477	7.775	7.817	0.080	0.146	0.073	0.065	8.253	8.477	7.775	7.817	MmugDNA.9497.1.S1_at	Kinesin family member C1	Hs.436912	3833	6
KILLIN	AA057423	0.000405	0.00410009	6.256	6.542	6.477	6.523	0.039	0.042	0.033	0.028	6.256	6.542	6.477	6.523	MmugDNA.2919.1.S1_at	Killin protein	Hs.559820	100144748	10
KPNA2	BC005978	0.000034	0.001056803	9.109	11.187	10.214	10.257	0.083	0.270	0.188	0.122	9.109	11.187	10.214	10.257	MmugDNA.33404.1.S1_at	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	Hs.594238	3838	17
LATS2	AF207547	0.02071	0.049314049	10.745	10.744	10.980	11.147	0.080	0.085	0.082	0.110	10.745	10.744	10.980	11.147	MmugDNA.25719.1.S1_at	LATS, large tumor suppressor, homolog 2 (Drosophila)	Hs.78960	26524	13
LIG1	NM_000234	0	0	9.798	8.778	8.782	8.744	0.034	0.051	0.117	0.063	9.798	8.778	8.782	8.744	MmugDNA.21105.1.S1_at	Ligase I, DNA, ATP-dependent	Hs.1770	3978	19
LIG4	AI829314	0.001923	0.010360956	4.619	5.399	5.081	5.313	0.087	0.036	0.117	0.174	4.619	5.399	5.081	5.313	MmugDNA.10771.1.S1_at	Ligase IV, DNA, ATP-dependent	Hs.166091	3981	13
LIN9	BF697734	0.001851	0.010122409	9.442	9.149	8.961	8.907	0.046	0.089	0.062	0.105	9.442	9.149	8.961	8.907	MmugDNA.30157.1.S1_s_at	Lin-9 homolog (C. elegans)	Hs.120817	286826	1
LOH11CR2A	BC001234	0.016077	0.041474549	6.369	6.055	6.055	6.110	0.099	0.059	0.044	0.048	6.369	6.055	6.055	6.110	MmugDNA.33747.1.S1_at	Loss of heterozygosity, 11, chromosomal region 2, gene A	Hs.152944	4013	11
LZTS2	BC006212	0.016616	0.042328565	10.535	10.055	10.092	10.327	0.145	0.025	0.100	0.087	10.535	10.055	10.092	10.327	MmugDNA.8086.1.S1_at	Leucine zipper, putative tumor suppressor 2	Hs.523221	84445	10
MAD1L1	NM_003550	0.012448	0.034742925	7.916	8.146	8.255	8.420	0.059	0.076	0.104	0.109	7.916	8.146	8.255	8.420	MmugDNA.40431.1.S1_at	MAD1 mitotic arrest deficient-like 1 (yeast)	Hs.654838	8379	7
MAD2L1	AF394735	0.000999	0.006967253	7.134	8.285	7.572	7.444	0.129	0.172	0.159	0.127	7.134	8.285	7.572	7.444	MmugDNA.17868.1.S1_at	MAD2 mitotic arrest deficient-like 1 (yeast)	Hs.591697	4085	4
MAD2L2	AF080398	0.003522	0.015099631	8.956	9.435	9.219	9.104	0.080	0.113	0.025	0.028	8.956	9.435	9.219	9.104	MmugDNA.40489.1.S1_at	MAD2 mitotic arrest deficient-like 2 (yeast)	Hs.19400	10459	1
MADD	AB002356	0.000062	0.001461129	9.504	8.989	9.150	9.110	0.085	0.014	0.035	0.035	9.504	8.989	9.150	9.110	MmugDNA.8996.1.S1_at	MAP-kinase activating death domain	Hs.82548	8567	11
MAP2K6	NM_002758	0.001808	0.009994186	8.657	10.032	9.352	9.760	0.077	0.322	0.167	0.124	8.657	10.032	9.352	9.760	MmugDNA.18194.1.S1_at	Mitogen-activated protein kinase kinase 6	Hs.463978	5608	17
MAP9	AV751613	0.002178	0.011177193	6.614	7.530	7.374	7.045	0.176	0.145	0.110	0.097	6.614	7.530	7.374	7.045	MmugDNA.16954.1.S1_at	Microtubule-associated protein 9	Hs.61271	79884	4
MAPK1	NM_002745	0.002761	0.012986863	9.239	9.838	9.735	9.647	0.141	0.073	0.056	0.064	9.239	9.838	9.735	9.647	MmugDNA.21644.1.S1_at	Mitogen-activated protein kinase 1	Hs.431850	5594	22
MAPK6	NM_002748	0.000825	0.006221582	10.278	10.789	10.659	10.693	0.081	0.092	0.015	0.050	10.278	10.789	10.659	10.693	MmugDNA.21665.1.S1_at	Mitogen-activated protein kinase 6	Hs.411847	5597	15
MAPRE1	NM_012325	0.008795	0.02761627	10.794	11.423	11.319	11.379	0.032	0.172	0.136	0.080	10.794	11.423	11.319	11.379	MmugDNA.15359.1.S1_at	Microtubule-associated protein, RP/EB family, member 1	Hs.472437	22919	20
MAPRE1	NM_012325	0.001347	0.00832635	10.173	10.957	10.777	10.851	0.075	0.162	0.117	0.061	10.173	10.957	10.777	10.851	MmugDNA.15359.1.S1_s_at	Microtubule-associated protein, RP/EB family, member 1	Hs.472437	22919	20
MAPRE1	AI633566	0.001218	0.007889388	9.653	10.493	10.399	10.348	0.037	0.203	0.110	0.050	9.653	10.493	10.399	10.348	MmugDNA.7447.1.S1_at	Microtubule-associated protein, RP/EB family, member 1	Hs.472437	22919	20
MCM3	NM_002388	0.0006	0.005162963	8.898	9.497	8.783	8.736	0.111	0.123	0.106	0.048	8.898	9.497	8.783	8.736	MmugDNA.25436.1.S1_at	Minichromosome maintenance complex component 3	Hs.179565	4172	6
MCM6	NM_005915	0.000164	0.002421158	10.169	10.531	9.974	9.864	0.048	0.103	0.026	0.088	10.169	10.531	9.974	9.864	MmugDNA.35654.1.S1_at	Minichromosome maintenance complex component 6	Hs.444118	4175	2
MCTS1	NM_014060	0.000042	0.001185328	9.460	10.284	9.919	9.903	0.087	0.070	0.055	0.075	9.460	10.284	9.919	9.903	MmugDNA.11610.1.S1_at	Malignant T cell amplified sequence 1	Hs.102696	28985	X
MDM2	AJ276888	0.012681	0.035157127	6.201	6.538	6.804	6.397	0.110	0.107	0.090	0.121	6.201	6.538	6.804	6.397	MmugDNA.15767.1.S1_at	Mdm2 p53 binding protein homolog (mouse)	Hs.567303	4193	12
MDM2	AI274906	0.020745	0.049371831	6.574	7.229	7.463	7.369	0.290	0.102	0.085	0.184	6.574	7.229	7.463	7.369	MmugDNA.32207.1.S1_at	Mdm2 p53 binding protein homolog (mouse)	Hs.567303	4193	12
MFN2	NM_014874	0.00106	0.007232976	11.271	10.910	11.118	11.339	0.083	0.034	0.070	0.024	11.271	10.910	11.118	11.339	MmugDNA.7748.1.S1_s_at	Mitofusin 2	Hs.709237	9927	1
MKI67	AU132185	0.000368	0.003872081	6.204	7.596	6.172	6.396	0.048	0.320	0.171	0.036	6.204	7.596	6.172	6.396	MmugDNA.32729.1.S1_at	Antigen identified by monoclonal antibody Ki-67	Hs.80976	4288	10
MKI67	BF001806	0.009725	0.029482632	5.643	6.189	5.669	5.768	0.060	0.149	0.113	0.067	5.643	6.189	5.669	5.768	MmugDNA.32726.1.S1_at	Antigen identified by monoclonal antibody Ki-67	Hs.80976	4288	10
MLH3	AB039667	0.020959	0.049739781	9.129	8.785	8.928	8.861	0.062	0.110	0.041	0.029	9.129	8.785	8.928	8.861	MmugDNA.9672.1.S1_s_at	MutL homolog 3 (E. coli)	Hs.436650	27030	14
MPHOSPH6	NM_005792	0.004519	0.017626169	9.938	10.249	10.209	10.165	0.062	0.036	0.043	0.058	9.938	10.249	10.209	10.165	MmugDNA.33065.1.S1_at	M-phase phosphoprotein 6	Hs.344400	10200	16
MPHOSPH8	AI016714	0.000006	0.000487654	10.910	10.402	10.525	10.528	0.024	0.059	0.033	0.033	10.910	10.402	10.525	10.528	MmugDNA.7140.1.S1_at	M-phase phosphoprotein 8	Hs.269654	54737	13
MPHOSPH8	BC003542	0.000057	0.001385895	11.231	10.680	10.790	10.792	0.046	0.075	0.033	0.054	11.231	10.680	10.790	10.792	MmugDNA.31638.1.S1_at	M-phase phosphoprotein 8	Hs.269654	54737	13
MPHOSPH9	AW449069	0.015294	0.040033833	6.873	7.386	7.320	7.254	0.117	0.089	0.033	0.133	6.873	7.386	7.320	7.254	MmugDNA.38080.1.S1_at	M-phase phosphoprotein 9	Hs.577404	10198	12
MRE11A	AA931565	0.003564	0.015208825	5.895	5.395	5.778	5.699	0.107	0.048	0.090	0.034	5.895	5.395	5.778	5.699	MmugDNA.14630.1.S1_at	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	Hs.192649	4361	11
MRPL41	AV726260	0.00014	0.002219256	10.427	10.946	10.711	10.719	0.043	0.072	0.047	0.041	10.427	10.946	10.711	10.719	MmugDNA.22636.1.S1_s_at	Mitochondrial ribosomal protein L41	Hs.44017	64975	9
MTSS1	AF116674	0.00434	0.017184428	4.310	4.255	4.638	4.642	0.098	0.066	0.092	0.022	4.310	4.255	4.638	4.642	MmugDNA.3115.1.S1_at	Metastasis suppressor 1	Hs.336994	9788	8
MTSS1	NM_014751	0.00736	0.024470139	9.517	8.858	9.986	10.120	0.079	0.376	0.224	0.052	9.517	8.858	9.986	10.120	MmugDNA.8618.1.S1_at	Metastasis suppressor 1	Hs.336994	9788	8
MUTYH	NM_012222	0.005391	0.019850279	9.326	8.978	8.987	9.115	0.028	0.038	0.080	0.079	9.326	8.978	8.987	9.115	MmugDNA.15932.1.S1_at	MutY homolog (E. coli)	Hs.271353	4595	1
MYCBP2	NM_015057	0.000464	0.004422903	11.896	11.621	11.761	11.841	0.033	0.038	0.038	0.021	11.896	11.621	11.761	11.841	MmugDNA.10403.1.S1_at	MYC binding protein 2	Hs.591221	23077	13
NASP	NM_002482	0.003585	0.01526163	8.474	8.982	8.706	8.621	0.088	0.093	0.058	0.058	8.474	8.982	8.706	8.621	MmugDNA.42457.1.S1_at	Nuclear autoantigenic sperm protein (histone-binding)	Hs.319334	4678	1
NASP	NM_002482	0.00255	0.012371346	8.521	9.066	8.793	8.737	0.094	0.088	0.049	0.067	8.521	9.066	8.793	8.737	MmugDNA.42457.1.S1_x_at	Nuclear autoantigenic sperm protein (histone-binding)	Hs.319334	4678	1
NASP	AW003362	0.002959	0.013592962	9.248	9.914	9.873	9.783	0.066	0.178	0.056	0.084	9.248	9.914	9.873	9.783	MmugDNA.29320.1.S1_at	Nuclear autoantigenic sperm protein (histone-binding)	Hs.319334	4678	1
NBN	NM_002485	0.01867	0.045974914	8.248	8.330	8.683	8.778	0.098	0.113	0.160	0.083	8.248	8.330	8.683	8.778	MmugDNA.36444.1.S1_at	Nibrin	Hs.492208	4683	8
NBN	AK001017	0.013887	0.037419738	6.588	6.918	7.118	7.086	0.071	0.144	0.102	0.086	6.588	6.918	7.118	7.086	MmugDNA.22222.1.S1_at	Nibrin	Hs.492208	4683	8
NBN	AK001017	0.008671	0.027373274	7.541	7.798	8.180	8.091	0.170	0.092	0.093	0.093	7.541	7.798	8.180	8.091	MmugDNA.22222.1.S1_s_at	Nibrin	Hs.492208	4683	8
NBN	AI796269	0.001385	0.008483724	8.259	8.738	9.075	8.864	0.130	0.085	0.135	0.075	8.259	8.738	9.075	8.864	MmugDNA.41043.1.S1_at	Nibrin	Hs.492208	4683	8
NCAPG	NM_022346	0.000086	0.001721572	5.339	7.234	5.498	5.529	0.086	0.302	0.228	0.149	5.339	7.234	5.498	5.529	MmugDNA.11557.1.S1_at	Non-SMC condensin I complex, subunit G	Hs.567567	64151	4
NCAPH	D38553	0.011022	0.032013767	6.874	7.418	6.826	6.902	0.069	0.193	0.086	0.060	6.874	7.418	6.826	6.902	MmugDNA.12175.1.S1_at	Non-SMC condensin I complex, subunit H	Hs.308045	23397	2
NCAPH2	NM_014551	0.007112	0.023919157	8.752	8.569	8.543	8.392	0.078	0.053	0.051	0.041	8.752	8.569	8.543	8.392	MmugDNA.34794.1.S1_at	Non-SMC condensin II complex, subunit H2	Hs.180903	29781	22
NCAPH2	NM_014551	0.004146	0.016692131	10.002	9.736	9.701	9.617	0.102	0.025	0.034	0.050	10.002	9.736	9.701	9.617	MmugDNA.34794.1.S1_s_at	Non-SMC condensin II complex, subunit H2	Hs.180903	29781	22
NDE1	BF973292	0.00897	0.027967869	6.994	7.879	7.643	7.322	0.150	0.173	0.122	0.170	6.994	7.879	7.643	7.322	MmugDNA.8267.1.S1_at	NudE nuclear distribution gene E homolog 1 (A. nidulans)	Hs.655378	54820	16
NEK1	AV700007	0.020417	0.048821231	10.115	9.845	9.858	9.984	0.055	0.052	0.070	0.051	10.115	9.845	9.858	9.984	MmugDNA.17225.1.S1_at	NIMA (never in mitosis gene a)-related kinase 1	Hs.481181	4750	4
NEK2	Z25425	0.006855	0.023358793	4.489	5.584	4.852	4.739	0.116	0.243	0.221	0.110	4.489	5.584	4.852	4.739	MmugDNA.25696.1.S1_at	NIMA (never in mitosis gene a)-related kinase 2	Hs.153704	4751	1
NEK6	BC000101	0.005245	0.019511604	4.601	5.671	4.882	4.972	0.223	0.215	0.133	0.048	4.601	5.671	4.882	4.972	MmugDNA.27747.1.S1_at	NIMA (never in mitosis gene a)-related kinase 6	Hs.197071	10783	9
NEK6	BC000101	0.004174	0.016763781	8.894	10.042	9.351	9.438	0.190	0.200	0.185	0.084	8.894	10.042	9.351	9.438	MmugDNA.27747.1.S1_s_at	NIMA (never in mitosis gene a)-related kinase 6	Hs.197071	10783	9
NEK6	BE616825	0.000441	0.004290796	7.659	8.977	8.300	8.459	0.128	0.203	0.178	0.041	7.659	8.977	8.300	8.459	MmugDNA.24393.1.S1_at	NIMA (never in mitosis gene a)-related kinase 6	Hs.197071	10783	9
NF1	AW293356	0.004979	0.018798749	9.270	9.590	9.589	9.581	0.053	0.052	0.066	0.063	9.270	9.590	9.589	9.581	MmugDNA.30674.1.S1_at	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	Hs.113577	4763	17
NF2	NM_000268	0.001258	0.008017237	6.107	6.695	6.512	6.560	0.039	0.082	0.093	0.091	6.107	6.695	6.512	6.560	MmugDNA.21286.1.S1_at	Neurofibromin 2 (merlin)	Hs.187898	4771	22
NIPBL	BF221673	0.001449	0.008697403	9.992	9.703	9.728	9.718	0.018	0.043	0.037	0.064	9.992	9.703	9.728	9.718	MmugDNA.40099.1.S1_at	Nipped-B homolog (Drosophila)	Hs.481927	25836	5
NME1	NM_000269	0.00001	0.000597429	9.154	10.641	10.032	10.099	0.094	0.196	0.034	0.069	9.154	10.641	10.032	10.099	MmugDNA.21289.1.S1_at	Non-metastatic cells 1, protein (NM23A) expressed in	Hs.463456	4830	17
NME1	NM_002512	0.001408	0.008551732	12.892	13.209	12.964	12.858	0.055	0.025	0.065	0.048	12.892	13.209	12.964	12.858	MmugDNA.43120.1.S1_at	Non-metastatic cells 1, protein (NM23A) expressed in	Hs.463456	4830	17
NOLC1	D21262	0.002523	0.01229221	10.716	11.133	10.865	10.835	0.036	0.095	0.031	0.055	10.716	11.133	10.865	10.835	MmugDNA.32857.1.S1_at	Nucleolar and coiled-body phosphoprotein 1	Hs.523238	9221	10
NOLC1	AI355279	0.017594	0.044058747	8.094	8.548	8.340	8.174	0.128	0.090	0.020	0.087	8.094	8.548	8.340	8.174	MmugDNA.32853.1.S1_at	Nucleolar and coiled-body phosphoprotein 1	Hs.523238	9221	10
NOLC1	NM_004741	0.000135	0.002163857	8.831	9.689	9.278	9.168	0.115	0.112	0.034	0.055	8.831	9.689	9.278	9.168	MmugDNA.30555.1.S1_at	Nucleolar and coiled-body phosphoprotein 1	Hs.523238	9221	10
NOTCH2	AA291203	0.001235	0.00793692	11.701	11.826	11.890	12.101	0.037	0.048	0.069	0.050	11.701	11.826	11.890	12.101	MmugDNA.15808.1.S1_s_at	Notch homolog 2 (Drosophila)	Hs.487360	4853	1
NOTCH2	AU158495	0.002251	0.011399219	11.751	11.862	12.000	12.277	0.030	0.060	0.105	0.087	11.751	11.862	12.000	12.277	MmugDNA.2284.1.S1_at	Notch homolog 2 (Drosophila)	Hs.487360	4853	1
NOTCH2	AF308601	0.000485	0.004529227	10.531	10.889	11.078	11.293	0.133	0.082	0.065	0.065	10.531	10.889	11.078	11.293	MmugDNA.15458.1.S1_at	Notch homolog 2 (Drosophila)	Hs.487360	4853	1
NPM1	AA191576	0.002709	0.012831489	10.870	10.811	10.445	10.345	0.091	0.032	0.130	0.078	10.870	10.811	10.445	10.345	MmugDNA.4269.1.S1_at	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)	Hs.557550	4869	5
NUF2	AF326731	0.000313	0.003501611	4.509	5.271	4.392	4.545	0.054	0.161	0.113	0.062	4.509	5.271	4.392	4.545	MmugDNA.2768.1.S1_at	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	Hs.651950	83540	1
NUMA1	BC043499	0.000593	0.005118046	10.039	9.549	9.919	10.006	0.117	0.011	0.041	0.033	10.039	9.549	9.919	10.006	MmugDNA.39340.1.S1_at	Nuclear mitotic apparatus protein 1	Hs.325978	4926	11
NUMA1	NM_006185	0.000021	0.000857941	12.189	11.542	11.775	11.898	0.065	0.074	0.019	0.042	12.189	11.542	11.775	11.898	MmugDNA.20802.1.S1_at	Nuclear mitotic apparatus protein 1	Hs.325978	4926	11
NUSAP1	NM_016359	0.000091	0.001772304	6.230	9.282	7.023	7.387	0.151	0.418	0.329	0.249	6.230	9.282	7.023	7.387	MmugDNA.38956.1.S1_at	Nucleolar and spindle associated protein 1	Hs.615092	51203	15
