Prediction	Gene1	ID of G1	Gene2	ID of G2	P(X1<X2|Primary)	P(X1<X2|DM)	Delta
DM	ACTG2	72	METTL7A	25840	0.031	0.960	0.929
DM	ACTG2	72	MXRA5	25878	0.031	0.960	0.929
DM	FAM114A1	92689	NCK1	4690	0.031	0.960	0.929
DM	TPM2	7169	P4HA1	5033	0.031	0.960	0.929
DM	SGSH	6448	P4HA1	5033	0.031	0.960	0.929
DM	RHOA	387	PCP4	5121	0.031	0.960	0.929
DM	HNRNPA1	3178	PCP4	5121	0.031	0.960	0.929
DM	IQGAP2	10788	RALA	5898	0.031	0.960	0.929
DM	AIM1	202	RMND5A	64795	0.031	0.960	0.929
DM	AIM1	202	RSRC2	65117	0.031	0.960	0.929
DM	NEFH	4744	SEC31B	25956	0.031	0.960	0.929
DM	C10orf116	10974	SEL1L	6400	0.031	0.960	0.929
DM	TPM2	7169	SLC39A14	23516	0.031	0.960	0.929
DM	ERBB2	2064	SLC7A5	8140	0.031	0.960	0.929
DM	MAGED2	10916	SOD1	6647	0.031	0.960	0.929
DM	ZC3H4	23211	STC1	6781	0.031	0.960	0.929
DM	TUBGCP4	27229	STC1	6781	0.031	0.960	0.929
DM	AKAP11	11215	STC1	6781	0.031	0.960	0.929
DM	KIAA0999	23387	STC1	6781	0.031	0.960	0.929
DM	MYL9	10398	STOM	2040	0.031	0.960	0.929
DM	NDUFS3	4722	TARS	6897	0.031	0.960	0.929
DM	AIM1	202	TNPO1	3842	0.031	0.960	0.929
DM	FAAH	2166	TRA2A	29896	0.031	0.960	0.929
DM	MYST1	84148	TRIO	7204	0.031	0.960	0.929
DM	CAD	790	TRIO	7204	0.031	0.960	0.929
DM	CST3	1471	TRIO	7204	0.031	0.960	0.929
DM	NEFH	4744	UBFD1	56061	0.031	0.960	0.929
DM	CNN1	1264	UBQLN2	29978	0.031	0.960	0.929
DM	BTG2	7832	UBXN4	23190	0.031	0.960	0.929
DM	MYL9	10398	UGCG	7357	0.031	0.960	0.929
DM	DDAH2	23564	UGCG	7357	0.031	0.960	0.929
DM	PBXIP1	57326	WSB1	26118	0.031	0.960	0.929
DM	CSRP1	1465	ZFP36L1	677	0.031	0.960	0.929
DM	C10orf116	10974	ZNF160	90338	0.031	0.960	0.929
DM	ANK3	288	ZNF264	9422	0.031	0.960	0.929
Primary	LILRB3	11025	AGL	178	0.923	0.000	0.923
Primary	SLC7A5	8140	ALAS1	211	0.923	0.000	0.923
Primary	DUSP8	1850	ANXA3	306	0.923	0.000	0.923
Primary	UBE3A	7337	ANXA3	306	0.923	0.000	0.923
Primary	AKAP2	11217	ANXA4	307	0.923	0.000	0.923
Primary	SLC4A7	9497	ARHGAP8	23779	0.923	0.000	0.923
Primary	SPP1	6696	ARHGAP8	23779	0.923	0.000	0.923
Primary	TARS	6897	ATP5A1	498	0.923	0.000	0.923
Primary	AR	367	ATP5H	10476	0.923	0.000	0.923
Primary	EIF1AP1	280661	BANF1	8815	0.923	0.000	0.923
Primary	SMAD5	4090	BMPR1A	657	0.923	0.000	0.923
Primary	HSPA4	3308	BMPR1A	657	0.923	0.000	0.923
Primary	GOLGA2	2801	BTG2	7832	0.923	0.000	0.923
Primary	AR	367	BUD31	8896	0.923	0.000	0.923
Primary	UBFD1	56061	CCBL2	56267	0.923	0.000	0.923
Primary	PCBP2	5094	CIRBP	1153	0.923	0.000	0.923
Primary	CDIPT	10423	CIRBP	1153	0.923	0.000	0.923
Primary	LOC100132247	100132247	CLSTN1	22883	0.923	0.000	0.923
Primary	BPTF	2186	CLSTN3	9746	0.923	0.000	0.923
Primary	AR	367	COPE	11316	0.923	0.000	0.923
Primary	IGFBP4	3487	CSRP1	1465	0.923	0.000	0.923
Primary	TNPO3	23534	CST3	1471	0.923	0.000	0.923
Primary	MTF2	22823	DAG1	1605	0.923	0.000	0.923
Primary	LLGL2	3993	DDAH2	23564	0.923	0.000	0.923
Primary	AR	367	DDT	1652	0.923	0.000	0.923
Primary	SLC7A5	8140	DNAJC16	23341	0.923	0.000	0.923
Primary	EIF1AX	1964	DNAJC8	22826	0.923	0.000	0.923
Primary	AR	367	ECH1	1891	0.923	0.000	0.923
Primary	TRIO	7204	EGR1	1958	0.923	0.000	0.923
Primary	EIF1AP1	280661	EIF3C	8663	0.923	0.000	0.923
Primary	HPRT1	3251	EIF4A3	9775	0.923	0.000	0.923
Primary	AR	367	EIF4B	1975	0.923	0.000	0.923
Primary	RALA	5898	EIF5B	9669	0.923	0.000	0.923
Primary	AR	367	FBL	2091	0.923	0.000	0.923
Primary	RHOQ	23433	FBLN1	2192	0.923	0.000	0.923
Primary	HBA1	3039	FLNA	2316	0.923	0.000	0.923
Primary	AR	367	FOS	2353	0.923	0.000	0.923
Primary	RALA	5898	FRAP1	2475	0.923	0.000	0.923
Primary	VDAC2	7417	FUCA1	2517	0.923	0.000	0.923
Primary	AR	367	G3BP2	9908	0.923	0.000	0.923
Primary	GRB2	2885	GPR161	23432	0.923	0.000	0.923
Primary	SLC39A14	23516	GSTM1	2944	0.923	0.000	0.923
Primary	PKP3	11187	HMG20B	10362	0.923	0.000	0.923
Primary	AR	367	HNRNPC	3183	0.923	0.000	0.923
Primary	MTA1	9112	IGFBP2	3485	0.923	0.000	0.923
Primary	RALA	5898	ISL1	3670	0.923	0.000	0.923
Primary	EXOSC2	23404	ISL1	3670	0.923	0.000	0.923
Primary	CYP2A7	1549	ISL1	3670	0.923	0.000	0.923
Primary	LOX	4015	ISL1	3670	0.923	0.000	0.923
Primary	FYN	2534	ISL1	3670	0.923	0.000	0.923
Primary	SPAG9	9043	ISL1	3670	0.923	0.000	0.923
Primary	CBLB	868	ITPA	3704	0.923	0.000	0.923
Primary	PKN2	5586	KIF13B	23303	0.923	0.000	0.923
Primary	AR	367	KIF5C	3800	0.923	0.000	0.923
Primary	TNP1	7141	KLK11	11012	0.923	0.000	0.923
Primary	TERF1	7013	KLK11	11012	0.923	0.000	0.923
Primary	CA12	771	KLK11	11012	0.923	0.000	0.923
Primary	PPM1B	5495	KLK11	11012	0.923	0.000	0.923
Primary	ZNF160	90338	KLK11	11012	0.923	0.000	0.923
Primary	RALA	5898	KLK11	11012	0.923	0.000	0.923
Primary	TEP1	7011	KLK11	11012	0.923	0.000	0.923
Primary	INSR	3643	KLK11	11012	0.923	0.000	0.923
Primary	PTP4A1	7803	KLK11	11012	0.923	0.000	0.923
Primary	DUSP8	1850	KLK11	11012	0.923	0.000	0.923
Primary	C17orf75	64149	KLK11	11012	0.923	0.000	0.923
Primary	ZNF143	7702	KLK11	11012	0.923	0.000	0.923
Primary	GRAMD4	23151	KLK11	11012	0.923	0.000	0.923
Primary	PTCH1	5727	KLK11	11012	0.923	0.000	0.923
Primary	FAM91A1	157769	KRT5	3852	0.923	0.000	0.923
Primary	SLC16A6	9120	KRT5	3852	0.923	0.000	0.923
Primary	SRPK2	6733	KRT5	3852	0.923	0.000	0.923
Primary	SPP1	6696	LAPTM5	7805	0.923	0.000	0.923
Primary	HBA1	3039	LGALS1	3956	0.923	0.000	0.923
Primary	HBA1	3039	LGALS3BP	3959	0.923	0.000	0.923
Primary	LILRB3	11025	LRP1	4035	0.923	0.000	0.923
Primary	CPSF4	10898	LSM14A	26065	0.923	0.000	0.923
Primary	AR	367	MAGED1	9500	0.923	0.000	0.923
Primary	EIF1AP1	280661	MAGED2	10916	0.923	0.000	0.923
Primary	CUGBP1	10658	MAN2B1	4125	0.923	0.000	0.923
Primary	RFC4	5984	MAN2B2	23324	0.923	0.000	0.923
Primary	KIAA0754	643314	MATN2	4147	0.923	0.000	0.923
Primary	STC1	6781	MEIS2	4212	0.923	0.000	0.923
Primary	ATP2B1	490	MOXD1	26002	0.923	0.000	0.923
Primary	HBA1	3039	MT1F	4494	0.923	0.000	0.923
Primary	SLC7A5	8140	NAGLU	4669	0.923	0.000	0.923
Primary	LILRB3	11025	NAGLU	4669	0.923	0.000	0.923
Primary	SLC7A5	8140	NEFH	4744	0.923	0.000	0.923
Primary	AXIN1	8312	NEFH	4744	0.923	0.000	0.923
Primary	CHRND	1144	NEFH	4744	0.923	0.000	0.923
Primary	SERPINA4	5267	NEFH	4744	0.923	0.000	0.923
Primary	KIAA0430	9665	NEFH	4744	0.923	0.000	0.923
Primary	UBE3A	7337	NEFH	4744	0.923	0.000	0.923
Primary	TEP1	7011	NEFH	4744	0.923	0.000	0.923
Primary	TULP3	7289	NEFH	4744	0.923	0.000	0.923
Primary	YY1	7528	NEFH	4744	0.923	0.000	0.923
Primary	TERF1	7013	NEFH	4744	0.923	0.000	0.923
Primary	TMEM97	27346	NEFH	4744	0.923	0.000	0.923
Primary	KBTBD2	25948	NEFH	4744	0.923	0.000	0.923
Primary	NIPBL	25836	NEFH	4744	0.923	0.000	0.923
Primary	FGF3	2248	NEFH	4744	0.923	0.000	0.923
Primary	HOXC4	3221	NEFH	4744	0.923	0.000	0.923
Primary	PTPRU	10076	NEFH	4744	0.923	0.000	0.923
Primary	VEZF1	7716	NEFH	4744	0.923	0.000	0.923
Primary	ELN	2006	NEFH	4744	0.923	0.000	0.923
Primary	C14orf147	171546	NEFH	4744	0.923	0.000	0.923
Primary	MAST3	23031	NEFH	4744	0.923	0.000	0.923
Primary	EIF1AP1	280661	NONO	4841	0.923	0.000	0.923
Primary	AR	367	NPTN	27020	0.923	0.000	0.923
Primary	ZNF135	7694	PAGE4	9506	0.923	0.000	0.923
Primary	HBD	3045	PAGE4	9506	0.923	0.000	0.923
Primary	POLG	5428	PBXIP1	57326	0.923	0.000	0.923
Primary	CDK2	1017	PBXIP1	57326	0.923	0.000	0.923
Primary	MAP2K3	5606	PBXIP1	57326	0.923	0.000	0.923
Primary	FEZ2	9637	PCP4	5121	0.923	0.000	0.923
Primary	UBE3C	9690	PCP4	5121	0.923	0.000	0.923
Primary	CEP350	9857	PCP4	5121	0.923	0.000	0.923
Primary	TNPO1	3842	PCP4	5121	0.923	0.000	0.923
Primary	KLF10	7071	PCP4	5121	0.923	0.000	0.923
Primary	RRAGD	58528	PCP4	5121	0.923	0.000	0.923
Primary	RAB11FIP5	26056	PCP4	5121	0.923	0.000	0.923
Primary	COPS7A	50813	PCP4	5121	0.923	0.000	0.923
Primary	SERINC1	57515	PCP4	5121	0.923	0.000	0.923
Primary	CUGBP1	10658	PCP4	5121	0.923	0.000	0.923
Primary	MTF2	22823	PCP4	5121	0.923	0.000	0.923
Primary	EZH1	2145	PCP4	5121	0.923	0.000	0.923
Primary	PACS2	23241	PCP4	5121	0.923	0.000	0.923
Primary	CAMSAP1L1	23271	PCP4	5121	0.923	0.000	0.923
Primary	PURA	5813	PCP4	5121	0.923	0.000	0.923
Primary	NGFR	4804	PCP4	5121	0.923	0.000	0.923
Primary	COX11	1353	PCP4	5121	0.923	0.000	0.923
Primary	HBA1	3039	PFN1	5216	0.923	0.000	0.923
Primary	HSPA1A	3303	PFN1	5216	0.923	0.000	0.923
Primary	FYN	2534	PPWD1	23398	0.923	0.000	0.923
Primary	RALA	5898	PRKCZ	5590	0.923	0.000	0.923
Primary	DIAPH1	1729	PRSS8	5652	0.923	0.000	0.923
Primary	WWC1	23286	PRSS8	5652	0.923	0.000	0.923
Primary	GRB2	2885	PSMB10	5699	0.923	0.000	0.923
Primary	POU2F1	5451	PTPRN2	5799	0.923	0.000	0.923
Primary	TRIM3	10612	PTPRN2	5799	0.923	0.000	0.923
Primary	MSH6	2956	PTPRN2	5799	0.923	0.000	0.923
Primary	G3BP1	10146	RER1	11079	0.923	0.000	0.923
Primary	HSP90AA1	3320	RPL4	6124	0.923	0.000	0.923
Primary	RRAGD	58528	SENP3	26168	0.923	0.000	0.923
Primary	TRIO	7204	SENP3	26168	0.923	0.000	0.923
Primary	EIF1AX	1964	SEPT7	989	0.923	0.000	0.923
Primary	DIAPH1	1729	SGSH	6448	0.923	0.000	0.923
Primary	PKN2	5586	SLC23A2	9962	0.923	0.000	0.923
Primary	FSCN1	6624	SMARCA1	6594	0.923	0.000	0.923
Primary	SFRS17A	8227	SPAG7	9552	0.923	0.000	0.923
Primary	GRB2	2885	SPG7	6687	0.923	0.000	0.923
Primary	MTF2	22823	STAT6	6778	0.923	0.000	0.923
Primary	AR	367	STEAP1	26872	0.923	0.000	0.923
Primary	RNASE1	6035	TCF21	6943	0.923	0.000	0.923
Primary	EPS8	2059	TCF21	6943	0.923	0.000	0.923
Primary	PRKAB2	5565	TCF21	6943	0.923	0.000	0.923
Primary	IL6R	3570	TCF21	6943	0.923	0.000	0.923
Primary	ATG12	9140	TCF21	6943	0.923	0.000	0.923
Primary	SLC7A5	8140	TIPARP	25976	0.923	0.000	0.923
Primary	AR	367	TM7SF2	7108	0.923	0.000	0.923
Primary	RRAGD	58528	TMSB15A	11013	0.923	0.000	0.923
Primary	SGTA	6449	UBR4	23352	0.923	0.000	0.923
Primary	RALA	5898	UPK3A	7380	0.923	0.000	0.923
Primary	SLC7A5	8140	UTP14C	9724	0.923	0.000	0.923
Primary	LYN	4067	WTAP	9589	0.923	0.000	0.923
DM	ADD1	118	EIF1AX	1964	0.000	0.920	0.920
DM	MAOB	4129	G0S2	50486	0.000	0.920	0.920
DM	DDAH2	23564	PFKL	5211	0.000	0.920	0.920
DM	MAOB	4129	STC1	6781	0.000	0.920	0.920
DM	MYH11	4629	TSPAN8	7103	0.000	0.920	0.920
DM	FLNA	2316	UGCG	7357	0.000	0.920	0.920
DM	DDAH2	23564	UPF1	5976	0.000	0.920	0.920
DM	IDH3G	3421	VDAC1	7416	0.000	0.920	0.920
DM	CNN1	1264	AASDHPPT	60496	0.046	0.960	0.914
DM	ACTG2	72	ABHD2	11057	0.046	0.960	0.914
DM	C10orf116	10974	ABLIM3	22885	0.046	0.960	0.914
DM	MYH11	4629	ACLY	47	0.046	0.960	0.914
DM	ACTG2	72	ACP2	53	0.046	0.960	0.914
DM	MYL9	10398	ACSL1	2180	0.046	0.960	0.914
DM	ACTG2	72	ACTN1	87	0.046	0.960	0.914
DM	ACTG2	72	ACTR1A	10121	0.046	0.960	0.914
DM	ACTG2	72	ADCY3	109	0.046	0.960	0.914
DM	ACTG2	72	ADD3	120	0.046	0.960	0.914
DM	CNN1	1264	ADFP	123	0.046	0.960	0.914
DM	ACTG2	72	ADM	133	0.046	0.960	0.914
DM	ACTG2	72	ADRB2	154	0.046	0.960	0.914
DM	ACTG2	72	AEBP1	165	0.046	0.960	0.914
DM	PCP4	5121	AFAP1	60312	0.046	0.960	0.914
DM	CNN1	1264	AFAP1	60312	0.046	0.960	0.914
DM	ACTG2	72	AFF1	4299	0.046	0.960	0.914
DM	ACTG2	72	AHDC1	27245	0.046	0.960	0.914
DM	MYH11	4629	AHSA1	10598	0.046	0.960	0.914
DM	ZMYND11	10771	AKAP2	11217	0.046	0.960	0.914
DM	ACTG2	72	AKR7A2	8574	0.046	0.960	0.914
DM	ACTG2	72	ALAS2	212	0.046	0.960	0.914
DM	ACTG2	72	ALDH5A1	7915	0.046	0.960	0.914
DM	ACTG2	72	AMFR	267	0.046	0.960	0.914
DM	CNN1	1264	AMFR	267	0.046	0.960	0.914
DM	ACTG2	72	ANXA11	311	0.046	0.960	0.914
DM	ACTG2	72	ANXA7	310	0.046	0.960	0.914
DM	ACTG2	72	AP1G1	164	0.046	0.960	0.914
DM	CNN1	1264	AP1G1	164	0.046	0.960	0.914
DM	ACTG2	72	AP1G2	8906	0.046	0.960	0.914
DM	ACTG2	72	AP3S1	1176	0.046	0.960	0.914
DM	ACTG2	72	AP3S2	10239	0.046	0.960	0.914
DM	ACTG2	72	APOC1	341	0.046	0.960	0.914
DM	ACTG2	72	AQP1	358	0.046	0.960	0.914
DM	ACTG2	72	ARCN1	372	0.046	0.960	0.914
DM	ACTG2	72	ARHGEF1	9138	0.046	0.960	0.914
DM	ACTG2	72	ARL4A	10124	0.046	0.960	0.914
DM	ACTG2	72	ARPC1B	10095	0.046	0.960	0.914
DM	ACTG2	72	ARPC4	10093	0.046	0.960	0.914
DM	ACTG2	72	ASMTL	8623	0.046	0.960	0.914
DM	ACTG2	72	ASXL1	171023	0.046	0.960	0.914
DM	CNN1	1264	ATIC	471	0.046	0.960	0.914
DM	ACTG2	72	ATP2A2	488	0.046	0.960	0.914
DM	ACTG2	72	ATP5J	522	0.046	0.960	0.914
DM	ACTG2	72	ATP6V0A1	535	0.046	0.960	0.914
DM	ACTG2	72	ATP6V0D1	9114	0.046	0.960	0.914
DM	ACTG2	72	ATP8B3	148229	0.046	0.960	0.914
DM	ILK	3611	ATXN2	6311	0.046	0.960	0.914
DM	IQGAP2	10788	AURKA	6790	0.046	0.960	0.914
DM	ACTG2	72	AUTS2	26053	0.046	0.960	0.914
DM	ACTG2	72	B4GALT1	2683	0.046	0.960	0.914
DM	ACTG2	72	B4GALT2	8704	0.046	0.960	0.914
DM	CNN1	1264	BAZ2B	29994	0.046	0.960	0.914
DM	ACTG2	72	BBX	56987	0.046	0.960	0.914
DM	ACTG2	72	BCL2L2	599	0.046	0.960	0.914
DM	PCP4	5121	BICD2	23299	0.046	0.960	0.914
DM	CNN1	1264	BMS1	9790	0.046	0.960	0.914
DM	ACTG2	72	BNIP3	664	0.046	0.960	0.914
DM	CAPN2	824	BPTF	2186	0.046	0.960	0.914
DM	CNN1	1264	C10orf10	11067	0.046	0.960	0.914
DM	ACTG2	72	C10orf10	11067	0.046	0.960	0.914
DM	ACTG2	72	C10orf26	54838	0.046	0.960	0.914
DM	ACTG2	72	C14orf147	171546	0.046	0.960	0.914
DM	ACTG2	72	C14orf2	9556	0.046	0.960	0.914
DM	ACTG2	72	C14orf79	122616	0.046	0.960	0.914
DM	ACTG2	72	C16orf7	9605	0.046	0.960	0.914
DM	ACTG2	72	C5orf15	56951	0.046	0.960	0.914
DM	ACTG2	72	C7orf44	55744	0.046	0.960	0.914
DM	NEFH	4744	C9	735	0.046	0.960	0.914
DM	ACTG2	72	CAD	790	0.046	0.960	0.914
DM	ACTG2	72	CAMK1	8536	0.046	0.960	0.914
DM	ACTG2	72	CBFB	865	0.046	0.960	0.914
DM	DNAJC16	23341	CBLB	868	0.046	0.960	0.914
DM	CNN1	1264	CBLB	868	0.046	0.960	0.914
DM	MYL9	10398	CBX6	23466	0.046	0.960	0.914
DM	ACTG2	72	CCND3	896	0.046	0.960	0.914
DM	ACTG2	72	CD68	968	0.046	0.960	0.914
DM	PCP4	5121	CD8A	925	0.046	0.960	0.914
DM	ACTG2	72	CD97	976	0.046	0.960	0.914
DM	ACTG2	72	CDK10	8558	0.046	0.960	0.914
DM	MYL9	10398	CDK2AP1	8099	0.046	0.960	0.914
DM	MYH11	4629	CDK2AP1	8099	0.046	0.960	0.914
DM	PCP4	5121	CDK9	1025	0.046	0.960	0.914
DM	CNN1	1264	CDK9	1025	0.046	0.960	0.914
DM	ACTG2	72	CDK9	1025	0.046	0.960	0.914
DM	ACTG2	72	CDKN1A	1026	0.046	0.960	0.914
DM	ACTG2	72	CDV3	55573	0.046	0.960	0.914
DM	AIM1	202	CELSR3	1951	0.046	0.960	0.914
DM	AIM1	202	CEP350	9857	0.046	0.960	0.914
DM	ACTG2	72	CHD8	57680	0.046	0.960	0.914
DM	AIM1	202	CHD8	57680	0.046	0.960	0.914
DM	DES	1674	CHD9	80205	0.046	0.960	0.914
DM	ACTG2	72	CHRNB4	1143	0.046	0.960	0.914
DM	CNN1	1264	CIAO1	9391	0.046	0.960	0.914
DM	ACTG2	72	CITED2	10370	0.046	0.960	0.914
DM	ACTG2	72	CKS2	1164	0.046	0.960	0.914
DM	ACTG2	72	CLASP2	23122	0.046	0.960	0.914
DM	ACTG2	72	CLDN5	7122	0.046	0.960	0.914
DM	ACTG2	72	CNN3	1266	0.046	0.960	0.914
DM	CNN1	1264	CNOT1	23019	0.046	0.960	0.914
DM	ACTG2	72	CNOT4	4850	0.046	0.960	0.914
DM	CNN1	1264	CNP	1267	0.046	0.960	0.914
DM	ACTG2	72	COASY	80347	0.046	0.960	0.914
DM	ACTG2	72	COL1A2	1278	0.046	0.960	0.914
DM	ACTG2	72	COL5A2	1290	0.046	0.960	0.914
DM	ACTG2	72	COL6A1	1291	0.046	0.960	0.914
DM	ACTG2	72	COL6A2	1292	0.046	0.960	0.914
DM	ACTG2	72	COL6A3	1293	0.046	0.960	0.914
DM	ACTG2	72	COPS7A	50813	0.046	0.960	0.914
DM	ACTG2	72	COX7A1	1346	0.046	0.960	0.914
DM	ACTG2	72	CPSF4	10898	0.046	0.960	0.914
DM	ACTG2	72	CPZ	8532	0.046	0.960	0.914
DM	ACTG2	72	CREB3	10488	0.046	0.960	0.914
DM	MYH11	4629	CREB3L2	64764	0.046	0.960	0.914
DM	ACTG2	72	CSDA	8531	0.046	0.960	0.914
DM	CNN1	1264	CSE1L	1434	0.046	0.960	0.914
DM	ACTG2	72	CSE1L	1434	0.046	0.960	0.914
DM	CNN1	1264	CSNK1G2	1455	0.046	0.960	0.914
DM	ACTG2	72	CSNK1G2	1455	0.046	0.960	0.914
DM	ACTG2	72	CTCF	10664	0.046	0.960	0.914
DM	AIM1	202	CTDSPL	10217	0.046	0.960	0.914
DM	LARP5	23185	CUGBP1	10658	0.046	0.960	0.914
DM	ACTG2	72	CUGBP1	10658	0.046	0.960	0.914
DM	ACTG2	72	CUL1	8454	0.046	0.960	0.914
DM	ACTG2	72	CYFIP2	26999	0.046	0.960	0.914
DM	ACTG2	72	CYP11A1	1583	0.046	0.960	0.914
DM	ACTG2	72	CYTH1	9267	0.046	0.960	0.914
DM	ACTG2	72	CYTSA	23384	0.046	0.960	0.914
DM	ACTG2	72	DAB2	1601	0.046	0.960	0.914
DM	ACTG2	72	DARC	2532	0.046	0.960	0.914
DM	ACTG2	72	DCTD	1635	0.046	0.960	0.914
DM	ACTG2	72	DCTN3	11258	0.046	0.960	0.914
DM	MYH11	4629	DDX17	10521	0.046	0.960	0.914
DM	ACTG2	72	DDX19A	55308	0.046	0.960	0.914
DM	ACTG2	72	DDX21	9188	0.046	0.960	0.914
DM	CNN1	1264	DDX21	9188	0.046	0.960	0.914
DM	ACTG2	72	DDX39	10212	0.046	0.960	0.914
DM	ACTG2	72	DEXI	28955	0.046	0.960	0.914
DM	ACTG2	72	DGKZ	8525	0.046	0.960	0.914
DM	CSRP1	1465	DHCR7	1717	0.046	0.960	0.914
DM	MYH11	4629	DHCR7	1717	0.046	0.960	0.914
DM	ACTG2	72	DHX38	9785	0.046	0.960	0.914
DM	ACTG2	72	DICER1	23405	0.046	0.960	0.914
DM	NEFH	4744	DLC1	10395	0.046	0.960	0.914
DM	ILK	3611	DNAJB2	3300	0.046	0.960	0.914
DM	MYL9	10398	DNAJB6	10049	0.046	0.960	0.914
DM	DES	1674	DNAJC9	23234	0.046	0.960	0.914
DM	CNN1	1264	DPM1	8813	0.046	0.960	0.914
DM	FHL1	2273	DPYSL2	1808	0.046	0.960	0.914
DM	CNN1	1264	DPYSL3	1809	0.046	0.960	0.914
DM	CNN1	1264	DTX2	113878	0.046	0.960	0.914
DM	DES	1674	DUSP6	1848	0.046	0.960	0.914
DM	DES	1674	DVL3	1857	0.046	0.960	0.914
DM	ACTG2	72	DYNC1LI2	1783	0.046	0.960	0.914
DM	ACTG2	72	E2F4	1874	0.046	0.960	0.914
DM	ACTG2	72	EDA	1896	0.046	0.960	0.914
DM	ACTG2	72	EDEM1	9695	0.046	0.960	0.914
DM	ACTG2	72	EGR1	1958	0.046	0.960	0.914
DM	PFN1	5216	EI24	9538	0.046	0.960	0.914
DM	MYH11	4629	EI24	9538	0.046	0.960	0.914
DM	ACTG2	72	EID1	23741	0.046	0.960	0.914
DM	TUBB2C	10383	EIF1AP1	280661	0.046	0.960	0.914
DM	TPM2	7169	EIF1AX	1964	0.046	0.960	0.914
DM	ACTG2	72	EIF2B4	8890	0.046	0.960	0.914
DM	ACTG2	72	EIF4EBP2	1979	0.046	0.960	0.914
DM	CSRP1	1465	EIF4H	7458	0.046	0.960	0.914
DM	ACTG2	72	ELF2	1998	0.046	0.960	0.914
DM	ACTG2	72	ENG	2022	0.046	0.960	0.914
DM	PCP4	5121	ENO2	2026	0.046	0.960	0.914
DM	DES	1674	EPB41L3	23136	0.046	0.960	0.914
DM	ACTG2	72	EPB41L3	23136	0.046	0.960	0.914
DM	ACTG2	72	EPM2AIP1	9852	0.046	0.960	0.914
DM	CNN1	1264	EPM2AIP1	9852	0.046	0.960	0.914
DM	ACTG2	72	ETF1	2107	0.046	0.960	0.914
DM	ACTG2	72	EVPL	2125	0.046	0.960	0.914
DM	ACTG2	72	FAM102A	399665	0.046	0.960	0.914
DM	ACTG2	72	FARSA	2193	0.046	0.960	0.914
DM	MYH11	4629	FBL	2091	0.046	0.960	0.914
DM	ACTG2	72	FBXL11	22992	0.046	0.960	0.914
DM	ACTG2	72	FBXL7	23194	0.046	0.960	0.914
DM	ACTG2	72	FCGRT	2217	0.046	0.960	0.914
DM	ACTG2	72	FDFT1	2222	0.046	0.960	0.914
DM	ACTG2	72	FDPS	2224	0.046	0.960	0.914
DM	ACTG2	72	FGFR1	2260	0.046	0.960	0.914
DM	ACTG2	72	FLOT2	2319	0.046	0.960	0.914
DM	ACTG2	72	FOLR1	2348	0.046	0.960	0.914
DM	CNN1	1264	FOLR1	2348	0.046	0.960	0.914
DM	ACTG2	72	FOSL2	2355	0.046	0.960	0.914
DM	ACTG2	72	FOXO1	2308	0.046	0.960	0.914
DM	ACTG2	72	FSCN1	6624	0.046	0.960	0.914
DM	IGFBP2	3485	FSCN1	6624	0.046	0.960	0.914
DM	ACTG2	72	FTSJD2	23070	0.046	0.960	0.914
DM	AIM1	202	G3BP1	10146	0.046	0.960	0.914
DM	IGFBP2	3485	G3BP1	10146	0.046	0.960	0.914
DM	DNAJC8	22826	G3BP1	10146	0.046	0.960	0.914
DM	ACTG2	72	GAGE1	2543	0.046	0.960	0.914
DM	ACTG2	72	GAS1	2619	0.046	0.960	0.914
DM	ACTG2	72	GBE1	2632	0.046	0.960	0.914
DM	ACTG2	72	GCN1L1	10985	0.046	0.960	0.914
DM	ACTG2	72	GGPS1	9453	0.046	0.960	0.914
DM	PCP4	5121	GMFB	2764	0.046	0.960	0.914
DM	MYH11	4629	GNB2	2783	0.046	0.960	0.914
DM	ACTG2	72	GNG12	55970	0.046	0.960	0.914
DM	ACTG2	72	GPD1L	23171	0.046	0.960	0.914
DM	ACTG2	72	GPNMB	10457	0.046	0.960	0.914
DM	ACTG2	72	GPR107	57720	0.046	0.960	0.914
DM	ACTG2	72	GPS2	2874	0.046	0.960	0.914
DM	PDLIM4	8572	GRAMD4	23151	0.046	0.960	0.914
DM	BCAS1	8537	GRAMD4	23151	0.046	0.960	0.914
DM	CDH3	1001	GRAMD4	23151	0.046	0.960	0.914
DM	ACTG2	72	GRB7	2886	0.046	0.960	0.914
DM	AIM1	202	GRSF1	2926	0.046	0.960	0.914
DM	ACTG2	72	GSN	2934	0.046	0.960	0.914
DM	ACTG2	72	GSTM2	2946	0.046	0.960	0.914
DM	ACTG2	72	GSTT1	2952	0.046	0.960	0.914
DM	ACTG2	72	GTF2A2	2958	0.046	0.960	0.914
DM	ACTG2	72	GTF3A	2971	0.046	0.960	0.914
DM	ACTG2	72	GYPC	2995	0.046	0.960	0.914
DM	MYH11	4629	H2AFV	94239	0.046	0.960	0.914
DM	MYH11	4629	H2AFY	9555	0.046	0.960	0.914
DM	ACTG2	72	HAAO	23498	0.046	0.960	0.914
DM	EDNRA	1909	HBD	3045	0.046	0.960	0.914
DM	ALDH3A2	224	HBE1	3046	0.046	0.960	0.914
DM	NAGLU	4669	HBE1	3046	0.046	0.960	0.914
DM	ACTG2	72	HBP1	26959	0.046	0.960	0.914
DM	ACTG2	72	HBXIP	10542	0.046	0.960	0.914
