Parametric p-value	Fold difference of geometric means (T vs N)	Description	UG cluster	Gene symbol	Map
0.0006213	0.621	carboxypeptidase D	Hs.5057	CPD	17p11.1-q11.2
0.0003047	0.627	hypothetical protein BC014311	Hs.356358	LOC115548	5q13.1
0.0003236	0.63	bromodomain containing 8	Hs.5464	BRD8	5q31
0.0004333	0.63	adenylate cyclase 7	Hs.172199	ADCY7	16q12-q13
0.0007737	0.631	hypothetical protein DKFZp564D172	Hs.25307	DKFZP564D172	5q14.3
0.0007329	0.632	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene	Hs.330780	CYP2B7	19q13.2
0.000649	0.635	Alstrom syndrome 1	Hs.97393	ALMS1	2p13
0.0004968	0.644	kallikrein 2, prostatic	Hs.181350	KLK2	19q13.41
0.0008581	0.644	retinal outer segment membrane protein 1	Hs.281564	ROM1	11q13
0.0001389	0.645	Incyte EST	NA	NA	NA
0.0002475	0.661	nuclear receptor subfamily 1, group D, member 1	Hs.276916	NR1D1	17q11.2
0.0001351	0.669	glycosyltransferase AD-017	Hs.283737	AD-017	3p21.31
0.000917	0.674	hypothetical protein LOC125150	Hs.379903	LOC125150	17p11.2
0.000463	0.678	platelet-activating factor acetylhydrolase 2, 40kDa	Hs.234392	PAFAH2	1p34.3
0.0006778	0.679	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	NA	NA	NA
0.0003677	0.685	SH3-domain binding protein 1	Hs.97858	SH3BP1	22q13.1
0.0008181	0.692	splicing factor, arginine/serine-rich 4	Hs.76122	SFRS4	1p35.2
0.0003138	0.748	zinc finger protein 161 homolog (mouse)	Hs.156000	ZFP161	18pter-p11.2
8.50E-06	0.783	WD40 and FYVE domain containing 2	Hs.16400	WDFY2	13q14.12
0.0005751	1.267	processing of precursors 1	Hs.170114	POP1	8q22.1
0.0006412	1.281	cyclin I	Hs.79933	CCNI	4q21.21
0.0005564	1.353	splicing factor, arginine/serine-rich 3	Hs.388623	SFRS3	6p21
0.0003034	1.376	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	Hs.553	SLC6A4	17q11.1-q12
0.0007332	1.427	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	Hs.159509	SERPINF2	17p13
0.0007919	1.469	general transcription factor IIIC, polypeptide 4, 90kDa	Hs.22302	GTF3C4	9q34.3
5.10E-05	1.47	hypothetical protein LOC220988	Hs.249247	LOC220988	2q31.2
0.000339	1.491	activator of basal transcription 1	Hs.109428	ABT1	6p21.33
0.000764	1.523	tumor necrosis factor receptor superfamily member 9,	Hs.73895	TNFRSF9	1p36
0.00057	1.525	integrin, alpha 7	Hs.74369	ITGA7	12q13
0.0001638	1.531	integrin, beta 4	Hs.85266	ITGB4	17q11-qter
5.85E-05	1.6	RAB21, member RAS oncogene family	Hs.184627	RAB21	12q15
0.0009009	1.613	tripartite motif-containing 16	Hs.241305	TRIM16	17p11.2
0.0006462	1.713	interleukin enhancer binding factor 2, 45kDa	Hs.75117	ILF2	1q21.3
0.0007185	1.718	zinc finger protein 230	Hs.193583	ZNF230	19q13.31
6.35E-05	1.734	T cell receptor delta locus	Hs.2014	NA	14q11.2
6.68E-05	1.774	syntaxin 6	Hs.157144	STX6	1q24.3
0.0002511	1.783	stathmin 1/oncoprotein 18	Hs.406269	STMN1	1p36.1-p35
0.0008798	1.797	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	Hs.38018	DYRK3	1q32
0.0002726	1.811	lymphocyte antigen 64 homolog, radioprotective 105kDa (mouse)	Hs.87205	LY64	5q12
3.60E-05	1.814	exostoses (multiple) 1	Hs.184161	EXT1	8q24.11-q24.13
0.0003265	1.835	E2F transcription factor 3	Hs.1189	E2F3	6p22
0.0001035	1.848	thymopoietin	Hs.406660	TMPO	12q22
0.0002883	1.86	activator of S phase kinase	Hs.152759	ASK	7q21.3
0.0005633	1.866	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	Hs.30035	SFRS10	3q26.2-q27
0.0004944	1.886	membrane-spanning 4-domains, subfamily A, member 6A	Hs.17914	MS4A6A	11q12.1
7.90E-06	1.889	syntaxin 6	Hs.157144	STX6	1q24.3
3.13E-05	1.893	TED protein	Hs.87619	TED	Xq13.1
0.0002484	1.9	troponin T2, cardiac	Hs.296865	TNNT2	1q32
0.0008317	1.954	prefoldin 4	Hs.91161	PFDN4	20q13
3.06E-05	1.965	v-ral simian leukemia viral oncogene homolog A (ras related)	Hs.6906	RALA	7p22-p15
0.0003666	1.97	degenerative spermatocyte homolog, lipid desaturase (Drosophila)	Hs.185973	DEGS	1q42.12
0.0003457	2.049	CHK1 checkpoint homolog (S. pombe)	Hs.20295	CHEK1	11q24-q24
0.000237	2.053	ERO1-like beta (S. cerevisiae)	Hs.150763	ERO1LB	1q42.2-q43
0.0002466	2.089	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	Hs.90280	ATIC	2q35
0.0004902	2.09	likely ortholog of mouse gene rich cluster, C8 gene	Hs.30114	GRCC8	12p13
2.28E-05	2.103	transmembrane 7 superfamily member 1 (upregulated in kidney)	Hs.15791	TM7SF1	1q42-q43
0.0005856	2.109	uridine monophosphate kinase	Hs.95734	UMPK	1q23
0.0001729	2.147	cyclin B1	Hs.23960	CCNB1	5q12
8.49E-05	2.149	centromere protein F, 350/400ka (mitosin)	Hs.77204	CENPF	1q32-q41
0.0002885	2.156	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	Hs.1501	SDC2	8q22-q23
0.0005978	2.242	H2A histone family, member Z	Hs.119192	H2AFZ	4q24
1.67E-05	2.274	discs, large homolog 7 (Drosophila)	Hs.77695	DLG7	14q22.1
0.0004758	2.276	zinc finger protein 281	Hs.59757	ZNF281	1q32.1
0.0004636	2.317	matrix metalloproteinase 11 (stromelysin 3)	Hs.155324	MMP11	22q11.23
0.0002697	2.488	fibromodulin	Hs.230	FMOD	1q32
0.0001527	2.499	frizzled homolog 7 (Drosophila)	Hs.173859	FZD7	2q33
0.000332	2.521	diacylglycerol O-acyltransferase homolog 2 (mouse)	Hs.334305	DGAT2	11q13.3
0.0007263	2.553	degenerative spermatocyte homolog, lipid desaturase (Drosophila)	Hs.185973	DEGS	1q42.12
4.10E-06	2.681	kinesin family member 14	Hs.3104	KIF14	1pter-q31.3
1.44E-05	2.74	exonuclease 1	Hs.47504	EXO1	1q42-q43
0.0008026	2.741	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	Hs.117950	PAICS	4pter-q21
0.0003098	2.754	topoisomerase (DNA) II alpha 170kDa	Hs.156346	TOP2A	17q21-q22
2.69E-05	2.931	claudin 1	Hs.7327	CLDN1	3q28-q29
0.0008088	2.951	Spi-B transcription factor (Spi-1/PU.1 related)	Hs.192861	SPIB	19q13.3-q13.4
0.000643	2.968	steroidogenic acute regulatory protein	Hs.3132	STAR	8p11.2
0.0002634	3.072	phorbol-12-myristate-13-acetate-induced protein 1	Hs.96	PMAIP1	18q21.31
0.0003994	3.103	claudin 1	Hs.7327	CLDN1	3q28-q29
5.47E-05	3.104	cyclin D2	Hs.75586	CCND2	12p13
0.0008514	3.147	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	Hs.79197	CD83	6p23
0.0005441	3.753	MAD2 mitotic arrest deficient-like 1 (yeast)	Hs.79078	MAD2L1	4q27
