Acc. No.	Gene	Title	D1B/MPC	P value (D1B vs MPC)	D2B/MPC	P value (D2B vs MPC)	D7B/MPC	P value (D7B vs MPC)
W93500	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	1.2	0.73	1.59	0.19	3.37	0.04
H27912	KDELR1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	1.41	0.49	1.74	0.45	2.89	0.01
AA485911	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	0.46	0.06	0.34	0.07	0.3	0.01
AA626867	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	0.67	0.05	0.47	0	0.33	0.09
N28860	KHSRP	KH-type splicing regulatory protein (FUSE-binding protein 2)	0.59	0.28	0.36	0.05	0.47	0.16
H65734	KLF1	Kruppel-like factor 1 (erythroid)	1.91	0.17	1.96	0.04	2.58	0.05
AA676460	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	0.23	0.1	0.19	0.07	0.16	0.04
AA668178	KPNA3	karyopherin alpha 3 (importin alpha 4)	0.56	0.13	0.34	0.03	0.42	0.07
AA495898	KPNB1	karyopherin (importin) beta 1	0.55	0.19	0.45	0.03	0.48	0.09
AA479882	KRT10	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)	1.95	0	1.74	0.56	2.47	0.01
T97710	LAD1	ladinin 1	1.21	0.8	1.79	0.23	2.21	0.01
AA873060	LAP18	leukemia-associated phosphoprotein p18 (stathmin)	0.39	0.01	0.38	0.06	0.64	0.27
R06458	LCAT	lecithin-cholesterol acyltransferase	2.58	0.24	2.15	0.24	2.79	0.02
AA400973	LCN2	lipocalin 2 (oncogene 24p3)	1.77	0.04	2.53	0.12	3.31	0.01
H73914	LDB2	LIM binding domain 2	2.77	0.04	1.71	0	1.31	0.61
H05914	LDHA	lactate dehydrogenase A	0.63	0.26	0.27	0.03	0.42	0.17
H05914	LDHA	lactate dehydrogenase A	0.7	0.33	0.29	0.01	0.34	0.11
H51404	LIMK1	LIM domain kinase 1	1.83	0.21	2.24	0.17	4.68	0.01
AA676458	LOXL2	lysyl oxidase-like 2	0.56	0.17	0.31	0.03	0.2	0
AA504656	LTBP1	latent transforming growth factor beta binding protein 1	0.72	0.25	0.64	0.09	0.46	0.02
AA481076	MAD2L1	MAD2 (mitotic arrest deficient, yeast, homolog)-like 1	0.38	0.05	0.39	0.04	0.68	0.33
AA447515	MAD4	Mad4 homolog	1.38	0.52	1.72	0.49	3.08	0
H69561	MAN2A1	mannosidase, alpha, class 2A, member 1	1.36	0.24	1.44	0	2.12	0
AA454175	MAN2A2	mannosidase, alpha, class 2A, member 2	1.62	0.27	1.94	0.16	3.25	0.03
H45455	MAN2C1	mannosidase, alpha, class 2C, member 1	1.45	0.33	2.24	0.17	2.56	0.03
W69649	MAP2K5	mitogen-activated protein kinase kinase 5	1.76	0.37	2.5	0.13	3.34	0.02
H39192	MAPK7	mitogen-activated protein kinase 7	1.44	0.06	1.6	0.23	2.89	0.02
AA455056	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	1.76	0.05	1.99	0.13	3.14	0.03
AA019549	MAPRE3	microtubule-associated protein, RP/EB family, member 3	1.26	0.91	1.82	0.53	2.46	0.05
AA485867	MARCO	macrophage receptor with collagenous structure	1.7	0.28	3.88	0.22	2.96	0.03
AA176581	MB	myoglobin	1.21	0.67	1.56	0.41	2.08	0
R15814	MDH1	malate dehydrogenase 1, NAD (soluble)	0.7	0.02	0.62	0.18	0.46	0.04
AA449667	MFGE8	milk fat globule-EGF factor 8 protein	1.91	0.15	3.39	0.09	6.54	0.02
H22922	MFNG	manic fringe (Drosophila) homolog	1.39	0.08	2.36	0.12	3.54	0.05
H22922	MFNG	manic fringe (Drosophila) homolog	1.39	0.08	2.36	0.12	3.54	0.05
AA702422	MJD	Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3)	2.7	0.25	2.23	0.47	3.31	0.05
R42600	MMP17	matrix metalloproteinase 17 (membrane-inserted)	2.83	0.24	4.76	0.18	6.84	0.05
AA669222	MMP19	matrix metalloproteinase 19	1.43	0.43	1.67	0.08	2.48	0.04
AA936799	MMP2	matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)	2.02	0.17	2.12	0.03	5.49	0.06
AA481759	MNAT1	menage a trois 1 (CAK assembly factor)	0.73	0.17	0.51	0.05	0.46	0
AA789301	MRF-1	modulator recognition factor I	2.04	0.21	2.94	0.25	5.1	0.03
H73234	MSE55	serum constituent protein	1.4	0.68	2.04	0.3	3.57	0
AA872383	MT1E	metallothionein 1E (functional)	0.98	0.76	0.42	0.04	0.32	0.11
N50834	MVD	mevalonate (diphospho) decarboxylase	1.92	0.26	2	0	3.1	0.09
AA457042	MX1	myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78)	1.37	0.05	1.41	0.13	2.21	0.04
AA461347	MYBPH	myosin-binding protein H	1.68	0.02	1.98	0.07	2.74	0.01
AA464600	MYC	v-myc avian myelocytomatosis viral oncogene homolog	0.27	0.01	0.2	0.01	0.27	0.03
AA487215	MYLK	myosin, light polypeptide kinase	0.53	0.01	0.46	0	0.47	0.02
AA482070	NBR	putative neuroblastoma protein	1.39	0.27	1.61	0.07	2.21	0
AA400234	NCOR2	nuclear receptor co-repressor 2	2.92	0.02	2.16	0.01	4.92	0
AA609982	NCYM	DNA-binding transcriptional activator	1.85	0.28	4.11	0.04	1.32	0.27
AA055102	NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4 (18kD) (NADH-coenzyme Q reductase)	0.74	0.29	0.49	0.07	0.45	0.05
AA479199	NID2	nidogen 2	1.06	0.91	0.62	0.1	0.36	0.02
T55560	NIFU	nitrogen fixation cluster-like	2.38	0.02	2.03	0.04	2.07	0.03
AA644092	NME1	non-metastatic cells 1, protein (NM23A) expressed in	0.67	0.2	0.33	0.01	0.37	0.07
AA476587	NMT1	N-myristoyltransferase 1	1.25	0.67	1.61	0.06	2.21	0.04
T72089	NNMT	nicotinamide N-methyltransferase	1.9	0.02	3.04	0.01	4.33	0.07
AA894577	NOP56	nucleolar protein (KKE/D repeat)	0.25	0.11	0.16	0.05	0.17	0.07
W35411	NOVA2	neuro-oncological ventral antigen 2	1.59	0.37	1.69	0.13	2.01	0.01
AA430382	NP	nucleoside phosphorylase	0.32	0.12	0.19	0.05	0.16	0.05
AA460688	NPFF	neuropeptide FF-amide peptide precursor	1.82	0.06	2.47	0.18	4.01	0.05
AA669758	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	0.36	0.1	0.23	0.02	0.46	0.21
AA629265	NR1H2	nuclear receptor subfamily 1, group H, member 2	1.97	0.36	2.43	0.21	3.65	0.01
AA447079	NR3C2	nuclear receptor subfamily 3, group C, member 2	1.8	0.76	2.22	0.02	0.96	0.57
H49511	NRGN	neurogranin (protein kinase C substrate, RC3)	1.48	0.42	2.54	0.17	3.51	0.05
AA186327	NSAP1	NS1-associated protein 1	0.44	0.04	0.56	0.01	0.69	0.06
H97488	NSF	N-ethylmaleimide-sensitive factor	0.61	0.21	0.49	0.13	0.36	0.03
R60343	NT5	5 nucleotidase (CD73)	0.18	0.01	0.13	0.01	0.15	0.01
AA461467	ODC1	ornithine decarboxylase 1	0.27	0.02	0.26	0.01	0.22	0.01
R45255	P40	nucleolar protein p40	0.34	0.01	0.27	0.04	0.26	0.03
AA457671	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide 1	0.73	0.29	0.45	0.03	0.47	0.08
AA682293	PAH	phenylalanine hydroxylase	1.64	0.07	1.31	0.08	2.35	0.04
N54794	PAI1	plasminogen activator inhibitor, type I	0.24	0.02	0.17	0	0.21	0.07
T49159	PAI2	plasminogen activator inhibitor, type II (arginine-serpin)	0.42	0.07	0.27	0.05	0.27	0.05
W86431	PCI	protein C inhibitor (plasminogen activator inhibitor III)	1.35	0.55	1.58	0.26	2.02	0.04
AA186901	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	1.45	0.49	1.96	0.11	2.14	0.04
AA450265	PCNA	proliferating cell nuclear antigen	0.58	0.22	0.32	0.08	0.36	0.03
AA394136	PCTK3	PCTAIRE protein kinase 3	1.29	0.82	2.2	0.38	2.23	0.02
AA400893	PDE1A	phosphodiesterase 1A, calmodulin-dependent	1.58	0.49	1.57	0.44	2.22	0.03
H23235	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	2.75	0.02	3.6	0.09	8.09	0.02
AA293653	PEA15	phosphoprotein enriched in astrocytes 15	0.53	0.04	0.43	0.02	0.55	0.06
T95053	PER1	period (Drosophila) homolog 1	2.04	0.36	1.58	0.57	3.13	0.04
AA608558	PFKP	phosphofructokinase, platelet	0.48	0.05	0.53	0.11	0.41	0.01
AA608558	PFKP	phosphofructokinase, platelet	0.48	0.05	0.53	0.11	0.41	0.01
AA040703	PFN2	profilin 2	0.54	0	0.4	0.04	0.26	0.02
R72097	PGA5	pepsinogen 5, group I (pepsinogen A)	1.12	0.37	2.13	0.17	2	0.04
AA599187	PGK1	phosphoglycerate kinase 1	0.5	0.16	0.32	0.01	0.38	0.09
AA495949	PGPL	Pseudoautosomal GTP-binding protein-like	1.94	0.22	1.63	0.24	2.76	0.01
AA682855	PHF1	PHD finger protein 1	1.68	0.15	1.49	0.07	2.5	0.05
AA430512	PI9	protease inhibitor 9 (ovalbumin type)	1.65	0.39	2.51	0.19	2.75	0.02
AA668595	PIG3	quinone oxidoreductase homolog	1.7	0.39	2.14	0.24	2.54	0.02
AA644679	PIN	dynein, cytoplasmic, light polypeptide	0.77	0.45	0.43	0.13	0.32	0.05
AA447797	PLAT	plasminogen activator, tissue	0.74	0.27	0.56	0.16	0.43	0.03
AA464970	PLCB2	phospholipase C, beta 2	1.62	0.24	2.24	0.06	2.46	0.02
AA136707	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	0.69	0.26	0.35	0.02	0.28	0.04
AA464528	PLP2	proteolipid protein 2 (colonic epithelium-enriched)	0.49	0.02	0.41	0.11	0.35	0.03
AA402874	PLTP	phospholipid transfer protein	1.91	0.15	2.69	0.11	8.18	0.02
N92319	PNUTL1	peanut (Drosophila)-like 1	1.63	0.38	2.03	0.25	2.49	0.04
T64878	PNUTL2	peanut (Drosophila)-like 2	1.53	0.08	2.03	0.21	2.29	0.01
AA429661	POLD1	polymerase (DNA directed), delta 1, catalytic subunit (125kD)	1.28	0.62	1.88	0.32	2.85	0.02
N74956	POLR2B	polymerase (RNA) II (DNA directed) polypeptide B (140kD)	0.71	0.32	0.71	0.36	0.47	0.02
H38522	POU2F1	POU domain, class 2, transcription factor 1	1.43	0.14	2.05	0.07	3.16	0.05
AA916327	PPGB	protective protein for beta-galactosidase (galactosialidosis)	1.77	0.01	1.84	0.13	4.74	0.04
AA401291	PPIF	peptidylprolyl isomerase F (cyclophilin F)	0.47	0.02	0.44	0.06	0.51	0.01
AA682506	PPIL2	peptidylprolyl isomerase (cyclophilin)-like 2	1.66	0.55	2.18	0.23	3.61	0.01
AA460827	PPP1R1A	protein phosphatase 1, regulatory (inhibitor) subunit 1A	1.18	0.53	1.81	0.19	2.28	0.03
AA844998	PPY	pancreatic polypeptide	1.46	0.17	1.72	0.34	2.42	0.03
H19203	PRDX3	peroxiredoxin 3	0.59	0.11	0.48	0.02	0.49	0.08
AA480906	PRKCBP1	protein kinase C binding protein 1	0.63	0.04	0.44	0.04	0.55	0.08
AA680349	PROZ	protein Z, vitamin K-dependent plasma glycoprotein	1.5	0.14	1.92	0.15	2.01	0.04
AA872020	PRSS8	protease, serine, 8 (prostasin)	1.36	0.67	1.66	0.31	2.52	0.03
AA088837	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	0.53	0.09	0.38	0	0.42	0.08
AA251770	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	0.65	0.18	0.51	0.16	0.38	0.03
H05893	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	0.55	0.21	0.31	0.04	0.51	0.18
AA454852	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	0.66	0.3	0.28	0.04	0.4	0.13
H05893	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	0.94	0.58	0.43	0.02	0.73	0.36
AA464557	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	0.86	0.44	0.38	0.03	1.37	0.71
AA872602	PTHR1	parathyroid hormone receptor 1	3.97	0.28	5.9	0.25	7.82	0.05
R61007	PTP4A1	protein tyrosine phosphatase type IVA, member 1	0.64	0.16	0.36	0.05	0.44	0.09
AA911971	PVRL1	poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)	1.72	0.19	2.16	0.04	2.7	0.04
H52729	PWP2H	PWP2 (periodic tryptophan protein, yeast) homolog	1.14	0.45	1.75	0.17	2.06	0.02
AA430574	PXN	paxillin	0.45	0.11	0.35	0.02	0.43	0.04
AA496780	RAB7	RAB7, member RAS oncogene family	0.67	0.1	0.45	0.02	1.08	0.79
R54097	RALY	RNA-binding protein (autoantigenic)	0.59	0	0.47	0.07	0.38	0.04
AA430178	RANBP2L1	RAN binding protein 2-like 1	2.48	0.37	3.35	0.3	8.93	0.05
AA482067	RARRES2	retinoic acid receptor responder (tazarotene induced) 2	1.95	0.26	1.86	0.01	2.91	0
N31587	RBMS1	RNA binding motif, single stranded interacting protein 1	0.45	0.15	0.3	0.05	0.39	0.08
AA057436	RFXAP	regulatory factor X-associated protein	1.43	0.34	1.58	0.25	2.37	0.01
AA733038	RPA40	RNA polymerase I subunit	0.59	0.09	0.64	0.1	0.47	0.02
AA146803	RPC	RNA 3-terminal phosphate cyclase	0.64	0.06	0.55	0.17	0.44	0.02
AA856556	RPS28	ribosomal protein S28	2.2	0.18	1.69	0.27	2.76	0.02
AA411343	RPS29	ribosomal protein S29	0.92	0.62	0.62	0.06	0.43	0.04
AA633549	RRM1	ribonucleotide reductase M1 polypeptide	0.32	0.04	0.28	0.03	0.29	0.04
AA187351	RRM2	ribonucleotide reductase M2 polypeptide	0.32	0.07	0.34	0.05	0.31	0.07
W40336	RTN1	reticulon 1	1.44	0.45	1.77	0.08	2.34	0.01
AA251930	RTVP1	glioma pathogenesis-related protein	0.92	0.6	0.38	0.06	0.19	0.01
AA444051	S100A10	S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))	0.9	0.55	0.46	0.03	0.41	0.07
R58991	SAT	spermidine/spermine N1-acetyltransferase	1.14	0.19	0.94	0.92	2.62	0.01
AA011215	SAT	spermidine/spermine N1-acetyltransferase	1.29	0.91	0.95	0.68	4.2	0.01
R58991	SAT	spermidine/spermine N1-acetyltransferase	1.42	0.44	1.29	0.64	2.56	0
AA700222	SCAM-1	vinexin beta (SH3-containing adaptor molecule-1)	1.83	0.11	1.53	0.35	2.4	0.02
R72518	SCAMP3	secretory carrier membrane protein 3	1.21	0.39	1.3	0.26	2.02	0.01
AA458982	SCNN1A	sodium channel, nonvoltage-gated 1 alpha	1.64	0.29	1.51	0.17	2.62	0.02
T64134	SCYA13	small inducible cytokine subfamily A (Cys-Cys), member 13	1.65	0.27	1.31	0.02	2.1	0.04
AA680186	SCYA19	small inducible cytokine subfamily A (Cys-Cys), member 19	1.43	0.19	2.05	0.26	2.93	0
N73958	SCYA25	small inducible cytokine subfamily A (Cys-Cys), member 25	1.86	0.26	2.23	0.05	2.99	0.04
AA878880	SCYB10	small inducible cytokine subfamily B (Cys-X-Cys), member 10	1.3	0.41	2.67	0.04	1.58	0.41
AA608548	SET	SET translocation (myeloid leukemia-associated)	0.49	0.02	0.42	0.03	0.28	0.02
T72628	SF3A1	splicing factor 3a, subunit 1, 120kD	1.48	0.31	1.64	0.2	2.51	0.03
T65786	SFRS1	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	0.41	0.04	0.27	0.01	0.36	0.04
AA454585	SFRS2	splicing factor, arginine/serine-rich 2	0.35	0.14	0.14	0.02	0.23	0.06
AA598400	SFRS3	splicing factor, arginine/serine-rich 3	0.61	0.06	0.39	0.03	0.6	0.23
H54020	SFRS7	splicing factor, arginine/serine-rich 7 (35kD)	0.49	0.15	0.28	0.03	0.46	0.11
AA491213	SFRS9	splicing factor, arginine/serine-rich 9	0.68	0.03	0.5	0.01	0.57	0.1
R48132	SH3BP2	SH3-domain binding protein 2	2.26	0.28	3.4	0.3	5.73	0.02
AA398366	SH3GL1	SH3-domain GRB2-like 1	1.53	0.19	2.52	0.26	3.18	0.02
AA479928	SHOX2	short stature homeobox 2	1.76	0.29	2.81	0.14	3.01	0.01
AA425395	SLC16A2	solute carrier family 16 (monocarboxylic acid transporters), member 2 (putative transporter)	0.61	0.15	0.54	0.04	0.5	0.05
R50337	SLC19A1	solute carrier family 19 (folate transporter), member 1	1.72	0.36	2.85	0.21	3.42	0
AA406180	SLC22A1L	solute carrier family 22 (organic cation transporter), member 1-like	1.43	0.23	2.25	0.18	2.72	0.05
AA676877	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	1.43	0.26	2.26	0.02	1.75	0.05
AA404486	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	0.51	0.09	0.34	0.03	0.39	0.09
H51549	SLC35A2	solute carrier family 35 (UDP-galactose transporter), member 2	1.41	0.37	1.42	0.91	2.11	0.03
T86708	SLC4A1	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	2.18	0.45	2.29	0.34	2.73	0.05
AA490044	SLC5A3	solute carrier family 5 (inositol transporters), member 3	3.02	0.04	1.58	0.04	1.93	0.06
AA845584	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	1.82	0.09	2.51	0.26	2.89	0.04
AA028921	SMA3	SMA3	1.24	0.87	1.73	0.14	2.25	0.04
AA872122	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	0.49	0.1	0.38	0.05	0.39	0.06
AA478436	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	0.6	0.18	0.57	0.19	0.5	0.01
AA416890	SMPD1	sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)	1.85	0.09	3.52	0.01	2.55	0.09
AA663884	SNAP25	synaptosomal-associated protein, 25kD	1.24	0.53	1.91	0.28	2.59	0.03
H16255	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide (16kD)	0.62	0.09	0.49	0.02	0.6	0.13
AA678021	SNRPE	small nuclear ribonucleoprotein polypeptide E	0.44	0.07	0.27	0.02	0.31	0.03
AA599127	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	1.09	0.43	0.79	0.28	0.48	0.04
AA700604	SORD	sorbitol dehydrogenase	0.41	0.06	0.37	0.03	0.49	0.16
AA428551	SOX22	SRY (sex-determining region Y)-box 22	1.68	0.09	2.16	0.18	2.39	0.01
AA453420	SOX4	SRY (sex determining region Y)-box 4	1.78	0.43	1.88	0.38	2.35	0.02
H95960	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	0.8	0.25	0.45	0.16	0.18	0.01
AA425806	SPN	suppressin (nuclear deformed epidermal autoregulatory factor-1 (DEAF-1)-related)	1.34	0.39	2.06	0.07	2.18	0.03
AA447684	SPRR1B	small proline-rich protein 1B (cornifin)	1.68	0.17	1.62	0.45	2.83	0.05
AA399674	SPRR2C	small proline-rich protein 2C	1.65	0.36	1.81	0.14	2.65	0.03
AA488081	SPS	SELENOPHOSPHATE SYNTHETASE ; Human selenium donor protein	0.77	0.43	0.45	0.05	0.5	0.16
AA599078	SRP54	signal recognition particle 54kD	0.5	0.11	0.47	0.13	0.41	0.02
AA598621	SRPR	signal recognition particle receptor (docking protein)	0.43	0.19	0.33	0.12	0.29	0.05
AA485355	SSI-1	JAK binding protein	1.43	0.66	2.38	0.09	2.91	0
AA001219	SSI-3	STAT induced STAT inhibitor 3	0.44	0.05	0.55	0.11	0.74	0.36
AA450360	SSR1	signal sequence receptor, alpha (translocon-associated protein alpha)	0.82	0.34	0.62	0.03	0.48	0.04
AA446017	ST5	suppression of tumorigenicity 5	1.58	0.29	1.47	0.01	2.61	0.02
AA679454	STAR	steroidogenic acute regulatory protein	1.77	0.25	2.39	0.1	2.93	0.05
AA679454	STAR	steroidogenic acute regulatory protein	1.77	0.25	2.39	0.1	2.93	0.05
AA488075	STAT1	signal transducer and activator of transcription 1, 91kD	0.42	0.03	0.45	0.09	0.55	0.15
AA137031	STATI2	STAT induced STAT inhibitor-2	1.83	0.44	1.9	0.28	2.76	0.01
AA398458	SULT1A3	sulfotransferase family 1A, phenol-preferring, member 3	2.52	0.25	2.65	0.21	4.91	0.05
AA398458	SULT1A3	sulfotransferase family 1A, phenol-preferring, member 3	2.52	0.25	2.65	0.21	4.91	0.05
R59598	SYK	spleen tyrosine kinase	0.46	0.05	0.7	0.31	0.56	0.04
AA007632	SYNGR1	synaptogyrin 1	2.04	0.55	1.6	0.22	2.47	0.05
H39018	SYT5	synaptotagmin 5	2.54	0.13	3.33	0.11	5.19	0.01
AA487148	TAF2C1	TATA box binding protein (TBP)-associated factor, RNA polymerase II, C1, 130kD	0.52	0.19	0.8	0.49	0.28	0
AA857343	TAF2N	TATA box binding protein (TBP)-associated factor, RNA polymerase II, N, 68kD (RNA-binding protein 56)	8.08	0.03	7.67	0.02	10.35	0.01
AA453787	TAF3C	TATA box binding protein (TBP)-associated factor, RNA polymerase III, C, 90kD	2.26	0.25	3.71	0.19	4.74	0.03
T69304	TAPBP	TAP binding protein (tapasin)	1.43	0.7	3.19	0.29	8.08	0.05
AA621019	TAX40	Tax interaction protein 40	1.37	0.24	2.18	0.11	2.63	0.01
AA039932	TBXA2R	thromboxane A2 receptor	1.43	0.33	2.58	0.03	2.24	0.16
R21416	TC21	oncogene TC21	0.35	0.12	0.43	0.18	0.26	0.03
W81685	TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kD, elongin C)	0.6	0.12	0.38	0.04	0.31	0.02
AA136533	TCEB1L	transcription elongation factor B (SIII), polypeptide 1-like	0.67	0.13	0.48	0.1	0.48	0.02
AA457050	TCOF1	Treacher Collins-Franceschetti syndrome 1	1.14	0.77	1.63	0.24	2.31	0.05
T50282	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	0.41	0.01	0.49	0.03	0.6	0.14
AA399473	TFPI2	tissue factor pathway inhibitor 2	1.14	0.7	0.51	0.24	0.21	0.02
AA447751	TH	tyrosine hydroxylase	1.79	0.13	2.34	0.28	3.42	0.05
AA464532	THBS1	thrombospondin 1	1.24	0.49	1.78	0.1	2.32	0.01
AA479058	THPO	thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)	1.52	0.44	1.82	0.1	2.04	0.04
AA708446	TIM17	translocase of inner mitochondrial membrane 17 (yeast) homolog A	0.42	0.03	0.39	0.05	0.28	0.01
T68317	TIM23	translocase of inner mitochondrial membrane 23 (yeast) homolog	0.41	0.13	0.32	0.03	0.28	0.06
AA496630	TLE3	transducin-like enhancer of split 3, homolog of Drosophila E(sp1)	1.42	0.19	2.09	0.33	2.77	0.01
AA487893	TM4SF1	transmembrane 4 superfamily member 1	0.7	0.24	0.4	0.07	0.2	0.02
W84524	TM4SF5	transmembrane 4 superfamily member 5	1.74	0.15	2.33	0.19	3.34	0.01
H87106	TM4SF6	transmembrane 4 superfamily member 6	1.92	0.11	1.61	0.01	2.65	0.03
AA479100	TM9SF2	transmembrane 9 superfamily member 2	0.71	0.2	0.46	0.08	0.46	0.05
W73889	TNA	tetranectin (plasminogen-binding protein)	1.43	0.46	2.3	0.42	2.45	0.02
AA194983	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	1.22	0.6	1.71	0	3.07	0.04
W71984	TNFRSF12	tumor necrosis factor receptor superfamily, member 12 (translocating chain-association membrane protein)	1.63	0.39	2.01	0.33	2.76	0.04
AA147594	TNFRSF8	tumor necrosis factor receptor superfamily, member 8	1.55	0.29	1.88	0.12	2.45	0.02
N35070	TNFSF12	tumor necrosis factor (ligand) superfamily, member 12	1.78	0.21	2.19	0.09	3.54	0
R06254	TPD52L2	tumor protein D52-like 2	1.94	0.28	2.12	0.22	3.19	0.01
AA663983	TPI1	triosephosphate isomerase 1	0.47	0.12	0.28	0.01	0.24	0.03
AA598758	TRA1	tumor rejection antigen (gp96) 1	0.72	0.14	0.4	0.07	0.26	0.05
H15707	TRAM	translocating chain-associating membrane protein	0.6	0.01	0.38	0.02	0.7	0.16
AA186427	TRIP	TRAF interacting protein	1.11	0.11	2.03	0.13	2.12	0.01
AA431321	TRIP7	thyroid hormone receptor interactor 7	0.47	0.13	0.35	0.03	0.59	0.19
AA888148	TUBB2	tubulin, beta, 2	0.6	0.28	0.28	0.04	0.39	0.05
AA888148	TUBB2	tubulin, beta, 2	0.6	0.28	0.28	0.04	0.39	0.05
H12338	TYROBP	TYRO protein tyrosine kinase binding protein	1.61	0.39	2.36	0.06	2.94	0.03
AA430504	UBCH10	ubiquitin carrier protein E2-C	0.15	0.01	0.23	0.02	0.26	0.02
AA448676	UBE2V2	ubiquitin-conjugating enzyme E2 variant 2	0.49	0.1	0.42	0.01	0.45	0.04
AA488626	UBL1	ubiquitin-like 1 (sentrin)	0.56	0.02	0.41	0.05	0.4	0
AA488626	UBL1	ubiquitin-like 1 (sentrin)	0.56	0.02	0.41	0.05	0.4	0
T57841	UFD1L	ubiquitin fusion degradation 1-like	0.59	0.15	0.42	0.13	0.35	0.03
AA456051	UGCG	UDP-glucose ceramide glucosyltransferase	0.28	0	0.33	0.04	0.41	0.01
R41839	UGTREL1	UDP-galactose transporter related	0.61	0.14	0.66	0.29	0.49	0.01
T65861	USP14	ubiquitin specific protease 14 (tRNA-guanine transglycosylase)	0.61	0.12	0.45	0.03	0.42	0.04
AA682337	VAV2	vav 2 oncogene	0.39	0.01	0.42	0	0.34	0
H16591	VCAM1	vascular cell adhesion molecule 1	0.42	0.03	0.54	0.04	0.38	0.02
AA044059	VDAC1	voltage-dependent anion channel 1	0.57	0.02	0.38	0.03	0.29	0
AA486321	VIM	vimentin	0.66	0.28	0.42	0.05	0.4	0.07
AA485883	VWF	von Willebrand factor	1.61	0.77	2.37	0.01	1.44	0.6
AA775355	XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kD)	0.57	0.01	0.39	0.05	0.49	0.1
N21624	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	0.61	0.17	0.44	0.09	0.35	0.05
H17048	ZNF133	zinc finger protein 133 (clone pHZ-13)	1.44	0.52	1.8	0.06	3.07	0
AA443659	ZNF143	zinc finger protein 143 (clone pHZ-1)	1.92	0.21	2.14	0.35	3.08	0.04
R18845	ZNF177	zinc finger protein 177	2.04	0.22	3.43	0.12	5.77	0.05
AA669341	ZNF6	zinc finger protein 6 (CMPX1)	0.43	0.05	0.28	0.05	0.3	0.1
AA425602	ZP3A	zona pellucida glycoprotein 3A (sperm receptor)	2.69	0.33	2.93	0.02	1.49	0.93
AA489714	ZYG	ZYG homolog	1.61	0.38	1.91	0.42	3.45	0.02
AA465386		ESTs	0.24	0.05	0.25	0.04	0.18	0.02
