Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
DOCK9	212538_at	1.051387026	0.004345185	gb:AL576253 /DB_XREF=gi:12938214 /DB_XREF=AL576253 /CLONE=CS0DI073YM22 (3 prime) /FEA=mRNA /CNT=104 /TID=Hs.8021.0 /TIER=Stack /STK=10 /UG=Hs.8021 /LL=23348 /UG_GENE=KIAA1058 /UG_TITLE=KIAA1058 protein
SH2D1A	211209_x_at	0.872446985	0.005107091	gb:AF100540.1 /DB_XREF=gi:3928895 /GEN=SH2D1A /FEA=FLmRNA /CNT=1 /TID=Hs.151544.1 /TIER=FL /STK=0 /UG=Hs.151544 /LL=4068 /DEF=Homo sapiens SH2 domain protein 1A isoform C (SH2D1A) mRNA, complete cds. /PROD=SH2 domain protein 1A isoform C /FL=gb:AF100540.1
SEC15L1	232599_at	0.768120099	0.005549215	gb:AF220217.1 /DB_XREF=gi:7141234 /FEA=mRNA /CNT=5 /TID=Hs.272374.0 /TIER=ConsEnd /STK=0 /UG=Hs.272374 /DEF=Homo sapiens rsec15-like protein mRNA, partial cds. /PROD=rsec15-like protein
PRL3	206574_s_at	1.376636931	0.005653317	gb:NM_007079.1 /DB_XREF=gi:6857821 /GEN=PTP4A3 /FEA=FLmRNA /CNT=12 /TID=Hs.43666.0 /TIER=FL /STK=0 /UG=Hs.43666 /LL=11156 /DEF=Homo sapiens protein tyrosine phosphatase type IVA, member 3 (PTP4A3), mRNA. /PROD=protein tyrosine phosphatase type IVA, member 3 /FL=gb:AF041434.1 gb:NM_007079.1
REPIN1	219041_s_at	0.681680653	0.005754645	gb:NM_014374.1 /DB_XREF=gi:7656889 /GEN=AP4 /FEA=FLmRNA /CNT=64 /TID=Hs.90693.0 /TIER=FL+Stack /STK=18 /UG=Hs.90693 /LL=26997 /DEF=Homo sapiens zinc finger protein (AP4), mRNA. /PROD=zinc finger protein /FL=gb:BC000363.1 gb:NM_014374.1
RYK	202853_s_at	1.061888889	0.006104664	gb:NM_002958.1 /DB_XREF=gi:11863158 /GEN=RYK /FEA=FLmRNA /CNT=131 /TID=Hs.79350.0 /TIER=FL+Stack /STK=39 /UG=Hs.79350 /LL=6259 /DEF=Homo sapiens RYK receptor-like tyrosine kinase (RYK), mRNA. /PROD=RYK receptor-like tyrosine kinase precursor /FL=gb:NM_002958.1
T-cell receptor beta C gene segment	211796_s_at	1.211717656	0.006677468	gb:AF043179.1 /DB_XREF=gi:3002924 /GEN=TCRBV13S1-TCRBJ2S1 /FEA=FLmRNA /CNT=3 /TID=Hs.303157.6 /TIER=FL /STK=0 /UG=Hs.303157 /LL=6957 /DEF=Homo sapiens T cell receptor beta chain (TCRBV13S1-TCRBJ2S1) mRNA, complete cds. /PROD=T cell receptor beta chain /FL=gb:AF043179.1
SH2D4B	1563849_at	0.725902423	0.007191717	gb:AK091518.1 /DB_XREF=gi:21749907 /TID=Hs2.376664.1 /CNT=1 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.376664 /UG_TITLE=Homo sapiens cDNA FLJ34199 fis, clone FCBBF3019570. /DEF=Homo sapiens cDNA FLJ34199 fis, clone FCBBF3019570.
KIR2DL1	210890_x_at	0.530675354	0.007271407	gb:U24078.1 /DB_XREF=gi:897908 /FEA=FLmRNA /CNT=9 /TID=Hs.278453.0 /TIER=FL /STK=0 /UG=Hs.278453 /LL=3802 /UG_GENE=KIR2DL1 /DEF=Human p58 natural killer cell receptor precursor mRNA, clone 47.11, complete cds. /PROD=p58 natural killer cell receptor precursor /FL=gb:L41267.1 gb:AF285431.1 gb:NM_014218.1 gb:U24076.1 gb:U24078.1
Unknown (221773_at)	221773_at	1.207076779	0.00736279	gb:AW575374 /DB_XREF=gi:7246913 /DB_XREF=UI-HF-BL0-adc-c-12-0-UI.s1 /CLONE=IMAGE:3060887 /FEA=mRNA /CNT=129 /TID=Hs.288555.0 /TIER=Stack /STK=50 /UG=Hs.288555 /UG_TITLE=Homo sapiens cDNA: FLJ22425 fis, clone HRC08686
TP53INP1A	225912_at	1.533384709	0.007655558	gb:AW341649 /DB_XREF=gi:6838275 /DB_XREF=hd12g02.x1 /CLONE=IMAGE:2909330 /FEA=mRNA /CNT=69 /TID=Hs.75497.0 /TIER=Stack /STK=38 /UG=Hs.75497 /UG_TITLE=Homo sapiens cDNA: FLJ22139 fis, clone HEP20959
LZTS2	1555881_s_at	0.530522084	0.007902655	gb:AK097997.1 /DB_XREF=gi:21757915 /TID=Hs2.375946.1 /CNT=29 /FEA=mRNA /TIER=Stack /STK=13 /UG=Hs.375946 /UG_TITLE=Homo sapiens cDNA FLJ40678 fis, clone THYMU2022660. /DEF=Homo sapiens cDNA FLJ40678 fis, clone THYMU2022660.
ICAM3	204949_at	0.99224382	0.008007863	gb:NM_002162.2 /DB_XREF=gi:12545399 /GEN=ICAM3 /FEA=FLmRNA /CNT=51 /TID=Hs.99995.0 /TIER=FL /STK=0 /UG=Hs.99995 /LL=3385 /DEF=Homo sapiens intercellular adhesion molecule 3 (ICAM3), mRNA. /PROD=intercellular adhesion molecule 3 precursor /FL=gb:NM_002162.2
CD27	206150_at	0.89864279	0.008180476	gb:NM_001242.1 /DB_XREF=gi:4507586 /GEN=TNFRSF7 /FEA=FLmRNA /CNT=31 /TID=Hs.180841.0 /TIER=FL+Stack /STK=21 /UG=Hs.180841 /LL=939 /DEF=Homo sapiens tumor necrosis factor receptor superfamily, member 7 (TNFRSF7), mRNA. /PROD=CD27 antigen /FL=gb:NM_001242.1 gb:M63928.1
Unknown (232951_at)	232951_at	1.02446043	0.008478862	gb:AV710143 /DB_XREF=gi:10728621 /DB_XREF=AV710143 /CLONE=CuAARA03 /FEA=mRNA /CNT=6 /TID=Hs.297221.0 /TIER=ConsEnd /STK=0 /UG=Hs.297221 /UG_TITLE=Homo sapiens cDNA FLJ10136 fis, clone HEMBA1003129
ABLIM1	200965_s_at	0.7503754	0.008661745	gb:NM_006720.1 /DB_XREF=gi:5921987 /GEN=ABLIM /FEA=FLmRNA /CNT=303 /TID=Hs.158203.0 /TIER=FL+Stack /STK=78 /UG=Hs.158203 /LL=3983 /DEF=Homo sapiens actin binding LIM protein 1 (ABLIM), transcript variant ABLIM-s, mRNA. /PROD=actin-binding LIM protein 1, isoform s /FL=gb:D31883.1 gb:NM_006720.1
SPEC2	234260_at	0.656905905	0.008848429	gb:AL122039.1 /DB_XREF=gi:6093228 /FEA=mRNA /CNT=1 /TID=Hs.306439.0 /TIER=ConsEnd /STK=0 /UG=Hs.306439 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp434E0572 (from clone DKFZp434E0572) /DEF=Homo sapiens mRNA; cDNA DKFZp434E0572 (from clone DKFZp434E0572).
GNPDA1	202382_s_at	0.889163034	0.009258671	gb:NM_005471.1 /DB_XREF=gi:13027377 /GEN=GNPI /FEA=FLmRNA /CNT=144 /TID=Hs.278500.0 /TIER=FL+Stack /STK=32 /UG=Hs.278500 /LL=10007 /DEF=Homo sapiens glucosamine-6-phosphate isomerase (GNPI), mRNA. /PROD=glucosamine-6-phosphate isomerase /FL=gb:D31766.1 gb:AF048826.1 gb:AF029914.1 gb:NM_005471.1
Unknown (244375_at)	244375_at	0.61879128	0.00946457	gb:AW873606 /DB_XREF=gi:8007659 /DB_XREF=ho64a02.x1 /CLONE=IMAGE:3042122 /FEA=EST /CNT=4 /TID=Hs.149006.0 /TIER=ConsEnd /STK=3 /UG=Hs.149006 /UG_TITLE=ESTs
SPR-1	236265_at	0.70376123	0.0096611	gb:BF438799 /DB_XREF=gi:11451316 /DB_XREF=nab54b05.x1 /CLONE=IMAGE:3269696 /FEA=EST /CNT=10 /TID=Hs.88013.0 /TIER=ConsEnd /STK=1 /UG=Hs.88013 /UG_TITLE=ESTs
HOXB2	205453_at	1.017011133	0.009766752	gb:NM_002145.1 /DB_XREF=gi:4504464 /GEN=HOXB2 /FEA=FLmRNA /CNT=29 /TID=Hs.2733.0 /TIER=FL /STK=0 /UG=Hs.2733 /LL=3212 /DEF=Homo sapiens homeo box B2 (HOXB2), mRNA. /PROD=homeo box B2 /FL=gb:NM_002145.1
UEV3	1554396_at	0.652376127	0.010414273	gb:BC011011.1 /DB_XREF=gi:15029613 /TID=Hs2.337778.2 /CNT=2 /FEA=FLmRNA /TIER=FL /STK=2 /LL=55293 /UG_GENE=UEV3 /UG=Hs.337778 /DEF=Homo sapiens, clone MGC:13394 IMAGE:4286315, mRNA, complete cds. /PROD=Unknown (protein for MGC:13394) /FL=gb:BC011011.1
T-cell receptor beta C gene segment	213193_x_at	0.740538672	0.010733429	gb:AL559122 /DB_XREF=gi:12904310 /DB_XREF=AL559122 /CLONE=CS0DJ014YE01 (5 prime) /FEA=mRNA /CNT=75 /TID=Hs.303157.2 /TIER=Stack /STK=31 /UG=Hs.303157 /LL=6957 /UG_GENE=TRB@ /UG_TITLE=T cell receptor beta locus
CD3Z	210031_at	1.132155362	0.011137508	gb:J04132.1 /DB_XREF=gi:623041 /FEA=FLmRNA /CNT=28 /TID=Hs.97087.0 /TIER=FL /STK=0 /UG=Hs.97087 /LL=919 /UG_GENE=CD3Z /DEF=Human T cell receptor zeta-chain mRNA, complete cds. /PROD=T-cell receptor zeta chain /FL=gb:J04132.1 gb:NM_000734.1
CKLFSF7	1560754_at	0.819553574	0.012046886	gb:AL832450.1 /DB_XREF=gi:21733015 /TID=Hs2.376999.1 /CNT=3 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.376999 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp434I2129 (from clone DKFZp434I2129) /DEF=Homo sapiens mRNA; cDNA DKFZp434I2129 (from clone DKFZp434I2129).
PLEKHF2	218640_s_at	0.679038624	0.012046886	gb:NM_024613.1 /DB_XREF=gi:13375826 /GEN=FLJ13187 /FEA=FLmRNA /CNT=88 /TID=Hs.29724.0 /TIER=FL+Stack /STK=29 /UG=Hs.29724 /LL=79666 /DEF=Homo sapiens hypothetical protein FLJ13187 (FLJ13187), mRNA. /PROD=hypothetical protein FLJ13187 /FL=gb:NM_024613.1
SH3P12	218087_s_at	0.992758199	0.012571455	gb:NM_015385.1 /DB_XREF=gi:7661699 /GEN=SH3D5 /FEA=FLmRNA /CNT=166 /TID=Hs.108924.0 /TIER=FL+Stack /STK=30 /UG=Hs.108924 /LL=10580 /DEF=Homo sapiens SH3-domain protein 5 (ponsin) (SH3D5), mRNA. /PROD=ponsin /FL=gb:AL117472.1 gb:NM_015385.1
CD3G	206804_at	0.837705322	0.012571455	gb:NM_000073.1 /DB_XREF=gi:4557428 /GEN=CD3G /FEA=FLmRNA /CNT=15 /TID=Hs.2259.0 /TIER=FL /STK=5 /UG=Hs.2259 /LL=917 /DEF=Homo sapiens CD3G antigen, gamma polypeptide (TiT3 complex) (CD3G), mRNA. /PROD=CD3G gamma precursor /FL=gb:NM_000073.1
AKAP12	1555395_at	2.445440415	5.25E-16	gb:BC046095.1 /DB_XREF=gi:28278186 /TID=Hs2Affx.1.262 /CNT=1 /FEA=FLmRNA /TIER=FL /STK=1 /NOTE=sequence(s) not in UniGene /DEF=Homo sapiens, Similar to A kinase (PRKA) anchor protein (gravin) 12, clone MGC:57504 IMAGE:6190455, mRNA, complete cds. /PROD=Similar to A kinase (PRKA) anchor protein(gravin) 12 /FL=gb:BC046095.1
NYX	234496_x_at	1.435416127	1.91E-15	gb:Z93015 /DB_XREF=gi:9929207 /FEA=DNA /CNT=1 /TID=Hs.302019.2 /TIER=ConsEnd /STK=0 /UG=Hs.302019 /LL=60506 /UG_GENE=NYX /UG_TITLE=nyctalopin /DEF=Human DNA sequence from clone RP1-169I5 on chromosome Xp11. Contains ESTs, STSs, GSSs and CpG islands. Contains the 3 part of the DDX3 gene for DEADH (Asp-Glu-Ala-AspHis) box polypeptide 3 and a novel gene for a leucine rich protein
ARID1A	210649_s_at	1.121271433	1.91E-15	gb:AF231056.1 /DB_XREF=gi:11320941 /GEN=BAF250a /FEA=FLmRNA /CNT=3 /TID=Hs.123090.1 /TIER=FL /STK=0 /UG=Hs.123090 /LL=8289 /DEF=Homo sapiens BRG1-Associated Factor 250a (BAF250a) mRNA, complete cds. /PROD=BRG1-Associated Factor 250a /FL=gb:AF231056.1
ZNF91	206059_at	1.331838524	1.13E-14	gb:NM_003430.1 /DB_XREF=gi:4508040 /GEN=ZNF91 /FEA=FLmRNA /CNT=24 /TID=Hs.8597.0 /TIER=FL /STK=3 /UG=Hs.8597 /LL=7644 /DEF=Homo sapiens zinc finger protein 91 (HPF7, HTF10) (ZNF91), mRNA. /PROD=zinc finger protein 91 (HPF7, HTF10) /FL=gb:L11672.1 gb:NM_003430.1
RAB2A	208730_x_at	0.786920002	1.65E-14	gb:AA535244 /DB_XREF=gi:2279497 /DB_XREF=nf93a03.s1 /CLONE=IMAGE:927436 /FEA=FLmRNA /CNT=393 /TID=Hs.78305.0 /TIER=Stack /STK=11 /UG=Hs.78305 /LL=5862 /UG_GENE=RAB2 /UG_TITLE=RAB2, member RAS oncogene family /FL=gb:M28213.1 gb:NM_002865.1
RASD1	223467_at	2.088478771	2.68E-14	gb:AF069506.1 /DB_XREF=gi:4959037 /GEN=AGS1 /FEA=FLmRNA /CNT=74 /TID=Hs.25829.0 /TIER=FL /STK=0 /UG=Hs.25829 /LL=51655 /DEF=Homo sapiens activator of G protein signaling (AGS1) mRNA, complete cds. /PROD=activator of G protein signaling /FL=gb:AF153192.1 gb:AF172846.1 gb:NM_016084.1 gb:AF069506.1
EFNA1	202023_at	2.001846724	2.68E-14	gb:NM_004428.1 /DB_XREF=gi:4758245 /GEN=EFNA1 /FEA=FLmRNA /CNT=214 /TID=Hs.1624.0 /TIER=FL+Stack /STK=107 /UG=Hs.1624 /LL=1942 /DEF=Homo sapiens ephrin-A1 (EFNA1), mRNA. /PROD=ephrin A1 precursor /FL=gb:M57730.1 gb:NM_004428.1
NFAT5	215092_s_at	2.048052481	3.43E-14	gb:AJ005683.1 /DB_XREF=gi:6900107 /FEA=mRNA /CNT=8 /TID=Hs.86998.2 /TIER=ConsEnd /STK=1 /UG=Hs.86998 /LL=10725 /UG_GENE=NFAT5 /UG_TITLE=nuclear factor of activated T-cells 5, tonicity-responsive /DEF=Homo sapiens mRNA for repeated sequence CAG-8-man-kl.
UBL3	201534_s_at	1.363691523	3.43E-14	gb:AF044221.1 /DB_XREF=gi:4105251 /GEN=HCG-1 /FEA=FLmRNA /CNT=244 /TID=Hs.173091.0 /TIER=FL /STK=0 /UG=Hs.173091 /LL=5412 /DEF=Homo sapiens HCG-1 protein (HCG-1) mRNA, complete cds. /PROD=HCG-1 protein /FL=gb:AF044221.1 gb:AL080177.1 gb:NM_007106.1
APOL2	221013_s_at	1.334369446	3.43E-14	gb:NM_030882.1 /DB_XREF=gi:13562089 /GEN=APOL2 /FEA=FLmRNA /CNT=1 /TID=HsAffx.900094.181 /TIER=FL /STK=0 /DEF=Homo sapiens apolipoprotein L, 2 (APOL2), mRNA. /PROD=apolipoprotein L, 2 /FL=gb:NM_030882.1
CDC2L2	215329_s_at	0.985832306	3.43E-14	gb:AL031282 /DB_XREF=gi:3860395 /FEA=DNA_5 /CNT=4 /TID=Hs.214291.0 /TIER=ConsEnd /STK=0 /UG=Hs.214291 /UG_TITLE=Human DNA sequence from clone 283E3 on chromosome 1p36.21-36.33. Contains the alternatively spliced gene for Matrix Metalloproteinase in the Female Reproductive tract MIFR1, -2, MMP2122A, -B and -C, a novel gene, the alternatively spliced CDC2L2 gene for Cell Division Cycle 2-Like 2 (PITSLRE, p58GTA, Galactosyltransferase Associated Protein Kinase) beta 1, beta 2-1, beta 2-2 and alpha 2-4, a 40S Ribosomal Protein S7 pseudogene, part of the KIAA0447 gene, a novel alternatively spliced gene similar to many (archae)bacterial, worm and yeast hypothetical genes, and the GNB1 gene for Guanine Nucleotide Binding Protein (G protein), Beta polypeptide 1 (Transducin Beta chain 1). Contains putative CpG islands, ESTs, STSs and GSSs /DEF=Human DNA sequence from clone 283E3 on chromosome 1p36.21-36.33. Contains the alternatively spliced gene for Matrix Metalloproteinase in the Female Reproductive tract MIFR1, -2, MMP2122A, -B and -C, a novel gene, the alternatively spliced CDC2L2 ...
CALN1	230698_at	2.160466521	9.11E-14	gb:AW072102 /DB_XREF=gi:6027100 /DB_XREF=wz98a11.x1 /CLONE=IMAGE:2566844 /FEA=mRNA /CNT=25 /TID=Hs.101375.0 /TIER=Stack /STK=10 /UG=Hs.101375 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp434H205 (from clone DKFZp434H205)
GGT1	209918_at	0.954882312	1.11E-13	gb:J05235.1 /DB_XREF=gi:183143 /FEA=FLmRNA /CNT=42 /TID=Hs.284380.4 /TIER=ConsEnd /STK=0 /UG=Hs.284380 /LL=2678 /UG_GENE=GGT1 /UG_TITLE=gamma-glutamyltransferase 1 /DEF=Human gamma-glutamyl transpeptidase mRNA, complete cds. /FL=gb:L20490.1 gb:J05235.1
Unknown (244491_at)	244491_at	1.063219407	1.58E-13	gb:AI285124 /DB_XREF=gi:3923357 /DB_XREF=qk57a02.x1 /CLONE=IMAGE:1873034 /FEA=EST /CNT=5 /TID=Hs.157505.0 /TIER=ConsEnd /STK=2 /UG=Hs.157505 /UG_TITLE=ESTs
DAGLB	225833_at	1.299517309	1.76E-13	gb:BE795104 /DB_XREF=gi:10216302 /DB_XREF=601592633F1 /CLONE=IMAGE:3946640 /FEA=EST /CNT=60 /TID=Hs.131899.1 /TIER=ConsEnd /STK=0 /UG=Hs.131899 /UG_TITLE=ESTs, Weakly similar to T00370 hypothetical protein KIAA0659 (H.sapiens)
ZNF667	207120_at	2.005419594	2.72E-13	gb:NM_022103.1 /DB_XREF=gi:11545814 /GEN=FLJ14011 /FEA=FLmRNA /CNT=8 /TID=Hs.269218.0 /TIER=FL /STK=1 /UG=Hs.269218 /LL=63934 /DEF=Homo sapiens hypothetical zinc finger protein FLJ14011 (FLJ14011), mRNA. /PROD=hypothetical zinc finger protein FLJ14011 /FL=gb:NM_022103.1
Unknown (227388_at)	227388_at	1.740422312	2.72E-13	gb:AA479016 /DB_XREF=gi:2205379 /DB_XREF=zu39f03.s1 /CLONE=IMAGE:740381 /FEA=EST /CNT=26 /TID=Hs.26268.0 /TIER=Stack /STK=15 /UG=Hs.26268 /UG_TITLE=ESTs
MYLIP	223129_x_at	1.054861704	5.20E-13	gb:T63512 /DB_XREF=gi:667377 /DB_XREF=yc22h11.s1 /CLONE=IMAGE:81477 /FEA=FLmRNA /CNT=154 /TID=Hs.20072.1 /TIER=Stack /STK=20 /UG=Hs.20072 /LL=29116 /UG_GENE=MIR /UG_TITLE=myosin regulatory light chain interacting protein /FL=gb:AF212221.1
SHANK3	227923_at	3.384060651	5.27E-13	gb:BF439330 /DB_XREF=gi:11451859 /DB_XREF=nab63c01.x1 /CLONE=IMAGE:3272425 /FEA=mRNA /CNT=28 /TID=Hs.282076.0 /TIER=Stack /STK=17 /UG=Hs.282076 /UG_TITLE=Homo sapiens mRNA for KIAA1650 protein, partial cds
HDAC3	227510_x_at	1.170891013	5.70E-13	gb:AL037917 /DB_XREF=gi:5928292 /DB_XREF=DKFZp564M117_r1 /CLONE=DKFZp564M117 /FEA=EST /CNT=25 /TID=Hs.279789.7 /TIER=Stack /STK=15 /UG=Hs.279789 /LL=8841 /UG_GENE=HDAC3 /UG_TITLE=histone deacetylase 3
ACIN1	201715_s_at	0.657718319	5.70E-13	gb:NM_014977.1 /DB_XREF=gi:7662237 /GEN=KIAA0670 /FEA=FLmRNA /CNT=199 /TID=Hs.227133.0 /TIER=FL+Stack /STK=67 /UG=Hs.227133 /LL=22985 /DEF=Homo sapiens KIAA0670 proteinacinus (KIAA0670), mRNA. /PROD=KIAA0670 proteinacinus /FL=gb:NM_014977.1 gb:AF124726.1
PDE4B	211302_s_at	1.777677119	6.59E-13	gb:L20966.1 /DB_XREF=gi:347121 /FEA=FLmRNA /CNT=1 /TID=Hs.188.1 /TIER=FL /STK=0 /UG=Hs.188 /LL=5142 /UG_GENE=PDE4B /DEF=Human phosphodiesterase mRNA, complete cds. /PROD=phosphodiesterase /FL=gb:L20966.1
GFOD1	219821_s_at	1.565474067	6.59E-13	gb:NM_018988.1 /DB_XREF=gi:9506674 /GEN=FLJ20330 /FEA=FLmRNA /CNT=22 /TID=Hs.61485.0 /TIER=FL /STK=0 /UG=Hs.61485 /LL=54438 /DEF=Homo sapiens hypothetical protein (FLJ20330), mRNA. /PROD=hypothetical protein /FL=gb:NM_018988.1
ZNF667	236635_at	1.256605046	6.59E-13	gb:AI332774 /DB_XREF=gi:4069333 /DB_XREF=qp98a05.x1 /CLONE=IMAGE:1931024 /FEA=EST /CNT=6 /TID=Hs.144164.0 /TIER=ConsEnd /STK=6 /UG=Hs.144164 /UG_TITLE=ESTs, Moderately similar to ALU8_HUMAN ALU SUBFAMILY SX SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)
CDCREL1	209768_s_at	1.273608094	9.19E-13	gb:AI860917 /DB_XREF=gi:5514533 /DB_XREF=wl56b07.x1 /CLONE=IMAGE:2428885 /FEA=FLmRNA /CNT=61 /TID=Hs.283743.1 /TIER=Stack /STK=20 /UG=Hs.283743 /LL=2812 /UG_GENE=GP1BB /UG_TITLE=glycoprotein Ib (platelet), beta polypeptide /FL=gb:L20860.1
NXF1	208922_s_at	0.949875647	1.39E-12	gb:BC004904.1 /DB_XREF=gi:13436184 /FEA=FLmRNA /CNT=197 /TID=Hs.323502.0 /TIER=FL+Stack /STK=97 /UG=Hs.323502 /LL=10482 /UG_GENE=NXF1 /DEF=Homo sapiens, nuclear RNA export factor 1, clone MGC:4612, mRNA, complete cds. /PROD=nuclear RNA export factor 1 /FL=gb:NM_006362.1 gb:U80073.1 gb:BC004904.1 gb:AF112880.1 gb:AF126246.1
Unknown (244793_at)	244793_at	2.002411851	1.69E-12	gb:AI733237 /DB_XREF=gi:5054350 /DB_XREF=oo45c09.x5 /CLONE=IMAGE:1569136 /FEA=EST /CNT=4 /TID=Hs.128313.0 /TIER=ConsEnd /STK=3 /UG=Hs.128313 /UG_TITLE=ESTs
SPTAN1	208611_s_at	1.018334408	2.63E-12	gb:U83867.1 /DB_XREF=gi:1805279 /FEA=FLmRNA /CNT=412 /TID=Hs.77196.0 /TIER=FL /STK=0 /UG=Hs.77196 /LL=6709 /UG_GENE=SPTAN1 /DEF=Human alpha II spectrin mRNA, complete cds. /PROD=alpha II spectrin /FL=gb:NM_003127.1 gb:J05243.1 gb:U83867.1
CALN1	223885_at	2.02908685	2.91E-12	gb:AF282250.1 /DB_XREF=gi:13183337 /GEN=CALN1 /FEA=FLmRNA /CNT=11 /TID=Hs.249979.0 /TIER=FL /STK=2 /UG=Hs.249979 /DEF=Homo sapiens calneuron 1 (CALN1) mRNA, complete cds. /PROD=calneuron 1 /FL=gb:AF282250.1
POMFIL3	224771_at	2.098774158	2.93E-12	gb:AI937060 /DB_XREF=gi:5675930 /DB_XREF=wp72f01.x1 /CLONE=IMAGE:2467321 /FEA=mRNA /CNT=160 /TID=Hs.6298.0 /TIER=Stack /STK=10 /UG=Hs.6298 /LL=57177 /UG_GENE=KIAA1151 /UG_TITLE=KIAA1151 protein
MYO5C	218966_at	1.151360846	3.38E-12	gb:NM_018728.1 /DB_XREF=gi:9055283 /GEN=MYO5C /FEA=FLmRNA /CNT=52 /TID=Hs.111782.0 /TIER=FL+Stack /STK=17 /UG=Hs.111782 /LL=55930 /DEF=Homo sapiens myosin 5C (MYO5C), mRNA. /PROD=myosin 5C /FL=gb:AF272390.1 gb:NM_018728.1
IER5L	226552_at	1.741002346	3.56E-12	gb:BF110608 /DB_XREF=gi:10940298 /DB_XREF=7n39h09.x1 /CLONE=IMAGE:3567209 /FEA=EST /CNT=43 /TID=Hs.158549.0 /TIER=Stack /STK=13 /UG=Hs.158549 /UG_TITLE=ESTs
SLC38A2	220924_s_at	0.953419074	3.56E-12	gb:NM_018976.1 /DB_XREF=gi:9506836 /GEN=KIAA1382 /FEA=FLmRNA /CNT=3 /TID=Hs.298275.0 /TIER=FL /STK=0 /UG=Hs.298275 /LL=54407 /DEF=Homo sapiens amino acid transporter 2 (KIAA1382), mRNA. /PROD=amino acid transporter 2 /FL=gb:NM_018976.1
DAGLB	225832_s_at	1.044825568	3.59E-12	gb:BE795104 /DB_XREF=gi:10216302 /DB_XREF=601592633F1 /CLONE=IMAGE:3946640 /FEA=EST /CNT=60 /TID=Hs.131899.1 /TIER=ConsEnd /STK=0 /UG=Hs.131899 /UG_TITLE=ESTs, Weakly similar to T00370 hypothetical protein KIAA0659 (H.sapiens)
SLC38A2	218041_x_at	0.935145477	4.07E-12	gb:NM_018573.1 /DB_XREF=gi:8924006 /GEN=PRO1068 /FEA=FLmRNA /CNT=142 /TID=Hs.321158.0 /TIER=FL /STK=0 /UG=Hs.321158 /LL=55439 /DEF=Homo sapiens hypothetical protein PRO1068 (PRO1068), mRNA. /PROD=hypothetical protein PRO1068 /FL=gb:AF116620.1 gb:NM_018573.1
Unknown (237374_at)	237374_at	1.772348178	4.08E-12	gb:BF856217 /DB_XREF=gi:12243961 /DB_XREF=CM4-FN0194-251100-449-a06 /FEA=EST /CNT=9 /TID=Hs.257859.0 /TIER=ConsEnd /STK=0 /UG=Hs.257859 /UG_TITLE=ESTs
FLJ31614	1553185_at	1.391684664	4.33E-12	gb:NM_152573.1 /DB_XREF=gi:22749180 /TID=Hs2.351442.1 /CNT=9 /FEA=FLmRNA /TIER=FL /STK=1 /LL=158158 /UG_GENE=FLJ31614 /UG=Hs.351442 /UG_TITLE=hypothetical protein FLJ31614 /DEF=Homo sapiens hypothetical protein FLJ31614 (FLJ31614), mRNA. /FL=gb:NM_152573.1
MCART1	219480_at	2.104674304	5.85E-12	gb:NM_005985.1 /DB_XREF=gi:5174686 /GEN=SNAI1 /FEA=FLmRNA /CNT=48 /TID=Hs.48029.0 /TIER=FL+Stack /STK=18 /UG=Hs.48029 /LL=6615 /DEF=Homo sapiens snail 1 (drosophila homolog), zinc finger protein (SNAI1), mRNA. /PROD=snail 1 (drosophila homolog), zinc fingerprotein /FL=gb:AF125377.1 gb:NM_005985.1
AKAP12	241679_at	2.897861416	7.32E-12	gb:AI672553 /DB_XREF=gi:4852284 /DB_XREF=wb32f06.x1 /CLONE=IMAGE:2307395 /FEA=EST /CNT=4 /TID=Hs.200274.0 /TIER=ConsEnd /STK=3 /UG=Hs.200274 /UG_TITLE=ESTs
STK32B	219686_at	2.732787621	9.41E-12	gb:NM_018401.1 /DB_XREF=gi:8923753 /GEN=HSA250839 /FEA=FLmRNA /CNT=35 /TID=Hs.58241.0 /TIER=FL+Stack /STK=20 /UG=Hs.58241 /LL=55351 /DEF=Homo sapiens gene for serinethreonine protein kinase (HSA250839), mRNA. /PROD=gene for serinethreonine protein kinase /FL=gb:NM_018401.1
RNA exonuclease 1 homolog (S cerevisiae)	244281_at	1.000907484	9.98E-12	gb:AW134756 /DB_XREF=gi:6138302 /DB_XREF=UI-H-BI1-abq-e-05-0-UI.s1 /CLONE=IMAGE:2712680 /FEA=EST /CNT=6 /TID=Hs.192477.0 /TIER=ConsEnd /STK=1 /UG=Hs.192477 /UG_TITLE=ESTs
AKAP12	227530_at	2.417079866	1.24E-11	gb:BF511276 /DB_XREF=gi:11594574 /DB_XREF=UI-H-BI4-aoj-d-05-0-UI.s1 /CLONE=IMAGE:3085089 /FEA=EST /CNT=39 /TID=Hs.38022.0 /TIER=Stack /STK=27 /UG=Hs.38022 /UG_TITLE=ESTs
