Gene	Clone	UG cluster	Fold-diff L/AT	t-value
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kDa)	1998708	Hs.76053	1.36	6.923
glioma pathogenesis-related protein	437868	Hs.154762	1.36	5.268
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2243954	Hs.388509	1.35	5.666
glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1	1552730		1.35	4.341
chromosome 20 open reading frame 21	1966132	Hs.11747	1.35	5.59
lamin B receptor	1803808	Hs.152931	1.35	4.572
syndecan 4 (amphiglycan, ryudocan)	5183574	Hs.252189	1.35	5.422
P311 protein	1555545	Hs.142827	1.35	6.253
ESTs	1512478	Hs.380770	1.35	4.703
Rab9 effector p40	1295430	Hs.19012	1.35	5.477
KIAA1813 protein	385733	Hs.25298	1.35	6.071
trophoblast glycoprotein	1283532	Hs.82128	1.34	5.723
KIAA0662 gene product	2790394	Hs.93868	1.34	5.695
tubulin, gamma 1	1997167	Hs.21635	1.34	4.952
DNA segment on chromosome 4 (unique) 234 expressed sequence	1369473	Hs.79404	1.34	5.578
Incyte EST	3933661		1.34	5.191
neutral sphingomyelinase (N-SMase) activation associated factor	1997302	Hs.78687	1.34	7.661
translation initiation factor IF2	1430662	Hs.158688	1.34	4.756
CUG triplet repeat, RNA binding protein 1	1995892	Hs.81248	1.33	5.294
ESTs, Moderately similar to Z254_HUMAN Zinc finger protein 254 (Bone marrow zinc finger 5) (BMZF-5) (Hematopoietic cell derived zinc finger protein 1) (HD-ZNF1) [H.sapiens]	2453528	Hs.409038	1.33	5.759
hypothetical protein FLJ20254	2627377	Hs.15356	1.33	5.211
tetratricopeptide repeat domain 3	1871722	Hs.118174	1.33	4.94
G protein-coupled receptor 56	1961223	Hs.6527	1.33	5.156
S100 calcium binding protein A13	2134356	Hs.14331	1.33	6.322
non-POU domain containing, octamer-binding	1900191	Hs.172207	1.32	4.886
hypothetical protein MGC18216	2230088	Hs.104679	1.32	6.621
KIAA0620 protein	1511346	Hs.301685	1.32	4.439
platelet/endothelial cell adhesion molecule (CD31 antigen)	887867	Hs.78146	1.32	5.491
ribosomal protein L7a	2579602	Hs.99858	1.32	4.415
GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	1699149	Hs.75354	1.32	5.185
mitochondrial ribosomal protein L43	1451660	Hs.151945	1.32	4.399
FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	1966067	Hs.183738	1.32	4.326
CUG triplet repeat, RNA binding protein 1	1966926	Hs.81248	1.32	5.409
spinocerebellar ataxia 1 (olivopontocerebellar ataxia 1, autosomal dominant, ataxin 1)	340088	Hs.74520	1.32	4.83
CDC26 subunit of anaphase promoting complex	1424755	Hs.3991	1.32	6.344
integrin cytoplasmic domain-associated protein 1	1996828	Hs.173274	1.32	7.686
annexin A7	1805836	Hs.78637	1.32	4.673
NS1-associated protein 1	2845548	Hs.373499	1.32	5.316
ribosomal protein S15	2027012	Hs.355560	1.32	4.394
collagen, type XVIII, alpha 1	1665141	Hs.78409	1.31	6.548
Williams Beuren syndrome chromosome region 22	1689223	Hs.155020	1.31	5.046
vacuolar protein sorting 4A (yeast)	1962269	Hs.234839	1.31	4.52
cyclin-dependent kinase 2	1735760	Hs.19192	1.31	5.871
hypothetical protein MGC2655	3127730	Hs.392713	1.31	6.165
vascular cell adhesion molecule 1	1642361	Hs.109225	1.31	4.775
YY1 transcription factor	2311839	Hs.97496	1.31	7.507
PL6 protein	1902646	Hs.91566	1.3	6.685
spermine synthase	2061432	Hs.89718	1.3	4.509
carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	550326	Hs.154868	1.3	4.627
branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)	1964194	Hs.78950	1.3	4.415
N-myristoyltransferase 1	1671251	Hs.111039	1.3	5.108
ESTs, Weakly similar to S57447 HPBRII-7 protein - human [H.sapiens]	2074045	Hs.409180	1.3	4.396
ESTs	1878026	Hs.120695	1.3	5.989
Sjogrens syndrome/scleroderma autoantigen 1	1923404	Hs.25723	1.29	4.929
RNA binding motif protein 12	2742315	Hs.180895	1.29	4.743
thymopoietin	56919		1.29	4.807
homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	2054420	Hs.146393	1.29	5.161
non-metastatic cells 3, protein expressed in	2455170	Hs.81687	1.29	5.079
Werner helicase interacting protein	3989540	Hs.236828	1.29	6.16
EST	970933	Hs.401109	1.29	6.773
Homo sapiens, clone IMAGE:4396549, mRNA, partial cds	1299193	Hs.405270	1.29	4.975
mannosidase, alpha, class 2A, member 2	1966756	Hs.295605	1.29	4.365
sin3-associated polypeptide, 18kDa	2293401	Hs.23964	1.29	6.366
B lymphoma Mo-MLV insertion region (mouse)	1985881	Hs.431	1.29	4.914
diptheria toxin resistance protein required for diphthamide biosynthesis-like 2 (S. cerevisiae)	1810821	Hs.324830	1.29	4.672
mitochondrial translational initiation factor 3	1527070	Hs.75113	1.28	5.01
ribosomal protein S3	143130	Hs.252259	1.28	4.683
N-methylpurine-DNA glycosylase	1467565	Hs.79396	1.28	6.741
likely homolog of mouse glucuronyl C5-epimerase	972608	Hs.183006	1.28	4.969
KIAA0800 gene product	1676311	Hs.118738	1.28	4.864
putative methyltransferase	1903759	Hs.268149	1.28	4.601
ZAP3 protein	1703309	Hs.159471	1.28	5.557
bridging integrator 1	1674835	Hs.193163	1.28	8.989
Friedreich ataxia	1630804	Hs.95998	1.28	5.064
phosphomannomutase 2	1677945	Hs.154695	1.27	4.832
ribosomal protein L3	337500	Hs.119598	1.27	5.742
ESTs, Weakly similar to hypothetical protein FLJ22184 [Homo sapiens] [H.sapiens]	1451756	Hs.23272	1.27	4.775
ADP-ribosylation-like factor 6 interacting protein 2	1923470	Hs.27099	1.27	4.935
protein tyrosine phosphatase, non-receptor type 12	1382374	Hs.62	1.27	5.68
hippocalcin-like 1	1692164	Hs.3618	1.26	5.555
Homo sapiens, clone IMAGE:3882977, mRNA, partial cds	1997493	Hs.350268	1.26	4.354
hypothetical protein MGC5149	1836450	Hs.284741	1.26	4.668
transducin (beta)-like 2	2112348	Hs.52515	1.26	6.804
tumor protein p53 binding protein, 2	1259219	Hs.44585	1.26	4.572
high-mobility group box 1	2099580	Hs.337757	1.26	4.719
carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	1287093	Hs.104576	1.25	5.256
translocation protein 1	1402260	Hs.8146	1.25	5.065
KIAA0863 protein	2019643	Hs.131915	1.25	4.587
mitogen-activated protein kinase kinase kinase 5	1814912	Hs.151988	1.25	5.453
hypothetical protein FLJ10392	2197670	Hs.20887	1.25	4.355
KIAA0187 gene product	1645971	Hs.10848	1.25	4.36
cyclin-dependent kinase 9 (CDC2-related kinase)	1959311	Hs.150423	1.25	4.574
similar to MOB-LAK	643900	Hs.97927	1.25	6.651
KIAA0842 protein	2083876	Hs.74569	1.25	4.439
hypothetical protein MGC14439	1782139	Hs.107001	1.25	4.452
ESTs	2785471	Hs.388060	1.25	4.643
dystrobrevin binding protein 1	2266744	Hs.43481	1.24	6.063
hypothetical protein FLJ10569	1000585	Hs.5105	1.24	4.948
hypothetical protein MGC2217	2291135	Hs.323164	1.24	4.721
ribosomal protein S27a	2132619	Hs.3297	1.24	4.368
hypothetical protein FLJ21877	584794	Hs.16063	1.24	4.67
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 28	2663948	Hs.155049	1.24	4.859
tubulin-specific chaperone d	2345411	Hs.12570	1.24	4.899
PRP4 pre-mRNA processing factor 4 homolog (yeast)	2671453	Hs.374973	1.24	6.948
glutamate rich WD repeat protein GRWD	1561867	Hs.218842	1.23	4.402
MpV17 transgene, murine homolog, glomerulosclerosis	1975110	Hs.75659	1.23	4.946
centaurin, gamma 3	884855	Hs.286084	1.23	5.291
hypothetical protein MGC45411	961530	Hs.380620	1.23	4.443
disrupted in bipolar disorder 1	1577463	Hs.120824	1.22	5.561
KIAA0409 protein	2106011	Hs.5158	1.22	5.272
hypothetical protein FLJ20643	1472206	Hs.5245	1.22	5.337
pyrroline 5-carboxylate reductase isoform	1988068	Hs.274287	1.22	4.59
zinc finger protein 22 (KOX 15)	2045756	Hs.108642	1.22	4.751
eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	448244	Hs.198899	1.22	5.023
lysosomal apyrase-like 1	429455	Hs.201377	1.22	5.476
hypothetical protein FLJ11136	2593434	Hs.274324	1.22	4.694
xeroderma pigmentosum, complementation group A	913006	Hs.192803	1.21	5.311
TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	1637427	Hs.78865	1.21	6.113
RAR-related orphan receptor A	1875576	Hs.2156	1.21	4.507
CCAAT-box-binding transcription factor	1392419	Hs.184760	1.21	4.929
similar to S. cerevisiae Sec6p and R. norvegicus rsec6	2271494	Hs.8088	1.21	4.551
squamous cell carcinoma antigen recognised by T cells 3	1760362	Hs.116875	1.2	4.369
hypothetical protein BC008647	3815422	Hs.102480	1.2	4.524
ESTs, Highly similar to S22655 translation elongation factor eEF-1 gamma chain - human [H.sapiens]	2763532	Hs.381229	1.2	4.38
hypothetical protein LOC51238	1424944	Hs.375177	1.2	5.206
likely ortholog of mouse sex-lethal interactor homolog (Drosophila)	375209	Hs.274319	1.19	6.65
R3H domain (binds single-stranded nucleic acids) containing	1290568	Hs.268053	1.19	4.775
hypothetical protein MGC14859	3594649	Hs.57100	1.19	4.347
polycystic kidney disease 1 (autosomal dominant)	1998106	Hs.75813	1.18	4.378
serologically defined colon cancer antigen 10	996291	Hs.23557	1.18	4.523
suppressor of Ty 6 homolog (S. cerevisiae)	3726095	Hs.12303	1.17	4.467
ataxia telangiectasia and Rad3 related	632440	Hs.77613	1.17	4.623
hypothetical protein FLJ11200	1879638	Hs.107381	1.16	4.8
ESTs	570595	Hs.389265	1.16	4.689
hypothetical protein FLJ20793	2099026	Hs.393334	1.16	4.784
likely ortholog of mouse variant polyadenylation protein CSTF-64	545550	Hs.21992	1.16	4.795
poly(A) polymerase alpha	2231450	Hs.49007	1.15	4.664
SMC1 structural maintenance of chromosomes 1-like 1 (yeast)	3074894	Hs.211602	1.14	4.525
ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	2122820	Hs.192853	1.13	4.713
chromosome 20 open reading frame 4	1342448	Hs.11314	1.12	4.379
hypothetical protein FLJ20343	2556708	Hs.252692	0.84	-6.472
cholinergic receptor, nicotinic, beta polypeptide 3	4337986	Hs.96094	0.83	-4.947
mutS (E. coli) homolog 5	1673638		0.83	-4.824
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1639631	Hs.27607	0.83	-4.9
hypothetical protein DKFZp434E1822	986558	Hs.17379	0.82	-4.407
Homo sapiens PAK2 mRNA, complete cds	1849154	Hs.284275	0.81	-4.602
hypothetical protein MGC12909	2687892	Hs.33862	0.8	-6.285
ADP-ribosylation-like factor 8	3367716	Hs.220929	0.8	-5.172
hypothetical protein MGC26706	2706048	Hs.65406	0.8	-4.91
FGFR1 oncogene partner	1919724	Hs.180296	0.8	-5.01
KIAA1084 protein	2007404	Hs.144028	0.8	-4.757
fragile histidine triad gene	793982	Hs.77252	0.79	-4.857
similar to hypothetical protein MGC13138	5570112	Hs.301463	0.79	-5.869
Incyte EST	1929565		0.78	-5.398
killer cell lectin-like receptor subfamily C, member 1	758924	Hs.74082	0.78	-5.476
ESTs	2373457	Hs.296100	0.78	-4.471
N-ethylmaleimide-sensitive factor attachment protein, gamma	1438127	Hs.7181	0.78	-4.56
interleukin 1 receptor-like 2	3988922	Hs.102865	0.78	-5.261
CASP2 and RIPK1 domain containing adaptor with death domain	747345	Hs.155566	0.77	-6.261
Human DNA sequence from cosmid 398G5 from a region of the tip of the short arm of chromosome 16, spanning 2Mb of 16p13.3. Contains RAR (RAS like GTPASE) like gene, an anonymous gene and ESTs. Contains CpG island	2571403		0.76	-4.634
adaptor protein containing pH domain, PTB domain and leucine zipper motif	676865	Hs.27413	0.76	-6.006
transcriptional intermediary factor 1	2495292	Hs.183858	0.76	-6.008
calpain 3, (p94)	2394888	Hs.40300	0.76	-4.572
interleukin 10	1747050	Hs.193717	0.75	-4.762
solute carrier family 2 (facilitated glucose transporter), member 4	879857	Hs.95958	0.75	-4.831
ESTs	64451	Hs.408932	0.75	-5.755
protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	284124	Hs.28219	0.75	-4.561
transmembrane protein 1	2285180	Hs.94479	0.74	-4.343
biotinidase	1623592	Hs.78885	0.74	-4.352
microtubule associated testis specific serine/threonine protein kinase	942423	Hs.101474	0.74	-4.995
ESTs	2093274	Hs.408834	0.74	-5.639
GTP binding protein 1	3327232	Hs.283677	0.73	-4.777
sperm associated antigen 9	2004896	Hs.129872	0.73	-5.541
REMOVED_FROM_DATABASE	90731		0.73	-4.979
protein phosphatase 1, regulatory (inhibitor) subunit 16A	2230748	Hs.12185	0.73	-6.379
homeo box B2	3818773	Hs.2733	0.73	-4.917
ATP-binding cassette, sub-family B (MDR/TAP), member 6	2190644	Hs.107911	0.73	-4.746
NCK adaptor protein 1	1833038	Hs.54589	0.72	-5.023
HUS1 checkpoint homolog (S. pombe)	2308302	Hs.152983	0.72	-4.864
diacylglycerol kinase, theta 110kDa	4776291	Hs.99932	0.72	-6.062
flavin containing monooxygenase 4	2462342	Hs.2664	0.72	-5.033
hypothetical protein MGC12335	1925734	Hs.97411	0.72	-8.698
asialoglycoprotein receptor 1	138274	Hs.12056	0.72	-4.656
CDC14 cell division cycle 14 homolog A (S. cerevisiae)	2950664	Hs.65993	0.72	-4.376
EST	2802675	Hs.21415	0.71	-4.495
vitamin A responsive; cytoskeleton related	3119351	Hs.92384	0.71	-4.933
KIAA0222 gene product	2918541	Hs.48450	0.71	-4.608
zinc finger protein 197	2811412	Hs.170341	0.71	-4.502
myosin, light polypeptide 5, regulatory	2118695	Hs.170482	0.71	-4.8
fyn-related kinase	1358415	Hs.89426	0.7	-4.951
AU RNA binding protein/enoyl-Coenzyme A hydratase	1967178	Hs.81886	0.7	-4.993
phospholipase A2, group IB (pancreas)	2383830	Hs.992	0.7	-4.528
ADP-ribosyltransferase 3	2011270	Hs.24976	0.7	-8.959
EST, Highly similar to MPK2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK2) [H.sapiens]	2916879	Hs.400970	0.7	-4.646
putative ankyrin-repeat containing protein	2626237	Hs.4996	0.7	-4.462
KIAA0310 gene product	1880859	Hs.5716	0.7	-4.782
EST, Highly similar to GSH1_HUMAN Glutamate--cysteine ligase catalytic subunit (Gamma-glutamylcysteine synthetase) (Gamma-ECS) (GCS heavy chain) [H.sapiens]	818192	Hs.151393	0.69	-4.922
heat shock 70kDa protein 1-like	535732	Hs.80288	0.69	-5.041
potassium channel modulatory factor	2326143	Hs.5392	0.69	-4.836
ESTs	4106720	Hs.12876	0.69	-4.421
phosphatidylinositol transfer protein, membrane-associated	2018218	Hs.93837	0.69	-4.879
KIAA0551 protein	1285663	Hs.170204	0.69	-7.084
ESTs, Weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]	2922560	Hs.24359	0.69	-6.013
ATP-binding cassette, sub-family C (CFTR/MRP), member 1	1725675	Hs.89433	0.68	-4.902
serine/threonine kinase 38	3318571	Hs.8724	0.68	-4.599
general transcription factor IIH, polypeptide 2, 44kDa	1352669	Hs.191356	0.68	-4.845
carnitine palmitoyltransferase 1B (muscle)	1439677	Hs.29331	0.68	-4.687
gamma-aminobutyric acid (GABA) A receptor, alpha 5	1291096	Hs.24969	0.67	-6.81
mercaptopyruvate sulfurtransferase	1755122	Hs.248267	0.67	-4.568
interleukin 6 receptor	873406	Hs.193400	0.67	-4.647
mitogen-activated protein kinase kinase kinase 13	4173045	Hs.377067	0.67	-5.899
serine/threonine kinase 17a (apoptosis-inducing)	2416415	Hs.9075	0.67	-4.391
amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	3563211	Hs.324125	0.66	-7.452
biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	2373443	Hs.351334	0.66	-7.508
ketohexokinase (fructokinase)	2516508	Hs.81454	0.66	-6.698
phosphoinositide-3-kinase, regulatory subunit, polypeptide 3 (p55, gamma)	2840772	Hs.372548	0.66	-4.61
hook2 protein	1394835	Hs.30792	0.65	-5.293
hypothetical protein DKFZp434M0331	2921913	Hs.48219	0.65	-9.005
propionyl Coenzyme A carboxylase, alpha polypeptide	196975	Hs.80741	0.64	-4.963
ESTs	1668733	Hs.408829	0.64	-6.212
hypothetical protein FLJ10824	1457726	Hs.13273	0.64	-5.863
monoglyceride lipase	2174920	Hs.6721	0.64	-5.957
voltage-dependent anion channel 1	2477073	Hs.149155	0.63	-6.518
chromosome 4 open reading frame 1	1433576	Hs.270956	0.63	-5.53
KIAA0143 protein	517085	Hs.84087	0.63	-5.608
gene with multiple splice variants near HD locus on 4p16.3	1996601	Hs.325987	0.62	-8.015
chromosome 22 open reading frame 19	1712347	Hs.75361	0.62	-5.887
Sec23 homolog A (S. cerevisiae)	974896	Hs.272927	0.62	-4.399
itchy homolog E3 ubiquitin protein ligase (mouse)	2383269	Hs.98074	0.61	-4.865
Human calcium-binding protein chp mRNA, complete cds	1869139	Hs.401014	0.6	-6.349
corticotropin releasing hormone	2501982	Hs.75294	0.6	-4.916
ectonucleotide pyrophosphatase/phosphodiesterase 1	1568123	Hs.11951	0.6	-8.878
solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	1939036	Hs.184276	0.6	-5.065
ESTs	2957644	Hs.296031	0.6	-6.413
peroxisome proliferative activated receptor, delta	2640712	Hs.106415	0.59	-5.074
RecQ protein-like 5	1486257	Hs.33818	0.59	-6.576
Incyte EST	3441835		0.59	-4.931
kinesin family member 1B	1781525	Hs.375193	0.59	-5.234
glioma tumor suppressor candidate region gene 1	1849419	Hs.97244	0.59	-8.996
potassium voltage-gated channel, Shaw-related subfamily, member 1	5015259	Hs.181768	0.59	-6.214
carnitine acetyltransferase	1506256	Hs.12068	0.58	-5.205
homeo box A9	459651	Hs.127428	0.58	-4.706
phosphodiesterase 6A, cGMP-specific, rod, alpha	4544094	Hs.182240	0.58	-9.107
enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	2235870	Hs.76394	0.57	-4.484
hypothetical protein MGC5178	2823937	Hs.274614	0.57	-5.033
carbonyl reductase 1	1633249	Hs.88778	0.57	-5.833
glutaminase	1832644	Hs.239189	0.57	-7.971
kinesin-associated protein 3	1633816	Hs.171374	0.57	-5.721
coronin, actin binding protein, 2A	2210264	Hs.44396	0.56	-4.898
electron-transferring-flavoprotein dehydrogenase	1833352	Hs.323468	0.56	-4.521
cystatin B (stefin B)	566886	Hs.695	0.56	-5.771
MAX interacting protein 1	875567	Hs.118630	0.55	-5.84
chromosome 20 open reading frame 3	1967339	Hs.22391	0.55	-5.304
IQ motif containing GTPase activating protein 2	1877913	Hs.78993	0.55	-4.375
ESTs	2416850	Hs.380683	0.55	-6.329
peroxisomal biogenesis factor 11A	3114289	Hs.31034	0.54	-8.56
KIAA0528 gene product	2918605	Hs.30656	0.54	-7.408
caspase 7, apoptosis-related cysteine protease	1421493	Hs.9216	0.54	-5.721
eyes absent homolog 2 (Drosophila)	2187925	Hs.29279	0.54	-7.018
cyclin-dependent kinase 3	2259295	Hs.100009	0.54	-8.221
uridine phosphorylase	1806435	Hs.77573	0.53	-5.668
nuclear receptor subfamily 1, group H, member 3	1512213	Hs.347353	0.51	-7.618
aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	5033671	Hs.177687	0.5	-4.813
adipose differentiation-related protein	1985104	Hs.3416	0.5	-5.703
Homo sapiens unknown mRNA	4299057	Hs.20707	0.5	-12.045
Fc fragment of IgG, low affinity IIb, receptor for (CD32)	2015871	Hs.82316	0.48	-4.33
KIAA0914 gene product	1458366	Hs.177664	0.48	-7.943
solute carrier family 23 (nucleobase transporters), member 2	2895047	Hs.136529	0.48	-7.363
enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	755574	Hs.1531	0.47	-4.806
carnitine O-octanoyltransferase	2317638	Hs.12743	0.46	-8.014
Homo sapiens mannosidase, alpha, class 1A, member 1 (MAN1A1), mRNA	963211	Hs.388080	0.46	-5.202
heme oxygenase (decycling) 1	1879811	Hs.202833	0.45	-5.487
glutamic-pyruvate transaminase (alanine aminotransferase)	1630709	Hs.103502	0.45	-6.91
prominin-like 1 (mouse)	2070568	Hs.112360	0.45	-5.451
hypothetical protein MGC11034	1998510	Hs.103378	0.43	-7.018
EST	1813156	Hs.401106	0.43	-6.936
cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 8	168865	Hs.174220	0.42	-4.672
hypothetical protein IR1899308	1444895	Hs.142846	0.39	-4.73
solute carrier family 38, member 4	778212	Hs.165655	0.36	-5.042
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	1807407	Hs.59889	0.35	-5.179
acyl-Coenzyme A oxidase 1, palmitoyl	1798585	Hs.379991	0.34	-7.063
neuropilin (NRP) and tolloid (TLL)-like 2	2159146	Hs.6823	0.33	-5.343
glypican 3	645584	Hs.119651	0.31	-4.824
solute carrier family 16 (monocarboxylic acid transporters), member 1	1981569	Hs.75231	0.3	-8.549
homeo box B6	606814	Hs.98428	0.29	-6.309
solute carrier family 16 (monocarboxylic acid transporters), member 1	733668	Hs.75231	0.27	-7.64
cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 18	2595728		0.26	-5.278
solute carrier family 20 (phosphate transporter), member 1	1846463	Hs.78452	0.26	-11.522
nuclear receptor subfamily 1, group H, member 4	214180	Hs.171683	0.2	-7.443
alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	2771046	Hs.1239	0.15	-6.04
meprin A, beta	2234609	Hs.194777	0.13	-8.553
regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)	2923150	Hs.1032	0.12	-6.986
paired-like homeodomain transcription factor 2	2794019	Hs.92282	0.12	-10.199
ethanolamine kinase	2718565	Hs.120439	0.07	-15.831
