RNA1	Other base	Group recurrence (n=37) Mean (range; standard deviation)	Group recurrence (n=37) Variance	Group recurrence (n=37) Median	Group no recurrence (n=40) Mean (range; standard deviation)	Group no recurrence (n=40) Variance	Group no recurrence (n=40) Median	Wilcoxon sum rank test2 W	Wilcoxon sum rank test2 P	Welchs t test3 Absolute t	Welchs t test3 Degrees of freedom	Welchs t test3 P
hsa-mir-503		0.94 (0.66-1.47; 0.16)	0.02	0.93	0.93 (0.62-1.72; 0.2)	0.04	0.89	1517	0.6611	0.13	73	0.899
hsa-mir-505		1.14 (0.68-1.6; 0.2)	0.04	1.14	1.13 (0.63-1.66; 0.24)	0.06	1.15	1569	0.9269	0.05	74	0.9615
hsa-mir-508		0.8 (0.46-1.4; 0.2)	0.04	0.75	0.92 (0.49-1.6; 0.25)	0.06	0.88	1790	0.019	2.43	73	0.016
hsa-mir-509-3		1.03 (0.5-1.85; 0.25)	0.06	0.98	1.02 (0.52-1.63; 0.26)	0.07	1.03	1567	0.9431	0.07	74	0.9469
hsa-mir-509		0.86 (0.46-1.49; 0.22)	0.05	0.83	0.93 (0.42-1.46; 0.24)	0.06	0.93	1743	0.0621	1.38	74	0.1709
hsa-mir-510		0.83 (0.53-1.19; 0.17)	0.03	0.81	1.04 (0.54-1.59; 0.22)	0.05	1.04	1955	0.0001	4.52	72	0.0001
hsa-mir-513a		1.11 (0.12-1.95; 0.49)	0.24	1.15	0.96 (0.11-2.1; 0.52)	0.28	1.03	1426	0.1719	1.29	74	0.1982
hsa-mir-516a		0.89 (0.42-1.76; 0.28)	0.08	0.86	0.95 (0.42-1.94; 0.31)	0.1	0.9	1660	0.3079	1.03	74	0.3078
hsa-mir-516b		0.9 (0.56-1.26; 0.18)	0.03	0.9	1.05 (0.61-1.43; 0.19)	0.04	1.04	1853	0.0028	3.39	74	0.001
hsa-mir-518a		1.05 (0.57-1.84; 0.31)	0.09	1.02	1.24 (0.69-2.56; 0.39)	0.15	1.22	1786	0.0212	2.34	73	0.021
hsa-mir-518a,hsa-mir-527		0.93 (0.61-1.63; 0.21)	0.04	0.9	0.96 (0.61-1.85; 0.27)	0.07	0.91	1590	0.7597	0.68	72	0.5009
hsa-mir-518b		1.03 (0.54-1.98; 0.31)	0.1	0.95	1.21 (0.57-2.02; 0.35)	0.13	1.14	1791	0.0185	2.34	74	0.0199
hsa-mir-518c		1.05 (0.72-1.39; 0.17)	0.03	1.02	0.99 (0.64-1.46; 0.22)	0.05	0.98	1438	0.2136	1.18	72	0.2405
hsa-mir-518e,hsa-mir-519a,hsa-mir-519b,hsa-mir-519c,hsa-mir-522,hsa-mir-523		1.01 (0.52-1.85; 0.28)	0.08	0.97	1.01 (0.52-1.97; 0.29)	0.08	0.97	1562	0.9837	0.03	74	0.9802
hsa-mir-519d		1.08 (0.56-1.78; 0.3)	0.09	1.05	1.13 (0.56-2.97; 0.55)	0.3	0.98	1512	0.6246	0.55	61	0.5907
hsa-mir-519e		0.81 (0.47-1.26; 0.17)	0.03	0.78	0.98 (0.59-1.58; 0.22)	0.05	0.97	1918	0.0003	3.9	73	0.0002
hsa-mir-520d		0.79 (0.5-1.1; 0.13)	0.02	0.75	0.82 (0.52-1.3; 0.17)	0.03	0.8	1613	0.5889	0.81	73	0.4233
hsa-mir-524		1.14 (0.88-1.77; 0.19)	0.04	1.13	1.08 (0.82-1.66; 0.21)	0.04	1.03	1352	0.0339	1.31	74	0.1984
hsa-mir-525		0.9 (0.59-1.43; 0.17)	0.03	0.9	1.04 (0.7-1.5; 0.17)	0.03	1.03	1902	0.0005	3.56	74	0.0002
hsa-mir-526b		1.08 (0.56-2.22; 0.34)	0.11	1	1.06 (0.63-2.28; 0.35)	0.12	1	1562	0.9837	0.25	74	0.8073
hsa-mir-526b		0.84 (0.58-1.25; 0.14)	0.02	0.81	0.91 (0.48-1.32; 0.17)	0.03	0.95	1755	0.0468	1.86	73	0.0682
hsa-mir-542		1.08 (0.26-1.69; 0.38)	0.15	1.09	0.97 (0.17-1.97; 0.47)	0.22	1.02	1449	0.2578	1.17	74	0.2426
hsa-mir-542		0.94 (0.48-1.62; 0.31)	0.1	0.93	1.22 (0.52-1.99; 0.38)	0.14	1.23	1871	0.0015	3.59	74	0.0007
hsa-mir-548b		0.92 (0.49-1.31; 0.2)	0.04	0.9	1.08 (0.62-1.66; 0.26)	0.07	1.05	1806	0.0121	2.9	73	0.0047
hsa-mir-549		0.92 (0.63-1.55; 0.17)	0.03	0.91	1.02 (0.72-1.54; 0.18)	0.03	1.03	1821	0.0078	2.38	74	0.0204
hsa-mir-550-1		1.2 (0.64-2.12; 0.32)	0.1	1.19	1.09 (0.68-1.51; 0.21)	0.04	1.05	1434	0.1989	1.75	60	0.0851
hsa-mir-550-1		0.67 (0.21-1.27; 0.24)	0.06	0.72	0.78 (0.26-1.44; 0.33)	0.11	0.75	1681	0.2173	1.56	71	0.1193
hsa-mir-551a		0.88 (0.45-1.29; 0.19)	0.04	0.88	1 (0.53-1.42; 0.22)	0.05	1.06	1820	0.008	2.54	74	0.0121
hsa-mir-551b		0.89 (0.48-1.56; 0.21)	0.05	0.86	0.97 (0.47-1.71; 0.28)	0.08	0.99	1733	0.0778	1.46	72	0.1473
hsa-mir-551b		0.96 (0.63-1.23; 0.16)	0.03	0.93	1.03 (0.68-1.69; 0.22)	0.05	0.99	1697	0.1625	1.74	70	0.0845
hsa-mir-552		0.92 (0.32-1.64; 0.28)	0.08	0.9	1 (0.48-1.79; 0.3)	0.09	0.98	1676	0.2369	1.18	74	0.2394
hsa-mir-553		1.02 (0.65-1.41; 0.17)	0.03	0.99	1.18 (0.7-1.64; 0.22)	0.05	1.15	1904	0.0005	3.67	73	0.0001
hsa-mir-557		0.84 (0.43-2.84; 0.46)	0.21	0.73	0.96 (0.35-2.75; 0.46)	0.21	0.88	1735	0.0744	1.17	74	0.2564
hsa-mir-574		1.05 (0.29-1.81; 0.33)	0.11	1.02	0.98 (0.24-1.89; 0.4)	0.16	1.03	1497	0.5207	0.84	73	0.4073
hsa-mir-574		1.06 (0.39-1.71; 0.3)	0.09	1.09	1.19 (0.53-2.05; 0.31)	0.1	1.16	1717	0.1094	1.85	74	0.0705
hsa-mir-576		1.08 (0.56-1.72; 0.25)	0.06	1.12	1.09 (0.59-1.88; 0.27)	0.07	1.1	1551	0.9269	0.25	74	0.7941
hsa-mir-583		0.96 (0.54-1.56; 0.2)	0.04	0.93	1.02 (0.63-2.01; 0.23)	0.05	0.99	1699	0.1564	1.39	74	0.1685
hsa-mir-584		0.86 (0.39-1.42; 0.29)	0.09	0.88	1.1 (0.49-1.98; 0.35)	0.12	1.14	1855	0.0026	3.25	74	0.0019
hsa-mir-585		1.01 (0.54-1.77; 0.3)	0.09	0.9	1.24 (0.62-2.38; 0.4)	0.16	1.25	1824	0.0071	2.85	71	0.0057
hsa-mir-586		0.98 (0.43-1.42; 0.23)	0.05	1.02	1.16 (0.69-1.63; 0.24)	0.06	1.23	1877	0.0012	3.35	74	0.0007
hsa-mir-596		0.87 (0.43-1.44; 0.25)	0.06	0.87	1.06 (0.56-2.05; 0.34)	0.12	0.98	1786	0.0212	2.79	71	0.0062
hsa-mir-600		0.95 (0.6-1.96; 0.25)	0.06	0.88	0.9 (0.52-1.98; 0.3)	0.09	0.8	1405	0.114	0.79	74	0.429
hsa-mir-602		0.75 (0.25-1.07; 0.2)	0.04	0.76	0.8 (0.25-1.19; 0.22)	0.05	0.86	1663	0.2937	1.02	74	0.3093
hsa-mir-611		1.42 (0.88-3.46; 0.49)	0.24	1.29	1.56 (0.8-2.52; 0.4)	0.16	1.55	1768	0.0339	1.34	69	0.1875
hsa-mir-612		1.04 (0.67-1.74; 0.23)	0.05	1.03	1.25 (0.78-1.92; 0.25)	0.06	1.3	1910	0.0004	3.74	74	0.0003
hsa-mir-615		0.93 (0.66-1.41; 0.22)	0.05	0.84	1.1 (0.6-1.85; 0.29)	0.09	1.08	1820	0.008	2.83	71	0.0061
hsa-mir-617		0.95 (0.48-1.74; 0.32)	0.1	0.85	1.2 (0.67-1.95; 0.3)	0.09	1.17	1906	0.0004	3.51	73	0.0008
hsa-mir-620		1.07 (0.32-1.57; 0.3)	0.09	1.13	0.93 (0.3-1.39; 0.31)	0.1	0.95	1364	0.0457	2.13	74	0.0373
hsa-mir-622		1.07 (0.6-2; 0.36)	0.13	0.98	1.33 (0.69-2.2; 0.37)	0.14	1.35	1854	0.0027	3.19	74	0.0024
hsa-mir-623		0.9 (0.53-1.42; 0.27)	0.07	0.85	1.23 (0.51-2.31; 0.43)	0.18	1.17	1904	0.0005	4.1	65	0.0001
hsa-mir-625		1.01 (0.61-1.47; 0.2)	0.04	0.99	1.13 (0.66-1.83; 0.25)	0.06	1.14	1781	0.0242	2.31	73	0.0255
hsa-mir-625		1.07 (0.72-1.94; 0.27)	0.07	1.05	1.14 (0.61-1.76; 0.29)	0.09	1.11	1693	0.1751	1.13	74	0.2586
hsa-mir-628		1.01 (0.3-1.42; 0.24)	0.06	1.05	1.02 (0.43-1.82; 0.32)	0.1	1.02	1572	0.9026	0.23	72	0.8181
hsa-mir-629		0.91 (0.57-1.4; 0.18)	0.03	0.91	0.92 (0.42-1.58; 0.26)	0.07	0.87	1555	0.9593	0.21	70	0.8412
hsa-mir-630		0.98 (0.67-1.43; 0.22)	0.05	0.95	1.23 (0.71-1.76; 0.25)	0.06	1.22	1957	0.0001	4.65	74	0
hsa-mir-631		0.75 (0.34-2.07; 0.32)	0.1	0.66	1.05 (0.41-2.44; 0.51)	0.26	0.97	1865	0.0019	3.21	66	0.0017
hsa-mir-634		0.93 (0.41-1.3; 0.2)	0.04	0.93	1 (0.55-1.52; 0.25)	0.06	1.02	1661	0.3031	1.33	73	0.1914
hsa-mir-635		0.88 (0.58-1.2; 0.15)	0.02	0.87	1.02 (0.62-1.55; 0.23)	0.05	0.99	1866	0.0018	3.26	66	0.0015
hsa-mir-636		0.97 (0.68-1.57; 0.2)	0.04	0.95	1.08 (0.72-1.69; 0.23)	0.05	1.05	1782	0.0236	2.32	74	0.0225
hsa-mir-637		1 (0.43-1.87; 0.33)	0.11	0.95	1.04 (0.39-1.88; 0.37)	0.13	0.99	1594	0.7289	0.46	74	0.6542
hsa-mir-638		0.95 (0.56-1.68; 0.27)	0.07	0.88	1.23 (0.47-2.08; 0.37)	0.14	1.21	1908	0.0004	3.77	71	0.0004
hsa-mir-640		0.83 (0.52-1.36; 0.23)	0.05	0.81	1.02 (0.49-2.08; 0.31)	0.09	0.99	1840	0.0043	3.09	72	0.002
hsa-mir-642		0.9 (0.52-1.4; 0.22)	0.05	0.88	1.09 (0.67-1.75; 0.25)	0.06	1.08	1868	0.0017	3.49	74	0.0011
hsa-mir-645		1.03 (0.68-1.64; 0.23)	0.05	1.01	1.3 (0.6-2.13; 0.43)	0.19	1.23	1831	0.0057	3.46	60	0.0008
hsa-mir-647		0.93 (0.71-1.28; 0.14)	0.02	0.93	0.94 (0.62-1.46; 0.16)	0.02	0.93	1620	0.5407	0.35	74	0.7349
hsa-mir-657		0.91 (0.52-1.34; 0.21)	0.04	0.9	1.14 (0.58-1.85; 0.27)	0.07	1.12	1928	0.0002	4.25	72	0
hsa-mir-658		0.9 (0.63-1.19; 0.12)	0.02	0.9	0.88 (0.65-1.13; 0.13)	0.02	0.89	1517	0.6611	0.68	74	0.5045
hsa-mir-659		0.97 (0.51-2.14; 0.4)	0.16	0.83	1.02 (0.46-2.16; 0.36)	0.13	0.92	1662	0.2984	0.54	72	0.5952
hsa-mir-663		0.81 (0.39-1.47; 0.25)	0.06	0.77	0.97 (0.42-1.66; 0.33)	0.11	0.91	1778	0.0262	2.49	72	0.0141
hsa-mir-665		0.91 (0.3-1.67; 0.3)	0.09	0.89	1.09 (0.41-1.89; 0.34)	0.12	1.03	1797	0.0157	2.43	74	0.0174
hsa-mir-668		1.06 (0.38-1.83; 0.31)	0.1	1.09	1.06 (0.5-3.68; 0.59)	0.34	0.87	1437	0.2098	0.04	60	0.97
hsa-mir-671		0.89 (0.55-1.55; 0.28)	0.08	0.79	0.98 (0.44-1.54; 0.3)	0.09	0.93	1693	0.1751	1.37	74	0.1707
hsa-mir-675		0.82 (0.4-1.56; 0.3)	0.09	0.77	0.94 (0.35-1.42; 0.26)	0.07	0.98	1760	0.0414	1.78	71	0.0755
hsa-mir-708		1.46 (0.54-5.08; 0.95)	0.91	1.21	1.02 (0.41-5.04; 0.75)	0.56	0.81	1208	0.0003	2.27	68	0.0186
hsa-mir-720		1.21 (0.46-3.39; 0.53)	0.28	1.14	0.98 (0.43-3.59; 0.58)	0.34	0.84	1315	0.0125	1.83	74	0.0699
hsa-mir-765		1.13 (0.58-1.75; 0.24)	0.06	1.1	1.13 (0.7-2.09; 0.27)	0.07	1.07	1525	0.7212	0.14	74	0.8842
hsa-mir-766		1.02 (0.66-1.62; 0.21)	0.04	0.98	1.11 (0.66-2.33; 0.31)	0.1	1.06	1702	0.1477	1.61	68	0.1129
hsa-mir-874		0.82 (0.39-1.24; 0.21)	0.05	0.82	1.02 (0.5-2.18; 0.34)	0.11	0.97	1841	0.0042	3.14	66	0.0026
hsa-mir-877		1.05 (0.77-1.43; 0.16)	0.03	1.05	1.22 (0.75-1.79; 0.25)	0.06	1.16	1877	0.0012	3.7	66	0.0005
hsa-mir-885		0.95 (0.69-1.16; 0.13)	0.02	0.99	1.04 (0.61-1.53; 0.23)	0.05	1.04	1753	0.0491	2.18	61	0.032
hsa-mir-886		1.26 (0.17-5.21; 1.21)	1.46	0.71	0.83 (0.22-4.34; 0.82)	0.68	0.52	1383	0.0711	1.82	62	0.0688
hsa-mir-886		1.09 (0.17-3.9; 0.97)	0.93	0.73	0.95 (0.2-8.42; 1.33)	1.78	0.54	1446	0.2451	0.52	71	0.6583
hsa-mir-887		0.94 (0.56-1.93; 0.27)	0.07	0.85	0.87 (0.44-3.23; 0.47)	0.22	0.77	1360	0.0414	0.81	63	0.4559
hsa-mir-888		1 (0.19-1.97; 0.33)	0.11	1.07	0.84 (0.23-1.75; 0.38)	0.14	0.87	1355	0.0366	1.94	74	0.0548
hsa-mir-890		1.07 (0.79-1.53; 0.14)	0.02	1.04	1.1 (0.67-1.57; 0.19)	0.04	1.1	1670	0.2621	0.82	71	0.4109
hsa-mir-891a		0.92 (0.63-1.48; 0.18)	0.03	0.9	1.17 (0.67-3.05; 0.44)	0.2	1.05	1896	0.0006	3.36	52	0.0001
hsa-mir-920		1.02 (0.66-1.95; 0.25)	0.06	0.97	1.18 (0.64-2.21; 0.35)	0.12	1.12	1821	0.0078	2.37	71	0.0208
hsa-mir-921		0.92 (0.23-1.59; 0.29)	0.09	0.93	0.95 (0.28-1.65; 0.36)	0.13	1	1637	0.4324	0.51	74	0.6141
hsa-mir-92b		0.75 (0.36-1.36; 0.24)	0.06	0.75	0.99 (0.44-2.04; 0.31)	0.1	0.94	1915	0.0003	3.71	72	0.0006
hsa-mir-93		1.45 (0.3-4.81; 1.04)	1.08	1.12	0.83 (0.19-6.26; 1.01)	1.01	0.53	1164	0.0001	2.67	74	0.0052
hsa-mir-933		1 (0.64-1.65; 0.22)	0.05	0.98	0.92 (0.65-1.41; 0.2)	0.04	0.92	1391	0.0849	1.66	73	0.0999
hsa-mir-934		1.02 (0.46-1.39; 0.2)	0.04	1.04	1 (0.53-1.54; 0.24)	0.06	1.02	1515	0.6464	0.31	74	0.7633
hsa-mir-938		0.86 (0.53-2.03; 0.32)	0.1	0.79	1.08 (0.51-3.34; 0.64)	0.41	0.81	1704	0.1421	1.91	58	0.0572
hsa-mir-939		0.91 (0.57-1.26; 0.17)	0.03	0.92	1.05 (0.61-1.47; 0.18)	0.03	1.06	1859	0.0023	3.29	74	0.0015
hsa-mir-943		0.89 (0.45-1.67; 0.28)	0.08	0.86	1.08 (0.43-1.68; 0.3)	0.09	1.05	1856	0.0025	2.96	74	0.0033
hsa-mir-99a		1.18 (0.52-3.77; 0.76)	0.57	0.92	0.85 (0.44-2.23; 0.31)	0.1	0.78	1353	0.0348	2.47	46	0.0111
hsa-mir-99b		0.96 (0.41-1.51; 0.26)	0.07	0.92	0.85 (0.48-1.1; 0.12)	0.01	0.83	1347	0.0299	2.43	49	0.0175
hsa-mir-99b		1 (0.67-1.76; 0.28)	0.08	0.92	1.15 (0.65-3.18; 0.45)	0.2	1.01	1744	0.0607	1.75	66	0.0855
	miRPlus_11239	0.95 (0.6-1.4; 0.17)	0.03	0.93	1.1 (0.64-1.86; 0.26)	0.07	1.04	1813	0.0099	2.88	67	0.0048
	miRPlus_17848	1.22 (0.33-4.65; 1)	0.99	0.79	0.9 (0.31-4.91; 0.85)	0.71	0.63	1373	0.0566	1.53	70	0.13
	miRPlus_17869	0.92 (0.62-1.4; 0.2)	0.04	0.88	0.98 (0.53-1.45; 0.2)	0.04	0.99	1715	0.114	1.43	74	0.1597
	miRPlus_17892	0.89 (0.39-1.56; 0.26)	0.07	0.92	1.03 (0.47-1.92; 0.37)	0.14	1.05	1727	0.0886	1.86	70	0.0645
	miRPlus_17952	0.87 (0.53-1.37; 0.17)	0.03	0.87	1.02 (0.6-1.46; 0.18)	0.03	0.99	1916	0.0003	3.74	74	0.0007
	miRPlus_17955	0.87 (0.65-1.34; 0.15)	0.02	0.84	0.98 (0.58-1.58; 0.2)	0.04	0.93	1813	0.0099	2.74	72	0.0069
	miRPlus_27560	0.94 (0.53-1.56; 0.27)	0.07	0.89	1.15 (0.49-1.89; 0.36)	0.13	1.15	1827	0.0065	2.99	72	0.0052
	miRPlus_28302	1.19 (0.4-2.03; 0.47)	0.22	1	0.9 (0.45-1.6; 0.27)	0.08	0.82	1278	0.004	3.22	56	0.0009
	miRPlus_42487	1.49 (1-2.67; 0.33)	0.11	1.49	1.38 (0.87-2; 0.27)	0.07	1.39	1433	0.1954	1.68	69	0.0954
	miRPlus_42521	0.99 (0.67-1.54; 0.18)	0.03	0.97	1.11 (0.71-1.66; 0.25)	0.06	1.12	1795	0.0166	2.6	71	0.0111
	miRPlus_42526	1.13 (0.84-1.47; 0.15)	0.02	1.12	1.15 (0.88-1.51; 0.15)	0.02	1.13	1589	0.7675	0.31	74	0.7562
	miRPlus_42745	0.94 (0.63-1.44; 0.2)	0.04	0.9	1.09 (0.59-1.54; 0.24)	0.06	1.11	1861	0.0021	3	74	0.0038
	miRPlus_42780	1.04 (0.66-1.83; 0.31)	0.1	0.97	0.97 (0.59-1.98; 0.35)	0.12	0.87	1411	0.1287	0.96	74	0.3435
	miRPlus_42793	0.97 (0.64-1.46; 0.19)	0.04	0.92	1.05 (0.7-1.63; 0.23)	0.05	1.04	1732	0.0795	1.73	73	0.0885
	miRPlus_42838	0.86 (0.47-1.29; 0.2)	0.04	0.87	1.07 (0.51-1.91; 0.3)	0.09	1.09	1911	0.0003	3.73	68	0.0001
	miRPlus_42856	1.31 (0.63-2.28; 0.42)	0.17	1.23	1.17 (0.69-1.95; 0.29)	0.09	1.14	1438	0.2136	1.64	63	0.1011
