Probe Set ID	test AP-2g siRNA	reference	FC	Pval	Gene Symbol
204112_s_at	9.689 (8.781 to 10.38)	10.46 (10.12 to 10.68)	-1.7	0.00772	HNMT
218039_at	8.922 (7.859 to 9.471)	9.843 (9.714 to 9.962)	-1.89	0.00772	NUSAP1
218009_s_at	9.396 (8.29 to 9.94)	10.37 (10.2 to 10.49)	-1.97	0.00775	PRC1
242338_at	10.12 (9.511 to 10.55)	10.75 (10.67 to 10.88)	-1.55	0.00775	TMEM64
205807_s_at	10.76 (10.19 to 11.75)	9.834 (9.783 to 9.932)	1.9	0.00775	TUFT1
205393_s_at	7.006 (6.193 to 7.544)	7.796 (7.444 to 8.066)	-1.73	0.00781	CHEK1
204510_at	7.494 (6.801 to 7.902)	8.127 (7.862 to 8.374)	-1.55	0.00786	CDC7
206461_x_at	9.338 (8.621 to 9.788)	10.09 (9.825 to 10.42)	-1.68	0.00793	MT1H
1555724_s_at	11.18 (9.023 to 12.88)	9.115 (8.889 to 9.385)	4.18	0.00815	TAGLN
232238_at	5.669 (4.976 to 6.076)	6.374 (5.984 to 6.628)	-1.63	0.00817	ASPM
219471_at	8.305 (7.91 to 8.957)	7.662 (7.616 to 7.717)	1.56	0.00817	C13orf18
203214_x_at	9.05 (8.038 to 9.727)	10.07 (9.924 to 10.22)	-2.03	0.00817	CDC2
211959_at	9.702 (8.753 to 10.2)	8.579 (7.948 to 9.223)	2.18	0.00817	IGFBP5
202567_at	10.57 (9.849 to 10.96)	11.16 (10.99 to 11.29)	-1.51	0.00817	SNRPD3
205547_s_at	10.75 (8.454 to 12.51)	8.537 (8.333 to 8.764)	4.62	0.00818	TAGLN
214505_s_at	8.642 (8.191 to 9.306)	8.049 (7.931 to 8.184)	1.51	0.00826	FHL1
220651_s_at	7.929 (7.302 to 8.37)	8.584 (8.428 to 8.693)	-1.57	0.00826	MCM10
205053_at	8.716 (8.086 to 9.274)	9.392 (9.169 to 9.593)	-1.6	0.00826	PRIM1
218807_at	9.032 (8.447 to 9.455)	9.797 (9.347 to 10.26)	-1.7	0.00826	VAV3
204542_at	8.628 (8.178 to 9.25)	9.343 (9.224 to 9.432)	-1.64	0.00827	ST6GALNAC2
1559060_a_at	6.828 (6.108 to 7.52)	6.006 (5.793 to 6.153)	1.77	0.00836	KIAA1961
219978_s_at	8.155 (7.445 to 8.665)	8.884 (8.726 to 9.047)	-1.66	0.00836	NUSAP1
222118_at	7.492 (6.874 to 7.962)	8.121 (7.881 to 8.288)	-1.55	0.00839	CENPN
218663_at	6.964 (5.685 to 7.626)	8.041 (7.881 to 8.191)	-2.11	0.00843	HCAP-G
225655_at	9.143 (8.397 to 9.593)	9.844 (9.654 to 9.961)	-1.63	0.00847	UHRF1
222303_at	8.142 (7.761 to 8.939)	7.548 (7.295 to 7.771)	1.51	0.0085	---
203213_at	9.092 (7.822 to 9.84)	10.26 (10.08 to 10.39)	-2.25	0.0085	CDC2
201258_at	12.39 (11.66 to 12.8)	12.97 (12.88 to 13.14)	-1.5	0.0085	RPS16
225895_at	6.658 (6.216 to 7)	7.477 (6.98 to 7.975)	-1.76	0.0085	SYNPO2
202589_at	9.533 (8.708 to 9.949)	10.31 (10.24 to 10.35)	-1.71	0.0085	TYMS
205100_at	8.429 (7.745 to 8.817)	7.77 (7.72 to 7.915)	1.58	0.00898	GFPT2
216021_s_at	8.061 (7.675 to 8.723)	7.281 (6.805 to 7.757)	1.72	0.00898	GLRA3
224990_at	10.89 (10.18 to 11.39)	11.6 (11.18 to 11.91)	-1.63	0.00907	C4orf34
208581_x_at	10.17 (9.491 to 10.6)	10.96 (10.6 to 11.34)	-1.72	0.00916	MT1X
217165_x_at	9.116 (8.561 to 9.489)	9.709 (9.477 to 10)	-1.51	0.00934	MT1F
200629_at	10.74 (9.741 to 11.16)	11.43 (11.38 to 11.53)	-1.62	0.00937	WARS
205916_at	10.69 (8.687 to 11.25)	11.95 (11.65 to 12.26)	-2.4	0.00942	S100A7
204437_s_at	7.864 (7.186 to 8.494)	8.579 (8.536 to 8.64)	-1.64	0.00947	FOLR1
202659_at	9.918 (9.371 to 10.4)	10.55 (10.32 to 10.77)	-1.55	0.00947	PSMB10
222606_at	8.428 (7.595 to 8.974)	9.139 (8.878 to 9.309)	-1.64	0.00947	ZWILCH
224753_at	8.826 (8.085 to 9.392)	9.517 (9.266 to 9.731)	-1.61	0.00953	CDCA5
207126_x_at	10.13 (9.416 to 10.43)	9.553 (9.295 to 9.787)	1.49	0.00953 UGT1A4
