Probe Set ID	Gene Symbol	Gene Name	Chromosomal location	SNR	Upregulated in
208580_x_at	HIST1H4J	histone cluster 1, H4j	6p22-p21.3	-0.56	nonMBC
213447_at	IPW	imprinted in Prader-Willi syndrome (non-protein coding)	15q11-q12	-0.56	nonMBC
212419_at	ZCCHC24	zinc finger, CCHC domain containing 24	10q22.3	-0.56	nonMBC
219561_at	COPZ2	coatomer protein complex, subunit zeta 2	17q21.32	-0.57	nonMBC
213139_at	SNAI2	snail homolog 2 (Drosophila)	8q11	-0.57	nonMBC
224997_x_at	H19	H19, imprinted maternally expressed transcript (non-protein coding)	11p15.5	-0.57	nonMBC
227909_at	NCRNA00086	non-protein coding RNA 86	Xq26.3	-0.57	nonMBC
227326_at	MXRA7	matrix-remodelling associated 7	17q25.1-q25.2	-0.57	nonMBC
1555269_a_at	ANO1	anoctamin 1, calcium activated chloride channel	11q13.3	-0.57	nonMBC
212169_at	FKBP9	FK506 binding protein 9, 63 kDa	7p11.1	-0.57	nonMBC
220117_at	ZNF385D	zinc finger protein 385D	3p24.3	-0.57	nonMBC
227561_at	DDR2	discoidin domain receptor tyrosine kinase 2	1q23.3	-0.57	nonMBC
214629_x_at	RTN4	reticulon 4	2p16.3	-0.58	nonMBC
209210_s_at	FERMT2	fermitin family homolog 2 (Drosophila)	14q22.2	-0.58	nonMBC
208683_at	CAPN2	calpain 2, (m/II) large subunit	1q41-q42	-0.58	nonMBC
205265_s_at	SPEG	SPEG complex locus	2q35	-0.58	nonMBC
223279_s_at	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	15q22-q24	-0.58	nonMBC
215071_s_at	HIST1H2AC	histone cluster 1, H2ac	6p21.3	-0.58	nonMBC
212077_at	CALD1	caldesmon 1	7q33	-0.59	nonMBC
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta	10q23.3	-0.59	nonMBC
209537_at	EXTL2	exostoses (multiple)-like 2	1p21	-0.59	nonMBC
212807_s_at	SORT1	sortilin 1	1p21.3-p13.1|1p21.3-p13.1	-0.59	nonMBC
224693_at	C20orf108	chromosome 20 open reading frame 108	20q13.2	-0.59	nonMBC
205918_at	SLC4A3	solute carrier family 4, anion exchanger, member 3	2q36	-0.59	nonMBC
217890_s_at	PARVA	parvin, alpha	11p15.3	-0.59	nonMBC
225975_at	PCDH18	protocadherin 18	4q31	-0.6	nonMBC
218531_at	TMEM134	transmembrane protein 134	11q13.1	-0.6	nonMBC
232035_at	HIST1H4H	histone cluster 1, H4h	6p21.3	-0.6	nonMBC
214505_s_at	FHL1	four and a half LIM domains 1	Xq26	-0.6	nonMBC
227183_at	LOC728264	hypothetical protein LOC728264	5q33.1	-0.6	nonMBC
209618_at	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	5p15.2	-0.6	nonMBC
208782_at	FSTL1	follistatin-like 1	3q13.33	-0.6	nonMBC
210132_at	EFNA3	ephrin-A3	1q21-q22	-0.61	nonMBC
203797_at	VSNL1	visinin-like 1	2p24.3	-0.62	nonMBC
242133_s_at	LOC654342	similar to lymphocyte-specific protein 1	2p11.1	-0.62	nonMBC
212776_s_at	OBSL1	obscurin-like 1	2q35	-0.62	nonMBC
204083_s_at	TPM2	tropomyosin 2 (beta)	9p13.2-p13.1	-0.63	nonMBC
215146_s_at	TTC28	tetratricopeptide repeat domain 28	22q12.1	-0.64	nonMBC
228865_at	C1orf116	chromosome 1 open reading frame 116	1q32.1	-0.64	nonMBC
208636_at	ACTN1	actinin, alpha 1	14q24.1-q24.2|14q24|14q22-q24	-0.66	nonMBC
209106_at	NCOA1	nuclear receptor coactivator 1	2p23	-0.66	nonMBC
208789_at	PTRF	polymerase I and transcript release factor	17q21.31	-0.66	nonMBC
203924_at	GSTA1	glutathione S-transferase alpha 1	6p12.1	-0.66	nonMBC
205547_s_at	TAGLN	transgelin	11q23.2	-0.67	nonMBC
216060_s_at	DAAM1	dishevelled associated activator of morphogenesis 1	14q23.1	-0.68	nonMBC
201058_s_at	MYL9	myosin, light chain 9, regulatory	20q11.23	-0.68	nonMBC
224817_at	SH3PXD2A	SH3 and PX domains 2A	10q24.33	-0.69	nonMBC
202555_s_at	MYLK	myosin light chain kinase	3q21	-0.69	nonMBC
212162_at	KIDINS220	kinase D-interacting substrate, 220kDa	2p24	-0.73	nonMBC
218418_s_at	KANK2	KN motif and ankyrin repeat domains 2	19p13.2	-0.73	nonMBC
214771_x_at	MPRIP	myosin phosphatase Rho interacting protein	17p11.2	-0.75	nonMBC
202274_at	ACTG2	actin, gamma 2, smooth muscle, enteric	2p13.1	-0.75	nonMBC
224184_s_at	BOC	Boc homolog (mouse)	3q13.2	-0.76	nonMBC
209427_at	SMTN	smoothelin	22q12.2	-0.78	nonMBC
