Gene	Clone	UG cluster	Fold-diff L/AT	t-value
mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	4177354	Hs.121502	1.39	6.675
zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)	220924	Hs.37096	1.39	7.667
EST	518305	Hs.26295	1.39	5.417
nuclear receptor coactivator 1	939126	Hs.74002	1.38	5.763
NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	1960940	Hs.182255	1.38	5.479
branched chain aminotransferase 2, mitochondrial	2191545	Hs.101408	1.38	6.306
C1q and tumor necrosis factor related protein 5	1377227	Hs.157211	1.38	4.696
hypothetical protein BC007901	2132424	Hs.10083	1.38	5.104
nucleolar protein 5A (56kDa with KKE/D repeat)	1524885	Hs.296585	1.38	6.535
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	1576947	Hs.172280	1.38	4.028
cAMP responsive element binding protein 1	2291535	Hs.79194	1.38	4.005
transmembrane 4 superfamily member 6	1701627	Hs.121068	1.38	4.256
isocitrate dehydrogenase 2 (NADP+), mitochondrial	1813409	Hs.5337	1.38	5.782
ESTs, Weakly similar to hypothetical protein FLJ22184 [Homo sapiens] [H.sapiens]	1451756	Hs.23272	1.38	5.017
interferon-related developmental regulator 2	1803926	Hs.315177	1.38	3.696
HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	2888814	Hs.20521	1.38	6.382
acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	1994721	Hs.285013	1.38	6.63
chloride intracellular channel 4	197207	Hs.25035	1.38	5.636
CDK2-associated protein 1	902381	Hs.3436	1.37	5.115
membrane-bound transcription factor protease, site 1	1816514	Hs.75890	1.37	5.585
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	2057948	Hs.77152	1.37	6.193
RAB1A, member RAS oncogene family	3143449	Hs.79507	1.37	5.682
3-phosphoadenosine 5-phosphosulfate synthase 1	1841989	Hs.3833	1.37	5.52
SEC63 protein	1857856	Hs.31575	1.37	8.638
ESTs	547612	Hs.374476	1.37	4.276
kidney ankyrin repeat-containing protein	3330595	Hs.383175	1.37	6.352
KIAA0601 protein	1677133	Hs.174174	1.37	3.867
zinc finger protein 288	1637413	Hs.159456	1.37	5.671
RAN binding protein 7	2276037	Hs.330447	1.37	6.839
complement component 3a receptor 1	1995864	Hs.155935	1.37	8.499
TGFB inducible early growth response 2	3774215	Hs.12229	1.37	5.193
SKB1 homolog (S. pombe)	1704517	Hs.12912	1.37	5.643
Homo sapiens clone 24703 beta-tubulin mRNA, complete cds	2204204	Hs.179661	1.37	7.149
endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	805942	Hs.75794	1.37	5.826
S100 calcium binding protein A13	2134356	Hs.14331	1.37	4.699
Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	2082026	Hs.554	1.36	4.981
7-dehydrocholesterol reductase	3518380	Hs.11806	1.36	6.006
MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	1610083	Hs.179565	1.36	5.243
solute carrier family 23 (nucleobase transporters), member 1	1259230	Hs.82042	1.36	8.434
hypothetical protein LQFBS-1	1752623	Hs.306193	1.36	5.41
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	2944175	Hs.198296	1.36	6.311
cold inducible RNA binding protein	180164	Hs.119475	1.36	6.469
ESTs	1512478	Hs.380770	1.36	5.045
chromosome 1 open reading frame 9	1626947	Hs.108636	1.36	6.206
G protein-coupled receptor 56	1961223	Hs.6527	1.36	3.977
oxytocin, prepro- (neurophysin I)	2005973	Hs.113216	1.36	4.35
TAR (HIV) RNA binding protein 1	1213641	Hs.151518	1.36	4.075
interleukin 10 receptor, alpha	1337981	Hs.327	1.35	5.979
thymidylate synthetase	39817	Hs.82962	1.35	4.086
C2f protein	1995470	Hs.300423	1.35	3.977
hypothetical protein HSPC132	1875994	Hs.69499	1.35	6.383
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2243954	Hs.388509	1.35	4.137
squalene epoxidase	859645	Hs.71465	1.35	6.561
ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	1429211	Hs.343403	1.35	7.882
seven transmembrane domain protein	1755562	Hs.9234	1.35	4.155
ESTs	2262832	Hs.179808	1.35	3.729
ribosomal protein L35	4169601	Hs.182825	1.35	8.494
proliferating cell nuclear antigen	2781405	Hs.78996	1.35	5.167
EST, Highly similar to S59999 AMP deaminase (EC 3.5.4.6) 2 isoform L - human (fragment) [H.sapiens]	1968035	Hs.82927	1.34	5.156
KIAA0013 gene product	4085306	Hs.172652	1.34	5.764
glycyl-tRNA synthetase	2057601	Hs.293885	1.34	4.223
chromosome 1 open reading frame 19	2285569	Hs.32058	1.34	4.978
Homo sapiens, Similar to RIKEN cDNA 1810037I17 gene, clone MGC:24558 IMAGE:4108498, mRNA, complete cds	2868216	Hs.392847	1.34	5.682
glutathione S-transferase A4	2372122	Hs.169907	1.34	8.683
spinocerebellar ataxia 1 (olivopontocerebellar ataxia 1, autosomal dominant, ataxin 1)	340088	Hs.74520	1.34	7.085
dishevelled associated activator of morphogenesis 2	1653064	Hs.387175	1.34	5.752
hypothetical protein FLJ10450	1607304	Hs.267604	1.34	4.191
kinesin family member 5B	1709457	Hs.149436	1.34	5.08
EST	1476214	Hs.381372	1.34	6.667
tumor rejection antigen (gp96) 1	3624631	Hs.82689	1.34	4.996
C2f protein	5096975	Hs.300423	1.34	4.239
ret finger protein	2708651	Hs.396093	1.34	4.749
5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2056149	Hs.90280	1.34	5.904
hexosaminidase A (alpha polypeptide)	1658320	Hs.119403	1.34	6.131
YY1 transcription factor	2311839	Hs.97496	1.34	3.751
KIAA0594 protein	1263376	Hs.103283	1.34	5.115
microtubule-associated protein, RP/EB family, member 2	2355543	Hs.78335	1.34	6.917
signal sequence receptor, beta (translocon-associated protein beta)	2378569	Hs.74564	1.34	6.318
inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	707667	Hs.180919	1.34	5.773
75 kda infertility-related sperm protein [human, testis, mRNA Partial, 2427 nt]	2962332		1.33	4.841
intercellular adhesion molecule 2	1985478	Hs.347326	1.33	4.421
Incyte EST	2961248		1.33	5.652
galactosylceramidase (Krabbe disease)	1430428	Hs.273	1.33	5.903
FYN oncogene related to SRC, FGR, YES	3898614	Hs.169370	1.33	5.65
hydroxyacyl-Coenzyme A dehydrogenase, type II	1638850	Hs.171280	1.33	9.542
Rab9 effector p40	1295430	Hs.19012	1.33	5.103
uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)	1816355	Hs.2057	1.33	4.116
hypothetical protein FLJ10900	587420	Hs.16277	1.33	5.016
MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	1746529	Hs.77171	1.33	6.177
cyclin-dependent kinase inhibitor 1B (p27, Kip1)	2203688	Hs.238990	1.33	4.542
neutral sphingomyelinase (N-SMase) activation associated factor	1997302	Hs.78687	1.33	6.044
ribosomal protein L14	3721812	Hs.738	1.33	5.252
ribosomal protein L37	2132815	Hs.337445	1.33	5.5
ESTs, Weakly similar to E54024 protein kinase (EC 2.7.1.37) cdc2-related PITSLRE alpha 2-1 - human [H.sapiens]	1962095	Hs.296141	1.33	3.915
polymerase (DNA directed), epsilon 3 (p17 subunit)	961082	Hs.408860	1.33	6.318
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kDa)	2057719	Hs.76053	1.32	6.085
solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	2852561	Hs.79748	1.32	3.824
ESTs, Moderately similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	1880426	Hs.381139	1.32	5.796
hypothetical protein BC008647	3815422	Hs.102480	1.32	4.367
component of oligomeric golgi complex 2	1468607	Hs.82399	1.32	4.837
cyclin G1	1684890	Hs.79101	1.32	5.373
ribosomal protein L7a	2579602	Hs.99858	1.32	4.74
KIAA0376 protein	1624192	Hs.391622	1.32	4.809
COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	2186124	Hs.6076	1.32	4.95
ribosomal protein S15a	2469891	Hs.343665	1.32	6.156
ribosomal protein S21	2791515	Hs.1948	1.32	6.05
X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	1842109	Hs.84981	1.32	4.493
NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	1715	Hs.182255	1.32	5.6
BRCA1 associated RING domain 1	2414296	Hs.54089	1.32	6.45
TGFB inducible early growth response	1806521	Hs.82173	1.32	6.314
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	1509715		1.32	4.142
tetratricopeptide repeat domain 3	1871722	Hs.118174	1.32	4.978
ESTs	2954670	Hs.29406	1.32	7.911
heterogeneous nuclear ribonucleoprotein C (C1/C2)	2458656	Hs.182447	1.32	6.486
eukaryotic translation initiation factor 3, subunit 6 48kDa	3032102	Hs.106673	1.31	6.021
leupaxin	1595756	Hs.49587	1.31	6.359
GATA binding protein 6	1642970	Hs.50924	1.31	5.711
TTK protein kinase	1334255	Hs.169840	1.31	5.647
hypothetical protein MGC5149	1836450	Hs.284741	1.31	3.766
tumor differentially expressed 1	1555948	Hs.272168	1.31	3.68
KIAA1228 protein	2667106	Hs.306867	1.31	4.313
neural stem cell derived neuronal survival protein	1997250	Hs.84775	1.31	3.736
catechol-O-methyltransferase	605019	Hs.240013	1.31	4.909
chromodomain helicase DNA binding protein 4	1312042	Hs.74441	1.31	4.152
vascular cell adhesion molecule 1	1642361	Hs.109225	1.31	5.881
cyclin-dependent kinase 2	1735760	Hs.19192	1.31	5.448
activin A receptor, type I	433573	Hs.150402	1.31	4.549
glioma pathogenesis-related protein	437868	Hs.154762	1.31	3.787
splicing factor, arginine/serine-rich 7, 35kDa	1609454	Hs.184167	1.31	5.006
katanin p80 (WD40-containing) subunit B 1	2832414	Hs.275675	1.31	4.937
palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	2508748	Hs.3873	1.31	4.283
KIAA0766 gene product	1741582	Hs.28020	1.31	5.747
lamin B receptor	1803808	Hs.152931	1.31	6.691
glutathione-S-transferase like; glutathione transferase omega	4500105	Hs.11465	1.31	5.317
nischarin	1809315	Hs.26285	1.31	5.535
mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	2446132	Hs.151513	1.31	6.156
phosphodiesterase 7A	1819039	Hs.97603	1.3	6.198
ribosomal protein L31	4663667	Hs.184014	1.3	4.607
ESTs, Highly similar to A46461 T-cell receptor eta chain - human (fragment) [H.sapiens]	3267423	Hs.283402	1.3	4.88
cysteine-rich protein 1 (intestinal)	1857563	Hs.3192	1.3	5.004
ataxia telangiectasia mutated (includes complementation groups A, C and D)	394665	Hs.194382	1.3	3.964
ESTs	1967531	Hs.104627	1.3	4.756
necdin homolog (mouse)	1729724	Hs.50130	1.3	6.998
ribosomal protein L19	128997	Hs.252723	1.3	3.886
E2F transcription factor 6	14588	Hs.42287	1.3	4.205
Homo sapiens pp7052 mRNA, complete cds	1418449	Hs.380048	1.3	5.243
NGFI-A binding protein 1 (EGR1 binding protein 1)	2104696	Hs.107474	1.3	5.951
hypothetical protein FLJ31364	1924057	Hs.380476	1.3	6.566
signal peptidase complex (18kD)	2082035	Hs.9534	1.3	7.238
interleukin enhancer binding factor 2, 45kDa	349271	Hs.75117	1.3	4.392
glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1	1552730		1.3	4.592
core-binding factor, beta subunit	1998193	Hs.179881	1.3	4.881
splicing factor 3b, subunit 3, 130kDa	1600586	Hs.195614	1.3	4.293
branched chain aminotransferase 2, mitochondrial	1501389	Hs.101408	1.3	4.553
hypothetical protein FLJ21877	584794	Hs.16063	1.3	6.458
B lymphoma Mo-MLV insertion region (mouse)	1985881	Hs.431	1.3	4.258
nucleolar and coiled-body phosphoprotein 1	1431819	Hs.75337	1.3	7.11
damage-specific DNA binding protein 2, 48kDa	1904067	Hs.77602	1.3	5.598
KIAA0372 gene product	532153	Hs.170098	1.3	4.558
CD27-binding (Siva) protein	2356635	Hs.112058	1.29	5.174
ESTs	2785471	Hs.388060	1.29	7.741
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kDa)	1998708	Hs.76053	1.29	5.504
nucleoporin 54kDa	2805590	Hs.9082	1.29	4.551
ribosomal protein L35	2325	Hs.182825	1.29	4.123
v-ski sarcoma viral oncogene homolog (avian)	3283271	Hs.2969	1.29	4.003
paraoxonase 2	2134968	Hs.169857	1.29	4.915
vascular endothelial growth factor B	3117190	Hs.78781	1.29	4.693
splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	2457759	Hs.30035	1.29	6.279
EBNA-2 co-activator (100kD)	1921516	Hs.79093	1.29	5.339
chromosome 20 open reading frame 21	1966132	Hs.11747	1.29	5.71
hippocalcin-like 1	1692164	Hs.3618	1.29	4.949
U3 snoRNP-associated 55-kDa protein	2948581	Hs.153768	1.29	4.604
PTD008 protein	1646030	Hs.108969	1.29	4.074
ribosomal protein S10	3139349	Hs.76230	1.29	4.662
mitochondrial ribosomal protein L3	1834502	Hs.79086	1.29	5.324
bladder cancer associated protein	1961734	Hs.5300	1.29	6.526
integrin beta 3 binding protein (beta3-endonexin)	1809385	Hs.82084	1.29	5.386
basic helix-loop-helix domain containing, class B, 3	1369268	Hs.33829	1.29	4.714
Not56 (D. melanogaster)-like protein	1995396	Hs.153591	1.28	4.82
retinoblastoma binding protein 7	1864819	Hs.395987	1.28	4.344
interleukin 6 signal transducer (gp130, oncostatin M receptor)	2172334	Hs.82065	1.28	4.798
eukaryotic translation elongation factor 1 beta 2	2782593	Hs.275959	1.28	5.059
tumor protein p53 binding protein, 1	1724982	Hs.170263	1.28	4.419
solute carrier family 35 (CMP-sialic acid transporter), member 1	1440433	Hs.82921	1.28	7.495
nucleosome assembly protein 1-like 4	1998111	Hs.78103	1.28	5.424
adenine phosphoribosyltransferase	2751387	Hs.28914	1.28	6.39
ariadne homolog 2 (Drosophila)	1698803	Hs.241558	1.28	4.811
H3 histone, family 3B (H3.3B)	1721304	Hs.180877	1.28	6.06
Incyte EST	3933661		1.28	4.075
EST, Highly similar to A31888 ribonucleoprotein La - human [H.sapiens]	1998994	Hs.400984	1.28	4.597
hypothetical protein FLJ10569	1000585	Hs.5105	1.28	4.339
integrin cytoplasmic domain-associated protein 1	1996828	Hs.173274	1.28	5.333
TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	1721917	Hs.155188	1.28	6.064
putative methyltransferase	1903759	Hs.268149	1.28	5.09
likely ortholog of mouse ubiquitin conjugating enzyme 7 interacting protein 4	1920658	Hs.78894	1.28	4.863
heparan sulfate (glucosamine) 3-O-sulfotransferase 1	513943	Hs.40968	1.28	4.991
tubulin, gamma 1	1997167	Hs.21635	1.28	3.996
pyrroline 5-carboxylate reductase isoform	1988068	Hs.274287	1.28	5.081
peroxisome biogenesis factor 1	1373383	Hs.99847	1.28	3.68
hypothetical protein FLJ39514	2858723	Hs.48565	1.28	6.759
protein phosphatase 4, regulatory subunit 1	1830083	Hs.3382	1.28	4.251
KIAA0662 gene product	2790394	Hs.93868	1.28	5.553
guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	556016	Hs.77269	1.28	4.351
zinc finger protein 146	692084	Hs.301819	1.27	4.088
UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	1435824	Hs.321231	1.27	4.051
lipin 1	134304	Hs.81412	1.27	5.101
ESTs, Weakly similar to I37356 epithelial microtubule-associated protein, 115K - human [H.sapiens]	2383065	Hs.25892	1.27	4.046
ribosomal protein L12	2132508	Hs.182979	1.27	3.772
Incyte EST	2821541		1.27	4.023
deleted in liver cancer 1	3084122	Hs.133546	1.27	5.529
programmed cell death 5	2095728	Hs.166468	1.27	6.137
death-associated protein	4108633	Hs.75189	1.27	4.881
mitochondrial translational initiation factor 3	1527070	Hs.75113	1.27	5.091
zinc finger protein 165	1689436	Hs.55481	1.27	3.883
hypothetical protein FLJ12389 similar to acetoacetyl-CoA synthetase	948914	Hs.239758	1.27	4.436
Rho GTPase activating protein 8	2044444	Hs.102336	1.27	4.485
transducin (beta)-like 2	2112348	Hs.52515	1.27	4.365
stress-associated endoplasmic reticulum protein 1; ribosome associated membrane protein 4	2461041	Hs.76698	1.27	4.655
procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	1759127	Hs.75093	1.27	5.449
RAN, member RAS oncogene family	552654	Hs.10842	1.27	6.629
peptidylprolyl isomerase B (cyclophilin B)	3035279	Hs.699	1.27	4.991
Kell blood group precursor (McLeod phenotype)	2284079	Hs.78919	1.27	5.429
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	1648956	Hs.100555	1.27	4.51
ligatin	2263634	Hs.274151	1.27	3.769
tubulin, gamma complex associated protein 3	518959	Hs.9884	1.27	4.014
ribosomal protein L38	2132714	Hs.2017	1.27	4.06
zinc finger protein 24 (KOX 17)	569710	Hs.183593	1.27	4.855
dUTP pyrophosphatase	4861280	Hs.367676	1.27	4.749
N-myristoyltransferase 1	1671251	Hs.111039	1.27	5.722
phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	4918042	Hs.108966	1.27	9.877
KIAA0788 protein	1706690	Hs.246112	1.26	4.55
small nuclear ribonucleoprotein polypeptide A	3189146	Hs.80506	1.26	5.014
activator of S phase kinase	2253482	Hs.152759	1.26	3.974
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	1910895	Hs.302630	1.26	4.221
hypothetical protein MGC4251	2366522	Hs.74266	1.26	4.37
vesicle-associated membrane protein 2 (synaptobrevin 2)	2916295	Hs.392805	1.26	4.277
RNA helicase-related protein	2132758	Hs.8765	1.26	6.59
replication protein A2, 32kDa	1729876	Hs.79411	1.26	3.935
X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	1616328	Hs.284202	1.26	3.893
Homo sapiens, clone IMAGE:4794937, mRNA, partial cds	781698	Hs.388971	1.26	6.051
Homo sapiens, clone IMAGE:4396549, mRNA, partial cds	1299193	Hs.405270	1.26	3.63
tissue specific transplantation antigen P35B	1822577	Hs.264428	1.26	5.6
R3H domain (binds single-stranded nucleic acids) containing	1290568	Hs.268053	1.26	5.554
sin3-associated polypeptide, 18kDa	2293401	Hs.23964	1.26	4.599
Incyte EST	2831248		1.26	5.035
O-linked mannose beta1,2-N-acetylglucosaminyltransferase	1447285	Hs.183860	1.26	4.035
alcohol dehydrogenase 5 (class III), chi polypeptide	1858223	Hs.78989	1.26	6.644
serum-inducible kinase	1255087	Hs.3838	1.26	5.646
inositol polyphosphate-4-phosphatase, type I, 107kDa	391601	Hs.32944	1.26	6.293
interleukin enhancer binding factor 2, 45kDa	2472092	Hs.75117	1.26	4.764
non-POU domain containing, octamer-binding	1900191	Hs.172207	1.26	3.812
ribosomal protein S23	3297656	Hs.3463	1.26	3.84
syndecan 4 (amphiglycan, ryudocan)	5183574	Hs.252189	1.25	4.591
replication factor C (activator 1) 2, 40kDa	1655501	Hs.139226	1.25	4.245
apolipoprotein L, 4	1666080	Hs.293533	1.25	4.368
ribosomal protein L13a	2824181	Hs.119122	1.25	4.937
cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa	1927093	Hs.29679	1.25	4.047
GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	1699149	Hs.75354	1.25	5.003
ESTs	2350560	Hs.39982	1.25	4.836
caveolin 2	29564	Hs.139851	1.25	4.835
mitogen-activated protein kinase kinase kinase 4	2315985	Hs.32353	1.25	5.434
zinc finger protein	2449636	Hs.102419	1.25	5.765
exportin 1 (CRM1 homolog, yeast)	1740728	Hs.79090	1.25	5.935
replication protein A1, 70kDa	1695482	Hs.84318	1.25	5.091
mitogen-activated protein kinase kinase kinase 5	1814912	Hs.151988	1.25	4.808
ESTs, Highly similar to A27668 Sm-D ribonucleoprotein autoantigen - human [H.sapiens]	2156608	Hs.356211	1.25	3.851
poliovirus receptor-related 3	2680168	Hs.21201	1.25	4.254
disrupted in bipolar disorder 1	1577463	Hs.120824	1.25	4.824
myeloid/lymphoid or mixed-lineage leukemia 2	3316536	Hs.153638	1.25	5.527
Homo sapiens mRNA for FLJ00104 protein, partial cds	1943307	Hs.383021	1.25	4.265
ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c	662	Hs.7476	1.25	5.025
protein tyrosine phosphatase, receptor type, M	1849838	Hs.154151	1.25	5.827
CDC16 cell division cycle 16 homolog (S. cerevisiae)	1413704	Hs.1592	1.25	5.985
MDN1, midasin homolog (yeast)	1209813	Hs.76730	1.25	5.058
timeless homolog (Drosophila)	2253473	Hs.118631	1.25	4.679
KIAA1468 protein	1807752	Hs.392785	1.25	5.728
stromal cell derived factor receptor 1	1818969	Hs.6354	1.25	3.925
bridging integrator 1	1674835	Hs.193163	1.25	4.868
hypothetical protein MGC5306	2290164	Hs.249959	1.24	4.74
ADP-ribosylation-like factor 6 interacting protein 2	1923470	Hs.27099	1.24	4.848
mago-nashi homolog, proliferation-associated (Drosophila)	3115505	Hs.57904	1.24	4.534
zinc finger protein 302	2314964	Hs.125287	1.24	5.278
nuclear transcription factor Y, beta	2222566	Hs.84928	1.24	5.338
S164 protein	816454	Hs.236051	1.24	4.165
acetyl-Coenzyme A synthetase 2 (AMP forming)-like	2132717	Hs.7218	1.24	6.939
early development regulator 2 (polyhomeotic 2 homolog)	1000508	Hs.165263	1.24	5.009
SMT3 suppressor of mif two 3 homolog 1 (yeast)	2132661	Hs.85119	1.24	4.021
EST	2132359	Hs.401124	1.24	4.201
platelet/endothelial cell adhesion molecule (CD31 antigen)	887867	Hs.78146	1.24	4.71
NS1-associated protein 1	2845548	Hs.373499	1.24	5.808
hypothetical protein FLJ10597	1943820	Hs.90375	1.24	4.775
RYK receptor-like tyrosine kinase	1815050	Hs.79350	1.24	4.902
CUG triplet repeat, RNA binding protein 1	1995892	Hs.81248	1.24	3.812
ZAP3 protein	1703309	Hs.159471	1.24	4.304
ESTs, Weakly similar to S57447 HPBRII-7 protein - human [H.sapiens]	2074045	Hs.409180	1.24	5.198
zinc ribbon domain containing, 1	2267614	Hs.57813	1.24	4.197
KIAA0036 gene product	1863428	Hs.169387	1.24	5.896
Rho GTPase activating protein 1	2655252	Hs.138860	1.24	5.04
eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa	1998072	Hs.2437	1.24	5.132
LIM and senescent cell antigen-like domains 1	126888	Hs.112378	1.24	4.654
hypothetical protein FLJ20274	2176218		1.24	4.773
POU domain, class 2, transcription factor 1	2926543	Hs.182237	1.24	6.113
transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	640174	Hs.101047	1.24	4.714
serologically defined colon cancer antigen 10	996291	Hs.23557	1.24	4.417
DC2 protein	2457103	Hs.103180	1.23	4.174
methionyl aminopeptidase 2	2631587	Hs.78935	1.23	4.828
similar to S. pombe dim1+	1923054	Hs.5074	1.23	5.135
eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	2131856	Hs.57783	1.23	5.112
SFRS protein kinase 2	2926822	Hs.78353	1.23	4.214
Incyte EST	5014581		1.23	4.348
ESTs	3144018	Hs.104627	1.23	4.531
hypothetical protein MGC45411	961530	Hs.380620	1.23	4.137
peptide-histidine transporter 4	380220	Hs.355660	1.23	3.762
ataxia telangiectasia and Rad3 related	632440	Hs.77613	1.23	4.516
high-mobility group box 1	2099580	Hs.337757	1.23	4.502
EST, Weakly similar to T00268 hypothetical protein KIAA0597 - human (fragment) [H.sapiens]	645397	Hs.124969	1.23	4.742
endothelin converting enzyme 2	1295106	Hs.129801	1.23	3.952
hypothetical protein FLJ20375	995821	Hs.274251	1.23	3.615
hypothetical protein DKFZp761C169	2306510	Hs.71252	1.23	5.477
MEP50 protein	831941	Hs.11039	1.23	4.263
centrin, EF-hand protein, 2	1450639	Hs.82794	1.23	4.359
BN51 (BHK21) temperature sensitivity complementing	1448015	Hs.1276	1.23	4.403
FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	1966067	Hs.183738	1.23	4.301
mitogen-activated protein kinase 11	1727992	Hs.57732	1.23	3.92
adaptor-related protein complex 3, mu 1 subunit	318071	Hs.298442	1.23	4.629
ATX1 antioxidant protein 1 homolog (yeast)	2313349	Hs.279910	1.23	6.376
CCAAT-box-binding transcription factor	1392419	Hs.184760	1.23	5.514
ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	2192978	Hs.78089	1.23	5.842
LanC lantibiotic synthetase component C-like 1 (bacterial)	1674985	Hs.13351	1.23	3.647
PCF11p homolog	1841482	Hs.123654	1.22	4.006
collagen, type IV, alpha 5 (Alport syndrome)	2606307	Hs.169825	1.22	6.609
tryptophan rich basic protein	865858	Hs.198308	1.22	4.244
Incyte EST	2648612		1.22	4.457
CGG triplet repeat binding protein 1	1428856	Hs.86041	1.22	3.638
MpV17 transgene, murine homolog, glomerulosclerosis	1975110	Hs.75659	1.22	4.075
histone deacetylase 7A	1968721	Hs.275438	1.22	3.8
cAMP responsive element modulator	1921290	Hs.155924	1.22	4.242
calponin 2	1443061	Hs.169718	1.22	4.854
chromosome 11 hypothetical protein ORF3	3085357	Hs.4245	1.22	5.042
KIAA0779 protein	1657109	Hs.362996	1.22	5.496
hypothetical protein FLJ14225	1486385	Hs.209065	1.22	3.668
Wilms tumour 1-associating protein	1966446	Hs.119	1.22	4.262
DKFZP566C134 protein	1985272	Hs.20237	1.22	5.03
hypothetical protein MGC2217	2291135	Hs.323164	1.22	5.087
EST	1740025	Hs.10590	1.22	3.715
RNA binding motif protein 15	1379395	Hs.46670	1.22	4.048
likely ortholog of mouse variant polyadenylation protein CSTF-64	545550	Hs.21992	1.22	3.633
hypothetical protein FLJ11200	1879638	Hs.107381	1.22	4.559
KIAA0738 gene product	547281	Hs.107479	1.22	4.293
small nuclear ribonucleoprotein polypeptide B	2236476	Hs.82575	1.22	3.623
N-sulfoglucosamine sulfohydrolase (sulfamidase)	1874043	Hs.31074	1.22	4.526
kinetochore associated 1	789903	Hs.115778	1.22	3.631
BAF53	2610088	Hs.274350	1.22	4.265
TAR DNA binding protein	620753	Hs.193989	1.22	4.898
interleukin 11 receptor, alpha	1439059	Hs.64310	1.22	4.859
hypothetical protein FLJ20254	2627377	Hs.15356	1.22	3.892
midline 1 (Opitz/BBB syndrome)	2170171	Hs.27695	1.22	5.466
hypothetical protein MGC14439	1782139	Hs.107001	1.22	6.156
zinc finger protein 262	3409136	Hs.150390	1.22	4.185
elaC homolog 2 (E. coli)	2189319	Hs.12124	1.22	4.735
hypothetical protein FLJ20793	2099026	Hs.393334	1.22	3.727
transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	1851834	Hs.28935	1.21	3.682
hypothetical protein DKFZp762A2013	2821185	Hs.309165	1.21	5.142
chondroitin sulfate proteoglycan 6 (bamacan)	937975	Hs.24485	1.21	4.495
RuvB-like 1 (E. coli)	2017386	Hs.272822	1.21	5.155
ribosomal protein L9	2046652	Hs.157850	1.21	4.781
ESTs	570595	Hs.389265	1.21	4.256
PAX transcription activation domain interacting protein 1 like	2258143	Hs.173854	1.21	4.454
slit homolog 1 (Drosophila)	750673	Hs.133466	1.21	4.171
Homo sapiens BX1 mRNA, partial cds	1929355	Hs.249247	1.21	3.8
