Gene	Clone	UG cluster	Fold-diff L/AT	t-value
KH domain containing, RNA binding, signal transduction associated 3	2010155	Hs.13565	1.43	6.229
KIAA0601 protein	1677133	Hs.174174	1.43	5.588
purinergic receptor (family A group 5)	827284	Hs.189999	1.43	4.096
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	1576947	Hs.172280	1.43	4.618
ESTs	1878026	Hs.120695	1.43	6.944
Homo sapiens, Similar to RIKEN cDNA 1810037I17 gene, clone MGC:24558 IMAGE:4108498, mRNA, complete cds	2868216	Hs.392847	1.43	7.434
CDC26 subunit of anaphase promoting complex	1424755	Hs.3991	1.43	4.522
uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)	1816355	Hs.2057	1.43	6.706
ESTs, Weakly similar to hypothetical protein FLJ22184 [Homo sapiens] [H.sapiens]	1451756	Hs.23272	1.43	8.192
kinesin-like 4	2760114	Hs.119324	1.43	5.091
RAN binding protein 16	459851	Hs.172685	1.43	6.874
serum response factor (c-fos serum response element-binding transcription factor)	2059378	Hs.155321	1.42	8.121
75 kda infertility-related sperm protein [human, testis, mRNA Partial, 2427 nt]	2962332		1.42	6.711
interferon-related developmental regulator 2	1803926	Hs.315177	1.42	4.972
small nuclear ribonucleoprotein polypeptide F	2104530	Hs.105465	1.42	5.533
hypothetical protein FLJ00058	1743480	Hs.6750	1.42	5.091
translocated promoter region (to activated MET oncogene)	1998427	Hs.169750	1.42	8.12
putative membrane protein	1926540	Hs.93832	1.42	6.288
ribosomal protein S15	2027012	Hs.355560	1.42	4.529
biliverdin reductase A	775330	Hs.81029	1.42	3.849
Rho GTPase activating protein 8	3416883	Hs.102336	1.42	4.549
likely ortholog of mouse deleted in polyposis 1	1940201	Hs.178112	1.41	6.087
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	2060715	Hs.152292	1.41	6.506
ESTs	1512478	Hs.380770	1.41	6.798
olfactomedin 1	2292011	Hs.74376	1.41	5.343
glioma pathogenesis-related protein	477045	Hs.154762	1.41	5.012
v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	2358031	Hs.81665	1.41	3.853
putative dimethyladenosine transferase	1724355	Hs.125819	1.41	8.637
S100 calcium binding protein A13	2134356	Hs.14331	1.41	6.666
ESTs, Weakly similar to E54024 protein kinase (EC 2.7.1.37) cdc2-related PITSLRE alpha 2-1 - human [H.sapiens]	1962095	Hs.296141	1.41	6.636
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	986752	Hs.77152	1.41	5.116
7-dehydrocholesterol reductase	3518380	Hs.11806	1.41	3.767
hypothetical protein MGC2655	3127730	Hs.392713	1.41	4.056
ribonuclease 6 precursor	212912	Hs.8297	1.41	6.355
SKB1 homolog (S. pombe)	1704517	Hs.12912	1.41	5.921
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	2057948	Hs.77152	1.41	6.666
HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	2888814	Hs.20521	1.4	4.482
ribosomal protein L28	2132315	Hs.4437	1.4	4.619
BRCA1 associated RING domain 1	2414296	Hs.54089	1.4	6.034
KIAA0790 protein	1722691	Hs.12002	1.4	10.387
bystin-like	1519431	Hs.106880	1.4	5.269
Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	2082026	Hs.554	1.4	7.318
proliferating cell nuclear antigen	2781405	Hs.78996	1.4	4.379
coagulation factor XIII, A1 polypeptide	1000988	Hs.80424	1.4	3.853
SEC63 protein	1857856	Hs.31575	1.4	7.866
C2f protein	1995470	Hs.300423	1.4	10.51
cyclin G1	1684890	Hs.79101	1.4	7.092
dishevelled associated activator of morphogenesis 2	1653064	Hs.387175	1.4	6.222
SET binding protein 1	2903158	Hs.151717	1.4	6.382
ribosomal protein L14	3721812	Hs.738	1.4	9.211
heat shock transcription factor 4	2660470	Hs.75486	1.4	4.769
RAN binding protein 7	2276037	Hs.330447	1.4	5.705
5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2056149	Hs.90280	1.39	6.667
seven transmembrane domain protein	1755562	Hs.9234	1.39	6.199
KIAA1813 protein	385733	Hs.25298	1.39	8.48
chromosome 1 open reading frame 9	1626947	Hs.108636	1.39	7.188
KIAA0376 protein	1624192	Hs.391622	1.39	6.892
hypothetical protein HSPC132	1875994	Hs.69499	1.39	7.248
mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	4177354	Hs.121502	1.39	5.604
EBNA1 binding protein 2	1959830	Hs.346868	1.39	3.992
squalene epoxidase	859645	Hs.71465	1.39	4.85
MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	1746529	Hs.77171	1.39	5.155
C2f protein	5096975	Hs.300423	1.39	8.832
thymidylate synthetase	39817	Hs.82962	1.39	4.324
cathepsin F	1569235	Hs.11590	1.39	4.27
EST	2192092	Hs.14074	1.39	7.347
EST	2061405	Hs.374342	1.39	6.463
acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	1994721	Hs.285013	1.39	6.621
thymopoietin	56919		1.39	5.936
galactosylceramidase (Krabbe disease)	1430428	Hs.273	1.38	6.076
cAMP responsive element binding protein 1	2291535	Hs.79194	1.38	5.635
polymerase (DNA directed), epsilon 3 (p17 subunit)	961082	Hs.408860	1.38	8.091
polymerase (DNA directed), alpha	1719446	Hs.267289	1.38	5.431
Homo sapiens clone 24703 beta-tubulin mRNA, complete cds	2204204	Hs.179661	1.38	4.334
Cdc42 guanine nucleotide exchange factor (GEF) 9	1479612	Hs.54697	1.38	5.944
membrane-bound transcription factor protease, site 1	1816514	Hs.75890	1.38	6.767
activated RNA polymerase II transcription cofactor 4	1383545	Hs.349506	1.38	6.632
vascular cell adhesion molecule 1	1642361	Hs.109225	1.38	6.636
patched homolog (Drosophila)	2079317	Hs.159526	1.38	5.106
neural stem cell derived neuronal survival protein	1997250	Hs.84775	1.38	6.927
kinesin family member 5B	1709457	Hs.149436	1.38	6.459
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	1509715		1.38	6.851
COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	2186124	Hs.6076	1.38	8.834
suppression of tumorigenicity 7	1863561	Hs.5814	1.38	5.478
tumor rejection antigen (gp96) 1	3624631	Hs.82689	1.38	3.77
hexosaminidase A (alpha polypeptide)	1658320	Hs.119403	1.38	5.798
solute carrier family 23 (nucleobase transporters), member 1	1259230	Hs.82042	1.38	6.303
TGFB inducible early growth response 2	3774215	Hs.12229	1.38	5.374
cyclin-dependent kinase inhibitor 1B (p27, Kip1)	2203688	Hs.238990	1.38	5.714
3-phosphoadenosine 5-phosphosulfate synthase 1	1841989	Hs.3833	1.38	7.937
tetratricopeptide repeat domain 3	1871722	Hs.118174	1.37	6.367
katanin p80 (WD40-containing) subunit B 1	2832414	Hs.275675	1.37	4.256
endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	805942	Hs.75794	1.37	7.684
Incyte EST	2961248		1.37	5.119
KIAA0594 protein	1263376	Hs.103283	1.37	7.028
ribosomal protein S15a	2469891	Hs.343665	1.37	6.573
glutathione S-transferase A4	2372122	Hs.169907	1.37	4.875
kidney ankyrin repeat-containing protein	3330595	Hs.383175	1.37	4.698
adenylosuccinate lyase	1653326	Hs.75527	1.37	5.36
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	3099581	Hs.98484	1.37	4.006
TAR (HIV) RNA binding protein 1	1213641	Hs.151518	1.37	4.036
intercellular adhesion molecule 2	1985478	Hs.347326	1.37	5.469
glioma pathogenesis-related protein	437868	Hs.154762	1.37	6.535
FYN oncogene related to SRC, FGR, YES	3898614	Hs.169370	1.36	4.026
ESTs, Moderately similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	1880426	Hs.381139	1.36	5.784
ESTs	2262832	Hs.179808	1.36	4.699
oxytocin, prepro- (neurophysin I)	2005973	Hs.113216	1.36	4.865
inositol 1,4,5-trisphosphate 3-kinase B	1890794	Hs.78877	1.36	5.49
glutathione-S-transferase like; glutathione transferase omega	4500105	Hs.11465	1.36	4.597
interleukin enhancer binding factor 2, 45kDa	349271	Hs.75117	1.36	5.486
bladder cancer associated protein	2204881	Hs.5300	1.36	5.142
jumping translocation breakpoint	1861614	Hs.6396	1.36	7.233
mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	2446132	Hs.151513	1.36	4.253
EST	1476214	Hs.381372	1.36	6.68
Rab9 effector p40	1295430	Hs.19012	1.36	6.802
PTD008 protein	1646030	Hs.108969	1.36	5.909
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2243954	Hs.388509	1.36	8.474
Homo sapiens, clone IMAGE:3882977, mRNA, partial cds	1997493	Hs.350268	1.36	6.933
hypothetical protein FLJ10450	1607304	Hs.267604	1.36	5.65
palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	2508748	Hs.3873	1.35	5.177
heterogeneous nuclear ribonucleoprotein C (C1/C2)	2458656	Hs.182447	1.35	6.229
neutral sphingomyelinase (N-SMase) activation associated factor	1997302	Hs.78687	1.35	10.692
signal sequence receptor, beta (translocon-associated protein beta)	2378569	Hs.74564	1.35	5.59
NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	1715	Hs.182255	1.35	6.241
ribosomal protein L19	128997	Hs.252723	1.35	5.069
hydroxyacyl-Coenzyme A dehydrogenase, type II	1638850	Hs.171280	1.35	4.513
KIAA0013 gene product	4085306	Hs.172652	1.35	5.647
lamin B receptor	1803808	Hs.152931	1.35	6.95
zinc finger protein 288	1637413	Hs.159456	1.35	5.105
eukaryotic translation initiation factor 3, subunit 6 48kDa	3032102	Hs.106673	1.35	5.592
hypothetical protein FLJ21016	1447393	Hs.289069	1.35	6.119
KIAA0766 gene product	1741582	Hs.28020	1.35	3.925
ribosomal protein L23a	1214494	Hs.356363	1.35	4.043
NGFI-A binding protein 1 (EGR1 binding protein 1)	2104696	Hs.107474	1.35	6.264
catechol-O-methyltransferase	605019	Hs.240013	1.35	5.487
hypothetical protein MGC5149	1836450	Hs.284741	1.35	7.297
ribosomal protein L31	4663667	Hs.184014	1.35	5.034
activin A receptor, type I	433573	Hs.150402	1.35	5.943
zinc finger protein 146	692084	Hs.301819	1.34	6.047
MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	1610083	Hs.179565	1.34	4.497
necdin homolog (mouse)	1729724	Hs.50130	1.34	8.837
cold inducible RNA binding protein	180164	Hs.119475	1.34	4.109
G protein-coupled receptor 56	1961223	Hs.6527	1.34	5.578
interleukin 6 signal transducer (gp130, oncostatin M receptor)	2172334	Hs.82065	1.34	4.653
mitochondrial translational initiation factor 3	1527070	Hs.75113	1.34	6.28
hypothetical protein FLJ10900	587420	Hs.16277	1.34	5.592
ribosomal protein L7a	2579602	Hs.99858	1.34	8.738
clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	2966620	Hs.75106	1.34	4.098
ESTs, Weakly similar to neuronal thread protein [Homo sapiens] [H.sapiens]	542944	Hs.408966	1.34	4.542
nucleolar and coiled-body phosphoprotein 1	1431819	Hs.75337	1.34	4.683
translocase of outer mitochondrial membrane 20 (yeast) homolog	664060	Hs.75187	1.34	5.149
signal peptidase complex (18kD)	2082035	Hs.9534	1.34	5.519
mitochondrial ribosomal protein L3	1834502	Hs.79086	1.33	4.547
component of oligomeric golgi complex 2	1468607	Hs.82399	1.33	5.941
cathepsin O	1689421	Hs.75262	1.33	3.96
hypothetical protein LQFBS-1	1752623	Hs.306193	1.33	5.844
complement component 3a receptor 1	1995864	Hs.155935	1.33	5.448
X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	1842109	Hs.84981	1.33	6.065
ribosomal protein L37	2132815	Hs.337445	1.33	5.419
deleted in liver cancer 1	3084122	Hs.133546	1.33	4.399
Incyte EST	23662		1.33	5.047
CD27-binding (Siva) protein	2356635	Hs.112058	1.33	6.528
ESTs	1967531	Hs.104627	1.33	5.293
ATP-binding cassette, sub-family E (OABP), member 1	1674405	Hs.12013	1.33	4.362
damage-specific DNA binding protein 2, 48kDa	1904067	Hs.77602	1.33	7.128
zinc finger protein 24 (KOX 17)	569710	Hs.183593	1.33	5.841
eukaryotic translation elongation factor 1 beta 2	2782593	Hs.275959	1.33	5.749
chromosome 1 open reading frame 21	1923631	Hs.12532	1.33	5.106
T-cell activation leucine repeat-rich protein	1292117	Hs.199243	1.32	5.602
microtubule-associated protein, RP/EB family, member 2	2355543	Hs.78335	1.32	6.146
splicing factor, arginine/serine-rich 7, 35kDa	1609454	Hs.184167	1.32	4.994
Kell blood group precursor (McLeod phenotype)	2284079	Hs.78919	1.32	5.052
hypothetical protein FLJ31364	1924057	Hs.380476	1.32	4.025
splicing factor 3b, subunit 3, 130kDa	1600586	Hs.195614	1.32	4.377
GATA binding protein 6	1642970	Hs.50924	1.32	4.388
EBNA-2 co-activator (100kD)	1921516	Hs.79093	1.32	4.923
xeroderma pigmentosum, complementation group A	913006	Hs.192803	1.32	6.217
peptidylprolyl isomerase B (cyclophilin B)	3035279	Hs.699	1.32	3.848
Incyte EST	3933661		1.32	6.922
LIM and senescent cell antigen-like domains 1	126888	Hs.112378	1.32	4.863
B lymphoma Mo-MLV insertion region (mouse)	1985881	Hs.431	1.32	6.785
tumor protein p53 binding protein, 1	1724982	Hs.170263	1.32	7.101
EST, Highly similar to A31888 ribonucleoprotein La - human [H.sapiens]	1998994	Hs.400984	1.32	7.12
ribosomal protein L38	2132714	Hs.2017	1.32	5.011
KIAA1228 protein	2667106	Hs.306867	1.32	5.204
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kDa)	1998708	Hs.76053	1.32	7.327
phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	4918042	Hs.108966	1.32	5.377
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	1648956	Hs.100555	1.32	6.929
branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)	1964194	Hs.78950	1.32	5.949
branched chain aminotransferase 2, mitochondrial	1501389	Hs.101408	1.32	4.886
Incyte EST	2831248		1.31	4.825
Incyte EST	2821541		1.31	7.185
EST	518305	Hs.26295	1.31	5.805
similar to RIKEN cDNA 1110002C08 gene	2612729	Hs.128759	1.31	3.806
glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1	1552730		1.31	5.651
ESTs	766891	Hs.12663	1.31	4.875
H3 histone, family 3B (H3.3B)	1721304	Hs.180877	1.31	4.898
zinc finger protein 22 (KOX 15)	2045756	Hs.108642	1.31	6.463
solute carrier family 35 (CMP-sialic acid transporter), member 1	1440433	Hs.82921	1.31	4.412
zinc finger protein 165	1689436	Hs.55481	1.31	5.583
chromodomain helicase DNA binding protein 4	1312042	Hs.74441	1.31	5.189
hypothetical protein FLJ12389 similar to acetoacetyl-CoA synthetase	948914	Hs.239758	1.31	5.344
E2F transcription factor 6	14588	Hs.42287	1.31	6.524
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	1641775	Hs.9879	1.31	5.211
ribosomal protein L10a	538199	Hs.334895	1.31	4.085
cysteine-rich protein 1 (intestinal)	1857563	Hs.3192	1.31	4.379
U3 snoRNP-associated 55-kDa protein	2948581	Hs.153768	1.31	4.499
integrin beta 3 binding protein (beta3-endonexin)	1809385	Hs.82084	1.31	4.784
ribosomal protein L12	2132508	Hs.182979	1.31	5.047
programmed cell death 5	2095728	Hs.166468	1.31	4.163
tissue specific transplantation antigen P35B	1822577	Hs.264428	1.31	3.945
6.2 kd protein	2503879	Hs.112318	1.31	4.182
Wilms tumour 1-associating protein	1966446	Hs.119	1.31	6.284
cyclin-dependent kinase 2	1735760	Hs.19192	1.31	6.396
ribosomal protein L35	2325	Hs.182825	1.31	4.924
ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	1429211	Hs.343403	1.31	4.867
hypothetical protein FLJ21877	584794	Hs.16063	1.31	7.24
chromosome 20 open reading frame 21	1966132	Hs.11747	1.31	7.66
heptacellular carcinoma novel gene 3	2158626	Hs.48950	1.31	4.557
YY1 transcription factor	2311839	Hs.97496	1.31	8.433
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kDa)	2057719	Hs.76053	1.3	4.158
guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	556016	Hs.77269	1.3	4.159
amyloid beta precursor protein binding protein 1, 59kDa	1663083	Hs.61828	1.3	5.936
ribosomal protein S10	3139349	Hs.76230	1.3	4.916
inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	707667	Hs.180919	1.3	5.69
protein phosphatase 4, regulatory subunit 1	1830083	Hs.3382	1.3	4.722
ribosomal protein S23	3297656	Hs.3463	1.3	5.178
ESTs, Highly similar to A46461 T-cell receptor eta chain - human (fragment) [H.sapiens]	3267423	Hs.283402	1.3	6.066
sin3-associated polypeptide, 18kDa	2293401	Hs.23964	1.3	7.548
RAN, member RAS oncogene family	552654	Hs.10842	1.3	4.566
EST	2132359	Hs.401124	1.3	5.962
carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	550326	Hs.154868	1.3	4.817
splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	2457759	Hs.30035	1.3	5.042
UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	1435824	Hs.321231	1.3	7.925
ribosomal protein L13a	2824181	Hs.119122	1.3	5.146
lipin 1	134304	Hs.81412	1.3	4.418
ZAP3 protein	1703309	Hs.159471	1.29	7.777
nucleosome assembly protein 1-like 4	1998111	Hs.78103	1.29	4.871
integrin cytoplasmic domain-associated protein 1	1996828	Hs.173274	1.29	6.906
Not56 (D. melanogaster)-like protein	1995396	Hs.153591	1.29	3.947
serologically defined colon cancer antigen 10	996291	Hs.23557	1.29	5.278
hypothetical protein BC008647	3815422	Hs.102480	1.29	7.275
core-binding factor, beta subunit	1998193	Hs.179881	1.29	4.925
putative methyltransferase	1903759	Hs.268149	1.29	7.229
nucleoporin 54kDa	2805590	Hs.9082	1.29	4.737
serum-inducible kinase	1255087	Hs.3838	1.29	5.287
hippocalcin-like 1	1692164	Hs.3618	1.29	7.941
interleukin enhancer binding factor 2, 45kDa	2472092	Hs.75117	1.29	4.276
TTK protein kinase	1334255	Hs.169840	1.29	3.839
procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	1759127	Hs.75093	1.29	4.638
TGFB inducible early growth response	1806521	Hs.82173	1.29	4.042
retinoblastoma binding protein 7	1864819	Hs.395987	1.29	4.912
TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	1721917	Hs.155188	1.29	6.065
KIAA0738 gene product	547281	Hs.107479	1.29	4.323
mago-nashi homolog, proliferation-associated (Drosophila)	3115505	Hs.57904	1.29	5.796
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	2944175	Hs.198296	1.28	4.477
ariadne homolog 2 (Drosophila)	1698803	Hs.241558	1.28	6.277
syndecan 4 (amphiglycan, ryudocan)	5183574	Hs.252189	1.28	4.878
ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	2192978	Hs.78089	1.28	4.963
tubulin, gamma 1	1997167	Hs.21635	1.28	3.905
mitogen-activated protein kinase kinase kinase 5	1814912	Hs.151988	1.28	5.039
small nuclear ribonucleoprotein polypeptide B	2236476	Hs.82575	1.28	5.909
Incyte EST	5014581		1.28	6.039
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	1910895	Hs.302630	1.28	4.306
caveolin 2	29564	Hs.139851	1.28	4.053
hypothetical protein FLJ39514	2858723	Hs.48565	1.28	4.416
ESTs	2954670	Hs.29406	1.28	3.768
vesicle-associated membrane protein 2 (synaptobrevin 2)	2916295	Hs.392805	1.28	6.115
hypothetical protein MGC4251	2366522	Hs.74266	1.28	4.718
peroxisome biogenesis factor 1	1373383	Hs.99847	1.28	4.838
hypothetical protein MGC5306	2290164	Hs.249959	1.27	5.099
RNA binding motif protein, X chromosome	729851	Hs.146381	1.27	4.273
bridging integrator 1	1674835	Hs.193163	1.27	5.427
nucleolar and coiled-body phosphoprotein 1	2047572	Hs.75337	1.27	3.8
centrin, EF-hand protein, 2	1450639	Hs.82794	1.27	5.06
SFRS protein kinase 2	2926822	Hs.78353	1.27	4.007
hypothetical protein FLJ10569	1000585	Hs.5105	1.27	6.503
15 kDa selenoprotein	1999121	Hs.90606	1.27	4.507
nischarin	1809315	Hs.26285	1.27	4.739
dUTP pyrophosphatase	4861280	Hs.367676	1.27	4.691
KIAA0397 gene product	1001871	Hs.7416	1.27	4.755
hypothetical protein BC007901	2132424	Hs.10083	1.27	3.769
ESTs	2785471	Hs.388060	1.27	5.635
Homo sapiens pp7052 mRNA, complete cds	1418449	Hs.380048	1.27	6.123
CDC16 cell division cycle 16 homolog (S. cerevisiae)	1413704	Hs.1592	1.27	4.985
aspartoacylase (aminoacylase 2, Canavan disease)	4343069	Hs.32042	1.27	4.493
ribosomal protein S27a	2132619	Hs.3297	1.27	5.268
vascular endothelial growth factor B	3117190	Hs.78781	1.27	5.528
small nuclear ribonucleoprotein polypeptide A	3189146	Hs.80506	1.27	4.343
LIV-1 protein, estrogen regulated	1402273	Hs.79136	1.27	4.368
carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	1287093	Hs.104576	1.27	4.843
replication protein A2, 32kDa	1729876	Hs.79411	1.27	6.451
SMT3 suppressor of mif two 3 homolog 1 (yeast)	2132661	Hs.85119	1.27	4.728
Homo sapiens, clone IMAGE:5417844, mRNA, partial cds	2060626	Hs.9408	1.27	3.865
pyrroline 5-carboxylate reductase isoform	1988068	Hs.274287	1.27	6.01
apolipoprotein L, 4	1666080	Hs.293533	1.27	5.294
CCAAT-box-binding transcription factor	1392419	Hs.184760	1.27	4.889
cellular repressor of E1A-stimulated genes	2791206	Hs.5710	1.27	5.172
KIAA0788 protein	1706690	Hs.246112	1.26	4.293
protein translocation complex beta	1966933	Hs.77028	1.26	3.853
inositol polyphosphate-4-phosphatase, type I, 107kDa	391601	Hs.32944	1.26	6.139
transducin (beta)-like 2	2112348	Hs.52515	1.26	9.109
alcohol dehydrogenase 5 (class III), chi polypeptide	1858223	Hs.78989	1.26	4.969
protein tyrosine phosphatase, receptor type, M	1849838	Hs.154151	1.26	4.897
S164 protein	816454	Hs.236051	1.26	5.764
ESTs, Weakly similar to I37356 epithelial microtubule-associated protein, 115K - human [H.sapiens]	2383065	Hs.25892	1.26	5.673
mitogen-activated protein kinase 11	1727992	Hs.57732	1.26	3.832
structure specific recognition protein 1	2055773	Hs.79162	1.26	4.334
replication protein A1, 70kDa	1695482	Hs.84318	1.26	7.03
calponin 2	1443061	Hs.169718	1.26	7.834
hypothetical protein DKFZp761C169	2306510	Hs.71252	1.26	4.889
golgi SNAP receptor complex member 1	1427756	Hs.8868	1.26	4.039
endothelin converting enzyme 2	1295106	Hs.129801	1.26	4.647
likely ortholog of mouse ubiquitin conjugating enzyme 7 interacting protein 4	1920658	Hs.78894	1.26	4.521
DC2 protein	2457103	Hs.103180	1.26	5.37
tubulin, gamma complex associated protein 3	518959	Hs.9884	1.26	4.339
Homo sapiens, clone IMAGE:4396549, mRNA, partial cds	1299193	Hs.405270	1.26	5.298
R3H domain (binds single-stranded nucleic acids) containing	1290568	Hs.268053	1.26	7.261
eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	2131856	Hs.57783	1.26	4.33
GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	1699149	Hs.75354	1.26	6.398
transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	1851834	Hs.28935	1.26	4.575
transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	640174	Hs.101047	1.26	6.502
KIAA0409 protein	2106011	Hs.5158	1.26	4.445
ribosomal protein S7	5336256	Hs.301547	1.26	4.847
spinocerebellar ataxia 1 (olivopontocerebellar ataxia 1, autosomal dominant, ataxin 1)	340088	Hs.74520	1.26	5.207
mannosidase, alpha, class 2A, member 2	1966756	Hs.295605	1.26	4.432
Rho GTPase activating protein 8	2044444	Hs.102336	1.26	4.259
ESTs	514124	Hs.21812	1.26	4.496
ligatin	2263634	Hs.274151	1.26	4.535
death-associated protein	4108633	Hs.75189	1.26	4.155
CUG triplet repeat, RNA binding protein 1	1995892	Hs.81248	1.25	4.585
heparan sulfate (glucosamine) 3-O-sulfotransferase 1	513943	Hs.40968	1.25	4.092
O-linked mannose beta1,2-N-acetylglucosaminyltransferase	1447285	Hs.183860	1.25	3.924
zinc ribbon domain containing, 1	2267614	Hs.57813	1.25	5.196
KIAA0187 gene product	1645971	Hs.10848	1.25	5.357
RYK receptor-like tyrosine kinase	1815050	Hs.79350	1.25	4.606
BN51 (BHK21) temperature sensitivity complementing	1448015	Hs.1276	1.25	3.899
NS1-associated protein 1	2845548	Hs.373499	1.25	6.69
nucleoporin 88kDa	797600	Hs.172108	1.25	4.463
hypothetical protein FLJ20793	2099026	Hs.393334	1.25	5.932
peptide-histidine transporter 4	380220	Hs.355660	1.25	5.857
nucleolar protein 1, 120kDa	460779	Hs.15243	1.25	4.891
myeloid/lymphoid or mixed-lineage leukemia 2	3316536	Hs.153638	1.25	3.888
E2F transcription factor 5, p130-binding	548792	Hs.408868	1.25	3.982
RAD17 homolog (S. pombe)	727377	Hs.16184	1.25	3.889
midline 1 (Opitz/BBB syndrome)	2170171	Hs.27695	1.25	5.98
ribosomal protein L7	1120	Hs.153	1.25	5.69
mitogen-activated protein kinase kinase kinase 4	2315985	Hs.32353	1.25	5.243
EST	970933	Hs.401109	1.25	4.605
stromal cell derived factor receptor 1	1818969	Hs.6354	1.25	4.084
follicular lymphoma variant translocation 1	2679084	Hs.74050	1.25	4.191
Werner helicase interacting protein	3989540	Hs.236828	1.25	5.237
proline and glutamic acid rich nuclear protein	2414570	Hs.274149	1.25	5.308
ATX1 antioxidant protein 1 homolog (yeast)	2313349	Hs.279910	1.25	3.935
LanC lantibiotic synthetase component C-like 1 (bacterial)	1674985	Hs.13351	1.25	5.402
histone deacetylase 7A	1968721	Hs.275438	1.25	4.327
Friedreich ataxia	1630804	Hs.95998	1.25	4.873
interleukin 10 receptor, alpha	1337981	Hs.327	1.25	4.29
nuclear transcription factor Y, beta	2222566	Hs.84928	1.25	4.457
ADP-ribosylation-like factor 6 interacting protein 2	1923470	Hs.27099	1.25	5.386
KIAA0662 gene product	2790394	Hs.93868	1.25	4.059
methionyl aminopeptidase 2	2631587	Hs.78935	1.25	5.647
hypothetical protein FLJ20375	995821	Hs.274251	1.25	5.836
KIAA0036 gene product	1863428	Hs.169387	1.25	5.96
collagen, type IV, alpha 5 (Alport syndrome)	2606307	Hs.169825	1.24	4.119
poliovirus receptor-related 3	2680168	Hs.21201	1.24	4.839
hypothetical protein FLJ20323	814763	Hs.83937	1.24	6.515
zinc finger protein	2449636	Hs.102419	1.24	4.016
DKFZp434J1813 protein	3088609	Hs.1098	1.24	3.991
hypothetical protein FLJ20274	2176218		1.24	4.556
FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	1966067	Hs.183738	1.24	3.976
glutamate rich WD repeat protein GRWD	1561867	Hs.218842	1.24	5.216
likely ortholog of mouse enhancer trap locus 1	571157	Hs.21356	1.24	4.408
