Gene Symbol	Name
FREQ	Frequenin homolog (Drosophila)
FTO	Fat mass and obesity associated
FUBP1	Far upstream element (FUSE) binding protein 1
FUCA1	Fucosidase, alpha-L- 1, tissue
FXYD6	FXYD domain containing ion transport regulator 6
FYCO1	FYVE and coiled-coil domain containing 1
FZD10	Frizzled homolog 10 (Drosophila)
FZD9	Frizzled homolog 9 (Drosophila)
GABARAPL2	GABA(A) receptor-associated protein-like 2
GALE	UDP-galactose-4-epimerase
GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)
GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
GAMT	Guanidinoacetate N-methyltransferase
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase
GART	Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GATM	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)
GBA	Glucosidase, beta; acid (includes glucosylceramidase)
GDI2	GDP dissociation inhibitor 2
GGA1	Golgi associated, gamma adaptin ear containing, ARF binding protein 1
GINS3	GINS complex subunit 3 (Psf3 homolog)
GKAP1	G kinase anchoring protein 1
GLCCI1	Glucocorticoid induced transcript 1
GLG1	Golgi apparatus protein 1
GLTSCR2	Glioma tumor suppressor candidate region gene 2
GNB4	Guanine nucleotide binding protein (G protein), beta polypeptide 4
GOLPH2	Golgi phosphoprotein 2
GPATCH1	G patch domain containing 1
GPR125	G protein-coupled receptor 125
GPR56	G protein-coupled receptor 56
GPRC5C	G protein-coupled receptor, family C, group 5, member C
GPT	Glutamic-pyruvate transaminase (alanine aminotransferase)
GPT2	Glutamic pyruvate transaminase (alanine aminotransferase) 2
GPX7	Glutathione peroxidase 7
GRB14	Growth factor receptor-bound protein 14
GSC	Goosecoid
GSDML	Gasdermin-like
GSK3B	Glycogen synthase kinase 3 beta
GSTA2	Glutathione S-transferase A2
GSTK1	Glutathione S-transferase kappa 1
GTF2IP1	General transcription factor II, i, pseudogene 1
GTF3A	General transcription factor IIIA
GTPBP3	GTP binding protein 3 (mitochondrial)
H2AFV	H2A histone family, member V
H2AFY	H2A histone family, member Y
H2AFZ	H2A histone family, member Z
H2BFS	H2B histone family, member S
H3F3B	H3 histone, family 3B (H3.3B)
HACL1	2-hydroxyacyl-CoA lyase 1
HAGH	Hydroxyacylglutathione hydrolase
HBG1	Hemoglobin, gamma A
hCG_27695	HCG27695
HDAC2	Histone deacetylase 2
HDC	Histidine decarboxylase
HEATR3	HEAT repeat containing 3
HEATR6	HEAT repeat containing 6
HEBP1	Heme binding protein 1
HINT1	Histidine triad nucleotide binding protein 1
HIPK2	Homeodomain interacting protein kinase 2
HIST1H2AC	Histone cluster 1, H2ac
HIST1H2AE	Histone cluster 1, H2ae
HIST1H2AK	Histone cluster 1, H2ak
HIST1H2BB	Histone cluster 1, H2bb
HIST1H2BD	Histone cluster 1, H2bd
HIST1H2BE	Histone cluster 1, H2be
HIST1H2BI	Histone cluster 1, H2bi
HIST1H2BJ	Histone cluster 1, H2bj
HIST1H2BL	Histone cluster 1, H2bl
HIST1H2BM	Histone cluster 1, H2bm
HIST1H2BO	Histone cluster 1, H2bo
HIST2H3PS2	Histone cluster 2, H3, pseudogene 2
HM13	Histocompatibility (minor) 13
HMBOX1	Homeobox containing 1
HN1	Hematological and neurological expressed 1
HNRPA3	Heterogeneous nuclear ribonucleoprotein A3
HNRPDL	Heterogeneous nuclear ribonucleoprotein D-like
HOXA5	Homeobox A5
HOXA7	Homeobox A7
HOXB2	Homeobox B2
HOXB7	Homeobox B7
HOXC10	Homeobox C10
HOXC13	Homeobox C13
HOXC9	Homeobox C9
HOXD3	Homeobox D3
HPS3	Hermansky-Pudlak syndrome 3
HRASLS	HRAS-like suppressor
HRB	HIV-1 Rev binding protein
HRSP12	Heat-responsive protein 12
HSD17B2	Hydroxysteroid (17-beta) dehydrogenase 2
HSF1	Heat shock transcription factor 1
HSPA2	Heat shock 70kDa protein 2
HSPC148	Hypothetical protein HSPC148
HTATIP2	HIV-1 Tat interactive protein 2, 30kDa
ICMT	Isoprenylcysteine carboxyl methyltransferase
ICT1	Immature colon carcinoma transcript 1
IDH2	Isocitrate dehydrogenase 2 (NADP+), mitochondrial
IDS	Iduronate 2-sulfatase (Hunter syndrome)
IFI44	Interferon-induced protein 44
IFIT5	Interferon-induced protein with tetratricopeptide repeats 5
IFT88	Intraflagellar transport 88 homolog (Chlamydomonas)
IGFALS	Insulin-like growth factor binding protein, acid labile subunit
IL13RA1	Interleukin 13 receptor, alpha 1
IL17B	Interleukin 17B
IL23A	Interleukin 23, alpha subunit p19
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)
ILF2	Interleukin enhancer binding factor 2, 45kDa
IMP3	IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)
IMPA2	Inositol(myo)-1(or 4)-monophosphatase 2
ING2	Inhibitor of growth family, member 2
INHBB	Inhibin, beta B (activin AB beta polypeptide)
INSM1	Insulinoma-associated 1
INTS4	Integrator complex subunit 4
IQCA	IQ motif containing with AAA domain
IQCE	IQ motif containing E
IQCG	IQ motif containing G
IQGAP2	IQ motif containing GTPase activating protein 2
IRF4	Interferon regulatory factor 4
IRX4	Iroquois homeobox protein 4
ISCA2	Iron-sulfur cluster assembly 2 homolog (S. cerevisiae)
ISG20	Interferon stimulated exonuclease gene 20kDa
ISGF3G	Interferon-stimulated transcription factor 3, gamma 48kDa
JAKMIP1	Janus kinase and microtubule interacting protein 1
JARID1A	Jumonji, AT rich interactive domain 1A
KARCA1	Kelch/ankyrin repeat containing cyclin A1 interacting protein
KATNA1	Katanin p60 (ATPase-containing) subunit A 1
KCNC2	Potassium voltage-gated channel, Shaw-related subfamily, member 2
KCNN4	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
KCNS3	Potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3
KCTD1	Potassium channel tetramerisation domain containing 1
KCTD3	Potassium channel tetramerisation domain containing 3
KIAA0020	KIAA0020
KIAA0196	KIAA0196
KIAA0241	KIAA0241
KIAA0274	KIAA0274
KIAA0922	KIAA0922
KIAA1683	KIAA1683
KIF24	Kinesin family member 24
KIN	KIN, antigenic determinant of recA protein homolog (mouse)
KLK10	Kallikrein-related peptidase 10
KLK5	Kallikrein-related peptidase 5
KLK6	Kallikrein-related peptidase 6
KLK7	Kallikrein-related peptidase 7
KLK8	Kallikrein-related peptidase 8
KREMEN2	Kringle containing transmembrane protein 2
KRT15	Keratin 15
KRT23	Keratin 23 (histone deacetylase inducible)
KRT37	Keratin 37
KRT6B	Keratin 6B
LAMB3	Laminin, beta 3
LASS2	LAG1 homolog, ceramide synthase 2 (S. cerevisiae)
LAX1	Lymphocyte transmembrane adaptor 1
LBR	Lamin B receptor
LCE1C	Late cornified envelope 1C
LCORL	Ligand dependent nuclear receptor corepressor-like
LDHB	Lactate dehydrogenase B
LDOC1L	Leucine zipper, down-regulated in cancer 1-like
LETMD1	LETM1 domain containing 1
LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
LGALS2	Lectin, galactoside-binding, soluble, 2
LGR6	Leucine-rich repeat-containing G protein-coupled receptor 6
LGTN	Ligatin
LIMA1	LIM domain and actin binding 1
LIMD2	LIM domain containing 2
LNX1	Ligand of numb-protein X 1
LOC124220	Similar to common salivary protein 1
LOC158381	Hypothetical protein LOC158381
LOC339745	Hypothetical protein LOC339745
LOC388720	Similar to ubiquitin and ribosomal protein S27a precursor
LOC493869	Similar to RIKEN cDNA 2310016C16
LOC541469	Hypothetical protein LOC541469
LOC644422	Similar to arginine/serine-rich splicing factor 6
LOC653156	Similar to 60S ribosomal protein L21
LOC653689	Glutathione S-transferase theta 2
LOC92196	Death-associated protein-like 1
LONP2	Lon peptidase 2, peroxisomal
LRAP	Leukocyte-derived arginine aminopeptidase
LRP8	Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
LRRC17	Leucine rich repeat containing 17
LTB	Lymphotoxin beta (TNF superfamily, member 3)
LY6D	Lymphocyte antigen 6 complex, locus D
LYN	V-yes-1 Yamaguchi sarcoma viral related oncogene homolog
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
MAEL	Maelstrom homolog (Drosophila)
MAGEA12	Melanoma antigen family A, 12
MAGEA3	Melanoma antigen family A, 3
MAGEA4	Melanoma antigen family A, 4
MAGED2	Melanoma antigen family D, 2
MAGI3	Membrane associated guanylate kinase, WW and PDZ domain containing 3
MAL2	Mal, T-cell differentiation protein 2
MAN2B1	Mannosidase, alpha, class 2B, member 1
MAP9	Microtubule-associated protein 9
MARCO	Macrophage receptor with collagenous structure
MCM2	Minichromosome maintenance complex component 2
MESP1	Mesoderm posterior 1 homolog (mouse)
METRN	Meteorin, glial cell differentiation regulator
MFAP2	Microfibrillar-associated protein 2
MGAT4B	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B
MGC16025	Hypothetical protein MGC16025
MGC23985	Similar to AVLV472
MGC40489	Hypothetical protein MGC40489
MGC5139	Hypothetical protein MGC5139
MID1	Midline 1 (Opitz/BBB syndrome)
MLF1IP	MLF1 interacting protein
MLSTD1	Male sterility domain containing 1
MMP1	Matrix metallopeptidase 1 (interstitial collagenase)
MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)
MNAT1	Menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)
MND1	Meiotic nuclear divisions 1 homolog (S. cerevisiae)
MORC2	MORC family CW-type zinc finger 2
MORC4	MORC family CW-type zinc finger 4
MREG	Melanoregulin
MRFAP1	Mof4 family associated protein 1
MRPL14	Mitochondrial ribosomal protein L14
MRPL15	Mitochondrial ribosomal protein L15
MRPL27	Mitochondrial ribosomal protein L27
MRPL34	Mitochondrial ribosomal protein L34
MRPL43	Mitochondrial ribosomal protein L43
MRPL45	Mitochondrial ribosomal protein L45
MRPL48	Mitochondrial ribosomal protein L48
MRPL9	Mitochondrial ribosomal protein L9
MRPS14	Mitochondrial ribosomal protein S14
MRPS15	Mitochondrial ribosomal protein S15
MRPS17	Mitochondrial ribosomal protein S17
MRPS21	Mitochondrial ribosomal protein S21
MRPS25	Mitochondrial ribosomal protein S25
MRPS31	Mitochondrial ribosomal protein S31
MRPS6	Mitochondrial ribosomal protein S6
MS4A1	Membrane-spanning 4-domains, subfamily A, member 1
MSH2	MutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)
MSH3	MutS homolog 3 (E. coli)
MSMB	Microseminoprotein, beta-
MTA1	Metastasis associated 1
MTA3	Metastasis associated 1 family, member 3
MTAC2D1	Membrane targeting (tandem) C2 domain containing 1
MTCH1	Mitochondrial carrier homolog 1 (C. elegans)
MTHFD1	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
MTMR2	Myotubularin related protein 2
MUC20	Mucin 20, cell surface associated
MUM1	Melanoma associated antigen (mutated) 1
MXI1	MAX interactor 1
MYBL1	V-myb myeloblastosis viral oncogene homolog (avian)-like 1
MYO10	Myosin X
NANS	N-acetylneuraminic acid synthase (sialic acid synthase)
NARF	Nuclear prelamin A recognition factor
NARS2	Asparaginyl-tRNA synthetase 2, mitochondrial (putative)
NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)
NAV2	Neuron navigator 2
NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)
NDE1	NudE nuclear distribution gene E homolog 1 (A. nidulans)
NDRG2	NDRG family member 2
NDUFA7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa
NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa
NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa
NDUFB2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa
NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa
NDUFB6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa
NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa
NEK2	NIMA (never in mitosis gene a)-related kinase 2
NEK6	NIMA (never in mitosis gene a)-related kinase 6
NELL2	NEL-like 2 (chicken)
NEURL	Neuralized homolog (Drosophila)
NFE2L3	Nuclear factor (erythroid-derived 2)-like 3
NFIB	Nuclear factor I/B
NINJ1	Ninjurin 1
NIPSNAP3A	Nipsnap homolog 3A (C. elegans)
NKX62	NK6 transcription factor related, locus 2 (Drosophila)
NME1	Non-metastatic cells 1, protein (NM23A) expressed in
NMI	N-myc (and STAT) interactor
NPDC1	Neural proliferation, differentiation and control, 1
NPY	Neuropeptide Y
NRAS	Neuroblastoma RAS viral (v-ras) oncogene homolog
NRIP1	Nuclear receptor interacting protein 1
NTF3	Neurotrophin 3
NUCB2	Nucleobindin 2
NUDCD1	NudC domain containing 1
NUDT5	Nudix (nucleoside diphosphate linked moiety X)-type motif 5
NUDT6	Nudix (nucleoside diphosphate linked moiety X)-type motif 6
NUF2	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)
NYSAR48	Sarcoma antigen NY-SAR-48
OCIAD2	OCIA domain containing 2
OFD1	Oral-facial-digital syndrome 1
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
OPLAH	5-oxoprolinase (ATP-hydrolysing)
ORMDL3	ORM1-like 3 (S. cerevisiae)
OSBPL3	Oxysterol binding protein-like 3
OSR2	Odd-skipped related 2 (Drosophila)
OSTF1	Osteoclast stimulating factor 1
P2RY10	Purinergic receptor P2Y, G-protein coupled, 10
P2RY2	Purinergic receptor P2Y, G-protein coupled, 2
PADI2	Peptidyl arginine deiminase, type II
PAPD5	PAP associated domain containing 5
PAQR4	Progestin and adipoQ receptor family member IV
PARD6A	Par-6 partitioning defective 6 homolog alpha (C. elegans)
PARP1	Poly (ADP-ribose) polymerase family, member 1
PARP9	Poly (ADP-ribose) polymerase family, member 9
PAXIP1	PAX interacting (with transcription-activation domain) protein 1
PBK	PDZ binding kinase
PBX3	Pre-B-cell leukemia homeobox 3
PCDHB11	Protocadherin beta 11
PCDHB16	Protocadherin beta 16
PCDHB2	Protocadherin beta 2
PCM1	Pericentriolar material 1
PDCD1	Programmed cell death 1
PDCD10	Programmed cell death 10
PDCD5	Programmed cell death 5
PDHA1	Pyruvate dehydrogenase (lipoamide) alpha 1
PDIA4	Protein disulfide isomerase family A, member 4
PDSS1	Prenyl (decaprenyl) diphosphate synthase, subunit 1
PDXDC1	Pyridoxal-dependent decarboxylase domain containing 1
PDXK	Pyridoxal (pyridoxine, vitamin B6) kinase
PEG10	Paternally expressed 10
PER2	Period homolog 2 (Drosophila)
PERP	PERP, TP53 apoptosis effector
PEX1	Peroxisome biogenesis factor 1
PFAAP5	Phosphonoformate immuno-associated protein 5
PFDN2	Prefoldin subunit 2
PFDN5	Prefoldin subunit 5
PGM1	Phosphoglucomutase 1
PHB2	Prohibitin 2
PHYH	Phytanoyl-CoA 2-hydroxylase
PIB5PA	Phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A
PIGT	Phosphatidylinositol glycan anchor biosynthesis, class T
PIM2	Pim-2 oncogene
PISD	Phosphatidylserine decarboxylase
PITPNC1	Phosphatidylinositol transfer protein, cytoplasmic 1
PLAC8	Placenta-specific 8
PLCB1	Phospholipase C, beta 1 (phosphoinositide-specific)
PLCXD1	Phosphatidylinositol-specific phospholipase C, X domain containing 1
PLEK2	Pleckstrin 2
PLEKHH3	Pleckstrin homology domain containing, family H (with MyTH4 domain) member 3
PNLIPRP2	Pancreatic lipase-related protein 2
PNMA3	Paraneoplastic antigen MA3
PNPLA3	Patatin-like phospholipase domain containing 3
POLB	Polymerase (DNA directed), beta
POLR2H	Polymerase (RNA) II (DNA directed) polypeptide H
POMC	Proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte stimulating hormone/ beta-endorphin)
POP4	Processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)
POP7	Processing of precursor 7, ribonuclease P subunit (S. cerevisiae)
PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2)
PPHLN1	Periphilin 1
PPIL1	Peptidylprolyl isomerase (cyclophilin)-like 1
PPOX	Protoporphyrinogen oxidase
PPP1R16A	Protein phosphatase 1, regulatory (inhibitor) subunit 16A
PPP1R3C	Protein phosphatase 1, regulatory (inhibitor) subunit 3C
PPP2R2D	Protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R5A	Protein phosphatase 2, regulatory subunit B, alpha isoform
PRKCB1	Protein kinase C, beta 1
PRKCI	Protein kinase C, iota
PRKRIR	Protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)
PRKX	Protein kinase, X-linked
PRNP	Prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
PRPF18	PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)
PRPSAP1	Phosphoribosyl pyrophosphate synthetase-associated protein 1
PRR13	Proline rich 13
PRSS12	Protease, serine, 12 (neurotrypsin, motopsin)
PRSS16	Protease, serine, 16 (thymus)
PRSS33	Protease, serine, 33
PSD3	Pleckstrin and Sec7 domain containing 3
PSMA3	Proteasome (prosome, macropain) subunit, alpha type, 3
PSMA7	Proteasome (prosome, macropain) subunit, alpha type, 7
PSMB1	Proteasome (prosome, macropain) subunit, beta type, 1
PSMB4	Proteasome (prosome, macropain) subunit, beta type, 4
PSMC5	Proteasome (prosome, macropain) 26S subunit, ATPase, 5
PSMC6	Proteasome (prosome, macropain) 26S subunit, ATPase, 6
PSMD12	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
PSMD3	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 3
PSPH	Phosphoserine phosphatase
PTGER3	Prostaglandin E receptor 3 (subtype EP3)
PTHLH	Parathyroid hormone-like hormone
PTK6	PTK6 protein tyrosine kinase 6
PTPN4	Protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)
PTPN7	Protein tyrosine phosphatase, non-receptor type 7
PTRH2	Peptidyl-tRNA hydrolase 2
PTS	6-pyruvoyltetrahydropterin synthase
PURB	Purine-rich element binding protein B
PXDNL	Peroxidasin homolog (Drosophila)-like
PXMP2	Peroxisomal membrane protein 2, 22kDa
PYCARD	PYD and CARD domain containing
PYCR1	Pyrroline-5-carboxylate reductase 1
QPRT	Quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))
QSOX1	Quiescin Q6 sulfhydryl oxidase 1
RAB11FIP1	RAB11 family interacting protein 1 (class I)
RAB11FIP4	RAB11 family interacting protein 4 (class II)
RAB13	RAB13, member RAS oncogene family
RAB27A	RAB27A, member RAS oncogene family
RAB30	RAB30, member RAS oncogene family
RAB34	RAB34, member RAS oncogene family
RAB35	RAB35, member RAS oncogene family
RAB39B	RAB39B, member RAS oncogene family
RAB3A	RAB3A, member RAS oncogene family
RAB3IP	RAB3A interacting protein (rabin3)
RABGAP1L	RAB GTPase activating protein 1-like
RAD17	RAD17 homolog (S. pombe)
RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)
RAD51AP1	RAD51 associated protein 1
RAD54L	RAD54-like (S. cerevisiae)
RANBP1	RAN binding protein 1
RARRES1	Retinoic acid receptor responder (tazarotene induced) 1
RBBP7	Retinoblastoma binding protein 7
RBBP8	Retinoblastoma binding protein 8
RBM35A	RNA binding motif protein 35A
RBM8A	RNA binding motif protein 8A
RBX1	Ring-box 1
RC74	Integrator complex subunit 9
RCC1	Regulator of chromosome condensation 1
RDHE2	Epidermal retinal dehydrogenase 2
RDX	Radixin
REG1A	Regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)
RELB	V-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)
REPIN1	Replication initiator 1
RFC4	Replication factor C (activator 1) 4, 37kDa
RGS10	Regulator of G-protein signalling 10
RHBDL2	Rhomboid, veinlet-like 2 (Drosophila)
RIBC2	RIB43A domain with coiled-coils 2
RIC8A	Resistance to inhibitors of cholinesterase 8 homolog A (C. elegans)
RIT1	Ras-like without CAAX 1
RLN2	Relaxin 2
RNF135	Ring finger protein 135
RNF43	Ring finger protein 43
RNF7	Ring finger protein 7
RNUXA	RNA U, small nuclear RNA export adaptor (phosphorylation regulated)
ROPN1	Ropporin, rhophilin associated protein 1
	KIAA0980 protein
RPA3	Replication protein A3, 14kDa
RPESP	RPE-spondin
RPL11	Ribosomal protein L11
RPL15	Ribosomal protein L15
RPL19	Ribosomal protein L19
RPL23A	Ribosomal protein L23a
RPL26	Ribosomal protein L26
RPL29	Ribosomal protein L29
RPL36	Ribosomal protein L36
RPL36AL	Ribosomal protein L36a-like
RPS16	Ribosomal protein S16
RPS4Y1	Ribosomal protein S4, Y-linked 1
RRAGA	Ras-related GTP binding A
RRAGD	Ras-related GTP binding D
RRM1	Ribonucleotide reductase M1 polypeptide
RSU1	Ras suppressor protein 1
RTN4IP1	Reticulon 4 interacting protein 1
S100A14	S100 calcium binding protein A14
S100A16	S100 calcium binding protein A16
SAE1	SUMO1 activating enzyme subunit 1
SALL2	Sal-like 2 (Drosophila)
SAR1A	SAR1 gene homolog A (S. cerevisiae)
SAR1B	SAR1 gene homolog B (S. cerevisiae)
SCCPDH	Saccharopine dehydrogenase (putative)
SCIN	Scinderin
SCML1	Sex comb on midleg-like 1 (Drosophila)
SCPEP1	Serine carboxypeptidase 1
SCRIB	Scribbled homolog (Drosophila)
SDC1	Syndecan 1
SDCCAG8	Serologically defined colon cancer antigen 8
SEC11C	SEC11 homolog C (S. cerevisiae)
SEC61G	Sec61 gamma subunit
SEMA3B	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B
SEPW1	Selenoprotein W, 1
SERP1	Stress-associated endoplasmic reticulum protein 1
SERPINA5	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5
SERPINB5	Serpin peptidase inhibitor, clade B (ovalbumin), member 5
SFRS17A	Splicing factor, arginine/serine-rich 17A
SGCD	Sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
SH3BGRL	SH3 domain binding glutamic acid-rich protein like
SHFM1	Split hand/foot malformation (ectrodactyly) type 1
SIGLEC12	Sialic acid binding Ig-like lectin 12
SIT1	Signaling threshold regulating transmembrane adaptor 1
SKP1A	S-phase kinase-associated protein 1A (p19A)
SLC12A9	Solute carrier family 12 (potassium/chloride transporters), member 9
SLC13A3	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3
SLC16A6	Solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
SLC19A2	Solute carrier family 19 (thiamine transporter), member 2
SLC1A1	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
SLC1A2	Solute carrier family 1 (glial high affinity glutamate transporter), member 2
SLC24A3	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
SLC25A29	Solute carrier family 25, member 29
SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4
SLC27A2	Solute carrier family 27 (fatty acid transporter), member 2
SLC27A5	Solute carrier family 27 (fatty acid transporter), member 5
SLC39A4	Solute carrier family 39 (zinc transporter), member 4
SLC41A3	Solute carrier family 41, member 3
SLC6A4	Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
SLITRK6	SLIT and NTRK-like family, member 6
SMA5	SMA5
SMAD2	SMAD family member 2
SMCHD1	Structural maintenance of chromosomes flexible hinge domain containing 1
SMO	Smoothened homolog (Drosophila)
SMPD3	Sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)
SMR3A	Submaxillary gland androgen regulated protein 3 homolog A (mouse)
SMU1	Smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)
SNF8	SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)
SNPH	Syntaphilin
SNRPB2	Small nuclear ribonucleoprotein polypeptide B
SNRPD1	Small nuclear ribonucleoprotein D1 polypeptide 16kDa
SNRPD3	Small nuclear ribonucleoprotein D3 polypeptide 18kDa
SNRPG	Small nuclear ribonucleoprotein polypeptide G
SNX7	Sorting nexin 7
SOBP	Sine oculis binding protein homolog (Drosophila)
SOD2	Superoxide dismutase 2, mitochondrial
SORCS1	Sortilin-related VPS10 domain containing receptor 1
SOX4	SRY (sex determining region Y)-box 4
SPAG5	Sperm associated antigen 5
SPG3A	Spastic paraplegia 3A (autosomal dominant)
SQRDL	Sulfide quinone reductase-like (yeast)
SREBF1	Sterol regulatory element binding transcription factor 1
SRI	Sorcin
SRPK1	SFRS protein kinase 1
SSR4	Signal sequence receptor, delta (translocon-associated protein delta)
STARD3NL	STARD3 N-terminal like
STARD7	START domain containing 7
STC2	Stanniocalcin 2
STMN1	Stathmin 1/oncoprotein 18
STX1A	Syntaxin 1A (brain)
STX3	Syntaxin 3
STYX	Serine/threonine/tyrosine interacting protein
SUGT1	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)
SUMF1	Sulfatase modifying factor 1
SUV39H2	Suppressor of variegation 3-9 homolog 2 (Drosophila)
SYCP2	Synaptonemal complex protein 2
SYTL2	Synaptotagmin-like 2
TAF1B	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa
TANC2	Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
TARBP1	Tar (HIV-1) RNA binding protein 1
TARS	Threonyl-tRNA synthetase
TATDN1	TatD DNase domain containing 1
TBC1D14	TBC1 domain family, member 14
TBCA	Tubulin folding cofactor A
TBL1XR1	Transducin (beta)-like 1X-linked receptor 1
TBX1	T-box 1
TBX3	T-box 3 (ulnar mammary syndrome)
TCAP	Titin-cap (telethonin)
TCEAL4	Transcription elongation factor A (SII)-like 4
TCEAL5	Transcription elongation factor A (SII)-like 5
TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)
TCP1	T-complex 1
TDRD7	Tudor domain containing 7
TESK2	Testis-specific kinase 2
TFCP2L1	Transcription factor CP2-like 1
THSD4	Thrombospondin, type I, domain containing 4
THYN1	Thymocyte nuclear protein 1
TIMELESS	Timeless homolog (Drosophila)
TIMM9	Translocase of inner mitochondrial membrane 9 homolog (yeast)
TINP1	TGF beta-inducible nuclear protein 1
TIPIN	TIMELESS interacting protein
TLE2	Transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)
TLR5	Toll-like receptor 5
TLR7	Toll-like receptor 7
TM4SF18	Transmembrane 4 L six family member 18
TMC6	Transmembrane channel-like 6
TMEM101	Transmembrane protein 101
TMEM118	Transmembrane protein 118
TMEM121	Transmembrane protein 121
TMEM126A	Transmembrane protein 126A
TMEM132A	Transmembrane protein 132A
TMEM135	Transmembrane protein 135
TMEM139	Transmembrane protein 139
TMEM141	Transmembrane protein 141
TMEM149	Transmembrane protein 149
TMEM14A	Transmembrane protein 14A
TMEM186	Transmembrane protein 186
TMEM4	Transmembrane protein 4
TMPRSS5	Transmembrane protease, serine 5 (spinesin)
TMSL8	Thymosin-like 8
TNFRSF17	Tumor necrosis factor receptor superfamily, member 17
TNFRSF21	Tumor necrosis factor receptor superfamily, member 21
