Probeset ID	RefSeq Transcript ID(GenBank Accession)	Gene Symbol	Gene Title	Signal Log Ratio	control siRNA_signal	nm23-H1 siRNA_Signal
206117_at	NM_000366 /// NM_001018004 /// NM_001018005 /// NM_001018006 /// NM_001018007 /// NM_001018008 /// NM_001018020	TPM1	tropomyosin 1 (alpha)	1.4	164	723.9
208961_s_at	NM_001008490 /// NM_001300	KLF6	Kruppel-like factor 6	1.4	1069.8	2514.7
209393_s_at	NM_004846	EIF4E2	eukaryotic translation initiation factor 4E family member 2	1.4	725.1	1826.9
209786_at	NM_006353	HMGN4	high mobility group nucleosomal binding domain 4	1.4	1078.9	2775.6
210681_s_at	NM_006313	USP15	ubiquitin specific peptidase 15	1.4	804.6	2069.6
211924_s_at	NM_001005376 /// NM_001005377 /// NM_002659	PLAUR	plasminogen activator, urokinase receptor	1.4	603.9	840
212530_at	NM_133494	NEK7	NIMA (never in mitosis gene a)-related kinase 7	1.4	1172.6	2980.3
212900_at	NM_021982 /// XM_001128954 /// XM_001132082 /// XM_001132097	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	1.4	582.9	1471
213372_at	NM_001040202	PAQR3	progestin and adipoQ receptor family member III	1.4	506.4	971.6
213988_s_at	NM_002970	SAT1	spermidine/spermine N1-acetyltransferase 1	1.4	1788	5328.4
215073_s_at	NM_021005	NR2F2	nuclear receptor subfamily 2, group F, member 2	1.4	523.5	1444.4
215779_s_at	NM_003518	HIST1H2BG	histone cluster 1, H2bg	1.4	179.3	538.5
218273_s_at	NM_018444	PPM2C	protein phosphatase 2C, magnesium-dependent, catalytic subunit	1.4	939.6	2765.1
218309_at	NM_018584	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	1.4	429.8	1219.9
218644_at	NM_016445	PLEK2	pleckstrin 2	1.4	1602.4	4781.7
219985_at	NM_006042	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	1.4	118.2	311.6
221582_at	NM_033445	HIST3H2A	histone cluster 3, H2a	1.4	372.6	773.1
221810_at	NM_198686	RAB15	RAB15, member RAS onocogene family	1.4	115.7	254.7
223707_at	NM_000990	MGC10850	hypothetical protein MGC10850	1.4	96.6	339
224917_at	---	MIRN21	microRNA 21	1.4	3935.9	10376.5
225078_at	NM_001424	EMP2	epithelial membrane protein 2	1.4	267.7	942
226319_s_at	NM_005782 /// XM_001134346 /// XR_016810	LOC644811 /// THOC4	THO complex 4 /// similar to THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)	1.4	1736.8	4609.6
226346_at	NM_001093725 /// XM_044166 /// XM_937993	MEX3A	MEX3A protein	1.4	84	275.4
227198_at	NM_001025108 /// NM_002285	AFF3	AF4/FMR2 family, member 3	1.4	251.2	630.6
227256_at	NM_020718	USP31	ubiquitin specific peptidase 31	1.4	557.1	1569.8
227682_at	---	---	Transcribed locus	1.4	193.5	643.1
228478_at	---	---	Full length insert cDNA YH99G08	1.4	522.9	1356.4
228737_at	NM_001098796 /// NM_001098797 /// NM_001098798 /// NM_032883	TOX2	TOX high mobility group box family member 2	1.4	358.2	1058.7
229221_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	---	---	1.4	231.8	574
231121_at	NM_032383	HPS3	Hermansky-Pudlak syndrome 3	1.4	142.6	429.7
231513_at	---	---	Transcribed locus	1.4	1585.7	4427.4
235022_at	NM_001098801 /// NM_152352	C18orf19	chromosome 18 open reading frame 19	1.4	1197.6	3221.4
235419_at	---	---	Transcribed locus	1.4	309.8	920.3
236718_at	NM_012334	---	Transcribed locus	1.4	194.5	514.1
238462_at	NM_032873	STS-1	Cbl-interacting protein Sts-1	1.4	73.4	277.7
239756_at	---	---	Transcribed locus	1.4	153.1	270
241733_at	NM_173529	C18orf54	Chromosome 18 open reading frame 54	1.4	162.5	458.5
1555039_a_at	NM_001105515 /// NM_005845	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	1.3	151.8	281.6
1555167_s_at	NM_005746	PBEF1	pre-B-cell colony enhancing factor 1	1.3	727.6	1654.9
1555758_a_at	NM_005192	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	1.3	3111.5	7485.2
1557053_s_at	NM_003343 /// NM_182688	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	1.3	324.5	763.7
1558014_s_at	NM_032228	MLSTD2	male sterility domain containing 2	1.3	75.5	424.7
1559948_at	---	---	CDNA FLJ20447 fis, clone KAT05276	1.3	120.9	446.7
1564796_at	NM_001423	EMP1	epithelial membrane protein 1	1.3	86.4	290.1
200745_s_at	NM_002074	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	1.3	4910.1	13524.1
200746_s_at	NM_002074	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	1.3	4031.8	9270.2
201250_s_at	NM_006516	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	1.3	428.6	1052.1
201304_at	NM_005000	NDUFA5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	1.3	1807.2	4901
202241_at	NM_025195	TRIB1	tribbles homolog 1 (Drosophila)	1.3	585.1	1463.7
202933_s_at	NM_005433	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	1.3	3623.4	9138.4
203812_at	---	---	CDNA clone IMAGE:5922621	1.3	124.1	284.6
204221_x_at	NM_006851	GLIPR1	GLI pathogenesis-related 1 (glioma)	1.3	186.6	482.6
204348_s_at	NM_001005353 /// NM_013410 /// NM_203464	AK3L1	adenylate kinase 3-like 1	1.3	3495.9	8698.3
204526_s_at	NM_001102426 /// NM_007063	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	1.3	1062.2	2479.7
204686_at	NM_005544	IRS1	insulin receptor substrate 1	1.3	456.4	1318
205000_at	NM_004660	DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	1.3	1666.7	3430.3
205286_at	NM_003222	TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	1.3	192.1	409.4
205480_s_at	NM_001001521 /// NM_006759	UGP2	UDP-glucose pyrophosphorylase 2	1.3	3575.8	8877.9
206115_at	NM_004430 /// XM_001130047	EGR3	early growth response 3	1.3	163.7	372.1
206157_at	NM_002852	PTX3	pentraxin-related gene, rapidly induced by IL-1 beta	1.3	2882.3	6805.1
206307_s_at	NM_004472	FOXD1	forkhead box D1	1.3	3103	7169.3
206377_at	NM_001452	FOXF2	forkhead box F2	1.3	199.5	456.5
207604_s_at	NM_003615	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	1.3	1363.1	3371
209041_s_at	NM_003343 /// NM_182688	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	1.3	415.7	986.7
209119_x_at	NM_021005	NR2F2	nuclear receptor subfamily 2, group F, member 2	1.3	156.4	346.6
209604_s_at	NM_001002295 /// NM_002051	GATA3	GATA binding protein 3	1.3	519.7	922.3
209884_s_at	NM_003615	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	1.3	2941.3	6756.5
209967_s_at	NM_001881 /// NM_181571 /// NM_182717 /// NM_182718 /// NM_182719 /// NM_182720 /// NM_182721 /// NM_182722 /// NM_182723 /// NM_182724 /// NM_182725 /// NM_182769 /// NM_182770 /// NM_182771 /// NM_182772 /// NM_182850 /// NM_182853 /// NM_183011 /// NM_183012 /// NM_183013 /// NM_183060	CREM	cAMP responsive element modulator	1.3	251.1	759.5
210050_at	NM_000365	TPI1	triosephosphate isomerase 1	1.3	289	439.5
210136_at	NM_001025081 /// NM_001025090 /// NM_001025092 /// NM_001025094 /// NM_001025098 /// NM_001025100 /// NM_001025101 /// NM_002385	MBP	myelin basic protein	1.3	392.2	741.6
210845_s_at	NM_001005376 /// NM_001005377 /// NM_002659	PLAUR	plasminogen activator, urokinase receptor	1.3	599	1416.1
212063_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	1.3	5252.3	14224.4
212132_at	NM_015578	LSM14A	LSM14A, SCD6 homolog A (S. cerevisiae)	1.3	957.3	2002.5
212302_at	NM_015138	RTF1	Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	1.3	207	394.7
212362_at	NM_001681 /// NM_170665	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	1.3	102	256.4
213581_at	NM_002598 /// NM_144781	PDCD2	programmed cell death 2	1.3	1114.5	2636.6
213923_at	NM_002886	RAP2B	RAP2B, member of RAS oncogene family	1.3	2024.6	5054
217739_s_at	NM_005746	PBEF1	pre-B-cell colony enhancing factor 1	1.3	1539.5	4133.7
218051_s_at	NM_022908	NT5DC2	5-nucleotidase domain containing 2	1.3	706.8	1987.8
219165_at	NM_021630 /// NM_176871 /// NM_198042	PDLIM2	PDZ and LIM domain 2 (mystique)	1.3	301.6	618.3
219491_at	NM_024036	LRFN4	leucine rich repeat and fibronectin type III domain containing 4	1.3	127.9	308.3
221480_at	NM_001003810 /// NM_002138 /// NM_031369 /// NM_031370	HNRPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	1.3	504.7	1144.5
221489_s_at	NM_030964	SPRY4	sprouty homolog 4 (Drosophila)	1.3	787.2	1711.1
221713_s_at	NM_024871	MAP6D1	MAP6 domain containing 1	1.3	159.6	413.4
222103_at	NM_005171	ATF1	activating transcription factor 1	1.3	615.9	1288.4
222506_at	NM_022458	LMBR1	limb region 1 homolog (mouse)	1.3	200.3	451.6
222549_at	NM_021101	CLDN1	Claudin 1	1.3	396.1	1027.3
222574_s_at	NM_024612 /// XM_942276	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	1.3	1465.9	3815.1
222878_s_at	NM_023112	OTUB2	OTU domain, ubiquitin aldehyde binding 2	1.3	114.8	381.1
222907_x_at	NM_006134	TMEM50B	transmembrane protein 50B	1.3	279.9	847
223393_s_at	NM_020856	TSHZ3	teashirt family zinc finger 3	1.3	336.6	870.6
224036_s_at	NM_022458	LMBR1	limb region 1 homolog (mouse)	1.3	286.1	509
224606_at	NM_001008490 /// NM_001300	KLF6	Kruppel-like factor 6	1.3	2644.7	6279.3
225167_at	NM_018027	FRMD4A	FERM domain containing 4A	1.3	361.7	1046.8
225968_at	NM_198859	PRICKLE2	prickle homolog 2 (Drosophila)	1.3	447.6	1137.9
226320_at	NM_005782 /// XM_001134346	THOC4	THO complex 4	1.3	1032.3	3064.5
226987_at	NM_013286	RBM15B	RNA binding motif protein 15B	1.3	520.5	1199.6
227123_at	NM_002867	RAB3B	RAB3B, member RAS oncogene family	1.3	253.2	483.8
227559_at	---	---	Transcribed locus	1.3	110.3	289.9
228964_at	NM_001198 /// NM_182907	PRDM1	PR domain containing 1, with ZNF domain	1.3	77.4	309.4
229228_at	NM_001011666 /// NM_004904 /// NM_182898 /// NM_182899	CREB5	cAMP responsive element binding protein 5	1.3	159.3	465
229461_x_at	NM_173808	NEGR1	neuronal growth regulator 1	1.3	144.5	624
230369_at	NM_007369 /// NM_153832	GPR161	G protein-coupled receptor 161	1.3	175.2	528
230418_s_at	NM_020692	GALNTL1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1	1.3	186.4	441
230630_at	---	---	Transcribed locus	1.3	1149.6	3063.4
231894_at	---	---	CDNA FLJ12277 fis, clone MAMMA1001711	1.3	192.1	474.7
232291_at	XM_931068 /// XM_942906	MIRH1	microRNA host gene (non-protein coding) 1	1.3	180.3	341.2
233506_at	---	---	Full length insert cDNA clone ZB81B12	1.3	226.1	448.6
234196_at	---	---	CDNA: FLJ21377 fis, clone COL03255	1.3	111.5	281.7
234932_s_at	NM_022842 /// NM_178181	CDCP1	CUB domain containing protein 1	1.3	165	565.1
240698_s_at	---	---	---	1.3	150.7	493.1
241353_s_at	---	---	Transcribed locus, strongly similar to XP_531081.2  hypothetical protein [Pan troglodytes]	1.3	752.2	1876.3
244764_at	---	---	Homo sapiens, clone IMAGE:5180231, mRNA	1.3	112.3	425.4
1552275_s_at	NM_017771	PXK	PX domain containing serine/threonine kinase	1.2	133.8	372.8
1552516_a_at	NM_152696 /// NM_181358 /// NM_198268 /// NM_198269	HIPK1	homeodomain interacting protein kinase 1	1.2	185.5	414.7
1554544_a_at	NM_001025081 /// NM_001025090 /// NM_001025092 /// NM_001025094 /// NM_001025098 /// NM_001025100 /// NM_001025101 /// NM_002385	MBP	myelin basic protein	1.2	134.7	273
1558517_s_at	---	---	CDNA FLJ37485 fis, clone BRAWH2014379	1.2	412.2	1063.1
1566968_at	---	---	CDNA: FLJ20903 fis, clone ADSE00222	1.2	486.8	1262.3
200644_at	NM_023009	MARCKSL1	MARCKS-like 1	1.2	1144.2	3021.7
201044_x_at	NM_004417	DUSP1	dual specificity phosphatase 1	1.2	157.5	356.7
201650_at	NM_002276	KRT19	keratin 19	1.2	92.6	259.8
201920_at	NM_005415	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	1.2	4857	11256.7
202037_s_at	NM_003012	SFRP1	secreted frizzled-related protein 1	1.2	640.4	1397.3
202289_s_at	NM_006997 /// NM_206860 /// NM_206861 /// NM_206862	TACC2	transforming, acidic coiled-coil containing protein 2	1.2	565.7	1433.9
202391_at	NM_006317	BASP1	brain abundant, membrane attached signal protein 1	1.2	5933.3	14112
202695_s_at	NM_004760	STK17A	serine/threonine kinase 17a	1.2	304.5	950.8
203348_s_at	NM_004454 /// XM_001134164	ETV5	ets variant gene 5 (ets-related molecule)	1.2	1126.9	3399.2
203485_at	NM_021136 /// NM_206852 /// NM_206857	RTN1	reticulon 1	1.2	268.2	583.4
203840_at	NM_003666	BLZF1	basic leucine zipper nuclear factor 1 (JEM-1)	1.2	92.5	258.8
204602_at	NM_012242	DKK1	dickkopf homolog 1 (Xenopus laevis)	1.2	1043.2	2378.9
204897_at	NM_000958	PTGER4	prostaglandin E receptor 4 (subtype EP4)	1.2	294	594.7
205001_s_at	NM_004660	DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	1.2	440.6	987.8
205462_s_at	NM_002149 /// NM_134421	HPCAL1	hippocalcin-like 1	1.2	312.6	920.6
208701_at	NM_001642	APLP2	Amyloid beta (A4) precursor-like protein 2	1.2	215.7	455.4
208893_s_at	NM_001946 /// NM_022652	DUSP6	dual specificity phosphatase 6	1.2	184.3	644.6
209120_at	NM_021005	NR2F2	nuclear receptor subfamily 2, group F, member 2	1.2	1941.1	4902
209679_s_at	NM_001031628 /// NM_001033873 /// NM_020467	LOC57228	small trans-membrane and glycosylated protein	1.2	567.1	1586.7
209714_s_at	NM_005192	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	1.2	2909.5	6909.7
210002_at	NM_005257	GATA6	GATA binding protein 6	1.2	243.1	379.4
210592_s_at	NM_002970	SAT1	spermidine/spermine N1-acetyltransferase 1	1.2	2702.9	5907.8
211756_at	NM_002820 /// NM_198964 /// NM_198965 /// NM_198966	PTHLH	parathyroid hormone-like hormone	1.2	166.3	366.1
212558_at	NM_005841 /// NM_199327	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)	1.2	118.2	321.3
212873_at	NM_012292	HMHA1	histocompatibility (minor) HA-1	1.2	272.9	895.5
212984_at	NM_001880	ATF2	activating transcription factor 2	1.2	674.5	1305.6
213571_s_at	NM_004846	EIF4E2	eukaryotic translation initiation factor 4E family member 2	1.2	1386.1	3248
214169_at	NM_025154	---	---	1.2	129.5	318.3
214290_s_at	NM_001040874 /// NM_003516	HIST2H2AA3 /// HIST2H2AA4	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4	1.2	542	1780.2
215446_s_at	NM_002317	LOX	lysyl oxidase	1.2	405.5	1008.6
215617_at	NM_001100422 /// NM_001100423 /// NM_001100424 /// NM_015535	---	CDNA FLJ11754 fis, clone HEMBA1005588	1.2	216	647.4
217367_s_at	NM_015035	ZHX3	zinc fingers and homeoboxes 3	1.2	226.3	428.9
217738_at	NM_005746	PBEF1	pre-B-cell colony enhancing factor 1	1.2	1435.8	3748.3
218433_at	NM_024594	PANK3	pantothenate kinase 3	1.2	184.2	309.3
218438_s_at	NM_025205	MED28	mediator of RNA polymerase II transcription, subunit 28 homolog (S. cerevisiae)	1.2	1026	2251.3
218530_at	NM_013241	FHOD1	formin homology 2 domain containing 1	1.2	505.1	1078.2
218683_at	NM_021190	PTBP2	polypyrimidine tract binding protein 2	1.2	1176.7	2791
218910_at	NM_018075	TMEM16K	transmembrane protein 16K	1.2	275.1	582
219203_at	NM_016049	C14orf122	chromosome 14 open reading frame 122	1.2	361.6	817.6
219263_at	NM_024539 /// NM_194463	RNF128	ring finger protein 128	1.2	748.6	1512.8
219281_at	NM_012331	MSRA	methionine sulfoxide reductase A	1.2	421.9	1045.8
219634_at	NM_018413	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	1.2	195.7	413
219888_at	NM_003116	SPAG4	sperm associated antigen 4	1.2	534.7	1219.8
220334_at	NM_012419	RGS17	regulator of G-protein signalling 17	1.2	896.8	2067.7
220650_s_at	NM_004594	SLC9A5	solute carrier family 9 (sodium/hydrogen exchanger), member 5	1.2	119.4	252.3
221773_at	NM_005230	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	1.2	3115.1	6183.4
222490_at	NM_018119	POLR3E	polymerase (RNA) III (DNA directed) polypeptide E (80kD)	1.2	142.1	259.5
222528_s_at	NM_016612 /// XM_001128238 /// XM_001128248 /// XM_001128255 /// XM_001128269	SLC25A37	solute carrier family 25, member 37	1.2	1177.5	2739
222659_at	NM_016338	IPO11	importin 11	1.2	910.6	2231.3
223512_at	NM_001033503 /// NM_016103	SAR1B	SAR1 gene homolog B (S. cerevisiae)	1.2	249.1	631.6
224705_s_at	NM_014494 /// NM_020847	TNRC6A	trinucleotide repeat containing 6A	1.2	1319.8	3054.1
224982_at	NM_001098632 /// NM_001098633 /// NM_032375	AKT1S1	AKT1 substrate 1 (proline-rich)	1.2	395.7	1027.1
225168_at	NM_018027	FRMD4A	FERM domain containing 4A	1.2	365	754.4
225342_at	NM_001005353 /// NM_013410 /// NM_203464	AK3L1	adenylate kinase 3-like 1	1.2	3098.6	7422.2
225365_at	NM_153251	ZDHHC20	zinc finger, DHHC-type containing 20	1.2	969	2357.6
225407_at	NM_001025081 /// NM_001025090 /// NM_001025092 /// NM_001025094 /// NM_001025098 /// NM_001025100 /// NM_001025101 /// NM_002385	MBP	myelin basic protein	1.2	268.6	471.1
225813_at	NM_001100588 /// NM_018835	RC3H2	Ring finger and CCCH-type zinc finger domains 2	1.2	676.8	2689.8
225847_at	NM_020792	AADACL1	arylacetamide deacetylase-like 1	1.2	599.1	1285.3
225908_at	NM_001039613	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae)	1.2	305	566.8
226105_at	---	---	CDNA FLJ13495 fis, clone PLACE1004425	1.2	232.7	377.6
226415_at	NM_020927	KIAA1576	KIAA1576 protein	1.2	554.2	1092
226430_at	NM_001085399 /// NM_001085400	RELL1	receptor expressed in lymphoid tissues like 1	1.2	628.7	1416.5
226928_x_at	NM_016612 /// XM_001128238 /// XM_001128248 /// XM_001128255 /// XM_001128269	SLC25A37	Solute carrier family 25, member 37	1.2	292.7	702.5
227405_s_at	NM_031866	FZD8	frizzled homolog 8 (Drosophila)	1.2	713.9	1810.7
228491_at	NM_002276	KRT19	Keratin 19	1.2	184.5	645.9
228834_at	NM_005749	TOB1	transducer of ERBB2, 1	1.2	954	2368
230088_at	---	---	CDNA FLJ38345 fis, clone FCBBF3028671	1.2	118.8	284.6
230720_at	NM_152737	RNF182	ring finger protein 182	1.2	1606.6	3769.4
230739_at	NM_001098801 /// NM_152352	---	CAMP-binding guanine nucleotide exchange factor IV (cAMP-GEFIV) mRNA, clone W15, partial sequence	1.2	1444.8	3361.1
231355_at	---	---	CDNA FLJ30598 fis, clone BRAWH2009263	1.2	125.7	277.3
233970_s_at	NM_015939	CGI-09	CGI-09 protein	1.2	342.6	905.9
235003_at	NM_175866	UHMK1	U2AF homology motif (UHM) kinase 1	1.2	2363.8	5833.9
235694_at	NM_006602	TCFL5	Transcription factor-like 5 (basic helix-loop-helix)	1.2	219.4	504.7
237215_s_at	NM_003234	TFRC	transferrin receptor (p90, CD71)	1.2	536.9	1205.6
238551_at	NM_173540	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)	1.2	222.1	641.4
238587_at	NM_032873	STS-1	Cbl-interacting protein Sts-1	1.2	185.6	515.1
240432_x_at	---	---	Transcribed locus	1.2	190.6	440.1
241666_at	NM_001029839 /// NM_001029840 /// NM_173826	C3orf23	chromosome 3 open reading frame 23	1.2	153.5	482.9
241933_at	NM_018292	QRSL1	Glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	1.2	151.7	355.2
242149_at	NM_001098801 /// NM_152352	---	CAMP-binding guanine nucleotide exchange factor IV (cAMP-GEFIV) mRNA, clone W15, partial sequence	1.2	317.4	576.6
244738_at	NM_153252	BRWD3	bromodomain and WD repeat domain containing 3	1.2	195.6	344.5
40446_at	NM_002636 /// NM_024165	PHF1	PHD finger protein 1	1.2	1062.3	1768
1552274_at	NM_017771	PXK	PX domain containing serine/threonine kinase	1.1	427.3	1123.3
1552644_a_at	NM_024947	PHC3	polyhomeotic homolog 3 (Drosophila)	1.1	189.9	431.4
1556165_at	---	---	CDNA FLJ32963 fis, clone TESTI2008405	1.1	440.7	1216.8
1557852_at	---	---	CDNA FLJ31245 fis, clone KIDNE2005062	1.1	180.7	354.8
1558233_s_at	NM_005171	ATF1	activating transcription factor 1	1.1	236.1	530.2
1558834_s_at	NM_152763	C1orf62	chromosome 1 open reading frame 62	1.1	224.1	563.5
1559946_s_at	NM_006666	RUVBL2	RuvB-like 2 (E. coli)	1.1	6033	12828.7
1569263_at	---	---	Pp10472	1.1	221.8	477
200730_s_at	NM_003463	PTP4A1	protein tyrosine phosphatase type IVA, member 1	1.1	382.2	684.4
200985_s_at	NM_000611 /// NM_203329 /// NM_203330 /// NM_203331	CD59	CD59 molecule, complement regulatory protein	1.1	2063.4	4319.2
201211_s_at	NM_001356 /// XM_001129278	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	1.1	218.1	422.5
201459_at	NM_006666	RUVBL2	RuvB-like 2 (E. coli)	1.1	3838.1	8307.5
201951_at	NM_001627	ALCAM	activated leukocyte cell adhesion molecule	1.1	587.3	1391.8
201976_s_at	NM_012334	MYO10	myosin X	1.1	2371.6	4662.2
202422_s_at	NM_004458 /// NM_022977	ACSL4	acyl-CoA synthetase long-chain family member 4	1.1	244.5	581.5
202506_at	NM_006751	SSFA2	sperm specific antigen 2	1.1	2527	5190.2
202708_s_at	NM_003528	HIST2H2BE	histone cluster 2, H2be	1.1	170.7	377.5
202799_at	NM_006012	CLPP	ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)	1.1	858.4	1761.3
202888_s_at	NM_001150	ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	1.1	1450	3403.7
203077_s_at	NM_001003652 /// NM_005901	SMAD2	SMAD family member 2	1.1	671.8	1393.1
203239_s_at	NM_014516	CNOT3	CCR4-NOT transcription complex, subunit 3	1.1	232.6	445
203907_s_at	NM_014869	IQSEC1	IQ motif and Sec7 domain 1	1.1	167.4	366.6
203921_at	NM_004267	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	1.1	193.1	353.1
203939_at	NM_002526	NT5E	5-nucleotidase, ecto (CD73)	1.1	4233.6	8297
204032_at	NM_003567	BCAR3	breast cancer anti-estrogen resistance 3	1.1	423.6	867
204521_at	NM_013300	C12orf24	chromosome 12 open reading frame 24	1.1	1160.5	2569.4
204807_at	NM_014254	TMEM5	transmembrane protein 5	1.1	130.1	281.9
204955_at	NM_006307	SRPX	sushi-repeat-containing protein, X-linked	1.1	488.3	1153.3
204956_at	NM_002451	MTAP	methylthioadenosine phosphorylase	1.1	292.6	786.4
205446_s_at	NM_001880	ATF2	activating transcription factor 2	1.1	173.2	408.5
206261_at	NM_001099282 /// NM_001099283 /// NM_001099284 /// NM_005674	ZNF239	zinc finger protein 239	1.1	77.1	275.4
206557_at	NM_024924 /// NR_003578	ZNF702	zinc finger protein 702	1.1	116	351.5
206765_at	NM_000891	KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2	1.1	578.9	1252.8
207360_s_at	NM_002531	NTSR1	neurotensin receptor 1 (high affinity)	1.1	248.9	630.1
208490_x_at	NM_003522	HIST1H2BF	histone cluster 1, H2bf	1.1	670.5	1307.5
208523_x_at	NM_003525	HIST1H2BI	histone cluster 1, H2bi	1.1	283.4	511.4
208822_s_at	NM_004632 /// NM_033657	DAP3	death associated protein 3	1.1	4302.2	8717.7
208891_at	NM_001946 /// NM_022652	DUSP6	dual specificity phosphatase 6	1.1	375.5	771.1
208892_s_at	NM_001946 /// NM_022652	DUSP6	dual specificity phosphatase 6	1.1	471.4	840.6
209042_s_at	NM_003343 /// NM_182688	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	1.1	1029	2253.7
209451_at	NM_004180 /// NM_133484	TANK	TRAF family member-associated NFKB activator	1.1	283.7	752.8
210026_s_at	NM_014550	CARD10	caspase recruitment domain family, member 10	1.1	430.9	1016.8
210538_s_at	NM_001165 /// NM_182962	BIRC3	baculoviral IAP repeat-containing 3	1.1	1672.7	3727.8
211382_s_at	NM_006997 /// NM_206860 /// NM_206861 /// NM_206862	TACC2	transforming, acidic coiled-coil containing protein 2	1.1	333.8	615.6
212297_at	NM_024524 /// XM_931948 /// XM_942079	ATP13A3	ATPase type 13A3	1.1	2103.4	4651.7
212397_at	NM_002906	RDX	radixin	1.1	3992.7	8148.9
212398_at	NM_002906	RDX	radixin	1.1	1664.6	3728.3
212501_at	NM_005194	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	1.1	4011.6	8859.6
212724_at	NM_005168	RND3	Rho family GTPase 3	1.1	496.7	1026.9
212836_at	NM_006591	POLD3	polymerase (DNA-directed), delta 3, accessory subunit	1.1	751.9	1688.9
213435_at	NM_015265	SATB2	SATB homeobox 2	1.1	756.2	1395.3
214221_at	NM_015120	ALMS1	Alstrom syndrome 1	1.1	141.8	281.4
216375_s_at	NM_004454 /// XM_001134164	ETV5	ets variant gene 5 (ets-related molecule)	1.1	230.2	569
217682_at	---	---	CDNA FLJ37032 fis, clone BRACE2011265	1.1	114.1	298.7
217874_at	NM_003849	SUCLG1	succinate-CoA ligase, GDP-forming, alpha subunit	1.1	1586.1	3371.7
217971_at	NM_021970	MAP2K1IP1	mitogen-activated protein kinase kinase 1 interacting protein 1	1.1	1342.2	2690.5
218153_at	NM_024537	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	1.1	845.8	1854
218182_s_at	NM_021101	CLDN1	claudin 1	1.1	204.4	425
218815_s_at	NM_018022	TMEM51	transmembrane protein 51	1.1	183.7	425.4
218945_at	NM_024109	C16orf68	chromosome 16 open reading frame 68	1.1	502.6	766.1
219155_at	NM_012417 /// NM_181671	PITPNC1	phosphatidylinositol transfer protein, cytoplasmic 1	1.1	308	512.7
219257_s_at	NM_021972 /// NM_182965	SPHK1	sphingosine kinase 1	1.1	493.5	1052.7
219742_at	NM_030567	PRR7	proline rich 7 (synaptic)	1.1	199.1	466.4
