Accesion #	Gene Name	PCOS/NL	p-value	Function	Specific Function
NM_017824	FLJ20445	1.49	0.006	Expressed Sequence Tags
NM_017835	Chromosome 21 ORF 59	1.65	0.007	Expressed Sequence Tags
BE541042	FLJ13496	1.5	0.045	Expressed Sequence Tags
NM_024841	FLJ14213	0.56	0.013	Expressed Sequence Tags
NM_022071	FLJ20967	1.97	0.014	Expressed Sequence Tags
NM_020375	Chromosome 12 ORF 5	1.6	0.014	Expressed Sequence Tags
AK025446	DKFZp564M182	1.45	0.015	Expressed Sequence Tags
AI133721	FLJ25512	0.52	0.018	Expressed Sequence Tags
AF072164	HFSE-1 protein	0.52	0.017	Expressed Sequence Tags
NM_020189	DC6 protein	1.58	0.015	Expressed Sequence Tags
NM_005808	HYAA22 protein	1.44	0.04	Expressed Sequence Tags
AA643304	DKFZp666E058	1.62	0.041	Expressed Sequence Tags
BG420747	IMAGE: 4586984	0.65	0.042	Expressed Sequence Tags
R37104	DKFZp667I137	0.65	0.042	Expressed Sequence Tags
NM_015960	CGI-32 protein	1.41	0.042	Expressed Sequence Tags
AB037814	KIAA1393	0.65	0.045	Expressed Sequence Tags
NM_024579	FLJ23221	0.52	0.045	Expressed Sequence Tags
NM_017954	FLJ20761	0.64	0.045	Expressed Sequence Tags
NM_024582	FLJ23056	0.58	0.046	Expressed Sequence Tags
NM_014056	DKFZp564K247	1.47	0.047	Expressed Sequence Tags
NM_017812	FLJ20420	1.36	0.048	Expressed Sequence Tags
NM_015556	KIAA0440	0.66	0.048	Expressed Sequence Tags
NM_025152	FLJ12660	1.49	0.023	Expressed Sequence Tags
NM_016052	CGI-115	1.88	0.023	Expressed Sequence Tags
NM_016468	LOC51241	1.42	0.026	Expressed Sequence Tags
NM_015050	KIAA0082	1.7	0.026	Expressed Sequence Tags
NM_016027	CGI-83	1.59	0.028	Expressed Sequence Tags
NM_014149	HSPC049 protein	0.61	0.028	Expressed Sequence Tags
AI739035	MGC9743	1.45	0.03	Expressed Sequence Tags
NM_014846	KIAA0196	1.42	0.032	Expressed Sequence Tags
AF047245	Clone KM35	0.62	0.032	Expressed Sequence Tags
D87470	KIAA0280	0.67	0.033	Expressed Sequence Tags
NM_017753	FLJ20300	0.58	0.034	Expressed Sequence Tags
NM_019042	FLJ20485	1.59	0.034	Expressed Sequence Tags
NM_013303	HSU84971	0.62	0.035	Expressed Sequence Tags
NM_022060	FLJ12816	0.66	0.035	Expressed Sequence Tags
NM_021637	FLJ14084	0.61	0.035	Expressed Sequence Tags
NM_014165	HSPC125	1.58	0.04	Expressed Sequence Tags
N63706	IMAGE: 293471	1.92	0.001	Expressed Sequence Tags
AW150720	FLJ10262	1.81	0.001	Expressed Sequence Tags
N57510	IMAGE: 277371	1.92	0.002	Expressed Sequence Tags
NM_138794	hypothetical protein BC016711	1.88	0.004	Expressed Sequence Tags
BF129093	FLJ11653	1.86	0.005	Expressed Sequence Tags
BG164358	FLJ36123	1.61	0.006	Expressed Sequence Tags
BE672676	FLJ38461	1.66	0.006	Expressed Sequence Tags
AI650251	IMAGE: 2298367	1.97	0.007	Expressed Sequence Tags
AA278233	FLJ37785	1.67	0.011	Expressed Sequence Tags
AI807482	IMAGE: 2358832	1.78	0.012	Expressed Sequence Tags
BE551193	IMAGE: 3232192	1.81	0.012	Expressed Sequence Tags
AI754693	HBSMC_cr28h02	1.94	0.012	Expressed Sequence Tags
BE747815	MGC20452	1.46	0.013	Expressed Sequence Tags
AU157438	FLJ13557	1.8	0.014	Expressed Sequence Tags
AW007021	IMAGE: 2500512	1.69	0.014	Expressed Sequence Tags
NM_152629	MGC33662	1.63	0.015	Expressed Sequence Tags
AA156797	DKFZp434E109	1.64	0.017	Expressed Sequence Tags
BG231494	FLJ36429	1.9	0.017	Expressed Sequence Tags
AA527080	KIAA1727	1.52	0.018	Expressed Sequence Tags
AI432195	IMAGE: 2114838	1.79	0.018	Expressed Sequence Tags
AA206016	FLJ33420	1.64	0.019	Expressed Sequence Tags
NM_144711	MGC22679	0.54	0.019	Expressed Sequence Tags
AI768895	IMAGE: 2386221	1.81	0.022	Expressed Sequence Tags
AI949662	FLJ38854	1.63	0.022	Expressed Sequence Tags
AI279532	FLJ38288	1.55	0.024	Expressed Sequence Tags
N33403	IMAGE: 273811	1.71	0.024	Expressed Sequence Tags
NM_144591	MGC27171	1.51	0.024	Expressed Sequence Tags
NM_152352	MGC24180	1.6	0.024	Expressed Sequence Tags
NM_017824	FLJ20445	1.58	0.025	Expressed Sequence Tags
AU157304	FLJ11163	1.5	0.026	Expressed Sequence Tags
AI374586	IMAGE: 2047904	1.58	0.026	Expressed Sequence Tags
NM_153044	FLJ35801	1.56	0.027	Expressed Sequence Tags
AA035771	IMAGE: 359903	1.77	0.027	Expressed Sequence Tags
NM_152417	FLJ32370	1.51	0.028	Expressed Sequence Tags
NM_015463	DKFZp566K1924	0.54	0.028	Expressed Sequence Tags
AI125330	FLJ32671	0.57	0.028	Expressed Sequence Tags
BG386322	IMAGE: 3355383	1.52	0.029	Expressed Sequence Tags
AK000073	FLJ20066	0.55	0.03	Expressed Sequence Tags
AI631833	DKFZp667B1913	1.43	0.032	Expressed Sequence Tags
BG500474	IMAGE: 4820917	1.6	0.033	Expressed Sequence Tags
NM_080667	MGC15407	1.5	0.033	Expressed Sequence Tags
AW005640	IMAGE: 2565892	1.62	0.033	Expressed Sequence Tags
BG252802	IMAGE: 4473737	1.45	0.033	Expressed Sequence Tags
NM_032333	MGC4248	1.68	0.034	Expressed Sequence Tags
BE295812	FLJ31114	0.57	0.035	Expressed Sequence Tags
BF813144	PM4-CI0084-251100-003-c11	0.61	0.036	Expressed Sequence Tags
AA604375	FLJ11309	1.92	0.036	Expressed Sequence Tags
AI051290	IMAGE: 1657229	0.58	0.037	Expressed Sequence Tags
BE144058	DKFZp586F1322	0.54	0.037	Expressed Sequence Tags
BE856637	IMAGE: 3299559	1.91	0.038	Expressed Sequence Tags
R42863	IMAGE: 31571	1.52	0.038	Expressed Sequence Tags
NM_144629	FLJ30574	0.51	0.038	Expressed Sequence Tags
AI927212	IMAGE: 2462427	1.53	0.038	Expressed Sequence Tags
NM_032016	MGC3251	1.47	0.039	Expressed Sequence Tags
NM_025199	FLJ20886	1.5	0.04	Expressed Sequence Tags
AI457449	IMAGE: 2150393	0.57	0.04	Expressed Sequence Tags
AW085625	IMAGE: 2578869	0.6	0.041	Expressed Sequence Tags
BF593817	FLJ12876	1.41	0.041	Expressed Sequence Tags
BE501881	IMAGE: 3185007	1.77	0.042	Expressed Sequence Tags
AI435399	IMAGE: 2126290	1.68	0.042	Expressed Sequence Tags
AI248004	IMAGE: 1849366	1.42	0.043	Expressed Sequence Tags
AI540253	IMAGE: 2121350	1.48	0.043	Expressed Sequence Tags
AW084937	IMAGE: 2589392	0.55	0.043	Expressed Sequence Tags
AW206728	IMAGE: 2722526	0.61	0.043	Expressed Sequence Tags
AV729651	FLJ30167	1.72	0.044	Expressed Sequence Tags
BE856657	FLJ10366	1.43	0.044	Expressed Sequence Tags
BF001919	FLJ23877	1.43	0.044	Expressed Sequence Tags
NM_080670	MGC2541	1.8	0.044	Expressed Sequence Tags
NM_032769	MGC16212	1.48	0.046	Expressed Sequence Tags
NM_032800	FLJ14525	1.52	0.047	Expressed Sequence Tags
AW138757	FLJ22807	0.64	0.049	Expressed Sequence Tags
AK026716	FLJ23063	0.63	0.049	Expressed Sequence Tags
AA883486	IMAGE: 1467879	1.37	0.049	Expressed Sequence Tags
BF114947	KIAA1681	1.8	0.017	Expressed Sequence Tags
AK000866	FLJ10004	1.42	0.026	Expressed Sequence Tags
AW241758	FLJ33383	1.9	0.012	Expressed Sequence Tags
AI278445	IMAGE: 1892457	1.89	0.016	Expressed Sequence Tags
NM_014166	HSPC126	1.5	0.044	Expressed Sequence Tags
NM_018472	Uncharacterized hypothalamus protein HT011	1.49	0.036	Expressed Sequence Tags
AB037756	KIAA1335	1.52	0.032	Expressed Sequence Tags
NM_020462	KIAA1181	1.83	0.034	Expressed Sequence Tags
NM_080663	MGC16943	0.54	0.034	Expressed Sequence Tags
NM_152330	MGC17921	1.48	0.035	Expressed Sequence Tags
AI972386	FLJ38505	1.41	0.041	Expressed Sequence Tags
AV756026	FLJ14030	1.42	0.041	Expressed Sequence Tags
BG178695	LOC58481	1.57	0.043	Expressed Sequence Tags
NM_020428	CTL2 protein	1.98	0.049	Expressed Sequence Tags
AA767385	DKFZp686C1433	1.42	0.05	Expressed Sequence Tags
NM_145266	LOC134492	1.46	0.05	Expressed Sequence Tags
