Parametric p-value	Fold difference of geometric means (N vs R)	Description	Clone	UG cluster	Gene symbol	Map
0.0001357	0.53	F-box only protein 7	1911835	Hs.5912	FBXO7	22q12-q13
0.0004824	0.53	nephronophthisis 4	2655615	Hs.106487	NPHP4	1p36.22
0.0008145	0.53	KIAA0998 protein	1444505	Hs.131525	KIAA0998	14q24.3
0.0007054	0.531	bromodomain adjacent to zinc finger domain, 2B	553725	Hs.8383	BAZ2B	2q23-q24
0.0001292	0.532	phosphorylase kinase, alpha 2 (liver)	2365335	Hs.54941	PHKA2	Xp22.2-p22.1
0.0009271	0.534	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa	1998519	Hs.173987	EIF3S1	15q15.1
0.0009408	0.534	DnaJ (Hsp40) homolog, subfamily C, member 4	1603391	Hs.172847	DNAJC4	11q13
0.0001913	0.535	hypothetical protein FLJ20477	2313030	Hs.26994	FLJ20477	1p35.3
0.0001096	0.536	gonadotropin-releasing hormone 1 (leutinizing-releasing hormone)	1830640	Hs.82963	GNRH1	8p21-p11.2
0.0004028	0.536	ESTs	496874	Hs.125494	NA	X
0.000196	0.538	myosin IXA	2208002	Hs.23395	MYO9A	15q22-q23
0.0003918	0.538	ribosomal protein S6 kinase, 90kD, polypeptide 2	3421442	NA	NA	NA
6.65E-05	0.539	chromosome 21 open reading frame 66	1358710	Hs.283771	C21orf66	21q21.3
0.0008997	0.539	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	2122820	Hs.192853	UBE2G2	21q22.3
4.28E-05	0.541	membrane-bound transcription factor protease, site 1	1816514	Hs.75890	MBTPS1	16q24
0.0001669	0.542	Incyte EST	2650203	NA	NA	NA
0.0002392	0.542	HLA-B associated transcript 3	1942845	Hs.274348	BAT3	6p21.3
6.00E-07	0.544	chromosome 21 open reading frame 4	1710736	Hs.284142	C21orf4	21q22.11
4.66E-05	0.544	dihydroorotate dehydrogenase	3815039	Hs.94925	DHODH	16q22
0.0001885	0.545	dedicator of cyto-kinesis 1	1671436	Hs.82295	DOCK1	10q26.13-q26.3
0.0003888	0.545	peroxisome biogenesis factor 10	3115936	Hs.247220	PEX10	1p36.32
0.0004929	0.545	general transcription factor IIIA	1527070	Hs.75113	GTF3A	13q12.3-q13.1
5.95E-05	0.546	solute carrier family 10 (sodium/bile acid cotransporter family), member 2	3698258	Hs.194783	SLC10A2	13q33
0.0004224	0.546	Incyte EST	2542313	NA	NA	NA
0.0003565	0.547	splicing factor 1	2655068	Hs.180677	SF1	11q13
1.20E-06	0.548	calcium channel, voltage-dependent, beta 2 subunit	3517320	Hs.30941	CACNB2	10p12
0.0001565	0.548	DKFZP586P0123 protein	1923483	Hs.376803	DKFZP586P012	11q13.3
0.0002402	0.548	Homo sapiens, Similar to hypothetical protein FLJ13639, clone IMAGE:4310637, mRNA	2372541	Hs.390401	NA	13
0.0004823	0.548	golgi apparatus protein 1	1833213	Hs.78979	GLG1	16q22-q23
0.0005157	0.549	nucleotide binding protein	944906	Hs.296422	NBP	17q12-q21
9.69E-05	0.55	WD repeat domain 22	1547366	Hs.284294	WDR22	14q23-q24.1
1.70E-06	0.551	bromodomain containing 8	2992892	Hs.5464	BRD8	5q31
2.29E-05	0.553	hypothetical protein FLJ10824	1457726	Hs.375174	FLJ10824	10q11.22
0.0008758	0.553	hypothetical brain protein my038	1616072	Hs.374853	MY038	16p12.2
1.50E-06	0.554	E1A binding protein p400	2739049	Hs.306094	EP400	12q24.33
0.0005098	0.556	Homo sapiens clone FBD3 Cri-du-chat critical region mRNA	1910705	Hs.432862	NA	2
0.0005541	0.556	KIAA0194 protein	1429306	Hs.216958	KIAA0194	5q33.1
0.0006131	0.557	hypothetical protein LOC51321	2287941	Hs.268122	LOC51321	17q24.3
0.0004219	0.558	bromodomain containing 2	1362115	Hs.75243	BRD2	6p21.3
0.0007773	0.558	DKFZP547E1010 protein	1730581	Hs.323817	DKFZP547E101	1q21.3
0.0001659	0.56	N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB)	1722844	Hs.50727	NAGLU	17q21
0.0007419	0.56	calcium channel, voltage-dependent, beta 1 subunit	877744	Hs.635	CACNB1	17q21-q22
0.0009116	0.56	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	1732445	Hs.122575	EDG4	19p12
3.88E-05	0.561	solute carrier family 35 (CMP-sialic acid transporter), member 1	1440433	Hs.82921	SLC35A1	6q15
0.0002869	0.562	interleukin 13 receptor, alpha 1	1556648	Hs.285115	IL13RA1	Xq24
0.0004353	0.562	hypothetical protein FLJ10569	1000585	Hs.5105	FLJ10569	8p21.3
0.0001145	0.563	SECIS binding protein 2	1877743	Hs.288141	SBP2	9q22.1
0.0002075	0.563	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	4219279	Hs.270823	NA	8
0.0002975	0.563	mitochondrial ribosomal protein S27	1870704	Hs.122669	MRPS27	5q13.1
0.0003484	0.564	two-pore channel 1, homolog	589453	Hs.26440	KIAA1169	12q24.21
2.00E-07	0.566	zinc finger protein 161 homolog (mouse)	2487368	Hs.156000	ZFP161	18pter-p11.2
9.00E-05	0.566	splicing factor 3b, subunit 1, 155kDa	1977	Hs.334826	SF3B1	2q33.1
0.0002112	0.566	chromosome 20 open reading frame 104	3444340	Hs.301055	C20orf104	20q11.22-q11.23
0.0001417	0.567	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	1682994	Hs.128207	POLR3F	20p11.23
0.0008911	0.568	synaptopodin	1923572	Hs.5307	KIAA1029	5q33.1
4.19E-05	0.569	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	1616328	Hs.284202	XPNPEP1	10q25.3
0.0001192	0.569	lecithin-cholesterol acyltransferase	2395357	NA	NA	NA
0.0001466	0.569	Williams Beuren syndrome chromosome region 21	1516990	Hs.182476	WBSCR21	7q11.23
3.16E-05	0.57	A kinase (PRKA) anchor protein (yotiao) 9	997782	Hs.58103	AKAP9	7q21-q22
0.0007135	0.57	MDN1, midasin homolog (yeast)	1209813	Hs.76730	MDN1	6q15
4.30E-06	0.572	Homo sapiens cDNA: FLJ23013 fis, clone LNG00740.	1911371	Hs.372737	NA	19
0.0008776	0.572	activin A receptor, type I	433573	Hs.150402	ACVR1	2q23-q24
0.0003214	0.574	spinocerebellar ataxia 2 (olivopontocerebellar ataxia 2, autosomal dominant, ataxin 2)	664095	Hs.76253	SCA2	12q24
0.0007801	0.574	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	2288241	Hs.79089	SEMA4D	9q22-q31
1.70E-06	0.575	PHD finger protein 2	2790394	Hs.93868	PHF2	9q22.31
2.80E-06	0.575	bromodomain containing 8	2634206	Hs.5464	BRD8	5q31
0.0004756	0.577	natural killer cell receptor, immunoglobulin superfamily member	508322	Hs.81743	BY55	1q21.1
8.05E-05	0.578	coronin, actin binding protein, 2A	2210264	Hs.44396	CORO2A	9q22.3
0.0008705	0.578	ESTs	2754640	Hs.128104		19
5.48E-05	0.58	hypothetical protein FLJ20551	1924027	Hs.7994	FLJ20551	3p21.33
0.0002189	0.58	FERM, RhoGEF and pleckstrin domain protein 2	3406835	Hs.301283	FARP2	2q37.3
0.0003962	0.58	iduronate 2-sulfatase (Hunter syndrome)	2776385	Hs.172458	IDS	Xq28
0.000969	0.58	B-cell CLL/lymphoma 6 (zinc finger protein 51)	1569189	Hs.155024	BCL6	3q27
0.0001523	0.581	hypothetical protein FLJ20003	1921914	Hs.258798	FLJ20003	10q26.13
0.0009593	0.582	hypothetical protein FLJ36090	1375185	Hs.42673	FLJ36090	5q23.2
0.0001845	0.583	oxidase (cytochrome c) assembly 1-like	2055587	Hs.151134	OXA1L	14q11.2
0.0009837	0.583	thyroid stimulating hormone receptor	1336836	Hs.123078	TSHR	14q31
0.0001227	0.584	potassium large conductance calcium-activated channel, subfamily M beta member 3	2288482	Hs.276973	KCNMB3	3q26.3-q27
0.000298	0.584	Incyte EST	2243769	NA	NA	NA
0.0003598	0.584	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	2182353	Hs.5687	PPM1B	2p21
0.0004352	0.585	putative ankyrin-repeat containing protein	1689764	Hs.4996	DKFZP564D166	17q23.3
0.0004037	0.586	Homo sapiens mRNA; cDNA DKFZp564O2364 (from clone DKFZp564O2364)	2296284	Hs.28893	NA	17
2.69E-05	0.587	ESTs	2208830	Hs.107845	NA	2
0.0003371	0.588	Ac-like transposable element	1926585	Hs.9933	ALTE	Xp22.33
0.0001303	0.589	nuclear pore complex interacting protein	2715266	Hs.251928	NPIP	16p13-p11
6.77E-05	0.59	multiple endocrine neoplasia I	1693847	Hs.423348	MEN1	11q13
0.0001396	0.59	Human clone CE29 7.2 (CAC)n/(GTG)n repeat-containing mRNA.	3704132	Hs.133065	NA	2
5.03E-05	0.591	MCM3 minichromosome maintenance deficient 3 (S.cerevisiae) associated protein	789491	Hs.168481	MCM3AP	21q22.3
0.0006553	0.591	golgi associated, gamma adaptin ear containing, ARF binding protein 2	1749964	Hs.155546	GGA2	16p12
0.0008653	0.591	ESTs	2557353	Hs.180295	NA	1
0.000113	0.592	KIAA0563 gene product	1365507	Hs.339808	KIAA0563	17q24.3
0.0007648	0.592	Human hbc647 mRNA sequence.	1986919	Hs.24385	NA	1
5.29E-05	0.594	U5 snRNP-specific protein, 200-KD	1706690	Hs.246112	U5-200KD	2q11.1
0.0004991	0.594	cyclin-dependent kinase 3	1698903	Hs.100009	CDK3	17q22-qter
4.92E-05	0.596	PDZ domain containing 1	2674772	Hs.15456	PDZK1	1q21
7.05E-05	0.596	zinc finger protein 103 homolog (mouse)	1843290	Hs.155968	ZFP103	2p11.2
7.90E-06	0.597	ubiquitin-conjugating enzyme E2L 3	1962592	Hs.108104	UBE2L3	22q11.21
0.0006596	0.597	ring finger protein 3	2860918	Hs.8834	RNF3	4p16.3
1.65E-05	0.598	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2	1887185	Hs.114765	MLLT2	4q21
1.36E-05	0.601	hypothetical protein LOC125150	2556708	Hs.379903	LOC125150	17p11.2
2.49E-05	0.603	Incyte EST	2821541	NA	NA	NA
1.90E-06	0.604	Homo sapiens mRNA; cDNA DKFZp313P0917 (from clone DKFZp313P0917)	1753040	Hs.322851	NA	9
8.73E-05	0.605	H-2K binding factor-2	1930602	Hs.347340	KBF2	9
0.000418	0.607	cathepsin O	1689421	Hs.75262	CTSO	4q31-q32
7.50E-05	0.609	component of oligomeric golgi complex 8	2462127	Hs.224179	COG8	16q22.1
0.0003976	0.609	slit homolog 1 (Drosophila)	750673	Hs.133466	SLIT1	10q23.3-q24
3.77E-05	0.61	tropomodulin	1721744	Hs.374849	TMOD	9q22.3
0.0004619	0.611	stromal cell protein	334820	Hs.292154	LOC55974	1q21.3
9.10E-06	0.612	Homo sapiens cDNA FLJ36555 fis, clone TRACH2008716.	1602726	Hs.96343	NA	18
0.0002633	0.613	ras-like protein TC10	1698889	Hs.250697	TC10	2p21
0.0003412	0.613	hypothetical protein FLJ21877	584794	Hs.16063	FLJ21877	2p21
0.0002905	0.615	zinc finger protein 183 (RING finger, C3HC4 type)	208836	Hs.64794	ZNF183	Xq25-q26
0.0003187	0.616	pituitary tumor-transforming 1 interacting protein	728986	Hs.111126	PTTG1IP	21q22.3
0.0003199	0.616	nucleolar autoantigen (55kD) similar to rat synaptonemal complex protein	81490	Hs.446459	SC65	17q21.2
0.0004456	0.618	TIA1 cytotoxic granule-associated RNA binding protein-like 1	3031022	Hs.182741	TIAL1	10q
5.20E-06	0.619	butyrophilin, subfamily 3, member A2	1596154	Hs.87497	BTN3A2	6p22.1
0.0003062	0.622	myotubular myopathy 1	1560906	Hs.75302	MTM1	Xq28
0.0003502	0.622	mitogen-activated protein kinase kinase kinase kinase 4	1306496	Hs.3628	MAP4K4	2q11.2-q12
0.0003472	0.625	Homo sapiens mRNA; cDNA DKFZp586F1322 (from clone DKFZp586F1322)	1793670	Hs.321056	NA	11
0.0002764	0.626	cyclin D binding myb-like transcription factor 1	1637517	Hs.5671	DMTF1	7q21
1.90E-05	0.627	topoisomerase (DNA) II beta 180kDa	1872327	Hs.75248	TOP2B	3p24
0.0003234	0.627	KIAA0182 protein	1845755	Hs.75909	KIAA0182	16q24.1
0.0005837	0.627	ESTs	3815547	Hs.445766	NA	11
5.21E-05	0.628	pituitary tumor-transforming 1 interacting protein	1651791	Hs.111126	PTTG1IP	21q22.3
0.0001925	0.628	component of oligomeric golgi complex 7	2874538	Hs.185807	COG7	16p12.3
2.97E-05	0.629	exostoses (multiple) 2	1965225	Hs.75334	EXT2	11p12-p11
7.16E-05	0.629	zinc finger protein 262	3409136	Hs.150390	ZNF262	1p32-p34
5.05E-05	0.631	ESTs, Moderately similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	1880426	Hs.381139	NA	20
0.000846	0.631	Homo sapiens, similar to olfactory receptor MOR145-2, clone IMAGE:5313643, mRNA	2024801	Hs.378911	NA	7
0.0008952	0.631	hypothetical protein FLJ13441	2766987	Hs.232146	FLJ13441	5p15.33
7.00E-06	0.632	Incyte EST	2160566	NA	NA	NA
0.0007714	0.632	vesicle-associated membrane protein 3 (cellubrevin)	1988078	Hs.66708	VAMP3	1p36.22
1.38E-05	0.633	NFS1 nitrogen fixation 1 (S. cerevisiae)	1420364	Hs.194692	NFS1	20q11.21
0.0002966	0.633	transcription elongation factor A (SII), 2	676705	Hs.80598	TCEA2	20q13.33
1.27E-05	0.634	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	1863189	Hs.79886	RPIA	2p11.1
0.0003377	0.634	oral-facial-digital syndrome 1	2080379	Hs.6483	OFD1	Xp22.2-p22.3
0.0005749	0.634	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	1976440	Hs.226581	COX15	10q24
3.12E-05	0.635	eukaryotic translation initiation factor 4A, isoform 2	2060081	NA	NA	NA
0.0006143	0.636	Homo sapiens cDNA FLJ30843 fis, clone FEBRA2002574.	1863561	Hs.350872	NA	7
0.0001595	0.637	Incyte EST	2685601	NA	NA	NA
0.0004752	0.64	M-phase phosphoprotein 9	2508608	Hs.351230	MPHOSPH9	12q24.31
0.0007937	0.64	Incyte EST	1602194	NA	NA	NA
0.000829	0.64	argininosuccinate lyase	3283759	Hs.61258	ASL	7cen-q11.2
3.20E-06	0.641	phosphatidylinositol glycan, class F	1557568	Hs.426142	PIGF	2p21-p16
2.38E-05	0.641	Incyte EST	2878846	NA	NA	NA
0.0009968	0.643	splicing factor (45kD)	1782139	Hs.107001	SPF45	10p15.1
6.00E-07	0.647	Kruppel-type zinc finger (C2H2)	2580149	Hs.142150	ZK1	19p13.13
0.0002581	0.647	zinc finger protein 165	1689436	Hs.55481	ZNF165	6p21.3
0.0001653	0.65	splicing factor, arginine/serine-rich 4	1967517	Hs.76122	SFRS4	1p35.2
0.0003771	0.654	SON DNA binding protein	1624933	Hs.92909	SON	21q22.11
0.000454	0.654	cullin 4A	1997406	Hs.183874	CUL4A	13q34
0.0004385	0.656	male-specific lethal 3-like 1 (Drosophila)	1547409	Hs.88764	MSL3L1	Xp22.3
9.98E-05	0.657	bruno-like 6, RNA binding protein (Drosophila)	407984	Hs.348342	BRUNOL6	15q24
7.89E-05	0.658	multiple endocrine neoplasia I	1845962	Hs.423348	MEN1	11q13
0.000221	0.661	glycosyltransferase AD-017	1924806	Hs.283737	AD-017	3p21.31
0.0006742	0.663	ESTs	372315	Hs.13957	NA	19
0.0005092	0.664	zinc finger protein 263	2816931	Hs.182528	ZNF263	16p13.3
0.0005882	0.666	DKFZP434C171 protein	2298081	Hs.209100	DKFZP434C171	5q33.1
0.0006154	0.666	B lymphoma Mo-MLV insertion region (mouse)	1985881	Hs.380403	BMI1	10p11.23
3.45E-05	0.667	zinc finger protein 211	601975	Hs.15110	ZNF211	19q13.4
0.0002439	0.668	chromosome 20 open reading frame 4	1342448	Hs.11314	C20orf4	20pter-q12
0.0004622	0.668	disrupted in bipolar disorder 1	1577463	Hs.120824	DIBD1	11q23
0.0003695	0.671	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kDa)	2057719	Hs.76053	DDX5	17q21
0.0006089	0.672	suc1-associated neurotrophic factor target 2 (FGFR signalling adaptor)	1977875	Hs.194208	SNT-2	6p21.1
6.77E-05	0.676	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2447969	Hs.352340	NA	5
0.0006432	0.676	splicing factor, arginine/serine-rich 11	2862646	Hs.433581	SFRS11	1p31
0.000269	0.678	death associated transcription factor 1	1655225	Hs.155313	DATF1	20q13.33
0.0009712	0.681	mannosidase, beta A, lysosomal	1805840	Hs.115945	MANBA	4q22-q25
3.69E-05	0.685	deformed epidermal autoregulatory factor 1 (Drosophila)	1394322	Hs.6574	DEAF1	11p15.5
0.0009962	0.689	checkpoint suppressor 1	2362945	Hs.211773	CHES1	14q24.3-q31
7.01E-05	0.691	pinin, desmosome associated protein	1793943	Hs.44499	PNN	14q13.2
0.0007702	0.692	phospholipase A2, group VI (cytosolic, calcium-independent)	1849872	Hs.120360	PLA2G6	22q13.1
0.0008762	0.692	Homo sapiens mRNA from chromosome 5q21-22, clone:843Ex.	2666301	Hs.182723	NA	5
0.0002158	0.694	ATPase, Class II, type 9B	1454703	Hs.91471	ATP9B	18q23
0.0003524	0.694	spindlin-like protein 2	2522604	Hs.82577	SPIN2	Xp11.23-p11.21
0.0006968	0.695	hypothetical protein FLJ20604	956848	Hs.55781	FLJ20604	3p24.1
0.0009252	0.698	ESTs	2749990	Hs.188910	NA	1
0.0008645	0.7	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	2965687	Hs.105478	PFAS	17p13
0.0002984	0.701	RNA helicase-related protein	2132758	Hs.8765	RNAHP	17q24.1
0.0005932	0.702	pancreatic lipase-related protein 1	2084515	Hs.73923	PNLIPRP1	10q26.11
0.0004322	0.703	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	471870	Hs.31176	SIRT1	10q22.1
0.0005605	0.703	hypothetical protein FLJ10900	587420	Hs.16277	FLJ10900	7q11.21
0.0003551	0.704	bladder cancer overexpressed protein	2174773	Hs.125830	BLOV1	12q15
1.08E-05	0.71	ubiquitin ligase E3 alpha-II	1865148	Hs.15303	KIAA0349	6p21.1
9.85E-05	0.711	RAN binding protein 17	3557353	Hs.15032	RANBP17	5q34
0.0001373	0.713	Homo sapiens cDNA FLJ39218 fis, clone OCBBF2006660.	2954670	Hs.29406	NA	3
0.0004467	0.724	ESTs	3407735	Hs.116424	NA	16
0.0006089	0.726	KIAA0036 gene product	1863428	Hs.169387	KIAA0036	3q13.33
0.0002728	0.73	ESTs	2843672	Hs.404112	NA	15
0.0001182	0.739	Homo sapiens, clone IMAGE:3875012, mRNA	1817969	Hs.17872	NA	12
5.35E-05	0.74	tetratricopeptide repeat domain 4	213516	Hs.5990	TTC4	1p31.3
0.000655	0.743	limkain b1	2610052	Hs.432741	LKAP	16p13.13
0.000377	0.752	insulin-like growth factor 1 receptor	2597262	Hs.239176	IGF1R	15q25-q26
0.0007998	0.756	chromosome 14 open reading frame 117	2652746	Hs.103189	C14orf117	14q24.1
3.81E-05	0.769	TATA box binding protein	1995841	Hs.1100	TBP	6q27
0.0004634	0.769	DKFZP586G011 protein	1962827	Hs.234265	LAP1B	1q24.2
0.0009534	1.345	DiGeorge syndrome critical region gene 11	4412006	Hs.83775	DGCR11	22q11.21
0.0006473	1.378	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	3473060	Hs.502	TAP2	6p21.3
0.0002459	1.435	ESTs, Weakly similar to NAL2_HUMAN NACHT-, LRR- and PYD-containing protein 2 (Nucleotide-binding site protein 1) [H.sapiens]	2751667	Hs.285363	NA	19
7.53E-05	1.475	chromosome 1 open reading frame 19	1665871	Hs.32058	C1orf19	1q25
0.0009685	1.53	phospholipid scramblase 1	1611623	Hs.198282	PLSCR1	3q23
0.000533	1.585	sulfotransferase family, cytosolic, 2B, member 1	2621547	Hs.94581	SULT2B1	19q13.3
0.0007282	1.618	ribosomal protein L37a	2452713	Hs.296290	RPL37A	2q35
0.0001724	1.621	RAB22A, member RAS oncogene family	775737	Hs.288968	RAB22A	20q13.31
0.0002278	1.632	T cell receptor delta locus	2556177	Hs.2014	TRD	14q11.2
0.0005682	1.634	very low density lipoprotein receptor	1690952	Hs.73729	VLDLR	9p24
0.0008102	1.65	hypothetical protein FLJ32115	2374046	Hs.293902	FLJ32115	12p13.1
0.0007907	1.686	myosin, heavy polypeptide 8, skeletal muscle, perinatal	3288518	Hs.113973	MYH8	17p13.1
0.0007006	1.69	interleukin 13 receptor, alpha 1	1476267	Hs.285115	IL13RA1	Xq24
0.0009648	1.696	myosin IB	2206062	Hs.121576	MYO1B	2q12-q34
4.92E-05	1.71	Homo sapiens, clone IMAGE:4498705, mRNA	2956730	Hs.180908	NA	10
0.000646	1.72	Homo sapiens mRNA; cDNA DKFZp586F2224 (from clone DKFZp586F2224)	1468512	Hs.3843	NA	3
0.0002218	1.731	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, Bombay phenotype included)	1854558	Hs.69747	FUT1	19q13.3
0.0002159	1.745	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	1741702	Hs.93597	CDK5R1	17q11.2
0.0003288	1.782	KIAA1194	2221768	Hs.5801	KIAA1194	5q35.3
0.000559	1.787	Homo sapiens cDNA FLJ13427 fis, clone PLACE1002477.	599050	Hs.88605	NA	2
0.0004171	1.794	KIAA1295 protein	1208611	Hs.26204	KIAA1295	5q35.2
0.0001641	1.804	Spi-B transcription factor (Spi-1/PU.1 related)	1561204	Hs.192861	SPIB	19q13.3-q13.4
0.000388	1.82	origin recognition complex, subunit 2-like (yeast)	588671	Hs.41694	ORC2L	2q33
0.0006503	1.82	BH3 interacting domain death agonist	2782033	Hs.172894	BID	22q11.1
0.0001144	1.824	transmembrane 4 superfamily member 5	1634851	Hs.184194	TM4SF5	17p13.3
0.0002225	1.832	heat shock 70kDa protein 1-like	535732	Hs.80288	HSPA1L	6p21.3
0.0002758	1.852	major histocompatibility complex, class II, DM beta	735149	Hs.1162	HLA-DMB	6p21.3
4.71E-05	1.855	ATP-binding cassette, sub-family A (ABC1), member 1	1467253	Hs.211562	ABCA1	9q31.1
0.0001788	1.857	epimorphin	3438987	Hs.99865	EPIM	7
5.83E-05	1.87	cyclin B1	2877029	Hs.23960	CCNB1	5q12
0.0003289	1.872	transmembrane 7 superfamily member 1 (upregulated in kidney)	830684	Hs.15791	TM7SF1	1q42-q43
0.000362	1.876	ovo-like 1(Drosophila)	3534569	Hs.97905	OVOL1	11q13
0.0001911	1.878	kinesin family member 14	4511928	Hs.3104	KIF14	1pter-q31.3
0.0003457	1.883	8-oxoguanine DNA glycosylase	3033131	Hs.96398	OGG1	3p26.2
0.0004562	1.894	paired box gene 8	1440279	Hs.73149	PAX8	2q12-q14
0.0002306	1.895	sialyltransferase 8C (alpha2,3Galbeta1,4GlcNAcalpha 2,8-sialyltransferase)	5385159	Hs.114316	SIAT8C	18q21.2
0.0005365	1.91	cadherin 15, M-cadherin (myotubule)	2517367	Hs.148090	CDH15	16q24.3
0.0004766	1.916	heterogeneous nuclear ribonucleoprotein A/B	2194749	Hs.81361	HNRPAB	5q35.3
0.0005328	1.941	fibronectin 1	3553729	Hs.287820	FN1	2q34
0.0009202	1.969	putative G protein coupled receptor	2480493	Hs.37196	GPR	15q13.3
0.0001508	1.975	a disintegrin and metalloproteinase domain 11	2602282	Hs.6088	ADAM11	17q21.3
0.0006621	2.012	MyoD family inhibitor	2645911	Hs.153203	MDFI	6p21
0.0002838	2.015	Homo sapiens cDNA FLJ23705 fis, clone HEP11066.	2105590	Hs.49136		8
0.0005045	2.02	hypothetical protein FLJ25416	2791966	Hs.165607	FLJ25416	11q13.5
0.0004816	2.026	Homo sapiens cDNA FLJ37042 fis, clone BRACE2011947.	1208908	Hs.432542		5
0.0007633	2.027	hypothetical protein FLJ13659	2781142	Hs.301651	FLJ13659	19p12
0.0002519	2.03	Incyte EST	1618195	NA	NA	NA
2.60E-06	2.06	hypothetical protein FLJ10116	2381415	Hs.79741	FLJ10116	2q35
0.0008096	2.071	mitogen-activated protein kinase kinase kinase 10	2155126	Hs.30223	MAP3K10	19q13.2
0.0002905	2.079	polymyositis/scleroderma autoantigen 1, 75kDa	1473617	Hs.91728	PMSCL1	4q27
0.0009205	2.084	KIAA0767 protein	2706448	Hs.95180	KIAA0767	22q13.31
0.0002545	2.105	KIAA1357 protein	1266388	Hs.170162	KIAA1357	6q23.3
0.0007599	2.108	retinal G protein coupled receptor	753651	Hs.1544	RGR	10q23
0.0007919	2.109	synuclein, beta	926957	Hs.90297	SNCB	5q35
0.0004233	2.132	HSPC135 protein	3728524	Hs.127496	HSPC135	3q13.2
0.0001004	2.139	ESTs	1888036	Hs.427773	NA	2
5.95E-05	2.162	v-ral simian leukemia viral oncogene homolog A (ras related)	1981716	Hs.6906	RALA	7p22-p15
0.0006342	2.188	Homo sapiens, clone IMAGE:5206119, mRNA	3136873	Hs.270312	NA	17
3.00E-04	2.198	corticotropin releasing hormone receptor 1	2494107	Hs.79117	CRHR1	17q12-q22
0.0008073	2.2	hypothetical protein MGC17347	1866093	Hs.36828	MGC17347	9q13
0.0007275	2.212	Incyte EST	2800618
0.0001034	2.249	chromosome 12 open reading frame 5	566860	Hs.24792	C12orf5	12p13.3
0.0008376	2.259	Homo sapiens cDNA: FLJ23454 fis, clone HSI06959.	1601279	Hs.25717	NA	3
0.0003092	2.279	solute carrier family 16 (monocarboxylic acid transporters), member 1	733668	Hs.75231	SLC16A1	1p12
0.0001549	2.28	hypothetical protein FLJ11175	3475944	Hs.33368	FLJ11175	15q26.1
0.0006617	2.291	lysophospholipase I	1811857	Hs.12540	LYPLA1	8q11.23
0.0004173	2.299	nuclear receptor subfamily 4, group A, member 3	1919520	Hs.80561	NR4A3	9q22
0.00064	2.316	Incyte EST	1217695	NA	NA	NA
0.0003614	2.32	uroplakin 1A	1708315	Hs.159309	UPK1A	19q13.13
0.0008168	2.323	centrosomal protein 2	1706039	Hs.27910	CEP2	20q11.22-q12
0.0006759	2.334	general transcription factor IIE, polypeptide 1, alpha 56kDa	3203823	Hs.145381	GTF2E1	3q21-q24
0.0004855	2.337	zinc finger protein 226	622184	Hs.145956	ZNF226	19q13.2
0.0004186	2.346	ESTs	2676494	Hs.433013	NA	8
0.0009561	2.351	hypothetical protein BC009115	1413132	Hs.116602	LOC92935	2q33.1
0.0006151	2.353	SAC1 suppressor of actin mutations 1-like (yeast)	5495255	Hs.5867	SACM1L	3p21.3
0.0007681	2.366	kinesin family member 5A	5267178	Hs.192760	KIF5A	12q13
0.0005415	2.373	zymogen granule protein 16	1226538	Hs.184507	ZG16	16p12.1
0.0007225	2.376	frizzled homolog 7 (Drosophila)	2736837	Hs.173859	FZD7	2q33
0.0009784	2.378	ocular albinism 1 (Nettleship-Falls)	2808289	Hs.74124	OA1	Xp22.3
0.000447	2.389	basic leucine zipper nuclear factor 1 (JEM-1)	2459178	Hs.158205	BLZF1	1q24
0.0009535	2.394	ESTs	2590267	Hs.445376	NA	NA
0.0001741	2.399	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	2612515	Hs.93597	CDK5R1	17q11.2
0.0007724	2.401	slingshot 3	2020433	Hs.29173	SSH-3	11q13.1
0.0009061	2.411	DKFZP434F091 protein	2886732	Hs.30488	DKFZP434F091	3p25.3
0.0008546	2.425	Homo sapiens, clone MGC:43036 IMAGE:4839025, mRNA, complete cds	2937340	Hs.97717	NA	7
