Probeset ID	Gene Symbol	Gene Title	P-value	FoldChange
205767_at	EREG	epiregulin	0.039	1.64
242943_at	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	0.05	1.64
231310_at	NA	Transcribed locus	0.054	1.64
209398_at	HIST1H1C	histone cluster 1, H1c	0.043	1.64
213016_at	NA	ARTC1 mRNA, complete sequence	0.001	1.64
240156_at	NA	NA	0.032	1.64
238793_at	TIGD7	tigger transposable element derived 7	0.045	1.64
222798_at	PTER	phosphotriesterase related	0.026	1.64
219147_s_at	C9orf95	chromosome 9 open reading frame 95	0.001	1.64
228904_at	HOXB3	homeobox B3	0.085	1.64
1557383_a_ at	NA	CDNA FLJ38112 fis, clone D3OST2002272	0.029	1.64
226000_at	CTTNBP2NL	CTTNBP2 N-terminal like	0.026	1.64
1557987_at	LOC653786	otoancorin pseudogene	0.071	1.64
228805_at	C5orf25	chromosome 5 open reading frame 25	0.008	1.64
224365_s_at	TIGD7	tigger transposable element derived 7	0.089	1.64
226545_at	CD109	CD109 molecule	0.009	1.64
227295_at	IKIP	IKK interacting protein	0.072	1.64
238604_at	NA	CDNA FLJ25559 fis, clone JTH02834	0.001	1.64
236503_at	NA	Transcribed locus	0.069	1.63
238488_at	IPO11	importin 11	0.01	1.63
230337_at	SOS1	son of sevenless homolog 1 (Drosophila)	0.049	1.63
234394_at	ZNF124	zinc finger protein 124	0.08	1.63
227875_at	KLHL13	kelch-like 13 (Drosophila)	0.063	1.63
243134_at	CHD2	Chromodomain helicase DNA binding protein 2	0.011	1.63
235304_at	NA	Transcribed locus	0.03	1.63
217109_at	MUC4	mucin 4, cell surface associated	0.084	1.63
217901_at	DSG2	Desmoglein 2	0.027	1.63
227112_at	TMCC1	transmembrane and coiled-coil domain family 1	0.061	1.63
230083_at	USP53	ubiquitin specific peptidase 53	0.02	1.63
242247_at	METT5D1	methyltransferase 5 domain containing 1	0.008	1.63
230904_at	FSD1L	fibronectin type III and SPRY domain containing 1-like	0.016	1.63
203786_s_at	TPD52L1	tumor protein D52-like 1	0.062	1.63
205079_s_at	MPDZ	multiple PDZ domain protein	0.086	1.63
236076_at	LOC257396	hypothetical protein LOC257396	0.087	1.63
216218_s_at	PLCL2	phospholipase C-like 2	0.012	1.63
223535_at	NUDT12	nudix (nucleoside diphosphate linked moiety X)-type motif 12	0.061	1.62
228084_at	NA	Transcribed locus	0.056	1.62
229723_at	TAGAP	T-cell activation GTPase activating protein	0.015	1.62
1557487_at	NA	CDNA clone IMAGE:4797099	0.021	1.62
243904_at	NA	CDNA clone IMAGE:5287121	0.029	1.62
230779_at	TNRC6B	trinucleotide repeat containing 6B	0.075	1.62
223583_at	TNFAIP8L2	tumor necrosis factor, alpha-induced protein 8-like 2	0.049	1.62
230876_at	LOC169834	hypothetical protein LOC169834	0.069	1.62
201150_s_at	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	0.055	1.62
226853_at	BMP2K	BMP2 inducible kinase	0.04	1.61
210425_x_at	GOLGA8B	golgi autoantigen, golgin subfamily a, 8B	0.004	1.61
235925_at	TCF12	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	0.067	1.61
203139_at	DAPK1	death-associated protein kinase 1	0.022	1.61
222453_at	CYBRD1	cytochrome b reductase 1	0.061	1.61
205407_at	RECK	reversion-inducing-cysteine-rich protein with kazal motifs	0.063	1.61
1566079_at	LOC647190	similar to 40S ribosomal protein S16	0.045	1.61
212599_at	AUTS2	autism susceptibility candidate 2	0.014	1.61
231817_at	USP53	ubiquitin specific peptidase 53	0.026	1.61
222807_at	C11orf30	chromosome 11 open reading frame 30	0.024	1.61
204671_s_at	ANKRD6	ankyrin repeat domain 6	0.091	1.61
1562848_at	NA	NA	0.006	1.61
242003_at	ERICH1	Glutamate-rich 1	0.065	1.61
239963_at	FLJ43276	similar to ubiquitin-conjugating enzyme E2Q 2	0.017	1.61
234111_at	ZNF81	Zinc finger protein 81	0.004	1.61
1554479_a_at	CARD8	caspase recruitment domain family, member 8	0.094	1.61
235227_at	NA	CDNA clone IMAGE:5287121	0.009	1.61
228937_at	C13orf31	chromosome 13 open reading frame 31	0.057	1.61
239669_at	NA	Transcribed locus	0.002	1.61
227980_at	ZNF322A	zinc finger protein 322A	0	1.61
206028_s_at	MERTK	c-mer proto-oncogene tyrosine kinase	0.033	1.61
242809_at	IL1RL1	Interleukin 1 receptor-like 1	0.02	1.61
243773_at	PDCD2	Programmed cell death 2	0.001	1.61
229850_at	FVT1	follicular lymphoma variant translocation 1	0.072	1.61
225221_at	NA	CDNA FLJ32068 fis, clone OCBBF1000114	0.074	1.61
241310_at	NA	Transcribed locus	0.031	1.6
212221_x_at	IDS	iduronate 2-sulfatase (Hunter syndrome)	0.066	1.6
212170_at	RBM12	RNA binding motif protein 12	0.026	1.6
237741_at	SLC25A36	Solute carrier family 25, member 36	0.03	1.6
217542_at	MGC5370	Hypothetical protein MGC5370	0.014	1.6
242919_at	ZNF253	zinc finger protein 253	0.02	1.6
240468_at	NA	Transcribed locus	0.024	1.6
222805_at	MANEA	mannosidase, endo-alpha	0.059	1.6
236153_at	NA	Transcribed locus	0.066	1.6
212223_at	IDS	iduronate 2-sulfatase (Hunter syndrome)	0.08	1.6
238824_at	NA	CDNA FLJ30581 fis, clone BRAWH2007069	0	1.6
221213_s_at	ZNF280D	zinc finger protein 280D	0.094	1.6
227337_at	ANKRD37	ankyrin repeat domain 37	0.012	1.6
235044_at	CYYR1	cysteine/tyrosine-rich 1	0.001	1.6
1558515_at	NA	CDNA clone IMAGE:4328048	0.095	1.6
237510_at	NA	NA	0.004	1.6
227395_at	NA	CDNA FLJ38498 fis, clone FELNG2000241	0.037	1.6
223340_at	SPG3A	spastic paraplegia 3A (autosomal dominant)	0.087	1.6
223089_at	VEZT	vezatin, adherens junctions transmembrane protein	0.028	1.6
1557953_at	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	0.075	1.59
225774_at	RSPRY1	ring finger and SPRY domain containing 1	0.052	1.59
230300_at	NA	CDNA FLJ42315 fis, clone TRACH2019661	0.039	1.59
207161_at	KIAA0087	KIAA0087	0.035	1.59
235132_at	LOC254128	hypothetical protein LOC254128	0.088	1.59
240798_at	NA	NA	0.038	1.59
239041_at	HIST1H2AK	Histone cluster 1, H2ak	0.008	1.59
236766_at	NA	Transcribed locus	0.099	1.59
213610_s_at	KLHL23	kelch-like 23 (Drosophila)	0.004	1.59
1561079_at	ANKRD28	ankyrin repeat domain 28	0.063	1.59
211323_s_at	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	0	1.59
218983_at	C1RL	complement component 1, r subcomponent-like	0.02	1.59
212387_at	TCF4	transcription factor 4	0.001	1.59
201990_s_at	CREBL2	cAMP responsive element binding protein-like 2	0.051	1.59
235764_at	NA	Transcribed locus	0.05	1.59
240094_at	NA	NA	0.03	1.59
206233_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	0.026	1.58
233595_at	USP34	ubiquitin specific peptidase 34	0.042	1.58
213405_at	RAB22A	RAB22A, member RAS oncogene family	0.003	1.58
225725_at	NA	CDNA clone IMAGE:5261213	0.001	1.58
225930_at	NKIRAS1	NFKB inhibitor interacting Ras-like 1	0.005	1.58
219279_at	DOCK10	dedicator of cytokinesis 10	0.062	1.58
219342_at	CASD1	CAS1 domain containing 1	0.001	1.58
233799_at	NA	CDNA FLJ11418 fis, clone HEMBA1000972	0.023	1.58
207255_at	LEPR	leptin receptor	0.034	1.58
1559425_at	NA	MRNA; cDNA DKFZp667O095 (from clone DKFZp667O095)	0.05	1.58
224489_at	KIAA1267	KIAA1267	0.085	1.58
229027_at	NA	Transcribed locus	0.027	1.58
222920_s_at	KIAA0748	KIAA0748	0.012	1.58
229425_at	NA	Transcribed locus	0.001	1.58
204085_s_at	CLN5	ceroid-lipofuscinosis, neuronal 5	0.074	1.58
219436_s_at	EMCN	endomucin	0.029	1.58
238176_at	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2	0.061	1.58
219221_at	ZBTB38	zinc finger and BTB domain containing 38	0.027	1.58
229090_at	LOC220930	hypothetical protein LOC220930	0.074	1.58
232038_at	C6orf170	chromosome 6 open reading frame 170	0.037	1.58
1557132_at	WDR17	WD repeat domain 17	0.085	1.57
240768_x_at	NA	Transcribed locus	0.069	1.57
202540_s_at	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	0.037	1.57
223611_s_at	LNX1	ligand of numb-protein X 1	0.075	1.57
205078_at	PIGF	phosphatidylinositol glycan anchor biosynthesis, class F	0.031	1.57
229515_at	PAWR	PRKC, apoptosis, WT1, regulator	0.009	1.57
223218_s_at	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	0.034	1.57
216944_s_at	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	0	1.57
205577_at	PYGM	phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V)	0.04	1.57
1556043_a_at	NA	CDNA clone IMAGE:5272988	0.006	1.57
220643_s_at	FAIM	Fas apoptotic inhibitory molecule	0.016	1.57
218318_s_at	NLK	nemo-like kinase	0.081	1.57
210298_x_at	FHL1	four and a half LIM domains 1	0.027	1.57
232094_at	NA	CDNA FLJ11404 fis, clone HEMBA1000749	0.089	1.57
219487_at	BBS10	Bardet-Biedl syndrome 10	0.021	1.57
229975_at	NA	Transcribed locus	0.033	1.57
233323_at	NA	CDNA: FLJ21320 fis, clone COL02324	0.006	1.57
203935_at	ACVR1	activin A receptor, type I	0.071	1.57
209200_at	MEF2C	myocyte enhancer factor 2C	0.038	1.57
228573_at	NA	Full-length cDNA clone CS0DD001YA12 of Neuroblastoma Cot 50-normalized of Homo sapiens (human)	0.065	1.57
227923_at	SHANK3	SH3 and multiple ankyrin repeat domains 3	0.082	1.57
244457_at	NA	Transcribed locus	0.006	1.57
213998_s_at	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	0.075	1.57
229926_at	NA	Transcribed locus	0.015	1.57
204005_s_at	PAWR	PRKC, apoptosis, WT1, regulator	0.015	1.57
231747_at	CYSLTR1	cysteinyl leukotriene receptor 1	0.041	1.56
227040_at	NHLRC3	NHL repeat containing 3	0.005	1.56
207455_at	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	0.067	1.56
233675_s_at	LOC374491	TPTE and PTEN homologous inositol lipid phosphatase pseudogene	0.028	1.56
215111_s_at	TSC22D1	TSC22 domain family, member 1	0.001	1.56
1566557_at	FLJ90757	hypothetical protein LOC440465	0.051	1.56
201889_at	FAM3C	family with sequence similarity 3, member C	0.003	1.56
209379_s_at	KIAA1128	KIAA1128	0.024	1.56
209357_at	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	0.008	1.56
228724_at	NA	CDNA clone IMAGE:5312516	0.024	1.56
203372_s_at	SOCS2	suppressor of cytokine signaling 2	0.077	1.56
200768_s_at	MAT2A	methionine adenosyltransferase II, alpha	0.006	1.56
1558002_at	STRAP	Serine/threonine kinase receptor associated protein	0.057	1.56
239007_at	ZNF616	zinc finger protein 616	0.013	1.56
1558142_at	TNRC6B	trinucleotide repeat containing 6B	0.077	1.56
230389_at	FNBP1	Formin binding protein 1	0.072	1.56
225805_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	0.014	1.56
226109_at	C21orf91	chromosome 21 open reading frame 91	0.03	1.56
204201_s_at	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	0.028	1.56
244177_at	NA	Transcribed locus	0.079	1.56
226995_at	C21orf86	Chromosome 21 open reading frame 86	0.002	1.56
226646_at	KLF2	Kruppel-like factor 2 (lung)	0.014	1.56
215339_at	NKTR	natural killer-tumor recognition sequence	0.033	1.56
236837_x_at	LOC650794	Similar to FRAS1-related extracellular matrix protein 2 precursor (ECM3 homolog)	0.013	1.56
222589_at	NLK	nemo-like kinase	0.061	1.56
219368_at	NAP1L2	nucleosome assembly protein 1-like 2	0.036	1.55
223257_at	KIAA1333	KIAA1333	0.035	1.55
225411_at	NA	Full-length cDNA clone CS0DL008YP09 of B cells (Ramos cell line) Cot 25-normalized of Homo sapiens (human)	0.014	1.55
225355_at	DKFZP761M1511	hypothetical protein DKFZP761M1511	0.011	1.55
238744_at	NA	Transcribed locus	0.06	1.55
244552_at	ZNF788	zinc finger family member 788	0.011	1.55
243868_at	NA	Transcribed locus	0.024	1.55
236995_x_at	TFEC	transcription factor EC	0.051	1.55
210260_s_at	TNFAIP8	tumor necrosis factor, alpha-induced protein 8	0.039	1.55
225613_at	MAST4	microtubule associated serine/threonine kinase family member 4	0.032	1.55
212314_at	KIAA0746	KIAA0746 protein	0.013	1.55
203265_s_at	MAP2K4	mitogen-activated protein kinase kinase 4	0.008	1.55
229869_at	NA	Transcribed locus	0.013	1.55
228799_at	NA	Transcribed locus	0.06	1.55
232183_at	SERAC1	serine active site containing 1	0.018	1.55
206618_at	IL18R1	interleukin 18 receptor 1	0.056	1.55
229795_at	NA	Transcribed locus	0.071	1.55
203947_at	CSTF3	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa	0.032	1.55
204485_s_at	TOM1L1	target of myb1 (chicken)-like 1	0.013	1.55
229287_at	PCNX	pecanex homolog (Drosophila)	0.08	1.55
227606_s_at	STAMBPL1	STAM binding protein-like 1	0.019	1.55
239410_at	NA	NA	0.016	1.55
241472_at	DMXL1	Dmx-like 1	0.072	1.55
218816_at	LRRC1	leucine rich repeat containing 1	0.031	1.54
244015_at	NA	NA	0.058	1.54
231049_at	LMO2	LIM domain only 2 (rhombotin-like 1)	0.073	1.54
41329_at	SCYL3	SCY1-like 3 (S. cerevisiae)	0.019	1.54
238578_at	TMEM182	transmembrane protein 182	0.016	1.54
227874_at	EMCN	Endomucin	0.018	1.54
236106_at	NA	Transcribed locus	0.001	1.54
220520_s_at	NUP62CL	nucleoporin 62kDa C-terminal like	0.056	1.54
219498_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.037	1.54
228925_at	NA	Transcribed locus, weakly similar to XP_509380.1 PREDICTED: similar to fertilin alpha-I [Pan troglodytes]	0.033	1.54
244860_at	NA	Transcribed locus	0.014	1.54
212151_at	PBX1	pre-B-cell leukemia homeobox 1	0.075	1.54
1552302_at	FLJ77644 / TMEM106A	transmembrane protein 106A /// similar to transmembrane protein 106A	0.063	1.54
236051_at	NA	Transcribed locus	0.051	1.54
225178_at	TTC14	tetratricopeptide repeat domain 14	0.001	1.54
226098_at	IFT80	intraflagellar transport 80 homolog (Chlamydomonas)	0.024	1.54
240793_at	TTN	Titin	0.01	1.54
225256_at	NA	CDNA FLJ41369 fis, clone BRCAN2006117	0.009	1.54
1563392_at	NA	Chromosome 21, Down syndrome critical region transcript, T7 end of clone a-1-g12	0.024	1.54
236160_at	NA	Transcribed locus	0.049	1.54
204454_at	LDOC1	leucine zipper, down-regulated in cancer 1	0.07	1.54
209193_at	PIM1	pim-1 oncogene	0.001	1.54
205077_s_at	PIGF	phosphatidylinositol glycan anchor biosynthesis, class F	0.008	1.54
236322_at	NA	Transcribed locus	0.014	1.54
225107_at	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	0.001	1.54
214505_s_at	FHL1	four and a half LIM domains 1	0.033	1.54
232000_at	C9orf52	Chromosome 9 open reading frame 52	0.017	1.54
219317_at	POLI	polymerase (DNA directed) iota	0.013	1.54
225989_at	HERC4	hect domain and RLD 4	0.051	1.54
229968_at	NA	Transcribed locus	0.02	1.54
242136_x_at	MGC70870	C-terminal binding protein 2 pseudogene	0.081	1.54
243512_x_at	NA	Transcribed locus	0.015	1.54
238983_at	NSUN7	NOL1/NOP2/Sun domain family, member 7	0.069	1.54
238658_at	NA	Transcribed locus	0.007	1.54
206261_at	ZNF239	zinc finger protein 239	0.006	1.54
235333_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	0.044	1.54
200928_s_at	RAB14	RAB14, member RAS oncogene family	0.005	1.54
207338_s_at	ZNF200	zinc finger protein 200	0.048	1.53
232362_at	CCDC18	coiled-coil domain containing 18	0.022	1.53
209576_at	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	0.006	1.53
238174_at	NA	Transcribed locus	0.022	1.53
222316_at	NA	Transcribed locus	0.089	1.53
213800_at	CFH	complement factor H	0.001	1.53
231495_at	NA	Transcribed locus	0.039	1.53
208490_x_at	HIST1H2BF	histone cluster 1, H2bf	0.041	1.53
239893_at	NA	Transcribed locus	0.013	1.53
226878_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	0.063	1.53
232539_at	NA	MRNA; cDNA DKFZp761H1023 (from clone DKFZp761H1023)	0.031	1.53
230494_at	SLC20A1	Solute carrier family 20 (phosphate transporter), member 1	0.089	1.53
236917_at	LRRC34	leucine rich repeat containing 34	0.045	1.53
226250_at	NA	CDNA FLJ34585 fis, clone KIDNE2008758	0.018	1.53
238646_at	NA	Transcribed locus	0.046	1.53
243092_at	NA	CDNA clone IMAGE:4817413	0	1.53
220159_at	ABCA11	ATP-binding cassette, sub-family A (ABC1), member 11 (pseudogene)	0.009	1.53
224150_s_at	CEP70	centrosomal protein 70kDa	0.018	1.53
227444_at	ARMCX4	Armadillo repeat containing, X-linked 4	0.051	1.53
225716_at	NA	Full-length cDNA clone CS0DK008YI09 of HeLa cells Cot 25-normalized of Homo sapiens (human)	0.053	1.53
236698_at	NA	Full-length cDNA clone CS0DF025YA01 of Fetal brain of Homo sapiens (human)	0.031	1.53
209649_at	STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	0.029	1.53
221208_s_at	C11orf61	chromosome 11 open reading frame 61	0.025	1.53
243188_at	ZNF283	zinc finger protein 283	0.028	1.53
227822_at	ZNF605	zinc finger protein 605	0.043	1.53
237201_at	NA	Transcribed locus	0.015	1.53
235696_at	NA	CDNA clone IMAGE:4837650	0.042	1.53
228233_at	FREM1	FRAS1 related extracellular matrix 1	0.05	1.53
230793_at	LRRC16	leucine rich repeat containing 16	0.094	1.53
225974_at	TMEM64	transmembrane protein 64	0.022	1.53
220994_s_at	STXBP6	syntaxin binding protein 6 (amisyn)	0.099	1.53
239412_at	IRF5	interferon regulatory factor 5	0.076	1.52
209460_at	ABAT	4-aminobutyrate aminotransferase	0.024	1.52
210191_s_at	PHTF1	putative homeodomain transcription factor 1	0.002	1.52
224990_at	C4orf34	chromosome 4 open reading frame 34	0.051	1.52
236948_x_at	SFRS11	Splicing factor, arginine/serine-rich 11	0.044	1.52
1556997_a_at	NA	CDNA clone IMAGE:4795984	0.06	1.52
226381_at	PS1TP4	HBV preS1-transactivated protein 4	0.016	1.52
208029_s_at	LAPTM4B	lysosomal associated protein transmembrane 4 beta	0.018	1.52
226186_at	NA	CDNA clone IMAGE:5301189	0.075	1.52
231929_at	IKZF2	IKAROS family zinc finger 2 (Helios)	0.085	1.52
236823_at	NA	Transcribed locus	0.013	1.52
214697_s_at	ROD1	ROD1 regulator of differentiation 1 (S. pombe)	0.004	1.52
220266_s_at	KLF4	Kruppel-like factor 4 (gut)	0.059	1.52
226382_at	LOC283070	hypothetical protein LOC283070	0.023	1.52
222566_at	SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)	0.071	1.52
241262_at	NA	Transcribed locus	0.05	1.52
236558_at	NA	NA	0.093	1.52
226432_at	ETNK1	ethanolamine kinase 1	0.066	1.52
227080_at	ZNF697	zinc finger protein 697	0.007	1.52
225595_at	CREBZF	CREB/ATF bZIP transcription factor	0.025	1.52
213309_at	PLCL2	phospholipase C-like 2	0.088	1.52
212675_s_at	CEP68	centrosomal protein 68kDa	0.02	1.52
231157_at	TTLL11	tubulin tyrosine ligase-like family, member 11	0.006	1.52
221104_s_at	NIPSNAP3B	nipsnap homolog 3B (C. elegans)	0.044	1.52
242001_at	IDH1	Isocitrate dehydrogenase 1 (NADP+), soluble	0.047	1.52
236738_at	LOC401097	Similar to LOC166075	0.028	1.52
225524_at	ANTXR2	anthrax toxin receptor 2	0.083	1.52
238722_x_at	NAPE-PLD	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D	0.057	1.52
227121_at	NA	MRNA; cDNA DKFZp586K1922 (from clone DKFZp586K1922)	0.08	1.52
202710_at	BET1	blocked early in transport 1 homolog (S. cerevisiae)	0.041	1.52
224851_at	CDK6	cyclin-dependent kinase 6	0.068	1.52
235165_at	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)	0.04	1.51
208767_s_at	LAPTM4B	lysosomal associated protein transmembrane 4 beta	0.038	1.51
209798_at	NPAT	nuclear protein, ataxia-telangiectasia locus	0.014	1.51
227399_at	VGLL3	vestigial like 3 (Drosophila)	0.069	1.51
218430_s_at	RFXDC2	regulatory factor X domain containing 2	0.018	1.51
228999_at	CHD2	chromodomain helicase DNA binding protein 2	0.069	1.51
244663_at	NA	Transcribed locus	0.029	1.51
228539_at	NA	Transcribed locus	0.022	1.51
241391_at	NA	Transcribed locus	0.083	1.51
222585_x_at	KRCC1	lysine-rich coiled-coil 1	0.037	1.51
239285_at	JMJD2C	Jumonji domain containing 2C	0.027	1.51
204918_s_at	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	0.004	1.51
222651_s_at	TRPS1	trichorhinophalangeal syndrome I	0.065	1.51
232194_at	METTL4	methyltransferase like 4	0.063	1.51
201539_s_at	FHL1	four and a half LIM domains 1	0.044	1.51
244881_at	LMLN	leishmanolysin-like (metallopeptidase M8 family)	0.02	1.51
240231_at	NA	Transcribed locus	0.035	1.51
227461_at	STON2	stonin 2	0.025	1.51
238828_at	KIAA1919	KIAA1919	0.003	1.51
206090_s_at	DISC1	disrupted in schizophrenia 1	0.005	1.51
212386_at	TCF4	transcription factor 4	0.007	1.51
224036_s_at	LMBR1	limb region 1 homolog (mouse)	0.053	1.51
238653_at	NA	CDNA FLJ43454 fis, clone OCBBF2034906	0.08	1.51
212911_at	DNAJC16	DnaJ (Hsp40) homolog, subfamily C, member 16	0.049	1.51
231947_at	MYCT1	myc target 1	0.039	1.51
240592_at	LCORL	ligand dependent nuclear receptor corepressor-like	0.007	1.51
233611_at	NA	CDNA FLJ12106 fis, clone HEMBB1002702	0.009	1.51
202630_at	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	0.063	1.51
232055_at	LOC732233 /// SFXN1	sideroflexin 1 /// hypothetical protein LOC732233	0.043	1.51
203895_at	PLCB4	phospholipase C, beta 4	0.048	1.51
204285_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	0.052	1.51
1558794_at	LOC728190	Hypothetical protein LOC728190	0.024	1.51
225414_at	RNF149	ring finger protein 149	0.094	1.51
242975_s_at	NA	Transcribed locus	0.028	1.5
215506_s_at	DIRAS3	DIRAS family, GTP-binding RAS-like 3	0.059	1.5
207711_at	C20orf117	chromosome 20 open reading frame 117	0.003	1.5
213934_s_at	ZNF19 /// ZNF23	zinc finger protein 19 /// zinc finger protein 23 (KOX 16)	0.046	1.5
224648_at	GPBP1	GC-rich promoter binding protein 1	0.045	1.5
212607_at	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	0.1	1.5
228920_at	ZNF260	zinc finger protein 260	0.02	1.5
212307_s_at	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	0.005	1.5
226358_at	LOC145842	hypothetical protein LOC145842	0.001	1.5
228071_at	GIMAP7	GTPase, IMAP family member 7	0.03	1.5
215898_at	TTLL5	tubulin tyrosine ligase-like family, member 5	0.074	1.5
219296_at	ZDHHC13	zinc finger, DHHC-type containing 13	0.04	1.5
230892_at	NA	Transcribed locus	0.019	1.5
218373_at	AKTIP	AKT interacting protein	0.018	1.5
201989_s_at	CREBL2	cAMP responsive element binding protein-like 2	0.023	1.5
243835_at	ZDHHC21	Zinc finger, DHHC-type containing 21	0.025	1.5
209806_at	HIST1H2BK	histone cluster 1, H2bk	0.058	1.5
239250_at	ZNF542	zinc finger protein 542	0.005	1.5
201044_x_at	DUSP1	dual specificity phosphatase 1	0.049	1.5
205495_s_at	GNLY	granulysin	0.022	-1.5
202924_s_at	PLAGL2	pleiomorphic adenoma gene-like 2	0.001	-1.5
211456_x_at	MT1P2	metallothionein 1 pseudogene 2	0.041	-1.51
217028_at	CXCR4	chemokine (C-X-C motif) receptor 4	0.046	-1.51
233086_at	C20orf106 /// C20orf107	chromosome 20 open reading frame 106 /// chromosome 20 open reading frame 107	0.06	-1.51
233929_x_at	CXYorf1 /// FAM39B /// FAM39E /// LOC376475	family with sequence similarity 39, member B /// family with sequence similarity 39, member E /// CXYorf1-related protein /// chromosomes X and Y open reading frame 1	0.01	-1.51
217274_x_at	MYL4	myosin, light chain 4, alkali; atrial, embryonic	0	-1.51
214370_at	S100A8	S100 calcium binding protein A8	0.046	-1.51
232576_at	NA	CDNA FLJ11519 fis, clone HEMBA1002348	0.019	-1.51
239745_at	NA	Transcribed locus	0.065	-1.51
232530_at	PLD1	phospholipase D1, phosphatidylcholine-specific	0.071	-1.51
204772_s_at	TTF1	transcription termination factor, RNA polymerase I	0.03	-1.51
208092_s_at	FAM49A	family with sequence similarity 49, member A	0.059	-1.52
206632_s_at	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	0.029	-1.52
1554333_at	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	0.031	-1.52
1557586_s_at	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	0.007	-1.52
210088_x_at	MYL4	myosin, light chain 4, alkali; atrial, embryonic	0.002	-1.52
208581_x_at	MT1X	metallothionein 1X	0.043	-1.53
202671_s_at	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	0	-1.53
232031_s_at	KIAA1632	KIAA1632	0.01	-1.53
210951_x_at	RAB27A	RAB27A, member RAS oncogene family	0.011	-1.53
211458_s_at	GABARAPL1 /// GABARAPL3	GABA(A) receptor-associated protein like 1 /// GABA(A) receptors associated protein like 3	0.083	-1.53
207935_s_at	KRT13	keratin 13	0.006	-1.53
1565598_at	NA	Homo sapiens, clone IMAGE:4275461, mRNA	0.005	-1.54
235276_at	EPSTI1	Epithelial stromal interaction 1 (breast)	0.028	-1.54
222078_at	NA	Transcribed locus	0.036	-1.54
239780_at	NA	Transcribed locus	0.062	-1.54
1554229_at	C5orf41	chromosome 5 open reading frame 41	0.068	-1.54
222045_s_at	C20orf67	chromosome 20 open reading frame 67	0.028	-1.54
204745_x_at	MT1G	metallothionein 1G	0.036	-1.54
204232_at	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	0.061	-1.54
231833_at	RBM33	RNA binding motif protein 33	0.097	-1.54
206643_at	HAL	histidine ammonia-lyase	0.011	-1.54
216933_x_at	APC	adenomatous polyposis coli	0.089	-1.54
231821_x_at	FLJ14186 /// LOC284701 /// LOC441124 /// LOC728624 /// LOC729021 /// LOC729033 /// LOC731275 /// tcag7.907	hypothetical protein LOC284701 /// hypothetical gene supported by AK024248; AL137733 /// hypothetical LOC402483 /// hypothetical gene supported by AK093729; BX647918 /// hypothetical protein LOC728624 /// hypothetical protein LOC729021 /// hypothetical protein LOC729033 /// hypothetical protein LOC731275	0.018	-1.55
219810_at	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	0.047	-1.55
216202_s_at	SPTLC2	serine palmitoyltransferase, long chain base subunit 2	0.003	-1.55
