Gene Symbol	Entrez	NKI295ProbeID	Affy_HGU133A	CentroidMeta	CentroidNoMeta	Delta_Centroid	Gene Title	Pathway	Pathway Hyperlink	go biological process term	go molecular function term	go cellular component term
FGA	2243	NM_000508	205650_s_at	0.02650758	0.026486608	2.10E-05	fibrinogen alpha chain	Blood_Clotting_Cascade /// Blood_Clotting_Cascade	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Blood_Clotting_Cascade/Hs_Blood_Clotting_Cascade.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Blood_Clotting_Cascade/Hs_Blood_Clotting_Cascade.htm	signal transduction /// blood coagulation /// blood pressure regulation /// positive regulation of cell proliferation /// platelet activation /// protein polymerization	receptor binding /// protein binding /// protein binding, bridging	extracellular region /// fibrinogen complex /// fibrinogen complex /// soluble fraction
FN1	2335	X02761	214702_at	0.165875739	0.019696121	0.146179618	fibronectin 1	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	acute-phase response /// cell adhesion /// cell adhesion /// transmembrane receptor protein tyrosine kinase signaling pathway /// response to wounding /// cell migration	extracellular matrix structural constituent /// protein binding /// protein binding /// collagen binding /// heparin binding /// heparin binding	extracellular region /// extracellular region /// proteinaceous extracellular matrix /// ER-Golgi intermediate compartment
FYB	2533	NM_001465	211794_at	-0.043473796	0.005090409	-0.048564205	FYN binding protein (FYB-120/130)	---	---	carbohydrate metabolic process /// protein amino acid phosphorylation /// NLS-bearing substrate import into nucleus /// immune response /// signal transduction /// protein kinase cascade	receptor binding /// protein binding /// xylose isomerase activity	nucleus /// nucleus /// actin cytoskeleton
GBP1	2633	NM_002053	202270_at	0.066240133	0.048733722	0.017506411	guanylate binding protein 1, interferon-inducible, 67kDa	---	---	immune response	nucleotide binding /// GTPase activity /// GTP binding /// GTP binding	membrane
GNGT1	2792	S62027	207166_at	0.060371649	0.024423503	0.035948147	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	Calcium_regulation_in_cardiac_cells /// G_Protein_Signaling /// Smooth_muscle_contraction	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Calcium_regulation_in_cardiac_cells/Hs_Calcium_regulation_in_cardiac_cells.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_G_Protein_Signaling/Hs_G_Protein_Signaling.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Smooth_muscle_contraction/Hs_Smooth_muscle_contraction.htm	signal transduction /// signal transduction /// G-protein coupled receptor protein signaling pathway	GTPase activity /// signal transducer activity	heterotrimeric G-protein complex /// membrane
GP5	2814	NM_004488	207926_at	0.038914575	0.00841343	0.030501145	glycoprotein V (platelet)	---	---	cell adhesion /// cell adhesion /// blood coagulation	protein binding	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
GTPBP1	9567	NM_004286	219357_at	-0.025298901	0.008229584	-0.033528485	GTP binding protein 1	---	---	immune response /// signal transduction /// cell redox homeostasis	nucleotide binding /// GTPase activity /// GTP binding /// GTP binding	---
GYPA	2993	NM_002099	205838_at	0.008467471	-0.019687109	0.02815458	glycophorin A (MNS blood group)	---	---	---	identical protein binding	membrane fraction /// plasma membrane /// membrane /// integral to membrane
GZMA	3001	NM_006144	205488_at	0.004774513	0.266076858	-0.261302345	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	---	---	proteolysis /// apoptosis /// apoptosis /// cleavage of lamin /// immune response /// cytolysis	serine-type endopeptidase activity /// granzyme A activity /// granzyme A activity /// protein binding /// peptidase activity /// hydrolase activity /// identical protein binding /// protein homodimerization activity	immunological synapse /// nucleus
GZMB	3002	NM_004131	210164_at	0.051757914	0.178524631	-0.126766717	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	Apoptosis /// Apoptosis_GenMAPP	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis/Hs_Apoptosis.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis_GenMAPP/Hs_Apoptosis_GenMAPP.htm	proteolysis /// apoptosis /// apoptosis /// cleavage of lamin /// cytolysis	serine-type endopeptidase activity /// serine-type endopeptidase activity /// granzyme B activity /// granzyme B activity /// protein binding /// peptidase activity /// serine-type peptidase activity /// hydrolase activity	immunological synapse /// nucleus /// cytoplasm
HLA-DMB	3109	NM_002118	203932_at	-0.145261494	0.061346824	-0.206608318	major histocompatibility complex, class II, DM beta	---	---	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II /// immune response /// antigen processing and presentation	---	membrane /// integral to membrane /// MHC class II protein complex
HLA-F	3134	NM_018950	221978_at	-0.003287241	0.051443587	-0.054730828	major histocompatibility complex, class I, F	Proteasome_Degradation /// Proteasome_Degradation /// Proteasome_Degradation /// Proteasome_Degradation	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm	antigen processing and presentation of peptide antigen via MHC class I /// immune response /// antigen processing and presentation	MHC class I receptor activity	membrane /// integral to membrane /// MHC class I protein complex
IFI16	3428	NM_005531	208965_s_at	-0.00511304	0.009644125	-0.014757165	interferon, gamma-inducible protein 16	---	---	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent /// immune response /// cell proliferation /// response to virus /// hemopoiesis /// myeloid cell differentiation /// monocyte differentiation /// DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis	DNA binding /// double-stranded DNA binding /// protein binding /// transcriptional repressor activity	nucleus /// nucleus /// nucleoplasm /// nucleolus
IFI30	10437	NM_006332	201422_at	0.052259746	-0.052203013	0.10446276	interferon, gamma-inducible protein 30	---	---	immune response /// antigen processing and presentation of exogenous peptide antigen via MHC class II	oxidoreductase activity	extracellular region /// lysosome /// lysosome
IFI6	2537	NM_002038	204415_at	0.257691899	0.04275897	0.214932929	interferon, alpha-inducible protein 6	---	---	release of cytochrome c from mitochondria /// anti-apoptosis /// immune response /// immune response /// negative regulation of caspase activity /// negative regulation of mitochondrial depolarization	protein binding	mitochondrion /// membrane /// integral to membrane
IFIT1	3434	NM_001548	203153_at	0.350527426	0.053879008	0.296648418	interferon-induced protein with tetratricopeptide repeats 1	---	---	immune response	binding	cytoplasm
IFIT3	3437	Contig41538_RC	204747_at	0.240149771	0.06751611	0.172633661	interferon-induced protein with tetratricopeptide repeats 3	---	---	immune response	binding	---
IFITM1	8519	NM_003641	214022_s_at	-0.055114642	-0.002014509	-0.053100133	interferon induced transmembrane protein 1 (9-27)	---	---	regulation of progression through cell cycle /// immune response /// cell surface receptor linked signal transduction /// negative regulation of cell proliferation /// response to biotic stimulus	receptor signaling protein activity /// protein binding	plasma membrane /// membrane /// integral to membrane
IFITM3	10410	X57352	212203_x_at	-0.155227743	-0.052950455	-0.102277288	interferon induced transmembrane protein 3 (1-8U)	---	---	immune response /// immune response /// response to biotic stimulus	---	plasma membrane /// membrane /// integral to membrane
IGHA1 /// IGHA2 /// IGHG1 /// IGHM /// IGHV4-31	3493		211636_at	0.026596502	0.04807517	-0.021478667	immunoglobulin heavy constant alpha 1 /// immunoglobulin heavy constant alpha 2 (A2m marker) /// immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin heavy constant mu /// immunoglobulin heavy variable 4-31	---	---	activation of MAPK activity /// antigen processing and presentation of peptide antigen via MHC class I /// immune response /// immune response /// immunoglobulin mediated immune response /// antigen processing and presentation /// positive regulation of B cell proliferation /// early endosome to late endosome transport /// positive regulation of endocytosis /// positive regulation of peptidyl-tyrosine phosphorylation /// B cell receptor signaling pathway	antigen binding /// antigen binding /// antigen binding /// receptor activity /// transmembrane receptor activity /// protein binding /// protein binding	membrane fraction /// integral to plasma membrane /// external side of plasma membrane /// membrane /// membrane /// integral to membrane /// B cell receptor complex /// immunoglobulin complex, circulating /// MHC class I protein complex /// perinuclear region of cytoplasm
IGHD	3495		222285_at	-0.020625745	0.037859089	-0.058484835	immunoglobulin heavy constant delta	---	---	immune response	antigen binding	---
IGHG1 /// IGHV4-31	3500	Y14737	217369_at	-0.114638857	0.032866218	-0.147505075	immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin heavy variable 4-31	---	---	activation of MAPK activity /// antigen processing and presentation of peptide antigen via MHC class I /// immune response /// immune response /// immunoglobulin mediated immune response /// antigen processing and presentation /// positive regulation of B cell proliferation /// early endosome to late endosome transport /// positive regulation of endocytosis /// positive regulation of peptidyl-tyrosine phosphorylation /// B cell receptor signaling pathway	antigen binding /// antigen binding /// antigen binding /// receptor activity /// transmembrane receptor activity /// protein binding /// protein binding	membrane fraction /// integral to plasma membrane /// external side of plasma membrane /// membrane /// membrane /// integral to membrane /// B cell receptor complex /// immunoglobulin complex, circulating /// MHC class I protein complex /// perinuclear region of cytoplasm
IGHM	3507	X58529	212827_at	0.015955987	0.273879294	-0.257923306	immunoglobulin heavy constant mu	---	---	activation of MAPK activity /// antigen processing and presentation of peptide antigen via MHC class I /// immune response /// immunoglobulin mediated immune response /// antigen processing and presentation /// positive regulation of B cell proliferation /// early endosome to late endosome transport /// positive regulation of endocytosis /// positive regulation of peptidyl-tyrosine phosphorylation /// B cell receptor signaling pathway	antigen binding /// antigen binding /// antigen binding /// receptor activity /// transmembrane receptor activity /// protein binding	membrane fraction /// external side of plasma membrane /// membrane /// membrane /// B cell receptor complex /// immunoglobulin complex, circulating /// MHC class I protein complex /// perinuclear region of cytoplasm
IGKC	3514	AF103375	217145_at	0.024734777	0.061809881	-0.037075104	immunoglobulin kappa constant	---	---	antigen processing and presentation of peptide antigen via MHC class I /// immune response	antigen binding /// protein binding	extracellular region /// MHC class I protein complex
IL17A	3605	NM_002190	208402_at	0.091416194	0.0054495	0.085966694	interleukin 17A	---	---	protein amino acid glycosylation /// apoptosis /// inflammatory response /// immune response /// cell-cell signaling /// cell death	cytokine activity /// cytokine activity	extracellular region /// extracellular space /// extracellular space
IL18	3606	NM_001562	206295_at	-0.045865766	0.066669491	-0.112535257	interleukin 18 (interferon-gamma-inducing factor)	Hypertrophy_model /// Hypertrophy_model	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Hypertrophy_model/Hs_Hypertrophy_model.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Hypertrophy_model/Hs_Hypertrophy_model.htm	angiogenesis /// immune response /// immune response /// cell-cell signaling /// induction of apoptosis via death domain receptors /// regulation of cell adhesion /// sleep /// chemokine biosynthetic process /// chemokine biosynthetic process /// T-helper 1 type immune response /// T-helper 2 type immune response /// interleukin-2 biosynthetic process /// interleukin-2 biosynthetic process /// interferon-gamma biosynthetic process /// interferon-gamma biosynthetic process /// positive regulation of activated T cell proliferation /// interleukin-13 biosynthetic process /// granulocyte macrophage colony-stimulating factor biosynthetic process /// granulocyte macrophage colony-stimulating factor biosynthetic process	signal transducer activity /// cytokine activity /// cytokine activity /// interleukin-1 receptor binding	extracellular region /// extracellular region /// extracellular region /// extracellular space
IL1R1	3554	NM_000877	202948_at	-0.049019439	-0.0129935	-0.03602594	interleukin 1 receptor, type I	Hypertrophy_model	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Hypertrophy_model/Hs_Hypertrophy_model.htm	inflammatory response /// immune response /// cell surface receptor linked signal transduction /// cytokine and chemokine mediated signaling pathway	signal transducer activity /// signal transducer activity /// receptor activity /// transmembrane receptor activity /// transmembrane receptor activity /// interleukin-1 receptor activity /// interleukin-1 receptor activity /// interleukin-1, Type I, activating receptor activity /// interleukin-1, Type I, activating receptor activity /// protein binding	integral to plasma membrane /// membrane /// integral to membrane
IL1RN	3557	X52015	216244_at	0.024270332	0.004745051	0.019525281	interleukin 1 receptor antagonist	---	---	lipid metabolic process /// inflammatory response /// immune response /// immune response /// insulin secretion	interleukin-1 receptor binding /// interleukin-1 receptor antagonist activity /// interleukin-1 receptor antagonist activity /// protein binding	extracellular region /// extracellular space /// intracellular
IL2	3558	S82692	207849_at	0.021458878	0.042787593	-0.021328715	interleukin 2	Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	anti-apoptosis /// anti-apoptosis /// immune response /// immune response /// immune response /// cell adhesion /// cell adhesion /// cell-cell signaling /// cell-cell signaling /// positive regulation of cell proliferation /// positive regulation of cell proliferation /// natural killer cell activation /// natural killer cell activation /// T cell differentiation /// T cell differentiation /// positive regulation of cell growth /// positive regulation of cell growth /// positive regulation of T cell proliferation /// positive regulation of activated T cell proliferation /// positive regulation of activated T cell proliferation /// positive regulation of tyrosine phosphorylation of Stat5 protein /// positive regulation of transcription from RNA polymerase II promoter /// regulation of T cell homeostatic proliferation /// positive regulation of isotype switching to IgG isotypes /// negative regulation of lymphocyte proliferation /// negative regulation of inflammatory response /// positive regulation of immunoglobulin secretion	cytokine activity /// cytokine activity /// interleukin-2 receptor binding /// interleukin-2 receptor binding /// interleukin-2 receptor binding /// protein binding /// growth factor activity /// growth factor activity /// kinase activator activity /// kinase activator activity	extracellular region /// extracellular region /// extracellular space /// extracellular space /// extracellular space
IL26	55801	NM_018402	221111_at	0.045888713	0.052915296	-0.007026584	interleukin 26	---	---	immune response /// cell-cell signaling	cytokine activity	extracellular region /// extracellular space /// extracellular space /// soluble fraction
IL2RB	3560	NM_000878	205291_at	-0.050445862	0.138961315	-0.189407178	interleukin 2 receptor, beta	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	protein complex assembly /// signal transduction /// cytokine and chemokine mediated signaling pathway /// positive regulation of survival gene product activity	receptor activity /// hematopoietin/interferon-class (D200-domain) cytokine receptor activity /// interleukin-2 receptor activity /// interleukin-2 receptor activity /// interleukin-2 binding /// interleukin-2 binding	plasma membrane /// integral to plasma membrane /// external side of plasma membrane /// external side of plasma membrane /// membrane /// integral to membrane
IL2RG	3561	NM_000206	204116_at	-0.054361881	0.130144459	-0.18450634	interleukin 2 receptor, gamma (severe combined immunodeficiency)	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	immune response /// signal transduction	receptor activity /// hematopoietin/interferon-class (D200-domain) cytokine receptor activity /// interleukin-2 receptor activity /// interleukin-4 receptor activity /// interleukin-7 receptor activity /// protein binding /// interleukin-2 binding	integral to plasma membrane /// external side of plasma membrane /// membrane /// integral to membrane
IL5	3567	NM_000879	207952_at	0.052881036	0.02073966	0.032141376	interleukin 5 (colony-stimulating factor, eosinophil)	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	inflammatory response /// immune response /// positive regulation of peptidyl-tyrosine phosphorylation /// positive regulation of peptidyl-tyrosine phosphorylation	cytokine activity /// interleukin-5 receptor binding /// interleukin-5 receptor binding /// growth factor activity	extracellular region /// extracellular space /// extracellular space
IL5RA	3568	NM_000564	207902_at	-0.003771641	-0.060875621	0.057103981	interleukin 5 receptor, alpha	Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	signal transduction /// cell proliferation /// cell proliferation	receptor activity /// hematopoietin/interferon-class (D200-domain) cytokine receptor activity /// interleukin-5 receptor activity /// interleukin-5 receptor activity	extracellular space /// interleukin-5 receptor complex /// membrane /// integral to membrane /// integral to membrane
IL6ST	3572	AL049265	212196_at	-0.258691365	0.227833452	-0.486524817	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	---	---	immune response /// signal transduction /// cell surface receptor linked signal transduction	receptor activity /// receptor activity /// hematopoietin/interferon-class (D200-domain) cytokine receptor activity /// interleukin-6 receptor activity /// oncostatin-M receptor activity /// protein binding	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
IL7R	3575	NM_002185	205798_at	0.02084865	0.15668991	-0.13584126	interleukin 7 receptor	---	---	regulation of DNA recombination /// immune response /// signal transduction /// cell surface receptor linked signal transduction /// lymph node development	antigen binding /// receptor activity /// hematopoietin/interferon-class (D200-domain) cytokine receptor activity /// interleukin-7 receptor activity /// protein binding	external side of plasma membrane /// membrane /// integral to membrane
IL9	3578	M30134	208193_at	0.04014146	0.036093803	0.004047657	interleukin 9	---	---	inflammatory response /// immune response /// cell-cell signaling /// positive regulation of cell proliferation /// positive regulation of interleukin-5 biosynthetic process /// positive regulation of interleukin-5 biosynthetic process	cytokine activity /// hematopoietin/interferon-class (D200-domain) cytokine receptor binding /// interleukin-9 receptor binding /// growth factor activity	extracellular region /// extracellular space
INDO	3620	NM_002164	210029_at	0.144247713	0.126771071	0.017476642	indoleamine-pyrrole 2,3 dioxygenase	---	---	tryptophan catabolic process /// immune response /// pregnancy /// tryptophan catabolic process to kynurenine	indoleamine-pyrrole 2,3-dioxygenase activity /// iron ion binding /// electron carrier activity /// oxidoreductase activity /// oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen /// heme binding /// metal ion binding	---
IRF1	3659	NM_002198	202531_at	-0.124344664	0.043447402	-0.167792067	interferon regulatory factor 1	Apoptosis	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis/Hs_Apoptosis.htm	transcription /// regulation of transcription, DNA-dependent /// transcription from RNA polymerase II promoter /// immune response /// cell cycle /// positive regulation of interleukin-12 biosynthetic process /// negative regulation of progression through cell cycle /// positive regulation of transcription, DNA-dependent	DNA binding /// transcription factor activity	nucleus
IRF4	3662	NM_002460	204562_at	-0.026136733	0.117747466	-0.143884199	interferon regulatory factor 4	Apoptosis /// Apoptosis	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis/Hs_Apoptosis.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis/Hs_Apoptosis.htm	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent /// T cell activation /// T cell activation /// positive regulation of interleukin-10 biosynthetic process /// positive regulation of interleukin-10 biosynthetic process /// positive regulation of interleukin-2 biosynthetic process /// positive regulation of interleukin-2 biosynthetic process /// positive regulation of interleukin-13 biosynthetic process /// positive regulation of interleukin-13 biosynthetic process /// positive regulation of interleukin-4 biosynthetic process /// positive regulation of interleukin-4 biosynthetic process /// regulation of T-helper cell differentiation /// regulation of T-helper cell differentiation /// positive regulation of transcription /// positive regulation of transcription	DNA binding /// transcription factor activity /// transcription factor activity /// transcription factor activity /// RNA polymerase II transcription factor activity /// transcription factor binding /// transcription factor binding /// transcriptional activator activity /// transcriptional activator activity	intracellular /// nucleus /// nucleus /// nucleus /// nucleus
IRF8	3394	NM_002163	204057_at	-0.140211908	0.090954606	-0.231166514	interferon regulatory factor 8	---	---	negative regulation of transcription from RNA polymerase II promoter /// transcription /// regulation of transcription, DNA-dependent /// immune response /// immune response /// myeloid cell differentiation	DNA binding /// transcription factor activity /// RNA polymerase II transcription factor activity, enhancer binding	intracellular /// nucleus
ISG15	9636	NM_005101	205483_s_at	0.410180715	-0.108484642	0.518665357	ISG15 ubiquitin-like modifier	---	---	protein modification process /// ubiquitin cycle /// ubiquitin cycle /// immune response /// cell-cell signaling /// response to virus /// ISG15-protein conjugation	protein binding	extracellular space /// cytoplasm
ISGF3G	10379	NM_006084	203882_at	0.086607266	-0.019400042	0.106007307	interferon-stimulated transcription factor 3, gamma 48kDa	---	---	transcription /// regulation of transcription, DNA-dependent /// transcription from RNA polymerase II promoter /// immune response /// cell surface receptor linked signal transduction /// response to virus	DNA binding /// transcription factor activity /// transcription factor activity /// protein binding /// zinc ion binding /// metal ion binding	intracellular /// nucleus /// nucleus /// cytoplasm /// cytosol /// internal side of plasma membrane
ITGA2B	3674	NM_000419	206493_at	0.023498391	-0.02592642	0.04942481	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	Integrin-mediated_cell_adhesion_KEGG	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm	cell adhesion /// cell adhesion /// integrin-mediated signaling pathway	receptor activity /// calcium ion binding /// protein binding /// identical protein binding	integral to plasma membrane /// integrin complex /// membrane /// integral to membrane
ITGA6	3655	NM_000210	201656_at	0.009334817	0.009880611	-0.000545794	integrin, alpha 6	Integrin-mediated_cell_adhesion_KEGG /// Integrin-mediated_cell_adhesion_KEGG	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm	cell-substrate junction assembly /// cell adhesion /// cell-matrix adhesion /// integrin-mediated signaling pathway	receptor activity /// calcium ion binding /// protein binding	integrin complex /// membrane /// integral to membrane
ITGB1	3688	X07979	215879_at	0.042841637	0.049179953	-0.006338316	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	Integrin-mediated_cell_adhesion_KEGG	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm	cellular defense response /// cell adhesion /// homophilic cell adhesion /// cell-matrix adhesion /// integrin-mediated signaling pathway /// multicellular organismal development /// cell migration	receptor activity /// binding /// protein binding /// protein binding /// identical protein binding /// protein heterodimerization activity	ruffle /// endoplasmic reticulum /// integrin complex /// integrin complex /// membrane /// integral to membrane
ITGB2	3689	NM_000211	202803_s_at	-0.176970162	0.058971558	-0.235941721	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	Integrin-mediated_cell_adhesion_KEGG /// Integrin-mediated_cell_adhesion_KEGG /// Integrin-mediated_cell_adhesion_KEGG	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm	apoptosis /// inflammatory response /// cell adhesion /// cell adhesion /// leukocyte adhesion /// cell-matrix adhesion /// integrin-mediated signaling pathway /// integrin-mediated signaling pathway /// integrin-mediated signaling pathway /// cell-cell signaling /// multicellular organismal development /// regulation of cell shape /// neutrophil chemotaxis /// regulation of peptidyl-tyrosine phosphorylation	receptor activity /// binding /// protein binding /// protein binding /// protein kinase binding	integrin complex /// integrin complex /// integrin complex /// membrane /// integral to membrane
ITGB3	3690	NM_000212	211579_at	0.000368026	-0.01666377	0.017031796	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	Integrin-mediated_cell_adhesion_KEGG /// Integrin-mediated_cell_adhesion_KEGG	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm	cell-substrate junction assembly /// cell adhesion /// cell adhesion /// cell-matrix adhesion /// integrin-mediated signaling pathway /// multicellular organismal development /// blood coagulation /// regulation of cell migration	receptor activity /// integrin binding /// binding /// protein binding /// protein binding /// identical protein binding	integral to plasma membrane /// integrin complex /// integrin complex /// external side of plasma membrane /// membrane /// integral to membrane
