Genesymbol	Sequence description	Fold change	P-value
GNA15	Homo sapiens guanine nucleotide binding protein (G protein), alpha 15 (Gq class) (GNA15), mRNA [NM_002068]	3.41	1.82E-14
PFC	Homo sapiens properdin P factor, complement (PFC), mRNA [NM_002621]	3.4	4.31E-27
THC2616558	MMU72521 neural variant mena+ protein {Mus musculus} (exp=-1; wgp=0; cg=0), partial (3%) [THC2616558]	3.39	0.00002
TRPC1	Homo sapiens transient receptor potential cation channel, subfamily C, member 1 (TRPC1), mRNA [NM_003304]	3.39	?E-46
CXCL11	Homo sapiens chemokine (C-X-C motif) ligand 11 (CXCL11), mRNA [NM_005409]	3.39	7.84E-37
ENST00000382790	Tumor necrosis factor receptor superfamily member 11A precursor (Receptor activator of NF-KB) (Osteoclast differentiation factor receptor) (ODFR) (CD265 antigen). [Source:Uniprot/SWISSPROT;Acc:Q9Y6Q6] [ENST00000382790]	3.38	1.17E-14
CCL18	Homo sapiens chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) (CCL18), mRNA [NM_002988]	3.37	0.0015
LAPTM4B	Homo sapiens lysosomal associated protein transmembrane 4 beta (LAPTM4B), mRNA [NM_018407]	3.36	1.55E-11
AK124281	CDNA FLJ42287 fis, clone TLIVE2005866	3.33	?E-46
LOC201895	Homo sapiens hypothetical protein LOC201895 (LOC201895), mRNA [NM_174921]	3.32	4.47E-10
AF086154	Full length insert cDNA clone ZB55F04	3.32	4.41E-07
KHDRBS3	Homo sapiens KH domain containing, RNA binding, signal transduction associated 3 (KHDRBS3), mRNA [NM_006558]	3.32	5.35E-11
CD83	Homo sapiens CD83 antigen (activated B lymphocytes, immunoglobulin superfamily) (CD83), mRNA [NM_004233]	3.31	7.95E-14
BC009926	Homo sapiens cDNA clone IMAGE:3604199,  WARNING: chimeric clone . [BC009926]	3.3	0.00087
SERPINF1	Homo sapiens serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1 (SERPINF1), mRNA [NM_002615]	3.28	6.08E-19
RASSF4	AD037 protein	3.28	7.08E-17
KCNN2	Homo sapiens potassium intermediate [NM_021614]	3.27	0.0011
PCDH11Y	Homo sapiens protocadherin 11 Y-linked (PCDH11Y), transcript variant c, mRNA [NM_032973]	3.26	0.00002
HSCARG	Homo sapiens HSCARG protein (HSCARG), mRNA [NM_020677]	3.26	6.47E-19
	Homo sapiens MHC class I mRNA fragment 3.8-1 (3.8-1) on chromosome 6.	3.24	8.01E-08
IL22RA1	Homo sapiens interleukin 22 receptor, alpha 1 (IL22RA1), mRNA [NM_021258]	3.21	3.41E-16
SLN	Homo sapiens sarcolipin (SLN), mRNA [NM_003063]	3.21	3.87E-21
THRSP	Homo sapiens thyroid hormone responsive (SPOT14 homolog, rat) (THRSP), mRNA [NM_003251]	3.21	0.0022
GPR56	G protein-coupled receptor 56	3.2	2.47E-06
SLC12A3	Homo sapiens solute carrier family 12 (sodium/chloride transporters), member 3 (SLC12A3), mRNA [NM_000339]	3.19	0.001
SERPINE2	Homo sapiens serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2 (SERPINE2), mRNA [NM_006216]	3.19	9.92E-11
p97mRNA	Human melanoma-associated antigen p97 (melanotransferrin) mRNA, 3 flank.	3.19	0.00002
TBC1D16	TBC1 domain family, member 16	3.19	7.01E-10
HBA2	Hemoglobin, alpha 1	3.18	0.00002
TPM2	Homo sapiens tropomyosin 2 (beta) (TPM2), transcript variant 2, mRNA [NM_213674]	3.17	0.00004
ASMT	DNA segment on chromosome X and Y (unique) 155 expressed sequence, isoform 1	3.16	0.00006
THC2730125	Unknown	3.16	0.00002
LCP2	Homo sapiens lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa) (LCP2), mRNA [NM_005565]	3.16	2.07E-29
C14orf58	Homo sapiens chromosome 14 open reading frame 58 (C14orf58), mRNA [NM_017791]	3.15	0.0001
FLJ44087	Hypothetical gene supported by AK126075	3.15	0.00205
TPD52L1	Tumor protein D52-like 1	3.15	0.00073
NFKBIZ	molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL), homolog of mouse	3.14	1.70E-26
CD274	Programmed cell death 1 ligand 1 precursor (Programmed death ligand 1) (PD-L1) (PDCD1 ligand 1) (B7 homolog 1) (B7-H1) (CD274 antigen). [Source:Uniprot/SWISSPROT;Acc:Q9NZQ7] [ENST00000381577]	3.14	4.50E-26
PLA1A	Homo sapiens phospholipase A1 member A (PLA1A), mRNA [NM_015900]	3.14	5.43E-21
MICA	MHC class I region ORF	3.14	1.72E-13
MATN1	Matrilin 1, cartilage matrix protein	3.13	2.07E-11
GOLPH2	Golgi phosphoprotein 2	3.12	6.72E-12
CD302	KIAA0022 gene product	3.1	8.51E-06
THC2582897	Unknown	3.09	?E-46
PRO1995	hypothetical protein PRO1995	3.08	2.91E-22
ENST00000376682	Probable G-protein coupled receptor 133 precursor (G-protein coupled receptor PGR25). [Source:Uniprot/SWISSPROT;Acc:Q6QNK2] [ENST00000376682]	3.08	0.00265
DUSP5	Homo sapiens dual specificity phosphatase 5 (DUSP5), mRNA [NM_004419]	3.08	1.14E-08
BHLHB3	Homo sapiens basic helix-loop-helix domain containing, class B, 3 (BHLHB3), mRNA [NM_030762]	3.07	1.56E-07
TMEM40	Homo sapiens transmembrane protein 40 (TMEM40), mRNA [NM_018306]	3.05	9.56E-27
FRK	Homo sapiens fyn-related kinase (FRK), mRNA [NM_002031]	3.04	7.40E-32
LIPF	Homo sapiens lipase, gastric (LIPF), mRNA [NM_004190]	3.02	0.00002
LOC388242	Homo sapiens LOC112869 pseudogene (LOC388242) on chromosome 16.	3.02	1.88E-11
TMCC2	Homo sapiens transmembrane and coiled-coil domains 2 (TMCC2), mRNA [NM_014858]	3.02	3.40E-34
ENST00000367169	Neurofascin precursor. [Source:Uniprot/SWISSPROT;Acc:O94856] [ENST00000367169]	3.01	0.00032
IBRDC2	Homo sapiens IBR domain containing 2 (IBRDC2), mRNA [NM_182757]	3.01	3.37E-13
YPEL4	Homo sapiens yippee-like 4 (Drosophila) (YPEL4), mRNA [NM_145008]	3	2.13E-16
TMOD1	Homo sapiens tropomodulin 1 (TMOD1), mRNA [NM_003275]	3	0.000004508
SNTB1	Homo sapiens syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1) (SNTB1), mRNA [NM_021021]	3	3.78E-10
P4HA2	Homo sapiens procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II (P4HA2), mRNA [NM_004199]	2.99	1.98E-06
ENST00000375672	Uncharacterized protein C20orf112. [Source:Uniprot/SWISSPROT;Acc:Q96MY1] [ENST00000375672]	2.98	5.41E-08
LOC286334	Hypothetical protein LOC286334	2.97	2.24E-13
CDH22	Homo sapiens cadherin-like 22 (CDH22), mRNA [NM_021248]	2.97	2.41E-08
BX648200	Homo sapiens mRNA; cDNA DKFZp779C0742 (from clone DKFZp779C0742). [BX648200]	2.96	?E-46
TUBAL3	Homo sapiens tubulin, alpha-like 3 (TUBAL3), mRNA [NM_024803]	2.96	0.00198
A_32_P96154	Unknown	2.96	0.00095
TBC1D8	Homo sapiens TBC1 domain family, member 8 (with GRAM domain) (TBC1D8), mRNA [NM_007063]	2.96	7.58E-06
MARCHIII	Homo sapiens membrane-associated RING-CH protein III (MARCH-III), mRNA [NM_178450]	2.95	1.89E-36
SHANK2	Homo sapiens SH3 and multiple ankyrin repeat domains 2 (SHANK2), transcript variant 1, mRNA [NM_012309]	2.95	6.52E-07
C1orf34	Homo sapiens chromosome 1 open reading frame 34, mRNA (cDNA clone IMAGE:4827153), partial cds. [BC028374]	2.95	9.83E-24
GNG8	G-protein gamma 8 subunit	2.95	?E-46
HBA1	Hemoglobin, alpha 1	2.94	0.00024
CDKN1C	Homo sapiens cyclin-dependent kinase inhibitor 1C (p57, Kip2) (CDKN1C), mRNA [NM_000076]	2.94	2.11E-12
NRAP	Homo sapiens nebulin-related anchoring protein (NRAP), transcript variant 2, mRNA [NM_198060]	2.94	0.00006
VMD2	Homo sapiens vitelliform macular dystrophy (Best disease, bestrophin) (VMD2), mRNA [NM_004183]	2.93	0.00432
RPS6KA2	Ribosomal protein S6 kinase, 90kDa, polypeptide 2	2.93	?E-46
LOC146439	Hypothetical LOC146439	2.93	8.76E-07
PDE4DIP	Homo sapiens phosphodiesterase 4D interacting protein (myomegalin) (PDE4DIP), transcript variant 3, mRNA [NM_022359]	2.93	8.05E-14
ZNRF3	Homo sapiens mRNA for KIAA1133 protein, partial cds. [AB051436]	2.91	0.00078
PPP1R14A	Protein phosphatase 1, regulatory (inhibitor) subunit 14A	2.91	7.19E-38
ATF3	Homo sapiens activating transcription factor 3 (ATF3), transcript variant 4, mRNA [NM_001040619]	2.9	0.00006
APCDD1	Homo sapiens adenomatosis polyposis coli down-regulated 1 (APCDD1), mRNA [NM_153000]	2.9	0.0006
A_24_P798431	Unknown	2.9	3.23E-08
ME3	Malic enzyme 3, NADP(+)-dependent, mitochondrial	2.9	0.00006
AK027158	hypothetical protein FLJ23505	2.89	0.0001
CYLN2	Neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1)	2.89	?E-46
THC2640472	Q2M1U4_HUMAN (Q2M1U4) Catalase, partial (31%) [THC2640472]	2.89	2.75E-13
PREX1	Homo sapiens phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1 (PREX1), mRNA [NM_020820]	2.88	0
BC014370	Homo sapiens cDNA clone IMAGE:3961179, partial cds [BC014370]	2.88	1.42E-08
THC2668971	Q6P9F8_HUMAN (Q6P9F8) RHOT1 protein (Fragment), partial (12%) [THC2668971]	2.88	0.0038
C14orf48	Homo sapiens chromosome 14 open reading frame 48 (C14orf48), mRNA [NM_152777]	2.88	0.0015
AF150379	Transcribed locus	2.87	3.43E-07
MLLT2	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2 (MLLT2), mRNA [NM_005935]	2.87	4.49E-23
C9orf94	Homo sapiens cDNA FLJ35283 fis, clone PROST2007528.	2.86	0.00156
PTPLB	Homo sapiens protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b (PTPLB), mRNA [NM_198402]	2.86	3.81E-09
PLEKHK1	Pleckstrin homology domain containing, family K member 1	2.85	?E-46
MMP9	Homo sapiens matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase) (MMP9), mRNA [NM_004994]	2.85	1.13E-29
MYLK	Myosin, light polypeptide kinase	2.85	0.00317
RIN3	Homo sapiens Ras and Rab interactor 3 (RIN3), mRNA [NM_024832]	2.84	3.12E-18
SPOCK2	Homo sapiens sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 (SPOCK2), mRNA [NM_014767]	2.82	2.61E-26
PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	2.81	3.40E-15
LOC221143	Homo sapiens hypothetical protein LOC221143 (LOC221143), mRNA [NM_174928]	2.81	?E-46
HCK	Homo sapiens hemopoietic cell kinase (HCK), mRNA [NM_002110]	2.81	4.69E-22
THC2714968	Q2NY92_XANOM (Q2NY92) Methyltransferase, partial (3%) [THC2714968]	2.8	3.11E-08
PRRT3	Proline-rich transmembrane protein 3	2.8	1.86E-30
SCN11A	Homo sapiens sodium channel, voltage-gated, type XI, alpha (SCN11A), mRNA [NM_014139]	2.8	0.00003
AF086468	Full length insert cDNA clone ZD86H05	2.79	3.18E-12
FAM19A2	Homo sapiens TAFA2 protein (TAFA2), mRNA [NM_178539]	2.79	0.00004
AKAP5	Homo sapiens A kinase (PRKA) anchor protein 5 (AKAP5), mRNA [NM_004857]	2.79	1.82E-10
BCL2A1	Homo sapiens BCL2-related protein A1 (BCL2A1), mRNA [NM_004049]	2.78	1.19E-27
AK056401	Homo sapiens cDNA FLJ31839 fis, clone NT2RP7000086. [AK056401]	2.77	0.00027
TM4SF7	Tetraspanin 4	2.76	2.43E-24
FLJ39378	Hypothetical protein FLJ39378	2.76	1.84E-11
A_32_P113871	Unknown	2.76	7.80E-06
C20orf112	Homo sapiens cDNA FLJ40485 fis, clone TESTI2043857, moderately similar to Homo sapiens nolp mRNA. [AK097804]	2.76	1.18E-14
FGFR1	Homo sapiens fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome) (FGFR1), transcript variant 8, mRNA.	2.75	8.69E-44
LIPC	Homo sapiens lipase, hepatic (LIPC), mRNA [NM_000236]	2.75	1.00E-19
A_24_P917595	Unknown	2.75	0.00106
THC2722767	Unknown	2.74	0.00009
FLJ14834	Homo sapiens hypothetical protein FLJ14834 (FLJ14834), mRNA [NM_032849]	2.73	4.58E-07
SMOX	hypothetical protein	2.72	3.14E-16
IGF1R	Homo sapiens insulin-like growth factor 1 receptor (IGF1R), mRNA [NM_000875]	2.71	0.00019
FJX1	Homo sapiens four jointed box 1 (Drosophila) (FJX1), mRNA [NM_014344]	2.7	2.40E-07
CLEC2D	lectin-like NK cell receptor	2.69	2.04E-19
LSP1	Lymphocyte-specific protein 1	2.67	8.57E-28
THC2702298	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (6%) [THC2702298]	2.66	1.42E-11
ENST00000343505	Q6T4R5 (Q6T4R5) Nance-Horan syndrome protein, partial (3%) [THC2164370]	2.66	0.0001
CNR1	Cannabinoid receptor 1 (brain)	2.65	3.09E-16
ZPBP	Homo sapiens zona pellucida binding protein (ZPBP), mRNA [NM_007009]	2.65	0.00029
GPR109A	Homo sapiens G protein-coupled receptor 109A (GPR109A), mRNA [NM_177551]	2.64	5.39E-18
KIAA1622	Homo sapiens KIAA1622 (KIAA1622), transcript variant 1, mRNA [NM_058237]	2.64	2.14E-26
FLJ32009	Homo sapiens hypothetical protein FLJ32009 (FLJ32009), mRNA [NM_152718]	2.64	1.05E-18
BX647614	MRNA; cDNA DKFZp547B198 (from clone DKFZp547B198)	2.64	0.00045
PHACTR1	Homo sapiens phosphatase and actin regulator 1 (PHACTR1), mRNA [NM_030948]	2.64	0.00033
C17orf67	Chromosome 17 open reading frame 67	2.63	7.46E-14
MYB	Homo sapiens v-myb myeloblastosis viral oncogene homolog (avian) (MYB), mRNA [NM_005375]	2.63	9.49E-10
C10orf83	Homo sapiens chromosome 10 open reading frame 83 (C10orf83), mRNA [NM_178832]	2.62	1.01E-15
C11orf21	Homo sapiens C11orf21 mRNA, complete cds. [AB029488]	2.61	?E-46
FXYD2	Homo sapiens FXYD domain containing ion transport regulator 2 (FXYD2), transcript variant b, mRNA [NM_021603]	2.6	0.00002
RNF141	C3HC4-like zinc finger protein	2.59	7.88E-21
CREB3L1	Homo sapiens cAMP responsive element binding protein 3-like 1 (CREB3L1), mRNA [NM_052854]	2.59	2.36E-30
IL32	natural killer cell transcript 4	2.59	0.0047
LEMD1	LEM domain containing 1	2.58	0.00003
C17orf27	KIAA1554 protein	2.58	0.00003
LAPTM5	Homo sapiens lysosomal associated multispanning membrane protein 5 (LAPTM5), mRNA [NM_006762]	2.58	0.00009
FEZ1	Homo sapiens fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA [NM_005103]	2.57	6.84E-11
XCL1	Homo sapiens chemokine (C motif) ligand 1 (XCL1), mRNA [NM_002995]	2.57	0.00393
MGC35043	Homo sapiens hypothetical protein MGC35043 (MGC35043), mRNA [NM_152770]	2.57	3.23E-26
MGC33926	Homo sapiens hypothetical protein MGC33926 (MGC33926), mRNA [NM_152390]	2.56	7.92E-11
FLJ22635	Homo sapiens hypothetical protein FLJ22635 (FLJ22635), mRNA [NM_025092]	2.55	2.87E-36
ENST00000328419	Unknown	2.55	0.00001
GPD1	Homo sapiens glycerol-3-phosphate dehydrogenase 1 (soluble) (GPD1), mRNA [NM_005276]	2.54	9.43E-28
DPYSL4	Homo sapiens dihydropyrimidinase-like 4 (DPYSL4), mRNA [NM_006426]	2.54	1.28E-09
HSPA4L	Homo sapiens heat shock 70kDa protein 4-like (HSPA4L), mRNA [NM_014278]	2.53	6.85E-12
FCGBP	Homo sapiens Fc fragment of IgG binding protein (FCGBP), mRNA [NM_003890]	2.53	2.44E-11
FLJ34047	Homo sapiens cDNA FLJ34047 fis, clone FCBBF3000001.	2.53	1.56E-07
GYLTL1B	Homo sapiens glycosyltransferase-like 1B (GYLTL1B), mRNA [NM_152312]	2.52	1.24E-22
SLC2A12	Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 12 (SLC2A12), mRNA [NM_145176]	2.51	0.00014
ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	2.51	6.77E-18
GLPG464	Clone DNA57836 GLPG464 (UNQ464)	2.5	5.36E-12
THC2661496	Q3C9X1_9CLOT (Q3C9X1) Cobalt transport protein, partial (5%) [THC2661496]	2.5	0.00209
OCIL	Homo sapiens lectin-like NK cell receptor (OCIL), transcript variant 1, mRNA [NM_013269]	2.49	2.10E-37
PDCD1LG1	Homo sapiens programmed cell death 1 ligand 1 (PDCD1LG1), mRNA [NM_014143]	2.49	3.94E-09
GPSM1	likely ortholog of rat activator of G-protein signaling 3	2.48	5.16E-13
NEBL	Homo sapiens nebulette (NEBL), transcript variant 1, mRNA [NM_006393]	2.48	3.57E-09
CHFR	Homo sapiens checkpoint with forkhead and ring finger domains (CHFR), mRNA [NM_018223]	2.48	6.83E-15
ARID5B	modulator recognition factor 2	2.48	2.36E-19
ITPR1	Homo sapiens inositol 1,4,5-triphosphate receptor, type 1 (ITPR1), mRNA [NM_002222]	2.48	3.88E-15
CFLAR	CASP8 and FADD-like apoptosis regulator	2.48	1.28E-33
DUSP16	MAPK phosphatase-7	2.47	1.66E-27
AMPD3	Adenosine monophosphate deaminase (isoform E)	2.46	1.83E-32
KREMEN1	kringle-containing transmembrane protein; kringle-coding gene marking the eye and the nose	2.46	1.85E-07
CASP5	Homo sapiens caspase 5, apoptosis-related cysteine protease (CASP5), mRNA [NM_004347]	2.46	?E-46
TNFRSF4	Tumor necrosis factor receptor superfamily, member 4	2.45	0.0049
C6orf192	Homo sapiens chromosome 6 open reading frame 192 (C6orf192), mRNA [NM_052831]	2.44	1.36E-29
LFNG	Homo sapiens LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase (LFNG), transcript variant 1, mRNA [NM_001040167]	2.44	1.93E-17
C20orf119	Translocase of outer mitochondrial membrane 34	2.44	1.57E-10
MGC26744	Hypothetical protein MGC26744	2.44	4.76E-07
SCN12A	Sodium channel, voltage-gated, type XI, alpha	2.43	3.81E-09
MGC33630	Homo sapiens hypothetical protein MGC33630 (MGC33630), mRNA [NM_144668]	2.43	8.73E-09
WDR42A	Homo sapiens cDNA: FLJ22560 fis, clone HSI01610.	2.43	1.21E-10
MGC35140	Homo sapiens hypothetical protein MGC35140 (MGC35140), mRNA [NM_152759]	2.42	7.58E-07
AK128103	CDNA FLJ46224 fis, clone TESTI4014262	2.42	0.00017
NKD2	Homo sapiens naked cuticle homolog 2 (Drosophila) (NKD2), mRNA [NM_033120]	2.41	6.85E-09
TNFSF11	Tumor necrosis factor (ligand) superfamily, member 11	2.41	1.03E-06
LOC51619	Homo sapiens ubiquitin-conjugating enzyme HBUCE1 (LOC51619), mRNA [NM_015983]	2.41	1.44E-22
IFNGR1	Homo sapiens interferon gamma receptor 1 (IFNGR1), mRNA [NM_000416]	2.41	9.53E-18
CHST2	Homo sapiens carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2 (CHST2), mRNA [NM_004267]	2.41	1.98E-23
RNF149	Homo sapiens ring finger protein 149 (RNF149), mRNA [NM_173647]	2.4	1.96E-12
TSPNY	Homo sapiens testis-specific protein TSP-NY (TSP-NY), transcript variant 1, mRNA [NM_032573]	2.4	0.00001
NUCB2	Nucleobindin 2	2.39	9.29E-23
NMT2	Homo sapiens N-myristoyltransferase 2 (NMT2), mRNA [NM_004808]	2.39	8.90E-09
BSPRY	Homo sapiens B-box and SPRY domain containing (BSPRY), mRNA [NM_017688]	2.39	4.68E-24
ENTPD1	Homo sapiens ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1), mRNA [NM_001776]	2.39	9.75E-11
TF	Homo sapiens transferrin (TF), mRNA [NM_001063]	2.39	3.83E-10
ENST00000285206	Sterile alpha motif domain-containing protein 14. [Source:Uniprot/SWISSPROT;Acc:Q8IZD0] [ENST00000285206]	2.38	1.45E-09
TNFSF8	Homo sapiens tumor necrosis factor (ligand) superfamily, member 8 (TNFSF8), mRNA [NM_001244]	2.38	1.47E-10
GRIN2C	Homo sapiens glutamate receptor, ionotropic, N-methyl D-aspartate 2C (GRIN2C), mRNA [NM_000835]	2.38	5.67E-07
pKBF2	H-2K binding factor-2	2.38	1.98E-43
TRIM9	Homo sapiens tripartite motif-containing 9 (TRIM9), transcript variant 1, mRNA [NM_015163]	2.37	9.15E-16
FLJ25200	Homo sapiens hypothetical protein FLJ25200 (FLJ25200), mRNA [NM_144715]	2.37	0.00002
DPY19L1P1	LOC89231	2.37	0.00009
PC4	Homo sapiens activated RNA polymerase II transcription cofactor 4 (PC4), mRNA [NM_006713]	2.36	1.37E-33
CACNA2D4	Homo sapiens calcium channel, voltage-dependent, alpha 2/delta subunit 4 (CACNA2D4), transcript variant 1, mRNA [NM_172364]	2.36	2.52E-06
HIP1	Huntingtin interacting protein 1	2.36	4.04E-17
BCAN	hypothetical protein MGC13038	2.36	0.00003
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2.36	3.97E-23
GPR23	Homo sapiens G protein-coupled receptor 23 (GPR23), mRNA [NM_005296]	2.36	0.00089
PPM1H	KIAA1157 protein	2.35	8.80E-20
ENST00000355609	Novel protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5TF58] [ENST00000355609]	2.35	8.34E-09
A_32_P55438	Unknown	2.35	4.87E-07
	Similar to omega protein	2.34	6.87E-20
LOC158435	Homo sapiens hypothetical protein BC008050, mRNA (cDNA clone IMAGE:6150522), partial cds. [BC064972]	2.34	0.00032
RPLP2	Homo sapiens ribosomal protein, large P2 (RPLP2), mRNA [NM_001004]	2.34	4.57E-07
DPF3	Homo sapiens D4, zinc and double PHD fingers, family 3 (DPF3), mRNA [NM_012074]	2.34	2.35E-23
CDH3	Homo sapiens cadherin 3, type 1, P-cadherin (placental) (CDH3), mRNA [NM_001793]	2.34	0.00045
LAMC3	Homo sapiens laminin, gamma 3 (LAMC3), mRNA [NM_006059]	2.33	1.03E-16
SLC25A30	Solute carrier family 25, member 30	2.33	7.55E-16
ARP10	Homo sapiens ARP10 protein (ARP10), mRNA [NM_181773]	2.33	8.86E-19
PAGE5	Homo sapiens PAGE-5 protein (PAGE-5), mRNA [NM_130467]	2.33	3.91E-07
TNNI1	Homo sapiens troponin I, skeletal, slow (TNNI1), mRNA [NM_003281]	2.33	5.58E-38
MGC50844	Homo sapiens hypothetical protein MGC50844 (MGC50844), mRNA [NM_178562]	2.32	1.07E-30
RBPSUH	Recombining binding protein suppressor of hairless (Drosophila)	2.32	1.47E-33
HIPK2	Homeodomain interacting protein kinase 2	2.32	1.24E-23
NO145	Homo sapiens 145 kDa nucleolar protein (NO145), mRNA [NM_001040274]	2.31	0.00031
ELOVL3	Homo sapiens elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3 (ELOVL3), mRNA [NM_152310]	2.31	1.40E-07
GAB2	GRB2-associated binding protein 2	2.31	1.20E-08
A_24_P633825	Unknown	2.31	2.35E-14
APOLD1	hypothetical protein DKFZp434F0318	2.3	2.59E-39
BX097190	Transcribed locus	2.3	0.00079
SSPN	Homo sapiens sarcospan (Kras oncogene-associated gene) (SSPN), mRNA [NM_005086]	2.29	1.22E-24
RNF125	Homo sapiens ring finger protein 125 (RNF125), mRNA [NM_017831]	2.29	5.00E-09
EFNB2	Homo sapiens ephrin-B2 (EFNB2), mRNA [NM_004093]	2.29	2.93E-38
ADM	Homo sapiens adrenomedullin (ADM), mRNA [NM_001124]	2.28	?E-46
AF131798	CDNA FLJ34007 fis, clone FCBBF1000349	2.28	1.85E-09
NRTN	Homo sapiens neurturin (NRTN), mRNA [NM_004558]	2.28	3.44E-18
PYGL	Homo sapiens phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI) (PYGL), mRNA [NM_002863]	2.27	0.00034
SCYA3L1	Chemokine (C-C motif) ligand 3-like 1	2.27	2.16E-25
AK056245	CDNA clone IMAGE:5261213	2.26	7.49E-15
CD97	CD97 molecule	2.26	2.88E-32
IL19	Homo sapiens interleukin 19 (IL19), transcript variant 1, mRNA [NM_153758]	2.26	0.00001
BCL2L1	Homo sapiens BCL2-like 1 (BCL2L1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA [NM_138578]	2.26	9.55E-26
TRIP10	Homo sapiens thyroid hormone receptor interactor 10 (TRIP10), mRNA [NM_004240]	2.26	5.55E-08
PARP15	Homo sapiens poly (ADP-ribose) polymerase family, member 15 (PARP15), mRNA [NM_152615]	2.26	2.17E-14
SWAP70	Homo sapiens SWAP-70 protein (SWAP70), mRNA [NM_015055]	2.25	5.03E-38
PIPOX	Homo sapiens pipecolic acid oxidase (PIPOX), mRNA [NM_016518]	2.25	1.76E-22
INHBE	Homo sapiens inhibin, beta E (INHBE), mRNA [NM_031479]	2.25	0.00091
MDAC1	Homo sapiens MDAC1 (MDAC1), mRNA [NM_139172]	2.25	0.00007
PDCD4	Homo sapiens programmed cell death 4 (neoplastic transformation inhibitor) (PDCD4), transcript variant 2, mRNA [NM_145341]	2.25	1.81E-18
THC2638097	Q3MHD6_HUMAN (Q3MHD6) COX17 homolog, cytochrome c oxidase assembly protein, complete [THC2638097]	2.25	7.62E-28
ITGAX	Integrin, alpha X (complement component 3 receptor 4 subunit)	2.25	2.23E-12
TULP2	Homo sapiens tubby like protein 2 (TULP2), mRNA [NM_003323]	2.25	0.00101
GDAP1L1	Homo sapiens ganglioside-induced differentiation-associated protein 1-like 1 (GDAP1L1), mRNA [NM_024034]	2.24	0.00142
DKK2	Homo sapiens dickkopf homolog 2 (Xenopus laevis) (DKK2), mRNA [NM_014421]	2.24	0.00069
TBXAS1	Homo sapiens thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A), mRNA (cDNA clone MGC:20885 IMAGE:4548935), complete cds. [BC014117]	2.24	8.56E-15
TCF7L2	Transcription factor 7-like 2 (HMG box transcription factor 4) (T- cell-specific transcription factor 4) (TCF-4) (hTCF-4). [Source:Uniprot/SWISSPROT;Acc:Q9NQB0] [ENST00000369397]	2.24	2.69E-15
	T cell receptor alpha locus	2.24	7.35E-12
CDKN1A	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 2, mRNA [NM_078467]	2.24	0.00182
GADD45B	Homo sapiens growth arrest and DNA-damage-inducible, beta (GADD45B), mRNA [NM_015675]	2.24	5.56E-28
COL20A1	KIAA1510 protein	2.24	0.00059
C6orf81	Homo sapiens chromosome 6 open reading frame 81 (C6orf81), mRNA [NM_145028]	2.24	0.00002
A_24_P174353	Unknown	2.24	0.00228
TNNT1	Troponin T type 1 (skeletal, slow)	2.23	8.85E-08
HMOX1	Homo sapiens heme oxygenase (decycling) 1 (HMOX1), mRNA [NM_002133]	2.23	5.77E-15
LGR4	Homo sapiens leucine-rich repeat-containing G protein-coupled receptor 4 (LGR4), mRNA [NM_018490]	2.23	2.92E-18
ZDHHC14	Homo sapiens zinc finger, DHHC domain containing 14 (ZDHHC14), mRNA [NM_153746]	2.22	2.15E-23
A_32_P111492	Unknown	2.22	4.67E-10
